,A,RpoN,flhD
abx_mega__polmyx_h2o__6,0.8020677603,1.1499602633000001,-2.5671311733
abx_mega__teix_dmso__14,1.1622035044,0.10986960450000001,-0.424145137
abx_mega__rif_dmso__7,-1.2108893275,0.5247555823,-0.2308542298
abx_mega__ramo_h2o__3,1.3745320016,0.28553015200000004,-0.9870838687000001
abx_mega__fidax_dmso__4,0.676913565,0.1534864812,-0.2034823174
abx_mega__teix_dmso__15,1.4713309274,0.4048724238,0.16858414060000002
abx_mega__thio_dmso__4,-2.1499352384,-0.6222267499,0.43210670560000003
abx_mega__rif_dmso__8,-1.8277963161000002,0.4140184986,-0.224424167
abx_mega__reta_dmso__4,-3.5431248247,-0.7268102176,1.0428947419
abx_mega__inh_h2o__4,3.6860121186,0.6849445812,-1.8029791373
abx_mega__novo_dmso__2,5.9660256671,0.7372848823,-0.6940539794
abx_mega__dcs_h2o__3,-0.2157263715,0.4539067214,0.1419679679
abx_mega__h2o-8b__3,-0.7124864596,0.32490079320000004,0.030886044600000002
abx_mega__valin_dmso__3,2.4398321582999998,-0.12180968210000001,-0.0912979268
abx_mega__h2o-2__1,0.8877575851,1.5449819276999999,-0.7875611238
abx_mega__cro_h2o__4,-0.6125016961,0.22832263900000002,0.4310207592
abx_mega__dcs_h2o__4,2.0240596033,0.5151084096,0.5430305698
abx_mega__str_h2o__5,1.0319375251,0.3231262352,-0.1998231125
abx_mega__h2o-8a__3,0.7757346626,0.22258493570000001,0.1860892888
abx_mega__dox_dmso__7,0.45808180600000004,0.27905037790000004,0.08147411090000001
abx_mega__doxo_dmso__2,1.4527943131,0.078736579,-1.1563486406
abx_mega__teix_dmso__16,1.2382210384,0.141757141,-2.625494112
abx_mega__rfp_h2o__3,-2.7059088952,-0.0217036996,-0.5472169210000001
abx_mega__ethanol-10__3,2.284666189,0.35144685610000004,0.36415424290000004
abx_mega__naoh-2__2,1.0957887601,1.3397554379,-2.3869427232
abx_mega__van_h2o__4,-0.6386185908,-0.6558120901000001,-1.906028634
abx_mega__sacet_h2o__2,3.8091965978,1.8194889627,-1.4145638585
abx_mega__monac_dmso__4,-0.967431331,-0.1014722777,-1.8603697220000002
abx_mega__h2o-2__2,0.48469658800000004,1.4152471684,-1.9188034685000002
abx_mega__zeocin_h2o__5,1.2612505073,0.1218754201,0.0514983252
abx_mega__nor_naoh__5,0.7179728108,0.34099238190000003,0.2923641584
abx_mega__naoh-9__2,0.5762158483,0.5996398814,0.3305108738
abx_mega__dmso-7__3,0.8971341816,0.8699823852,0.2467031878
abx_mega__van_h2o__5,-0.4003845601,-0.7245664336000001,-1.3181315329
abx_mega__flavo_dmso__4,0.0733999607,0.3460788568,-0.0055441088
abx_mega__novo_dmso__3,5.2725185784,0.684112421,-1.6834408341
abx_mega__polmyx_h2o__7,-1.0300706169,0.1741701713,0.027803864
abx_mega__teix_dmso__17,0.9416297832,0.22184745760000002,-0.1528420804
abx_mega__doxo_dmso__3,2.7273785815,0.3126274732,-1.9044594116
abx_mega__mem_dmso__6,-0.6202676216,0.3505350951,0.08815497230000001
abx_mega__h2o-1a__3,0.1072872191,0.0520217171,-0.1437330976
abx_mega__bacit_dmso__3,-1.8432735086,-0.1795968479,-0.7025034063000001
abx_mega__dox_dmso__8,0.4498582024,1.300507726,-1.6862410402
abx_mega__teix_dmso__18,0.3547744598,0.19175662170000002,-0.3803736298
abx_mega__h2o-6__3,1.4048762482,0.262236693,0.2141019017
abx_mega__pen_h2o__5,-0.3595508142,-0.5225968489,0.1244511531
abx_mega__lzd_dmso__4,-1.0750033495,-0.3332799081,1.109874804
abx_mega__daro__1,0.8875518418,-0.1066234063,0.3750634701
abx_mega__solv__1,0.8533876617,-0.009596166500000001,-1.0697519619
abx_mega__daro__2,2.0280828443,-0.0790526196,0.388888086
abx_mega__daro__3,2.378791842,0.38187602470000004,-0.8278409032
abx_mega__solv__2,-0.41449654890000004,-0.34110027670000004,-0.0673906486
abx_mega__solv__3,2.5131201371,0.35312897400000004,-0.7106640040000001
abx_mega__dmso-4__1,-0.7894616628000001,0.5797424133,0.3324556762
abx_mega__kirr_dmso__1,-4.3970156263,-1.33942713,0.751708515
abx_mega__kirr_dmso__2,-4.6846891273,-1.4284988515,0.1706864563
abx_mega__kirr_dmso__3,-6.0647226641,-1.1109287256,-1.1048454069
abx_mega__dmso-4__2,-1.6684495882,0.3686310324,-0.2362637669
abx_mega__dmso-4__3,-0.40741540200000004,0.5269048507,0.1409204055
ackA_pta__dnaA46_del_ackA__1,1.2801442002,0.4437075254,0.6613201987
ackA_pta__dnaA46_del_ackA__2,1.730444239,0.5704149586,1.4794870902000001
ackA_pta__dnaA46_del_ackA__3,2.2456345887999998,0.5369991293,0.23158525060000001
ackA_pta__dnaA46_del_pta__1,3.7663165580999998,1.1478756833000001,1.9028208979
ackA_pta__dnaA46_del_pta__2,2.1783883783,0.0448667602,1.4257873943
ackA_pta__dnaA46_del_pta__3,0.9093972273,0.5671756971,-0.39739635370000004
ackA_pta__dnaA46__1,0.5708813241,0.1614554932,0.2559522416
ackA_pta__dnaA46__2,1.0471766188,-0.013684229400000001,-1.2695925862
ackA_pta__dnaA46__3,0.7623555342,0.1615911191,0.5860647762
ackA_pta__del_ackA__1,0.74305068,0.5863427365,0.5769239068
ackA_pta__del_ackA__2,1.5342113862,1.3011363901,1.7643585180999999
ackA_pta__del_ackA__3,0.8587364777000001,0.44244931,-0.07310525200000001
ackA_pta__del_pta__1,0.07565667100000001,-0.23870822200000003,-0.8189000569
ackA_pta__del_pta__2,1.2737063957,0.034623570400000005,1.8327607154
ackA_pta__del_pta__3,0.6970838525,0.3199969646,0.5403498835
ackA_pta__wt__1,0.5400039025,0.1637336314,0.4632001806
ackA_pta__wt__2,-0.2339294956,-0.0974010988,-0.0436029046
ackA_pta__wt__3,-0.3060744069,-0.06633253260000001,-0.419597276
anticancer__5fu__1,-1.0232167341,-0.5603580095,-0.0329579824
anticancer__5fu__2,-1.4686039426,-0.5673063791,0.07025096680000001
anticancer__cap__1,0.5629865499,0.1286979483,-0.8396470155
anticancer__cap__2,-0.12039974510000001,0.12319856700000001,-0.9340007810000001
anticancer__cap__3,0.052737328,0.1668869606,-1.2715134080000001
anticancer__wt__1,-0.34210053220000003,-0.15259010380000002,-0.10470957460000001
anticancer__wt__2,0.4616571924,0.0602725224,0.34923864860000003
anticancer__wt__3,-0.1195566602,0.0923175814,-0.24452907410000002
anticancer__5fu__3,-0.7657870654000001,-0.6096590518,0.0523096651
bio_pln__aero_pln__1,-0.0436773441,0.040384679,-0.0678522287
bio_pln__aero_pln__2,0.0436773441,-0.040384679,0.0678522287
bio_pln__anaero_pln__1,-0.1445921699,-0.1000048731,-1.1878477988
bio_pln__anaero_pln__2,0.2055909682,-0.0182377687,-1.2517164181
biocide__bzcl_12h__1,0.45156804500000003,-0.28891315030000003,0.193340285
biocide__bzcl_12h__2,-0.3081357716,0.039433998000000005,-0.5914267834
biocide__bzcl_12h__3,0.2626361272,-0.26352981940000003,0.2734094191
biocide__etoh_12h__1,0.6577174748,0.2680230091,0.9428209838
biocide__etoh_12h__2,0.506824499,0.2771931545,1.0757307647
biocide__etoh_12h__3,0.5218447580000001,0.2675030988,0.8564269025
biocide__gluald_12h__1,-0.5034242565,0.38510948500000003,0.10220530200000001
biocide__gluald_12h__2,-1.0455179407,0.4022591183,0.1139361846
biocide__gluald_12h__3,-0.3713503078,0.31910439420000003,-0.11092649010000001
biocide__h2o2_12h__1,-0.5172218191,0.2898968666,0.353585121
biocide__h2o2_12h__2,0.3127242911,0.1480809059,0.3169686276
