,A,NagC
cstr_pfr__str_ref2__1,0.2458690254,-0.0419785869
cstr_pfr__str_ref3__1,-0.1426633347,-0.0137304599
cstr_pfr__pfr_P5_0005m__1,0.0660635057,-0.07912799150000001
cstr_pfr__pfr_P5_0010m__1,-0.3711324325,-0.3061680526
cstr_pfr__pfr_P5_0025m__1,-0.5734037506,-0.219827876
cstr_pfr__pfr_P3_0025m__1,-0.6698746106,-0.1952337698
cstr_pfr__pfr_P1_0025m__1,-1.0037201218,-0.0358245925
cstr_pfr__pfr_P5_0045m__1,-0.7372093462,-0.2570792447
cstr_pfr__pfr_P5_0120m__1,-0.2263588004,-0.2726426236
cstr_pfr__pfr_P3_0120m__1,-0.8289094827,-0.2389646018
cstr_pfr__pfr_P1_0120m__1,-0.8294177035,-0.18996534650000002
cstr_pfr__pfr_P5_0210m__1,-0.2579893092,-0.2877166611
cstr_pfr__pfr_P5_1500m__1,-0.8064984453,-0.5222758318
cstr_pfr__pfr_P3_1680m__1,-0.8863426258,-0.2210881515
cstr_pfr__pfr_P5_1680m__1,-0.6763707694000001,-0.4736646581
cstr_pfr__pfr_P1_1680m__1,-0.9267427467,-0.020904408200000002
cstr_pfr__str_0005m__2,-0.1571498767,-0.1095289423
cstr_pfr__str_0010m__2,-0.7195595502000001,-0.1186680256
cstr_pfr__str_0025m__2,-1.174459717,-0.011679687000000001
cstr_pfr__str_0045m__2,-1.1533078912,0.0115984846
cstr_pfr__str_0075m__2,-1.0401667947,0.0146001724
cstr_pfr__str_0120m__2,-1.120809695,-0.0053977611000000005
cstr_pfr__str_0210m__2,-1.1205007378,0.041406933800000004
cstr_pfr__str_0330m__2,-0.9766734723,0.056314696600000005
cstr_pfr__str_1500m__2,-1.1882397766000001,0.1311332851
cstr_pfr__str_1560m__2,-0.8414441206000001,0.15534539120000002
cstr_pfr__str_1680m__2,-0.7447801879,0.1211828952
cstr_pfr__str_ref1__2,-0.0930773654,-0.0526074237
cstr_pfr__str_ref2__2,0.061862109500000005,0.055969354900000004
cstr_pfr__str_ref3__2,-0.265964287,0.0054150233
cstr_pfr__pfr_P5_0005m__2,-0.09589447720000001,-0.4940065893
cstr_pfr__pfr_P5_0010m__2,-0.3767768952,-0.18734016050000002
cstr_pfr__pfr_P5_0025m__2,-0.7902715555000001,-0.267485739
cstr_pfr__pfr_P3_0025m__2,-0.8073522727,-0.29260946660000003
cstr_pfr__pfr_P1_0025m__2,-1.0119729324,-0.0413991172
cstr_pfr__pfr_P5_0045m__2,-0.7786604589,-0.2060614435
cstr_pfr__pfr_P5_0120m__2,-0.9152285601000001,-0.3699416287
cstr_pfr__pfr_P3_0120m__2,-0.8440675182,-0.220752572
cstr_pfr__pfr_P1_0120m__2,-1.1257255959,-0.07758589610000001
cstr_pfr__pfr_P5_0210m__2,-1.1424127369,-0.21403517030000002
cstr_pfr__pfr_P5_1500m__2,-1.1000025084,-0.4315232613
cstr_pfr__pfr_P3_1680m__2,-1.0851997927,-0.4574301944
cstr_pfr__pfr_P5_1680m__2,-1.0461748184,-0.301995687
cstr_pfr__pfr_P1_1680m__2,-0.9452297805000001,0.0801877585
darobactin__daro_30m__1,0.7714245357,0.2089259399
darobactin__daro_30m__2,0.0325250006,0.0155402976
darobactin__solv_1h__1,3.7980958864,0.5500391021000001
darobactin__solv_1h__2,2.6043000727,0.4564919676
darobactin__daro_1h__1,1.3603617695999999,0.3388604478
darobactin__solv_1h__3,2.8653503923,0.5104920953000001
darobactin__daro_1h__2,2.2338134038,0.5811266392000001
darobactin__daro_1h__3,2.4262580728,0.4894638136
darobactin__daro_30m__3,1.1013163915,0.0385000571
darobactin__solv_30m__1,-0.3781264621,0.0442479848
darobactin__solv_15m__1,-0.4714359517,-0.0279323193
darobactin__solv_15m__2,0.3315812832,0.047065069200000004
darobactin__daro_15m__1,-0.2152057894,-0.0847726026
darobactin__solv_15m__3,0.1398546685,-0.01913275
darobactin__daro_15m__2,-1.0989591102,-0.1863952842
darobactin__daro_15m__3,-1.382337807,0.301351025
darobactin__solv_30m__2,-0.6313007414,-0.22876952620000002
darobactin__solv_30m__3,0.4340418318,-0.0051859986
ddp__pNT3_aroP__1,-4.7903649537,-0.4614677814
ddp__pNT3_aroP__2,-4.3849979313,-0.5186593139
ddp__pNT3_bamC__1,-4.1706481307,-0.1136841236
ddp__pNT3_bamC__2,-3.519302627,0.0604217207
ddp__pNT3_cusA__1,-5.3704417441,-0.1261796532
ddp__pNT3_cusA__2,-4.5675992884,-0.12387354510000001
ddp__pNT3_hemX__1,-1.8838851972000001,-0.8163070443
ddp__pNT3_hemX__2,-1.4584941946,-0.6693875066
ddp__pNT3_empty__1,-0.6224046354,-0.2622983228
ddp__pNT3_empty__2,0.6224046354,0.2622983228
ddp__pNT3_topA__1,-3.779006442,0.1283490302
ddp__pNT3_topA__2,-4.0222337587,0.2496380433
ddp__pNT3_yicR__1,-0.2187964041,-0.46092185630000004
ddp__pNT3_yicR__2,0.0993941733,-0.3052513302
ddp__pNT3_yqjD__1,-1.8346905006,-0.6401767972
ddp__pNT3_yqjD__2,-0.757523967,-0.4537552172
ecomics__del_gabT__1,-0.7265525395,-0.049298515700000003
ecomics__del_gabT__2,0.7265525395,0.049298515700000003
ecomics__del_putP__1,0.1106954631,-0.1706204631
ecomics__del_putP__2,0.7610408571,-0.346828796
ecomics__del_entF__1,-0.5072531706,-0.3454946593
ecomics__del_entF__2,0.5558725512,-0.2320734485
ecomics__del_entF__3,0.007968505800000001,-0.3374426695
ecomics__del_cysA__1,0.8916165867,-0.1077910311
ecomics__del_cysA__2,1.1354632284,-0.21810029920000001
elyC__wt_21C__1,-1.0113440012,-0.46082076310000003
elyC__wt_21C__2,-0.8719068742,-0.4802449145
elyC__wt_21C__3,-1.0883185627,-0.4758891792
elyC__wt_37C__1,0.3525804764,-0.0806946466
elyC__wt_37C__2,-0.1314250831,0.0962485102
elyC__wt_37C__3,-0.2211553933,-0.0155538636
elyC__delelyC_21C__1,-1.7463401774,-0.4799490939
elyC__delelyC_21C__2,-1.4414709177,-0.46032880340000004
elyC__delelyC_21C__3,-1.4078919829,-0.5684496784
elyC__delelyC_37C__1,-0.42864870180000003,-0.0455243875
elyC__delelyC_37C__2,-0.3251226533,-0.0290182275
elyC__delelyC_37C__3,-0.1936431776,-0.0873604766
evo_acid_w__F9_2__1,-0.6079000314,-0.0336627051
evo_acid_w__F11_1__1,-0.083913658,0.7245908224000001
evo_acid_w__F11_1__2,-0.35946279880000004,0.8464630962
evo_acid_w__F11_1__3,0.0343194371,0.8577575938
evo_acid_w__wt__1,0.38905940800000005,0.37329672620000004
evo_acid_w__F11_2__1,1.1455586872,0.1190346654
evo_acid_w__B11_2__1,1.6243024644,0.9414496318000001
evo_acid_w__F11_2__2,-0.535907377,0.4464384095
evo_acid_w__wt__2,0.6242604981000001,0.3230751162
evo_acid_w__B11_1__1,2.4711921275,0.3898253964
evo_acid_w__H9_1__1,-3.3970434177,-1.1060796115
evo_acid_w__H9_2__1,-0.0036254083,0.020361174000000003
evo_acid_w__B11_2__2,2.1311459351,1.0027269489
evo_acid_w__wt__3,0.3133463141,0.2644876727
evo_acid_w__H9_2__2,0.2089419885,0.0005867416
evo_acid_w__B11_2__3,2.0648570229,1.0182667553
evo_acid_w__F11_2__3,-0.5705670912,0.5020649165000001
evo_acid_w__F9_2__2,-0.473275119,0.056946643000000005
evo_acid_w__wt__4,-1.9617840832,-0.1031379447
evo_acid_w__wt__5,-1.9315968261,0.000119796
evo_acid_w__wt__6,1.3619035088,-0.10318436560000001
evo_acid_w__H9_1__2,-3.3976651819,-0.8267715971
evo_acid_w__F9_1__1,-0.3618886999,0.5936995358
evo_acid_w__F9_1__2,-0.2813945248,0.5090129706000001
evo_acid_w__B11_1__2,1.5099552848,0.1419032175
evo_acid_w__H9_2__3,0.5618481646,0.1013846568
evo_acid_w__wt__7,-0.5573245784,-0.1065901404
evo_acid_w__F9_1__3,-0.060635394,0.5272168730000001
evo_acid_w__F9_2__3,-0.2852221683,-0.0060809588
evo_acid_w__wt__8,1.2760091797,-0.166680399
evo_acid_w__B11_1__3,2.4415279994,0.34611100780000004
evo_acid_w__wt__9,0.4861265791,-0.4813864613
evo_bz__c3_1_bz__1,-1.9556586303999999,-0.2436687022
evo_bz__c3_1_bz__2,-2.2649858082,-0.7868668856000001
evo_bz__c3_1_bz__3,-1.6280946437,-0.602122102
evo_bz__c3_1_bz__4,-1.65065991,-0.5575778383000001
evo_bz__g5_1_bz__1,-3.7798752038,-0.26592276740000004
evo_bz__g5_1_bz__2,-4.3918184188,-0.1837115699
evo_bz__g5_1_bz__3,-3.6339025995,-0.4470846914
evo_bz__g5_1_bz__4,-3.5162528167,-0.7020956768000001
evo_bz__g5_1_bz__5,-3.2890304725,-0.6989865362000001
evo_bz__g5_1_bz__6,-3.3004386149,-0.5895255349
evo_bz__w3110d13__1,0.5772338517,0.3640106078
evo_bz__w3110d13__2,0.8261549243,0.4962312655
evo_bz__w3110d13__3,-0.29759706810000003,-0.2776493474
evo_bz__w3110d13__4,0.45175867540000003,0.3259976814
evo_bz__w3110d13__5,-0.3579576525,-0.5239656915
evo_bz__w3110d13__6,-1.1995927308,-0.3846245158
evo_bz__w3110d13_bz__1,-3.0475010242,0.21895280220000002
evo_bz__w3110d13_bz__2,-3.5414784072,0.4167498631
evo_bz__w3110d13_bz__3,-1.9300683574000002,-0.7915088875
evo_bz__w3110d13_bz__4,-3.104402989,0.2617127016
evo_bz__c3_1_bz__5,-1.9027259974000001,-0.3252885385
evo_bz__c3_1_bz__6,-2.6280725207,-0.4018571486
evo_bz__g5_2_bz__1,-2.5406251107999998,-0.9498330166000001
evo_bz__g5_2_bz__2,-2.004399255,-0.9517561611
evo_bz__g5_2_bz__3,-1.7935306967,-1.0081526366
evo_bz__g5_2_bz__4,-2.2767786209,-0.26518420930000003
evo_bz__g5_2_bz__5,-2.1646367672,-0.254743176
evo_bz__g5_2_bz__6,-2.8896125872000002,-0.1206743358
evo_bz__w3110d13_bz__5,-1.7749031609,-0.7654653810000001
evo_bz__w3110d13_bz__6,-2.1495096686,-0.8209885163
evo_bz__a1_1_bz__1,-0.8361344209,-0.0918633216
evo_bz__a1_1_bz__2,-2.3778344836,0.1507380543
evo_bz__a1_1_bz__3,-1.8978832845,-0.9245518928
evo_bz__a1_1_bz__4,-2.0472071492,0.2734011125
evo_bz__a1_1_bz__5,-1.9697587858,-1.0140304528
evo_bz__a1_1_bz__6,-1.7561429126,-0.9084577521
evo_metab__wt__1,0.8522098466,0.0980757847
evo_metab__del_zwf__1,1.1357885879,0.0814096903
evo_metab__zwf_ale1__1,1.2382406241,-0.0015999659000000002
evo_metab__zwf_ale2__1,0.6625604555,-0.6214535053
evo_metab__del_ppk__1,-0.1418805528,-0.4343137039
evo_metab__ppk_ale1__1,-0.2618721663,-0.3463695222
evo_metab__ppk_ale2__1,0.1347702225,-0.45085112390000004
evo_metab__ppk_ale3__1,0.4830482692,-1.2504094099
evo_metab__del_dapF__1,0.33907366250000004,-0.1888778399
evo_metab__dapF_ale1__1,0.5933190699,-0.5313163351
evo_metab__dapF_ale3__1,1.5174973652000001,-0.1600429693
evo_metab__del_entC__1,-0.5429698245,-0.0191638987
evo_metab__entC_ale1__1,-0.0916743468,-0.2234364516
evo_metab__entC_ale2__1,0.9430104243,-0.3145067384
evo_metab__del_dgk__1,-1.3678986911,-0.1917854034
evo_metab__dgk_ale1__1,0.5985437178,-0.1698142604
evo_metab__dgk_ale2__1,-0.0425670345,-0.016866141600000002
evo_metab__dgk_ale3__1,0.9019712121000001,-0.17622947860000002
evo_metab__wt__2,-0.3108493163,-0.2599185201
evo_metab__del_zwf__2,-0.1531447648,0.3484342091
evo_metab__zwf_ale1__2,0.0156765568,-1.2360531968
evo_metab__zwf_ale2__2,2.9963138786,-0.7644505840000001
evo_metab__del_ppk__2,-0.5511595696,-0.33679136130000004
evo_metab__ppk_ale1__2,0.4753539149,-0.3362358344
evo_metab__ppk_ale2__2,0.2044481988,0.2396673951
evo_metab__ppk_ale3__2,-0.0311824423,-0.4816370246
evo_metab__del_dapF__2,-0.5555133965,0.1065953558
evo_metab__dapF_ale1__2,-0.32847529740000003,-0.9855779253
evo_metab__dapF_ale3__2,-0.5933011835,0.0611519644
evo_metab__del_entC__2,-1.4549885743,-0.2001060455
evo_metab__entC_ale1__2,-1.5426233152000002,-0.2241348119
evo_metab__entC_ale2__2,-0.1038740508,-0.3855496202
evo_metab__entC_ale3__1,0.1756458584,-0.3035566092
evo_metab__del_dgk__2,-0.6679596779,-0.12016577660000001
evo_metab__dgk_ale1__2,-1.4479355964,-0.6637304453
evo_metab__dgk_ale2__2,-1.45945619,-0.2130404601
evo_metab__dgk_ale3__2,0.3452191556,-0.1591644766
evo_metab__wt__3,-0.5413605303,0.1618427355
evo_metab__del_zwf__3,-0.21524174510000002,-0.4057033719
evo_metab__zwf_ale1__3,-0.2020150464,-0.9853064532
evo_metab__zwf_ale2__3,2.8903157219,-0.49336177330000003
evo_metab__del_ppk__3,-0.2091218532,0.13620841820000001
evo_metab__ppk_ale1__3,1.6098625967,0.1241172425
evo_metab__ppk_ale2__3,0.3003535685,0.2300621729
evo_metab__ppk_ale3__3,1.2463834384,-0.1118865831
evo_metab__del_dapF__3,-0.5070333887,0.1812656746
evo_metab__dapF_ale1__3,-0.9436934162,-0.8444283674
evo_metab__dapF_ale3__3,-0.9227403604000001,0.22777365260000002
evo_metab__del_entC__3,-0.8414293958,-0.2928597119
evo_metab__entC_ale1__3,-1.9232095863,0.0355684999
evo_metab__entC_ale2__3,0.3342979132,-0.0833048219
evo_metab__entC_ale3__2,-0.5175312138,-0.08179098800000001
evo_metab__del_dgk__3,0.2408917734,0.1274008958
evo_metab__dgk_ale1__3,-0.5175992856,-0.0034344432
evo_metab__dgk_ale2__3,-0.37209382090000004,-0.0987272044
evo_metab__dgk_ale3__3,0.1488066471,-0.10835424540000001
flag_reg__wt__1,-0.0971192323,0.0019316718
flag_reg__del_fliA__1,0.9764783783000001,-0.2204117083
flag_reg__del_flhC__1,1.2875817328,-0.3319588342
flag_reg__del_flhD__1,1.934861223,-0.3681693002
flag_reg__wt__2,0.0971192323,-0.0019316718
flag_reg__del_fliA__2,1.7431736094999999,-0.1999607318
flag_reg__del_flhC__2,-0.0036633714,-0.0550223669
flag_reg__del_flhD__2,1.8997674949,-0.40850109570000004
flgM__27C__1,0.16968596700000002,-0.5868424478
flgM__27C__2,1.1515178642000001,-0.5888564734
flgM__27C__3,0.7549364813,-0.5984570312
flgM__32C__1,-0.9825222704000001,-0.0943728053
flgM__32C__2,-0.4642367767,-0.2078609664
flgM__32C__3,-0.4121379222,-0.2187781207
flgM__37C__1,0.1926730949,0.0183510768
flgM__37C__2,0.017957058,-0.025649073
flgM__37C__3,-0.2106301529,0.0072979962
flgM__42C__1,0.5833221127,0.0977330688
flgM__42C__2,0.4039348406,0.19774868550000002
flgM__42C__3,2.524393545,0.6018420532000001
histone__untreated__1,-0.2911105054,0.0427216042
histone__untreated__2,0.27236937510000003,-0.0144486613
histone__untreated__3,0.018741130300000002,-0.028272943000000002
histone__10ug_H2A__1,0.3239181514,-0.045094341100000004
histone__10ug_H2A__2,0.22306301890000002,-0.1114149589
histone__10ug_H2A__3,0.4617346491,-0.1807437909
histone__50ug_H2A__1,0.4784937792,-0.12242286270000001
histone__50ug_H2A__2,0.4613075944,-0.016961775000000002
histone__50ug_H2A__3,0.5586221814,-0.1009383214
histone__100ug_H2A__1,0.6259332784,0.0646444453
histone__100ug_H2A__2,0.5010946026,0.019353030900000002
histone__100ug_H2A__3,0.6526906437000001,0.0664362461
hns__del_hns_spike__1,-0.1073108185,0.169167011
hns__del_hns_spike__2,0.9705262521,0.24241215970000002
hns__del_hns__1,0.1251205602,0.113422988
hns__del_hns__2,1.4460938797,0.1958123668
hns__wt_spike__1,0.1827145244,0.2713006828
hns__wt_spike__2,1.9886872545,0.3646643996
hns__wt__1,0.4845582686,0.2073031504
hns__wt__2,-0.4845582686,-0.2073031504
hns_stpA__evo100G4_delhns_delstpA__1,-0.6326260995,-1.1712554808
hns_stpA__evo100G4_delhns_delstpA__2,-0.5633690266,-1.2618430099
hns_stpA__evo100G12_delhns_delstpA__1,-0.8731063050000001,-0.656283473
hns_stpA__evo100G12_delhns_delstpA__2,-0.38921579710000004,-0.9949048507
hns_stpA__delhns_delstpA_delrpoS__1,-0.24772591670000002,-0.8103561024
hns_stpA__delhns_delstpA_delrpoS__2,-0.9134234735000001,-0.8851718249
hns_stpA__wt__1,-0.12588228370000001,0.37158050800000003
hns_stpA__wt__2,0.12588228370000001,-0.37158050800000003
hns_stpA__delhns_delstpA__1,-0.2683256146,-1.7637572004000002
hns_stpA__delhns_delstpA__2,0.0367284809,-1.2987293378
hu__wt_log_pH7__1,-2.3716537281,-1.2055543137
hu__wt_log_pH7__2,-2.0796677845,-0.6861041676
hu__wt_log_pH7__3,-2.3518343947,-0.5371722665
hu__wt_lag_pH7__1,1.1728223691,0.060869861100000006
hu__wt_lag_pH7__2,-2.0788111548,-0.5398805007
hu__wt_lag_pH7__3,0.9059887857000001,0.4790106396
hu__delhupA_lag_pH7__1,1.0517526717,0.27025744630000004
hu__delhupA_lag_pH7__2,-2.7818135538,-0.6821291415
hu__delhupA_lag_pH7__3,0.4490749545,0.5443475296
hu__delhupB_lag_pH7__1,-2.5022823122,-0.2665512612
hu__delhupB_lag_pH7__2,-2.8775825232,-0.3532859568
hu__delhupB_lag_pH7__3,1.5976491924,0.3950778069
hu__delhupAhupB_lag_pH7__1,0.8862806196,0.031543736600000004
hu__delhupAhupB_lag_pH7__2,-2.4706801685,-0.5218464884
hu__delhupAhupB_lag_pH7__3,-0.7173046234,0.3641231488
hu__hupAE34K_hupB_lag_pH7__1,-0.6301864509,-0.0030731565000000002
hu__hupAE34K_hupB_lag_pH7__2,-2.2371514949,-0.3351142117
hu__hupAE34K_hupB_lag_pH7__3,0.8246637853000001,0.5068465347000001
hu__hupAE34K_delhupB_lag_pH7__1,2.1421861613,0.32561566880000004
hu__hupAE34K_delhupB_lag_pH7__2,-2.0174556834,-0.18839357710000001
hu__hupAE34K_delhupB_lag_pH7__3,1.2522024981,0.45599398820000003
hu__wt_lag_pH5__1,-2.6905210044,-0.4844326231
hu__wt_lag_pH5__2,-3.6580486727,0.0769374714
hu__wt_lag_pH5__3,-3.6007849168,0.4566119684
hu__delhupA_lag_pH5__1,-3.5737670548000002,-0.4533051724
hu__delhupA_lag_pH5__2,-2.7023234189,0.1472896933
hu__delhupA_lag_pH5__3,-4.1076116576,0.39488091880000004
hu__delhupAhupB_lag_pH5__1,-4.2098529943,-0.7249352946000001
hu__delhupAhupB_lag_pH5__2,-4.0516803565,-0.0134715966
hu__delhupAhupB_lag_pH5__3,-4.2653816477,0.4952716358
hu__hupAE34K_hupB_lag_pH5__1,-2.5302082747,-0.3539559503
hu__hupAE34K_hupB_lag_pH5__2,-3.0311279629,0.33126749050000004
hu__hupAE34K_hupB_lag_pH5__3,-3.1174732385,0.5625905124
hu__hupAE34K_delhupB_lag_pH5__1,-3.4304332904,-0.18536132330000002
hu__hupAE34K_delhupB_lag_pH5__2,-2.7694636073,0.2932038099
hu__hupAE34K_delhupB_lag_pH5__3,-3.7899063055,0.6253574228000001
hyperpersistence__low_GFP__1,1.3001113407,-1.9476525423000002
hyperpersistence__wt__1,0.3460269321,-0.1434268045
hyperpersistence__high_GFP__1,1.710307166,-2.1107872505
hyperpersistence__pth_mut__1,1.4521578282,-0.2857514672
hyperpersistence__pth_mut__2,1.8523496546,-0.49678964300000006
hyperpersistence__metG_mut__1,1.0278702703,-0.013584063700000001
hyperpersistence__metG_mut__2,1.4266082349,-0.15835417770000002
hyperpersistence__high_GFP__2,1.218770328,-1.5771391453999999
hyperpersistence__wt__2,-0.3460269321,0.1434268045
hyperpersistence__low_GFP__2,1.6351467687999999,-1.6304697742
kan_efg__cpxAF218Y__1,5.0391248281,0.9298788405
kan_efg__cpxAF218Y__2,5.263817153,0.9060206254000001
kan_efg__cyaAN600Y__1,4.488776072,0.6521994884
kan_efg__cyaAN600Y__2,7.2569837749,1.638104392
kan_efg__fusAA608E__1,1.3259802826,0.2453672752
kan_efg__fusAA608E__2,0.8023831396000001,0.1175515376
kan_efg__fusAA608E_cpxAF218Y__1,3.5028876047,0.8299364381000001
kan_efg__fusAA608E_cpxAF218Y__2,2.391767217,0.6966739697000001
kan_efg__fusAA608E_cyaAN600Y__1,2.9219225509,0.8075254487
kan_efg__fusAA608E_cyaAN600Y__2,4.4695800311,0.9777988678
kan_efg__fusAA608E_rpoDL261Q__1,2.402671127,0.6384343154000001
kan_efg__fusAA608E_rpoDL261Q__2,1.5903141161,0.0927333347
kan_efg__fusAA608E_topAS180L__1,1.5780030862999999,0.5317609412000001
kan_efg__fusAA608E_topAS180L__2,1.5661865513,0.4384527292
kan_efg__rpoDL261Q__1,0.5782494127000001,0.1483914977
kan_efg__rpoDL261Q__2,2.8157328569,0.5298728201
kan_efg__wt__1,-0.7831133403,-0.13162123480000001
kan_efg__wt__2,0.7831133403,0.13162123480000001
lrp__wt_min_log__1,0.0074750704000000005,-0.06857450030000001
lrp__wt_min_log__2,-0.0074750704000000005,0.06857450030000001
lrp__wt_min_trans__1,-1.1724608621,-1.1352388943
lrp__wt_min_trans__2,-1.177444576,-0.9343998703
lrp__wt_min_stat__1,0.3200108982,0.2693211593
lrp__wt_min_stat__2,-0.18265646770000002,-0.1047138747
lrp__wt_liv_log__1,-0.0234680814,0.2636070239
lrp__wt_liv_log__2,0.3537094536,0.1073945137
lrp__wt_liv_trans__1,1.7535227272,0.2461714082
lrp__wt_liv_trans__2,2.3245105668,0.0616282854
lrp__wt_liv_stat__1,2.0976861947,-0.011691130000000001
lrp__wt_liv_stat__2,1.9509767801,0.1012863822
lrp__wt_rich_log__1,0.6284744873,-0.6536618547
lrp__wt_rich_log__2,0.5738676157,-0.7230452463
lrp__wt_rich_trans__1,2.6192767263,0.1125199951
lrp__wt_rich_trans__2,1.948094855,-0.1156308884
lrp__wt_rich_stat__1,-0.1430232469,-0.104354031
lrp__wt_rich_stat__2,-0.001866933,0.3877619667
lrp__dellrp_min_log__1,-1.2495180468,0.1017692979
lrp__dellrp_min_log__2,-1.2326647877,0.0817666296
lrp__dellrp_min_trans__1,-2.5014930825,0.39321597080000004
lrp__dellrp_min_trans__2,-1.8945657757,0.4533076863
lrp__dellrp_min_stat__1,0.2585404475,-0.1790554393
lrp__dellrp_min_stat__2,0.17002788300000002,0.061112838200000005
lrp__dellrp_liv_log__1,-0.7828518949000001,0.3727389507
lrp__dellrp_liv_log__2,-1.1273116071,0.3633938778
lrp__dellrp_liv_trans__1,-0.11015527600000001,0.19121726460000002
lrp__dellrp_liv_trans__2,-0.1743175964,0.0761156492
lrp__dellrp_liv_stat__1,1.0995841269,-0.12504265380000001
lrp__dellrp_liv_stat__2,0.5201160475000001,-0.1703403994
lrp__dellrp_rich_log__1,-0.45672114480000003,-0.5806633567
lrp__dellrp_rich_log__2,0.0455724031,-0.34125658000000003
lrp__dellrp_rich_trans__1,0.46121436660000004,0.1586803487
lrp__dellrp_rich_trans__2,0.029536987100000002,0.3059063038
lrp__dellrp_rich_stat__1,-1.484254413,0.6533628411
lrp__dellrp_rich_stat__2,-2.1782001236,0.6396781947
mazF_circuit__t0__1,0.478858375,0.1177316125
mazF_circuit__t2__1,-0.7485438164,-0.2029773514
mazF_circuit__t4__1,0.1973942844,-0.2864206353
mazF_circuit__t6__1,1.1548214729,-0.3896446799
mazF_circuit__t8__1,-0.6042140284,-0.2715475576
mazF_circuit__t0__2,-0.478858375,-0.1177316125
mazF_circuit__t2__2,-1.3582651459,-0.3849372525
mazF_circuit__t4__2,0.8219349772000001,-0.2350940508
mazF_circuit__t6__2,0.6861998976,-0.4963570014
mazF_circuit__t8__2,-0.040295791000000004,-0.3025062355
mazF_ribo__emptyvec_mrna_5m__1,0.122107086,-0.0227853028
mazF_ribo__emptyvec_mrna_5m__2,-0.122107086,0.0227853028
mazF_ribo__mazF_mrna_5m__1,-1.3986680201000001,0.5059307590000001
mazF_ribo__mazF_mrna_5m__2,-1.144196164,0.5220536202
mazF_ribo__emptyvec_total_5m__1,0.4440396076,-0.28835563740000003
mazF_ribo__emptyvec_total_5m__2,0.6534313254,-0.30859583
mazF_ribo__mazF_total_60m__1,-3.7189578401,0.47550454750000004
mazF_ribo__mazF_total_60m__2,-3.2080978855,0.35914804710000003
mercury__ctrl_t00__1,0.6362313656,-0.07780722300000001
mercury__ctrl_t10__1,0.6090889443,-0.0679480266
mercury__ctrl_t30__1,0.5551485882,0.3012816942
mercury__ctrl_t60__1,0.3394038224,0.6471607349
mercury__hg_t10__1,0.7237312793,0.4830495536
mercury__hg_t30__1,-1.4987689439,0.9615755846
mercury__hg_t60__1,-1.0988253055,0.9884820055
mercury__pma_t10__1,-1.2902013702000001,-1.7535600693000002
mercury__pma_t30__1,0.5211313434,-1.3108494062
mercury__pma_t60__1,0.4141202664,-0.0104752093
mercury__ctrl_t00__2,-0.5105093152,0.026860301700000002
mercury__ctrl_t10__2,0.8665980552,-0.1049925444
mercury__ctrl_t30__2,0.5505001941000001,0.4953268162
mercury__ctrl_t60__2,1.0165239701,0.8346245204
mercury__hg_t10__2,0.9984281939,0.6075146243
mercury__hg_t30__2,-1.4371655541,0.8869648945
mercury__hg_t60__2,-0.4170781857,0.2024330979
mercury__pma_t10__2,-1.1124037943,-1.5999229885
mercury__pma_t30__2,0.4504616624,-0.8331875274
mercury__pma_t60__2,1.0716681391,0.0332687209
mercury__ctrl_t00__3,-0.1257220504,0.0509469213
mercury__ctrl_t10__3,0.6999101283,-0.0438646424
mercury__ctrl_t30__3,0.5808757814000001,0.574569082
mercury__ctrl_t60__3,0.7473567789000001,0.6475582016
mercury__hg_t10__3,1.1103403208,0.703588513
mercury__hg_t30__3,-0.7012668805000001,0.6867421515000001
mercury__hg_t60__3,-0.7086277013000001,0.5890126539
mercury__pma_t10__3,-1.1257731953,-1.5670979024
mercury__pma_t30__3,0.4070691173,-1.0426356868
mercury__pma_t60__3,0.7568666518,0.25334640880000003
ml_abx__az_lolcde__1,1.5485194692,0.3221756344
ml_abx__az_lolcde__2,-0.624319503,0.0502507278
ml_abx__az_lolcde__3,-2.1142992572,-0.27614491680000003
ml_abx__b01__1,-0.022084157700000002,-0.1291538956
ml_abx__b01__2,0.1376151638,-0.0302591538
ml_abx__b01__3,-1.3793118743,-0.08594941140000001
ml_abx__cro__1,2.7063354098,0.4897173219
ml_abx__cro__2,0.5627370645,0.032554089
ml_abx__cro__3,-0.4220460857,-0.22094729740000002
ml_abx__chl__1,-0.7443175112,-2.3692359081
ml_abx__chl__2,-0.1358590713,-2.5313509940000003
ml_abx__chl__3,-1.1751299045,-2.7165949758
ml_abx__cip__1,-0.7063894996,0.0330675075
ml_abx__cip__2,-1.6674814345,-0.0898064054
ml_abx__cip__3,-2.575450211,-0.5013427962
ml_abx__clr__1,-2.1820050413,-0.6533977718
ml_abx__clr__2,-0.7931959111,-0.7076251519
ml_abx__clr__3,-1.5787335821,-0.8294944737000001
ml_abx__cst__1,0.20658419050000001,0.1619420037
ml_abx__cst__2,-1.0765924842,-0.08504903200000001
ml_abx__cst__3,-2.3377534384,0.004563013
ml_abx__ctrl__1,2.0993957507,0.3540740518
ml_abx__ctrl__2,1.8439379094000001,0.2892338136
ml_abx__ctrl__3,-0.5312093735,0.002591529
ml_abx__ctrl__4,-0.8756602939,0.0298467218
ml_abx__ctrl__5,-1.526763431,-0.3158829271
ml_abx__ctrl__6,-1.0097005617,-0.35986318910000004
ml_abx__dox__1,-1.00328984,-0.8483788859
