,A,AlsR
cstr_pfr__str_1680m__1,-0.0329964274,-0.2543304491
cstr_pfr__str_ref1__1,0.1186205084,-0.0912629321
cstr_pfr__str_ref2__1,0.0059659943,0.0225805878
cstr_pfr__str_ref3__1,-0.1777978509,-0.0525619374
cstr_pfr__pfr_P5_0005m__1,-0.2217077083,-0.7402446101
cstr_pfr__pfr_P5_0010m__1,-0.4006171307,-0.7733771441
cstr_pfr__pfr_P5_0025m__1,-0.14357302190000001,-1.0555470809
cstr_pfr__pfr_P3_0025m__1,-0.2424905417,-0.5349363905
cstr_pfr__pfr_P1_0025m__1,-0.43116845930000003,-0.0083145356
cstr_pfr__pfr_P5_0045m__1,0.17485803090000002,-0.9818169249
cstr_pfr__pfr_P5_0120m__1,1.0162870048,-0.6394691148
cstr_pfr__pfr_P3_0120m__1,0.0719533168,-0.3308354035
cstr_pfr__pfr_P1_0120m__1,-0.2002666259,-0.33141607840000004
cstr_pfr__pfr_P5_0210m__1,1.2299981123000001,-0.6666224418000001
cstr_pfr__pfr_P5_1500m__1,0.0746082386,-0.6367416904000001
cstr_pfr__pfr_P3_1680m__1,0.1590279186,-0.264557176
cstr_pfr__pfr_P5_1680m__1,-0.20654212060000002,-0.6713696751
cstr_pfr__pfr_P1_1680m__1,-0.1800901027,-0.0665770326
cstr_pfr__str_0005m__2,-0.2540208779,-0.3074191159
cstr_pfr__str_0010m__2,-0.7615538793000001,-0.23318508970000001
cstr_pfr__str_0025m__2,-0.6559896976,-0.11365328320000001
cstr_pfr__str_0045m__2,0.117723451,-0.1678635077
cstr_pfr__str_0075m__2,0.193309318,-0.26470559250000003
cstr_pfr__str_0120m__2,-0.2978612905,-0.048974452700000004
cstr_pfr__str_0210m__2,0.17584779990000002,-0.0089453603
cstr_pfr__str_0330m__2,-0.0526070638,-0.0370965152
cstr_pfr__str_1500m__2,-0.1615970438,0.0053239006000000005
cstr_pfr__str_1560m__2,-0.0040269831,-0.1333469957
cstr_pfr__str_1680m__2,0.2592534636,-0.0879649343
cstr_pfr__str_ref1__2,-0.1186205084,0.0912629321
cstr_pfr__str_ref2__2,-0.0975929391,0.0195832815
cstr_pfr__str_ref3__2,-0.399529846,0.0212820877
cstr_pfr__pfr_P5_0005m__2,0.4306134528,-1.0040816331
cstr_pfr__pfr_P5_0010m__2,0.1541924903,-0.6996028659
cstr_pfr__pfr_P5_0025m__2,-0.3759477315,-0.7122669797000001
cstr_pfr__pfr_P3_0025m__2,-0.7427942595,-0.09182790140000001
cstr_pfr__pfr_P1_0025m__2,-1.0714833452,-0.1753053417
cstr_pfr__pfr_P5_0045m__2,-0.3166236149,-0.6188276691
cstr_pfr__pfr_P5_0120m__2,-0.0178421768,-0.7269453338
cstr_pfr__pfr_P3_0120m__2,-0.0818452199,-0.33026430900000003
cstr_pfr__pfr_P1_0120m__2,-0.0010634555,-0.1401211551
cstr_pfr__pfr_P5_0210m__2,0.59699455,-0.5918655092
cstr_pfr__pfr_P5_1500m__2,0.4026706867,-0.6830516331
cstr_pfr__pfr_P3_1680m__2,0.1878507784,-0.7700923999
cstr_pfr__pfr_P5_1680m__2,0.186297713,-0.33444961910000004
cstr_pfr__pfr_P1_1680m__2,0.2655883032,-0.23335399780000002
darobactin__daro_30m__1,1.4156662693,1.5825070306
darobactin__daro_30m__2,-0.2696520329,0.6168298909000001
darobactin__solv_1h__1,6.0671727456,1.9525971275
darobactin__solv_1h__2,3.4106795189,1.8672482998
darobactin__daro_1h__1,2.1766687151,1.657642698
darobactin__solv_1h__3,5.2898999773,2.2651102173
darobactin__daro_1h__2,2.635514443,1.9133377585
darobactin__daro_1h__3,2.9254736253,2.2702445799
darobactin__daro_30m__3,2.5198843547000003,1.0703858081
darobactin__solv_30m__1,-0.36316044750000004,0.3859534994
darobactin__solv_15m__1,-0.6858490769000001,-0.2562087064
darobactin__solv_15m__2,1.2239610135,0.2796956432
darobactin__daro_15m__1,2.5457732442000003,0.6994362994000001
darobactin__solv_15m__3,-0.5381119366,-0.0234869368
darobactin__daro_15m__2,1.3519417790000001,-0.0043230341
darobactin__daro_15m__3,1.4582759919,0.9110006097000001
darobactin__solv_30m__2,-0.0817830459,0.1136308585
darobactin__solv_30m__3,1.0479981438000001,-0.08926167480000001
ddp__pNT3_aroP__1,3.5258535098,1.6205594322999999
ddp__pNT3_aroP__2,5.1388278566,1.8182143314
ddp__pNT3_bamC__1,2.6067700794,0.372043202
ddp__pNT3_bamC__2,2.2877848519,0.6151588696
ddp__pNT3_cusA__1,4.0114638892,0.7856857675000001
ddp__pNT3_cusA__2,4.7201798772,1.6497308203
ddp__pNT3_hemX__1,5.0291104423,1.0340076884
ddp__pNT3_hemX__2,4.6098391898,1.0070669147
ddp__pNT3_empty__1,0.317610693,0.0344467876
ddp__pNT3_empty__2,-0.317610693,-0.0344467876
ddp__pNT3_topA__1,2.7408769418,-0.0261347457
ddp__pNT3_topA__2,2.9843012369,-0.0937554441
ddp__pNT3_yicR__1,6.6195718099,1.9409626429
ddp__pNT3_yicR__2,7.3820590186,2.1662115828
ddp__pNT3_yqjD__1,2.7107956252000003,0.4741128321
ddp__pNT3_yqjD__2,3.5016861427,0.6091955759000001
ecomics__del_gabT__1,0.004672035000000001,0.1588573384
ecomics__del_gabT__2,-0.004672035000000001,-0.1588573384
ecomics__del_putP__1,-1.1887622334,0.0832387998
ecomics__del_putP__2,-2.0906597632,0.1859481306
ecomics__del_entF__1,-0.4442431764,0.2513319972
ecomics__del_entF__2,-1.0152322016,0.3123660927
ecomics__del_entF__3,-0.3687495538,0.4462581504
ecomics__del_cysA__1,1.6751825736,0.5188213332
ecomics__del_cysA__2,1.6822384875,0.4340579942
elyC__wt_21C__1,0.6683831721,0.4501856917
elyC__wt_21C__2,0.4455345988,0.4416589987
elyC__wt_21C__3,0.31579225110000003,0.2025812063
elyC__wt_37C__1,0.0780153098,-0.057328286900000004
elyC__wt_37C__2,0.1855094539,0.0600376761
elyC__wt_37C__3,-0.2635247636,-0.0027093892
elyC__delelyC_21C__1,0.2010185679,0.3408476836
elyC__delelyC_21C__2,0.28955617,0.4234444733
elyC__delelyC_21C__3,0.2687785012,0.31352349560000004
elyC__delelyC_37C__1,-0.1835380816,0.15588714680000001
elyC__delelyC_37C__2,-0.24845907890000002,0.0859095212
elyC__delelyC_37C__3,0.2683075741,0.024435835200000002
evo_acid_w__F9_2__1,0.5861263946,-0.33070487870000004
evo_acid_w__F11_1__1,-0.1217109532,0.42289294040000003
evo_acid_w__F11_1__2,-0.1022925893,0.31509822860000003
evo_acid_w__F11_1__3,-0.40724146650000004,0.5009868322000001
evo_acid_w__wt__1,-0.22812609290000002,0.2438889566
evo_acid_w__F11_2__1,1.7872297603,0.5717988756
evo_acid_w__B11_2__1,1.7196569517,0.521794615
evo_acid_w__F11_2__2,0.9032708469,0.3938843683
evo_acid_w__wt__2,-0.4457017321,0.18655875430000002
evo_acid_w__B11_1__1,2.5560043541,0.922285651
evo_acid_w__H9_1__1,2.6004447354,-0.7212841868000001
evo_acid_w__H9_2__1,0.9516820954,0.2902569369
evo_acid_w__B11_2__2,2.1672065134,0.7672477706
evo_acid_w__wt__3,-0.7058563523,0.1520061373
evo_acid_w__H9_2__2,0.8496491557,0.3684455084
evo_acid_w__B11_2__3,1.5165580289,0.8093440196
evo_acid_w__F11_2__3,1.3980731399000002,0.5777691344
evo_acid_w__F9_2__2,0.2413822555,-0.2537686054
evo_acid_w__wt__4,-0.0067799972,0.0772217953
evo_acid_w__wt__5,0.0858183265,0.0072683212
evo_acid_w__wt__6,0.5079941327,0.0044511823
evo_acid_w__H9_1__2,2.254084127,-0.6839893061
evo_acid_w__F9_1__1,-0.1351481215,-0.2249278503
evo_acid_w__F9_1__2,-0.4537155672,-0.0305522054
evo_acid_w__B11_1__2,2.1406125213,0.5529642907
evo_acid_w__H9_2__3,0.842459987,0.381701779
evo_acid_w__wt__7,-0.4266950997,0.048077527
evo_acid_w__F9_1__3,0.2488386361,0.0679149206
evo_acid_w__F9_2__3,0.48151216560000004,-0.3719271704
evo_acid_w__wt__8,0.42554454680000003,-0.2788296381
evo_acid_w__B11_1__3,2.8988024557000003,0.5665289678000001
evo_acid_w__wt__9,0.7938022682,-0.44064303590000004
evo_bz__c3_1_bz__1,0.2179307762,0.1627265075
evo_bz__c3_1_bz__2,-1.4296828764,-0.38921936300000004
evo_bz__c3_1_bz__3,-1.4839343543,-0.7452204797
evo_bz__c3_1_bz__4,-1.5982207141,-0.5631765528
evo_bz__g5_1_bz__1,0.6529867569000001,0.16457787570000001
evo_bz__g5_1_bz__2,-1.5983611654,-0.1258574223
evo_bz__g5_1_bz__3,-0.042369087900000005,-0.1151195834
evo_bz__g5_1_bz__4,-1.1690289389,-0.6990723367
evo_bz__g5_1_bz__5,-1.3723245025,-0.8756493051
evo_bz__g5_1_bz__6,-1.2509499558,-0.64777477
evo_bz__w3110d13__1,0.8591260343,0.45820648070000003
evo_bz__w3110d13__2,0.25193995680000003,0.0836090198
evo_bz__w3110d13__3,-0.3199162199,-0.1563247634
evo_bz__w3110d13__4,0.1445892659,0.3607689243
evo_bz__w3110d13__5,-0.33607449500000003,-0.4679504279
evo_bz__w3110d13__6,-0.5996645421,-0.2783092336
evo_bz__w3110d13_bz__1,-2.0160855728,0.30005216430000003
evo_bz__w3110d13_bz__2,-1.9086358115,0.4788236547
evo_bz__w3110d13_bz__3,-1.7424901898,-0.995235292
evo_bz__w3110d13_bz__4,-1.8181934976,0.10095949800000001
evo_bz__c3_1_bz__5,0.0933402081,0.013647239
evo_bz__c3_1_bz__6,0.0706709314,0.3628538434
evo_bz__g5_2_bz__1,-1.8560813974,-0.9831820462
evo_bz__g5_2_bz__2,-1.8611724548000002,-1.1307411554
evo_bz__g5_2_bz__3,-0.8614445976,-0.9936695259
evo_bz__g5_2_bz__4,-0.6487845952,0.1003256572
evo_bz__g5_2_bz__5,-0.5774705394,0.116667321
evo_bz__g5_2_bz__6,-1.1003300984,0.095496838
evo_bz__w3110d13_bz__5,-1.9120348333,-1.1896780395
evo_bz__w3110d13_bz__6,-2.1191279613,-0.9689828650000001
evo_bz__a1_1_bz__1,-1.4471985661,-1.609673106
evo_bz__a1_1_bz__2,-0.45388599760000004,-0.2312912588
evo_bz__a1_1_bz__3,-0.8690310418,-0.5866078135
evo_bz__a1_1_bz__4,0.46710308770000003,0.0516867621
evo_bz__a1_1_bz__5,-0.5365769113000001,-0.6306777679000001
evo_bz__a1_1_bz__6,-0.750020456,-0.9381442367
evo_metab__wt__1,-0.1751965477,-0.5752386212
evo_metab__del_zwf__1,-0.0121436097,0.0445573422
evo_metab__zwf_ale1__1,0.5306724628,-0.0398134214
evo_metab__zwf_ale2__1,-0.12624482850000002,-0.1837594145
evo_metab__del_ppk__1,-1.0072107498,0.32893729400000005
evo_metab__ppk_ale1__1,-1.0451468328,0.44561066320000003
evo_metab__ppk_ale2__1,-0.8527504764,-0.6839801021
evo_metab__ppk_ale3__1,-0.052550975300000004,-0.5624204383
evo_metab__del_dapF__1,-0.1646861905,-0.9328578521
evo_metab__dapF_ale1__1,0.3112866322,-0.7833558616
evo_metab__dapF_ale3__1,-0.4208277487,0.054345134100000005
evo_metab__del_entC__1,-0.5536485075,0.1854118045
evo_metab__entC_ale1__1,-0.8747782471000001,0.2075359768
evo_metab__entC_ale2__1,-0.27675666190000003,-0.4472894281
evo_metab__del_dgk__1,0.1634988601,0.2243581677
evo_metab__dgk_ale1__1,-0.23716689670000002,0.34304163330000004
evo_metab__dgk_ale2__1,0.3369774873,-0.5367886737
evo_metab__dgk_ale3__1,-0.5255270107000001,0.27912646690000004
evo_metab__wt__2,-0.0504145514,0.5692565864
evo_metab__del_zwf__2,-0.9722129739,-0.1673413347
evo_metab__zwf_ale1__2,1.7868271607000001,0.342249158
evo_metab__zwf_ale2__2,1.2691309908,1.0748428002
evo_metab__del_ppk__2,-0.050463887400000004,0.5922772735
evo_metab__ppk_ale1__2,0.817128045,0.6450213867
evo_metab__ppk_ale2__2,0.0954272168,0.7121824001
evo_metab__ppk_ale3__2,0.2679963127,0.9510560615
evo_metab__del_dapF__2,-0.3311652987,0.045812870400000004
evo_metab__dapF_ale1__2,0.3230484884,-0.1889492084
evo_metab__dapF_ale3__2,-0.1141492108,0.0686637667
evo_metab__del_entC__2,0.186366245,0.2485705501
evo_metab__entC_ale1__2,0.2584354974,-0.054528757000000004
evo_metab__entC_ale2__2,0.8055659260000001,-0.48660921160000004
evo_metab__entC_ale3__1,0.5681327714000001,0.7462665648
evo_metab__del_dgk__2,0.3632847305,0.4475602786
evo_metab__dgk_ale1__2,0.7012556068,0.3858899844
evo_metab__dgk_ale2__2,0.693361839,0.0240401334
evo_metab__dgk_ale3__2,0.3119139564,0.2624005681
evo_metab__wt__3,0.22561109910000002,0.0059820348
evo_metab__del_zwf__3,-0.34759595390000003,0.4435722609
evo_metab__zwf_ale1__3,1.8056879065,0.4494200682
evo_metab__zwf_ale2__3,0.9368809062000001,0.8601389481
evo_metab__del_ppk__3,0.9101801076,0.45965496050000004
evo_metab__ppk_ale1__3,-0.5422509113,0.7172032055
evo_metab__ppk_ale2__3,0.2984400555,0.6536305885
evo_metab__ppk_ale3__3,0.043026384800000005,0.5211513525
evo_metab__del_dapF__3,-0.2167727717,-0.0091437603
evo_metab__dapF_ale1__3,0.3064588849,-0.1980088493
evo_metab__dapF_ale3__3,0.1970597205,0.10380241350000001
evo_metab__del_entC__3,0.2744913329,0.1857344089
evo_metab__entC_ale1__3,0.33910804440000003,0.3016155564
evo_metab__entC_ale2__3,-0.42477030730000004,0.7318327354
evo_metab__entC_ale3__2,0.0042355738000000006,0.6179947388
evo_metab__del_dgk__3,-0.7312416418000001,0.1665331159
evo_metab__dgk_ale1__3,0.2478655266,0.7130494064
evo_metab__dgk_ale2__3,0.7431499521,0.23891358640000002
evo_metab__dgk_ale3__3,-0.3224695361,0.3514576802
flag_reg__wt__1,-0.9555085095,-0.3245270114
flag_reg__del_fliA__1,4.8016446324,0.8853438534
flag_reg__del_flhC__1,4.7040002504,0.8016341748
flag_reg__del_flhD__1,5.5829303084,1.0803174711
flag_reg__wt__2,0.9555085095,0.3245270114
flag_reg__del_fliA__2,4.9627394703,0.8291456116
flag_reg__del_flhC__2,1.9543131031,0.0873838554
flag_reg__del_flhD__2,5.3936806653,0.9380852559
flgM__27C__1,-0.0946423943,-0.36134014070000003
flgM__27C__2,0.5023416176000001,-0.1720528723
flgM__27C__3,0.35568661770000004,-0.1335461773
flgM__32C__1,1.3996504436000001,-0.2359642352
flgM__32C__2,0.7231085634000001,-0.1179632367
flgM__32C__3,0.1185461943,-0.2396760476
flgM__37C__1,-0.2876826621,-0.0907984809
flgM__37C__2,0.0938821586,0.08596834390000001
flgM__37C__3,0.1938005035,0.004830137
flgM__42C__1,0.4491331241,-0.13903745750000002
flgM__42C__2,0.5190040624,0.1238333464
flgM__42C__3,-1.0321895578,0.1063544403
histone__untreated__1,-0.35947227460000003,-0.0147997682
histone__untreated__2,0.038527150100000004,0.0647583032
histone__untreated__3,0.3209451245,-0.049958535000000005
histone__10ug_H2A__1,-0.2137456762,-0.0892062866
histone__10ug_H2A__2,-0.09043174350000001,-0.025136544
histone__10ug_H2A__3,0.176504602,-0.1688639869
histone__50ug_H2A__1,0.5768310209,-0.0691567169
histone__50ug_H2A__2,0.3310073311,-0.3523795876
histone__50ug_H2A__3,0.6176948683,-0.0823113164
histone__100ug_H2A__1,0.8822468291000001,-0.1509870035
histone__100ug_H2A__2,0.677273399,-0.15220450230000002
histone__100ug_H2A__3,0.7166324448,-0.1681261283
hns__del_hns_spike__1,-0.2806632785,0.1622381206
hns__del_hns_spike__2,-1.4871369749,-0.5429404321
hns__del_hns__1,-0.2315255471,0.1498391905
hns__del_hns__2,-1.5501356819,-0.3800516483
hns__wt_spike__1,-1.9787743374,-0.6219053753
hns__wt_spike__2,6.2156027729,1.9405491666999999
hns__wt__1,-0.9645144079,-0.4128308247
hns__wt__2,0.9645144079,0.4128308247
hns_stpA__evo100G4_delhns_delstpA__1,8.2707834072,0.5686770595
hns_stpA__evo100G4_delhns_delstpA__2,7.7210911014,0.1636451753
hns_stpA__evo100G12_delhns_delstpA__1,4.5935547705,-0.0453922747
hns_stpA__evo100G12_delhns_delstpA__2,4.3993706427,-0.2261515839
hns_stpA__delhns_delstpA_delrpoS__1,3.0771997296,-0.407400609
hns_stpA__delhns_delstpA_delrpoS__2,2.3692509583,-0.8713612169
hns_stpA__wt__1,0.06731884190000001,0.2592795928
hns_stpA__wt__2,-0.06731884190000001,-0.2592795928
hns_stpA__delhns_delstpA__1,3.3944283363,-1.012572308
hns_stpA__delhns_delstpA__2,3.9011637632,-0.5999834572
hu__wt_log_pH7__1,-3.5260482752,-2.8999762723
hu__wt_log_pH7__2,-2.4166161377,-2.0894743021
hu__wt_log_pH7__3,-3.4525815188,-2.9963856622
hu__wt_lag_pH7__1,1.3433713412000001,0.8377801921
hu__wt_lag_pH7__2,-0.5297762537,-0.2377191304
hu__wt_lag_pH7__3,-0.8135950875,-0.6000610618000001
hu__delhupA_lag_pH7__1,2.5183285071,0.933190366
hu__delhupA_lag_pH7__2,-1.7491251237,-1.0410206734
hu__delhupA_lag_pH7__3,-1.8022764808,-1.0241812342
hu__delhupB_lag_pH7__1,-2.070311468,-1.2538469085
hu__delhupB_lag_pH7__2,-1.9806603293,-1.15794335
hu__delhupB_lag_pH7__3,-0.8271325057000001,-0.9217317295
hu__delhupAhupB_lag_pH7__1,1.4144993938,-0.3158222925
hu__delhupAhupB_lag_pH7__2,-0.7274985911,-1.4603101197
hu__delhupAhupB_lag_pH7__3,0.1389101693,-1.0017487993
hu__hupAE34K_hupB_lag_pH7__1,0.2883383436,0.4229415849
hu__hupAE34K_hupB_lag_pH7__2,-0.9049571790000001,-0.5271529153
hu__hupAE34K_hupB_lag_pH7__3,-0.4692055238,-0.38366643300000003
hu__hupAE34K_delhupB_lag_pH7__1,1.8667498417,0.8281959280000001
hu__hupAE34K_delhupB_lag_pH7__2,-0.7598262532000001,-0.15980685020000002
hu__hupAE34K_delhupB_lag_pH7__3,-0.475961564,-0.47798340780000004
hu__wt_lag_pH5__1,-2.9708469456,-0.8614222272000001
hu__wt_lag_pH5__2,-2.8909777801,-1.564478617
hu__wt_lag_pH5__3,-2.7131283029,-1.2350373172
hu__delhupA_lag_pH5__1,-3.5277133283,-1.4240456924
hu__delhupA_lag_pH5__2,-3.3794038571,-1.0196339402
hu__delhupA_lag_pH5__3,-4.3614948781,-1.7916133676000001
hu__delhupAhupB_lag_pH5__1,-1.4468313022000001,-1.7991292568000001
hu__delhupAhupB_lag_pH5__2,-1.4120700023000001,-1.761454809
hu__delhupAhupB_lag_pH5__3,-2.6654937405,-1.5105550822
hu__hupAE34K_hupB_lag_pH5__1,-2.6227363282000002,-1.1532067525
hu__hupAE34K_hupB_lag_pH5__2,-2.8296189151,-1.3676398008000001
hu__hupAE34K_hupB_lag_pH5__3,-2.4224841876,-1.2271016668
hu__hupAE34K_delhupB_lag_pH5__1,-2.6980408709,-1.5334029508
hu__hupAE34K_delhupB_lag_pH5__2,-2.7591804291,-1.3000719115
hu__hupAE34K_delhupB_lag_pH5__3,-3.2245925141,-1.4730560955
hyperpersistence__low_GFP__1,3.3645797327,0.4587380265
hyperpersistence__wt__1,0.16572518890000001,-0.13944955650000002
hyperpersistence__high_GFP__1,3.10636439,0.3280149672
hyperpersistence__pth_mut__1,1.0751139314,-0.2477469591
hyperpersistence__pth_mut__2,1.5700790306,-0.4516145581
hyperpersistence__metG_mut__1,0.4378141264,0.0369398254
hyperpersistence__metG_mut__2,0.47689757320000004,-0.26779428050000004
hyperpersistence__high_GFP__2,2.2830330500000002,-0.0937880117
hyperpersistence__wt__2,-0.16572518890000001,0.13944955650000002
hyperpersistence__low_GFP__2,2.1068220681,0.0475132094
kan_efg__cpxAF218Y__1,7.1812563423,2.2401592898000002
kan_efg__cpxAF218Y__2,9.0982378638,2.4858016696
kan_efg__cyaAN600Y__1,3.2882535789,0.9940413619
kan_efg__cyaAN600Y__2,5.1950474594,1.6547520149000001
kan_efg__fusAA608E__1,-0.7336783760000001,-0.16852673040000002
kan_efg__fusAA608E__2,0.38510611780000004,-0.2985934504
kan_efg__fusAA608E_cpxAF218Y__1,1.4794433588,0.9071305017
kan_efg__fusAA608E_cpxAF218Y__2,2.299759368,0.5654266638000001
kan_efg__fusAA608E_cyaAN600Y__1,2.0546922777,0.6808481251
kan_efg__fusAA608E_cyaAN600Y__2,2.202093063,1.1694388032
kan_efg__fusAA608E_rpoDL261Q__1,2.4952402867,1.2414456979
kan_efg__fusAA608E_rpoDL261Q__2,0.9120940568,0.7196320309
kan_efg__fusAA608E_topAS180L__1,3.6411053449,1.2135966623
kan_efg__fusAA608E_topAS180L__2,2.8982250472,0.4306991297
kan_efg__rpoDL261Q__1,1.6831282743,0.9457121815
kan_efg__rpoDL261Q__2,3.1485150844,1.4709934623
kan_efg__wt__1,0.1438592356,-0.23290055780000002
kan_efg__wt__2,-0.1438592356,0.23290055780000002
lrp__wt_min_log__1,0.2402764902,0.1110911966
lrp__wt_min_log__2,-0.2402764902,-0.1110911966
lrp__wt_min_trans__1,-1.2063206558,-2.1092558371
lrp__wt_min_trans__2,-1.216289189,-1.0682819657
lrp__wt_min_stat__1,-3.6803778122,-2.6382934073
lrp__wt_min_stat__2,-3.2869000285,-2.0224337381
lrp__wt_liv_log__1,-1.1080954346,0.0332817549
lrp__wt_liv_log__2,-1.2072518569,-0.1482471827
lrp__wt_liv_trans__1,-1.9886189128,0.2016308855
lrp__wt_liv_trans__2,-0.1185840528,0.4633209655
lrp__wt_liv_stat__1,-2.5084633924,-2.4349836766
lrp__wt_liv_stat__2,-3.3300737938,-2.7118897788
lrp__wt_rich_log__1,-1.0326453511,-0.4683387853
lrp__wt_rich_log__2,-1.0670038605,-0.8078351955
lrp__wt_rich_trans__1,-1.9703605593,-1.7094016375
lrp__wt_rich_trans__2,-4.0090221537,-1.2264792526
lrp__wt_rich_stat__1,0.7197153083000001,0.5169847994
lrp__wt_rich_stat__2,-0.8706470141,0.45786687800000003
lrp__dellrp_min_log__1,-1.4605956397,0.0776536465
lrp__dellrp_min_log__2,-0.831255466,-0.0497739565
lrp__dellrp_min_trans__1,-2.2050169441,-0.9433476238
lrp__dellrp_min_trans__2,-2.0224169722,-0.815830428
lrp__dellrp_min_stat__1,-3.0160956698,-1.9940091069
lrp__dellrp_min_stat__2,-2.6710248971,-1.7453539789999999
lrp__dellrp_liv_log__1,-1.8340184121,-0.1177378044
lrp__dellrp_liv_log__2,-2.0859316364,-0.0487729473
lrp__dellrp_liv_trans__1,-1.5508693476,0.43912649730000003
lrp__dellrp_liv_trans__2,-1.0990697829,0.45374358800000003
lrp__dellrp_liv_stat__1,-2.9809281584000002,-2.4448456799000002
lrp__dellrp_liv_stat__2,-3.8720620631,-1.9637477018
lrp__dellrp_rich_log__1,-1.3308701411000001,-0.6892281687
lrp__dellrp_rich_log__2,-1.6193966146,-0.7615255532
lrp__dellrp_rich_trans__1,-3.6888004802000003,-2.0284906461
lrp__dellrp_rich_trans__2,-3.893881644,-1.6069405447
lrp__dellrp_rich_stat__1,-1.040468499,-1.2133796739
lrp__dellrp_rich_stat__2,-1.4222297781,-0.8643657948000001
mazF_circuit__t0__1,0.38774343850000004,-0.1783137693
mazF_circuit__t2__1,4.3070739708,-0.1182367849
mazF_circuit__t4__1,1.4500574898,0.0747307394
mazF_circuit__t6__1,3.4168871265,0.2014268016
mazF_circuit__t8__1,1.8836590448,0.10551453840000001
mazF_circuit__t0__2,-0.38774343850000004,0.1783137693
mazF_circuit__t2__2,2.1162347865,-0.10887780180000001
mazF_circuit__t4__2,4.0970668122,0.0696350199
mazF_circuit__t6__2,2.5555218009000003,0.7102307812
mazF_circuit__t8__2,2.5736024608,-0.3329367754
mazF_ribo__emptyvec_mrna_5m__1,-0.3242261182,-0.0862363227
mazF_ribo__emptyvec_mrna_5m__2,0.3242261182,0.0862363227
mazF_ribo__mazF_mrna_5m__1,-0.6445138519,0.3670246359
mazF_ribo__mazF_mrna_5m__2,-0.5500540244000001,0.6029587249
mazF_ribo__emptyvec_total_5m__1,0.3152019152,-0.8960162787
mazF_ribo__emptyvec_total_5m__2,0.6376336888,-1.1427176534
mazF_ribo__mazF_total_60m__1,1.9703046215,-2.2980293542
mazF_ribo__mazF_total_60m__2,-0.3249354598,-2.0209614467
mercury__ctrl_t00__1,-0.45329900570000004,-0.3098113757
mercury__ctrl_t10__1,-0.4272849883,-0.349284321
mercury__ctrl_t30__1,-0.1509999316,0.0053816815
mercury__ctrl_t60__1,-0.2169829714,0.1770000214
mercury__hg_t10__1,4.8021249519,-0.0832161218
mercury__hg_t30__1,1.2687403467,0.14965792690000002
mercury__hg_t60__1,-0.5534838326,0.24909547110000002
mercury__pma_t10__1,2.7524152944,-1.0501065576
mercury__pma_t30__1,1.8065503917,-0.6379418445
mercury__pma_t60__1,-1.8980104835,0.0100856386
mercury__ctrl_t00__2,0.509615762,0.258436068
mercury__ctrl_t10__2,-0.45656636310000004,-0.37615938730000004
mercury__ctrl_t30__2,0.4522241731,-0.0866424516
mercury__ctrl_t60__2,0.3565716638,0.025949543000000002
mercury__hg_t10__2,4.0688236086,0.0174826423
mercury__hg_t30__2,1.2921272553,0.1537688733
mercury__hg_t60__2,-1.6748827731,-0.0348091828
mercury__pma_t10__2,3.3028969635,-0.9870175451000001
mercury__pma_t30__2,1.7279076792999999,-0.281207253
mercury__pma_t60__2,1.1402525877,0.34047815140000004
mercury__ctrl_t00__3,-0.0563167563,0.051375307700000004
mercury__ctrl_t10__3,-0.3727398787,-0.1968579088
mercury__ctrl_t30__3,0.2271249421,0.26321591040000003
mercury__ctrl_t60__3,0.29451024330000003,0.29102762730000004
mercury__hg_t10__3,5.9939419098,0.1597150372
mercury__hg_t30__3,2.2637725311,0.0649038331
mercury__hg_t60__3,-1.1001863685,0.1928752399
mercury__pma_t10__3,2.5833279317,-0.6292692165
mercury__pma_t30__3,1.4487876145,-0.44281203020000004
mercury__pma_t60__3,0.8652956485000001,0.2924764456
ml_abx__az_lolcde__1,-0.6117608872,0.3071044287
ml_abx__az_lolcde__2,-0.6557567212000001,0.1091782938
ml_abx__az_lolcde__3,0.5660014745,0.3487405027
ml_abx__b01__1,-0.1026055206,0.2260622598
ml_abx__b01__2,-0.2027834407,0.0356272905
ml_abx__b01__3,-1.0408629976,0.08229751610000001
ml_abx__cro__1,0.3340007601,0.4177736307
ml_abx__cro__2,-0.7710796635,-0.018772027900000002
ml_abx__cro__3,-0.027257491800000002,-0.22612774770000002
ml_abx__chl__1,-0.5053584465000001,-1.5582251553000002
ml_abx__chl__2,-0.806043822,-1.5311067513
ml_abx__chl__3,0.5566347171,-1.8236435368000001
ml_abx__cip__1,-0.7160720639,0.203532121
ml_abx__cip__2,-1.089371936,-0.0431858726
ml_abx__cip__3,-0.7359578842000001,-0.6737193314000001
ml_abx__clr__1,-0.4337177659,-1.3704522639
ml_abx__clr__2,-0.3039901027,-1.3986030928
ml_abx__clr__3,0.0475450246,-1.3905698799000001
ml_abx__cst__1,0.5647214304,0.48026805600000005
ml_abx__cst__2,-0.4270908982,0.1127135315
ml_abx__cst__3,-0.0455708996,0.350263417
ml_abx__ctrl__1,0.49889076060000004,0.3512514036
ml_abx__ctrl__2,0.539418798,0.3818570384
ml_abx__ctrl__3,-0.41574691220000004,0.0815885749
ml_abx__ctrl__4,-0.7207732139,0.1457790941
ml_abx__ctrl__5,-0.0258809124,-0.44511467930000004
ml_abx__ctrl__6,0.12409147990000001,-0.5153614317
ml_abx__dox__1,-0.9266752244,-1.3098789048000001
