,A,Fnr,CsgD
SRX5694553,0.2210244338,0.1865548514,-0.0652053023
SRX5694554,-1.1480590636,-0.3567155809,-0.4504052525
SRX5694555,-6.4503985094,0.4367343567,-0.4522476345
SRX6072760,-24.3041873115,0.6625246456,-1.6218622497
SRX6072761,-22.8612906165,0.7880810208,-1.7154327632
SRX6072762,-23.686591313,0.6348490171,-0.9214372066000001
SRX6072763,-21.2688310712,0.5130885568,-0.5881428025000001
SRX6072764,-23.3812666772,0.7836153299,-1.4970924989
SRX6072765,-22.9340727884,0.5666938681,-1.2375888077
SRX6376491,-5.155608126,-0.2069186369,0.9342210245
SRX6376492,-14.5063247329,0.30096120800000004,1.1125684253
SRX6376493,-14.3890918927,0.2233268874,0.948683507
SRX6376494,-16.2628588484,0.36914748480000004,1.0679156079
SRX6376495,-5.4115792599,-0.38116480880000003,0.8418915447
SRX6376496,-4.8450536947,-0.179866355,0.7958064078
SRX2723951,0.1191934251,0.3573392885,0.5565650389
SRX2723952,0.4566065353,0.5215083736,1.5095329643
SRX2723953,-0.0046797879,0.4033689451,-0.4480020584
SRX2723954,1.4243204079,0.10380176390000001,2.1610253437
SRX2723955,-0.9512349954,0.4097892231,0.441008069
SRX2723956,0.1116508182,0.5224825499,0.6763945254
SRX2723957,-0.0084897857,0.1528474884,0.032595272
SRX2723958,-0.5323061857,0.3481605142,-0.8577438980000001
SRX2723959,0.5696966136,-0.0266460084,-0.0804442221
SRX2723960,0.7415754405,0.1774931888,0.9411423123
SRX2723961,2.1019857706,-0.1232001154,2.6584718880000002
SRX2723962,0.42120793310000004,0.190084841,1.0296327507
SRX2723963,-0.3003448828,0.2671184528,-0.4983865846
SRX2723964,-0.1399817467,0.2566617834,0.28884266940000003
SRX2723965,0.2983259762,0.1341478918,0.494180905
SRX2723966,-0.1644794506,-0.0535312287,0.1735773756
SRX2723967,0.06999947000000001,0.0033558917,-0.1538225831
SRX2723968,0.0944799806,0.050175337,-0.0197547925
SRX6977206,-0.1458605563,0.0681602907,-1.3089056556
SRX6977207,1.9878456335,-0.1688407481,-1.4182541952
SRX6977208,-1.1745761584,0.44868520630000003,-0.1334641933
SRX6977209,-0.2726284648,0.41306374030000004,-0.45331068880000003
SRX6977210,-0.8631831236,0.3264594677,-0.5744405577
SRX6977211,-0.5796518392000001,0.28664804520000003,-0.5633038613
SRX6977212,0.9239435939,-0.0931429685,0.48486800830000004
SRX6977213,-0.3442917547,-0.1935050767,0.0784358529
SRX6977214,-1.5275178354999999,-0.101350492,-1.9774498499000002
SRX1153733,0.739439237,-0.0045074173,0.0638712775
SRX1153734,-0.739439237,0.0045074173,-0.0638712775
SRX1153735,-0.1044352771,0.0400032595,-0.8394109744
SRX1153736,-0.5330756017,0.3296413226,-0.9090670203000001
SRX5204053,-1.0786172316,0.2247859218,-0.2584035589
SRX5204054,-0.470271667,0.1810715899,2.4070818476999998
SRX5204055,-0.6538289565000001,0.1722943406,0.23820675300000002
SRX5204056,-1.2007477101,0.4185490194,1.1434008267
SRX5204057,-1.7549181692,0.4755510751,1.1068238992
SRX5204058,-0.6491998782,0.5168922582000001,1.1044264185000001
SRX5204059,0.5406719781,0.422114445,1.6009084152000002
SRX5204060,0.7417383665,0.285798337,1.7649216126
SRX5204061,0.1175423438,0.2501234208,1.4820572628
SRX5204062,-1.6007202710000001,0.316269336,0.8726084874000001
SRX5204063,-1.2471281969,0.2082039373,1.1065131776000001
SRX5204064,2.4055551315,0.1760932673,1.0916410061
SRX5204065,-0.4446505437,0.5466445614000001,1.5602481261999999
SRX5204066,-0.44796904660000003,0.5152025342000001,1.5252151785999999
SRX5204067,-0.0859562204,0.400732146,1.5333861283
SRX5204068,6.4415203975,0.1717214819,0.7969841224
SRX5204069,7.3152495136,0.0191047924,0.9368934019
SRX5204070,3.6873886312,0.3088587501,1.0977207655
SRX5204071,5.9452112145000005,0.2009671556,1.4865905772999999
SRX5204072,4.7264116415,0.0443876464,1.5104424478
SRX5204073,4.3587650484000005,0.2179832945,1.5687698345999999
SRX5204074,3.6035827003,0.332161076,1.6000966189999999
SRX5204075,6.926435415,-0.0487828519,0.5832973049
SRX5204076,3.3438716376,0.22229229550000001,1.3763723642
SRX5204077,3.6455086915,-0.13260173050000001,1.2404330671000001
SRX5204078,2.2078184247,0.0773141388,1.1764048521000001
SRX5204079,2.7964010164,-0.0241015952,0.8935658894
SRX5204080,-1.3747886335000001,0.5893290409,1.7604626507
SRX5204081,0.0197676161,0.3070388345,2.0724323101
SRX5204082,0.053138218,0.2197501316,2.1172602608
SRX5204083,-1.6199929270000002,0.287546719,-0.6150775307
SRX5204084,-0.9452298721,0.40118421330000004,-0.648314939
SRX5204085,-2.2455080103,0.388749069,-0.10672723860000001
SRX5204086,-1.4381633543,0.20197490540000002,-1.3566833518
SRX5204087,-2.0223744874,0.17172482890000001,-0.6254271947000001
SRX5204088,-1.5538329485,0.2927978321,-0.8218894126
SRX5204089,-1.1091633738,0.2198247872,-0.3075408559
SRX5204090,-0.315524711,0.0283784921,0.0306489884
SRX5204091,-1.4104166859,0.1787224295,-0.0927277572
SRX5204092,-1.2954580943,0.35757155150000003,0.5645120563
SRX5204093,-1.3686295720000001,0.32179454960000003,0.1988634649
SRX5204094,0.6081350661,0.2417419562,0.8579878918
SRX5204095,0.7085332053000001,0.014165511200000001,0.3110094492
SRX5204096,-0.5802553897,0.052952773200000004,-0.3554933242
SRX5204097,-0.1282778156,-0.0671182844,0.044483875000000006
SRX683459,0.0643622747,-0.0865634136,-0.1112715774
SRX683460,1.3203336609,1.4925420012,-3.0371357535
SRX683461,0.0766073717,0.0187624909,-0.6222067009000001
SRX683462,2.3075535927,1.3185055078,-2.1673506822
SRX683463,-0.1409696463,0.0678009227,0.7334782783
SRX683464,0.6746584675,1.2534834047,-3.1107227446
SRX683465,0.6358715079,0.0170366385,-1.4799478883
SRX683466,1.7994768619000001,1.3079558571,-5.0349818772
SRX683467,-0.018583053000000002,-0.0336556815,-1.5931385984
SRX683468,1.7245908826,1.0205551288,-3.7944203587
SRX683469,0.4140216948,0.0949490676,-1.5917862653000001
SRX683470,2.7053845755,1.441513244,-3.1333813315
SRX322077,-0.3458148529,-0.1323695671,-0.9539324876
SRX322078,0.2900192525,-0.2324718932,-0.4072508782
SRX322079,-1.0274669504,-0.10928785190000001,-0.8304444145000001
SRX322080,0.7559610336,-0.32368347410000003,0.1886865691
SRX322081,-0.8676604014,-0.11529488510000001,-0.1086935785
SRX322082,-0.3084590091,-0.22967213860000002,0.1064083876
SRX322083,0.4062439204,0.2338020884,0.384124263
SRX322084,0.5470687573,-0.3037351931,0.14234598610000002
SRX322085,-0.9533126777,0.0699331047,-0.5264702491000001
SRX2708592,-18.0506721125,1.1604539591,-0.2473875235
SRX2708593,-14.7889296016,0.4299474667,-1.0580737569
SRX2708594,-7.8254101425,0.3209733046,-2.0257294442
SRX2708595,-0.9735972977,0.3724001926,-0.163443038
SRX2708596,0.5759048475,-0.1817715842,0.4455977122
SRX2708597,0.3976924502,-0.1906286084,-0.2821546743
SRX2708598,-1.5931887258000001,-0.37520259570000003,-1.0276877211
SRX2708600,0.0703705719,0.0849805542,0.2649967518
SRX2708601,1.5843518691,0.2663450693,0.7399438028
SRX2708602,-0.8386083723000001,-0.4927120686,-0.0669165438
SRX2708603,-0.2744764725,-0.0509766252,0.21361282450000002
SRX3073814,-0.2867504815,-0.0513239485,-0.159801681
SRX3073815,-0.4146885886,-2.3506769454,-1.9711330886
SRX3073816,1.8466236610000002,-5.1327364186,-1.5468705717
SRX3073817,5.8907080998,-5.1188929344,-0.8742855097000001
SRX3073818,5.4492924254,-4.3981483095,-0.9650238545000001
SRX3073819,1.2984637242,-0.1353633723,-0.1119690346
SRX3073820,1.2184628772,-3.5406721412,-1.8205836643
SRX3073821,2.9086035371000003,-5.2387007732,-1.5522132258
SRX3073822,5.9834399116,-4.5451895689,-1.1336180788
SRX3073823,5.7153301741,-4.1218901623,-0.3110332813
SRX3073824,0.2867504815,0.0513239485,0.159801681
SRX3073825,0.6174306225,-2.7297899689,-1.0726307617
SRX3073826,2.6469280997,-5.6583522764000005,-1.4223878021
SRX3073827,5.632043059,-5.0748165103,-1.1469520709
SRX3073828,6.4601970588,-3.9025083213,-0.1384380939
SRX3073829,0.8701331933,-0.0606556909,-0.4875114722
SRX3073830,1.1208944863,-3.6474522219,-1.9711330886
SRX3073831,2.8705574898,-5.2328087462,-1.5506060122
SRX3073832,4.5498457369,-4.6032559245,-0.168981821
SRX3073833,4.6679694123,-3.272672501,-0.1165474311
SRX2391456,2.2943538628,0.2888071605,-0.0783400466
SRX2391457,0.3729975326,0.1720216361,-0.645102084
