,A,RpoN
ecoli_00588,-2.5670488773,-0.0264383985
ecoli_00589,-2.1634744061,-0.0546527225
ecoli_00590,-1.2250546082,0.5829297555
ecoli_00591,-1.6655945133999999,0.5613484905
ecoli_00592,-0.8647757391,-0.14981532150000001
ecoli_00593,-0.49337112180000003,-0.1837448455
ecoli_00594,0.71668293,-0.0036341635000000003
ecoli_00595,3.1899835545,0.1658283905
ecoli_00596,1.5926943824,0.0205433285
ecoli_00597,-1.9185078202999999,0.21667420850000002
ecoli_00598,2.2394990976,0.0112280895
ecoli_00599,-2.2092206394,-0.36405524850000004
ecoli_00600,-1.9036013561,0.3111515255
ecoli_00601,-1.4572121501,-0.1095378275
ecoli_00602,-0.5164203923,0.20060357350000002
ecoli_00603,-0.5988876412,0.2044626135
ecoli_00604,-0.4265116937,0.7214413065
ecoli_00605,0.1382666877,0.47509002450000004
ecoli_00606,3.6467141585,-0.0012772825
ecoli_00607,6.4683317148,0.5333985945
ecoli_00608,5.8646025534,0.43752258250000003
ecoli_00609,6.8309835265,0.6292353135000001
ecoli_00610,6.6101391717,0.6935646275
ecoli_00611,6.104930148,0.7096221445
ecoli_00612,5.7981317479,0.5490633515000001
ecoli_00613,3.2546947818,0.38270378250000003
ecoli_00614,3.3420207122,0.5317026175
ecoli_00615,1.4709707057,0.32177281750000003
ecoli_00616,3.4028132947,1.0387586395
ecoli_00617,1.6450763102,0.7807106995
ecoli_00618,-2.5757434083,-0.6619373595
ecoli_00619,-2.7531084698,-0.6886624015
ecoli_00620,-5.303811667,0.3639911735
ecoli_00621,-5.446792483,0.4181526745
ecoli_00622,-4.4928877382,-0.3027139525
ecoli_00623,-4.5395391336,-0.2294121175
ecoli_00624,-4.7377986122,-0.6752084325000001
ecoli_00625,-4.9754285435,-0.7001562895
ecoli_00626,-4.4636440987,-0.6758072755
ecoli_00627,-4.395857243,-0.6667562165
ecoli_00628,-3.7969018248,-0.2244549285
ecoli_00629,-3.9207101245000002,-0.23038316350000002
ecoli_00630,-4.8110831086,-0.4698841735
ecoli_00631,-4.7583734195,-0.34259508050000004
ecoli_00632,-4.7670590829,-0.34609081950000004
ecoli_00633,-4.917334484,-0.29315443950000003
ecoli_00634,-5.0896485517,-0.4103532495
ecoli_00635,-4.5155904317,-0.4097902645
ecoli_00636,-5.1521933849,-0.010625480500000001
ecoli_00637,-4.9201523824,0.1026944045
ecoli_00638,-4.8038729092,-0.3790837845
ecoli_00639,-4.3225613983,-0.3653819715
ecoli_00640,-5.2023224176,-0.0390298085
ecoli_00641,-4.6483030779,-0.0708471245
ecoli_00642,-4.90334976,-0.1678207175
ecoli_00643,-5.5909022915,-0.1215239885
ecoli_00644,-4.3742538766,-0.2834546405
ecoli_00645,-4.4394647771,-0.2936915055
ecoli_00646,-4.0527400589,-0.1554430345
ecoli_00647,-3.8935616586,-0.1909206545
ecoli_00648,-4.4058121426,-0.4381272775
ecoli_00649,-4.3080268444,-0.5072351155
ecoli_00650,-4.0895658297,-0.3236103265
ecoli_00651,-4.2549989584,-0.3152281775
ecoli_00652,-5.372616131,0.3772275345
ecoli_00653,-4.8391777662,0.4713452045
ecoli_00654,-4.2965777322,-0.49914643150000004
ecoli_00655,-3.9601842299000003,-0.5765470325000001
ecoli_00656,-4.8616442989,-0.2218257805
ecoli_00657,-4.8977212968,-0.26260565550000003
ecoli_00658,-3.8573611991,-0.5524234145
ecoli_00659,-4.5588388184,-0.6181498235
ecoli_00660,-4.8321357,-0.2863432065
ecoli_00661,-4.7453774773,-0.2234836775
ecoli_00662,-4.7133024062,-0.5789815825
ecoli_00663,-3.8487013880000003,-0.6365236015
ecoli_00664,-4.1514496312,-0.3627711165
ecoli_00665,-5.1492101047,-0.3556979195
ecoli_00666,-4.7257657384,-0.3680545135
ecoli_00667,-4.2820334674,-0.2477449405
ecoli_00668,-4.5749939779,0.1857449145
ecoli_00669,-4.4459721906,-0.1397556565
ecoli_00670,-4.8553761682,-0.2050005615
ecoli_00671,-5.0331951848,-0.2403741175
ecoli_00672,-3.9636812554,-0.5625685945000001
ecoli_00673,-4.795144822,-0.20587615450000002
ecoli_00674,-3.3403313481,-0.6013450635
ecoli_00675,-3.7382166953000002,-0.5111193215000001
ecoli_00676,-4.4516698437,-0.4546311475
ecoli_00677,-4.4219031906,-0.47544337550000004
ecoli_00678,-5.1157369466,0.0990366065
ecoli_00679,-4.7227901249,-0.0413608685
ecoli_00680,-4.4619386832,-0.3635768115
ecoli_00681,-4.6487206053,-0.38040332450000003
ecoli_00682,-4.7470819652,-0.3731952155
ecoli_00683,-5.1807848401,-0.28678619050000004
ecoli_00684,-5.0703495657,-0.5622381075
ecoli_00685,-4.6759114108,-0.5448340115
ecoli_00686,-3.1626386404,-0.5518908805
ecoli_00687,-3.092069794,-0.6164907045
ecoli_00688,-3.669549289,-0.4496087445
ecoli_00689,-4.0235758333,-0.49740478050000003
ecoli_00690,-4.367812303,0.3518467965
ecoli_00691,-4.2768904652,0.4238499325
ecoli_00692,-4.2944359897,0.35059642350000003
ecoli_00693,-5.3601201262,0.3138272545
ecoli_00694,-4.8370541563,0.3502177365
ecoli_00695,-4.8516454132,0.4558035455
ecoli_00696,-4.7378885896,0.3690663845
ecoli_00697,-5.0757734767,0.3895514205
ecoli_00698,-3.8870098541,-0.6220706795000001
ecoli_00699,-2.7852732988,-0.6767325695
ecoli_00700,-3.5914903642000002,-0.49460908750000004
ecoli_00701,-4.0859404693,-0.4172348825
ecoli_00702,-4.3729845144,-0.1512001095
ecoli_00703,-4.6391526797000004,-0.0181514145
ecoli_00704,-4.4152221598,-0.2972588865
ecoli_00705,-4.10152446,-0.2248034465
ecoli_00706,-4.6108522301,-0.8157619265
ecoli_00707,-4.2785243363,-0.7753620785
ecoli_00708,-3.8285006797000003,-0.33266990550000003
ecoli_00709,-4.2118860434,-0.32475625150000004
ecoli_00710,-4.4105509341,-0.45473696150000004
ecoli_00711,-4.6405465735,-0.4467050085
ecoli_00712,-4.5678588428,-0.1882296565
ecoli_00713,-4.5573156894,-0.062310198500000004
ecoli_00714,-4.7951609484,0.2519647185
ecoli_00715,-4.2093111031,0.2920224275
ecoli_00716,-0.18744189,-0.28184503850000003
ecoli_00717,-1.0607626124,-0.8375191875
ecoli_00718,0.6765892783,-0.8755422445000001
ecoli_00719,0.7151768573,-0.8478276895
ecoli_00720,0.7460185766,-0.9475169255
ecoli_00721,0.6755703221,-0.8894887965
ecoli_00722,-2.4448958641000003,0.0065715535000000005
ecoli_00723,-2.2493661579,0.2952120125
ecoli_00724,-4.9323144112,0.0335448455
ecoli_00725,-4.6431276865,-0.3289632545
ecoli_00727,-4.7591849982,-0.1639050735
ecoli_00728,-2.736252969,0.007994069500000001
ecoli_00729,-3.5622940101,-0.40173492250000004
ecoli_00730,-2.3376719862,-0.3176374205
ecoli_00731,-2.2092247332,-0.9078056795
ecoli_00732,-1.7805718099,-0.8691407145000001
ecoli_00733,-3.4430781003,-0.0448260425
ecoli_00734,-3.5830513894,-0.5316725625000001
ecoli_00735,-2.1870605391,-0.13411185050000002
ecoli_00736,-0.6925214153,-0.4775874075
ecoli_00737,-2.977232732,-0.1441814945
ecoli_00738,-3.6731588909,-0.5893052335
ecoli_00739,-1.0134880116,-0.2548413645
ecoli_00740,-0.4660873056,-0.5838333585000001
ecoli_00741,-1.2950376556,0.0623602315
ecoli_00742,-3.2254403245,0.056222137500000005
ecoli_00743,-2.966916169,-0.3702040085
ecoli_00744,-2.9766952924,-0.5853429765
ecoli_00745,-0.8955074161000001,-0.6505461315000001
ecoli_00746,-0.932941506,-0.5475108445
ecoli_00747,6.1398310873,-0.5961471685
ecoli_00748,6.2980515948,-0.6008778045000001
ecoli_00749,-2.7925596111,-0.1563252765
ecoli_00750,-3.5340354136,-0.2022130325
ecoli_00751,-3.8488833761,-0.2654163195
ecoli_00752,-4.0521016751,-0.2265341555
ecoli_00753,-2.3077636924,-0.8789651625
ecoli_00754,-1.7209275351,-0.9101878965
ecoli_00755,-5.033311427,-0.9609956225
ecoli_00756,-5.5184712081,-0.7625850225
ecoli_00757,-1.2756228096,-0.9130500165000001
ecoli_00758,-2.2125276852,-0.9932835145000001
ecoli_00759,-3.5051370214,-0.1830543285
ecoli_00760,3.3921147814,-0.1204056705
ecoli_00761,1.3310649887000001,-0.8071900495000001
ecoli_00762,1.0726547138,-0.8075885545
ecoli_00763,0.1763748649,-0.8632410745
ecoli_00764,-0.1641421894,-0.7118772435
ecoli_00765,1.0277858018,-0.7625813295
ecoli_00766,0.0598662037,-0.7222617405
ecoli_00767,-2.8786941138,-0.5274534285
ecoli_00768,-2.4379844138,-0.7828259425
ecoli_00769,-2.4434522753,-0.33171512950000004
ecoli_00770,-2.5459815593,-0.2405007045
ecoli_00771,-3.3620139815,-0.42912548450000004
ecoli_00772,-3.1704295517,-0.5798692935
ecoli_00773,-3.5474190222,-0.4509718735
ecoli_00774,-2.6820972825,-0.4706106745
ecoli_00775,-2.0040084166,-0.28283903250000003
ecoli_00776,-2.6329045522,-0.2615874805
ecoli_00777,-3.3464553261,-1.1434939765
ecoli_00778,-3.9998369337,-1.0954794625
ecoli_00779,4.0979878984,-0.22479323450000002
ecoli_00780,5.38876734,-0.3639794045
ecoli_00781,-0.7130450442,-0.8097514835
ecoli_00782,-0.6709765357,-0.7847996785
ecoli_00783,0.9579215337,-0.6090815945
ecoli_00784,0.1438689631,-0.6521726465000001
ecoli_00785,-4.4958942538,-0.8886906245
ecoli_00786,-5.1855205844,-0.8849519425
ecoli_00787,-3.7419062811,-0.5974948625000001
ecoli_00788,-2.8730828121,-0.5990323295000001
ecoli_00789,-3.8310484823,-0.8479203105
ecoli_00790,-4.0987212166,-0.8574053305
ecoli_00791,-2.0176455773,-0.6288421885000001
ecoli_00792,-3.9052374005,-0.35688139950000003
ecoli_00793,-3.298203392,-0.8300912035
ecoli_00794,-4.2686561466,-0.7878773665000001
ecoli_00795,-1.9366111341,-0.4982351705
ecoli_00796,-1.9077290753,-0.44691374850000004
ecoli_00797,-1.8603507315,-0.0801798185
ecoli_00798,-5.0668697821,-0.5635753085
ecoli_00799,-2.7710961522,-0.33522521250000004
ecoli_00800,-2.2138360959,-0.0202607985
ecoli_00818,-2.5139169554,0.0265213165
ecoli_00819,-2.6467870671,-0.1403242235
ecoli_00820,-1.1979820257,-0.3575453595
ecoli_00821,-0.525244642,-0.23443426650000002
ecoli_00822,-4.8168977692,-0.2876658005
ecoli_00823,-4.3120691458,-0.19440356250000002
ecoli_00824,-2.5544171113000003,-0.2966178795
ecoli_00825,-4.265513032,-0.2533718325
ecoli_00826,-3.1455017512,-0.37620577250000004
ecoli_00827,-3.1862504108,-0.4171447105
ecoli_00828,-1.0041543651,-0.4454550105
ecoli_00829,-0.9252879586,-0.4394860775
ecoli_00830,-1.7298794421,-0.2071152765
ecoli_00831,-1.9062638633,-0.1979544145
ecoli_00832,-3.7897114889,-0.0423634065
ecoli_00833,-2.8294826724,-0.6271038335
ecoli_00834,-0.3198484737,-0.2973758145
ecoli_00835,-0.6123953289,-0.2686383705
ecoli_00836,0.0187207861,-0.3025577295
ecoli_00837,0.2237591348,-0.3075298135
ecoli_00838,-2.4807291156,-0.2713144085
ecoli_00839,-2.4276142256,-0.1981763815
ecoli_00840,-1.6839322884999999,-0.1437790375
ecoli_00841,-1.5032909242999999,-0.0864600845
ecoli_00842,0.2240770941,-0.2839299685
ecoli_00843,0.4258988187,-0.3086236345
ecoli_00844,-2.2451033733,-0.2746889305
ecoli_00845,-1.7318037016,-0.1811969235
