,A,RpoE
SRX6977206,-1.1388391135,-0.9056821913
SRX6977207,-1.015275262,-0.7522342177
SRX6977208,2.6129984556,0.6841045771
SRX6977209,2.0759339402,0.5291464291
SRX6977210,2.3833217543,0.43805633850000003
SRX6977211,-0.4064220318,0.0154340919
SRX6977212,-0.1654701758,0.0972478843
SRX6977213,0.5718922076,-0.1126819763
SRX6977214,-0.6542590931000001,-0.9783134025
SRX1153733,-0.5548390886,-0.0588310989
SRX1153734,0.5548390886,0.0588310989
SRX1153735,-0.9938364823,-0.135167025
SRX1153736,0.6589839297,-0.1066680514
SRX5204053,-1.6140076248000002,-0.4695306369
SRX5204054,-1.4649181751,0.1290201821
SRX5204055,-1.2919597399,-0.024400661900000002
SRX5204056,0.0137854885,0.370392785
SRX5204057,0.7127188680000001,0.3671316578
SRX5204058,0.2133102192,0.233294048
SRX5204059,-2.2270731299,-0.6344617665
SRX5204060,-1.9242350154,-0.3644281453
SRX5204061,-1.9651876292,-0.3569655141
SRX5204062,-1.6412696181,-0.5300811784
SRX5204063,-1.5158082768,-0.3769854939
SRX5204064,-2.1889530685,-0.0503973806
SRX5204065,0.5073844942,0.3162541391
SRX5204066,-0.1844644735,0.1663152336
SRX5204067,-0.0025612351000000003,0.0064936191
SRX5204068,-3.1699671131000002,-0.8824118795
SRX5204069,-1.715014846,-0.3157613749
SRX5204070,-2.1188942579,-0.5396443839
SRX5204071,-0.9610673757,0.2067657843
SRX5204072,-1.6804407965000001,0.0059977523
SRX5204073,-1.7851862881,0.0404286892
SRX5204074,-2.1974743886,0.36918581
SRX5204075,-1.7751371455,-0.1447553324
SRX5204076,-0.32323586600000004,0.4233458431
SRX5204077,-1.8900023143,-0.2810372727
SRX5204078,-2.3319688278,-0.2544497653
SRX5204079,-2.4830318285,-0.3748864839
SRX5204080,-2.3861315892,0.12621726290000002
SRX5204081,-1.9030035107,-0.14052733010000001
SRX5204082,-1.9373465965,-0.1646584921
SRX5204083,2.4430738101,0.3620400949
SRX5204084,1.5590942437000002,0.2450089112
SRX5204085,2.1813980994,0.41383345050000003
SRX5204086,0.218438182,-0.31389669470000003
SRX5204087,-1.0588917891,-0.2958349081
SRX5204088,1.0357877658,-0.2721039294
SRX5204089,-0.7678022731,-0.2034492161
SRX5204090,-1.3303569818,-0.48322709350000004
SRX5204091,-0.7119078182,-0.27568985560000003
SRX5204092,-1.5341244007000001,-0.32401345200000004
SRX5204093,-0.9642423867000001,-0.07748867720000001
SRX5204094,-1.5146243131000001,-0.3375705423
SRX5204095,-0.1333134231,0.1255986607
SRX5204096,0.237368464,-0.1652298384
SRX5204097,-0.1040550409,0.0396311778
SRX683459,0.1991476639,0.14304974010000002
SRX683460,-3.4033531601,0.8583234929
SRX683461,0.601365351,-0.0408818414
SRX683462,-2.9410810097,0.7036696528
SRX683463,-0.8005130149,-0.10216789870000001
SRX683464,-4.0152457354,0.6951129698
SRX683465,0.7133850355,0.0016535037
SRX683466,-4.8431225899,0.9773482003
SRX683467,-0.7624056223,-0.170150441
SRX683468,-5.5309319128,0.7662812826000001
SRX683469,-0.6419536464000001,-0.1587256089
SRX683470,-3.721470574,1.0042374901
SRX322077,0.9902209066000001,0.2238295877
SRX322078,0.565935623,0.1361044023
SRX322079,2.2727047238,0.2364307425
SRX322080,-0.1094211786,-0.3517759274
SRX322081,0.8026675274,0.3129768972
SRX322082,-0.1532444879,0.1858613336
SRX322083,-1.248206475,-0.052999976500000004
SRX322084,-0.3367008064,-0.16438142800000002
SRX322085,1.5849072814,0.21738140450000001
SRX2708592,0.9686811240000001,-1.5217251295
SRX2708593,-0.031585229,-1.8643059723
SRX2708594,-1.1086230689,-1.3179336294000001
SRX2708595,1.2283132209,0.1383876639
SRX2708596,-1.2198859725,-0.31897116610000004
SRX2708597,-0.0084272484,0.1805835022
SRX2708598,1.4252968385,-0.24524796670000001
SRX2708600,-1.5061570887,-0.3370099808
SRX2708601,-0.4786500097,-0.08627507870000001
SRX2708602,-0.4779168769,-0.40066145400000003
SRX2708603,-2.8742625508,-1.05842036
SRX3073814,-0.342515081,-0.3049253695
SRX3073815,-0.3437925817,-1.3694017824
SRX3073816,-4.8904227975,-3.1224026481
SRX3073817,-6.1212492594,-2.6830468649
SRX3073818,-5.5307119384,-1.7404617941
SRX3073819,0.2528155876,0.3373812125
SRX3073820,0.0011298817000000001,-0.9668009551000001
SRX3073821,-3.3827394477,-1.7794698623
SRX3073822,-2.8717875676,-1.4137767459
SRX3073823,-0.2753346755,-1.0947012043
SRX3073824,0.342515081,0.3049253695
SRX3073825,-0.3446663444,-1.4639912
SRX3073826,-5.4834026895,-2.7682479554
SRX3073827,-6.2898606565,-2.6983733837
SRX3073828,-4.8197489711,-1.5001987536999999
SRX3073829,0.2262764297,0.1840990149
SRX3073830,-0.2389414003,-1.6207054283
SRX3073831,-2.86692713,-2.0190064136
SRX3073832,-2.9399331377,-1.547225666
SRX3073833,-2.1136593248,-0.8627044022
SRX2391456,0.0537169786,-0.0997698469
SRX2391457,-1.2153106781,-0.6887506582
SRX2391458,-0.5357968299,-0.1126211423
SRX2391459,-0.5294146042,-0.19418186480000002
SRX2391460,-0.8710335509,-0.1864204587
SRX2391461,-0.5589300821000001,-0.137120026
SRX2391462,-0.45378397460000003,0.0015781623
SRX2391463,-1.4299175235,-0.0295615135
SRX2391464,-1.6459456672,-0.024604462400000002
