,A,AraC,FucR,ExuR,AllR
ddp__pNT3_aroP__1,-1.5332628003000002,0.009721810800000001,1.4298446786,0.8274905463000001,0.7458339180000001
ddp__pNT3_aroP__2,-1.7643607419,-0.835427558,1.4780425865,0.6600863259,-0.0694479501
ddp__pNT3_bamC__1,-4.4493612046,-2.5377231736,0.18461049070000002,0.0714463541,-2.2730183212
ddp__pNT3_bamC__2,-3.0281166822,-1.9785817451,0.7859282676,0.2133851822,-2.4260977373
ddp__pNT3_cusA__1,-4.659815319,-2.2046271862,0.38542306270000004,0.4344733776,-2.6006225945
ddp__pNT3_cusA__2,-3.1125316047,-1.4956536931,0.7869436861,0.48612697920000003,-2.8355968507
ddp__pNT3_hemX__1,0.6879350466,-0.2898452778,1.6278767360000002,0.0330759513,-1.5073567234
ddp__pNT3_hemX__2,-0.44390546820000004,-1.0609187945,1.2570197997,0.08723717900000001,-1.4534764638
ddp__pNT3_empty__1,0.2833566469,0.34045282790000003,-0.030662496,0.1455925323,0.2790673798
ddp__pNT3_empty__2,-0.2833566469,-0.34045282790000003,0.030662496,-0.1455925323,-0.2790673798
ddp__pNT3_topA__1,-4.5743093331,-1.1614121994,0.1163391993,0.6872455694,-0.3378152377
ddp__pNT3_topA__2,-5.8493005628,-2.154944903,-0.252371868,0.89991688,-0.46311889850000004
ddp__pNT3_yicR__1,0.5325933388,0.063299453,1.2023736258,0.1665749155,-1.5493357285
ddp__pNT3_yicR__2,-0.4004059654,-0.5829461271,1.1008408408,0.1462821287,-1.8720784225
ddp__pNT3_yqjD__1,0.43172945230000004,0.2888844886,0.8243176006,0.20867767180000002,0.045203922800000004
ddp__pNT3_yqjD__2,0.1219048971,-0.45179524190000003,0.7524963598000001,-0.0274355426,-0.5017371021
ecomics__del_gabT__1,0.8928745879000001,0.17716730560000002,-0.0589107813,0.0882920771,0.09066286900000001
ecomics__del_gabT__2,-0.8928745879000001,-0.17716730560000002,0.0589107813,-0.0882920771,-0.09066286900000001
ecomics__del_putP__1,0.3140425085,0.4316726833,-0.5676426661,0.0824169747,-0.0653510895
ecomics__del_putP__2,-0.0178359975,-0.1448580689,0.2017665992,-0.0227500513,-0.0825056306
ecomics__del_entF__1,-0.1567736498,0.2776557355,0.0735369877,-0.4729746664,-0.4608397437
ecomics__del_entF__2,-0.2212721208,-0.0892907262,-0.4665695664,-0.0850712301,-0.2592089951
ecomics__del_entF__3,-0.0709261528,-0.0867410934,-0.3365192115,-0.2673065583,-0.0901624191
ecomics__del_cysA__1,1.6504254637,0.6625560546,0.3990217634,-0.2538640575,-0.17223814340000002
ecomics__del_cysA__2,0.3616617559,0.4036865951,0.4481863454,-0.6705969986,-0.1911687045
elyC__wt_21C__1,-0.5905102745,0.4200076044,0.6163903464,0.5727749036,0.12283567840000001
elyC__wt_21C__2,-0.3690620108,0.403081201,0.5124833554,-0.10259937250000001,0.082853433
elyC__wt_21C__3,-0.8674615523,-0.0582631184,0.2942112324,0.1579641439,0.0695261316
elyC__wt_37C__1,0.0942390319,0.3013870591,-0.0985883661,-0.0399068173,0.036553272500000004
elyC__wt_37C__2,-0.1232694965,-0.3150426222,0.0685169462,0.0078771051,0.0022005014000000002
elyC__wt_37C__3,0.0290304646,0.0136555631,0.0300714199,0.0320297123,-0.0387537738
elyC__delelyC_21C__1,-0.6850718431,-0.09320221690000001,0.3775916743,0.1398666294,0.055560652200000005
elyC__delelyC_21C__2,0.19794650490000001,0.3412509697,0.6789393017,0.11926357180000001,0.1030247598
elyC__delelyC_21C__3,-0.5816520357,0.2089560987,0.46983881110000003,0.1828650715,0.0832496748
elyC__delelyC_37C__1,0.22430732550000002,0.1113893328,0.14411393050000001,0.10244449010000001,0.2001971942
elyC__delelyC_37C__2,-0.0678481239,0.0431680432,0.0917867302,0.1389328827,0.2145013711
elyC__delelyC_37C__3,-0.016755113500000002,0.4464579483,0.1825746114,-0.0369350927,0.278131014
evo_acid_w__F9_2__1,0.5680284863,0.6134773342000001,0.1980795149,0.0076532131,0.3420655957
evo_acid_w__F11_1__1,-4.1332945105,0.47445590790000003,-0.3845794517,-0.33766344930000003,0.42273130950000004
evo_acid_w__F11_1__2,-4.323641823,0.2591109635,-0.3955414628,-0.3419746555,-0.0054254599
evo_acid_w__F11_1__3,-2.6536460231,0.8429843669,0.08133029750000001,-0.1803963449,0.1531768675
evo_acid_w__wt__1,-0.9386606968000001,0.70408337,0.34928934500000003,-0.1127236655,-0.0651916434
evo_acid_w__F11_2__1,1.6321402304000001,0.8380630640000001,0.4136883092,-0.4417820867,0.6747955624
evo_acid_w__B11_2__1,1.2313832213,1.028018929,0.5122800258,-0.0387315104,0.5604221022
evo_acid_w__F11_2__2,2.4136335262,0.2424514069,0.058087273800000006,0.0449332147,0.3645911344
evo_acid_w__wt__2,-0.4170237048,0.5288634083,0.33968512700000003,-0.2216777212,-0.13713242
evo_acid_w__B11_1__1,2.1041482711,0.5225872033,0.8822255977000001,0.4024685649,0.3654229625
evo_acid_w__H9_1__1,-4.5020699337,0.27290066,-1.5457640231,0.3240196065,-0.4609890874
evo_acid_w__H9_2__1,1.4047900181,0.0127243836,0.0501228596,-0.8339552989,0.4369166251
evo_acid_w__B11_2__2,1.6847472091,1.3446598017,0.7832590127,0.06346438900000001,0.4311418065
evo_acid_w__wt__3,-0.8453100545000001,0.403715392,-0.0076452489,-0.1659245596,0.4782777925
evo_acid_w__H9_2__2,1.1445704241,-0.09567882030000001,-0.07883503260000001,-0.7564181955,0.6186079763
evo_acid_w__B11_2__3,1.7153969009,1.3220296009,0.8715949046,0.0602107837,0.4570748632
evo_acid_w__F11_2__3,3.0077860157,0.5956932989,0.2324559991,0.0904499921,0.5471640129
evo_acid_w__F9_2__2,0.46443865640000004,0.250753734,-0.0446974232,0.1380809014,0.38184604650000004
evo_acid_w__wt__4,-1.3231534758999999,-0.4123410637,-0.0214447462,0.3140037287,-0.0362068585
evo_acid_w__wt__5,-0.8247131148,-0.5360973185,-0.22271341800000002,0.23076826150000002,0.3222205543
evo_acid_w__wt__6,1.9032541332,-0.43909014490000003,-0.2964666309,0.142665742,-0.18219354070000002
evo_acid_w__H9_1__2,-4.3581385407,0.3444305331,-1.6438298615,0.2059445308,-0.7550741711000001
evo_acid_w__F9_1__1,-2.2091447519,0.6830318732,-0.0548297162,-0.1499606959,0.2862621942
evo_acid_w__F9_1__2,-2.269334554,0.6197824746,0.0425885429,-0.253059307,0.335622841
evo_acid_w__B11_1__2,2.8250183363,-0.08210153640000001,0.4639746625,0.21670549260000002,0.8435688256
evo_acid_w__H9_2__3,1.0236748826,-0.037150511000000004,0.2691094328,-0.9276847295,0.5739149264
evo_acid_w__wt__7,-0.8537350568000001,-0.3848189158,0.0796627002,-0.1467460816,0.059619250400000004
evo_acid_w__F9_1__3,-1.9862840138000002,0.9779937716,0.4169261299,-0.1547989244,0.2939018249
evo_acid_w__F9_2__3,0.3609310723,0.6817172261000001,0.2116979007,0.07977364640000001,0.26716655500000003
evo_acid_w__wt__8,1.4242899112,0.10301082,-0.0207443808,-0.018805295200000002,-0.5149615505
evo_acid_w__B11_1__3,3.615591674,0.2673456105,0.7259731682,0.1542395403,0.4929333986
evo_acid_w__wt__9,1.8750520592000002,0.0326744526,-0.1996227474,-0.0215604089,0.0755684158
evo_bz__c3_1_bz__1,0.1506553962,0.3006796954,0.0938626974,0.5190934796000001,0.0052090497
evo_bz__c3_1_bz__2,-1.2008548114,1.0467167341999999,-0.305713946,-0.5654753476000001,-0.009825038500000001
evo_bz__c3_1_bz__3,0.3644337117,0.6846995737,-0.5965329016,-0.35308337970000003,-0.0379074508
evo_bz__c3_1_bz__4,0.6235117667,0.7299642595,-0.5720170596,-0.3688685991,-0.1096847256
evo_bz__g5_1_bz__1,0.0225341174,0.1638722247,-0.28824669010000004,-0.0659735384,0.35762813790000003
evo_bz__g5_1_bz__2,-1.2958423997000001,-0.7452465101,-1.5743600193,-0.2663489918,0.2946933102
evo_bz__g5_1_bz__3,0.7467222483,-0.1602735652,-0.7319760453,-0.2722878832,0.5537365607
evo_bz__g5_1_bz__4,0.0498046046,0.2025624118,-0.9106793954,-0.7551837876,0.4664260434
evo_bz__g5_1_bz__5,0.5278169679,0.3130440376,-0.7557285785000001,-0.6012501759000001,0.1196487225
evo_bz__g5_1_bz__6,0.1670587399,0.13806353300000002,-1.0255359911,-0.5902890666,0.3446221463
evo_bz__w3110d13__1,0.9424985906000001,-0.0513162032,0.5034999377,0.0852115501,-0.14799487320000002
evo_bz__w3110d13__2,0.4293574041,0.0975542724,0.12204773520000001,0.3828172197,-0.2906599925
evo_bz__w3110d13__3,-0.542696058,0.1839743882,-0.335919501,-0.1916338537,-0.0658961873
evo_bz__w3110d13__4,0.34436325640000004,-0.0371403102,0.2737447997,0.2885274339,-0.22425407630000002
evo_bz__w3110d13__5,-0.3643968174,-0.056877386700000004,-0.22541307330000002,-0.3328486761,0.30811602460000004
evo_bz__w3110d13__6,-0.8091263756,-0.1361947605,-0.3379598983,-0.23207367380000002,0.42068910470000004
evo_bz__w3110d13_bz__1,0.8276800759,0.5125351124,-0.18053365940000002,-0.0625242683,0.4316519453
evo_bz__w3110d13_bz__2,0.3034167126,0.4299942927,-0.1059746223,0.13842300400000002,0.34974395620000004
evo_bz__w3110d13_bz__3,0.745950385,0.8582736066000001,-0.5834724788,-0.5487805568,0.2644651138
evo_bz__w3110d13_bz__4,0.8848045306000001,0.7554463210000001,-0.1630413211,-0.1316708402,0.2899844146
evo_bz__c3_1_bz__5,0.7492643308,0.36295376360000003,0.3475133241,0.3749736674,0.2181158366
evo_bz__c3_1_bz__6,-0.470743128,0.1859776113,0.0709091176,0.4311447889,0.2940274487
evo_bz__g5_2_bz__1,-1.9007839032,-0.1579224079,-1.1805923065,-1.0252141187,-0.2805777648
evo_bz__g5_2_bz__2,-1.2813079408,-0.059696317400000004,-1.3196474137,-0.9448459044,-0.1171732702
evo_bz__g5_2_bz__3,0.40961910160000004,0.1493275316,-0.9702991617000001,-0.8517692569,-0.3233668041
evo_bz__g5_2_bz__4,1.4169555564,-0.0071215636,0.1062303337,-0.0710668881,0.3507829482
evo_bz__g5_2_bz__5,1.3081876166,-0.1302713735,-0.046324353900000004,0.030044491000000003,0.5238464553000001
evo_bz__g5_2_bz__6,-0.1924493639,-0.4894645912,-0.45245334460000003,0.1409047767,0.6308776899
evo_bz__w3110d13_bz__5,0.9503692601,0.7698994535,-0.7436014554,-0.4820504129,0.2544486996
evo_bz__w3110d13_bz__6,0.290116723,0.2595108725,-0.8928257973,-0.7629658701,0.3747878159
evo_bz__a1_1_bz__1,0.8535525418000001,0.4297828938,-0.081857074,0.207748543,0.2908284813
evo_bz__a1_1_bz__2,2.1297246319,0.2994966847,0.8239295537,-0.1776575326,0.3608491332
evo_bz__a1_1_bz__3,-1.4688640829000001,-0.4889413214,-0.7002787214,-0.4307695959,0.3132910558
evo_bz__a1_1_bz__4,2.3445668764,0.4117810494,0.8147287281000001,-0.054509487700000005,0.8127972925
evo_bz__a1_1_bz__5,-1.0837132371,-0.5787156613000001,-0.8516111479,-0.4993104316,0.1941684792
evo_bz__a1_1_bz__6,-0.8227448121000001,-0.3018689136,-0.6713983276000001,-0.3666229704,0.3485245414
evo_metab__wt__1,1.2543098736,0.2679321595,-0.08123082350000001,0.11604830910000001,-0.0179261351
evo_metab__del_zwf__1,0.8120668826,0.2492738814,0.012612788100000001,-0.1628103621,0.0088776535
evo_metab__zwf_ale1__1,1.3654234785,0.0898109545,-0.4339202686,0.36435208420000004,0.0208690527
evo_metab__zwf_ale2__1,1.3108414953,-0.2462648365,-0.6328500228,0.45415619840000004,1.1478949821
evo_metab__del_ppk__1,-1.3058370641,-0.0716205672,-0.216761587,-0.1448250479,0.0967650963
evo_metab__ppk_ale1__1,-1.3288573906,-0.3723333639,-0.3118123735,-0.0518627,0.4084512838
evo_metab__ppk_ale2__1,2.1363516204,0.1357822427,-0.7093556243,0.2999339064,0.3187880363
evo_metab__ppk_ale3__1,1.2883277851,-0.4689580478,-0.6329488184000001,0.2870338766,0.1791552985
evo_metab__del_dapF__1,1.8039635869000001,0.2316552728,-0.34372929420000004,0.0039502345,0.0835739727
evo_metab__dapF_ale1__1,2.1548184883,0.0978067351,-0.6600100659,0.2297718892,-0.075852105
evo_metab__dapF_ale3__1,-0.8233642103000001,-0.0996219658,-0.352890664,-0.2751565017,-0.3315894453
evo_metab__del_entC__1,-1.1899970187,-0.6281939362,-0.161774404,-0.4982075845,-0.07278668220000001
evo_metab__entC_ale1__1,-1.4507197695,-0.8241659711,-0.5017908288,-0.4801192728,0.0356625413
evo_metab__entC_ale2__1,1.7168210776000001,-0.0865447733,0.0446313876,0.208307118,0.0093520866
evo_metab__del_dgk__1,0.1717181189,-0.1799317196,-0.1326525032,0.0221847908,-0.2450230898
evo_metab__dgk_ale1__1,0.5215088008000001,-0.2843895088,0.12079154140000001,0.2275073401,0.15014209450000002
evo_metab__dgk_ale2__1,0.8573414163,0.019294473,-0.0416478006,1.2186711252,0.28210930830000003
evo_metab__dgk_ale3__1,0.6890888712000001,-0.3681766903,-0.41463731130000003,-0.1088021586,-0.0114744647
evo_metab__wt__2,-0.5060343997,-0.1446527665,0.0038764311,-0.0454055582,-0.1176218859
evo_metab__del_zwf__2,1.2925591389,0.31295897100000003,0.1619106175,0.2320876158,0.5865592518
evo_metab__zwf_ale1__2,0.37853582480000003,0.5780387417,0.3011270238,0.6094187011000001,-0.0523833358
evo_metab__zwf_ale2__2,1.4175587963,0.7553687183000001,0.2381954149,0.3341020467,0.8194164473000001
evo_metab__del_ppk__2,-0.961278413,0.12110150900000001,0.26141419720000003,-0.2583417615,-0.285374095
evo_metab__ppk_ale1__2,0.7119245509000001,0.4663173363,0.6768526377,0.6433703038,0.0360438658
evo_metab__ppk_ale2__2,-0.1836046922,0.2181288311,0.23182086940000002,0.2721168429,0.2213229063
evo_metab__ppk_ale3__2,-0.8238179082,-0.4767261647,-0.27176543270000003,-0.2134298031,0.0438811194
evo_metab__del_dapF__2,0.40703036060000003,-0.1326808465,-0.31521192270000004,0.19160159170000002,0.6546296476
evo_metab__dapF_ale1__2,0.9471939786,-0.2849716301,-0.5646727656,0.4184442138,1.1953348209
evo_metab__dapF_ale3__2,0.7918484416,0.0680929197,-0.2760856353,0.1867826861,0.9650763336
evo_metab__del_entC__2,-1.3632288633,-0.6718327809,-0.17492911860000002,-0.2795860097,-0.083633237
evo_metab__entC_ale1__2,-0.4374083889,-0.2966997703,-0.1530844828,0.0796391417,-0.20371586490000002
evo_metab__entC_ale2__2,0.3342085508,0.10530871900000001,-0.0206630229,0.47728629320000004,-0.5190044373
evo_metab__entC_ale3__1,0.40164661560000003,0.0203547013,0.10683910240000001,0.4891928059,0.1803805441
evo_metab__del_dgk__2,0.0493979291,-0.1010724596,0.20780736260000002,-0.1223763591,-0.43250031580000003
evo_metab__dgk_ale1__2,0.32919004420000003,-0.1285187512,-0.1169223384,0.3801585471,-0.0037433686
evo_metab__dgk_ale2__2,0.23655319200000002,-0.2318647067,-0.6562211525,0.8341103119000001,0.2277852901
evo_metab__dgk_ale3__2,0.5651981084000001,0.043366791,-0.5734528714,0.0876366637,-0.11688190150000001
evo_metab__wt__3,-0.748275474,-0.123279393,0.0773543924,-0.07064275090000001,0.13554802100000002
evo_metab__del_zwf__3,-1.1793202499,-0.6517728405000001,-0.6259517130000001,-0.7710200093,0.10498906770000001
evo_metab__zwf_ale1__3,0.3724958506,0.2881022746,0.180380121,0.4198565671,0.029700394800000002
evo_metab__zwf_ale2__3,0.5509043031,0.45173893930000003,-0.062161146800000004,0.18750063250000001,0.39972824220000003
evo_metab__del_ppk__3,-0.9944312447,0.2435239914,0.5798542768,0.0951268696,-0.07112785220000001
evo_metab__ppk_ale1__3,-0.40699649920000003,-0.1964827082,0.0173948801,-0.1781849302,0.0167156264
evo_metab__ppk_ale2__3,0.1035207907,0.547570906,0.49646891060000004,0.1528306459,0.1783988304
evo_metab__ppk_ale3__3,0.2943241319,0.1991079469,0.095968592,-0.0138568148,0.1103308774
evo_metab__del_dapF__3,0.4794359154,-0.2568791408,-0.5453681676000001,0.058215695500000005,1.0123866858
evo_metab__dapF_ale1__3,0.9811792787,-0.2097431971,-0.9358620709000001,0.4333560845,1.0188544058
evo_metab__dapF_ale3__3,-0.0604753986,-0.2358454096,-0.3384902363,0.15734619500000002,1.0659594005
evo_metab__del_entC__3,-0.2708455522,-0.1667072409,-0.13336334160000002,-0.31476318600000003,0.0325903489
evo_metab__entC_ale1__3,-0.2911255346,-0.36836323400000004,-0.0046534127,-0.1148541866,0.0019852866
evo_metab__entC_ale2__3,0.2518004392,-0.39057184650000004,-0.20800342670000002,-0.35146281,0.2665255898
evo_metab__entC_ale3__2,-0.6664479403,-0.6881487882,-0.3950179375,-0.051175229200000005,0.5785648972
evo_metab__del_dgk__3,-0.3388909074,-0.5725213063,0.023839249,-0.512814871,-0.1842042888
evo_metab__dgk_ale1__3,-0.0615921893,-0.6578676658,-0.030905764000000002,-0.1882127865,0.2501917191
evo_metab__dgk_ale2__3,-0.33883701110000003,-0.5030013248,-0.3564925808,0.31726717800000004,-0.0419699518
evo_metab__dgk_ale3__3,0.873732829,-0.754577691,-0.6906308058,0.0062678582,0.06940689
flag_reg__wt__1,-0.1368280883,-0.22205736750000002,-0.2574366138,-0.1067259602,-0.0035555338000000003
flag_reg__del_fliA__1,1.2807381834,0.9186510074,0.6448984149,0.0188656444,-0.1797724708
flag_reg__del_flhC__1,1.1309940285,0.8744248914,0.3629084231,0.13782188480000002,-0.0542284961
flag_reg__del_flhD__1,1.3711401501,1.3282830843,0.7773018114,0.26974244010000004,-0.44155617540000003
flag_reg__wt__2,0.1368280883,0.22205736750000002,0.2574366138,0.1067259602,0.0035555338000000003
flag_reg__del_fliA__2,1.6337313606000001,1.1030373564,0.6224618003,0.1794187759,0.1101954488
flag_reg__del_flhC__2,0.7387666189000001,-0.1722867797,-0.1862765224,-0.0895343785,-0.101388433
flag_reg__del_flhD__2,1.8238378699000002,1.0098002048,0.7865907587000001,-0.042574083000000006,-0.13121247390000002
flgM__27C__1,-1.2628174706,-0.9873824273,-1.0760344552,-0.2908281716,0.4193184985
flgM__27C__2,-1.3981088658,-0.9112199958,-1.2742551379,-0.249078509,-0.2001985102
flgM__27C__3,-1.1402085208,-0.9625031030000001,-1.245713538,-0.4141417676,-0.2788074817
flgM__32C__1,-0.4205283761,-0.1707189743,-0.4157617719,-0.14139787480000002,-0.0166957369
flgM__32C__2,-0.5260853182,-0.1235792418,-0.34883064410000003,-0.0667379874,0.0591332867
flgM__32C__3,-0.7920219191000001,-0.14754512050000002,-0.4094823891,-0.0690710124,0.23581962990000002
flgM__37C__1,-0.16978188090000002,-0.14719897510000002,-0.0455740197,-0.0075291497,-0.0427827126
flgM__37C__2,0.08494264500000001,0.0830630467,0.0250006165,0.0309717452,-0.0154381593
flgM__37C__3,0.08483923580000001,0.0641359284,0.0205734032,-0.0234425955,0.058220871900000006
flgM__42C__1,0.2931016021,0.5543648761000001,0.5197261419,-0.561092997,0.15881657370000002
flgM__42C__2,0.0418418294,0.7644111413,0.5539091317,-0.45863206370000004,0.27304784660000003
flgM__42C__3,0.126123603,1.1340267873,0.47376665960000003,-0.3174700453,0.4931688614
histone__untreated__1,0.1803416491,0.39448876310000003,-0.0016186521,-0.1297862559,0.0186644051
histone__untreated__2,0.0776477274,-0.35040600650000003,0.2124201573,0.018359851,-0.0440310537
histone__untreated__3,-0.2579893766,-0.0440827566,-0.21080150520000002,0.1114264049,0.0253666486
histone__10ug_H2A__1,-0.0429588297,0.14033333350000002,-0.2900732278,-0.1845265743,0.015474396100000001
histone__10ug_H2A__2,-0.36078401200000004,-0.241953613,0.1367886976,-0.1917876432,-0.1128304012
histone__10ug_H2A__3,-0.1304988957,-0.2100035505,-0.2775935871,-0.0718111637,0.1512507283
histone__50ug_H2A__1,0.2489571045,0.3935107785,-0.1810532681,-0.641551573,0.1817133185
histone__50ug_H2A__2,-0.0983720565,0.1609725923,-0.23601058160000002,-0.5230443384,0.2623526525
histone__50ug_H2A__3,0.2814793761,0.2725327931,-0.1846449526,-0.5747956635,0.2765318973
histone__100ug_H2A__1,0.186473991,0.46496645270000003,-0.0001962644,-0.7151101668000001,0.30946722800000004
histone__100ug_H2A__2,0.3399248621,0.5531294133,-0.07495821600000001,-0.6410908055,0.4016964776
histone__100ug_H2A__3,-0.0273522435,0.5206152678,-0.3337899099,-0.6202481905,0.4569369454
hns__del_hns_spike__1,1.7631932261,-0.37776893440000003,0.252600828,0.5338654415,0.48856735830000003
hns__del_hns_spike__2,1.7318857163999999,-1.2298935087,0.4476640973,0.6052570242,0.3441405393
hns__del_hns__1,1.8749334742000001,-0.0512283569,0.7327001757,0.6150667655000001,0.33453105310000003
hns__del_hns__2,2.4504678307,0.011053273800000001,1.1730952485,0.6939033876,0.2851681585
hns__wt_spike__1,-1.1592749529,-1.0855321812,-0.1825306942,0.11504386300000001,-0.0343718384
hns__wt_spike__2,3.4686632136,1.7873021987,2.1439020271,0.1737307934,0.3144365818
hns__wt__1,-0.6504503793,-0.7051472347000001,-0.1173218692,0.2445018338,0.2096630123
hns__wt__2,0.6504503793,0.7051472347000001,0.1173218692,-0.2445018338,-0.2096630123
hns_stpA__evo100G4_delhns_delstpA__1,3.2400857832,0.2460432494,-2.1334086665,-1.1866701773,-1.219918687
hns_stpA__evo100G4_delhns_delstpA__2,2.8166357866,-0.0838860479,-2.3796444193,-1.2578437847,-0.9706539057
hns_stpA__evo100G12_delhns_delstpA__1,4.8961398365,-1.0870385061,-1.3186966063,-1.1780562618000001,-3.6907875431
hns_stpA__evo100G12_delhns_delstpA__2,5.2395588304,-1.3616630092,-1.2700418906,-1.1368464222,-3.5513311112
hns_stpA__delhns_delstpA_delrpoS__1,7.5235981590000005,-1.5692470026,-1.9720254809000002,-1.0202915982,-3.7817459654
hns_stpA__delhns_delstpA_delrpoS__2,4.7279905523,-1.7528023783000002,-1.4964334821,-1.566842418,-3.8738627709
hns_stpA__wt__1,0.5313065356000001,0.4949563369,0.2605546674,0.014766857900000001,0.2417323211
hns_stpA__wt__2,-0.5313065356000001,-0.4949563369,-0.2605546674,-0.014766857900000001,-0.2417323211
hns_stpA__delhns_delstpA__1,-0.07337736930000001,-2.3254758538,-2.9173739860000003,-2.2349200551,-1.4402325998
hns_stpA__delhns_delstpA__2,0.8726031704,-1.8387677011,-2.5587663185,-2.0690999483,-1.3513161385
hu__wt_log_pH7__1,-1.2084268156,0.06413008220000001,-1.5882521588,-2.0593098968,-0.0134206414
hu__wt_log_pH7__2,-1.4607082266,0.10420508740000001,-0.8166466801000001,-1.6187726191,0.7058779319
hu__wt_log_pH7__3,-0.6547483385,-0.1048445172,-1.7399606908,-1.4414307299,0.2618829016
hu__wt_lag_pH7__1,-0.5881617714,-0.7859176605,-0.1905321485,0.0814157623,-0.2822252335
hu__wt_lag_pH7__2,-1.165079537,-1.2057348474,-1.3412903722,0.1867459431,-0.8650643923
hu__wt_lag_pH7__3,1.7532413085,1.9916525079,1.5318225207,-0.2681617054,1.1472896257
hu__delhupA_lag_pH7__1,0.7799120178000001,-0.0905442639,0.5850009607000001,0.2871766308,-0.2460213229
hu__delhupA_lag_pH7__2,-2.0245525246,-0.8418095255,-0.6129931865,0.2432465197,-0.7304185826
hu__delhupA_lag_pH7__3,1.82106495,1.6398643645000002,1.6399377799,-0.1602282534,1.0400615137
hu__delhupB_lag_pH7__1,-1.8944466273,-0.9753297224,-1.0300104183,0.1313105833,-0.40566854960000004
hu__delhupB_lag_pH7__2,-1.7820881926,-1.451800956,-1.1423188336,0.20505730530000002,-0.7068640425
hu__delhupB_lag_pH7__3,2.4509686934,1.8370916925,1.6601587613,-0.0813338926,1.1033285842
hu__delhupAhupB_lag_pH7__1,1.1773060498,0.077176305,0.8878629909,-0.6319738503,-0.4488300108
hu__delhupAhupB_lag_pH7__2,-1.4090863035,-1.1314023573,-0.44706988900000005,0.0826857628,-0.7689422345
hu__delhupAhupB_lag_pH7__3,2.8551898265,0.9677813186,1.5078889968,-0.7425505348,1.6445718101
hu__hupAE34K_hupB_lag_pH7__1,-0.5955123603,-0.2729058471,-0.6876625146,0.0417843284,-0.3639490281
hu__hupAE34K_hupB_lag_pH7__2,-1.6737611484000001,-0.9533078602,-1.3108918822,0.1498763522,-0.3629862175
hu__hupAE34K_hupB_lag_pH7__3,0.7712078936000001,1.3558431622,0.8053016938,-0.3398387925,1.0324711415
hu__hupAE34K_delhupB_lag_pH7__1,-0.18084434200000002,-0.2814683769,0.0874414362,0.0484114363,-0.2087589151
hu__hupAE34K_delhupB_lag_pH7__2,-1.0031434322,-0.37013291340000004,-0.8341546524000001,0.3120542237,-0.43613367200000003
hu__hupAE34K_delhupB_lag_pH7__3,1.0430050699,1.700046768,1.1125737332,-0.0280978448,1.1312676745
hu__wt_lag_pH5__1,-1.3730884508,-1.1103446499,-1.2534664539,-0.6985877651,0.8236169065000001
hu__wt_lag_pH5__2,-2.4223471127,-0.6237714294000001,-1.5744722335999999,-0.8315614796,0.9132604794
hu__wt_lag_pH5__3,-2.1341557418,0.5221389862,-0.9313367088000001,-1.0554249256,1.5846494568
hu__delhupA_lag_pH5__1,-2.4429588175,-0.544962917,-1.1821631453,-0.998237726,0.6003850055000001
hu__delhupA_lag_pH5__2,-1.5592861953,-0.5230728328,-0.9956935301000001,-0.5291707222,0.9982390845
hu__delhupA_lag_pH5__3,-1.8218722583,0.1449944278,-1.0377150012,-1.2846923368,1.4389022604
hu__delhupAhupB_lag_pH5__1,-1.9140394486,-1.0869287306,-1.4251058001,-0.652638496,0.5920943481000001
hu__delhupAhupB_lag_pH5__2,-2.3097593052,-0.2068123476,-1.2202788298,-0.6215672831,0.6558136957
hu__delhupAhupB_lag_pH5__3,-1.0044988579,1.2837420336,-0.43399877400000003,-0.9869969138,1.9841193739
hu__hupAE34K_hupB_lag_pH5__1,-2.2364846907,-0.2984828402,-1.6781823841999999,-0.8683347387,0.8232429050000001
hu__hupAE34K_hupB_lag_pH5__2,-1.4788529556,0.688113889,-0.9760679783,-1.4605311305,1.6932983006
hu__hupAE34K_hupB_lag_pH5__3,-1.7814837981,1.1883608016,-0.7999137714000001,-1.1366352344,1.8059725333
hu__hupAE34K_delhupB_lag_pH5__1,-2.0915454944,0.12083839440000001,-0.959912673,-1.5359343881,1.4343658451
hu__hupAE34K_delhupB_lag_pH5__2,-2.5195510914,-0.6148699674,-1.570888623,-0.6343006186,0.9983395678
hu__hupAE34K_delhupB_lag_pH5__3,-2.1512329235,0.6228400980000001,-1.0776713694,-1.3945215265,1.7080328545999999
hyperpersistence__low_GFP__1,0.1245241415,-2.2037528271,0.0765605395,0.8011156540000001,-0.8134772002
hyperpersistence__wt__1,0.055088477500000003,-0.1885465114,-0.0901412302,-0.1330241987,-0.090405368
hyperpersistence__high_GFP__1,0.7153067771,-2.0641413919,-0.0316612129,1.051280009,-0.2564706539
hyperpersistence__pth_mut__1,0.9524444030000001,-0.0204495094,-0.2651533479,0.1760468466,-0.2597250587
hyperpersistence__pth_mut__2,1.2004975952,0.0811050682,-0.6466717676,0.3437314832,-0.23934786190000001
hyperpersistence__metG_mut__1,1.7275554738999999,0.3992944772,-0.5410146531,0.7740818675000001,0.8580327872
hyperpersistence__metG_mut__2,1.349115815,0.038609298,-0.38346044570000004,0.4390456682,0.28273182880000003
hyperpersistence__high_GFP__2,1.2263293908,-1.4980785642,0.028444579,0.7159515482000001,-0.0922443788
hyperpersistence__wt__2,-0.055088477500000003,0.1885465114,0.0901412302,0.1330241987,0.090405368
