,A,CsrA,ModE,Fnr,CueR
abx_mega__ery_h2o__4,-6.7991596485,-4.1409700268,-0.1167415036,0.1838410419,-1.4548574495
abx_mega__ceru_ethanol__2,-5.0948352551,-0.5156415035,1.0043362311,1.4458719120999999,1.1033804072
abx_mega__fidax_dmso__2,1.184179339,-1.3482866155,0.3573652395,0.061060066100000004,-0.2776440663
abx_mega__novo_dmso__1,-2.1440362052,-1.8707387892,0.0491137611,0.8339819837,-0.5315615528000001
abx_mega__naoh-6__4,0.3854845281,0.10861044600000001,0.7136323096,0.2749615761,0.3051509696
abx_mega__amyc-d_dmso__8,-2.6588120445,0.5903519086,0.49124046520000003,0.1675077619,1.0080807709
abx_mega__chl_dmso__3,-8.4809768986,-0.5735428810000001,-0.1776472617,0.2359552994,0.3489422475
abx_mega__nal_naoh__7,-4.3981246067,-0.44168136090000004,0.1203394014,-0.1143720156,-0.2471695462
abx_mega__teix_dmso__9,1.6835094273,-2.926938808,0.5464989562,0.19924687600000002,-1.6150755141
abx_mega__ery_dmso__3,-7.0820628836,-0.8944498936,-0.3332144837,-0.1930182149,0.5639781764
abx_mega__tmp_dmso__3,3.437212475,-0.4775251495,0.5068711812,0.021624803,0.4034062081
abx_mega__sxt_dmso__3,-2.9385408756,-3.2055158009,0.5044298082,0.1404174962,-1.0851648698
abx_mega__polmyx_h2o__4,0.7351137862,-1.4497340298,1.7335421085,0.7190717129,0.4218257594
abx_mega__mem_dmso__3,-1.1288467695,-0.7535968583,0.1816284735,-0.106792127,-0.1274348999
abx_mega__nal_naoh__8,-2.2275925962,-1.8777853226,0.5657694921,-0.5226446066,0.26355322470000003
abx_mega__pen_h2o__3,-0.3693700581,-0.5905872327,0.0826401606,-0.9448240483,-0.1868931076
abx_mega__van_dmso__5,-4.0597930675,0.5072856450000001,-0.1840936303,0.3519942873,0.7114636464
abx_mega__zeocin_h2o__4,-1.8349022160000001,-1.7299840971,1.331956183,-0.3420308308,0.7371242041
abx_mega__h2o-6__2,-0.6078989066,0.0880165644,0.7849183648,0.2237971175,0.07098362200000001
abx_mega__tet_h2o__4,-3.6806559376,-1.0450277656,-0.6913532341,-0.09366302650000001,-0.7081021040000001
abx_mega__nor_naoh__4,-1.0170305813,-0.9755418859,0.522222733,0.1884711132,0.0821890509
abx_mega__cip_naoh__4,-1.3804408096,-0.2781344085,0.452443146,0.1897163396,0.4604648583
abx_mega__tmp_dmso__4,2.6916136121000003,-0.5041248991,0.6867453649,0.46955750020000003,0.4378610972
abx_mega__reta_dmso__2,-3.0109999152,-1.8675798877,-0.3132446535,0.079054857,0.0892896494
abx_mega__mem_dmso__4,-0.0444789827,-4.3314088238,0.2254458657,0.1562169847,-1.5885571159
abx_mega__dox_dmso__5,-3.1657204461,-3.2125348455,0.1626749766,0.5560831223,-1.5146062
abx_mega__tmp_dmso__5,-2.3424787239000002,-1.3915069408,0.4174117141,0.16093619850000002,0.20485021690000002
abx_mega__flavo_dmso__3,0.3875862102,-3.5263114724999998,0.2553306354,0.21465859110000002,-1.1147052891
