,A,HexR
Carbon:Glucose:2.0,0.4856364965289419,0.2383261970000001
Carbon:Serine:1.0,-13.411408117651442,-0.0128425429999996
Carbon:Serine:2.0,-13.328280276479395,-0.0489668169999992
Carbon:Serine:3.0,-14.490717287879166,-0.6760467969999997
Carbon2:Glucose:1.0,-0.2011183175759379,0.1263593986666666
Carbon2:Glucose:2.0,0.4535837863173236,-0.0194416943333335
Carbon2:Glucose:3.0,-0.2524654676397864,-0.106917704333334
Carbon2:Coumarate:1.0,-6.002277299206046,-0.3680553243333335
Carbon2:Coumarate:2.0,-6.562760651935532,-0.6733733823333337
Carbon2:Coumarate:3.0,-5.825892521875499,-0.3857149853333337
Crc:Control:1.0,-0.0292455405473995,0.0307064170000002
Crc:Control:2.0,0.0292455408194546,-0.0307064169999993
Crc:Del_crc:1.0,1.4554527777773505,0.3548952540000005
Crc:Del_crc:2.0,2.5427529646238645,0.3739037090000003
Crc:Del_crcZ_crcY:1.0,-3.3251562831371,-0.2834406279999992
Crc:Del_crcZ_crcY:2.0,-3.832008514233084,-0.5398090989999993
FinR:Control:1.0,-0.0973288963202429,0.2769973320000001
FinR:Control:2.0,0.2196157863860131,-0.0066854730000001
FinR:Control:3.0,-0.1222868888013641,-0.270311859
FinR:Del_finR:1.0,0.3512443262372151,-0.4260688149999998
FinR:Del_finR:2.0,-0.4852631813877061,-0.2062267989999999
FinR:Del_finR:3.0,-0.5107098635692069,-0.0330513209999998
FleQ:Del_fleQ:1.0,1.4824457396484478,0.3779379966666663
FleQ:Del_fleQ:2.0,1.3362812518175715,0.5579055576666665
FleQ:Del_fleQ:3.0,1.0876172774214743,0.3189751806666665
FleQ:OE_wspR:1.0,-0.2570922761446776,0.0027899116666665
FleQ:OE_wspR:2.0,-0.3203111955762184,0.2981766456666666
FleQ:Control:1.0,-0.1113575018679284,-0.2703108473333335
FleQ:OE_wspR:3.0,-0.6969782564201503,0.4728053466666666
FleQ:Control:2.0,-0.0883990794540711,0.2769969576666664
FleQ:Control:3.0,0.199756581775663,-0.0066861103333333
Fuel:Butanol:1.0,-2.365750112919736,-2.6990018105000004
Fuel:Butanol:2.0,-2.3515022361727533,-2.6500483995
Fuel:Control:1.0,-0.0415089857605281,-0.1002415325000001
Fuel:Control:2.0,0.041508985883357,0.1002415325000001
Fuel:Isopentanol:1.0,5.484857758218099,-3.0029677075
Fuel:Isopentanol:2.0,4.26779567136113,-2.6423304485
Glycolaldehyde:Glycolaldehyde:1.0,-1.2711611043454558,-0.3195126029999988
Glycolaldehyde:Control:1.0,-0.506617223395335,-0.2035293309999994
Glycolaldehyde:Glycolaldehyde:2.0,-1.9947669377823627,-0.4572032439999995
Glycolaldehyde:Control:2.0,0.5066172225389457,0.2035293310000003
HNS_protein:Control_ex:1.0,-0.2334171784436249,0.1112686969999998
HNS_protein:Del_turB_ex:1.0,-3.1640214524678574,-0.2807178959999996
HNS_protein:Del_turB_ex:2.0,-2.5154207317532484,0.0112121470000001
HNS_protein:WT_pCAR1_ex:1.0,0.5556413666478792,-0.1304836319999998
HNS_protein:WT_pCAR1_Del_turA_ex:1.0,-0.4900595884776985,-0.4113570389999994
HNS_protein:WT_pCAR1_Del_turA_st:1.0,-1.0725643434140943,-0.6585860819999994
HNS_protein:WT_pCAR1_Del_turA_ex:2.0,-0.0111636554818119,-0.3202463919999996
HNS_protein:WT_pCAR1_Del_turA_st:2.0,-0.6759810735175031,-0.316506275
HNS_protein:WT_pCAR1_ex:2.0,-1.1582794330318058,-0.1086248840000001
HNS_protein:WT_pCAR1_Del_turB_ex:1.0,-0.0670667388172162,-0.3912123190000001
HNS_protein:WT_pCAR1_Del_turB_st:1.0,-1.4265130312469432,-0.209662067
