,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
110,ica__ura_pyr,-1.3846390882354838,0.4278169528654599,2.0,178.0,-1.687151356713216,179.0,-1.0821268197577514,,,,,,,,
111,ica__bw_delpurR_cytd,-5.935721936808168,1.0467605225807297,2.0,182.0,-6.6758934006033765,183.0,-5.19555047301296,,,,,,,,
112,ica__ade_glc,-5.427155581294613,1.023682646836458,2.0,184.0,-4.70330263993356,185.0,-6.151008522655666,,,,,,,,
113,ytf__wt_glc,2.3168081012485695,0.3270656888410975,2.0,186.0,2.08553773477558,187.0,2.5480784677215587,,,,,,,,
114,ytf__delyafC,2.6343073037095253,0.37522658471852766,2.0,188.0,2.368982041173586,189.0,2.8996325662454647,,,,,,,,
115,ytf__delyeiE,-0.12769509199485934,1.0183741559080501,2.0,190.0,0.5924041794328492,191.0,-0.8477943634225679,,,,,,,,
116,ytf__delyiaJ,3.706006478519617,0.8680740978913289,2.0,192.0,3.092185397328264,193.0,4.319827559710971,,,,,,,,
117,ytf__delyieP,1.4999325672093877,0.11263534837713975,2.0,194.0,1.420287348570603,195.0,1.5795777858481723,,,,,,,,
118,ytf__wt_ph5,2.9739306787416036,0.25874871759343404,2.0,196.0,2.7909677059079634,197.0,3.1568936515752437,,,,,,,,
119,ytf__wt_ph8,-0.06781400406660379,0.14456020659368948,2.0,198.0,0.0344054983055223,199.0,-0.1700335064387299,,,,,,,,
120,ytf__delybaO,2.140897358776718,0.3649425230860018,2.0,200.0,2.398950691594158,201.0,1.882844025959278,,,,,,,,
121,ytf__delybaQ,0.3629506886452242,0.07961148404715192,2.0,202.0,0.3066568684151584,203.0,0.4192445088752899,,,,,,,,
122,ytf__delybiH,3.5800639782102417,0.40219967906390924,2.0,204.0,3.2956658577530984,205.0,3.864462098667385,,,,,,,,
123,ytf__delydcI_ph5,2.2888213806290976,0.19451008459854396,2.0,206.0,2.151281980800298,207.0,2.426360780457897,,,,,,,,
124,ytf__delydcI_ph8,-0.7673251097630096,0.23005053316952445,2.0,208.0,-0.6046548177432581,209.0,-0.9299954017827612,,,,,,,,
125,ytf__delyddM,0.5498876459373216,0.4481521889497942,2.0,210.0,0.866779097747316,211.0,0.2329961941273272,,,,,,,,
126,ytf__delyheO,1.905629405494809,0.25453237684140034,2.0,212.0,2.085610975190893,213.0,1.725647835798725,,,,,,,,
127,fps__bw_glc,-0.7013642578167446,0.0447372442257423,2.0,214.0,-0.6697302490531235,215.0,-0.7329982665803657,,,,,,,,
128,fps__fps_thrA_ale1,0.3807260002170424,0.18677088835004052,2.0,216.0,0.5127929618975916,217.0,0.2486590385364932,,,,,,,,
129,fps__fps_thrA_ale2,0.4015741284705644,0.12521211467217805,2.0,218.0,0.4901124638419691,219.0,0.3130357930991597,,,,,,,,
130,fps__fps_serB_ale1,0.5298934750647558,0.20886743568067265,2.0,220.0,0.6775850552036045,221.0,0.3822018949259071,,,,,,,,
131,fps__fps_serB_ale4,1.9004285378291705,0.5736386677137756,2.0,222.0,1.4948047459379432,223.0,2.306052329720398,,,,,,,,
132,fps__fps_ptsI_ale1,-2.0179780526248208,0.2798598249459367,2.0,224.0,-1.8200872726238688,225.0,-2.2158688326257727,,,,,,,,
133,fps__fps_ptsI_ale3,-1.9297850186210597,0.03060776889821758,2.0,226.0,-1.9081420576761392,227.0,-1.95142797956598,,,,,,,,
134,pal__lyx_ale2_f6,-1.6756304491934475,,1.0,228.0,-1.6756304491934475,,,,,,,,,,
