,A,TorR
SRX4705227,0.3844524227,-0.3130002468
SRX4705228,0.9556738066,-0.1835222225
SRX4705229,1.0911263258,-0.11867708710000001
SRX4705230,1.5574730265999999,0.34868807
SRX4705231,0.8004935901,-0.3397799993
SRX4705232,0.6564305798,-0.2099786476
SRX4705233,1.2131991447,-0.47074908540000004
SRX4705234,0.4034786221,0.06775188950000001
SRX4705235,0.3308879926,0.1360462254
SRX4705236,0.220612634,0.16185593610000001
SRX4705237,-0.1720917996,-0.0968961015
SRX4705238,0.2020696811,0.0856885423
SRX2038319,0.3409282998,-0.4256315151
SRX2038320,0.2631817591,-0.351736043
SRX2038321,0.42353652340000003,-0.2818389029
SRX2038322,0.2093667019,-0.2477034982
SRX2038323,-0.1324624376,0.3319189039
SRX2038324,0.1303290055,0.1909742456
SRX2038325,0.2667272537,-0.1382215567
SRX2038326,-0.1724794221,0.0411439861
SRX2038327,0.5672120463,-0.1913208129
SRX2038328,0.5434121751000001,-0.0562725519
SRX2038329,0.24769350580000002,0.11807855490000001
SRX2038330,0.0453035217,0.0398783868
SRX2038331,-0.42389522290000003,0.0862610905
SRX2038332,-0.1126661617,-0.25935667090000003
SRX2038334,0.2664395798,0.21366804390000002
SRX2038335,0.2115331037,0.3982884973
SRX2038336,0.6423197391000001,0.14211869300000002
SRX2038337,-0.2366647117,-0.0616616771
SRX2038338,-0.4702704294,0.30235023710000003
SRX2038339,0.4536968917,0.6169247938
SRX2038340,0.5030288177,0.4705921276
SRX2038341,0.3069713283,0.23587263960000002
SRX2038342,0.1793064348,0.22211571670000002
SRX2038343,0.3631622431,0.41453421890000003
SRX2038344,0.0709062847,0.49597890390000005
SRX2038345,-0.3260023365,0.2450569287
SRX2038346,0.27959240890000003,0.4622086442
SRX2038347,0.7489125137,0.1811662999
SRX2038348,0.8913470910000001,0.6268541655000001
SRX2038349,0.28334539670000003,0.3137785194
SRX2038350,0.0111623643,0.33154061300000004
SRX2038351,0.2492415987,0.5839035986000001
SRX2038352,0.4501622496,0.3840707025
SRX2038353,-0.017424767,0.19603354580000001
SRX2038354,0.420803095,0.5382246951
SRX2038355,0.3897941956,0.827581874
SRX2038356,0.4387605866,0.2145170385
SRX2038357,0.1293421296,0.12328127800000001
SRX2038358,-0.0998368629,-0.038394102
SRX2038359,0.3271457464,0.33244441690000004
SRX2038360,0.2734935235,0.3905365053
SRX2038361,-0.1863976839,0.2395007905
SRX2038362,0.3039991175,0.1369934133
SRX2038363,0.2328668808,0.8863790959000001
SRX2038364,-0.0243881409,0.27316937350000003
SRX2038365,0.6360017756,0.6281877471
SRX2038366,1.0491030703,0.4943694329
SRX2038367,0.7343099009,1.0585282468
SRX2038368,-0.0060029133,0.162236017
SRX2038369,0.1523345255,0.20728418810000002
SRX2038370,-0.5834020506,0.3306337496
SRX2038371,-0.1715104099,0.35632244960000004
SRX2038372,0.0645882738,0.126534569
SRX2038373,0.2555143118,0.1303625692
SRX2038374,-0.0296994932,0.37880453150000004
SRX2038375,0.4903111308,0.4570564278
ERX530520,0.20414171590000002,-0.0922223945
ERX530521,-0.2673291599,-0.0206641293
ERX530522,-0.2388026956,-0.3146842387
ERX530523,-0.210155687,0.060445958800000005
ERX530524,-0.20414171590000002,0.0922223945
ERX530525,-0.220845486,0.2003382537
ERX530526,-0.0908534371,-0.2871032892
ERX530527,-0.6967959595000001,-0.1800938679
ERX3212443,0.1840518295,-0.7660712434
ERX3212444,0.1835988858,-0.6126553937
ERX3212445,0.0697777374,-1.0614763786
ERX3212446,-0.6371448255000001,-0.12970920830000002
ERX3212447,0.059989079,-0.0581879027
ERX3212448,-0.0281713346,-0.1055519754
ERX3212449,-0.1501841929,-0.033690533700000004
ERX3212450,0.1762085039,0.0325956461
ERX3212451,-0.026024311,0.0010948876
ERX3212452,-0.4742941611,0.5791359277
ERX3212453,-0.38534335880000004,0.5932200774
ERX3212454,-0.4667190164,0.9383386156
SRX7478973,-0.1725419335,0.2698708812
SRX7478974,-0.025913232600000002,-0.3445107511
SRX7478975,0.1984551661,0.0746398699
SRX7478976,-0.0830017833,0.24548874750000002
SRX7478977,-0.17092823070000002,0.0005743525
SRX7478978,0.3075044142,0.3498494679
SRX7478979,0.1925820171,0.548373687
SRX7478980,-0.0084819091,0.6431249588
SRX7478981,0.0001107643,0.5802496112000001
SRX7478982,-0.08843628390000001,0.4803757798
SRX7478983,0.1590956165,0.4200194148
SRX7478984,-0.23043438470000002,0.3034652532
ERX1521038,-1.1522843934,-0.2659062647
ERX1521039,-0.6046408097,-0.5452845233
ERX1521040,-1.1359096279,-0.10788654090000001
ERX1521041,-0.22067719560000001,-0.4571929704
ERX1521042,-0.46434490030000003,-0.1409118009
ERX1521043,-0.15617827310000001,0.216380388
ERX1521044,-0.3308253407,-0.10475186880000001
ERX1521045,0.3308253407,0.10475186880000001
SRX621182,-1.1719284461,-1.0402109378
SRX621183,-0.9959964050000001,-1.6269860973
SRX621184,-1.4483238999,-0.9932043983000001
SRX621185,-1.8138601914999999,-1.5896051305999999
SRX621188,-0.9876679625,-1.5592645271999999
SRX621189,-1.6125668173,-1.0705587135
SRX621190,-0.0148629107,0.22460015960000002
SRX621191,0.0148629107,-0.22460015960000002
SRX621192,-1.1341746924,-2.009274587
SRX621193,-1.251871137,-1.765240444
SRX6489436,0.2502809459,0.6905849915000001
SRX6489437,-0.1766493461,0.9906816518
SRX6489438,0.6600504965,0.7658920245
SRX6489439,-0.013351491,-0.48491423910000003
SRX6489440,0.2579071853,-0.5852777188
SRX6489441,-0.2445556944,1.0701919579
SRX6489442,0.4436237739,-0.5289385486
SRX6489443,0.0192351548,-0.38635141370000003
SRX6489444,-0.35398580900000004,1.036233943
SRX6489445,0.1786796515,-0.6998813150000001
SRX6489446,0.2502155706,-0.8035786728000001
SRX6489447,-0.1367997412,1.0061275062
SRX6489448,-0.1100044434,-0.3944131571
SRX6489449,0.2442606649,-1.2185037228
SRX6489450,-0.5010773354,1.1083288822
SRX6489451,-0.21713882680000002,-0.6889776790000001
SRX6489452,0.1984317428,-1.0129713263
SRX6489453,-0.0370521768,0.9037210356
SRX6489454,-0.0845385636,-0.3475787716
SRX6489455,-0.0300774387,-1.0213203937
SRX6489456,-0.2064825654,1.2794393258
SRX6489457,-0.271322589,0.535026978
SRX6489458,-0.3282311609,0.5215861048
SRX6489459,-0.6817927866,1.5520118679000001
SRX6489460,0.2135804949,0.6195631801
SRX6489461,-0.0897669408,0.6465513584
SRX6489462,-0.1661414621,1.7361184323
SRX6489463,0.0162006745,0.5868448619000001
SRX6489464,0.38302482,0.740221615
SRX6489465,0.0251421033,2.1080225439
SRX6489466,0.07477749310000001,0.3101063432
SRX6489467,-0.6486858993,1.9669439541
SRX6489468,-0.543105288,1.8889762365
SRX6489469,-0.0281879212,1.7247774303
SRX6489470,0.2862795701,0.8879380461
SRX6489471,-0.3758844261,2.1089384091
SRX6452027,0.1147266269,-2.3151458529
SRX6452029,0.0869362737,-0.1584418886
SRX6452030,0.3921860079,-2.5665769426000002
SRX6452031,0.6045225121000001,0.1184808354
SRX6452044,1.1558498698,0.1845117167
SRX6452045,0.4833756294,0.5477307277
SRX6452046,0.9511622585,0.2042117296
SRX6452047,0.8326834518,-1.8332729141000002
SRX6452048,-0.0869362737,0.1584418886
SRX6452059,0.295946827,-1.9255116485000001
SRX1828491,-0.4301730285,0.024809159100000002
SRX1828492,-0.8220698947,-0.0304571997
SRX1828493,-0.8992127309,-0.44016749800000005
SRX1828494,-0.2027422664,-0.3122191203
SRX1828495,-1.1086714435,-0.3183431738
SRX1828496,-0.9165826586,0.1061235603
SRX1828497,-0.2142360304,-0.9700151369000001
SRX1828498,0.1413562806,-0.9630123806
SRX1828499,-0.4492476709,-0.2639964663
SRX1828500,-0.5094675371,-0.3847696228
SRX1828501,-0.31762536680000003,-0.2041831476
SRX1828502,-1.4497149992,-0.1534039002
SRX1828503,-0.21021611340000002,0.2648034003
SRX1828504,-0.2899999319,-0.2841209213
SRX1828505,-0.8261722459,-0.0078367782
SRX1828506,-0.3350313546,-0.1731877714
SRX1828507,0.2017410652,-0.3354175562
SRX1828508,-0.2017410652,0.3354175562
SRX3796953,-0.2059918756,0.0494643203
SRX3796954,0.2059918756,-0.0494643203
SRX3796955,1.6371338451000002,0.42293915270000004
SRX3796956,2.0173151538,0.28025478870000003
SRX3796957,3.0639293514,-2.3667952325
SRX3796958,2.1778562086,-2.1593231177
SRX3796959,0.3129819497,-0.0501043106
SRX3796960,0.1282599691,-0.2688015627
SRX3796961,2.1906732024,0.0611303734
SRX3796962,1.8645587723000001,-0.058633283
SRX3796963,3.6479663958,-1.9608036075
SRX3796964,2.2232360637,-1.8039712247000002
SRX3796965,-0.003351405,-0.7492110968
SRX3796966,-0.0130130765,-0.6421617258
SRX3796967,3.0593029359,-0.5452006566
SRX3796968,2.0787298105,-0.2002594306
SRX3796969,2.0077224121,0.34541595210000003
SRX3796970,2.4171987259,-0.13322083070000001
SRX3796971,0.648900789,-0.0827448284
SRX3796972,0.06447807950000001,0.034580759100000004
SRX3796973,2.0715411593,0.0218606423
SRX3796974,1.5448615895,-0.0060886925
SRX3796975,2.1868011984,-2.2786039656
SRX3796976,1.9406417695,-1.8393183702
SRX3796977,0.056965378600000005,-0.17928740040000002
SRX3796978,0.5042016333,-0.1716364755
SRX3796979,2.0455492239,-0.28239260120000004
SRX3796980,2.3285928058,0.084337016
SRX3796981,2.6673701717,-2.0429870506
SRX3796982,2.516406104,-1.7822948921
SRX3796983,-0.1323373089,-0.3300987208
SRX3796984,0.020568343700000002,-0.8513685902
SRX3796985,1.9256908523,-0.38313414170000004
SRX3796986,1.4997309019,-0.3092003047
SRX3796987,2.8477183703,0.11868509810000001
SRX3796988,2.2065073487,-0.1970738363
SRX2568270,-0.6412257847,0.3218915207
SRX2568271,0.1999699771,-0.6013866555
SRX2568272,-0.4770665754,-0.7601735952
SRX2568273,-0.9388204343000001,0.1390002951
SRX2568274,0.9175243263,0.039077384300000004
SRX2568275,0.6412257847,-0.3218915207
SRX2568276,-0.4619890746,-0.7415341724000001
SRX2568277,0.041319512100000004,-0.44675412940000003
SRX2568278,-1.4395925581,0.7013328913
SRX2568279,2.4910148024,-0.3143043777
SRX3421856,0.0353337389,-0.0301705004
SRX3421857,-0.0353337389,0.0301705004
SRX3421858,0.051384587600000003,0.5704271234
SRX3421859,-0.0254691651,0.5172548409000001
SRX3421860,0.0746243399,-0.42040742880000004
SRX3421861,0.2942320922,-0.8639961392000001
SRX3421868,1.4052969302,0.3223579948
SRX3421869,2.0966727373,-0.1231998839
SRX2606337,0.1384460965,-0.42481656170000004
SRX2606338,0.034138791200000004,-0.5568954796
SRX2606339,0.4270452992,-0.0682459923
SRX2606340,0.6656708059,-0.48792166080000005
SRX2606341,1.0057960634,2.2507080651
SRX2606342,0.5237299144,0.5264442733
SRX2606343,0.4634506624,0.2916495201
SRX2606344,4.497849641,0.6650004313
SRX2606345,6.2556113786,0.8580708880000001
SRX2606346,8.8100113436,-0.1533185289
SRX2606347,-0.0768540717,0.1870803181
SRX2606348,0.27657042400000004,-0.2928453717
SRX2606349,0.9868688933,-0.043687162700000004
SRX2606350,0.9810616984,-0.29538481040000003
SRX2606351,1.2751607654,2.0313336426
SRX2606352,0.5878665947,0.6800661053
SRX2606353,0.0779021376,-0.5491380122
SRX2606354,4.6652374847,0.5528958225
SRX2606355,6.6696591686,0.6360465603000001
SRX2606356,8.7072475638,0.1946844195
SRX2606357,-0.0615920249,0.23773624370000002
SRX2606358,0.3763689501,-0.4424449407
SRX2606359,0.5849954931,0.2615065817
SRX2606360,1.220345702,0.0191654668
SRX2606361,0.8495901047000001,3.0312857684
SRX2606362,0.7034387644,1.1554259302
SRX2606363,-0.48944349680000004,0.5113995821
SRX2606364,4.9453174277,0.5198543185
SRX2606365,6.2439918804,0.95298506
SRX2606366,8.9093280527,0.22516239300000002
SRX3648427,3.1305210102,-0.4929020798
SRX3648428,3.9184707741,-0.1356218836
SRX3648429,2.2481019605,-0.015377870100000001
SRX3648430,4.5115149541,-0.2489566125
SRX3648431,4.4156887108,-0.18731470020000002
SRX3648432,3.7322782206,-0.2708099243
SRX3648433,4.2180339244,-0.7044745806
SRX3648434,4.5330163789,0.0627001009
SRX3648435,3.0806193678,0.1167517731
SRX3648436,2.4131640485,-1.4027457188
SRX3648437,3.7902828838,-0.7910215084000001
SRX3648438,-6.6437966954,0.3076371035
SRX3648439,5.038623369,-0.7055068387
SRX3648440,4.906202158,-0.166299687
SRX3648441,3.6155423472,-0.0692215796
SRX3648442,1.2977100534,-0.43449809040000004
SRX3648443,2.7080658929,-0.5444603498
SRX3648444,2.8307920032,-0.832724754
SRX3648445,3.8867975767000003,-0.4351053654
SRX3648446,4.5256781074,-0.2707950007
SRX3648447,3.144326337,0.029872040500000002
SRX3648448,4.1485525375,-0.6265845154
SRX3648449,3.8908626206,-0.4243876388
SRX3648450,4.5166288721,0.2036016777
SRX3648451,4.2768849842,0.08234414400000001
SRX3648452,-8.1473195463,0.5024840818
SRX3648453,-8.685609468100001,0.2625422506
SRX3648454,2.6549676083,-1.0128508939
SRX3648455,4.2285342968,-0.7268125932
SRX3648456,3.8721365649,-0.7770107774
SRX3648457,3.5554742360000002,-0.36410867080000003
SRX3648458,3.8504602152,-0.11714198690000001
SRX3648459,2.7586071335,-0.2055841252
SRX3648460,5.2363848688,-0.7779417611
SRX3648461,5.8040220082000005,-0.0613734436
SRX3648462,4.212590284,0.014762809100000001
SRX3648463,4.3524935847,-0.2227552351
SRX3648464,4.5671635859,-0.17356721420000001
SRX3648465,3.4388340813,-0.4119563667
SRX3648466,4.0176993171,-0.4115018897
SRX3648467,4.8166369934,0.17686120300000002
SRX3648468,3.3745874095,-0.2165836985
SRX3648469,-1.3062097933999999,-0.1714689592
SRX3648470,-1.5407741286999999,0.5293320197
SRX3648471,-1.5127081343,0.7450133453000001
SRX3648472,-3.5847130797,1.0697332382
SRX3648473,-2.6783900162,0.7712414447
SRX3648475,5.062057543,-0.4280112131
SRX3648476,4.6385620664000005,0.1909295664
SRX3648477,3.6781641697,0.1903062574
SRX3648478,2.6919918249,-0.34607440780000004
SRX3648479,4.1890542566,-0.4217679919
SRX3648480,3.0644606692,0.1122515765
SRX3648481,4.358309588,-1.0433508224
SRX3648482,5.6248123799,-0.360019808
SRX3648483,4.9338930197,-0.6326072496
SRX1429221,-0.8398109973000001,-0.46579888490000004
SRX1429222,0.12727368690000002,0.07776811880000001
SRX1429223,0.7125373105,0.38803076610000004
SRX1429224,-0.9591197729000001,-0.5892621640000001
SRX1429225,-1.2063841399,-0.8121843768
SRX1429226,-1.7897034685,-0.9122494933
SRX1429227,-1.502474139,-1.0728528637
SRX1429228,-0.7386914058,-0.7543718385
SRX1429229,-2.0959170132,-1.2329654029000001
SRX1429230,-2.1141721312,-1.0037629862
SRX1429231,-0.5722451418,-0.8343456434000001
SRX1429232,-2.0152831936,-0.5760899685
SRX1429233,-2.8215224162,-0.7829176361
SRX1429234,-2.7484713086,-0.7797283838
SRX1429235,-2.2663940758,-0.6841702938
SRX1429236,-1.4989858034,-0.31385775120000003
SRX1429237,-2.5762865607,-0.5458308581
SRX1429238,-2.7788336459,-0.6671494082
SRX1429239,-2.5336605258000002,-0.6682381399
SRX1429240,-2.4258438053,-0.6643458663
SRX1429241,-2.7244553415,-0.6127985567
SRX1429242,-2.3956603042999998,-0.7506052092000001
SRX1429243,-2.1848245663,-0.8223787654
SRX1429244,-2.5230360603,-0.5783322898000001
ERX2339161,-0.0742195217,0.2385655572
ERX2339162,0.0742195217,-0.2385655572
ERX2339163,-1.7323762151,-0.8288992391000001
ERX2339164,-1.2752732128,-0.4630973593
ERX2339165,-0.2821851198,-0.3354963716
ERX2339166,0.7204040042000001,0.530374016
ERX2339167,0.4354252592,-0.17537731210000002
ERX2339168,-0.0695466019,-0.25513368810000003
ERX2339169,0.2107774767,-0.26478797400000004
ERX2339170,-1.6992682083,-0.7387069104
ERX2339171,-1.4963375982,-0.8188226057
SRX7656012,0.7600865775000001,-0.017382285
SRX7656013,-0.2063213902,-0.5192062678
SRX7656014,-0.31693454800000004,0.0013355339
SRX7656015,0.22323785910000002,-0.0706460913
SRX7656016,0.37835410750000004,-0.7133579181
SRX7656017,-0.2777053615,-0.1825946983
SRX7656018,-0.30125205790000004,0.1290999554
SRX7656019,0.2108689317,-0.159522656
SRX7656020,-0.0926055214,-0.29096214200000003
SRX7656021,-0.363609251,-0.1262868601
SRX7656022,-0.1858243799,0.0162346493
SRX7656023,-0.5267430233,-0.4783614323
SRX7656024,-0.38716882410000003,-0.0067115419
SRX7656025,-0.4710620857,-0.018969977000000002
SRX7656026,0.5925084625,0.4548308334
SRX7656027,0.2206854038,-0.39690214030000004
SRX7656028,1.1467954227,0.1071044325
SRX7656029,-0.015013745200000001,0.0846793681
SRX7656030,-0.4861312223,0.1690270904
SRX7656031,-0.2647992903,-0.1509686348
SRX7656032,-0.2733227397,-0.0438417834
SRX7656033,0.1576149359,-0.1599030518
SRX7656034,0.28523003280000003,-0.3427905297
SRX7656035,0.2871483999,-0.24686551180000002
SRX7656036,-0.0690041893,-0.2042400104
SRX7656037,0.140149844,-0.33688294100000005
SRX7656038,0.5403871923,-0.0927367798
SRX7656039,0.6460744204000001,-0.1785102971
SRX7656040,0.0047279602,0.1066825478
SRX7656041,-0.6508023806000001,0.07182774930000001
SRX7656042,1.068171008,0.8173435585000001
SRX7656043,1.0638259169,0.5069062327
SRX7656044,1.2064168241,0.5654968369
SRX7656045,1.1816858582,0.44786108
SRX7656046,0.6447253244000001,0.6994536351
SRX7656047,0.4693910329,0.7005101754
SRX7656048,1.04756101,1.0158853264
SRX7656049,1.2126326748,0.6415746438000001
SRX7656050,1.5032689523,1.1780720807
SRX7656051,0.3879390883,0.7163134383
SRX7656052,0.7561393146000001,0.40950216700000003
SRX7656053,1.3303164114000001,0.5180336001
SRX7656054,0.5050105254,-0.4564551886
SRX7656055,1.0520590971,0.3487915535
SRX7656056,0.2648128053,-0.0033663475
SRX7656057,-0.2414285508,-0.2901744712
SRX7656058,0.2750487143,-0.6012777264
SRX7656059,-0.081359996,-0.47315662420000004
SRX7656060,0.2969029009,-0.1299743306
SRX7656061,0.2726326723,-0.2650756852
SRX7656062,-0.1269450758,-0.2301606995
SRX7656063,-0.1212464766,-0.5805296474
SRX7656064,0.4006280441,-0.27478182630000003
SRX7656065,0.6492558876,-0.07121678940000001
SRX7656066,-0.07040356040000001,-0.2685506553
SRX7656067,-0.1220126956,-0.09321863550000001
SRX7656068,0.18167976800000002,-0.2301328387
SRX7656069,-0.7526741245,0.21189898100000001
SRX7656070,0.7980623129000001,0.1033807228
SRX7656071,1.57596441,0.3488473575
SRX7656072,-0.5085275689000001,-0.09562016720000001
SRX7656073,-0.6151807502000001,-0.40842340730000004
SRX7656074,1.5752362319,0.4373246067
SRX7656075,1.0070201308,0.2232727495
SRX7656076,1.9118184312,0.8159448092
SRX7656077,1.3334603913,0.5208036725
SRX7656078,1.080312733,0.4161700051
SRX7656079,1.6388678801,0.4746120601
SRX7656080,0.9784568971000001,0.43058176530000003
SRX7656081,0.085818299,0.5971325504
SRX7656082,1.6711295431000002,0.5075264289
SRX7656083,1.0696624191,0.33674123110000004
SRX7656084,1.1115108768,0.6162094947
SRX7656085,0.3935507105,0.5398564642
SRX7656086,2.7153330511,0.7895949169
SRX7656087,1.6880797097,0.4227627967
SRX7656088,0.6760514397,0.5895108787000001
SRX7656089,1.3452910535,0.3190526037
SRX7656090,-0.0087796526,-0.2237710441
SRX7656091,0.26251133860000003,0.32047201000000003
SRX7656092,0.6092513429,-0.20048414120000002
SRX7656093,-0.6852373766000001,-0.2061420673
SRX7656094,0.6957132895,0.0675412886
SRX7656095,0.23265799610000001,0.0648492284
SRX7656096,0.5347928965000001,-0.0692814655
SRX7656097,-0.3866798682,0.2838896824
SRX7656098,0.2760939495,0.0014979793
SRX7656099,0.4370816917,-0.1417876322
SRX7656100,0.2855731831,-0.20623103280000002
SRX7656101,-0.3004122678,0.296686736
SRX7656102,-0.6051787413,-0.37708432480000004
SRX7656103,0.2851265622,-0.185057583
SRX7656104,0.17451867100000001,-0.4701423836
SRX7656105,-0.5726873937,-0.0838988405
SRX7656106,-0.21700633390000001,0.09307807530000001
SRX7656107,-0.1299304497,-0.2093354115
SRX7656108,-0.6352106768,-0.6968543677
SRX7656109,0.6031490361,-1.026645102
SRX7656110,-0.613173684,-0.568815088
SRX7656111,0.3836457066,-0.7761814474000001
SRX7656112,-0.9570273208000001,-0.3918431656
SRX7656113,0.6876588667,0.0717516425
SRX7656114,-0.0438082526,-0.1362469258
SRX7656115,-0.8176867613000001,-0.7170200877
SRX7656116,-1.0028514787,-0.8814930774
SRX7656117,0.7196713117,-0.39398675320000004
SRX7656118,0.1308702628,-0.1820590232
SRX7656119,0.2225493687,-0.43830248650000003
SRX7656120,-0.4899990085,-0.2549376288
SRX7656121,-0.6453571658,-0.25254456410000004
SRX7656122,-0.330239285,0.038429519100000004
SRX7656123,0.8922318478,-0.340156772
SRX7656124,0.20409092550000002,-0.0450049534
SRX7656125,0.6151110065000001,0.1458574686
SRX7656126,0.025175328400000002,-0.1637300535
SRX7656127,-0.8992056883,-0.1326645096
SRX7656128,0.08442460260000001,-0.5076594313
SRX7656129,-0.6137674987,0.4026230686
SRX7656130,1.3070455941999999,0.2594363913
SRX7656131,1.1224927313,-0.0536175481
SRX7656132,0.7845967858,-0.1386641218
SRX7656133,0.8858214912,0.2383234035
SRX7656134,0.4447088986,0.3003797147
SRX7656135,-0.2097140931,-0.045361366300000004
SRX7656136,0.10256583600000001,-0.0940256144
SRX7656137,0.5392907585,-0.4115299089
SRX7656138,0.7444243828,-0.18302708040000001
SRX7656139,-0.2833804122,0.0572591141
SRX7656140,0.4497303804,-0.3352615048
SRX7656141,0.3836235327,-0.6833741276
SRX7656142,-0.5896150962,-0.7252687574000001
SRX7656143,-0.8621210428,-0.1645272083
SRX7656144,0.2276276221,-0.47094295490000004
SRX7656145,0.5118115605,0.601382926
SRX7656146,0.2452200051,-0.2029381787
SRX5388319,-0.028303408500000002,-0.051973387700000005
SRX5388320,-0.1701924472,-0.3015817898
SRX5388321,0.19849585560000002,0.35355517740000003
SRX5388322,0.13992965640000002,-0.23445792340000002
SRX5388323,0.2280191406,0.3039188913
SRX5388324,0.028047122,0.1963246917
SRX5388325,0.2013214657,-0.3190143409
SRX5388326,0.11837929150000001,0.2253918833
SRX5388327,0.1256403337,-0.0740954291
SRX8708326,0.0950226658,0.4053913911
SRX8708328,0.4894415554,-0.7461214113
SRX8708335,-0.3150600576,0.0900687241
SRX8708336,-0.13098184670000002,0.2423003183
SRX8708337,-0.0433996512,0.4137523689
SRX8708338,-0.3879367362,0.2034896442
SRX8708339,-0.1633010739,0.3000904602
SRX8708340,-0.2689930169,0.3279689261
SRX8708365,-0.4154898892,0.4687847391
SRX8708366,-0.4155556038,0.46698173870000004
SRX8708368,-0.38741057630000003,0.4768314558
SRX8708369,-0.4548181945,0.6310283568
SRX8708370,-0.3482933498,0.7647066213
SRX8708371,-0.3040576774,0.5074923663
SRX4166001,0.0205471516,0.0460856194
SRX4166002,-0.1718093386,-0.0440156363
SRX4166003,0.1512621869,-0.0020699831
SRX4166004,-0.1774482198,-0.0700950154
SRX4166005,-0.1328792252,-0.31284452620000003
SRX4166006,-0.11632111640000001,0.1176859066
SRX4166007,-1.162049852,0.7233440942
SRX4166008,-0.3706410102,0.2207709404
SRX4166009,-0.21450194990000002,0.3657877094
SRX4166010,-0.353056081,-0.2255213316
SRX4166011,-0.0102758328,0.2833437822
SRX4166012,-0.2814348363,0.3284666533
SRX5000481,0.2870032963,0.1063670116
SRX5000482,0.5709835127,0.24398106700000002
SRX5000483,-0.0625652963,0.6674240256
SRX5000484,0.3235175046,0.3717504397
SRX5000485,0.12228755120000001,0.5109630468
SRX5000486,-0.15534041880000002,0.6360851678
SRX5000487,0.1809786213,0.3257857796
SRX5000488,0.0858576162,0.3746827042
SRX5000489,-0.1856591273,0.2320600583
SRX5000490,0.26336613400000003,0.2686699121
SRX5000491,-0.1508807204,0.204240059
SRX5000492,0.1707864265,0.9884681522000001
SRX5000493,-0.0886816201,0.8200152297000001
SRX5000494,0.2471804458,0.5730243615
SRX5000495,0.260045603,0.9192380986
SRX5000496,0.2170713079,0.7706311335
SRX5000497,0.1344463726,0.2144180671
SRX5000498,-0.42671673800000004,-0.17859987400000002
SRX5000499,-0.3268775259,0.6705946157
SRX5000500,0.2922703654,-0.035818193000000005
SRX5000501,0.17736645210000002,0.2388449571
SRX5000502,0.6276423955,0.2789843533
SRX5000503,-0.12908519940000002,0.136481397
SRX5000504,0.1741735852,-0.023838538500000003
SRX5000505,0.16909276,0.1911013917
SRX5000506,0.079498359,0.2152893938
SRX5000507,-0.0917274881,0.2469368317
SRX5000508,0.20570862480000002,0.3511933618
SRX5000509,-0.0934280348,-0.20384099420000001
SRX5000510,0.1956605887,0.1747411694
SRX5000511,0.1221476159,-0.0188794504
SRX5000512,0.10214726830000001,0.3047461127
SRX5000513,-0.0884924527,0.0943000667
SRX5000514,0.0282636416,0.0693077399
SRX5000515,0.2065095097,0.11135525680000001
SRX5000516,0.185400747,0.10121728840000001
SRX4124772,-0.9877776379000001,-0.9403260046
SRX4124773,-0.7377862959,-1.0649702945
SRX4124774,-0.1557695408,-0.0695739313
SRX4124775,0.1557695408,0.0695739313
SRX5323946,-0.20919384470000002,-0.059900907100000005
SRX5323947,0.20919384470000002,0.059900907100000005
SRX5323948,0.5501561792,0.3371477538
SRX5323949,0.6136996505,0.8203034267
SRX5323950,0.16131643780000002,0.1382205439
SRX5323951,0.32568822610000003,0.21027177530000002
SRX5323952,0.18287185250000002,0.19061629100000002
SRX5323953,0.2684410554,0.4083019973
SRX5323954,0.2829998025,0.2980475467
SRX5323955,0.5206311369000001,0.5685355628000001
DRX093856,0.014870281300000001,0.145543469
DRX093857,0.2189204521,0.1187890244
DRX093858,0.9208383869000001,-0.2292723656
DRX093859,0.145868897,-0.1627501089
DRX093860,-0.272679908,0.0496079392
DRX093861,-0.2136617312,-0.2397285808
DRX093862,1.0581054482,-0.1119943348
DRX093863,0.7768991891,-0.262508148
DRX093864,0.142019633,0.15659146070000002
DRX093865,-0.0995401388,-0.1885115192
DRX093866,0.1987914499,0.0941851117
DRX093867,1.113696968,-0.43607582910000003
DRX093868,0.3792074599,-0.3187275214
DRX093869,0.3530240793,-0.24866677650000002
DRX093870,-1.4245152307,-0.1453566788
SRX6366242,0.14384887200000002,0.2336046232
SRX6366243,0.1800068024,0.6080626618
SRX6366244,1.0002463911,0.7030322250000001
SRX6366245,-0.5981456952,0.4592989112
SRX6366246,0.3753928644,0.1697314913
SRX6366247,1.4264628702,0.3446608266
SRX6366248,0.0185420663,0.2589588704
SRX6366249,0.8358692245,0.2613789265
SRX6366250,-0.9337039697,-0.3355570935
SRX6366251,0.3208694375,0.8167438475000001
SRX6366252,0.622432869,-0.08372364880000001
SRX6366253,-0.622432869,0.08372364880000001
SRX254739,-3.6568504529,-0.8617983817
SRX254740,-3.2954107781,-1.0692181674
SRX254741,-3.1400219694000002,-1.1388624978
SRX254742,-3.3002504096,-1.2492088013
SRX254743,-3.20923974,-1.1350034617
SRX254744,-3.2949206518,-1.1985303632
SRX254745,-2.597588337,-1.0940406716
SRX254746,-3.4658425597,-0.5641146726
SRX254747,-2.3339435936,-0.8615718777
SRX254748,-3.0729443224,-0.849588385
SRX254749,-3.6920741168999998,-0.4932116878
SRX254750,-3.27884727,-0.4566734348
SRX254751,-4.2914519621,-0.0645938563
SRX254752,-3.7237862221,0.3903609946
SRX254753,-3.6031991428,-0.0811665006
