,STM2861
SRX3456069,-2.2638721542
SRX3456089,0.3626741445
SRX3456062,-1.0275121934
SRX3456087,2.7692621929
SRX3456066,-0.570817258
SRX3456092,2.5002553484
SRX3456075,-0.0660550498
SRX3456098,0.4369111739
SRX3456096,2.5025702274
SRX3456068,-3.0725925511
SRX3456060,0.3227999475
SRX3456072,-0.6687991455
SRX3456093,0.1238899636
SRX3456097,0.5643426215
SRX3456077,-1.655636086
SRX3456071,-0.3617551238
SRX3456078,-3.5809872325
SRX4029144,0.3484363474
SRX4029145,0.39859935750000003
SRX4029142,0.11086466460000001
SRX4029141,-0.3493138337
SRX4029146,0.0337790937
SRX4029143,0.2384491692
ERX2173642,-1.1616445784
ERX2173639,0.0559989491
ERX2173641,-0.5923451272
ERX2173640,-0.0559989491
SRX3139264,-0.07001029460000001
SRX3139266,-0.4042932507
SRX3139265,0.07001029460000001
SRX3139267,-0.4060641149
SRX2949967,0.028763457500000002
