,A,KdpE
pal__tartr_ale26_f10__1,1.023932935,0.202792159
pal__tartr_ale26_f10__2,1.4159322203,0.656804857
pal__tartr_ale26__1,0.4630532312,-0.005050207
pal__tartr_ale26__2,1.1572233269,-0.259671382
pal__tartr_ale28_f10__1,2.9197381588,0.8064770280000001
pal__tartr_ale28_f10__2,2.8335199409,0.632949615
pal__tartr_ale28__1,0.24570541680000002,-0.452674872
pal__tartr_ale28__2,0.9959747015,-0.324768055
efeU__delmenFentC_citr__1,0.1908482457,-1.001095701
efeU__delmenFentC_citr__2,-0.284168602,-0.8927726380000001
efeU__delmenFentC__1,1.1766022656,-0.13074729400000001
efeU__delmenFentC__2,1.1676819143000001,-0.003186303
efeU__menFentC_ale39__1,-1.7541448522,-0.62263415
efeU__menFentC_ale39__2,-1.0973826669,-0.750742054
efeU__menFentC_ale29__1,-0.5294146183,-0.750311739
efeU__menFentC_ale29__2,-0.0444231067,-0.898625902
efeU__menFentC_ale30__1,-0.13047715440000002,-0.729394836
efeU__menFentC_ale30__2,-0.9876482188000001,-0.8327511790000001
efeU__menFentCubiC_ale36__1,0.09958977940000001,0.012383616
efeU__menFentCubiC_ale36__2,0.2775888096,-0.10018583
efeU__menFentCubiC_ale37__1,-0.11865342990000001,-0.363103414
efeU__menFentCubiC_ale37__2,0.2144714456,-0.616614697
efeU__menFentCubiC_ale38__1,4.2422699968,-0.298089404
efeU__menFentCubiC_ale38__2,4.4639228136,-0.207542269
misc2__salc_glc__1,1.2940153267,-0.384472623
misc2__salc_glc__2,0.8902059481,-0.22251721400000002
misc2__dbcn_glc__1,-0.8224135735,-1.003431669
misc2__dbcn_glc__2,-0.07877674230000001,-0.624377733
misc2__tyr_glc__1,-0.1894035662,-0.299003682
misc2__tyr_glc__2,0.1212419673,-0.145114987
misc2__arg_cytd__1,-1.0035328774,-0.5052711990000001
misc2__arg_cytd__2,-1.2658750634,-0.375454968
misc2__delyheO_pyr__1,0.3650130635,-0.5454359990000001
misc2__delyheO_pyr__2,0.6467388464,-0.707817448
nquinone__delubiC__1,-0.4593205088,-0.487443214
nquinone__delubiC__2,-0.6987605404,-0.6574020030000001
nquinone__ubiC_ale1__1,0.5527781684,-0.257308847
nquinone__ubiC_ale1__2,-0.1939770206,-0.8315854330000001
nquinone__ubiC_ale2__1,0.5026067205,-0.09175690700000001
nquinone__ubiC_ale2__2,0.6364970201,-0.35305859900000003
nquinone__ubiC_ale3__1,-0.0745855545,-1.170625183
nquinone__ubiC_ale3__2,0.0330768422,-0.969681271
nquinone__ubiC_ale4__1,-0.0950108566,-0.38632241300000003
nquinone__ubiC_ale4__2,0.5676839954,-0.39660451700000005
nquinone__delpdhR__1,-0.0918289451,-0.7465045370000001
nquinone__delpdhR__2,-0.595485677,-1.059198481
quinone__glu_ale4__1,-0.9796341263,-0.7268198770000001
quinone__glu_ale4__2,-0.6416517150000001,-0.991800498
quinone__delmenF__1,0.0782277272,-0.23192869100000002
quinone__delmenF__2,-0.0264182048,-0.549687137
quinone__menF_ale5__1,-0.00496686,-0.29672010400000004
quinone__menF_ale5__2,0.0776003046,-0.329328593
quinone__menF_ale6__1,-0.7828315833,-0.48725298800000005
quinone__menF_ale6__2,-0.5521167246,-0.565264878
quinone__menF_ale7__1,-0.5151624021,-0.522609882
quinone__menF_ale7__2,-0.5176538487,-0.427287307
quinone__menF_ale8__1,-1.7018659146,-0.631756516
quinone__menF_ale8__2,-1.1536103235,-0.380261434
quinone__delmenFubiC__1,0.33587991910000004,-0.292518186
quinone__delmenFubiC__2,-0.0631099792,-0.6201154670000001
quinone__menFubiC_ale1__1,-1.1722792442,-0.806688987
quinone__menFubiC_ale1__2,-0.5388266418000001,-0.832850775
quinone__menFubiC_ale2__1,-0.4188690483,-0.8369672330000001
quinone__menFubiC_ale2__2,-1.2924243306,-0.9029382140000001
quinone__menFubiC_ale3__1,0.0007380630000000001,-0.321247267
quinone__menFubiC_ale3__2,0.0494061542,-0.47101099300000004
quinone__menFubiC_ale4__1,-0.2834759009,-0.7810862970000001
quinone__menFubiC_ale4__2,-0.8120468944,-0.599957704
oxyR__wt_glc__1,-0.8948975471,-0.791616179
oxyR__wt_glc__2,-1.3354529343000001,-0.6171586520000001
oxyR__wt_h2o2__1,-0.8243030467,-0.7412365190000001
oxyR__wt_h2o2__2,-0.4867976987,-0.528072273
oxyR__glu_ale4__1,-1.0932504081,-0.316413785
oxyR__glu_ale4__2,-0.6283789343,-0.256227285
oxyR__glu_ale4_h2o2__1,-0.45809482690000003,-0.425545163
oxyR__glu_ale4_h2o2__2,0.0952705715,-0.493010632
oxyR__oxyR_ale17__1,-0.5251380455,-0.283581583
oxyR__oxyR_ale17__2,-0.33268433270000003,-0.507374526
oxyR__oxyR_ale17_h2o2__1,-1.1606089455,-0.48497199700000004
oxyR__oxyR_ale17_h2o2__2,-1.4058290515,-0.868479741
oxyR__oxyR_ale18__1,-1.3114993483,-1.098204967
oxyR__oxyR_ale18__2,-1.3526925752,-0.7472167820000001
