,A,ricR
mrsI:wt_iron_atc:2,-0.1703634631,-0.0316307755
mrsI:wt_iron_no_atc:1,-2.8940177868,-2.2372595468
mrsI:wt_iron_no_atc:2,-3.7348531855,-1.7831578736
mrsI:wt_ox_atc:1,-3.0316376341,-2.1358375975
mrsI:wt_ox_atc:2,-3.8952075439,-1.9899119337000002
mrsI:wt_ox_noatc:1,17.822375758,1.2142894105
mrsI:wt_ox_noatc:2,19.3289842964,1.5163764827000001
mrsI:wt_sds_atc:1,18.6722349988,1.1672618201
mrsI:wt_sds_atc:2,17.5128281368,1.1813566397
mrsI:wt_sds_no_atc:1,-0.22146263830000001,-0.0338221487
mrsI:wt_sds_no_atc:2,0.22146263830000001,0.0338221487
nitrate:control:1,0.2721052081,0.1338761705
nitrate:control:2,-0.2721052081,-0.1338761705
p218:0_days_.1:1,0.6925579555,0.6503436732
p218:0_days_.1:2,0.5467762905,0.24942260770000002
p218:0_days_.1:3,0.7054804929,0.7861626552000001
p218:0_days_.1:4,0.9013668742000001,0.6891700445000001
p218:0_days_control:1,-0.1206495382,-0.043421302700000004
p218:0_days_control:2,0.2660514035,-0.0699764751
p218:0_days_control:3,-0.0358789149,0.12782130660000002
p218:0_days_control:4,-0.10952295050000001,-0.0144235287
p218:1_days_.1:1,0.9182729691,0.0201272342
p218:1_days_.1:2,0.6753882219,0.0287097368
p218:1_days_.1:3,1.0601758089,0.0238741758
p218:1_days_.1:4,1.0246869065,0.0890030473
p218:1_days_control:1,3.1847989512,0.0970702979
p218:1_days_control:2,3.3474903827,0.1692654649
p218:1_days_control:3,3.3132697445,0.1600245439
p218:1_days_control:4,3.3682199782,0.2310959296
patH-Cap:post_path_ctrl:1,-1.2259331484,0.5664602674
patH-Cap:post_path_ctrl:2,0.0045895949000000005,0.7610357693
patH-Cap:post_path_inh:1,-0.2051339637,1.2473447427
patH-Cap:post_path_inh:2,0.0093113325,1.6446360028
patH-Cap:pre_path_ctrl:1,0.0092527492,0.0314639908
patH-Cap:pre_path_ctrl:2,-0.0092527492,-0.0314639908
patH-Cap:pre_path_inh:1,0.993285237,0.5048584621000001
patH-Cap:pre_path_inh:2,1.0069962184,0.4422283654
ppxx:double_mutant:1,-0.0075323467,0.053369014000000006
ppxx:double_mutant:2,0.0075323467,-0.053369014000000006
reactivation:day_1_reactivation:1,-12.984300334,-1.6179470241
reactivation:day_1_reactivation:2,-12.9366184509,-1.6317627248000002
reactivation:day_1_reactivation:3,-12.7629450254,-1.6093235906999999
reactivation:day_2_reactivation:1,-15.3920340628,-1.9677962521999999
reactivation:day_2_reactivation:2,-15.4961210351,-1.9761981411
reactivation:day_2_reactivation:3,-15.4525990625,-1.8849314006000002
reactivation:day_3_reactivation:1,-18.734689938,-2.5852004588
reactivation:day_3_reactivation:2,-18.1771215665,-2.5923731421
reactivation:day_3_reactivation:3,-18.4295214567,-2.7130082888000002
reactivation:day_4_reactivation:1,-18.3016553039,-2.4418415346
reactivation:day_4_reactivation:2,-18.5719599065,-2.5845236685
reactivation:day_4_reactivation:3,-18.7346220737,-2.4800107829
reactivation:days_0_persistence:1,-0.0795327027,-0.0612355188
reactivation:days_0_persistence:2,0.2124249765,0.0715656976
reactivation:days_0_persistence:3,-0.1328922739,-0.0103301787
redox:intra_basal:1,-1.2980452997,0.6988775995000001
redox:intra_basal:2,-0.48606200980000003,0.6605111853
redox:whib3_comp_4.5:1,18.159028678,2.7454420094
redox:whib3_comp_4.5:2,17.3884870687,2.6406310617
redox:whib3_comp_6.6:1,2.0529261698,0.2373570003
redox:whib3_comp_6.6:2,2.6832602898999998,0.5787112026
redox:whib3_ko_4.5:1,19.7213333046,3.0603787899
redox:whib3_ko_4.5:2,18.5345185569,2.9344770252
redox:wt_4.5:1,9.1005521318,1.0815607257
redox:wt_4.5:2,3.2346481859,0.007650872
redox:wt_6.6:1,0.7647265881,0.29844189320000003
redox:wt_6.6:2,-0.7647265881,-0.29844189320000003
resus:day_1_run_1:1,-0.2034024684,-0.0161967137
resus:day_1_run_1:2,0.2034024684,0.0161967137
resus:day_4_run_1:1,-0.9921110593,-0.5738141722
resus:day_4_run_1:2,-1.9370628378,-0.29053873420000004
rho:00h_DUC:1,0.24381351480000002,-0.052434620800000005
rho:00h_DUC:2,-0.24381351480000002,0.052434620800000005
rho:00h_DUC_1:1,-2.0190225191,-0.7651203515
rho:00h_DUC_1:2,-1.820425044,-0.6003930701
rho:01.5_DUC:1,-1.2680945074,-0.8568644693
rho:01.5_DUC:2,-2.5433861138,-0.8927027488
rho:01.5h_DUC_ATC:1,0.1834713919,0.3309110156
rho:01.5h_DUC_ATC:2,0.037052134300000004,-0.24923844390000002
rho:03_DUC:1,-0.8472993182,-0.2850526768
rho:03_DUC:2,-2.3100023313999998,-0.5485862196
rho:03h_DUC_ATC:1,1.5516318978,0.1588303539
rho:03h_DUC_ATC:2,-0.5457493418,-0.5789816671
rho:06h_DUC_ATC:1,-0.021710224400000002,0.0082563449
rho:06h_DUC_ATC:2,-0.1213202079,-0.1501655298
rho:06h_WT_ATC:1,0.4224802502,-0.0967592835
rho:06h_WT_ATC:2,-0.5954525884,-0.1406557612
rho:09_DUC:1,-0.9200829069,0.22428603700000002
rho:09_DUC:2,-0.6702646008,0.2633252102
rho:09h_DUC_ATC:1,0.609300138,0.3097272413
smx:0_days_12.5:1,-0.3483682228,-0.3316034732
smx:0_days_12.5:2,-0.1339925707,-0.31524109710000003
smx:0_days_12.5:3,-0.0146935716,-0.2445477096
smx:0_days_control:1,0.09152275730000001,-0.0100087874
smx:0_days_control:2,0.0165161974,0.0380302323
smx:0_days_control:3,-0.10803895470000001,-0.0280214449
smx:1_days_12.5:1,0.456758951,-0.4155640122
smx:1_days_12.5:2,0.7010059713,-0.45944145300000006
smx:1_days_12.5:3,0.5046796156,-0.51588986
smx:1_days_control:1,0.3865496392,-0.3624042504
smx:1_days_control:2,0.2028206276,-0.28372630190000003
smx:1_days_control:3,0.1306165161,-0.3556166203
sq109:0_days_3:1,-0.9013719535,0.0715570135
sq109:0_days_3:2,2.1773140086,-0.0684754398
sq109:0_days_3:3,2.2425446372,-0.038848997600000004
sq109:0_days_3:4,-1.0874472249,0.008341890900000001
sq109:0_days_control:1,-0.6790403042000001,0.25714608850000004
sq109:0_days_control:2,0.48161321030000004,-0.22747820700000002
sq109:0_days_control:3,0.9801070652,-0.1801438337
sq109:0_days_control:4,-0.7826799712,0.1504759523
sq109:1_days_3:1,-0.868358327,0.1279976678
sq109:1_days_3:2,2.0200420089,-0.10150221570000001
sq109:1_days_3:3,2.1874317251,-0.0082141462
sq109:1_days_3:4,-0.8952206822000001,0.07260941010000001
sq109:1_days_control:1,-0.6450480971,0.3144424108
sq109:1_days_control:2,0.7165688817,-0.2162421531
sq109:1_days_control:3,-1.0333746492,0.2719210143
sq109:1_days_control:4,0.8011107995000001,-0.1414538868
stress:.1_butyrate:1,6.2510993280000005,1.0564766129
stress:.1_butyrate:2,3.6645281854,0.7567177829
stress:.1_butyrate:3,6.2702927218,1.256709949
stress:.4_gluc:1,0.2204439607,0.0086524527
stress:.4_gluc:2,-0.5931582447,-0.1205458382
stress:.4_gluc:3,0.3727142841,0.1118933855
stress:1_days_low_iron:1,-6.9461372723,0.1282344364
stress:1_days_low_iron:2,-6.1582856338,0.10728893070000001
stress:1_days_low_iron:3,-5.4096928737,-0.1894636357
stress:7_days_low_iron:1,0.6732510140000001,0.2875433128
stress:7_days_low_iron:2,-1.0465523959,0.3253581031
stress:7_days_low_iron:3,-1.7107687138,0.41136690330000003
stress:gluc_butyrate:1,-0.0692600193,0.571439178
stress:gluc_butyrate:2,-0.3813987844,0.538967879
stress:gluc_butyrate:3,-0.0821166363,0.5512815541
stress:high_iron:1,-0.6569558247,0.5865613571
stress:high_iron:2,-0.1678228193,0.0745133212
stress:high_iron:3,-0.4673770909,0.1301569712
stress:tolox_ph_7:1,1.4891146711,1.3088386057
stress:tolox_ph_7:2,1.5160469076,1.3292297616
sutez:0_days_5.6:1,0.5653094184,-0.1119785778
sutez:0_days_5.6:2,0.35834158800000004,0.078003266
sutez:0_days_5.6:3,0.3844288011,-0.2893317136
sutez:0_days_5.6:4,0.3675412515,-0.2518712616
sutez:0_days_control:1,0.0910204767,0.0641567701
sutez:0_days_control:2,0.0202685401,0.0364719097
sutez:0_days_control:3,-0.1758411188,-0.1297947255
sutez:0_days_control:4,0.0645521019,0.029166045600000003
sutez:1_days_5.6:1,4.1711044927,0.7694586625000001
sutez:1_days_5.6:2,5.1158037325,0.7673855276
sutez:1_days_control:1,0.0939882645,-0.7381926983
sutez:1_days_control:2,0.32857946390000004,-0.5571551962
sutez:1_days_control:3,0.17855695,-0.3694839337
sutez:1_days_control:4,0.1298311208,-0.5592068201
thrB:0_days_starve:1,0.8634864437,-0.3413012825
thrB:0_days_starve:2,-0.8634864437,0.3413012825
tss:expression_library:1,1.5984668127,0.0873300493
tss:expression_library:2,1.8492929648,0.0646231248
tss:mapping_triphosphate:1,-1.0199271901,0.2523435193
tss:mapping_triphosphate:2,0.3761053781,-0.0423180399
tss:mapping_wo_triphosphate:1,-2.5671947961,-0.36999113780000004
tss:mapping_wo_triphosphate:2,-3.368895816,0.0857812735
tss:wt_experiment_2:1,0.0655591621,0.1279000323
tss:wt_experiment_2:2,0.0593384556,-0.0084518697
tss:wt_experiment_2:3,-0.1248976177,-0.11944816250000001
vera:0_days_176:1,0.6069799916,0.2491203023
vera:0_days_176:2,0.0876043579,-0.0112655842
vera:0_days_176:3,0.18730685190000002,0.0431175497
vera:0_days_176:4,-0.0386052111,-0.1036995752
vera:0_days_control:1,-0.017962696900000002,-0.0293867319
vera:0_days_control:2,-0.2679458743,-0.0632752003
vera:0_days_control:3,0.25172121610000003,0.2159590247
vera:0_days_control:4,0.0341873552,-0.1232970924
vera:1_days_176:1,2.0010207089,1.186444036
vera:1_days_176:2,2.0614179568,1.1276740577
vera:1_days_176:3,2.197755148,1.1187989481
vera:1_days_control:1,1.1020775854,0.4031073707
vera:1_days_control:2,0.3866831609,0.1724911059
vera:1_days_control:3,0.8761421499000001,0.3731461835
vera:1_days_control:4,0.8446925408,0.3178979572
