,A,MarA,Rob,SoxS
elyC__delelyC_21C__3,-1.8240102405,-0.8400010775000001,0.2901970867,0.8368059453000001
elyC__delelyC_37C__1,0.0742355033,0.0354664704,-0.1067698282,0.0316205524
elyC__delelyC_37C__2,-0.0575372118,0.07100259910000001,0.0020335306,0.1823312109
elyC__delelyC_37C__3,-0.1216468005,0.0966690572,-0.1234032021,0.3242544804
evo_acid_w__F9_2__1,1.5308812249,1.1684633173,-0.08701428630000001,2.2124515583
evo_acid_w__F11_1__1,5.894428176,1.0515469584,0.44528241100000004,0.0928610133
evo_acid_w__F11_1__2,5.070834915,0.8284381546,0.3809689256,0.7271117502000001
evo_acid_w__F11_1__3,4.122613956,0.9734723298,0.8151977263,1.2219072662000001
evo_acid_w__wt__1,0.5696483019,0.1476479966,0.1655475823,1.5239187272999999
evo_acid_w__F11_2__1,1.9746399022,0.4483004398,0.4412779679,1.0621641727
evo_acid_w__B11_2__1,2.2385881744000002,-0.9366364302,0.6276682163,1.0759300603
evo_acid_w__F11_2__2,2.0901150719,0.9043307447000001,0.554461836,-0.6815112293000001
evo_acid_w__wt__2,0.2508397142,0.11003292590000001,0.2304795496,0.3047822845
evo_acid_w__B11_1__1,2.1097759293,-0.6012330036,0.3694412737,-1.6454046189
evo_acid_w__H9_1__1,-1.3514877612,2.0699171043,0.4332954446,2.1717734136
evo_acid_w__H9_2__1,3.1833647968,0.9421102121,0.1628332434,0.19292705640000002
evo_acid_w__B11_2__2,2.0535666338,-0.9077073719000001,0.648322409,1.0481367336
evo_acid_w__wt__3,0.7327370771,0.0574956862,-0.0029053989000000003,-0.0042973177
evo_acid_w__H9_2__2,3.0095185664,0.9761661969000001,0.1057436544,0.39223158750000003
evo_acid_w__B11_2__3,2.1711372522,-1.0925581351,0.7086341429,0.9225069578
evo_acid_w__F11_2__3,2.23465445,0.9462238747,0.6724093296,-0.8829571123000001
evo_acid_w__F9_2__2,1.7425874517,1.1828843367,-0.0352727115,2.3731705428
evo_acid_w__wt__4,-0.7216480109000001,0.16454386540000002,0.2361233144,-0.29128463800000004
evo_acid_w__wt__5,-0.067222159,0.3562810885,0.27021511470000004,-1.0559364507
evo_acid_w__wt__6,0.2168029633,-0.5613878022000001,-0.3058493791,-0.1277838775
evo_acid_w__H9_1__2,-1.4584032148000001,2.0082583195,0.4028684171,2.3900865406
evo_acid_w__F9_1__1,3.1268972574,0.6799342392000001,0.43411844,1.0778150826
evo_acid_w__F9_1__2,2.799984004,0.6667822826,0.5486757694000001,1.7910009049000002
evo_acid_w__B11_1__2,1.5673517933999999,-0.6482864163000001,0.2389036263,-1.6038819468
evo_acid_w__H9_2__3,2.6566265537,0.5492723397,0.2280332499,-0.1611169638
evo_acid_w__wt__7,-0.6081355663,0.30714720630000003,0.0387599562,0.5210449225
evo_acid_w__F9_1__3,2.3587945283,0.5429163155,0.5020623851,1.7684623973
evo_acid_w__F9_2__3,1.3284510742,1.1311306695,-0.1303596277,2.3841112015
evo_acid_w__wt__8,0.2034078957,0.0774486435,-0.2222979323,-0.3831462017
evo_acid_w__B11_1__3,1.1441286706,-0.8775622727,0.2773207593,-1.3078989702000001
evo_acid_w__wt__9,-0.5764302161,-0.6592096101,-0.4100728068,-0.48729744890000004
evo_bz__c3_1_bz__1,3.8458198865,3.8769523801,0.0125088691,0.044954516300000004
evo_bz__c3_1_bz__2,8.8880110577,3.745874824,-0.325820761,-0.323535516
evo_bz__c3_1_bz__3,7.8688230922999995,3.5521870898,-0.2114259839,-0.3688739019
evo_bz__c3_1_bz__4,7.626084907,3.637267183,-0.14747079400000002,-0.1503656468
evo_bz__g5_1_bz__1,5.5598232784,3.7365375642,-0.7478690444,3.6536413194
evo_bz__g5_1_bz__2,8.320745425,4.9283781317,-0.5863539719,0.9168393518
evo_bz__g5_1_bz__3,6.1242346295,3.8572286299,-0.7804356397000001,3.3293732206
evo_bz__g5_1_bz__4,6.5524356228,3.8851315479,-0.625589131,0.4429974579
evo_bz__g5_1_bz__5,6.8513027543,3.6758869924,-0.3734359498,0.3646087702
evo_bz__g5_1_bz__6,6.6109151372,3.8092258674,-0.4772939875,0.30729279190000003
evo_bz__w3110d13__1,0.0325392086,-0.1224848104,0.1767797988,0.0291404536
evo_bz__w3110d13__2,0.08478691170000001,-0.3467576411,0.2219253281,0.0098192238
evo_bz__w3110d13__3,-0.19462039150000002,-0.0009040089000000001,0.0066967902,-0.4884090131
evo_bz__w3110d13__4,0.1615973802,-0.3534260674,0.0461293378,-0.18752289200000002
evo_bz__w3110d13__5,-0.15514067,0.29629679340000004,-0.317419271,0.4559846912
evo_bz__w3110d13__6,0.0708375611,0.5272757344,-0.13411198400000002,0.18098753650000002
evo_bz__w3110d13_bz__1,6.5238520478,2.9906325666,0.0017279988,0.1585245166
evo_bz__w3110d13_bz__2,5.6021779911,3.2220169304,0.1863426404,-0.3058826031
evo_bz__w3110d13_bz__3,7.7620804363,3.5423270459,-0.27948331590000003,0.1199590179
evo_bz__w3110d13_bz__4,6.0275379661,2.503831933,-0.0688213523,0.1977498889
evo_bz__c3_1_bz__5,3.7547147398,3.8734554257,-0.0247222365,0.9987135651000001
evo_bz__c3_1_bz__6,4.0602112231,4.0429148104,-0.0670071577,-0.2479232046
evo_bz__g5_2_bz__1,7.563971639,2.8106492805,-0.7192125849000001,-1.3608096033
evo_bz__g5_2_bz__2,7.49609089,2.8131495879,-0.6342275554,-1.4484519146000001
evo_bz__g5_2_bz__3,7.2632474746,2.9380036731,-0.4966980935,-1.147626942
evo_bz__g5_2_bz__4,2.3832407042,0.6215357370000001,0.1431630716,-1.0841467557
evo_bz__g5_2_bz__5,2.2274179232,0.4068069265,0.1304155335,-1.452082591
evo_bz__g5_2_bz__6,0.9774691217,0.7463007883,0.2075936561,-1.5701520421000001
evo_bz__w3110d13_bz__5,7.5815404884,3.3410819962,-0.2671753085,0.0409702418
evo_bz__w3110d13_bz__6,7.9087175282,3.6837142158000002,-0.49119381310000004,0.3338124488
evo_bz__a1_1_bz__1,2.2602238966,0.5292550973,0.8795385531000001,1.9208949611000001
evo_bz__a1_1_bz__2,4.2907870562,1.8643055515,0.1477903236,1.7421538811000001
evo_bz__a1_1_bz__3,7.9095786562,4.1271225479,-0.6286692262,0.5824367774
evo_bz__a1_1_bz__4,5.1112393597,1.6411794783,0.0696074042,0.0036705774
evo_bz__a1_1_bz__5,8.0150983714,4.0499854307,-1.0308164091,0.2999342461
evo_bz__a1_1_bz__6,7.5936173823,4.0381214952,-0.5994284520000001,0.6800792624
evo_metab__wt__1,1.1254525791,-0.8373124506,0.1538214049,-0.2223264297
evo_metab__del_zwf__1,0.35006558120000003,-0.5408478176,-0.1664392461,-0.0071189377
evo_metab__zwf_ale1__1,0.7811052587,-0.5518960811,-0.2972388883,-0.07701272840000001
evo_metab__zwf_ale2__1,-0.16105065600000001,-0.045631195,-0.15520780350000002,0.0869198874
evo_metab__del_ppk__1,-0.3855162547,0.6158040854,0.1771213348,-0.6806533698
evo_metab__ppk_ale1__1,-0.37969540090000004,0.2834906628,-0.0714593505,-0.35396139520000003
evo_metab__ppk_ale2__1,0.4688324686,-1.249415402,-0.2625788595,-0.6667392267000001
evo_metab__ppk_ale3__1,0.18379415500000001,-1.1181642133,-0.2532398477,-0.1829639575
evo_metab__del_dapF__1,1.2595915994,-0.9167249501,0.0498963048,-0.06232428
evo_metab__dapF_ale1__1,1.7986312610000001,-0.7757312992000001,-0.053262352400000004,-0.3000884493
evo_metab__dapF_ale3__1,0.3976523286,0.0294279052,-0.21340027120000002,-0.7365499214
evo_metab__del_entC__1,0.37201253770000003,-0.0860199931,-0.2705576678,0.045356924
evo_metab__entC_ale1__1,0.7744310684,0.6787571976,0.066955625,0.2457592557
evo_metab__entC_ale2__1,1.1378218269,-0.5490590408,-0.2559363146,-0.14586396340000002
evo_metab__del_dgk__1,-1.7448725083,0.7143416023,0.21847758820000002,-0.8532738292000001
evo_metab__dgk_ale1__1,0.1892720887,0.0015512448,-0.31988032650000003,-0.7531932505000001
evo_metab__dgk_ale2__1,-0.9452538215,-0.607811655,-0.1506185508,-0.7648728013
evo_metab__dgk_ale3__1,0.6876129459,0.2636798799,-0.1204453825,-0.3101358843
evo_metab__wt__2,-0.0810422737,0.6763198020000001,-0.0769273394,0.1867526123
evo_metab__del_zwf__2,-0.2088062743,-0.0458781449,-0.256294666,2.3289481532
evo_metab__zwf_ale1__2,-2.2339832343,-0.0424833238,-0.9702487917,0.6183355909
evo_metab__zwf_ale2__2,-2.1326508268,0.9377540218,0.1247518207,0.357773491
evo_metab__del_ppk__2,-0.818928964,1.2812462914,0.085600064,0.5382046811
evo_metab__ppk_ale1__2,-1.6219812334,-0.311294612,-0.1252248496,-0.0572542905
evo_metab__ppk_ale2__2,-1.839850256,0.1062631433,0.22698569670000002,-0.4471674561
evo_metab__ppk_ale3__2,-0.7452257835,0.30395960110000003,-0.0114629372,-0.5539854427
evo_metab__del_dapF__2,0.3327393603,0.049810364700000005,-0.626199638,2.8172340047
evo_metab__dapF_ale1__2,0.1603939901,0.5166110056000001,-0.7247527610000001,4.5131384873
evo_metab__dapF_ale3__2,0.3027417731,0.2112567316,-0.6045302616,3.5667463746
evo_metab__del_entC__2,-0.8809795368000001,1.2089284808,-0.0568756443,0.5128547909
evo_metab__entC_ale1__2,-1.1259716216,0.2391356171,-0.2906037369,0.42410348670000003
evo_metab__entC_ale2__2,-2.7094799917,-0.2945671768,-0.39823138620000004,-0.108645684
evo_metab__entC_ale3__1,-1.6166488447,0.0394637768,0.4325278162,0.17577522710000001
evo_metab__del_dgk__2,-1.7718354931,0.8293662481,0.193723001,-0.7505658820000001
evo_metab__dgk_ale1__2,-1.7077934254,0.2195221651,0.012295112300000001,-0.3425199927
evo_metab__dgk_ale2__2,-2.2969666605,0.07283275040000001,0.3868844563,-0.4556223797
evo_metab__dgk_ale3__2,-1.0642628135,0.7203539566,0.1335640873,-0.6400462182000001
evo_metab__wt__3,-1.0444103054,0.1609926486,-0.0768940655,0.0355738174
evo_metab__del_zwf__3,-0.8531889728000001,1.0199384447,-0.4706021925,0.5824123451000001
evo_metab__zwf_ale1__3,-2.2615177157,0.0254918652,-0.6228993684,0.6559070632
evo_metab__zwf_ale2__3,-2.2199283895,0.6310021688,0.010453015900000001,0.2344070977
evo_metab__del_ppk__3,-2.2229565818,0.44776403140000004,0.4094421032,-0.1172803942
evo_metab__ppk_ale1__3,-1.4992258407,0.7239083508,0.4561253679,0.08127685650000001
evo_metab__ppk_ale2__3,-1.6186316729999999,0.6761182436000001,0.1597433174,0.3046698561
evo_metab__ppk_ale3__3,-0.8102460955,0.2699567871,0.4809485034,-0.2163361714
evo_metab__del_dapF__3,0.16220086150000002,-0.20976724870000002,-0.7020582740000001,2.7434756226
evo_metab__dapF_ale1__3,0.0448579234,0.14957170320000002,-0.7367765533,4.393790183
evo_metab__dapF_ale3__3,0.0858967969,0.2851745435,-0.8118714086000001,2.8375640516000002
evo_metab__del_entC__3,-1.2504711691,0.766403481,-0.38888662970000004,0.3290416758
evo_metab__entC_ale1__3,-1.6827188212,-0.0478694621,0.2878830711,-0.3252164755
evo_metab__entC_ale2__3,-1.5099932851,-0.1437382727,0.1019517949,-0.9689201371
evo_metab__entC_ale3__2,-0.9973249841,0.2104738259,0.0096929777,-0.6468867151000001
evo_metab__del_dgk__3,-1.487821746,1.0327974358,0.171744917,-0.7571344069
evo_metab__dgk_ale1__3,-1.5238395598999999,0.0167722501,0.2033306947,-0.7880518144
evo_metab__dgk_ale2__3,-3.1809429771,0.1009055326,0.19828494330000002,-0.5311689970000001
evo_metab__dgk_ale3__3,0.0986114203,1.2036076372,-0.0137575076,-0.0786313003
flag_reg__wt__1,-0.2911837563,0.0329553635,-0.0965837697,0.0274499799
flag_reg__del_fliA__1,-0.21086534140000002,-0.36510788180000003,-0.21700877940000002,-0.028457880100000003
flag_reg__del_flhC__1,0.3330054946,-0.37369500980000003,-0.2775488734,-0.10729446720000001
flag_reg__del_flhD__1,0.8461170764,0.0133699953,-0.1371354982,0.5318922715000001
flag_reg__wt__2,0.2911837563,-0.0329553635,0.0965837697,-0.0274499799
flag_reg__del_fliA__2,0.4043797564,-0.2817965739,-0.0993492478,-0.1256386401
flag_reg__del_flhC__2,0.0831720502,-0.2411526642,-0.1121778957,-0.2178036404
flag_reg__del_flhD__2,0.3899609854,-0.3857753861,-0.24049882500000003,-0.5366816416
flgM__27C__1,-0.0857318985,-0.3131141868,-0.20349650060000002,0.16719091290000002
flgM__27C__2,0.3100615652,-0.15587125000000002,-0.40578576920000003,-0.1729357963
flgM__27C__3,0.237221902,-0.1738726939,-0.4270340716,-0.2081320112
flgM__32C__1,0.2532611558,-0.1895460388,-0.1181471146,0.4324103133
flgM__32C__2,-0.2126273467,-0.114537155,-0.08377990760000001,0.5378152136000001
flgM__32C__3,-0.0694968398,-0.21813250110000001,-0.0529427274,0.7727120887000001
flgM__37C__1,-0.0876867369,0.0425266583,-0.0265198378,0.109002103
flgM__37C__2,0.0426558851,0.1065455919,-0.0189421423,0.049806562000000006
flgM__37C__3,0.0450308518,-0.1490722502,0.0454619801,-0.15880866500000002
flgM__42C__1,-1.015306193,-0.3167293097,-0.1044553807,-0.0485789029
flgM__42C__2,-0.9107550466000001,-0.2853150199,-0.0312498919,0.3745972415
flgM__42C__3,0.12709629120000002,0.6758723753,0.2220030083,1.0382092302
histone__untreated__1,-0.0491995236,0.0383504774,0.1097622281,0.07283209880000001
histone__untreated__2,0.1194878016,-0.160530994,-0.1105663442,-0.4454513264
histone__untreated__3,-0.07028827800000001,0.12218051660000001,0.0008041161,0.3726192276
histone__10ug_H2A__1,-0.40505255090000003,-0.0456992799,-0.1223861001,0.3358417336
histone__10ug_H2A__2,0.1617723876,0.0615079669,-0.1098039294,0.1013125477
histone__10ug_H2A__3,-0.5673615415000001,-0.22063221870000002,-0.0355702393,0.3392036566
histone__50ug_H2A__1,-0.8534124971,0.1281631456,0.0418987611,0.44158364650000004
histone__50ug_H2A__2,-0.8055738724,0.2043443623,0.09379492240000001,0.5956551901
histone__50ug_H2A__3,-0.6980086885,0.1395918186,0.0431147006,0.2740625711
histone__100ug_H2A__1,-0.3749792233,0.273836628,0.1276685401,0.5259592475
histone__100ug_H2A__2,-0.4704879082,0.20502309940000002,0.0961079974,0.6466698901
histone__100ug_H2A__3,-0.4093510577,0.0128624815,0.149577392,0.3838550162
hns__del_hns_spike__1,-2.7018986996,-0.0020929907,0.8267680006,-0.5207096843
hns__del_hns_spike__2,-1.7267117677,0.7161408296,0.5168924043,-0.4571458277
hns__del_hns__1,-2.9334874086,0.3771866801,0.7542304950000001,-0.13870783750000001
hns__del_hns__2,-1.8945812772,-0.0186322698,0.6271906736,-0.3379056861
hns__wt_spike__1,-1.2790700481,0.8545960577,0.5291299804,-0.30987139
hns__wt_spike__2,-0.3816627226,-0.49681307360000004,0.0020523354,0.6875255569000001
hns__wt__1,-1.2255717826,0.1769212632,0.4768012716,-0.44808718740000003
hns__wt__2,1.2255717826,-0.1769212632,-0.4768012716,0.44808718740000003
hns_stpA__evo100G4_delhns_delstpA__1,-1.0250913781,-0.9873962032,-0.9963013304,-0.1741845105
hns_stpA__evo100G4_delhns_delstpA__2,-0.6404499134,-0.7625468904,-0.9645361518000001,-0.3694665992
hns_stpA__evo100G12_delhns_delstpA__1,-2.2184579651,-0.2055362816,-1.7217044859000001,-0.3079501395
hns_stpA__evo100G12_delhns_delstpA__2,-2.8081438698000003,-0.2670303261,-1.7421292374,-0.6437105952000001
hns_stpA__delhns_delstpA_delrpoS__1,-2.5360841788,-1.000223886,-1.5790061009,0.7632339032000001
hns_stpA__delhns_delstpA_delrpoS__2,-2.2762961606,-0.223875485,-1.9907956444,0.6067171919000001
hns_stpA__wt__1,-0.2787918915,0.1291904387,0.37482024210000003,0.5403308130000001
hns_stpA__wt__2,0.2787918915,-0.1291904387,-0.37482024210000003,-0.5403308130000001
hns_stpA__delhns_delstpA__1,0.109789544,0.023040064500000002,-2.4419351521,-1.5623480451
hns_stpA__delhns_delstpA__2,0.376808061,0.1151885539,-2.1028178985,-1.4340698205
hu__wt_log_pH7__1,-2.4439715567,-0.3362334571,-0.35502558710000004,1.3920727178
hu__wt_log_pH7__2,-1.8246404052,0.5349959858000001,-0.3221773536,1.618009977
hu__wt_log_pH7__3,-2.2445416744,0.0943185825,-0.3486851385,1.9566343063
hu__wt_lag_pH7__1,0.6390568456,-0.2906011096,-0.1689487077,-0.5044405596
hu__wt_lag_pH7__2,0.8747652691000001,-0.3413025719,-0.3507560912,-0.40486629960000003
hu__wt_lag_pH7__3,-1.5138221147,0.6319036814,0.5197047989,0.9093068592
hu__delhupA_lag_pH7__1,-0.5379972945,-0.19862743360000001,0.0227047077,-1.2094731877
hu__delhupA_lag_pH7__2,0.3589436104,0.132950552,-0.5777707614,-0.5712637942000001
hu__delhupA_lag_pH7__3,-1.6894045866,0.7975373068,0.4079176117,0.5007027516
hu__delhupB_lag_pH7__1,1.1002113584,0.09492099770000001,-0.1178391646,-0.5869844275
hu__delhupB_lag_pH7__2,1.1587341769,-0.0310742874,-0.2952490055,-0.6325160238
hu__delhupB_lag_pH7__3,-1.8898578952,0.9075389058000001,0.2969883336,0.5723355410000001
hu__delhupAhupB_lag_pH7__1,-2.5807998121,-0.4486298574,-0.7634256880000001,-2.3392058711
hu__delhupAhupB_lag_pH7__2,-0.8265892808,-0.2074802016,-0.6608277826,-1.3395012253
hu__delhupAhupB_lag_pH7__3,-2.2895323652,0.2820633212,-0.4441161455,-1.4215191063
hu__hupAE34K_hupB_lag_pH7__1,1.0365546095,-0.6097307952000001,0.1452127811,-0.4265442807
hu__hupAE34K_hupB_lag_pH7__2,1.2874505929,-0.0249887796,0.1001993656,-0.3880784927
hu__hupAE34K_hupB_lag_pH7__3,-1.3440724343000001,0.46481834720000004,0.313860703,0.4017086868
hu__hupAE34K_delhupB_lag_pH7__1,0.821721538,-0.5829374909,0.1478766122,-1.3595389119
hu__hupAE34K_delhupB_lag_pH7__2,1.8237148249000001,-0.39017505480000003,-0.1268699445,-1.0167980736
hu__hupAE34K_delhupB_lag_pH7__3,-1.3232471274,0.6278165136,0.4392586133,0.33702334240000004
hu__wt_lag_pH5__1,3.5411458476,2.0175654181,-0.1626171865,-1.1028008521000001
hu__wt_lag_pH5__2,4.1641577046,1.8309931064,0.0215174842,-0.1626392362
hu__wt_lag_pH5__3,4.370176832,3.0688865422,-0.3329472154,0.7190664628
hu__delhupA_lag_pH5__1,4.2879614953,2.4507441792,-0.3862871908,-0.7812578047000001
hu__delhupA_lag_pH5__2,4.3425781128,2.2903956919,-0.06642494510000001,-0.7483677639
hu__delhupA_lag_pH5__3,4.5901367658000005,3.432437819,-0.49386436780000004,0.3218538152
hu__delhupAhupB_lag_pH5__1,3.4253325344,2.5892963538,-0.6605110478,-0.5966791353
hu__delhupAhupB_lag_pH5__2,4.1749287305,2.5340896603000003,-0.3673923692,-0.4407331807
hu__delhupAhupB_lag_pH5__3,4.2792536083,4.1020680209,-0.7676825862000001,0.3774787978
hu__hupAE34K_hupB_lag_pH5__1,4.0528557053,2.2580639283,-0.0933094725,-1.3255879176
hu__hupAE34K_hupB_lag_pH5__2,4.1026188243,3.2383920514,-0.1631366542,-0.24185731300000002
hu__hupAE34K_hupB_lag_pH5__3,4.3980923111,3.2401526793,-0.0451018324,0.11625766900000001
hu__hupAE34K_delhupB_lag_pH5__1,4.1035043892,3.2158606937,-0.4131100171,-0.47535173210000004
hu__hupAE34K_delhupB_lag_pH5__2,4.2046454835,1.7420464068000001,0.2753624846,-1.1880879867
hu__hupAE34K_delhupB_lag_pH5__3,4.3249134042,3.2623007904,-0.25973919570000004,-0.1752197811
hyperpersistence__low_GFP__1,-0.4363466359,-1.9123781469,-0.8075690299,0.4676395251
hyperpersistence__wt__1,-0.0234726373,-0.16123725120000001,-0.1260394437,-0.053153011300000004
hyperpersistence__high_GFP__1,-1.1867483803,-1.6121718456,-0.6452855527,1.2343857514
hyperpersistence__pth_mut__1,-0.4600558789,-0.5685088707,-0.2289868508,-0.1495894593
hyperpersistence__pth_mut__2,-0.3104855653,-0.25912100250000003,-0.3178158668,-0.5089120878
hyperpersistence__metG_mut__1,-0.3835980849,-0.2800994915,0.29940883230000004,1.4199993736
hyperpersistence__metG_mut__2,-0.5837427994000001,-0.6183901998,-0.0675881042,0.5994841691
hyperpersistence__high_GFP__2,-1.7436339114,-1.2436012865000001,-0.29179415210000004,1.5992011633
hyperpersistence__wt__2,0.0234726373,0.16123725120000001,0.1260394437,0.053153011300000004
hyperpersistence__low_GFP__2,-1.0602211519,-1.4963874591000002,-0.4180759576,0.5988115294
kan_efg__cpxAF218Y__1,-1.3714695926,-1.2245436454,0.3924865491,0.9872582628000001
kan_efg__cpxAF218Y__2,-1.7176788935,-0.9606170388,0.5132024022,0.6598525103
kan_efg__cyaAN600Y__1,0.3210555462,-0.7669948846,0.5189056668,0.3956232396
kan_efg__cyaAN600Y__2,-0.0648112835,-0.7254792153,1.0827946324,2.1356735461
kan_efg__fusAA608E__1,0.9057929999000001,0.6635698964,-0.1359034029,0.9679150929
kan_efg__fusAA608E__2,0.5488800913,0.2228110641,0.1065615196,1.6673504487000002
kan_efg__fusAA608E_cpxAF218Y__1,0.5324693540000001,0.0975970662,0.42034797690000003,0.9938964670000001
kan_efg__fusAA608E_cpxAF218Y__2,0.6630631277,-0.0669354653,0.4105665429,0.3346491675
kan_efg__fusAA608E_cyaAN600Y__1,0.5428472749000001,-0.0754064616,0.4884913764,0.6132374586
kan_efg__fusAA608E_cyaAN600Y__2,0.5980493726,-0.3039264872,0.6278229536000001,-0.0637951404
kan_efg__fusAA608E_rpoDL261Q__1,-0.3320296688,-0.0140527906,0.6256701398,1.0189166569
kan_efg__fusAA608E_rpoDL261Q__2,-0.11589037190000001,-0.029593216500000002,0.4475905506,0.8276367866000001
kan_efg__fusAA608E_topAS180L__1,0.9328502430000001,0.0018827949,-0.2595527722,1.393964103
kan_efg__fusAA608E_topAS180L__2,0.7733727273000001,-0.2139633225,-0.2522705693,0.5959356884
kan_efg__rpoDL261Q__1,-0.44292315990000003,-0.48351515910000004,0.4100663335,0.10980828890000001
kan_efg__rpoDL261Q__2,-1.083225464,-0.41132336220000004,0.6014059890000001,0.5871314003
kan_efg__wt__1,0.1851050434,0.1857325062,-0.1537288387,-0.3341607763
kan_efg__wt__2,-0.1851050434,-0.1857325062,0.1537288387,0.3341607763
lrp__wt_min_log__1,-0.2232062512,-0.9244888987000001,-0.0731409132,-0.2856115674
lrp__wt_min_log__2,0.2232062512,0.9244888987000001,0.0731409132,0.2856115674
lrp__wt_min_trans__1,0.484498291,1.5830872537,0.7003804585000001,0.39533247520000003
lrp__wt_min_trans__2,1.5001913335000001,1.9043686767999999,1.132498094,0.7950264589
lrp__wt_min_stat__1,0.7218130778,-0.7524227038,1.4686567925,2.9919303971
lrp__wt_min_stat__2,0.7149338294,0.7897614350000001,1.4329516563,3.1537753629
lrp__wt_liv_log__1,-1.0640834332,-0.09814478110000001,-0.1987312054,0.3752297975
lrp__wt_liv_log__2,-0.0322299823,0.9381816159,-0.3566420308,0.1988015182
lrp__wt_liv_trans__1,-0.6030494625,0.7715761939,0.5938085881,-0.7917411545
lrp__wt_liv_trans__2,-1.332923307,1.2558374448,0.4105578325,-0.5541435323
lrp__wt_liv_stat__1,1.1192614418,-1.2857189401,0.7387602197,1.9939031630000001
lrp__wt_liv_stat__2,1.1128785819,-0.1019334598,0.8485224210000001,2.6035218286
lrp__wt_rich_log__1,2.1818551276,1.4265302276,-0.831268177,-0.7960718590000001
lrp__wt_rich_log__2,1.8265063439,1.2158199829,-0.7986274488,-0.8516559152000001
lrp__wt_rich_trans__1,-0.5907766364,0.4950084965,1.3136880203999999,-1.0252602705
lrp__wt_rich_trans__2,-1.4195574346,-0.8539537314000001,1.3854813858,-1.9894036395999999
lrp__wt_rich_stat__1,-1.0330745522,1.1543136925,-0.030399047300000002,0.1812814357
lrp__wt_rich_stat__2,-0.5829482217,0.9209363503,0.2494779456,1.1680409719
lrp__dellrp_min_log__1,-0.6381871118,0.8378277404000001,0.0858533174,0.30539174410000003
lrp__dellrp_min_log__2,-0.4071991137,1.3424696782,0.029795509600000002,0.23406449510000002
lrp__dellrp_min_trans__1,1.6083985591,1.5972154066000002,1.0344777566,-0.9307450806
lrp__dellrp_min_trans__2,1.2770672075,1.0192876747,1.294643823,-1.1529508511
lrp__dellrp_min_stat__1,1.6269799562,0.0241243256,1.0363113896,2.7081850687999998
lrp__dellrp_min_stat__2,1.0683245267,0.1468852493,0.9984310842,2.9709519936
lrp__dellrp_liv_log__1,0.6640559841,1.5960729394,0.5054827981,-0.1570733846
lrp__dellrp_liv_log__2,0.5329833043000001,1.1139236004,0.2728428148,-0.32418712380000003
lrp__dellrp_liv_trans__1,-0.36269969690000003,1.2770859369,1.0546373867,-0.6989960859000001
lrp__dellrp_liv_trans__2,-0.6051517901,1.1370259051,0.9908913326000001,-0.8496584985000001
lrp__dellrp_liv_stat__1,2.0176317444,-0.590064189,1.0879496125,2.019519624
lrp__dellrp_liv_stat__2,2.0006805961,0.0710142671,1.3313064916,2.5764935417
lrp__dellrp_rich_log__1,1.3503729109,1.4192838671,-0.7046464452,-0.6876129223
lrp__dellrp_rich_log__2,1.4193935673,1.1241698673,-0.7458945164,-0.2280946421
lrp__dellrp_rich_trans__1,-1.2037282091,0.12041160050000001,1.3726106791000001,-1.6141682252
lrp__dellrp_rich_trans__2,-0.3017265435,0.5349735171000001,1.3415318901,-1.4042940318000001
lrp__dellrp_rich_stat__1,0.5024844673000001,0.9650812182,-0.6989926983,-0.7971042052
lrp__dellrp_rich_stat__2,1.235896329,1.2283315495,-0.4310927677,-0.4663434132
mazF_circuit__t0__1,-0.5289357397000001,-0.2417348768,-0.0452214253,0.1269732821
mazF_circuit__t2__1,0.7764856790000001,-0.1597948364,-0.3356942469,0.7652518689000001
mazF_circuit__t4__1,2.0566946294,0.9313370925000001,0.6858273609000001,0.4132569231
mazF_circuit__t6__1,1.6887067319,0.4989965961,0.5862926953,-0.06938867430000001
mazF_circuit__t8__1,0.7303363982000001,0.31190213840000003,0.8447808912,0.0207574367
mazF_circuit__t0__2,0.5289357397000001,0.2417348768,0.0452214253,-0.1269732821
mazF_circuit__t2__2,-2.0597934041,-0.1269243256,0.2718898965,0.1131284817
mazF_circuit__t4__2,1.1436561255,0.6100097483,0.1232962362,0.8397059425000001
mazF_circuit__t6__2,2.3370709959,0.47687524210000004,0.5371144545000001,0.1025384463
mazF_circuit__t8__2,2.4133038685,0.9530662366,0.7626665043,1.543939721
mazF_ribo__emptyvec_mrna_5m__1,-0.0545979692,0.24112752780000002,-0.1040547297,0.0598415351
mazF_ribo__emptyvec_mrna_5m__2,0.0545979692,-0.24112752780000002,0.1040547297,-0.0598415351
mazF_ribo__mazF_mrna_5m__1,0.6275244361,1.52018501,1.0955012809,-0.1780939345
mazF_ribo__mazF_mrna_5m__2,0.6382603188,1.8435579903,0.9363375106,-0.0814645266
mazF_ribo__emptyvec_total_5m__1,-0.5411114273000001,1.7134866718000001,-0.4635821017,0.8306235172
mazF_ribo__emptyvec_total_5m__2,-0.7118603375,1.2095686756,-0.4846351781,-0.08312319010000001
mazF_ribo__mazF_total_60m__1,-0.8613544331,2.5319622877,0.3449402465,2.6987707806
mazF_ribo__mazF_total_60m__2,-1.3349395801,2.4026150522,0.2517870325,2.5877690577
mercury__ctrl_t00__1,-0.1972147508,-0.07903899460000001,0.293348096,-0.7112742422
mercury__ctrl_t10__1,-0.3133785658,-0.2582045806,0.0978852835,-0.4690695633
