,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
266,lrp__wt_rich_log,0.4965960506,0.08386560570171518,2.0,811.0,0.4372941121,812.0,0.5558979891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,lrp__wt_rich_trans,-1.1826036209500002,0.09038597882310327,2.0,813.0,-1.2465161595,814.0,-1.1186910824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,lrp__wt_rich_stat,-1.00595461985,0.14512305917616086,2.0,815.0,-0.9033371206,816.0,-1.1085721191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,lrp__dellrp_min_log,0.14336914845,0.14711268668000016,2.0,817.0,0.0393447701,818.0,0.2473935268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,lrp__dellrp_min_trans,-1.6597117947000002,0.0445694090885626,2.0,819.0,-1.6281964633000001,820.0,-1.6912271261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,lrp__dellrp_min_stat,-0.9096977107,0.11458145340374705,2.0,821.0,-0.8286763880000001,822.0,-0.9907190334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,lrp__dellrp_liv_log,0.17657051035000002,0.05379486813316913,2.0,823.0,0.21460922640000002,824.0,0.1385317943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,lrp__dellrp_liv_trans,-0.99090239945,0.33080904804431277,2.0,825.0,-1.2248197206,826.0,-0.7569850783000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,lrp__dellrp_liv_stat,-0.86111214315,0.1882409200299893,2.0,827.0,-0.9942185742,828.0,-0.7280057121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,lrp__dellrp_rich_log,0.6200589875,0.03389595905130599,2.0,829.0,0.64402705,830.0,0.596090925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
