,A,AcrR,OmpR,FliZ,ihfB,HdfR,rcsB,Crp,LrhA,QseB,Fur,YjjQ,hns
biocide__ctrl_30m__1,-0.2643471099,0.3194422637,0.1607898092,0.0365638343,0.21691756980000002,0.3547455124,0.0730122248,0.2016413779,0.1204211409,-0.2598137316,0.11793971110000001,0.1737651467,0.1921413179
biocide__ctrl_30m__2,0.0578288391,-0.2842569501,-0.2565999975,-0.0080851216,-0.2148037003,-0.29665201900000004,-0.1784614709,-0.2203103585,-0.22536299070000002,0.021436955400000002,-0.17206519210000001,-0.3436035058,0.025826626000000002
biocide__ctrl_30m__3,0.20651827080000001,-0.035185313600000004,0.09581018820000001,-0.028478712700000002,-0.0021138695,-0.0580934934,0.1054492461,0.0186689805,0.1049418497,0.2383767762,0.054125481,0.1698383591,-0.21796794390000002
clpP__wt__1,0.0248204893,-0.0713092855,-0.1659770711,-0.0418221307,-0.0015720619000000001,0.1428931711,-0.0464211016,-0.0666339028,0.0845617637,-0.07884882580000001,-0.0486247704,0.0131532395,0.0162499327
clpP__wt_DPTA__1,-8.6703930531,-0.6685382204,1.5127000238,1.1909859854,0.3465855611,2.2259106737,0.6912858433,0.503766096,1.0407522048,0.864612861,0.0863759311,-0.2429865461,0.8758168691
clpP__wt__2,-0.2868383739,0.08147695740000001,-0.0560198353,-0.0261456504,-0.39464521020000004,-0.424994998,-0.0925361227,-0.1321270107,-0.2848320104,-0.0806704011,0.06502803530000001,0.262598115,-0.4250061573
clpP__wt_DPTA__2,-9.54524486,-1.4204540038,1.4120347256999999,1.2282025723,-0.2148670462,1.8339236027,0.6674875767,0.4881845549,1.1944978822,1.1565099331,-0.3930604082,1.4097316419,0.8181061079
clpP__wt__3,0.26201788460000003,-0.0101676719,0.2219969065,0.0679677811,0.3962172721,0.2821018269,0.1389572244,0.1987609135,0.2002702466,0.1595192269,-0.0164032649,-0.2757513545,0.4087562246
clpP__wt_DPTA__3,-9.7724780129,-2.6294508771,1.3475681321000001,1.0277206256,0.2317067461,1.8912910374,0.8058832926,0.5070739993,1.3520386679,-0.6046747699,-0.1930249903,1.8085486389,0.9379609579
clpP__delclpP__1,-1.7432098983,-0.2800290111,-0.06901106700000001,1.3862212705,-0.2767926549,0.10016884890000001,-0.5616877893000001,-0.8734644257,-0.1698061676,-1.9876033076000001,-0.21200383960000002,-0.6575870726,-0.0973215234
clpP__delclpP_DPTA__1,-9.2464119135,-1.463706416,1.7828912258,1.739718415,-0.4209052057,1.5484673212,0.5918658449,0.0105121308,0.5534393098,0.1427633921,-0.5035215756,-0.8630533519,0.9247761808
clpP__delclpP__2,-1.3678784951,0.11066076700000001,0.060076081100000005,1.4430357993,-0.1584630387,-0.1781084239,-0.272959587,-0.3758395962,-0.1138135329,-1.3659455275,-0.2831256741,-0.34544350700000004,0.21773937170000002
clpP__delclpP_DPTA__2,-8.3706985316,-2.60885545,1.5938029673,1.7777824586,-0.6458514533,1.4609333111,0.4511516486,-0.080117849,0.6210085973,-0.6350476904,-0.40118780330000003,-0.8630533519,0.8753622433
clpP__delclpP__3,-1.5826547168,-0.4198261736,0.19155300150000001,1.4149171411,-0.0375685068,0.1843962409,-0.2164469082,-0.5751663553,-0.0671401338,-0.9172774303000001,-0.28666178810000004,-0.8630533519,0.19101327240000002
clpP__delclpP_DPTA__3,-7.0882620104,-2.7265436203,1.4574959828,1.5286442303,-0.2555400746,2.0186448842,0.4148609066,-0.1688967908,0.8259519668,0.5379442324,-0.3067578717,-0.8630533519,0.7903936147
colombos2__delydcR__1,-0.3664128146,0.0319962546,0.3306737395,-0.2392336535,0.036128813,-0.0488944562,-0.10052151940000001,-0.0693545751,-0.7021698476,0.9471621372000001,-0.30128122220000003,-0.0678561745,-0.0271986305
colombos2__delydcR__2,0.6679836256,-0.2274178241,0.6008238807,-0.8615418152000001,-0.1014112152,0.08712619390000001,-0.20018029240000002,-0.33321683020000004,-0.621174416,0.3817625797,-0.47141993120000003,0.6378439678000001,-0.0341198708
colombos2__delydcR__3,0.8091780409,-0.3136081812,0.8006066566000001,-0.7079282474,-0.33370757,0.12964014170000002,-0.12189639990000001,-0.0393089613,-0.5970876806000001,0.8487998225000001,-0.3329440299,-0.1662663765,-0.1303382865
colombos2__delyjiR__1,1.1517517800000001,0.031337830000000004,-0.2821649455,-0.7205177008,0.6122663315,1.0569364278,-0.3490959517,-0.099687806,-0.0392833578,0.8944513504,-0.0386088765,-0.2528284203,-0.1890338976
colombos2__delyjiR__2,1.9381104904000002,0.0718480958,0.176504401,0.0790074243,-0.18541421200000002,0.44623429270000003,0.0282985735,0.25691065290000004,-0.0118800593,0.7054261566000001,-0.037388450600000005,0.1604816362,0.20257457780000002
colombos2__delyjiR__3,1.0278013737,0.0841567908,0.5054346516,-0.06337522200000001,-0.1877390568,0.5908142509000001,0.006550307500000001,0.162327729,-0.0236274237,0.40281231710000004,0.0415518493,0.33674651580000003,0.09874946180000001
colombos2__wt__1,0.1980105198,0.3317172715,-0.3935219418,0.2762282783,0.4030636574,0.0101515044,0.1634821472,0.2204930321,0.3710498902,0.008771270900000001,0.4150982022,0.2134025084,0.21563450350000002
colombos2__wt__2,-0.2216759032,-0.12150420490000001,-0.0636794073,0.1735397826,0.0131742564,-0.1752210949,-0.2058856,-0.4360373755,-0.2153040572,-0.4452660124,-0.29530520400000004,-0.4701113384,-0.24131350070000002
colombos2__wt__3,0.0236653834,-0.21021306650000002,0.45720134910000004,-0.44976806090000004,-0.4162379138,0.1650695905,0.042403452800000005,0.2155443434,-0.155745833,0.4364947415,-0.1197929981,0.25670883,0.0256789972
crp_k100__ar1_ar2__1,-1.9114479239,-0.7312329818000001,-1.6281675865,-3.8548606531000003,0.9058984181,-0.7380473225,0.06765697920000001,-1.2995977401,-2.1492496535,-0.6608793297000001,-0.3056682926,-0.27940742490000003,-1.3397461374000001
crp_k100__ar1_ar2__2,-1.831321878,-1.9840234971,-2.1981084228,-0.8983700760000001,0.3372727179,-1.2498284189,-0.093940641,-1.3858488461,-1.8172221290000001,0.040243737700000004,-0.8601750464,-0.27940742490000003,-1.2801465744
crp_k100__ar1_ar2__3,-0.6558574606,-0.22199864930000002,-1.4153376001,-2.0554473916,0.2070695586,-0.724583996,0.1295649401,-1.1551255076,-1.1617555697,0.7532521921,-0.1221941395,-0.27940742490000003,-0.270459756
crp_k100__wt__1,1.5393710958,0.40304060900000005,-0.0496381849,-0.22281667430000002,-0.008781891600000001,-0.3151319939,0.09205365680000001,-0.0264047357,0.1942414583,-0.0699432311,-0.1301458119,0.5588148499,0.149710501
crp_k100__wt__2,-0.9283659167,-0.3354466156,0.2378787104,-0.0613969278,0.1159388298,0.1128477205,0.0223873734,0.1464903964,-0.0332377778,-0.025319703000000002,0.056128073800000004,-0.27940742490000003,-0.1349266602
crp_k100__wt__3,-0.6110051790000001,-0.0675939933,-0.1882405255,0.2842136021,-0.1071569381,0.20228427340000002,-0.1144410302,-0.1200856607,-0.1610036805,0.0952629341,0.07401773810000001,-0.27940742490000003,-0.0147838408
crp_k100__K100Q__1,0.4245719914,-0.2505116354,-0.1971447473,0.6157198488,-0.0083563761,-1.0098186329,0.036292872500000004,-0.2522707463,-0.8525634743,-0.4875189438,-0.8608175296,-0.27940742490000003,-0.3675266184
crp_k100__K100Q__2,-0.2178903291,0.6691097534,0.1590167257,0.030097283000000002,-0.1669905288,-0.052496429600000005,0.0145749043,-0.2711134562,-0.4750956002,-0.0608077959,-0.3904483173,1.1776224963,0.6267349808
crp_k100__K100R__1,1.130048419,0.4178416507,0.1178657305,0.7571859134000001,0.20314510130000002,-0.4281484681,-0.1140422876,-0.0595239595,0.2476863045,-0.26928321580000003,0.23874563000000001,1.9579403547,0.1879683133
crp_k100__K100R__2,3.9633905013,0.1257234358,-0.19488637590000002,0.3171756408,0.47657710410000004,-1.3062638034,-0.2360977356,0.5050291552,0.0036147541,0.0495939639,-0.7989603254000001,1.5642278005999999,-0.27134201010000003
crp_k100__K100R__3,0.4881220657,0.5818875675,0.0343672074,-0.3269944038,0.2700813805,-0.3447851959,-0.19879941880000002,0.0660056332,0.1895535773,-0.2846673684,0.1526927294,0.4582502975,0.034448039
csrA__wt_t00__1,0.1403293952,-0.08910144610000001,-0.0040144303,0.0066324504,-0.0993100443,-0.4815645083,-0.0418084013,-0.13018558560000001,-0.1705284617,-0.365990109,-0.1408672877,0.0857360265,-0.0930819828
csrA__wt_t02_30__1,-5.8731996872,-3.3322020689,-0.0647366623,-3.332547906,0.0998917893,-0.6175905632,-0.4572830707,-1.1339696385,-0.8266536104000001,-1.1095425356,-1.1689133452,-0.5332628012,-0.1729505029
csrA__wt_t05__1,-8.5357716991,-4.5997015363,-0.225995197,-3.5812793,0.3514798276,-1.0500269821,-0.8851335521,-2.4550083112,-2.5020004361,-2.1282772733,-2.9631861775,-0.5332628012,-0.2365393695
csrA__wt_t10__1,-10.3107614206,-4.0033298807,-0.1431110764,-3.2573713824,1.0705500595,-1.9903732215,-1.8325992924,-4.1870252178,-3.3247193487,-1.6658512782,-3.5297433569,-0.2052258646,-1.3530617542
csrA__wt_t15__1,-8.3449933235,-2.5601294252,-0.43084982920000003,-2.644038304,1.4234215681,-1.2629375717,-2.6889610730999998,-3.2111292318,-2.2789438521,-0.9676289509,-2.5668577838,0.3960014575,-2.7368687368
csrA__delcsrA_t00__1,-0.8001620958000001,0.177874163,0.5103193686,-0.6958446610000001,0.1706238948,0.026261490300000002,0.0107476776,0.3613869819,1.1406214715,1.2408205081,0.0678783641,0.5899030798,0.0272063906
csrA__delcsrA_t02_30__1,-7.0842122716,-3.8233329538,-0.32062733120000003,-4.0888263517,0.4918520685,-1.4581171065,-0.6231872747,-0.6674396287000001,0.25558406840000003,-0.2530538735,-1.8762897558,-0.0534971115,-0.0696458992
csrA__delcsrA_t05__1,-8.2332240739,-3.7697263171,-1.1465330319,-5.1946911224,0.8975972293000001,-1.6346203953,-1.2325476719,-2.2221447579,-1.0365072627,-1.8122881058,-3.7489709361,0.5075730485000001,-0.7551533678
csrA__delcsrA_t10__1,-8.9569643048,-3.529106011,-0.7761936833,-4.5002418428,1.0836947918,-1.7513585388,-1.3878191989,-3.4198734015,-2.6496142524,-1.1956212333,-3.3741618451,0.5884942053000001,-2.3526153391999998
csrA__delcsrA_t15__1,-8.4477153974,-3.8369815323000003,-0.7993963864,-3.9446515065,1.6690505328,-0.7526352071,-1.5687828361,-3.2339359789,-1.6049411423,-0.4783712989,-2.7276941132,1.75196405,-2.5899896913
csrA__wt_t00__2,-0.1403293952,0.08910144610000001,0.0040144303,-0.0066324504,0.0993100443,0.4815645083,0.0418084013,0.13018558560000001,0.1705284617,0.365990109,0.1408672877,-0.0857360265,0.0930819828
csrA__wt_t02_30__2,-6.8343521141,-2.6281968923,0.057800987500000005,-3.1274036034,0.252113582,-0.09466494930000001,-0.23564201110000002,-1.2511893155,-0.7070272118,-0.6493073244,-1.3181453672,-0.1437575743,-0.3180016841
csrA__wt_t05__2,-8.8762657855,-3.5035569287,-0.2577831711,-3.1468971627,0.5647996376000001,-0.558183156,-0.6656779169,-2.3292575708,-2.4749593093,-1.611679079,-3.2146543061,-0.5332628012,-0.3747322127
csrA__wt_t10__2,-9.3748330518,-3.5476872924,0.0380341614,-3.2620636037,1.3226622664,-1.5487021458,-1.737964274,-4.1135135934000004,-2.6945331478,-1.3669226841,-3.4136311076,-0.2342411228,-1.4789604596
csrA__wt_t15__2,-8.0864311084,-1.7725630616,-0.054523487200000005,-2.6212305193,1.6822680893,-0.9752379671,-2.6443819082999998,-3.434645459,-2.0052781871,-0.9521747865,-2.6486914409,0.012181188400000001,-2.8640250365
csrA__delcsrA_t00__2,-0.8812118968,-0.050849756600000004,0.259982155,-1.0766068281,0.0748492973,-0.5017715428,-0.120394627,0.1876233269,0.7834415955,0.9925092062,0.0521193676,0.8512898802000001,0.0069709936
csrA__delcsrA_t02_30__2,-7.6268496818,-4.1804375729,-0.7617998364,-4.5119706465,0.3824540121,-1.7914789673,-0.940228732,-1.1638283926,-0.3143252931,-0.5663396407,-2.2745786592,-0.0655895013,-0.41992040610000003
csrA__delcsrA_t05__2,-7.4086908342,-4.3026378807,-0.9012694486,-5.4416060966,0.6218532665000001,-2.0459021121,-1.2310509965,-2.0312934097,-1.3338968772,-1.8097425633,-3.4177434893,0.5108488639000001,-0.6693104037000001
csrA__delcsrA_t10__2,-7.8416895171,-3.8974756275,-0.8680640455,-4.5240099325,1.5451177489,-1.4138137516,-1.4390969269,-3.5341055024,-2.0979917101,-1.3925857778,-3.2793318816,0.8236163433,-1.9892137468
csrA__delcsrA_t15__2,-6.6896413735,-1.2659922093,-1.0152088743,-3.4223748942,1.6794614229,-0.8844478288000001,-1.6248618831,-3.0369515843,-1.8400258704999999,0.2643356009,-2.2444235523,1.7625490154999999,-2.5617996198
cstr_pfr__str_0005m__1,0.7741070667000001,-0.122516046,0.0736643947,0.3619076808,-0.19552296660000001,-0.1873201129,0.027614888,0.1036371583,0.09356968660000001,-0.22209244800000003,0.1468104123,-0.3650507794,0.0543202478
cstr_pfr__str_0010m__1,0.5137139419,-0.1459309147,-0.1277690944,0.6712123264000001,-0.33676205870000003,-0.32341156930000003,-0.2666124889,-0.2296760947,0.007420768,-0.3556003715,0.030636091100000002,-0.4495283859,-0.0272765165
cstr_pfr__str_0025m__1,-0.1186767655,0.0409421803,-0.2403424425,1.8899564856,-0.4678555526,0.1505212722,-0.0617429621,0.0383571309,0.1879072862,-0.2260675409,0.2165533086,-0.26399178630000003,0.2239011776
cstr_pfr__str_0045m__1,-0.007164351,-0.0990384945,-0.09902576710000001,2.3564685795,-0.4951556387,0.1558761773,-0.0611201743,0.0360981407,-0.0410414443,-0.2507051437,0.1687751177,-0.5046909025,0.1813346623
cstr_pfr__str_0075m__1,-0.1184119678,-0.0650843883,-0.1628054813,2.7300441991,-0.42116024230000004,0.0151461728,0.0011701717,0.0112518975,-0.0362253481,-0.37449458280000003,0.1222283651,0.07202045700000001,0.1292188012
cstr_pfr__str_0120m__1,0.30251459210000003,-0.1117675055,-0.08873977300000001,2.7694172875,-0.3693426452,0.1352819136,-0.0009090097,0.0065400067,0.055821784900000004,-0.2721836841,-0.0269889912,-0.7039918767000001,0.1019474477
cstr_pfr__str_0210m__1,0.2409974867,0.0308702515,-0.09576064270000001,2.6550363758,-0.3916075934,0.0571503837,-0.033764039,0.0613117897,0.1402046971,-0.35808617130000003,0.17495970360000002,-0.4505509802,0.037013244300000005
cstr_pfr__str_0330m__1,-0.4098672534,0.0576506392,-0.1258161126,2.3718101502,-0.3751414215,0.043178738800000005,0.0168676187,0.0752505852,0.039144007,0.17914620450000002,0.0993374357,1.1135657976,-0.0494918996
cstr_pfr__str_1500m__1,-0.7030859878,0.07141039490000001,-0.1269196776,1.8994037378000002,-0.3437698719,0.13603897510000001,-0.014444963500000001,0.0646232551,0.35970881400000004,0.4624501438,0.1582959447,0.9274515714,-0.013583082500000001
cstr_pfr__str_1560m__1,-0.1613584533,0.07855230340000001,-0.150598121,1.8721904136,-0.3634793157,-0.0415881113,-0.0111687651,0.0745769649,0.5409872861,-0.1366388674,0.1678443773,-0.0050690777,0.026219721300000002
cstr_pfr__str_1680m__1,0.0809946577,-0.0301863928,-0.0731227019,2.1871920767,-0.3447350557,0.0027520351,-0.10829605460000001,0.0132959954,0.33995000540000003,-0.1801637492,0.0527811919,-0.6525150150000001,-0.0315348149
cstr_pfr__str_ref1__1,-0.0465290757,-0.0061278747,0.08244207960000001,0.0311120575,-0.013629433100000001,-0.0097850738,0.0156181005,0.0309166155,0.0210213866,-0.10962046160000001,0.018146145500000002,-0.1408161818,0.0241557404
cstr_pfr__str_ref2__1,-0.26149077530000003,0.08089754340000001,0.0078748892,0.31137537400000004,0.0438769886,0.048241634000000005,-0.0133350968,0.050854043200000004,0.0292436778,0.11921403920000001,0.00389881,-0.36260598,0.0961707562
cstr_pfr__str_ref3__1,-0.38582932480000004,-0.048138674000000006,-0.008083511100000001,0.1049921028,-0.0778520007,0.0631952133,0.0723862329,0.0781229599,0.0385348841,0.27432871870000003,0.021110902100000002,-0.6065663869,0.0584129112
cstr_pfr__pfr_P5_0005m__1,-1.3828370761,-0.3392554047,0.4302495083,0.044807685300000004,0.0540694228,0.3119361247,-0.1885802707,0.269221989,0.0094755155,0.2115857019,-0.0329334666,-0.21545589750000002,0.2910849391
cstr_pfr__pfr_P5_0010m__1,-0.8153391302,-0.7342982313,0.1892646688,0.4396048366,-0.3380115139,-0.0240542342,-0.3732718803,0.0489485095,-0.2893039429,-0.0900066457,-0.2486604023,-0.35101838090000004,0.13582894580000002
cstr_pfr__pfr_P5_0025m__1,-1.6605097654,-0.2099920892,0.22551730220000002,1.665229703,-0.4061420535,0.5397702391,-0.2473423922,0.2725286431,0.1046201503,0.2003531284,-0.11457500350000001,-0.7224095181,0.4278386534
cstr_pfr__pfr_P3_0025m__1,-0.7618380863,-0.2562116666,-0.0198515712,1.6501139412999999,-0.36089320010000003,0.323948141,-0.2103002857,0.079938994,0.0492841493,0.0644929939,-0.0458174613,-0.5715594242,0.3048038758
cstr_pfr__pfr_P1_0025m__1,-0.0918503368,0.1353949778,-0.0966550654,1.706276237,-0.3537627923,0.1882569972,-0.1281135801,-0.0319597258,0.059680533,-0.1589654003,0.09232908270000001,-0.4483491422,0.1980476545
cstr_pfr__pfr_P5_0045m__1,-1.5502949867,-0.2281356407,0.1061392156,2.1326776409,-0.34136905160000003,0.62793798,-0.2450126537,0.2169729199,-0.1361708651,0.30335558890000003,-0.17086565550000002,0.13624029440000002,0.29466149820000004
cstr_pfr__pfr_P5_0120m__1,-1.4798374598000001,-0.3332707936,0.1755350446,2.6006662211,-0.2991285242,0.3491843241,-0.1994184155,0.3349589161,0.0359448828,0.052279547600000004,-0.1208336022,0.2205167567,0.2168045996
cstr_pfr__pfr_P3_0120m__1,-0.2225871516,-0.4242028248,-0.1409255389,3.0184881367,-0.518906887,0.1286104729,-0.0946788031,0.1103821889,-0.1703894057,-0.4717580892,0.06861392670000001,-0.4659858669,0.1299585195
cstr_pfr__pfr_P1_0120m__1,0.052445701000000004,-0.3013559621,0.0275382037,2.5455667952,-0.0308626203,-0.06246093900000001,0.1462527137,0.3563764866,-0.1811525859,-0.5420280294,-0.0178754799,-0.5091025985000001,0.3643115214
cstr_pfr__pfr_P5_0210m__1,-1.7990514136,-0.28362932490000003,0.1521049572,2.5582149998,-0.3128391911,0.31624629190000003,-0.2049419451,0.3086663712,0.3383779066,0.3545531984,-0.019448353,1.1103628083000001,0.19918211460000002
cstr_pfr__pfr_P5_1500m__1,-0.7434941333,-0.3811924793,0.1097037356,2.2955389535,-0.6247095729000001,0.2963700648,-0.1899609817,0.48358926430000004,0.4589281056,-0.1738876365,0.24549681710000001,-0.2029006499,0.2555580606
cstr_pfr__pfr_P3_1680m__1,0.0067811375,-0.385673666,-0.0064812671,1.7895639932,-0.39696131430000003,0.15104927370000001,0.0130502441,0.3481544716,0.0753176045,0.2527129931,0.36888590790000003,-0.104630835,0.14864720080000002
cstr_pfr__pfr_P5_1680m__1,-0.9151646929,-0.4047218014,0.1756314787,1.6714425198,-0.5874492021000001,0.3581976034,-0.147315053,0.48077671120000004,0.3506978423,0.15702653290000002,0.13851083520000002,-0.221512599,0.23601071810000002
cstr_pfr__pfr_P1_1680m__1,0.0543272068,-0.0698571836,-0.14365502400000002,1.8831795929,-0.4934994717,0.138291921,0.029989893700000003,0.2107291755,0.28694798250000003,-0.0206064367,0.2624664266,-0.3079641105,0.026376848600000002
cstr_pfr__str_0005m__2,0.4365816195,-0.1544084979,-0.19930087970000002,1.2262814749,-0.29955184300000004,-0.15745780040000001,-0.1631570722,-0.0935369191,0.044310826000000005,-0.09616417940000001,0.079099133,-0.0887828121,-0.0177461109
cstr_pfr__str_0010m__2,0.6746274382,-0.1666147177,-0.23277759110000001,1.4253422241,-0.3493445589,-0.2639165751,-0.2272851193,-0.24873146470000002,-0.1082727935,-0.6312184214000001,0.023143631,-0.0258191503,-0.0358489352
cstr_pfr__str_0025m__2,0.1153857919,-0.12797848950000001,-0.3025151661,2.3510457822,-0.4939354536,-0.020942195400000002,-0.1479038252,-0.2016487162,-0.1640063294,-0.4162692853,0.164960736,-0.4858290705,0.1677987397
cstr_pfr__str_0045m__2,-0.0918068241,-0.028913634400000002,-0.3161117281,2.7138455233,-0.4346685737,0.26157467900000003,-0.0278163552,-0.14117476780000002,-0.1757353636,-0.7287449089,0.116726939,0.34286555760000004,0.2223222725
cstr_pfr__str_0075m__2,-0.11871449710000001,-0.0062065267,-0.2152829856,2.8543396608,-0.49898345190000004,0.1023450798,-0.0901645618,-0.126103141,0.0036784860000000003,-0.3084143136,0.1187253585,-0.07647586420000001,0.12640954840000002
cstr_pfr__str_0120m__2,0.1803803512,-0.11354529320000001,-0.3635881066,2.9825104427999998,-0.4394335224,0.0205521192,-0.106598231,-0.1334760396,-0.2628911036,-0.5359965702,0.137283824,-0.5477960772,0.1018391082
cstr_pfr__str_0210m__2,0.33361067980000003,-0.0140776896,-0.23611703420000002,2.9513320538,-0.3779241423,-0.015264149500000001,-0.0307205176,-0.0672349899,-0.182263017,-0.5455910806000001,0.159658195,-0.3279134897,-0.0320416944
cstr_pfr__str_0330m__2,0.3878100337,-0.1966850359,-0.3154388899,2.7966428457,-0.43067581120000004,0.015481263700000001,-0.0059343354,0.0576004129,0.1582248142,-0.8375159051000001,0.1877111361,-0.2728007549,0.0326113629
cstr_pfr__str_1500m__2,0.0074712942,-0.0364177217,-0.2618569391,2.7391868598,-0.4469418351,0.076313405,0.1704850595,0.2009926933,0.3645371298,-0.4466514674,0.41677936600000004,-0.35211079040000004,0.0948728498
cstr_pfr__str_1560m__2,0.3908587528,-0.099230967,-0.2539721716,2.5696410085,-0.5305284609,0.24848270390000002,0.0146690485,0.1707298308,0.4695853773,-0.48531627850000003,0.22187878290000002,0.2521802088,0.022979296700000002
cstr_pfr__str_1680m__2,0.0446733724,-0.0638855591,-0.1136853379,2.1994893581,-0.3726353283,0.0952276915,-0.08748353760000001,0.0692396961,0.0870357172,-0.252776561,0.16941765820000002,0.22361058790000002,-0.0339192791
cstr_pfr__str_ref1__2,0.0465290757,0.0061278747,-0.08244207960000001,-0.0311120575,0.013629433100000001,0.0097850738,-0.0156181005,-0.0309166155,-0.0210213866,0.10962046160000001,-0.018146145500000002,0.1408161818,-0.0241557404
cstr_pfr__str_ref2__2,-0.33339661530000003,-0.2613902924,0.000575767,1.366095038,-0.1410483777,-0.056826279900000005,0.0029517695,-0.0359995768,-0.0383281635,0.1983783986,0.0256086016,-0.4388461601,0.0171324229
cstr_pfr__str_ref3__2,-0.3155417263,-0.1901140219,-0.22249108110000002,1.0651846236,-0.2992241516,-0.044318306200000004,0.019815256700000002,0.058544858000000005,-0.0709896066,0.0628194847,0.0545085134,-0.7310699983000001,-0.0055406804
cstr_pfr__pfr_P5_0005m__2,-1.4749958458,-0.4403601411,0.2796882962,0.8497629435,-0.1919072104,0.1660269596,-0.42154764720000004,-0.048752147,-0.3398697267,0.0581646902,-0.2637159273,0.5381572396000001,0.0720917835
cstr_pfr__pfr_P5_0010m__2,-1.0368319873,-0.26081585620000003,0.1189550935,1.4237097457,-0.2106737712,0.17692465170000002,-0.2562921724,0.0814724538,-0.4612191245,-0.21930033340000002,-0.3128043541,-0.1754674064,0.2149673657
cstr_pfr__pfr_P5_0025m__2,-1.4644193672,-0.3167619385,-0.04643751,2.2538714267,-0.4396286763,0.44543407630000004,-0.2061033585,0.14086945920000002,-0.20630928210000002,-0.1539446348,-0.0960139128,-0.3094970275,0.4426653135
cstr_pfr__pfr_P3_0025m__2,-0.121645415,-0.3056410861,-0.34437283560000004,2.2561945569,-0.43113698440000003,0.23956332860000001,-0.2708084076,-0.0582763844,-0.0624260367,-0.6446744216,-0.030184756700000002,-0.6025361370000001,0.2630859134
cstr_pfr__pfr_P1_0025m__2,0.0198843186,-0.23467173900000002,-0.4855393854,2.3247811087,-0.5285459621,0.0215685593,-0.1605380522,-0.2331385879,-0.3353936062,-0.6292979651,-0.0086357016,-0.0213079044,0.1104836886
cstr_pfr__pfr_P5_0045m__2,-1.9051514108,-0.3418481637,-0.3612719559,2.3915163615,-0.7789340456,0.6569102071,-0.2926748775,0.0354719414,0.19763316290000002,-0.3845981659,-0.0662582299,-1.1398497763,0.42213215130000004
cstr_pfr__pfr_P5_0120m__2,-1.1513079177,-0.42231262220000004,-0.02870903,3.0165228392,-0.47990665450000003,0.5019542132,-0.18282118460000002,0.305318221,-0.15700163520000002,-0.5060538680000001,-0.077451278,-0.6187249979,0.2899702461
cstr_pfr__pfr_P3_0120m__2,-0.3100128441,-0.29351308330000003,-0.22309020270000002,3.0417841261,-0.40638696950000003,0.2787331648,-0.1152950065,0.0945138693,-0.015699502100000002,-0.5424420233,-0.0488578203,-1.1398497763,0.16222202460000001
cstr_pfr__pfr_P1_0120m__2,0.3247643268,-0.29052059420000004,-0.1632647246,2.9616137476,-0.4920680422,-0.1856668311,-0.0191813866,-0.0124149267,-0.0741271033,-0.4845050683,0.0932557873,-0.1861751962,0.1260205742
cstr_pfr__pfr_P5_0210m__2,-1.4793825228,-0.3592723883,-0.0709609191,2.8510173329,-0.2794220631,0.17751581430000002,-0.0174020122,0.3356911857,-0.15640112280000001,-0.31550337700000003,0.3717047229,-0.9828388606,0.2901858285
cstr_pfr__pfr_P5_1500m__2,-0.8619451313000001,-0.4786878479,0.1069659238,2.1725548461,-0.6138260592,0.26775048230000004,-0.2215475014,0.41076687230000003,0.1555298614,0.0275092532,0.09190021520000001,-0.1908581748,0.1874508744
cstr_pfr__pfr_P3_1680m__2,-0.9047670255,-0.5639554279,0.14867505420000002,1.8199002801000002,-0.5289399786,0.15968530720000002,-0.2389046128,0.3983587121,0.0503568464,-0.08161994880000001,0.000697295,-1.1398497763,0.1681070569
cstr_pfr__pfr_P5_1680m__2,-0.1385490831,-0.3544482491,0.0658143815,1.9558035733999999,-0.45414213950000004,0.0881760541,-0.1200938341,0.2226821065,0.07258226400000001,-0.1922014763,0.17676420680000002,-0.3705254501,0.1034334877
cstr_pfr__pfr_P1_1680m__2,-0.0800962498,-0.1371053187,-0.0053683612,2.063310708,-0.48781659310000003,-0.0407908876,-0.0869672564,0.03072544,0.032608732700000004,-0.4681872474,0.1282323599,0.1203961176,-0.0618767899
darobactin__daro_30m__1,2.2543221835000002,0.7463979890000001,1.2890097294,-1.2130424763,0.172211879,0.6181968268,0.256747916,0.9297661229,1.4107570651,1.9362195986000001,0.07258940650000001,0.3406838755,0.6336541954
darobactin__daro_30m__2,1.9188523147,0.9613351543,1.1795235344,-1.3530274167,0.2852446293,0.8078583713,0.4588333721,0.5458194559,0.6045828378,0.7889576135,0.4103080046,-0.1563998963,0.7196844181000001
darobactin__solv_1h__1,2.5175383927,0.9090427270000001,1.1021832683,-0.7882906685000001,-0.034085819600000004,1.2706026308,0.3011570404,0.8896791535,1.385326177,0.5517070762,-0.17874328250000002,2.1834150714,0.8762838597
darobactin__solv_1h__2,3.8411204027,0.8930656726,0.8324413069000001,-0.1931140751,0.0714393256,0.8877673604,0.1554625755,0.7544298497,1.3645986779000001,0.6488587238,-0.1385735763,0.8213447949,0.8828125040000001
darobactin__daro_1h__1,2.4906732646,1.4252085936,1.9416675769,-0.7909878972000001,0.7262429691000001,1.7526201060000002,1.1126028673,0.9083268103000001,1.5850601624,1.6711569922,-0.1226744044,1.4780994955,1.7152896974
darobactin__solv_1h__3,3.9081805102000002,-0.35979078810000004,1.3341707264,-1.3674056358,-0.54570419,0.9453827610000001,0.4078794251,0.8378540299,1.1335323168,1.7729478613,-0.6662322459000001,-0.1563998963,0.3603172532
