,A,RhaR,RhaS,ExuR,YdfH
misc2__salc_glc__2,-0.0177039732,-0.784109095,-0.16740422300000002,1.303993302,0.19430217200000002
misc2__dbcn_glc__1,0.4664797975,-0.7124738340000001,-1.375980577,-0.113346317,-0.380652953
misc2__dbcn_glc__2,0.6078330729,-0.48975256200000006,-0.7321410220000001,-0.156657865,-0.516785237
misc2__tyr_glc__1,-0.4108522089,0.449098649,-0.06522974000000001,0.036855076,-0.651267985
misc2__tyr_glc__2,-0.6428066922,0.45992694,-0.08254758,0.14780062600000002,-0.5922403620000001
misc2__arg_cytd__1,-0.34916313120000003,-0.222150117,-0.505021504,-0.347194078,-0.36622337400000005
misc2__arg_cytd__2,-0.3285579978,0.12048876800000001,-0.21784386600000002,-0.206740527,-0.43528834200000005
misc2__delyheO_pyr__1,0.9925473684,1.054444456,0.39489951100000004,-0.400346091,-0.510026494
misc2__delyheO_pyr__2,0.339503555,1.075136083,0.507025841,-0.36252350800000005,-0.47647292
nquinone__delubiC__1,-1.5293272626,-0.367457855,-0.63892258,-0.5417355890000001,-0.569849402
nquinone__delubiC__2,-1.2088351913,-0.215676053,-0.34836906500000003,-0.35923311300000005,-0.5588128210000001
nquinone__ubiC_ale1__1,-1.7285501064000002,0.224940459,-0.27163836,-0.342105327,-0.35035944700000005
nquinone__ubiC_ale1__2,-1.9924488213,-0.084845084,-0.042965457000000006,-0.41357964,-0.43857641
nquinone__ubiC_ale2__1,-1.8556466863,-0.533440463,-0.23464737100000002,-0.552966988,-0.563724427
nquinone__ubiC_ale2__2,-2.2272363053,-0.007291596000000001,-0.577097328,-0.425420173,-0.6870377830000001
nquinone__ubiC_ale3__1,-0.41647837940000004,0.24410779400000002,-0.549921725,-0.528953527,-0.884205491
nquinone__ubiC_ale3__2,-0.7752083992000001,-0.438965517,-0.803701984,-0.47883845100000005,-0.745752584
nquinone__ubiC_ale4__1,-1.8422830425,0.23074966700000002,-0.33166691200000004,-0.359365392,-0.668694554
nquinone__ubiC_ale4__2,-2.3720641752000002,0.150490374,-0.015278945,-0.38992642200000005,-0.567880134
nquinone__delpdhR__1,-0.3603877487,0.068130496,-0.57481742,-0.20920618100000002,-0.40570920400000005
nquinone__delpdhR__2,0.08568184990000001,0.258040822,-0.509266473,-0.121426265,-0.36699690900000004
quinone__glu_ale4__1,-0.7191965991,-0.343485086,-0.187497661,-0.48706977900000004,-0.799793784
quinone__glu_ale4__2,0.5927716432,0.567782577,0.27989326600000003,0.18343335400000002,-1.081150545
quinone__delmenF__1,-1.6239497487999999,-0.132979127,-0.376845502,-0.171493855,-0.32926045200000004
quinone__delmenF__2,-0.9834721459,0.734097074,-0.597533816,-0.10505030700000001,-0.49782408300000003
quinone__menF_ale5__1,1.0891624532,0.532354593,0.35805870700000003,0.9024895390000001,-0.23216908600000002
quinone__menF_ale5__2,1.1404686227,0.44034978,-0.412354157,0.84335137,-0.421717759
quinone__menF_ale6__1,0.3750074521,1.136432155,-0.025283272000000002,0.69015246,-0.216054494
quinone__menF_ale6__2,0.9346332537,1.211970932,-0.189631441,0.651379475,-0.152140729
quinone__menF_ale7__1,0.7932385569,1.7257116190000001,0.38248566700000003,0.461407787,-0.09836457900000001
quinone__menF_ale7__2,0.2423588952,1.757383573,0.41252146100000003,0.57656861,-0.233784817
quinone__menF_ale8__1,0.60161625,1.4567781960000001,0.285873845,0.64372295,-0.108243139
quinone__menF_ale8__2,-0.2425145334,0.6939716960000001,0.32052852200000004,0.782094036,-0.19739711100000001
quinone__delmenFubiC__1,-1.5894082698,0.061370315,-0.582155445,-0.10789383400000001,-0.393677267
quinone__delmenFubiC__2,-1.2273054276,0.111198107,-0.24853370500000002,-0.05399612,-0.565828989
quinone__menFubiC_ale1__1,-0.6553977983,0.7816318440000001,-0.115310006,0.096600527,0.05690821
quinone__menFubiC_ale1__2,-0.700901914,1.040926814,-0.341518941,-0.085231154,0.126284478
quinone__menFubiC_ale2__1,-1.2750272740000002,0.9888933580000001,0.002718406,0.06631793600000001,0.041399803000000006
quinone__menFubiC_ale2__2,-0.7663357421,0.27376721600000004,-0.5796567370000001,-0.03178841,0.077434129
quinone__menFubiC_ale3__1,-1.5165101909,-0.109420901,-1.192118018,-0.47241748100000003,-0.47683194900000003
quinone__menFubiC_ale3__2,-1.3023809016,0.4547756,-0.47387886500000004,-0.40014628900000004,-0.5673595330000001
quinone__menFubiC_ale4__1,0.8160057259,1.1871595560000001,0.067269329,0.934443184,-0.42073412
quinone__menFubiC_ale4__2,1.2071319008,1.102017,-0.058000624,0.9222091750000001,-0.27959284700000003
oxyR__wt_glc__1,0.9438045964,-0.18319284400000002,-0.6379384640000001,-0.49369284100000005,-0.470903031
oxyR__wt_glc__2,0.6502524972,-0.449260961,-0.122569626,-0.45669867300000005,-0.42774248800000003
oxyR__wt_h2o2__1,0.2842712677,-0.22593253100000002,-0.306423359,-0.407535083,-0.42917836000000004
oxyR__wt_h2o2__2,-0.1570984035,0.132570928,-0.61558519,-0.297441714,-0.35676688900000003
oxyR__glu_ale4__1,-0.75672353,0.21766907100000002,-0.156045561,-0.16117271800000002,-0.270163042
oxyR__glu_ale4__2,-0.1453923349,0.29058984,-0.278516072,-0.22112621600000001,-0.161245137
oxyR__glu_ale4_h2o2__1,-0.5950856712,0.70253088,-0.11621592400000001,0.178354578,-0.08364603400000001
oxyR__glu_ale4_h2o2__2,-0.6525896108,0.432578473,-0.35903079200000004,0.033683747,0.068339094
oxyR__oxyR_ale17__1,-0.3398567933,-0.028932416000000002,-0.778599822,-0.030434693000000002,0.22019681100000002
oxyR__oxyR_ale17__2,-0.2636927974,-0.242334186,-0.8907175860000001,-0.18411683,0.11909881100000001
oxyR__oxyR_ale17_h2o2__1,0.0058570157,-0.11913335800000001,-0.86713481,0.02030398,-0.03208206
oxyR__oxyR_ale17_h2o2__2,-0.8723220566000001,-0.182652427,-0.6817544910000001,-0.353077297,0.015033445000000001
oxyR__oxyR_ale18__1,1.4667166825,-0.7293083100000001,-0.538877355,-0.733067405,-0.8212875180000001
oxyR__oxyR_ale18__2,0.5567911905,-0.324672226,-0.397759745,-0.490812462,-0.577447421
oxyR__oxyR_ale18_h2o2__1,-1.1251453683000001,-0.05074932,-0.313743084,-0.338689305,0.005903927000000001
oxyR__oxyR_ale18_h2o2__2,-0.6414699302,0.20126771200000002,-0.44301282500000005,-0.30757768500000005,0.007229104
oxyR__oxyR_ale19__1,1.1910263806,-0.141821365,-0.588535845,-0.5383068550000001,-0.6688578470000001
oxyR__oxyR_ale19__2,0.905197472,-0.076236327,-0.18544839700000001,-0.48174374000000003,-0.5117291740000001
oxyR__oxyR_ale19_h2o2__1,1.0804469222,0.005265232,-0.302288014,-0.400233037,-0.79770038
oxyR__oxyR_ale19_h2o2__2,1.0458084494,-0.07711574800000001,-0.580286433,-0.551975204,-0.7399613580000001
oxyR__oxyR_ale20__1,-1.0270364328,0.14520207400000001,-0.46910294,-0.318326587,0.22744893500000002
oxyR__oxyR_ale20__2,-1.1368168094,0.154643933,-0.9754055020000001,-0.4491498,0.24136316800000002
oxyR__oxyR_ale20_h2o2__1,-0.899698266,0.186313425,-0.411347369,-0.288626467,0.11983053800000001
oxyR__oxyR_ale20_h2o2__2,-1.0005124582,-0.26764202,-0.425077959,-0.287262242,0.181374225
svns_pgi__BmePgi24_15__1,0.4033476969,-0.238710688,-0.278492318,-0.058325092,-0.33659717
svns_pgi__BmePgi24_15__2,0.6612952316,0.314119906,-0.039616803,-0.11915993500000001,-0.31641586
svns_pgi__BmePgi24_26__1,1.5463445479,0.09068896200000001,-0.116115462,-0.14069025000000002,-0.48228854800000004
svns_pgi__BmePgi24_26__2,1.7159527191000001,0.34873120300000005,-0.136549901,-0.058761988,-0.7236242690000001
svns_pgi__BmePgi24_41__1,-0.9241650492000001,0.5880012130000001,0.13488794,0.09560521500000001,-0.260665833
svns_pgi__BmePgi24_41__2,2.1156503676,-0.144180844,-0.161855899,-0.044345112000000006,-0.523813654
svns_pgi__BmePgi24_52__1,0.9984866621,-0.049746625,-0.352308127,-0.112282908,-0.40791454600000004
svns_pgi__BmePgi24_52__2,1.8256460730000001,0.023397689000000003,-0.342856649,-0.190172384,-0.637331257
svns_pgi__PaePgi2_34__1,0.1421579766,0.306050998,0.5023403820000001,0.273452034,-0.25537038500000003
svns_pgi__PaePgi2_34__2,-0.17575046100000002,0.304503627,0.7474130290000001,0.274678994,-0.248419769
svns_pgi__PaePgi2_63__1,0.7665987135,0.7103511290000001,0.5899441790000001,0.309716959,-0.32085039600000004
svns_pgi__PaePgi2_63__2,0.11808469840000001,0.488490966,0.061907183000000005,0.296213404,-0.32092414
svns_pgi__PaePgi24_54__1,-0.3066293638,0.34981889200000005,0.121763148,0.23049333600000002,-0.057718135000000004
svns_pgi__PaePgi24_54__2,0.3273354442,0.45629936600000004,0.543614923,0.377893189,-0.120093134
svns_pgi__PaePgi24_90__1,1.0857767513,0.330815752,0.396929892,0.43454673800000004,-0.228884303
svns_pgi__PaePgi24_90__2,0.7016791171,0.6064899450000001,0.49602934,0.44845986200000004,-0.08329905500000001
abx_media__m9_ctrl__1,-1.1824725793,-0.48290030500000003,-0.708085635,0.423628471,0.07144397
abx_media__m9_ctrl__2,-1.6996201196,-0.403859318,-1.321128165,0.691099425,0.23248696500000002
abx_media__rpmi_ctrl__1,1.6241648391,-0.46938405800000005,-0.777453013,0.6259158610000001,0.44375642200000004
abx_media__rpmi_ctrl__2,2.367855267,0.260038455,-0.7663434440000001,0.9394304840000001,0.496580081
abx_media__camhb_ctrl__1,-0.38032097810000004,-0.515156499,-2.226677481,-0.311888641,-0.084233286
abx_media__camhb_ctrl__2,-0.0044417378000000006,-0.47217146800000004,-1.571827704,-0.6609310350000001,-0.24864496200000002
abx_media__m9_mero__1,-1.2330787416,-0.226097331,-1.220337138,0.9764390340000001,0.306554787
abx_media__m9_mero__2,-1.474969512,-0.44982135100000004,-1.125343763,0.357654062,0.03068232
abx_media__rpmi_mero__1,1.8981340210000002,0.041846615000000004,-1.075633184,0.6788858470000001,0.394767011
abx_media__rpmi_mero__2,1.5534636227,0.43143779200000004,-1.020653614,0.576407431,0.361881212
abx_media__camhb_mero__1,-0.6387649394,-0.8577254780000001,-1.482724022,-0.867334405,-0.407370112
abx_media__camhb_mero__2,-0.5334585268,-1.046756028,-1.240102567,-0.8596323140000001,-0.46311292600000004
abx_media__m9_trisulf__1,-2.9042704176000003,-0.61895579,-0.9068113510000001,0.21017412700000002,-0.21210623
abx_media__m9_trisulf__2,-2.3185963973,0.139453664,-1.117243654,0.143526292,-0.12010403800000001
abx_media__rpmi_trisulf__1,0.052572533000000005,-0.282509781,-1.210212901,-0.150171315,-0.128504972
abx_media__rpmi_trisulf__2,-0.7969400009000001,-0.165796034,-1.091311549,-0.08994534900000001,-0.16574235
abx_media__camhb_trisulf__1,-0.3835815937,-0.324715702,-1.2578804940000001,0.590614235,0.444221432
abx_media__camhb_trisulf__2,-0.1878302926,-0.151196414,-0.7789009640000001,0.547997195,0.302553393
abx_media__m9_cef__1,-2.3580712869,-0.074370533,-0.929598039,-0.30436618,0.025600869000000002
abx_media__m9_cef__2,-2.350499333,-0.394310859,-0.675081448,-0.29742327,0.154873653
abx_media__rpmi_cef__1,2.0087713131,-0.10402520300000001,-1.116498104,1.245367878,0.9204328620000001
abx_media__rpmi_cef__2,1.8893202391,-0.131478262,-0.57622746,1.405349527,1.103593676
abx_media__camhb_cef__1,-0.4997957616,0.23087942600000003,-1.141361292,0.283768676,-0.084668437
abx_media__camhb_cef__2,-0.3852458022,-0.613679339,-1.651085729,0.24770708700000002,0.01684493
abx_media__m9_cipro__1,-2.302786353,-0.30113347,-1.244218691,0.501229209,-0.37978091900000005
abx_media__m9_cipro__2,-2.4223493971,-0.7420375520000001,-0.9108422070000001,0.620364384,-0.501910066
abx_media__rpmi_cipro__1,-0.1979630768,-0.26796295200000003,-1.20360637,0.388588996,-0.006098073000000001
abx_media__rpmi_cipro__2,0.3663481026,0.22757938,-0.796957957,0.340567394,0.422316049
abx_media__camhb_cipro__1,-2.1832936733,-0.6075318670000001,-1.797106211,-0.934167512,-0.078892353
abx_media__camhb_cipro__2,-1.8494078118,0.11793492,-1.385300235,-0.475780036,-0.08639603100000001
hot_tale__42c_ale3_30c__1,-0.5705677292,-0.09396774000000001,-0.802903428,-0.38627519600000004,-0.534486755
hot_tale__42c_ale3_30c__2,0.9377268482000001,0.515962797,-0.991881839,-0.38093582,-0.38638764800000003
hot_tale__42c_ale3_37c__1,0.3612117266,0.48609482200000004,-0.524066593,-0.140038622,-0.384364313
hot_tale__42c_ale3_37c__2,-0.0900385309,-0.563511353,-0.127390164,-0.39500253500000004,-0.54457809
hot_tale__42c_ale3_44c__1,0.3391536391,1.122485407,0.9311810580000001,0.588435224,-0.25114052800000003
hot_tale__42c_ale3_44c__2,0.4803090559,1.3036034650000001,0.779156057,0.690670302,-0.500776352
hot_tale__hot_ale3_mid_30c__1,0.7086676051,0.381602883,-0.036359742,-0.5978306160000001,-0.20186097800000002
hot_tale__hot_ale3_mid_30c__2,1.6348111372,0.216177056,-0.008744918,-0.39198661100000004,-0.40672804900000004
hot_tale__hot_ale3_mid_37c__1,-0.301911782,-0.22301957600000002,-0.075009223,-0.315695159,-0.26617418600000003
hot_tale__hot_ale3_mid_37c__2,-0.1571992493,0.17055799600000002,-0.273608958,-0.49764690800000005,-0.46530035900000005
hot_tale__hot_ale3_mid_44c__1,1.4405817395,1.9263982510000002,0.216599965,-0.07010912600000001,-0.5027294010000001
hot_tale__hot_ale3_mid_44c__2,0.9342657143,1.239907025,0.72803256,0.237876255,-0.112513788
hot_tale__hot_ale3_30c__1,1.4077997684,1.212202201,0.160565694,-0.5391456410000001,-0.43660675
hot_tale__hot_ale3_30c__2,0.1627725438,-0.09478507700000001,0.134646671,-0.6860290050000001,-0.561589044
hot_tale__hot_ale3_37c__1,0.5400836686,-0.042463091,0.030772623000000002,-0.420196555,-0.55693982
hot_tale__hot_ale3_37c__2,0.1225491928,0.560788206,-0.355521036,-0.620089958,-0.593550785
hot_tale__hot_ale3_44c__1,1.2374317261,1.205523496,0.44483879400000004,0.195412108,-0.6244736230000001
hot_tale__hot_ale3_44c__2,0.303092672,0.7932859120000001,0.253724447,0.036922456,-0.493363559
hot_tale__hot_ale4_30c__1,-0.0280519412,0.198927593,-0.935822205,-0.529165467,-0.44815269900000004
hot_tale__hot_ale4_30c__2,0.6729162040000001,-0.396840216,-0.8023378010000001,-0.411184718,-0.39739400100000005
hot_tale__hot_ale4_37c__1,0.2171573042,0.049963575,0.10429519500000001,-0.135682459,-0.330238274
hot_tale__hot_ale4_37c__2,0.3492941,0.101630915,0.107007288,-0.36538432800000004,-0.229124649
hot_tale__hot_ale4_44c__1,0.1309823276,1.111359472,0.145191965,0.342325851,0.22979711200000003
hot_tale__hot_ale4_44c__2,0.3433095574,0.9767238010000001,0.652926195,0.236605467,0.19857747
hot_tale__hot_ale8_30c__1,0.7284278083,1.298048399,0.515882354,-0.527264796,-0.18418463300000001
hot_tale__hot_ale8_30c__2,0.0455742037,0.313899413,-0.171619249,-0.523940802,-0.438354984
hot_tale__hot_ale8_37c__1,0.4314802904,0.12199232900000001,0.196216579,-0.369753312,-0.22397761900000002
hot_tale__hot_ale8_37c__2,-0.1166170832,0.8629354840000001,-0.16977191800000002,-0.26630258100000004,-0.313122288
hot_tale__hot_ale8_44c__1,-0.1238837307,1.438287726,0.666238027,0.46766341100000003,0.45630525600000005
hot_tale__hot_ale8_44c__2,-0.3811217898,1.201084278,0.813775954,0.354813804,0.42790744500000005
hot_tale__hot_ale9_mid_30c__1,-1.9520801354000001,-0.11153900600000001,-0.359000227,-0.502216079,-0.417194891
hot_tale__hot_ale9_mid_30c__2,-1.3780777864,-0.13548447500000002,-0.6559181030000001,-0.325763166,-0.493780904
hot_tale__hot_ale9_30c__1,0.5983662576000001,0.143173723,-0.710876084,-0.503575494,-0.517415468
hot_tale__hot_ale9_30c__2,0.45034139700000003,0.043669094000000006,-0.496919412,-0.552281577,-0.511656937
hot_tale__hot_ale9_mid_37c__1,-0.4447469283,0.063512993,-0.395698084,-0.257974073,-0.29312559600000004
hot_tale__hot_ale9_mid_37c__2,-0.7398087626000001,0.128318135,-0.18333464700000002,-0.23456505600000002,-0.256476596
hot_tale__hot_ale9_37c__1,0.2629782725,-0.21812188700000001,-0.623472978,-0.37267533,-0.38214679100000004
hot_tale__hot_ale9_37c__2,0.4201600331,0.30067476200000004,-0.14165518300000002,-0.405979784,-0.32916298400000005
hot_tale__hot_ale9_mid_44c__1,-0.0727270867,0.7149126370000001,0.46887521,0.448257901,0.32949472900000004
hot_tale__hot_ale9_mid_44c__2,0.5159799533,1.111180523,0.6810986880000001,0.6480292950000001,0.064678658
hot_tale__hot_ale9_44c__1,0.7826186622,1.11059872,0.654760254,0.24660241300000002,0.161821719
hot_tale__hot_ale9_44c__2,0.7301741218000001,0.9824481330000001,0.474509324,0.30565888900000004,-0.207927255
hot_tale__hot_ale10_30c__1,-0.423009599,-0.195253389,-0.15497096600000002,-0.49610930200000003,-0.23501259100000002
hot_tale__hot_ale10_30c__2,-0.9242872424,0.058535580000000004,-0.17377931200000002,-0.527068447,-0.317270025
hot_tale__hot_ale10_37c__1,-0.2467875615,0.5740324880000001,-0.48289449500000003,-0.19869687800000002,-0.461547996
hot_tale__hot_ale10_37c__2,-0.5424324973,0.28786257400000004,0.064027978,-0.317119404,-0.36110735400000005
hot_tale__hot_ale10_44c__1,0.8690594298000001,0.9269484920000001,0.6399463430000001,0.5129002490000001,0.076912905
hot_tale__hot_ale10_44c__2,-0.6361921601,2.074347892,0.98871318,0.533067619,0.140243465
hot_tale__hot_ale16_30c__1,-1.06604471,-0.359797596,-0.5251081750000001,-0.618174501,-0.40074854400000004
hot_tale__hot_ale16_30c__2,-1.3235488699,-0.006021651,-0.8031682,-0.547743712,-0.26127110200000003
hot_tale__hot_ale16_37c__1,-0.48335265310000003,0.21289648900000002,-0.42820565,-0.41755967800000005,-0.361806723
hot_tale__hot_ale16_37c__2,-0.4796767496,-0.291314422,-0.20568074900000002,-0.481077864,-0.336785912
hot_tale__hot_ale16_44c__1,-0.037562136100000004,1.1844593460000001,0.8534781010000001,0.190369918,0.04939268
hot_tale__hot_ale16_44c__2,-0.1537442631,1.453172582,0.8433455999999999,0.43718239000000003,0.26203849900000004
pdhr_ale__pdhR-13_51__1,-0.3456487951,-0.06684757200000001,-0.43991986800000005,-0.065087384,-0.39521538300000003
pdhr_ale__pdhR-13_51__2,0.0436012571,-0.071493967,-0.6111000870000001,0.072968026,-0.261019637
pdhr_ale__pdhR-14_46__1,-1.2367503858,0.352334313,-0.457626574,-0.091956167,-0.455236762
pdhr_ale__pdhR-14_46__2,-0.8985063858000001,-0.053896592,-0.6952726850000001,-0.044069573,-0.378518666
pdhr_ale__pdhR-15_51__1,-0.5683741717,-0.047183951,-0.22355933800000002,-0.073393759,-0.027918676000000003
pdhr_ale__pdhR-15_51__2,-0.6320208044,-0.014653613000000001,-0.6953301980000001,-0.098209103,-0.131014308
pdhr_ale__pdhR-16_49__1,-0.9433716043,-0.08003049999999999,-0.7659893980000001,-0.18130094500000002,-0.283575334
pdhr_ale__pdhR-16_49__2,-1.3477509751,0.07757620200000001,-0.597844583,-0.37713530100000003,-0.563770639
tcs__del_atoC_LiAcet__1,-0.5951305584000001,0.667788569,-0.704642999,0.32351841400000003,0.1638463
tcs__del_atoC_LiAcet__2,-0.7719081572000001,0.726400585,-0.5231667240000001,0.33643351600000004,0.23320249
tcs__del_atoC_LiCl__1,-0.0380205022,0.603302285,-0.872762134,0.38472951600000005,0.28013532700000005
tcs__del_atoC_LiCl__2,-0.6273280736,0.49650929600000004,-1.007239901,0.31925949400000003,0.36562764000000003
tcs__del_atoC_m9__1,-0.1608914142,0.450340705,-0.810999829,0.428769002,0.230041496
tcs__del_atoC_m9__2,-0.283897972,0.790986748,-0.681367903,0.37709143300000003,0.32571741800000004
tcs__del_baeR_etoh__1,5.6742229931,1.866429705,0.06946648,1.614125886,-0.528069282
tcs__del_baeR_etoh__2,4.9075913739,1.8129663470000001,0.11382210300000001,1.787126518,-0.551099436
tcs__del_baeR_lb__1,2.1706771847,1.7457323200000001,0.508053607,0.599095362,-0.948105508
tcs__del_baeR_lb__2,1.8095546003,1.109777158,0.011182932000000001,0.6061320560000001,-1.21991941
tcs__del_btsR_01xlb__1,-0.7311296589,0.5570533080000001,-0.20547853900000002,0.47508765100000006,-1.587405658
tcs__del_btsR_01xlb__2,-0.4409103717,0.473901316,-0.07870550700000001,0.42824988,-1.41696676
tcs__del_btsR_lb__1,1.9143030124,2.124393173,-0.610071456,0.545050704,0.196578784
tcs__del_btsR_lb__2,2.6241211288,2.271757195,-0.65502355,0.5878519680000001,0.30568978700000005
tcs__del_btsR_pyruvate__1,-0.8698242594000001,0.33896803600000003,-0.6999784410000001,0.564862039,-1.673894258
tcs__del_btsR_pyruvate__2,-0.6907310320000001,0.169675968,-0.011452807,0.518916314,-1.483251612
tcs__del_cpxR_etoh__1,4.1759655178,2.485533416,0.058528583,1.461069165,-0.242437543
tcs__del_cpxR_etoh__2,3.2761150672,2.488543867,-0.166233771,1.366120883,-0.329102842
tcs__del_cpxR_lb__1,2.2700075585,1.280577735,0.6150071140000001,0.7032608810000001,-0.920492084
tcs__del_cpxR_lb__2,1.8953379122,1.433637932,0.38308152700000003,0.783303429,-0.7089814050000001
tcs__del_cusR_CuSO4__1,1.8120757533,0.624067916,-0.32978196400000004,0.451213748,-1.425545625
tcs__del_cusR_CuSO4__2,1.7444488018,0.7362247190000001,-0.411428075,0.5663428610000001,-1.474290069
tcs__del_cusR_lb__1,1.5132798063,1.506675425,-0.799631494,0.7812310950000001,-0.503913407
tcs__del_cusR_lb__2,2.088832755,1.464295864,-0.25764996,0.761888694,-0.722251975
tcs__del_kdpE_01-kcl__1,-1.8396883207,-0.234400819,-0.463009306,0.159131086,-0.546383771
tcs__del_kdpE_01-kcl__2,-1.9738153704,-0.028167571000000002,-0.580889714,0.133088692,-0.442904355
tcs__del_kdpE_115-kcl__1,2.6037283511,0.069469787,-0.784959198,0.8360905160000001,-0.63361486
tcs__del_kdpE_115-kcl__2,2.4998666867,-0.057930815000000004,-0.7861534440000001,0.9810539720000001,-0.36211201
tcs__del_phoB_m9__1,-0.7481804697000001,0.21080362500000002,-0.9867077780000001,0.38751683200000003,-0.047106069
tcs__del_phoB_m9__2,-0.8331842774,0.586070286,-0.651890066,0.445236128,-0.11478605700000001
tcs__del_phoB_m9p__1,0.9148783047,-0.410196852,-1.218439316,1.773454971,-1.085997757
tcs__del_phoB_m9p__2,0.38817819400000003,-0.49797951500000004,-0.816969625,1.747306397,-1.244434799
tcs__del_rcsB_etoh__1,4.831556106,2.125707543,0.664699225,1.750993399,-0.65714919
tcs__del_rcsB_etoh__2,4.7537788454,1.7822810150000001,0.202619122,1.7732271,-0.5844304770000001
tcs__del_rcsB_lb__1,1.7431632542000002,2.513722374,0.113032218,0.381515934,-0.722620735
tcs__del_rcsB_lb__2,1.5322755843,2.258973728,0.359704709,0.36600477000000003,-0.615784436
tcs__del_zraR_lb__1,1.8415168883000002,1.57320589,-0.459703715,-0.204544193,-0.913789308
tcs__del_zraR_lb__2,1.5130067694,1.113328543,-0.400220073,-0.212355323,-0.730373693
tcs__del_zraR_zncl2__1,2.6966594152,1.228692429,0.040372353,0.44844534100000005,-0.810687213
tcs__del_zraR_zncl2__2,2.0161419598,1.727858032,-0.10681478600000001,0.49299562100000005,-0.6725496430000001
tcs__wt_01-kcl__1,1.1337858387,-0.060104609,-0.729018444,1.210907912,-0.776190162
tcs__wt_01-kcl__2,0.5997959706,-0.129554405,-0.674243153,1.069911518,-0.7737669970000001
tcs__wt_01xlb__1,0.1764239574,0.8808746070000001,0.161758644,0.67815916,-1.45550753
tcs__wt_01xlb__2,0.18068208800000002,0.7844437910000001,-0.067012714,0.676584103,-1.438106114
tcs__wt_115-kcl__1,4.2697388286,-0.36779856400000005,-1.054806324,1.060328866,-0.7648250910000001
tcs__wt_115-kcl__2,4.3402414684,0.275252398,-1.022045301,1.106689456,-0.5605272020000001
tcs__wt_CuSO4__1,1.7574762753000002,1.658839243,-0.590591822,0.624829296,-1.581202138
tcs__wt_CuSO4__2,1.3423703329,2.006395024,0.10033813700000001,0.5975709290000001,-1.5347165710000001
tcs__wt_etoh__1,3.2942823624,2.561291829,0.047348968000000005,1.297886847,-0.528438378
tcs__wt_etoh__2,3.8027816906,2.482136154,0.4270117,1.2392744310000001,-0.415832232
tcs__wt_lb__1,1.1923925957,0.900563471,-0.34934349800000003,0.6326132360000001,-0.10887022
tcs__wt_lb__2,0.8324915507,0.598266041,-0.599262084,0.515259845,-0.135970789
tcs__wt_LiAcet__1,-0.7247804708000001,-0.11338653,-0.727832833,0.32478339300000003,-0.06555232
tcs__wt_LiAcet__2,-1.1167150097,0.420597478,-1.248528688,0.265727728,-0.029294239000000003
tcs__wt_LiCl__1,-0.47356363830000003,0.48377317500000006,-0.9349602950000001,0.468243677,0.083593731
tcs__wt_LiCl__2,-0.09991912580000001,0.540645626,-0.81378489,0.506159389,0.046696098000000005
tcs__wt_m9p__1,0.8480387278,-0.6344277570000001,-0.9693946250000001,1.650757441,-0.9542897960000001
tcs__wt_m9p__2,0.8537711416,-0.7235373900000001,-0.8016945280000001,1.716268707,-0.832726203
tcs__wt_pyr__1,0.3707619995,1.263934587,0.324560438,0.615801182,-1.683133983
tcs__wt_pyr__2,-0.2158383798,0.722508044,0.338827676,0.655879726,-1.7622857930000002
tcs__wt_zncl2__1,2.4570083084,1.00999907,-0.44491537600000003,0.36860747200000005,-1.03322016
tcs__wt_zncl2__2,2.4821716374,0.919097139,-0.470531756,0.377681951,-1.094351377
ros_tale__1_112_0pq__1,0.1760364651,0.11674411900000001,-0.456958397,1.025587211,0.84984165
ros_tale__1_112_0pq__2,1.0020484535,-0.17006719,-0.379739243,1.010234534,0.7495016250000001
ros_tale__1_112_250pq__1,1.6741703096,0.84635846,-0.270851124,1.7642394330000002,0.8133601570000001
ros_tale__1_112_250pq__2,1.5388760182999999,0.431334141,0.09291621400000001,1.6513990490000001,0.539321713
ros_tale__1_112_750pq__1,1.354136492,0.4688495,-0.129952919,1.798466528,0.543152068
ros_tale__1_112_750pq__2,1.0476370845,0.47833967,-0.25416509400000004,1.674581281,0.476109643
ros_tale__1_112_750pq__3,0.785909313,0.28231931400000004,0.250988622,1.473440278,0.493203137
ros_tale__3_76_0pq__1,2.2292830646,1.215139616,0.282337854,-0.861806768,-0.955336987
ros_tale__3_76_0pq__2,2.0638267084,0.560646533,0.354328236,-0.7741517440000001,-0.96288206
ros_tale__3_76_0pq__3,2.238181685,0.996619468,0.619323682,-0.931307666,-0.808753586
ros_tale__3_76_0pq__4,2.2878951963,0.489205137,0.6624014850000001,-0.72839888,-0.86945718
ros_tale__3_76_250pq__1,-1.2440716469,0.7109380620000001,0.14424556,1.183085849,-0.16724866600000002
ros_tale__3_76_250pq__2,0.1087725165,0.672558113,-0.48242382100000003,1.070527092,0.27051825900000004
ros_tale__3_76_750pq__1,0.5306377317000001,0.012243837,-0.364744609,1.297719085,0.559698012
ros_tale__3_76_750pq__2,0.4472551661,-0.090837206,-0.44857834700000004,0.9916449770000001,0.442026146
ros_tale__7_103_0pq__1,2.9865282899,0.6856020340000001,0.222125959,1.048703633,-0.168754956
ros_tale__7_103_0pq__2,3.2523462381,1.226806864,0.439737388,1.3981760570000001,-0.012981372000000001
ros_tale__7_103_0pq__3,2.9035407676,0.846117196,0.30015483,0.9796874999999999,-0.394901002
