,A,GadE,GadW,GadX
oxyR__glu_ale4__1,-3.0235654128,-3.148134721,-1.484630841,-1.5674874755000001
oxyR__glu_ale4__2,-3.1550454684,-3.13063182,-1.7239335,-1.6419698805
oxyR__glu_ale4_h2o2__1,-2.2996095532,-1.9596086590000001,-0.932372147,-0.9542591845
oxyR__glu_ale4_h2o2__2,-1.9698664634,-1.810165976,-1.060544392,-1.0239043545
oxyR__oxyR_ale17__1,-1.9611560898,-1.886799504,-0.0034096390000000003,-0.2087909385
oxyR__oxyR_ale17__2,-1.5210878921000002,-1.9081275510000002,-0.167777995,-0.4666404985
oxyR__oxyR_ale17_h2o2__1,-3.3901045244,-2.731523456,-0.40036409500000003,-0.4040261395
oxyR__oxyR_ale17_h2o2__2,-3.9888827596,-3.075587645,-0.7903472370000001,-1.4946212085
oxyR__oxyR_ale18__1,-4.7271894507,-4.404718717,-1.9014666290000002,-2.4047770435
oxyR__oxyR_ale18__2,-3.9484966808,-3.743639175,-1.488398967,-2.1639725495
oxyR__oxyR_ale18_h2o2__1,0.6188324496000001,-0.19461825500000002,-0.148464697,-0.6526674225
oxyR__oxyR_ale18_h2o2__2,0.3358106583,-0.47445086700000005,-0.21537019000000002,-0.6526529945
oxyR__oxyR_ale19__1,-4.4849358503,-3.566591813,-1.786964023,-1.6291993305
oxyR__oxyR_ale19__2,-2.6025324954,-2.786071194,-0.7879267750000001,-0.7954169875
oxyR__oxyR_ale19_h2o2__1,-4.0839031103,-4.072281147,-1.723423801,-1.9723728605000002
oxyR__oxyR_ale19_h2o2__2,-4.493490565,-3.9952623220000003,-1.78845851,-2.1519356455
oxyR__oxyR_ale20__1,-0.15744282710000002,-1.077194658,-0.10791590300000001,-0.3012293775
oxyR__oxyR_ale20__2,0.0886157889,-1.078098769,0.044917878,-0.26157538550000003
oxyR__oxyR_ale20_h2o2__1,-1.3850079187,-1.745273578,-0.37937634200000003,-0.5587236515
oxyR__oxyR_ale20_h2o2__2,-1.0845345795,-1.638854462,-0.32626138800000004,-0.6518127225
svns_pgi__BmePgi24_15__1,0.045720384,-0.18850717800000003,-0.09487389,-0.1543816975
svns_pgi__BmePgi24_15__2,-0.1959985353,0.022539356,0.079199251,-0.1050935425
svns_pgi__BmePgi24_26__1,-3.190959522,-2.771806877,-0.3823489,-0.7090673635
svns_pgi__BmePgi24_26__2,-3.7371994243,-3.29986021,-0.453423248,-0.7048534715
svns_pgi__BmePgi24_41__1,-6.0814569028,-3.731281105,-0.193987858,-0.39289340850000004
svns_pgi__BmePgi24_41__2,-5.543552991,-4.739052074,-0.781859077,-1.4875947045
svns_pgi__BmePgi24_52__1,-2.9312612971,-2.775993806,-0.259728556,-0.6791849755
svns_pgi__BmePgi24_52__2,-3.6474086072,-3.315645069,-0.5221780340000001,-1.0084784055
svns_pgi__PaePgi2_34__1,-4.4686852763000005,-2.429100959,-1.495300296,-1.0348139375
svns_pgi__PaePgi2_34__2,-4.4941573227,-2.390326571,-1.546696987,-0.9523703495
svns_pgi__PaePgi2_63__1,-6.1745755294,-4.033027577,-1.801357926,-1.2434492685
svns_pgi__PaePgi2_63__2,-6.4995871561000005,-3.7183265050000003,-1.8129860080000002,-1.0285970265
svns_pgi__PaePgi24_54__1,-5.9553525739,-3.06738841,-1.523332188,-1.6844179355
svns_pgi__PaePgi24_54__2,-6.5907952821,-2.789971452,-1.710951174,-1.6786213785
svns_pgi__PaePgi24_90__1,-7.1761468243,-4.186747224,-1.8730224930000001,-2.3910121185
svns_pgi__PaePgi24_90__2,-8.310901865,-3.868468695,-1.9607078590000002,-2.0417512255
abx_media__m9_ctrl__1,2.0319657761,1.773331184,1.470252623,1.7543605494999999
abx_media__m9_ctrl__2,1.5449029360000002,0.26198276,1.096747601,1.2785649095
abx_media__rpmi_ctrl__1,-8.4380403309,-2.69923772,-3.267590235,-2.5542012015
abx_media__rpmi_ctrl__2,-7.1628668839,-4.12486454,-3.5460337710000003,-3.0858233295
abx_media__camhb_ctrl__1,-6.1626732523,-3.349852946,-3.689769792,-2.8222592505
abx_media__camhb_ctrl__2,-6.6722674286,-3.841590315,-4.512560851,-3.5607856985
abx_media__m9_mero__1,-0.9841745417000001,0.22906809800000003,0.6905471350000001,1.1793834155
abx_media__m9_mero__2,0.6894140381,0.653092204,0.9401046980000001,1.2867231865
abx_media__rpmi_mero__1,-8.3743009817,-4.234787772,-3.576828542,-3.1512241415
abx_media__rpmi_mero__2,-8.4363694661,-4.275124243,-3.6173238750000003,-3.2363759945
abx_media__camhb_mero__1,-7.3485446992,-4.361151157,-4.254496702,-3.8070951395
abx_media__camhb_mero__2,-6.8989873896,-4.503306587,-4.573696401,-3.9466018225
abx_media__m9_trisulf__1,1.9287258341,0.328452438,0.42059036200000005,0.2829123965
abx_media__m9_trisulf__2,1.7888279682000001,-0.45139383800000005,0.296002936,-0.10773344850000001
abx_media__rpmi_trisulf__1,-5.0367425029,-2.559966845,-3.614357594,-3.3159992445
abx_media__rpmi_trisulf__2,-5.5514652451,-2.518771373,-3.360360812,-3.3844024245
abx_media__camhb_trisulf__1,-7.6291568159,-3.785578814,-3.839473969,-3.8432497475
abx_media__camhb_trisulf__2,-7.419147657,-4.003228359,-4.260295307,-3.6479587465
abx_media__m9_cef__1,1.7985119001,-0.59869078,0.884581947,0.8842419225
abx_media__m9_cef__2,2.1688059572,-0.23929002700000002,0.950516836,0.6343994645000001
abx_media__rpmi_cef__1,-5.5462927133,-3.483551704,-3.326692312,-3.3793965905
abx_media__rpmi_cef__2,-5.114331776,-2.7109426819999998,-2.809830398,-3.4699665395
abx_media__camhb_cef__1,-7.8071617488000005,-5.221432608,-4.182248851,-4.5628209695
abx_media__camhb_cef__2,-7.7269727537,-5.014568989,-4.358526646,-4.1191546185
abx_media__m9_cipro__1,-1.1172538002,-1.639491792,0.16776211200000002,-0.34966792550000003
abx_media__m9_cipro__2,-1.1204260252,0.125443788,0.369946914,-0.0607847225
abx_media__rpmi_cipro__1,-5.5498282184,-5.336435902,-2.8010360800000003,-2.9914089544999998
abx_media__rpmi_cipro__2,-4.9392434628,-5.568921667,-2.822133697,-2.5756930475
abx_media__camhb_cipro__1,-8.0312106487,-4.920526294,-4.893868697,-5.0575483215
abx_media__camhb_cipro__2,-7.5797980340999995,-4.848398743,-4.917834806,-4.7357063595
hot_tale__42c_ale3_30c__1,-2.6184993343,-3.342565922,0.38415950400000004,-3.1895458985
hot_tale__42c_ale3_30c__2,-2.4967795325,-3.12019396,0.304439081,-3.3054740445
hot_tale__42c_ale3_37c__1,-4.9213601093,-4.933009963,-1.844297659,-3.4337416445
hot_tale__42c_ale3_37c__2,-6.4989367287,-5.770378972,-1.890106807,-3.2745179155
hot_tale__42c_ale3_44c__1,-4.6575806938,-1.037886058,-1.402028499,-0.5305872175
hot_tale__42c_ale3_44c__2,-5.5531597533,-1.476959825,-1.6839079,-0.4867010205
hot_tale__hot_ale3_mid_30c__1,-2.4455471651,-2.631806647,0.824206933,-3.7457702775
hot_tale__hot_ale3_mid_30c__2,-0.7600086061,-2.624836085,0.848559025,-4.0328969245
hot_tale__hot_ale3_mid_37c__1,-6.5817157746,-6.5876320150000005,-1.340513485,-4.3788427895
hot_tale__hot_ale3_mid_37c__2,-6.4693549678,-5.525832358,-1.119476568,-3.5039167985
hot_tale__hot_ale3_mid_44c__1,-2.8432225352,-0.388931305,-0.8080799780000001,-0.8758368695000001
hot_tale__hot_ale3_mid_44c__2,-4.5445665548,-1.5175542929999999,-2.067601137,-0.9826416715
hot_tale__hot_ale3_30c__1,-0.8627553518000001,-1.690021239,0.9331973450000001,-3.8160395215
hot_tale__hot_ale3_30c__2,-1.1098032086,-1.815499951,0.7461494590000001,-3.9454299775
hot_tale__hot_ale3_37c__1,-5.8101980369,-5.416696486,-0.820476367,-2.8256511295
hot_tale__hot_ale3_37c__2,-5.3172583754,-5.246509004,-0.9097587410000001,-3.2561358645
hot_tale__hot_ale3_44c__1,-3.029892187,-0.550591448,-1.484896529,-0.5712976345
hot_tale__hot_ale3_44c__2,-3.3078307623,-0.952093948,-1.521393625,-1.0045334675
hot_tale__hot_ale4_30c__1,-2.4134561581,-3.95649414,0.24054466300000002,-3.3093762655
hot_tale__hot_ale4_30c__2,-2.5896877759,-3.90633283,0.39173577200000004,-3.4860268235
hot_tale__hot_ale4_37c__1,-6.0928162389,-4.908049709,-1.304775523,-3.1051855765
hot_tale__hot_ale4_37c__2,-6.3983188139,-4.882116456,-1.217344158,-3.4675098265
hot_tale__hot_ale4_44c__1,-5.4150296518,-2.100057468,-1.9932477690000001,-1.1078724515
hot_tale__hot_ale4_44c__2,-5.2281897184,-2.568644032,-1.930761627,-1.0550464685
hot_tale__hot_ale8_30c__1,-1.3914362309000001,-5.083421184,0.171966943,-4.1969542575
hot_tale__hot_ale8_30c__2,-2.7000331908,-4.809653257,0.20834207700000001,-4.3973154865
hot_tale__hot_ale8_37c__1,-5.955035506,-5.756804122,-1.459694966,-3.3716601805
hot_tale__hot_ale8_37c__2,-5.6643925074,-6.085160426,-1.394790559,-3.4195799005
hot_tale__hot_ale8_44c__1,-5.1261018343,-4.12884677,-1.793956023,-1.2553401045
hot_tale__hot_ale8_44c__2,-4.7513504516000005,-4.107387872,-1.774621323,-1.3719617085
hot_tale__hot_ale9_mid_30c__1,-2.2108672240000002,-2.2469499490000002,1.245757398,-3.2431795115
hot_tale__hot_ale9_mid_30c__2,-1.7902179326,-2.560603722,1.030036352,-3.5326167705
hot_tale__hot_ale9_30c__1,-2.810027067,-3.779473083,0.29416849100000003,-4.5219660274999995
hot_tale__hot_ale9_30c__2,-2.5436862002,-3.86464081,0.489778988,-4.3923327985
hot_tale__hot_ale9_mid_37c__1,-7.0819866781,-5.074873951,-0.764373344,-3.0364218265
hot_tale__hot_ale9_mid_37c__2,-6.8245668504,-4.815826972,-0.503692257,-2.8494140475
hot_tale__hot_ale9_37c__1,-6.58824003,-6.449061725,-1.405265838,-4.0004709705
hot_tale__hot_ale9_37c__2,-6.9983167248,-6.046631506,-1.356551388,-3.6069468645000002
hot_tale__hot_ale9_mid_44c__1,-6.0362292025,-2.866714926,-1.331543585,-1.1560178965
hot_tale__hot_ale9_mid_44c__2,-5.6250854716,-2.868785621,-1.319686575,-1.0773072675
hot_tale__hot_ale9_44c__1,-6.3768535696,-4.842666395,-2.446828205,-2.1676840635
hot_tale__hot_ale9_44c__2,-5.9932448472,-4.346977015,-2.34245527,-1.8858286725000002
hot_tale__hot_ale10_30c__1,-0.556236842,-2.541987362,0.978613378,-3.6257398265000003
hot_tale__hot_ale10_30c__2,-0.3568468922,-2.143159929,0.9471326860000001,-3.5884852235
hot_tale__hot_ale10_37c__1,-6.5430117587000005,-5.5954091770000005,-1.061296514,-3.5244829175
hot_tale__hot_ale10_37c__2,-6.5251672998,-5.069752441,-1.206037966,-3.4908774675
hot_tale__hot_ale10_44c__1,-3.812575183,-1.669919783,-1.270562554,-0.6056026815000001
hot_tale__hot_ale10_44c__2,-4.0940783282,-1.943142299,-1.063959266,-0.5445547695
hot_tale__hot_ale16_30c__1,-1.1108998607,-2.770999842,1.029707535,-3.2420302425
hot_tale__hot_ale16_30c__2,-1.5664635206000002,-2.922287222,1.125066344,-3.2604507415
hot_tale__hot_ale16_37c__1,-5.7747261932,-5.093242505,-0.862974109,-2.6962256495
hot_tale__hot_ale16_37c__2,-6.2578207185,-5.762196497,-0.824352068,-2.8921934445
hot_tale__hot_ale16_44c__1,-5.1389619527,-2.443630807,-1.514269316,-0.9720535895
hot_tale__hot_ale16_44c__2,-4.3944969751,-2.603685113,-1.679392401,-0.8321317615
pdhr_ale__pdhR-13_51__1,-5.7844560487,-2.28825697,-0.443680736,-0.1733012495
pdhr_ale__pdhR-13_51__2,-5.1686334245,-1.863444194,-0.3420341,0.0080658555
pdhr_ale__pdhR-14_46__1,0.5696539032,1.350714508,1.467339,1.7486966695000001
pdhr_ale__pdhR-14_46__2,1.2979126507,1.006351182,1.012746306,1.2253895365
pdhr_ale__pdhR-15_51__1,-3.0780648583,0.26096641400000004,0.11901861200000001,-0.09934461950000001
pdhr_ale__pdhR-15_51__2,-3.4557491598,0.128110118,-0.07985431,-0.1854348985
pdhr_ale__pdhR-16_49__1,2.3914138766,3.260221728,1.838166614,2.5072357755
pdhr_ale__pdhR-16_49__2,1.9942715591,1.454752513,0.9708921380000001,1.3744828414999999
tcs__del_atoC_LiAcet__1,0.22063128810000002,-1.1661064859999999,-0.705219728,-0.3470313385
tcs__del_atoC_LiAcet__2,0.3377109589,-1.242749923,-1.000061441,-0.7542443355
tcs__del_atoC_LiCl__1,0.5983910078,0.5728027720000001,0.08954806300000001,0.4332007825
tcs__del_atoC_LiCl__2,0.29440597160000004,0.644875226,0.14531148400000002,0.42467531750000004
tcs__del_atoC_m9__1,0.6357247111000001,-0.44279140300000003,0.333798547,0.6398247395000001
tcs__del_atoC_m9__2,0.4817777071,-0.85129524,0.198379141,0.5155610635
tcs__del_baeR_etoh__1,9.6920172642,0.536211199,1.473412475,0.1966753785
tcs__del_baeR_etoh__2,9.645696895,-1.295111975,0.6760274030000001,-0.5974463375
tcs__del_baeR_lb__1,9.2414038708,4.141051578,1.874154113,1.8959563325
tcs__del_baeR_lb__2,9.0061288114,4.247838628,1.930311066,2.0164184855
tcs__del_btsR_01xlb__1,6.6659554652,4.235767328,2.5435706380000003,1.0881353935
tcs__del_btsR_01xlb__2,6.37799559,4.155969548,2.5571005749999998,1.0361143475
tcs__del_btsR_lb__1,-2.8388023293,-1.457520962,-2.021131973,-1.3436558275000001
tcs__del_btsR_lb__2,-3.4367265936,-1.623716605,-1.871907734,-1.5047655885
tcs__del_btsR_pyruvate__1,6.5062765913,4.118492578,2.588436105,1.0435207435
tcs__del_btsR_pyruvate__2,6.3708724057,3.9773963080000003,2.528535893,1.0310643945
tcs__del_cpxR_etoh__1,11.3169832895,1.142898158,1.96341583,0.8470205245
tcs__del_cpxR_etoh__2,11.1571327319,1.302281595,2.059671892,0.8895346105
tcs__del_cpxR_lb__1,9.7693936003,3.7987227480000003,2.037648199,2.1972176255
tcs__del_cpxR_lb__2,9.9824488883,3.7694119180000003,2.052067054,2.0450202455
tcs__del_cusR_CuSO4__1,-1.4671502672,-0.781243561,-0.44291635700000004,-0.8860245095
tcs__del_cusR_CuSO4__2,-0.9053431405000001,-1.7677943950000001,-0.34229824600000003,-0.9309158215000001
tcs__del_cusR_lb__1,-4.0403466703,-3.630744213,-2.37110674,-2.2985920215
tcs__del_cusR_lb__2,-4.1882625454,-2.406378135,-2.246175388,-1.8671731464999999
tcs__del_kdpE_01-kcl__1,4.9668068007,4.191924948,2.714448958,2.2383458055
tcs__del_kdpE_01-kcl__2,4.7627739748,4.116419158,2.715254795,2.2182433455
tcs__del_kdpE_115-kcl__1,2.2754824174,0.11422016500000001,1.16803263,0.8265091595
tcs__del_kdpE_115-kcl__2,2.1247359764000002,0.10632276600000001,1.033647879,0.8443563265
tcs__del_phoB_m9__1,0.7449276719,0.8048022760000001,0.7585782010000001,1.2144832495
tcs__del_phoB_m9__2,0.9874915282000001,0.993490434,0.7315169890000001,1.2570219795
tcs__del_phoB_m9p__1,-5.6621992565,-3.296790938,-3.532424456,-2.7592120675
tcs__del_phoB_m9p__2,-5.3049439801,-2.931801064,-3.543862165,-2.6648017575000003
tcs__del_rcsB_etoh__1,13.933673325800001,-0.8897684330000001,1.844580609,0.2475501635
tcs__del_rcsB_etoh__2,13.7632376201,-0.549054157,1.945114657,0.34273692650000004
tcs__del_rcsB_lb__1,13.2006478186,1.5612023970000002,1.56487008,1.4882584545
tcs__del_rcsB_lb__2,12.980161453800001,1.6991136770000002,1.483198549,1.4789908015
tcs__del_zraR_lb__1,-4.7070925659,-4.227828967,-2.142717051,-2.0295518925
tcs__del_zraR_lb__2,-4.6254251329,-4.269221127,-2.297985764,-2.0711293385
tcs__del_zraR_zncl2__1,-2.0098923959,-1.422273012,-0.47293777200000003,-0.1757048515
tcs__del_zraR_zncl2__2,-1.8750463601,-1.253893658,-0.517598756,-0.2636573605
tcs__wt_01-kcl__1,5.1808800312,3.714189918,2.2789444530000003,2.1757531355
tcs__wt_01-kcl__2,5.3360430991,3.756961908,2.409391911,2.2346417055
tcs__wt_01xlb__1,5.7505176044,3.869067568,2.197853131,0.7337686835
tcs__wt_01xlb__2,5.4449974756,3.824199428,2.177364404,0.6954903135
tcs__wt_115-kcl__1,1.0387580192,0.15615900500000002,0.921139142,0.4690406715
tcs__wt_115-kcl__2,1.6763262473,0.036221917,0.87285931,0.43900201050000004
tcs__wt_CuSO4__1,-3.5493765233,-3.80442634,-1.8599490520000002,-2.2657093015
tcs__wt_CuSO4__2,-2.5164449177,-3.42617844,-2.105956378,-2.2505761425
tcs__wt_etoh__1,6.6275857674,0.039328874,1.8074267499999999,-0.00042488350000000004
tcs__wt_etoh__2,6.1804150856,-0.133885113,1.786514181,-0.1263777595
tcs__wt_lb__1,6.2770805133,3.039796928,2.208823291,2.2861446555000002
tcs__wt_lb__2,6.5073370193999995,3.044518938,2.303276234,2.3433017555
tcs__wt_LiAcet__1,-0.30028413730000003,-0.90643434,-1.196035818,-0.7060793375000001
tcs__wt_LiAcet__2,0.23179735780000002,0.08456669900000001,-0.47254491800000004,0.0040633085000000005
tcs__wt_LiCl__1,-0.2934696822,-1.008990735,-0.41260849800000005,-0.29241982050000004
tcs__wt_LiCl__2,-0.6161037269,-0.559590778,-0.41764954800000004,-0.1139734765
tcs__wt_m9p__1,-5.3278389639,-3.793410674,-3.78011644,-3.0886637055
tcs__wt_m9p__2,-5.4219200579,-5.082718533,-4.034769455,-3.5597368545
tcs__wt_pyr__1,5.5035502066,3.521216148,1.707591081,0.3395115725
tcs__wt_pyr__2,5.4947812032,3.549848118,1.805490065,0.37265735450000004
tcs__wt_zncl2__1,-4.3245359106,-3.494465259,-2.212460768,-2.1483377385
tcs__wt_zncl2__2,-4.3327002053,-3.503719477,-2.36781913,-2.2895358315
ros_tale__0_0_0pq__1,-5.9752292703,-6.74345351,-2.340113589,-2.6475817745
ros_tale__0_0_0pq__2,-6.1271892721,-5.76180189,-2.2232740570000002,-2.7984093215
ros_tale__0_0_250pq__1,-6.2897867981,-5.041399959,-0.788524561,-1.2553336105000001
ros_tale__0_0_250pq__2,-5.9605555448,-4.68842156,-0.688478543,-1.3868966705
ros_tale__1_mid_250pq__1,-7.7351656598,-5.328818889,-1.610578286,-2.3886745925
ros_tale__1_mid_250pq__2,-7.7392336743,-5.670828407,-1.578816465,-2.3452510405
ros_tale__1_0_0pq__1,-6.4804264134,-5.352513185,-3.338713696,-2.9117031725
ros_tale__1_0_0pq__2,-6.9364199622000005,-4.82690433,-2.8100472,-2.6304047225
ros_tale__1_0_0pq__3,-6.8718514211,-5.134199446,-2.108194477,-2.6228781684999998
ros_tale__1_0_0pq__4,-7.1889585809,-5.6150576260000005,-2.204279555,-2.8292612894999998
ros_tale__1_0_250pq__1,-6.7252697589,-6.000353454,-2.35176774,-2.9949753125000003
ros_tale__1_0_250pq__2,-6.6221261823,-5.810817146,-2.4151828,-3.1344185115
ros_tale__1_0_750pq__1,-8.6237502393,-4.815012863,-2.754570917,-2.9711011155
ros_tale__1_0_750pq__2,-8.2239944558,-6.382403246,-3.374614555,-3.5873388625000002
ros_tale__1_1_0pq__1,-7.1661335784,-3.82576783,-3.096720045,-3.2353385755
ros_tale__1_1_0pq__2,-6.8133311645,-4.060129629,-3.453013267,-3.4904977335
ros_tale__1_1_250pq__1,-7.2670651555,-3.703154049,-3.231505917,-3.5289851855
ros_tale__1_1_250pq__2,-7.4081073431,-4.9044134580000005,-3.394488242,-3.8991743545
ros_tale__1_1_750pq__1,-7.9323002368,-4.613589544,-3.181752653,-3.8388878245
ros_tale__1_1_750pq__2,-8.342670013,-4.708036574,-3.24299346,-3.6982202705000002
ros_tale__1_2_0pq__1,-8.6748327571,-3.434280375,-3.245178072,-3.5784519905
ros_tale__1_2_0pq__2,-7.5142611971,-4.001447242,-3.40515954,-3.5249896035
ros_tale__1_2_250pq__1,-7.9653683065,-3.315996589,-2.9953244310000002,-2.9799758935
ros_tale__1_2_250pq__2,-8.1023166261,-3.6941501910000003,-3.300602967,-3.4182113965
ros_tale__1_2_750pq__1,-8.2054773618,-3.293685372,-2.952458934,-3.3526316975
ros_tale__1_2_750pq__2,-7.7533788901000005,-3.197814931,-2.437029958,-2.6737957455
ros_tale__1_3_0pq__1,-8.1766307073,-1.711678418,-1.736761031,-3.3456958764999998
ros_tale__1_3_0pq__2,-8.6372859066,-1.5790843730000002,-2.112311636,-3.5571164655
ros_tale__1_3_250pq__1,-8.2799787654,-5.076234947,-3.041248601,-4.5613197255
ros_tale__1_3_250pq__2,-7.5198646844,-5.528366479,-3.091877008,-5.1711501915
ros_tale__1_3_250pq__3,-7.4264295503,-4.571916371,-3.067431426,-4.8918322815
ros_tale__1_3_250pq__4,-7.9314591488,-6.550910752,-4.647179116,-5.5718622085
ros_tale__1_3_750pq__1,-9.5268483824,-3.96346874,-2.805774332,-3.3025953445000003
ros_tale__1_3_750pq__2,-9.1107660233,-2.8695841150000003,-2.554908359,-3.5582142915
ros_tale__1_4_0pq__1,-8.6097188189,-4.191897541,-2.593114824,-3.3681964765
ros_tale__1_4_0pq__2,-7.5656289336,-3.746245587,-2.854962901,-3.3037605515
ros_tale__1_4_250pq__1,-8.7801514071,-4.107124019,-2.849761417,-3.4287406115
ros_tale__1_4_250pq__2,-7.948052166,-3.9796604870000003,-3.2932756100000002,-3.4470534114999998
ros_tale__1_4_750pq__1,-8.6788756755,-4.68247241,-3.699252665,-3.6226578985
ros_tale__1_4_750pq__2,-8.1835891147,-3.333875937,-3.234268019,-2.9531270085
ros_tale__1_4_750pq__3,-7.9402021295,-5.777759729,-4.164809997,-4.9050272765
ros_tale__1_4_750pq__4,-8.8455400814,-4.003164626,-3.967449729,-4.0048811955
ros_tale__2_mid_250pq__1,-8.0997018152,-5.616908649,-0.6106603660000001,-1.4627465775
ros_tale__2_mid_250pq__2,-7.5963022191,-5.473890515,-0.887251133,-1.7638707045
ros_tale__2_0_0pq__1,-6.9024589304,-4.319590996,-2.075962745,-1.8873082895
ros_tale__2_0_0pq__2,-7.0175378654,-4.042297888,-1.87066961,-1.6278747955
ros_tale__2_0_0pq__3,-5.8414006691,-6.104684688,-2.190384531,-2.9277499885
ros_tale__2_0_0pq__4,-6.125876697,-6.028090128,-2.1598387470000002,-3.4649916625
ros_tale__2_0_250pq__1,-6.0777201416,-5.950049674,-2.053830748,-3.2420310665
ros_tale__2_0_250pq__2,-5.9731697888,-5.899798027,-2.5226596480000003,-3.2524732935
ros_tale__2_0_750pq__1,-3.9106081741,-2.689233802,0.6395762970000001,-0.1540184375
ros_tale__2_0_750pq__2,-4.363837878,-3.129174303,0.611999533,-0.1278749335
ros_tale__2_1_0pq__1,-5.3152322962,-4.941889273,-2.413025152,-2.2455441475
ros_tale__2_1_0pq__2,-6.8580001566,-5.12399319,-2.023485779,-1.8727066085000001
ros_tale__2_1_250pq__1,-5.584245606,-4.535738078,-1.947837818,-1.2025628515
ros_tale__2_1_250pq__2,-6.1668279882,-4.994348501,-2.505740287,-1.5062737605
ros_tale__2_1_750pq__1,-5.9598517231,-4.952296715,-2.329073629,-1.5493173355
ros_tale__2_1_750pq__2,-5.9971984961,-4.341915094,-2.104282137,-1.1862457255
ros_tale__2_1_750pq__3,-5.7703675964,-4.502921722,-2.022471593,-1.1853379795
ros_tale__2_2_0pq__1,-6.8039060255,-3.5045741440000002,-1.6359481210000002,-1.4981825425
ros_tale__2_2_0pq__2,-5.9424125018,-3.076272799,-0.311498963,-0.2509316645
ros_tale__2_2_250pq__1,-6.5720550985,-4.013662668,-1.22554558,-1.4323782784999999
ros_tale__2_2_250pq__2,-5.657173357,-3.263460217,0.147221078,0.0991750825
ros_tale__2_2_750pq__1,-5.8999825406,-3.838460908,0.161423796,-0.025950432500000002
ros_tale__2_2_750pq__2,-4.8472383023,-1.839354475,1.320299313,1.1972189495
ros_tale__2_3_0pq__1,-5.5153559894,-3.816203066,-0.78749907,-0.7313023265
ros_tale__2_3_0pq__2,-5.3329440085,-3.5506581070000003,-1.464832536,-1.3151044865000001
ros_tale__2_3_250pq__1,-5.9705626269,-4.108077441,-1.812887158,-1.6900115035
ros_tale__2_3_250pq__2,-5.5980220619,-5.890983191,-1.95987574,-2.2332461635
ros_tale__2_3_750pq__1,-5.9255757031,-4.295764246,-1.769054756,-1.7592189115
ros_tale__2_3_750pq__2,-6.0358534475,-4.050683041,-1.929671659,-1.9330542405000002
ros_tale__3_0_0pq__1,-7.5807265637,-3.349726413,-2.433069134,-2.3424051565
ros_tale__3_0_0pq__2,-7.144486838,-3.854064811,-2.695055893,-2.4473434335
ros_tale__3_0_250pq__1,-7.0220673765,-4.030777325,-2.206952133,-2.5960978895
ros_tale__3_0_250pq__2,-6.3287739563,-4.569882041,-2.523780773,-2.4723414025
ros_tale__3_0_750pq__1,-5.9007554706,-5.79045536,-0.15709118400000002,-1.5289186055
ros_tale__3_0_750pq__2,-4.8396120992,-3.9551491270000003,-0.422853994,-1.9671963745
ros_tale__3_1_0pq__1,-6.2546884818,-2.958803096,-1.827565773,-2.0517769485
ros_tale__3_1_0pq__2,-6.5384760503,-2.967718675,-1.596478223,-1.6066358835
ros_tale__3_1_250pq__1,-7.0840757841,-3.561006661,-1.8072694710000001,-1.5831603995
ros_tale__3_1_250pq__2,-6.7384630071,-3.412346158,-1.557873717,-1.5765802835
ros_tale__3_1_750pq__1,-6.2668112763,-3.857238777,-1.478558455,-1.5037909025
ros_tale__3_1_750pq__2,-6.3998421996,-4.262255929,-1.886011372,-1.9503798105
ros_tale__3_2_0pq__1,-4.3472204776,-2.972170773,-1.61464647,-1.1964541345
ros_tale__3_2_0pq__2,-4.6155236404,-2.544612629,-1.39996426,-1.0649069425
ros_tale__3_2_0pq__3,-4.3758159288,-2.886329299,-1.044203814,-0.9070409075
ros_tale__3_2_0pq__4,-4.2266203121,-2.4263452770000002,-1.318251335,-0.9347984775
ros_tale__3_2_250pq__1,-5.373667165,-2.746269034,-1.473023248,-1.3658654385
ros_tale__3_2_250pq__2,-5.7596801494,-2.582439775,-1.44877247,-1.4859137685000001
ros_tale__3_2_750pq__1,-6.3948801506,-3.337979519,-2.333011762,-1.6589892695000001
ros_tale__3_2_750pq__2,-6.9766039897,-3.208468321,-2.89294737,-2.1241408185
ros_tale__3_3_0pq__1,-6.3075098608,-4.23565848,-3.369927923,-3.9744495785
ros_tale__3_3_0pq__2,-5.9305267416,-4.321794532,-3.239326081,-3.2141905515
ros_tale__3_3_0pq__3,-6.8213754934,-4.710213282,-3.191687688,-3.6454655985
ros_tale__3_3_0pq__4,-6.1991957074,-4.012728856,-3.390176843,-3.0571738275
ros_tale__3_3_250pq__1,-5.5204700976000005,-3.127062227,-2.273465262,-3.2228566785
ros_tale__3_3_250pq__2,-4.9676412566,-3.053085361,-1.916615882,-2.5558169815
ros_tale__3_3_750pq__1,-7.0763912584,-3.940481967,-2.451949426,-3.7229127925
ros_tale__3_3_750pq__2,-6.7163518173,-3.81015798,-2.697671797,-3.7395608435
ros_tale__3_4_0pq__1,-5.8674548024,-3.715126001,-2.551207462,-2.4181037995
ros_tale__3_4_0pq__2,-5.5006172909,-2.734325444,-2.733943133,-2.1586707725
ros_tale__3_4_250pq__1,-4.6293709771,-3.607673039,-2.640794547,-2.4567430605
ros_tale__3_4_250pq__2,-5.0854081003,-3.710809367,-2.32390301,-2.5681765655
ros_tale__3_4_750pq__1,-6.5317282796,-4.91359723,-3.677114811,-3.3979328245
ros_tale__3_4_750pq__2,-5.9560373191,-4.308340428,-3.35010093,-3.1404112915
