,A,BaeR,CpxR
biocide__etoh_12h__3,2.5177294853000003,0.6022980083,0.5476369948
biocide__gluald_12h__1,0.155596755,0.618435712,0.64782283
biocide__gluald_12h__2,-0.2133533567,0.4907279295,0.6166848971000001
biocide__gluald_12h__3,-0.0601700265,0.3687909217,0.4166143296
biocide__h2o2_12h__1,0.3707305963,0.3294937087,0.4644353183
biocide__h2o2_12h__2,-0.0757824439,0.3314547554,0.3873631361
biocide__h2o2_12h__3,0.5059833077,0.16406989300000002,0.3620472421
biocide__2ppoh_12h__1,3.1347174119,0.6045225951000001,0.49069207070000004
biocide__2ppoh_12h__2,3.3363185793,0.6389019610000001,0.5247988736
biocide__2ppoh_12h__3,3.2198644302,0.6154021637,0.48437750830000004
biocide__paa_12h__1,0.0905221906,0.2440010477,0.5402274567
biocide__paa_12h__2,0.0041172135,0.0438289261,0.4477182722
biocide__paa_12h__3,0.621453781,0.1057504674,0.5346366064
biocide__phe_12h__1,0.1542973813,0.48986174870000004,0.42505249580000004
biocide__phe_12h__2,0.8065318078,0.2242941487,0.3260547634
biocide__phe_12h__3,0.34976288510000003,0.5355824766,0.3009044457
biocide__pvp-i_12h__1,-0.09194757840000001,0.1180131093,0.41288596320000004
biocide__pvp-i_12h__2,0.4825487732,-0.0252478561,0.1469185071
biocide__pvp-i_12h__3,0.9465275565000001,0.0989267417,0.2849551164
biocide__bleach_12h__1,0.458517255,0.25296710110000004,0.2879734158
biocide__bleach_12h__2,0.844243853,0.044551950800000004,0.1990695176
biocide__bleach_12h__3,0.3417349863,-0.3401380242,0.2153401348
biocide__chx_12h__1,-0.0444777232,0.5874275932,0.6210973076
biocide__chx_12h__2,0.012816351,0.3422507477,0.3079542404
biocide__chx_12h__3,0.2674720331,0.3605347517,0.3017497992
biocide__bzcl_30m__1,0.8710661899000001,-0.10825198820000001,0.24787443380000002
biocide__bzcl_30m__2,0.7806784251000001,0.10503103450000001,0.2713911403
biocide__bzcl_30m__3,0.857946301,0.46752443450000003,0.3981143478
biocide__phe_30m__1,1.1693866166,-0.25190997330000003,-0.4872590184
biocide__phe_30m__2,1.9047948268,0.042312473,-0.2988255998
biocide__phe_30m__3,0.8317322815,-0.0402196577,-0.5253425834000001
biocide__pvp-i_30m__1,0.3968548414,0.3001017392,-0.0070306735
biocide__pvp-i_30m__2,-0.1168387535,0.1151977935,-0.0278435171
biocide__pvp-i_30m__3,0.027901469600000003,0.32140415920000004,-0.13465489290000002
biocide__ctrl_12h__1,0.4009249131,0.4377986974,0.1125292407
biocide__ctrl_12h__2,-0.26665890400000003,0.11492131,0.1297841109
biocide__ctrl_12h__3,-0.6045026879000001,0.23107337100000003,0.42906723500000005
biocide__ctrl_30m__1,0.1807310839,0.047563722,0.18147164000000002
biocide__ctrl_30m__2,-0.1412415069,-0.1944604381,-0.1884966687
biocide__ctrl_30m__3,-0.039489577000000005,0.146896716,0.0070250288
clpP__wt__1,-0.48429571920000003,-0.40053342950000004,0.050261673800000004
clpP__wt_DPTA__1,1.2586025728,1.1777830713,0.9897551237000001
clpP__wt__2,0.2943557238,0.1612670265,-0.1827846725
clpP__wt_DPTA__2,-0.3955754609,1.3571373955000001,1.0488952146
clpP__wt__3,0.1899399954,0.23926640300000002,0.1325229987
clpP__wt_DPTA__3,0.902347341,1.1519529448,0.9807687691
clpP__delclpP__1,0.7155365391,-0.4713579893,-0.5705465218
clpP__delclpP_DPTA__1,2.8749915288,1.0428287358,0.5584498286
clpP__delclpP__2,0.0092428253,0.0709287636,-0.2570076456
clpP__delclpP_DPTA__2,0.6845499114,1.1277529009,0.7205160624
clpP__delclpP__3,0.5185596496,-0.3185759637,-0.043471755
clpP__delclpP_DPTA__3,2.1102330921,1.0891601011,0.7394845426000001
colombos2__delydcR__1,-0.7756305076000001,0.0515564685,-0.3876124234
colombos2__delydcR__2,0.6718565411,0.3959702838,-0.1453241484
colombos2__delydcR__3,-1.5839343294,-0.2479411944,-0.0984703452
colombos2__delyjiR__1,-2.1771038633,-0.0107964159,-0.0906163041
colombos2__delyjiR__2,-0.49688475590000003,0.0805780457,0.2294722149
colombos2__delyjiR__3,-1.7700887425,0.161183924,0.0011860943
colombos2__wt__1,-1.3051228397,0.2192241171,0.0920301508
colombos2__wt__2,1.4186720863,-0.15605545040000002,-0.1807523405
colombos2__wt__3,-0.1135492466,-0.0631686667,0.08872218970000001
crp_k100__ar1_ar2__1,2.8518481529,0.9826128247,-0.2011027787
crp_k100__ar1_ar2__2,1.6773345366,0.35069317440000003,-0.24713623170000001
crp_k100__ar1_ar2__3,1.6304633224,0.9150727921,0.23623161580000002
crp_k100__wt__1,-0.7212363559,-0.0232415945,-0.07052645290000001
crp_k100__wt__2,0.5112798539,-0.0472513778,-0.042945122
crp_k100__wt__3,0.20995650200000002,0.0704929723,0.11347157490000001
crp_k100__K100Q__1,2.2145767637000002,0.082328105,0.2069536948
crp_k100__K100Q__2,0.867200089,0.22159042780000002,0.018541971100000002
crp_k100__K100R__1,0.1023696377,-0.2137045041,-0.1901912003
crp_k100__K100R__2,0.2981573597,0.5782465844,-0.3734914829
crp_k100__K100R__3,-0.674657108,-0.029597443,0.0187520745
csrA__wt_t00__1,0.0364083386,-0.1423778346,-0.2751065314
csrA__wt_t02_30__1,0.1060088465,-0.4156023511,-1.133433744
csrA__wt_t05__1,-0.6371502924,-0.9320935581,-1.389520064
csrA__wt_t10__1,0.4154510783,-2.8961014429,-0.805003582
csrA__wt_t15__1,1.7819486496999999,-2.507528456,-1.042658216
csrA__delcsrA_t00__1,-1.608626153,-0.22166481640000002,0.3141520179
csrA__delcsrA_t02_30__1,-0.603578798,-0.6529420872,-0.8477750493
csrA__delcsrA_t05__1,-0.5235323114,-1.0100019874,-1.1643127129
csrA__delcsrA_t10__1,-0.1628113303,-3.0908742706,-1.0997504226
csrA__delcsrA_t15__1,1.3896376844,-2.6516759564,-1.228388075
csrA__wt_t00__2,-0.0364083386,0.1423778346,0.2751065314
csrA__wt_t02_30__2,0.3408273784,-0.1315013045,-0.8074667914
csrA__wt_t05__2,0.2250689912,-0.9585960437000001,-1.2731743385
csrA__wt_t10__2,0.8739120754,-2.8937550129,-0.5467326714
csrA__wt_t15__2,2.9143799294,-2.3918450487,-0.8164605172
csrA__delcsrA_t00__2,-1.5209787097,-0.1604288046,0.1571673827
csrA__delcsrA_t02_30__2,0.4193444056,-0.6573707155,-1.1521207482
csrA__delcsrA_t05__2,-0.5958454432,-1.3013882983,-1.3835066158
csrA__delcsrA_t10__2,0.8582550341,-2.2907704883,-0.7790367175
csrA__delcsrA_t15__2,1.6462446351,-2.1077890548,-0.8233035831000001
cstr_pfr__str_0005m__1,0.09944851090000001,0.037684574000000005,-0.1217455139
cstr_pfr__str_0010m__1,0.41059752600000005,-0.1659289985,-0.3389276491
cstr_pfr__str_0025m__1,0.248893773,-0.0298201431,-0.138563818
cstr_pfr__str_0045m__1,0.33934606370000003,-0.1346836411,-0.0397707287
cstr_pfr__str_0075m__1,0.2740044249,-0.1603558555,-0.0930839002
cstr_pfr__str_0120m__1,0.1361874511,-0.0630060791,-0.1356623888
cstr_pfr__str_0210m__1,0.378568964,0.0541634873,-0.15908430310000002
cstr_pfr__str_0330m__1,0.7242181446,0.0310565154,-0.1312780015
cstr_pfr__str_1500m__1,0.6333603356,0.0513693447,-0.067692103
cstr_pfr__str_1560m__1,0.4720680159,-0.0903760598,-0.2008829628
cstr_pfr__str_1680m__1,0.043103487100000004,-0.041601352200000004,-0.14715383240000002
cstr_pfr__str_ref1__1,0.14548611150000001,0.0082181055,0.0046908708
cstr_pfr__str_ref2__1,-0.1970404955,-0.0030523979,-0.0598075688
cstr_pfr__str_ref3__1,0.0917512709,-0.0278389139,-0.0263673834
cstr_pfr__pfr_P5_0005m__1,0.7603471263,-0.1603745593,0.2084274822
cstr_pfr__pfr_P5_0010m__1,0.802178947,-0.0985031985,-0.0578283121
cstr_pfr__pfr_P5_0025m__1,0.7279372473,-0.044343109400000004,0.09885933470000001
cstr_pfr__pfr_P3_0025m__1,0.21304318460000002,-0.13745226970000002,0.0155853003
cstr_pfr__pfr_P1_0025m__1,0.0511266338,-0.1323941851,-0.19138731380000001
cstr_pfr__pfr_P5_0045m__1,0.8059957258,-0.23664542400000002,0.0211351258
cstr_pfr__pfr_P5_0120m__1,0.5966110265,-0.15236134070000001,0.1038648655
cstr_pfr__pfr_P3_0120m__1,0.5218526379,-0.1811905681,-0.1534282751
cstr_pfr__pfr_P1_0120m__1,2.299566425,-0.2360631937,-0.2519126961
cstr_pfr__pfr_P5_0210m__1,1.03327591,-0.24460865550000002,0.034615735200000004
cstr_pfr__pfr_P5_1500m__1,0.6735921445,-0.0563139701,0.1234423338
cstr_pfr__pfr_P3_1680m__1,0.46002187790000004,0.0952835197,0.0215511185
cstr_pfr__pfr_P5_1680m__1,0.5972200862,-0.1355921702,0.1003255143
cstr_pfr__pfr_P1_1680m__1,0.4849605515,0.0316245106,-0.012467204400000001
cstr_pfr__str_0005m__2,0.4415305385,-0.413271241,-0.3241700716
cstr_pfr__str_0010m__2,0.2049398191,-0.3539550533,-0.3818170013
cstr_pfr__str_0025m__2,0.3936161117,-0.23411902480000002,-0.1884153708
cstr_pfr__str_0045m__2,0.025845596800000002,-0.2596383378,-0.1638353112
cstr_pfr__str_0075m__2,0.34105067310000003,-0.23849073780000002,-0.1936216767
cstr_pfr__str_0120m__2,0.2714189355,-0.24792498440000002,-0.1710308344
cstr_pfr__str_0210m__2,0.1824636346,-0.0583139068,-0.0425711217
cstr_pfr__str_0330m__2,0.2781505219,-0.0341830716,-0.1662376502
cstr_pfr__str_1500m__2,0.23735877800000002,-0.0957863847,-0.23461402680000001
cstr_pfr__str_1560m__2,0.2030310296,0.0866572867,-0.0409192558
cstr_pfr__str_1680m__2,0.2579954118,0.1067042249,-0.0266458722
cstr_pfr__str_ref1__2,-0.14548611150000001,-0.0082181055,-0.0046908708
cstr_pfr__str_ref2__2,0.0132627903,-0.13006195140000001,0.0002925998
cstr_pfr__str_ref3__2,-0.1714161347,0.0319599613,-0.06573088740000001
cstr_pfr__pfr_P5_0005m__2,0.8478656295,-0.2296531354,0.0100782945
cstr_pfr__pfr_P5_0010m__2,0.3592575676,-0.2683958214,-0.1873353106
cstr_pfr__pfr_P5_0025m__2,0.1194096958,-0.180198774,-0.0937267255
cstr_pfr__pfr_P3_0025m__2,0.0250673184,-0.1579096304,-0.2486352276
cstr_pfr__pfr_P1_0025m__2,0.1979961489,-0.2806139234,-0.3590823829
cstr_pfr__pfr_P5_0045m__2,0.1025348263,-0.1072853815,0.0261429662
cstr_pfr__pfr_P5_0120m__2,0.16960381730000001,-0.10772682830000001,-0.0841844714
cstr_pfr__pfr_P3_0120m__2,0.2065764889,-0.1312994103,-0.1266065058
cstr_pfr__pfr_P1_0120m__2,1.2759619596,-0.2230841325,-0.14106875970000002
cstr_pfr__pfr_P5_0210m__2,0.8718245997,-0.2557576071,-0.2205103502
cstr_pfr__pfr_P5_1500m__2,0.5320011611000001,0.0366444281,0.0590101793
cstr_pfr__pfr_P3_1680m__2,0.6257524245,-0.0090275275,0.0521620451
cstr_pfr__pfr_P5_1680m__2,0.3241234847,-0.10584250910000001,-0.0258938985
cstr_pfr__pfr_P1_1680m__2,0.1559446127,-0.0241136806,-0.1032165936
darobactin__daro_30m__1,1.2931623497,1.0293444089,0.2669631187
darobactin__daro_30m__2,2.0614803823,0.48660120440000004,0.3658684269
darobactin__solv_1h__1,-2.4637045392,0.7482556989,0.7223273944
darobactin__solv_1h__2,-1.9041229135000002,0.6552142586,0.5849123486000001
darobactin__daro_1h__1,3.7671111574,1.1207194747,1.3893453303
darobactin__solv_1h__3,-1.0622601362,1.2120755743,0.4714827854
darobactin__daro_1h__2,2.5375475445999998,0.5096562121,1.2542593153000001
darobactin__daro_1h__3,3.0715060859,0.8064986675,1.5268966248
darobactin__daro_30m__3,0.9073389891,0.4013196309,0.3034616704
darobactin__solv_30m__1,-0.20744099670000002,0.3310773428,-0.1095929654
darobactin__solv_15m__1,0.5390447363,-0.07323497820000001,-0.029326970400000003
darobactin__solv_15m__2,-0.392286444,0.1324299001,0.0024235085
darobactin__daro_15m__1,5.3467405519,-0.020113123400000002,0.9133880542
darobactin__solv_15m__3,-0.1467582923,-0.0591949219,0.0269034619
darobactin__daro_15m__2,5.3023120158,0.4278154844,0.7690954945
darobactin__daro_15m__3,6.6534266177,0.787072289,1.0862577141
darobactin__solv_30m__2,0.13975156630000002,-0.31911222040000004,-0.10036468750000001
darobactin__solv_30m__3,0.6672737036,0.3347434747,-0.2475138388
ddp__pNT3_aroP__1,-1.0211060702,0.6106028228,-0.2064574833
ddp__pNT3_aroP__2,-1.5460941007,0.5047380946,-0.43835466970000003
ddp__pNT3_bamC__1,-2.7815159523,0.8509139909000001,-0.2362294128
ddp__pNT3_bamC__2,-2.126314611,0.5481942239,-0.3865531005
ddp__pNT3_cusA__1,-4.1709287488,-0.1881230773,-0.1390282497
ddp__pNT3_cusA__2,-3.9577688514,-0.4821723242,-0.2271688732
ddp__pNT3_hemX__1,-0.6513037342,0.5115289111,-0.5015572156
ddp__pNT3_hemX__2,-0.4565671187,0.4844490972,-0.6067976934
ddp__pNT3_empty__1,-0.1011587642,-0.0276185655,-0.010644213900000001
ddp__pNT3_empty__2,0.1011587642,0.0276185655,0.010644213900000001
ddp__pNT3_topA__1,-2.2624628424,1.0708244264,-0.3352189608
ddp__pNT3_topA__2,-1.9057251943,1.2019118464,-0.6721323308
ddp__pNT3_yicR__1,-2.7495766722,0.17972577150000002,0.1476436076
ddp__pNT3_yicR__2,-3.0868805596,-0.25739105030000003,-0.0966378355
ddp__pNT3_yqjD__1,-1.0425176621,0.6589943926,0.2112157296
ddp__pNT3_yqjD__2,-1.4126131475,0.2255490625,-0.0454320265
ecomics__del_gabT__1,0.3752057096,0.0481708103,-0.1190208261
ecomics__del_gabT__2,-0.3752057096,-0.0481708103,0.1190208261
ecomics__del_putP__1,-0.1290630552,-0.1673327394,0.178413759
ecomics__del_putP__2,-0.8770266556,-0.0310985634,-0.0056325565
ecomics__del_entF__1,-0.9012831603,-0.0076868053,-0.24440209270000002
ecomics__del_entF__2,-0.43714197390000004,0.4632094077,0.1766298858
ecomics__del_entF__3,0.1133660741,-0.0060837096,0.0095472809
ecomics__del_cysA__1,-0.5428030163,0.032429926000000005,0.087424261
ecomics__del_cysA__2,-0.4459651549,-0.24851933350000002,0.2269580525
elyC__wt_21C__1,0.6346507726,0.2730268903,-0.13160778680000002
elyC__wt_21C__2,0.8835241098000001,0.2871012994,-0.1224522514
elyC__wt_21C__3,0.6945426642,0.3301109565,-0.11992247630000001
elyC__wt_37C__1,-0.0670934781,-0.0377011817,-0.0693209092
elyC__wt_37C__2,0.0202009154,-0.037244351200000005,0.1503790572
elyC__wt_37C__3,0.0468925627,0.0749455329,-0.08105814800000001
elyC__delelyC_21C__1,0.5727383747,0.24656357450000002,-0.1432799142
elyC__delelyC_21C__2,0.0993663486,0.1355896349,0.0971216127
elyC__delelyC_21C__3,0.43104879090000003,-0.012027756,-0.1209024392
elyC__delelyC_37C__1,0.048211846,0.1648294069,0.1069245982
elyC__delelyC_37C__2,0.0902211711,0.076526098,-0.0377297082
elyC__delelyC_37C__3,-0.023429637200000002,0.0410678198,0.0623433261
evo_acid_w__F9_2__1,-0.9867365751,0.370329625,0.1168458395
evo_acid_w__F11_1__1,-1.5200615761,-0.0727116033,0.1024958552
evo_acid_w__F11_1__2,-1.4760574589,-0.2271152462,-0.027054930600000002
evo_acid_w__F11_1__3,-0.9905106534,-0.011578190700000001,0.2930065381
evo_acid_w__wt__1,-1.254305501,0.036568912,0.1762148048
evo_acid_w__F11_2__1,0.1612499831,-0.24993104430000002,0.5482148519
evo_acid_w__B11_2__1,-0.9041563128000001,0.1275205848,0.6090409476
evo_acid_w__F11_2__2,1.2647012798000001,-0.06284308920000001,0.5170535655
evo_acid_w__wt__2,-1.2495598722,0.0029470436,-0.05028569
evo_acid_w__B11_1__1,0.7489308929,-0.11047692690000001,0.1846504888
evo_acid_w__H9_1__1,-0.9402952754,-0.6735057758,-1.7243275941
evo_acid_w__H9_2__1,-1.3038095717,-0.3315944333,-0.024634011100000002
evo_acid_w__B11_2__2,-0.9335745925000001,0.15675726980000002,0.6020970956
evo_acid_w__wt__3,-1.7047049411000001,-0.0205729626,-0.0671102244
evo_acid_w__H9_2__2,-1.5038010631,-0.12725587430000002,-0.0801522576
evo_acid_w__B11_2__3,-0.8872627066000001,0.1008149968,0.6737933368
evo_acid_w__F11_2__3,1.3175001634,0.0810575832,0.45720679700000005
evo_acid_w__F9_2__2,-1.3618519025,0.46142059890000003,0.27701676410000003
evo_acid_w__wt__4,0.5544606161,-0.12826905600000002,0.0938320029
evo_acid_w__wt__5,0.6202465697,0.1287641973,0.0894754707
evo_acid_w__wt__6,1.0151784193,0.32820741270000003,-0.2736240874
evo_acid_w__H9_1__2,-0.6113352614,-0.60325934,-1.6429957246
evo_acid_w__F9_1__1,-2.4213809819,-0.1668488061,0.1160762797
evo_acid_w__F9_1__2,-2.4165585178,-0.068416803,0.0839656367
evo_acid_w__B11_1__2,1.043009063,0.3304723127,0.2031246137
evo_acid_w__H9_2__3,-1.8878457566,-0.3444652179,0.059061844
evo_acid_w__wt__7,-0.0674365371,-0.11330979220000001,0.1169916908
evo_acid_w__F9_1__3,-2.763134319,-0.2432062751,0.0844062733
evo_acid_w__F9_2__3,-1.073197876,0.14966967150000002,0.18376677560000002
evo_acid_w__wt__8,0.9314203882000001,-0.3504049972,-0.1237522085
evo_acid_w__B11_1__3,0.878522777,0.0966489425,0.1897072569
evo_acid_w__wt__9,1.154700858,0.11606924240000001,0.0382582411
evo_bz__c3_1_bz__1,-0.1634737144,0.10990287850000001,-0.33151754910000003
evo_bz__c3_1_bz__2,-0.4223304808,-0.1874771892,-0.1332014449
evo_bz__c3_1_bz__3,0.20636906260000001,-0.373747897,-0.1381783195
evo_bz__c3_1_bz__4,0.2022375008,-0.3445581814,-0.0419448371
evo_bz__g5_1_bz__1,-2.0999838168,0.0476094092,-0.07253444170000001
evo_bz__g5_1_bz__2,-1.5553302483,-0.6854288721,-0.4440657738
evo_bz__g5_1_bz__3,-1.6929913167000001,-0.14479689,-0.1382794621
evo_bz__g5_1_bz__4,-1.8015003380999999,-0.326895101,-0.1702060812
evo_bz__g5_1_bz__5,-1.2402649495,-0.1659282219,-0.2025075809
evo_bz__g5_1_bz__6,-1.4543762431,-0.1896084604,-0.1111644247
evo_bz__w3110d13__1,-0.822132835,0.481987056,-0.0231601011
evo_bz__w3110d13__2,-0.8373770126000001,-0.1054509077,0.3573503233
evo_bz__w3110d13__3,0.5065891107,-0.2923238329,-0.1784814844
evo_bz__w3110d13__4,-0.6344346143,0.2881484774,0.11393533900000001
evo_bz__w3110d13__5,1.0810976617999999,-0.2167757573,-0.2216552118
evo_bz__w3110d13__6,0.7062576894,-0.15558503540000002,-0.047988864900000004
evo_bz__w3110d13_bz__1,-0.9628585942000001,-0.0185952255,0.09095173570000001
evo_bz__w3110d13_bz__2,-1.133914982,-0.41456872850000004,-0.024713051700000002
evo_bz__w3110d13_bz__3,-0.0584468667,-0.3458523161,0.1121055624
evo_bz__w3110d13_bz__4,-0.6139836422,-0.23472862730000002,0.1862578631
evo_bz__c3_1_bz__5,0.09278882670000001,-0.1159853556,-0.3290399509
evo_bz__c3_1_bz__6,-0.0951243007,-0.2039809984,-0.48705604830000004
evo_bz__g5_2_bz__1,-0.2869859426,-0.49598845830000005,-0.1538052907
evo_bz__g5_2_bz__2,-0.0407123192,-0.5659423268,-0.18493456090000002
evo_bz__g5_2_bz__3,0.2935183095,-0.48242889110000003,-0.18630295970000002
evo_bz__g5_2_bz__4,-0.6494014864000001,-0.10556991680000001,0.3670534203
evo_bz__g5_2_bz__5,-0.5317687057,-0.0064064007,0.3920862734
evo_bz__g5_2_bz__6,-0.367579129,-0.0471136957,0.3835933978
evo_bz__w3110d13_bz__5,0.6364548992,-0.38749269010000004,0.11542331600000001
evo_bz__w3110d13_bz__6,0.4719180952,-0.39748362060000003,0.0844924779
evo_bz__a1_1_bz__1,0.9945298651000001,0.2652037674,1.0897858248
evo_bz__a1_1_bz__2,-0.8986136578,-0.1217198213,1.2371729595
evo_bz__a1_1_bz__3,0.7442681171000001,-0.7192946842,1.0646058979
evo_bz__a1_1_bz__4,-1.0921925003,0.2880957203,1.0078764544
evo_bz__a1_1_bz__5,0.453062257,-0.628572644,0.9463870165
evo_bz__a1_1_bz__6,0.9067938333000001,-0.6226060502,1.0722413734
evo_metab__wt__1,1.5061779275,0.006849102300000001,0.42934506310000004
evo_metab__del_zwf__1,0.2675634736,-0.2014611085,0.349692112
evo_metab__zwf_ale1__1,0.5029254563000001,0.2351762764,0.2498593021
evo_metab__zwf_ale2__1,1.0228464126,0.3304090746,-0.28456256900000004
evo_metab__del_ppk__1,-0.6418898297,0.0636411905,-0.6794094024
evo_metab__ppk_ale1__1,-1.183265761,0.1339214996,-0.9080935587000001
evo_metab__ppk_ale2__1,0.22610985930000002,0.1202546451,0.06443553
evo_metab__ppk_ale3__1,-0.6020023362,0.2274501619,-0.1007906664
evo_metab__del_dapF__1,1.3276597318,-0.24024074280000002,0.0972707941
evo_metab__dapF_ale1__1,0.7732460453000001,-0.2890643786,0.2105139865
evo_metab__dapF_ale3__1,-0.3013136173,-0.5260022181,-0.0825145317
evo_metab__del_entC__1,-0.1535303688,0.0022250846,-0.46108296270000004
evo_metab__entC_ale1__1,-0.052173430400000005,-0.41812104790000004,-0.2255620557
evo_metab__entC_ale2__1,0.35561833670000004,-0.0687391848,0.3351334701
evo_metab__del_dgk__1,-0.7635152907,-0.25480822940000003,-0.42369144810000003
evo_metab__dgk_ale1__1,-0.9480677510000001,0.0017357118,-0.4865265509
evo_metab__dgk_ale2__1,-0.8578086787,0.4383455868,-0.5945639628
evo_metab__dgk_ale3__1,-0.5092672726,0.17418801450000002,-0.10043155120000001
evo_metab__wt__2,-1.0253265097,-0.0801649355,-0.267338644
evo_metab__del_zwf__2,-0.4030170451,0.4789858837,-0.1698473996
evo_metab__zwf_ale1__2,-1.9243373047,-0.1828731613,-0.504854488
evo_metab__zwf_ale2__2,-1.5002002204,-0.2449349322,-0.3928416974
evo_metab__del_ppk__2,-1.243107886,-0.3042818497,-0.3014839036
evo_metab__ppk_ale1__2,-1.090710576,0.09489050510000001,-0.5503437983
evo_metab__ppk_ale2__2,-0.4623676085,0.1253672124,-0.9198102947000001
evo_metab__ppk_ale3__2,-0.6679479817,-0.0675230089,-0.718766828
evo_metab__del_dapF__2,-0.8353326289,0.1155499477,-0.5556702269
evo_metab__dapF_ale1__2,-2.3271932556,-0.3576977602,-0.6087219654
evo_metab__dapF_ale3__2,-0.9784561873000001,0.0255080362,-0.368221721
evo_metab__del_entC__2,-1.1803412139,-0.4304144219,-0.40167385310000003
evo_metab__entC_ale1__2,-0.0176249811,-0.3785232237,-0.3170440785
evo_metab__entC_ale2__2,-0.384483619,-0.0033643182000000003,-0.7864090192000001
evo_metab__entC_ale3__1,-1.1941795721,-0.1195948212,-0.44031152840000004
evo_metab__del_dgk__2,-0.7682256324000001,-0.4396774876,-0.3318387024
evo_metab__dgk_ale1__2,-1.4668755168,-0.1566380114,-0.5513330144
evo_metab__dgk_ale2__2,-1.2065884697,-0.0410046525,-0.8250874175
evo_metab__dgk_ale3__2,-2.1786916202,-0.4130874168,-0.4833633171
evo_metab__wt__3,-0.4808514178,0.07331583330000001,-0.1620064192
evo_metab__del_zwf__3,-0.8241908495,-0.3593495342,-0.48958256440000003
evo_metab__zwf_ale1__3,-1.9623516065,-0.1257749398,-0.4065506169
evo_metab__zwf_ale2__3,-0.6993385773,-0.156777718,-0.532395069
evo_metab__del_ppk__3,-0.2584466669,0.0068937792,-0.2328720968
evo_metab__ppk_ale1__3,-0.5616843785,-0.2770382068,-0.40044192710000004
evo_metab__ppk_ale2__3,-0.4016437376,-0.0020852886,-0.4818347753
evo_metab__ppk_ale3__3,-0.3801198333,-0.3026356786,-0.2546157579
evo_metab__del_dapF__3,-0.6604977195,0.23042003830000002,-0.6566580883
evo_metab__dapF_ale1__3,-2.0244517248,0.1731496327,-0.7421686731
evo_metab__dapF_ale3__3,-1.2322420954,0.48736994980000004,-0.6787338459000001
evo_metab__del_entC__3,-0.766597021,-0.49423906230000003,-0.37284269740000003
evo_metab__entC_ale1__3,-0.2927687097,-0.1015455383,-0.42366776580000004
evo_metab__entC_ale2__3,-0.8682785433,0.002121478,-0.6914863225
evo_metab__entC_ale3__2,-0.5644471287,-0.1603468671,-0.7230838301
evo_metab__del_dgk__3,-0.1307414667,-0.5828564051,-0.4130373771
evo_metab__dgk_ale1__3,-1.4981999546,-0.2343516091,-0.509219433
evo_metab__dgk_ale2__3,-1.0296746313,-0.086470472,-0.8974718884
evo_metab__dgk_ale3__3,-1.2075588007,-0.3711699412,-0.4257217213
flag_reg__wt__1,0.5372860721,0.1191460195,0.020335840600000002
flag_reg__del_fliA__1,-2.5833150429,-0.048942101200000004,-0.0184909293
flag_reg__del_flhC__1,-2.7169674255,-0.033800135700000004,-0.0492823468
flag_reg__del_flhD__1,-3.8971489382,0.19450742540000002,-0.0604251336
flag_reg__wt__2,-0.5372860721,-0.1191460195,-0.020335840600000002
flag_reg__del_fliA__2,-2.8145982895,-0.026935024800000002,0.0838556715
flag_reg__del_flhC__2,-0.6687359734,-0.1424793564,0.046098688900000004
flag_reg__del_flhD__2,-2.7294413644,-0.2063231143,-0.1668641971
flgM__27C__1,-0.5043095506,-0.2436282816,0.1545497002
flgM__27C__2,0.0889776778,-0.4130638192,0.0553338096
flgM__27C__3,0.2997612409,-0.5779122095,0.0788436764
flgM__32C__1,1.1164161515,0.1363001426,0.0694455252
flgM__32C__2,0.4126134154,-0.2398257795,0.1154743923
flgM__32C__3,0.0837666255,-0.1037209921,0.0859990135
flgM__37C__1,0.2695012683,0.11396976340000001,-0.0711654266
flgM__37C__2,0.0475628141,-0.10540960910000001,-0.016146395
flgM__37C__3,-0.3170640824,-0.008560154300000001,0.0873118216
flgM__42C__1,-1.9445243565,0.26712960010000003,0.4685359932
flgM__42C__2,-1.7079749341000001,0.3061681217,0.6167929325
flgM__42C__3,-1.6558561002,0.3799742283,0.5296781177000001
histone__untreated__1,-0.050974094500000004,-0.0099214856,-0.1105050858
histone__untreated__2,0.26379553840000003,0.0881612324,0.2694673586
histone__untreated__3,-0.21282144390000002,-0.07823974680000001,-0.1589622728
histone__10ug_H2A__1,0.3579504365,-0.1722368779,-0.2038576902
histone__10ug_H2A__2,0.07510941260000001,-0.1367587686,-0.028602246100000003
histone__10ug_H2A__3,-0.16283076500000002,-0.1144150906,-0.2031477816
histone__50ug_H2A__1,0.6462948632000001,-0.1375076992,-0.2184015159
histone__50ug_H2A__2,0.8926647882000001,-0.13699728390000002,-0.1585762655
histone__50ug_H2A__3,0.6526758983000001,-0.3026879682,-0.3233503708
histone__100ug_H2A__1,0.9260617884000001,-0.3191898877,-0.023002259100000002
histone__100ug_H2A__2,1.0069004774,-0.1646285844,-0.116712119
histone__100ug_H2A__3,1.0208786283,-0.6211976163,-0.1368007856
hns__del_hns_spike__1,0.1226130829,0.2460396597,-0.2702563025
hns__del_hns_spike__2,1.8586622372,0.251950616,0.3272404
hns__del_hns__1,0.040976151700000005,0.2640628521,-0.3281931207
hns__del_hns__2,1.0082599296,0.4676365108,-0.043753475
hns__wt_spike__1,0.6452137958,0.2613769831,-0.6003882434000001
hns__wt_spike__2,0.161439459,0.9358567846,0.7022607658000001
hns__wt__1,0.11224827050000001,-0.20780327140000002,-0.2739927064
