,A,Fis,Crp,Cra
elyC__delelyC_21C__1,1.8053887007,0.49311404880000004,0.2526018277,0.10578371680000001
elyC__delelyC_21C__2,2.2330664865,0.3537705665,0.270288277,0.2917264067
elyC__delelyC_21C__3,2.3018214435,0.4754753548,0.2825423364,0.1777440115
elyC__delelyC_37C__1,0.1749032966,-0.07399847500000001,0.1877512114,0.009816943600000001
elyC__delelyC_37C__2,0.1436268283,0.023794240600000002,0.1650360705,0.0028539415
elyC__delelyC_37C__3,0.47272699170000004,0.051536903700000004,0.1449864971,0.0076040322
evo_acid_w__F9_2__1,2.3516042681,-0.5093630551,0.45212262210000004,0.217797859
evo_acid_w__F11_1__1,-1.7709847781999999,1.0448240257,0.0515482653,0.3817420467
evo_acid_w__F11_1__2,-1.2965252253,1.3949710003,0.1563578091,0.0725812748
evo_acid_w__F11_1__3,-1.4427365469,1.0738428079,0.2851965476,0.44919307610000003
evo_acid_w__wt__1,1.9099261981,0.6279534183000001,0.1360930215,-0.0609622073
evo_acid_w__F11_2__1,0.069313103,-0.3132555821,0.1526137479,0.6252667381
evo_acid_w__B11_2__1,-0.3444961556,-0.5439089850000001,0.7470542054,1.2889337574
evo_acid_w__F11_2__2,-1.7298155505000001,0.17956962810000002,-0.0330759678,0.6075660936
evo_acid_w__wt__2,-0.2326560648,0.7840393394,0.0921125297,0.0863890039
evo_acid_w__B11_1__1,-2.3552346939,-0.7293389396000001,0.0459686345,1.7152523092
evo_acid_w__H9_1__1,-2.5813035763,1.7779188062,-1.7381250601,-2.0031697105
evo_acid_w__H9_2__1,-1.0989535903,0.8633148513000001,0.1060124781,0.3546445131
evo_acid_w__B11_2__2,-0.5750454432000001,-1.0434970141,0.7565786075,1.39013901
evo_acid_w__wt__3,0.057209508900000004,0.0930653412,-0.0206086192,0.021809976000000002
evo_acid_w__H9_2__2,-0.9640866165,0.8914924555,0.2191212157,0.12475231960000001
evo_acid_w__B11_2__3,-0.3939617358,-1.0738210716,0.701250519,1.4450520969
evo_acid_w__F11_2__3,-1.8569917954,-0.2266908223,0.0061447768000000005,0.8090461283
evo_acid_w__F9_2__2,1.9961858516,-0.6093413027,0.5616911087,-0.09832871280000001
evo_acid_w__wt__4,-0.5051670328,0.40157637690000003,0.2075206627,-0.20560811410000002
evo_acid_w__wt__5,-0.6895855861,0.3272748216,0.07605606050000001,-0.0694291011
evo_acid_w__wt__6,-0.9605101530000001,-1.0786827828,-0.0229880917,0.0506369624
evo_acid_w__H9_1__2,-2.4881264142,1.9312242163,-1.7211272316000001,-2.1001270599
evo_acid_w__F9_1__1,0.2955945444,0.3365615109,0.33539129840000004,0.5066841750000001
evo_acid_w__F9_1__2,0.047231565100000004,-0.0320332964,0.37333806010000004,0.34524607700000004
evo_acid_w__B11_1__2,-2.2289362516,-0.2880409691,0.1027974094,1.1038660302
evo_acid_w__H9_2__3,-0.8484617419,0.7264883133000001,0.2542201101,0.34977235560000003
evo_acid_w__wt__7,0.0606936426,0.39649041,0.1532453091,-0.11484903540000001
evo_acid_w__F9_1__3,0.4644955173,0.1565363276,0.3624937381,0.46375516120000004
evo_acid_w__F9_2__3,2.5117389856,-0.47432717080000003,0.5062765036,0.019701898500000002
evo_acid_w__wt__8,-0.3588497668,-0.5565783599,-0.3269025847,0.28949748670000003
evo_acid_w__B11_1__3,-2.6437637139,-0.3943179129,0.09219357800000001,1.2695602862
evo_acid_w__wt__9,0.7189392539,-0.9951385649000001,-0.2945282879,0.0025150290000000002
evo_bz__c3_1_bz__1,1.4331024095,0.1932521797,-0.385355987,0.1410654555
evo_bz__c3_1_bz__2,4.3659135993,-0.11367726040000001,-0.6930073795,-0.3910279091
evo_bz__c3_1_bz__3,3.5732395465,-0.055300474200000005,-0.7755713976,-0.44154555100000004
evo_bz__c3_1_bz__4,3.3977781651,-0.050601478500000005,-0.6576656106000001,-0.5611262142
evo_bz__g5_1_bz__1,3.1553655016,1.0977452562,-0.1341736427,-0.3524552037
evo_bz__g5_1_bz__2,0.2914121152,1.6067169379,-0.5635110724,-0.9056081209
evo_bz__g5_1_bz__3,2.7260406682,1.2337849475,-0.1045202598,-0.42057476650000003
evo_bz__g5_1_bz__4,2.5509260664999998,0.6487535925,-0.5514972085000001,-0.8672213773
evo_bz__g5_1_bz__5,2.0716108001,0.4313845094,-0.5907591781,-0.4427516114
evo_bz__g5_1_bz__6,1.9307287001,0.5314377797000001,-0.5379723588,-0.7546014759
evo_bz__w3110d13__1,-0.9827264071,-0.090826216,0.5884298837,0.2453102094
evo_bz__w3110d13__2,-0.1310563244,-0.2275090176,0.5233414408,0.2457475705
evo_bz__w3110d13__3,0.7998693282,0.1507807058,-0.4463507494,-0.1542627521
evo_bz__w3110d13__4,-0.9464704747,0.26904184870000003,0.4678437997,0.0075343704000000004
evo_bz__w3110d13__5,0.9146935218000001,-0.3688713026,-0.7475887920000001,0.0001936499
evo_bz__w3110d13__6,0.3456903562,0.2673839818,-0.38567558290000004,-0.3445230481
evo_bz__w3110d13_bz__1,2.1094008175,0.0702495348,-0.31419254,0.16050459590000002
evo_bz__w3110d13_bz__2,2.2890292423,0.4987004956,-0.1236678575,-0.4633537807
evo_bz__w3110d13_bz__3,4.0240202458,-0.31829052350000003,-0.7518707576,-0.6211628684
evo_bz__w3110d13_bz__4,3.0036552389,0.1930835283,-0.10341932470000001,0.1250024662
evo_bz__c3_1_bz__5,2.0060809753,-0.0603150774,-0.31786441590000003,-0.2019906604
evo_bz__c3_1_bz__6,1.3360304456,0.030817823100000002,-0.5855978821,-0.17092258500000002
evo_bz__g5_2_bz__1,3.7128935994,0.0996390431,-0.9927383484000001,-0.9988764317000001
evo_bz__g5_2_bz__2,3.4975598478,-0.2768246876,-1.0770436531,-0.8214510339000001
evo_bz__g5_2_bz__3,3.522812189,-0.6500033339,-0.9319843065000001,-0.7360847575
evo_bz__g5_2_bz__4,2.6724376894,-0.3410497646,-0.3099510565,0.3966041554
evo_bz__g5_2_bz__5,2.5267868358,-0.4108510732,-0.5033890871,0.3910926074
evo_bz__g5_2_bz__6,2.1385386209,-0.0331066877,-0.43552663960000004,-0.035026353
evo_bz__w3110d13_bz__5,4.2191149915,-0.5176073027,-0.9039885132000001,-0.2532313176
evo_bz__w3110d13_bz__6,3.3682836878,0.0390048894,-0.882397812,-0.8358621076
evo_bz__a1_1_bz__1,7.3708651329,-1.8786517409,-0.1968594431,0.1310562172
evo_bz__a1_1_bz__2,3.4776705606,0.5361451732,-0.0757624216,0.5837345662
evo_bz__a1_1_bz__3,3.7708624319,1.3088622026,-1.1352115054,-0.7926743156
evo_bz__a1_1_bz__4,2.9003294605,0.2024257022,-0.1630694594,1.3401219728
evo_bz__a1_1_bz__5,5.0497999511,1.8037451479,-1.1430905682,-0.5941587655
evo_bz__a1_1_bz__6,3.806934805,1.2205659637,-1.1479592129,-0.7212959865
evo_metab__wt__1,0.7290717492000001,-1.6493450053,0.0216952277,-0.8537273313
evo_metab__del_zwf__1,0.3561588946,-0.7442162344000001,0.0089552738,-0.5581509644
evo_metab__zwf_ale1__1,-0.46880406080000003,-0.6383483829000001,-0.029136735400000002,-0.4894097088
evo_metab__zwf_ale2__1,-0.6519132191,0.28114724700000004,-0.22346250180000002,0.0555135524
evo_metab__del_ppk__1,-0.5255479670000001,0.2732446559,-0.5950074874,-0.0787142445
evo_metab__ppk_ale1__1,-1.0160072585,1.0259451355,-0.2819178846,0.1591601426
evo_metab__ppk_ale2__1,-0.3072878432,-0.9024142098,-0.2129587413,-0.6722701763000001
evo_metab__ppk_ale3__1,-0.10559645070000001,-0.652088098,-0.6664505470000001,-0.6569091517
evo_metab__del_dapF__1,0.3817959408,-2.1722072706,-0.2899666271,-0.6965257371
evo_metab__dapF_ale1__1,0.7138089913,-1.6052180138,-0.0956451908,-0.867810289
evo_metab__dapF_ale3__1,0.2230963384,0.3620233339,-0.534902734,-0.2072308356
evo_metab__del_entC__1,0.1687310905,-0.49893765240000004,-0.09387450950000001,-0.0366993311
evo_metab__entC_ale1__1,-0.12500775420000002,0.5466123304,-0.4795015226,0.012245357600000001
evo_metab__entC_ale2__1,1.0610738336,-1.2977643723,0.3381492062,-0.41071263300000005
evo_metab__del_dgk__1,0.3313167831,0.1951553286,-0.2479411708,0.3169642319
evo_metab__dgk_ale1__1,-0.0310961823,0.4056362652,0.1803691418,0.015997995100000002
evo_metab__dgk_ale2__1,-0.9593115628000001,-1.1910265089,0.5647813138000001,0.0644254838
evo_metab__dgk_ale3__1,1.4120038814,-0.1072731442,-0.0535453575,-0.3527493064
evo_metab__wt__2,0.17940306620000002,0.83271207,0.0598112988,0.11344961220000001
evo_metab__del_zwf__2,-1.8084367490000002,-0.2743643188,0.1188856227,-0.0776861945
evo_metab__zwf_ale1__2,-0.0053014673,0.7857869584,0.34647646330000004,-0.3085645329
evo_metab__zwf_ale2__2,1.0020937543,0.39781253320000004,-0.08200134910000001,0.5362143779
evo_metab__del_ppk__2,-0.5486095154,0.9618331763,-0.1543697162,0.2827147237
evo_metab__ppk_ale1__2,-0.9533364499,0.37364485550000004,0.5010526678,0.1739749676
evo_metab__ppk_ale2__2,-1.6319560999,0.6290338879,0.033069829700000004,0.5552778938
evo_metab__ppk_ale3__2,-0.3898422637,1.5166701272,-0.1021128979,0.6973714623
evo_metab__del_dapF__2,-1.8979634986,-0.5625280567000001,-0.5275545316,-0.29816975030000004
evo_metab__dapF_ale1__2,-2.2692448264,-0.6907673522000001,-0.8740408744,-0.16488263350000001
evo_metab__dapF_ale3__2,-2.2143979293,-0.5231355216,-0.6052099843000001,-0.1090022791
evo_metab__del_entC__2,-0.6937685685,0.8212813583,-0.520378201,0.3859898433
evo_metab__entC_ale1__2,-0.2991487396,0.3088496385,-0.1808186141,-0.5205175573
evo_metab__entC_ale2__2,-1.6130060725000002,-0.0104370819,-0.2481074814,0.3174432465
evo_metab__entC_ale3__1,-0.5949960047,0.5082582503,-0.1007067708,0.5627784507
evo_metab__del_dgk__2,-0.0527697223,0.18013646660000002,-0.2493838519,0.4923875361
evo_metab__dgk_ale1__2,0.054896214400000004,0.6615309996000001,0.0934857714,0.3566497402
evo_metab__dgk_ale2__2,-0.4230792598,-0.21710432870000002,0.0258529291,0.7956397664
evo_metab__dgk_ale3__2,1.3032790609,-0.0723385831,-0.7092992376,0.3601288832
evo_metab__wt__3,-0.9084748154000001,0.8166329353,-0.08150652650000001,0.7402777192000001
evo_metab__del_zwf__3,-0.0030990983000000003,1.4229401458,-0.38365261440000004,0.48647327700000004
evo_metab__zwf_ale1__3,-0.11529476820000001,0.680223743,0.30292598800000003,0.27027891930000003
evo_metab__zwf_ale2__3,-0.1531148255,0.8789431159000001,-0.5695966895,1.101532198
evo_metab__del_ppk__3,-1.5037435555,0.9800089392,-0.5088220601,0.7309354211
evo_metab__ppk_ale1__3,-1.1841259957,1.6211682894,-0.5568547845,0.7472775657
evo_metab__ppk_ale2__3,-0.6651781139,0.4227996136,-0.1075832786,0.8744017874000001
evo_metab__ppk_ale3__3,-0.1236465155,0.6111533806,-0.2548516616,0.745558492
evo_metab__del_dapF__3,-2.2981905791,-0.6977877481,-0.5224634022,-0.047413801000000005
evo_metab__dapF_ale1__3,-2.3401377477,-0.6402862152000001,-0.6997337682,-0.1801907724
evo_metab__dapF_ale3__3,-2.3807606431,-0.058366774,-0.164303206,0.1621832389
evo_metab__del_entC__3,0.1808538426,0.4816537571,-0.2838038458,0.0343100946
evo_metab__entC_ale1__3,-1.3483175971999999,0.3647950216,-0.14120318680000002,0.3322543509
evo_metab__entC_ale2__3,-0.5759679932,1.2040757313000001,-0.2275315786,0.8075245937000001
evo_metab__entC_ale3__2,-1.1865308967,1.1202764922,-0.1971165942,0.8193045941
evo_metab__del_dgk__3,-0.3296184817,1.0180106172,-0.7030767083,0.7120229640000001
evo_metab__dgk_ale1__3,-0.5425419984000001,1.2066855321,-0.3391076354,0.8730704559
evo_metab__dgk_ale2__3,-1.4004275594,0.6882293386,-0.8919006833,1.301894215
evo_metab__dgk_ale3__3,1.6713169785000002,0.13935533020000002,-0.8480468999,0.42012269210000003
flag_reg__wt__1,-0.1539258261,0.0730248436,-0.0552460372,-0.1895340584
flag_reg__del_fliA__1,1.8543748046,0.0643501076,0.2379487723,0.153080733
flag_reg__del_flhC__1,1.8022545222000002,1.0720314628,0.1666261772,0.3677356986
flag_reg__del_flhD__1,1.2473729398,0.9546770033,0.3038599931,0.20934616350000002
flag_reg__wt__2,0.1539258261,-0.0730248436,0.0552460372,0.1895340584
flag_reg__del_fliA__2,0.7746840609000001,0.2858839488,0.2803346536,0.2349933388
flag_reg__del_flhC__2,0.9739781922,-0.3191639852,-0.038816530200000005,-0.30974919160000003
flag_reg__del_flhD__2,1.4163123855,0.7770957466,0.21736006800000002,0.3322552634
flgM__27C__1,1.5651507844,0.6023896792,0.02870798,-0.9568080187
flgM__27C__2,1.7637938098000001,0.9399468184,0.0422419746,-0.9676118753
flgM__27C__3,1.8253036857,0.9580009028,-0.0473495293,-1.0099299057
flgM__32C__1,1.8677469395,0.5457587479,-0.1275263066,-0.4600895052
flgM__32C__2,1.1786898495,0.5130037107000001,-0.1188682696,-0.46340290570000003
flgM__32C__3,1.5077689909,0.6993471295,-0.0775782685,-0.5932001555
flgM__37C__1,0.0607003341,0.019990185,-0.0172228206,-0.0431349533
flgM__37C__2,-0.1220940392,0.013572340300000001,-0.0153227698,0.0100351717
flgM__37C__3,0.0613937051,-0.0335625254,0.032545590400000005,0.0330997816
flgM__42C__1,-0.23975854670000002,0.0142478612,0.1223491476,0.7607520602000001
flgM__42C__2,-0.3883121658,-0.2213432794,0.1974911759,0.848878765
flgM__42C__3,-0.8339884607,-0.5866124358,0.2034264775,0.5210592231
histone__untreated__1,0.1286249147,0.0883832858,-0.060392566700000004,-0.216800287
histone__untreated__2,0.691386162,-0.222208977,0.0044704471,0.2673721395
histone__untreated__3,-0.8200110767000001,0.1338256911,0.0559221196,-0.0505718525
histone__10ug_H2A__1,-0.4944300642,0.2707169634,-0.0294229657,-0.1657855262
histone__10ug_H2A__2,0.18443242070000002,-0.0203041477,-0.10860318570000001,0.0558414491
histone__10ug_H2A__3,-0.2537828144,0.2616089287,-0.1133642725,-0.149255529
histone__50ug_H2A__1,-0.5213686834,0.401276157,0.029688543100000003,-0.3121806988
histone__50ug_H2A__2,-0.5089909458,0.5326771554,0.0276315887,-0.2982454419
histone__50ug_H2A__3,-0.7914052650000001,0.3627152817,-0.0099621376,-0.2805224475
histone__100ug_H2A__1,-0.4281892973,0.2758458686,0.0895954796,-0.1825965015
histone__100ug_H2A__2,-0.4307313794,0.3746823043,0.10367688060000001,-0.1968644844
histone__100ug_H2A__3,-0.6534999186,0.22114017330000002,0.0034602426000000003,-0.13727567940000002
hns__del_hns_spike__1,-0.8961446292,0.0544761327,0.2075117463,0.11390770330000001
hns__del_hns_spike__2,-2.9320614413,-0.2892167136,0.009730694,0.1873961184
hns__del_hns__1,-0.8449078037000001,0.0579722669,0.2850669433,0.0168979536
hns__del_hns__2,-2.9989210366,-0.4665531661,0.1631970502,0.45957792270000003
hns__wt_spike__1,-0.20670517870000002,0.44239441760000003,0.1392690724,-0.5553368521000001
hns__wt_spike__2,-1.9999347846000002,-1.3861222248,0.5908241112,1.5354335179
hns__wt__1,0.3215065036,-0.0160536305,0.1104686965,-0.3400196666
hns__wt__2,-0.3215065036,0.0160536305,-0.1104686965,0.3400196666
hns_stpA__evo100G4_delhns_delstpA__1,-1.7465342408,0.4686909125,-1.5681109031,-0.965519541
hns_stpA__evo100G4_delhns_delstpA__2,-1.4833965947,0.1449711787,-1.7787209304,-1.1416494558
hns_stpA__evo100G12_delhns_delstpA__1,-5.8686121778,1.3782961321,-2.3286332422,-0.8614623277000001
hns_stpA__evo100G12_delhns_delstpA__2,-6.041178561,1.4721652701,-2.0720734261000002,-1.1799050635000001
hns_stpA__delhns_delstpA_delrpoS__1,-6.3107672943,-0.058826803100000005,-2.2153905101,-0.8568152088000001
hns_stpA__delhns_delstpA_delrpoS__2,-7.1738831512,2.003139303,-2.5455493469,-1.2488999172
hns_stpA__wt__1,0.1101149879,0.2868207166,0.0910120247,0.3037840317
hns_stpA__wt__2,-0.1101149879,-0.2868207166,-0.0910120247,-0.3037840317
hns_stpA__delhns_delstpA__1,-4.6663595036,1.3011462374,-2.4304813555,-2.9306335603
hns_stpA__delhns_delstpA__2,-4.549954083,1.5140560712,-2.283345836,-2.4810304921
hu__wt_log_pH7__1,2.0960984052,0.9224140444000001,-2.5610024343999997,-1.1343475535
hu__wt_log_pH7__2,2.6190412116,1.2645704017,-1.7192127447,-0.745303582
hu__wt_log_pH7__3,1.3505439807,0.6514656069,-2.5656982779,-0.8684320375000001
hu__wt_lag_pH7__1,0.5670830872,0.2599690871,0.2181867704,-0.1286148301
hu__wt_lag_pH7__2,0.7248588371,-0.0199836324,-0.051637196,-0.8133276643
hu__wt_lag_pH7__3,-1.2919419243,-0.23998545470000002,-0.1665495744,0.9419424944
hu__delhupA_lag_pH7__1,1.5053452227,0.1187457385,0.5013664708,0.2687126539
hu__delhupA_lag_pH7__2,2.3949211121,0.9327793190000001,-0.0310669673,-0.7678659126
hu__delhupA_lag_pH7__3,-1.5666309052,-0.2498376408,-0.0959832862,0.6197851686
hu__delhupB_lag_pH7__1,0.41522656750000003,0.7348410063,0.1827632689,-0.7257333649000001
hu__delhupB_lag_pH7__2,0.6490682496,0.5334120243,-0.0362566025,-0.9063900389
hu__delhupB_lag_pH7__3,-0.9628926001,-0.7344683120000001,-0.13451388420000002,0.5474014037
hu__delhupAhupB_lag_pH7__1,2.11229213,-0.3699780399,-0.3668404044,0.5672649508000001
hu__delhupAhupB_lag_pH7__2,1.8388697314,0.9189064052,-0.0648374225,-0.14745600050000002
hu__delhupAhupB_lag_pH7__3,0.3546374795,-0.5182375265,0.0483373318,0.798751953
hu__hupAE34K_hupB_lag_pH7__1,0.0346106902,-0.0689418056,-0.0097311396,-0.048757564
hu__hupAE34K_hupB_lag_pH7__2,0.9062943805,0.3746936563,-0.3293122911,-0.5341879819
hu__hupAE34K_hupB_lag_pH7__3,-1.6680581594000001,-0.7608564287,-0.3831059042,0.3887646153
hu__hupAE34K_delhupB_lag_pH7__1,-0.0287026083,-0.0869920052,-0.0190652403,0.021528378600000002
hu__hupAE34K_delhupB_lag_pH7__2,-0.1753748033,0.022969023,0.10856884550000001,-0.46063201200000004
hu__hupAE34K_delhupB_lag_pH7__3,-1.9320324825,-0.7389180066000001,-0.250826488,0.5577970553
hu__wt_lag_pH5__1,-0.1915484039,0.4791797057,-0.8913190701,-0.47915796060000004
hu__wt_lag_pH5__2,0.49066317200000004,0.2768522707,-1.4459433789,-0.4242198553
hu__wt_lag_pH5__3,0.738340274,0.4107719428,-1.4845663116,-0.4408909259
hu__delhupA_lag_pH5__1,0.5192243662,0.2936627287,-1.0651718251,-0.7986508937
hu__delhupA_lag_pH5__2,-0.044773231100000005,0.3069653719,-0.7987644547,-0.23109035
hu__delhupA_lag_pH5__3,0.4359972494,0.8933818621,-1.2519211603,-0.4984742653
hu__delhupAhupB_lag_pH5__1,1.1160314826,0.0821911966,-1.3554675684,-0.7412924465
hu__delhupAhupB_lag_pH5__2,1.1226463751,0.2544607079,-1.3336062681,-0.32567890390000004
hu__delhupAhupB_lag_pH5__3,1.1457924384,0.5337478762,-0.8925679957,-0.1433465964
hu__hupAE34K_hupB_lag_pH5__1,-0.2724279468,0.392014586,-1.1430168893000001,-0.5727036634
hu__hupAE34K_hupB_lag_pH5__2,1.1652740121,0.7716121418,-1.4493752758,-0.06640882050000001
hu__hupAE34K_hupB_lag_pH5__3,0.9707700297,0.574429488,-1.4050641086,-0.0988652604
hu__hupAE34K_delhupB_lag_pH5__1,1.3206042643,0.6561657774,-1.6123595908000001,-0.2921015008
hu__hupAE34K_delhupB_lag_pH5__2,-0.13030502360000001,0.10918116800000001,-1.226893919,-0.23103725800000002
hu__hupAE34K_delhupB_lag_pH5__3,0.7693760691,0.5678315908,-1.5448590486,-0.4034763851
hyperpersistence__low_GFP__1,2.1891729845,-1.2296048182,-0.1459188516,-0.8134585722000001
hyperpersistence__wt__1,0.0080516541,-0.0819279125,-0.0579075359,-0.15458974220000002
hyperpersistence__high_GFP__1,1.7040503156,-1.3519210233,-0.10275380890000001,-1.0411310568
hyperpersistence__pth_mut__1,-1.6390275524,-0.12980234100000002,-0.0890509939,-0.1568155477
hyperpersistence__pth_mut__2,-1.7724479737,-0.2494201341,-0.4156744168,-0.2971344521
hyperpersistence__metG_mut__1,-0.8933611701,-0.0536076146,0.0988768356,-0.1844494213
hyperpersistence__metG_mut__2,-0.6698758891000001,-0.3022908939,-0.2628324997,-0.3766773225
hyperpersistence__high_GFP__2,-0.0753595068,-1.2008574747,-0.2208033278,-0.9073723469
hyperpersistence__wt__2,-0.0080516541,0.0819279125,0.0579075359,0.15458974220000002
hyperpersistence__low_GFP__2,1.1292156212,-1.2161106948,-0.2805843959,-1.1203611161
kan_efg__cpxAF218Y__1,-0.3450907687,-0.7821384977,1.0841805474,1.2763301475
kan_efg__cpxAF218Y__2,-0.21576271530000002,-0.932373954,1.1446573046,1.5518422955
kan_efg__cyaAN600Y__1,-0.5053718971,-1.221042918,0.9603956705000001,0.7051289762
kan_efg__cyaAN600Y__2,-0.48506667700000006,-2.7069705654,1.5682706127000001,1.7200493047
kan_efg__fusAA608E__1,2.2197013699,0.287056627,-0.4755092777,-0.13141419940000001
kan_efg__fusAA608E__2,1.351014902,-0.0173445622,-0.1918949817,-0.2414090268
kan_efg__fusAA608E_cpxAF218Y__1,1.6279399936,0.0094257983,0.35721379940000003,0.6210753481
kan_efg__fusAA608E_cpxAF218Y__2,2.6140073535,-0.1510938893,0.3103341766,0.5507871298
kan_efg__fusAA608E_cyaAN600Y__1,0.47251201330000003,-0.3868069602,0.8959768911,0.4600576756
kan_efg__fusAA608E_cyaAN600Y__2,0.6540905484,-0.5636522443,1.151414448,0.5858702455
kan_efg__fusAA608E_rpoDL261Q__1,1.9183441798,0.5248593509,0.5787595543,0.7626308654
kan_efg__fusAA608E_rpoDL261Q__2,3.0276920029,0.6282254388,0.170452503,0.12262653920000001
kan_efg__fusAA608E_topAS180L__1,3.4590026352,0.7159548429,0.2993918273,1.9881627285
kan_efg__fusAA608E_topAS180L__2,3.3639066425,0.6182181113,0.3449252499,2.1931153397
kan_efg__rpoDL261Q__1,0.2628552744,0.22890917130000002,0.2963526906,0.4856786449
kan_efg__rpoDL261Q__2,0.0924507283,0.109888472,0.8750640991,0.7669822615
kan_efg__wt__1,0.1644430007,0.1527335719,-0.326898736,-0.2521839124
kan_efg__wt__2,-0.1644430007,-0.1527335719,0.326898736,0.2521839124
lrp__wt_min_log__1,-0.0981527276,0.024414631500000002,-0.07878716350000001,-0.0605792777
lrp__wt_min_log__2,0.0981527276,-0.024414631500000002,0.07878716350000001,0.0605792777
lrp__wt_min_trans__1,0.6117082491,-2.114763965,1.2078040582,0.2948835343
lrp__wt_min_trans__2,0.9261167275000001,-1.3723149443,1.3633198144,0.8609545578000001
lrp__wt_min_stat__1,7.6154053053,-3.7252923539,-2.4304975054,-1.1863394348
lrp__wt_min_stat__2,6.9239843634,-2.4454115756,-1.9638896553,-0.9082664866
lrp__wt_liv_log__1,-0.6563847592000001,0.0167388883,0.23973138100000002,-0.06662269800000001
lrp__wt_liv_log__2,-0.4824811748,-0.1957316187,0.1717381616,-0.2838553941
lrp__wt_liv_trans__1,-1.6569441615,-1.080219651,0.08582733690000001,0.7321625501
lrp__wt_liv_trans__2,-1.7903488314,-0.9871260732,-0.0164337809,0.6851959435
lrp__wt_liv_stat__1,8.4720018966,-4.4216831064,-2.9541291327,-1.3965703528
lrp__wt_liv_stat__2,6.7971000053,-3.5486364850000003,-2.4056994769,-1.317922929
lrp__wt_rich_log__1,-0.1163202826,1.1319545576,-0.18704894200000002,-1.104683767
lrp__wt_rich_log__2,0.19335412570000002,1.1840445128,-0.1143135745,-1.2546926981
lrp__wt_rich_trans__1,-0.7554516123,-2.3765078592,0.1036684385,-0.1032883054
lrp__wt_rich_trans__2,-1.3878905911000001,-2.2683924035,-0.5320317657,-0.1602192955
lrp__wt_rich_stat__1,0.3657186892,-2.2786609437,-0.33952435410000004,-0.030563167500000002
lrp__wt_rich_stat__2,2.3265761122,-2.7231504102,-0.5029284707,-0.045479457
lrp__dellrp_min_log__1,-0.7964312792,-0.2182919466,0.051597773300000004,-0.2876364708
lrp__dellrp_min_log__2,-0.42908658920000003,-0.0242470402,0.1695436772,-0.3919699821
lrp__dellrp_min_trans__1,-1.133911211,-0.9060973042,0.4016716534,-0.0756674972
lrp__dellrp_min_trans__2,0.48399662670000004,-1.1547088198,0.0540830645,-0.1685223861
lrp__dellrp_min_stat__1,6.2747181818,-2.5432279332,-2.4044391384,-1.7743965943000002
lrp__dellrp_min_stat__2,5.5375245388,-2.3935231091,-2.2572603749,-1.5057214365
lrp__dellrp_liv_log__1,-0.7342139744,-0.45812532250000004,0.15715905260000002,-0.4013139988
lrp__dellrp_liv_log__2,-0.6182836983000001,-0.2838028885,0.22238625250000002,-0.3582488616
lrp__dellrp_liv_trans__1,-1.7331833715,-0.5891335045,0.029169605100000003,0.33721073900000004
lrp__dellrp_liv_trans__2,-1.2932494177,-0.4693303165,0.3152681445,0.20826187340000002
lrp__dellrp_liv_stat__1,6.4289724377,-3.61692264,-2.3922730427,-1.5433322065000001
lrp__dellrp_liv_stat__2,6.7159323374,-3.1070494255,-2.1205585644,-1.3081320442
lrp__dellrp_rich_log__1,-0.6725946384,1.2398870798,-0.14166017990000002,-1.1285112896
lrp__dellrp_rich_log__2,-0.7862335949,1.1984778804,-0.1285585019,-1.1969005227
lrp__dellrp_rich_trans__1,-1.8101506095,-1.2922345251,-0.41390028040000004,0.0065009034
lrp__dellrp_rich_trans__2,-1.8151009106,-1.2026820878,-0.5311079492,-0.0929676374
lrp__dellrp_rich_stat__1,-2.6238645501,-3.0266003764,0.7351458547,-0.5564313898000001
lrp__dellrp_rich_stat__2,-2.9031235743,-2.4836285022,1.4053881684,-0.2266175615
mazF_circuit__t0__1,-0.6131163752000001,0.033841533800000004,-0.004570969,-0.1477545398
mazF_circuit__t2__1,-0.6075152753,-0.049245688700000005,0.0653832305,-0.43275175790000003
mazF_circuit__t4__1,-0.9116737607000001,1.2225378398,0.3822852162,0.1479863207
mazF_circuit__t6__1,-0.1612247904,2.2585122881,0.21028994880000001,-0.2443604499
mazF_circuit__t8__1,-0.7470130834,2.4230351901000002,-0.0570535506,-0.8080377215000001
mazF_circuit__t0__2,0.6131163752000001,-0.033841533800000004,0.004570969,0.1477545398
mazF_circuit__t2__2,-1.4495876851,-0.6864290104,0.051884897000000006,0.0461749848
mazF_circuit__t4__2,-1.2701627508,1.3937637813000001,0.3721571684,-0.0514301256
mazF_circuit__t6__2,-0.6439553103,2.3149353142,0.12152566340000001,-0.5199344295
mazF_circuit__t8__2,1.2049962327000001,2.3375220159,-0.0765298296,-0.6797673496000001
mazF_ribo__emptyvec_mrna_5m__1,0.0224285369,-0.1157857421,0.020805030000000002,-0.12346562080000001
mazF_ribo__emptyvec_mrna_5m__2,-0.0224285369,0.1157857421,-0.020805030000000002,0.12346562080000001
mazF_ribo__mazF_mrna_5m__1,1.8603255102,0.5468728273,0.16600598560000002,-1.1624552896
mazF_ribo__mazF_mrna_5m__2,2.2915941343,0.5533159695000001,0.1916775286,-1.4364844985
mazF_ribo__emptyvec_total_5m__1,1.0744377439,0.2511092065,0.46786379100000003,-0.4126939052
mazF_ribo__emptyvec_total_5m__2,-0.4937959886,0.131072302,0.5122323806,-0.1829286654
