,A,DecR
SRX4705221,3.7617040253000003,-0.0005547278
SRX4705222,-0.6542119217,0.2236848157
SRX4705223,-0.4143537572,1.2246955981
SRX4705224,-2.0381068715,1.0472421366
SRX4705225,1.7780926252,-0.9330982801000001
SRX4705226,2.2430240013000002,-0.6466474357
SRX4705227,2.4783281428,-0.3878305883
SRX4705228,0.8528380820000001,0.0438659449
SRX4705229,0.3521194574,-0.0416182601
SRX4705230,-0.27665572250000003,0.1616667886
SRX4705231,3.330343856,0.39045537880000003
SRX4705232,2.2581556458,-0.051641322
SRX4705233,-0.8772023991000001,0.68383423
SRX4705234,-0.1354073327,0.1820073523
SRX4705235,0.2036272395,-0.6904689571
SRX4705236,1.1470209104,-0.056487601900000003
SRX4705237,-0.38986834260000003,-0.2964869768
SRX4705238,0.6612144909000001,-0.4771659245
SRX2038319,-0.5463480837,0.1117985576
SRX2038320,-0.4401961766,0.1266824384
SRX2038321,0.2133746759,0.3963362874
SRX2038322,-0.6490807435,0.9592298290000001
SRX2038323,-1.5184231793,0.7942537174000001
SRX2038324,-1.1323062062,0.6043383209000001
SRX2038325,0.5979433656,0.5443305827
SRX2038326,0.428553244,0.8948949898
SRX2038327,-0.2826759343,0.3687904392
SRX2038328,-0.24716837500000002,0.4826334085
SRX2038329,-0.4619589331,0.6676935516
SRX2038330,-1.0031887646,0.6606281991
SRX2038331,-0.9234531861,0.7105110916
SRX2038332,0.1518452749,0.1831931618
SRX2038334,0.0744544598,-0.1018394967
SRX2038335,-0.3455915188,0.5192513691
SRX2038336,0.16210634540000002,0.0094022871
SRX2038337,-0.6493943275,0.0117620129
SRX2038338,-0.1517653515,-0.0971345478
SRX2038339,0.0265015712,0.4527630707
SRX2038340,0.3553975388,-0.2953585576
SRX2038341,-0.5634392926,0.38183300530000003
SRX2038342,-0.3354728832,0.2871246792
SRX2038343,0.8262402446,0.0366837363
SRX2038344,0.12564215,0.0073046515
SRX2038345,-0.88597189,0.0435374077
SRX2038346,-0.0161180672,0.3392999533
SRX2038347,0.058320124200000004,0.5981110676
SRX2038348,0.383092119,0.4641656793
SRX2038349,-0.7062849576,0.35622619910000003
SRX2038350,0.25781487470000003,-0.20113460460000002
SRX2038351,0.1867008152,0.0124315315
SRX2038352,0.09606312580000001,0.5205359208
SRX2038353,0.3180885976,-0.5031449635
SRX2038354,0.35581358620000003,-0.0753244486
SRX2038355,0.1092325601,0.0267789552
SRX2038356,0.7048422661,0.0374611024
SRX2038357,0.6981134352,-0.0146640098
SRX2038358,-0.7760390931000001,-0.1554101777
SRX2038359,0.7718662499000001,0.0526158746
SRX2038360,-0.2239970392,0.5416122784
SRX2038361,0.3121218671,-0.07317701110000001
SRX2038362,0.144797368,0.4649691386
SRX2038363,0.1351872811,0.5123116305000001
SRX2038364,0.4924580517,0.5844247544
SRX2038365,0.4933721373,0.266979988
SRX2038366,0.45326549720000003,0.9720178316
SRX2038367,0.4151645078,0.7081651651
SRX2038368,-0.2318869911,-0.10098860970000001
SRX2038369,-0.0935009654,0.0610066279
SRX2038370,0.4486741678,-0.0490563533
SRX2038371,0.3490929204,0.2360939189
SRX2038372,0.0315344625,-0.4776773132
SRX2038373,0.1174806537,0.3891617254
SRX2038374,-0.2188832934,0.3529972903
SRX2038375,0.0505255992,0.2915806509
ERX530520,-0.18875277470000001,-0.0385960035
ERX530521,-1.5645492968,-0.729347845
ERX530522,-0.8208734008,-0.37024640740000003
ERX530523,-0.600430411,-0.010906344200000001
ERX530524,0.18875277470000001,0.0385960035
ERX530525,0.2155349697,0.008671978700000001
ERX530526,-2.4112704762,-0.5268355799000001
ERX530527,-0.5384535986,-0.684405684
ERX3212443,1.3115548222,-0.5047055306
ERX3212444,1.0752659231,-0.4042435366
ERX3212445,1.6373757095,-0.533727897
ERX3212446,-0.4503664774,-0.6793064698
ERX3212447,-0.0912642952,-0.5589008734
ERX3212448,0.2269461902,-0.3248677008
ERX3212449,0.1813219827,0.0955731033
ERX3212450,0.1161006613,-0.1636469812
ERX3212451,-0.297422644,0.0680738779
ERX3212452,-0.8347586877000001,0.284501643
ERX3212453,-0.6711914831,0.5971199304
ERX3212454,-1.1507379119,0.8771431496000001
SRX7478973,-0.1438627963,-0.0932209627
SRX7478974,-0.0721094844,0.0789403855
SRX7478975,0.21597228070000002,0.0142805771
SRX7478976,0.5105707434,-0.1186827189
SRX7478977,0.3167128642,0.2041036196
SRX7478978,0.8513195215,-0.3049854622
SRX7478979,0.0336308094,-0.6427165136
SRX7478980,-0.2157056889,-0.656568769
SRX7478981,-0.250006302,-0.7867469432
SRX7478982,0.3403723164,-0.5974323378
SRX7478983,0.08929483910000001,-0.7756396257
SRX7478984,0.1874339489,-0.7826349192000001
ERX1521038,-4.3863449381,-0.4563210768
ERX1521039,-3.4371175387,0.4004095119
ERX1521040,-4.3174706922,-0.4225784292
ERX1521041,-2.566150979,0.047770707700000005
ERX1521042,-3.1572460238,-0.4624857135
ERX1521043,4.1351982448,-0.0311444903
ERX1521044,-2.2867530367,-0.21547152060000002
ERX1521045,2.2867530367,0.21547152060000002
SRX621182,-1.6946617839,-0.314431674
SRX621183,-1.9250858105000002,-0.0286419888
SRX621184,-4.3549207402,-0.6162149849
SRX621185,-4.1519693083,-0.9884436627000001
SRX621188,-2.1552706518,-0.6163023109
SRX621189,-2.764493518,-0.5585643324
SRX621190,0.1068355628,0.32013980210000004
SRX621191,-0.1068355628,-0.32013980210000004
SRX621192,-3.1005866254,-1.4542080363
SRX621193,-2.6166474697,-1.2927899741
SRX6489436,-1.1938309669,-0.0172250811
SRX6489437,-1.0449962088,0.251880321
SRX6489438,-0.9506559944,0.7917405264
SRX6489439,1.1782223678000001,0.1205398765
SRX6489440,-0.406145802,-0.42661285320000003
SRX6489441,-0.7720765657,0.3060729768
SRX6489442,3.438480377,-0.1318591916
SRX6489443,1.9316004895,0.5229357678000001
SRX6489444,0.4690486243,0.1279564055
SRX6489445,0.9545362848000001,0.1476889684
SRX6489446,0.3651182396,0.0147787179
SRX6489447,0.9639621174,0.12382683200000001
SRX6489448,3.4938338588,0.1011179477
SRX6489449,2.7495150743,0.0971285065
SRX6489450,-0.4129293873,0.40212538270000003
SRX6489451,0.7285538652,0.12477093600000001
SRX6489452,-0.0570812339,0.1239748111
SRX6489453,0.18401655220000002,-0.1054980175
SRX6489454,2.4357045014,0.0140220284
SRX6489455,0.3190497027,-0.1727479456
SRX6489456,0.701214028,0.13739823010000002
SRX6489457,-1.0134501317,1.002805955
SRX6489458,-1.1141522521,1.2350795495
SRX6489459,-1.1934735261,1.2854726801
SRX6489460,-0.909834718,0.7429507679
SRX6489461,-1.1409403882,1.0541188547
SRX6489462,-1.5087511751,0.7850925351
SRX6489463,-0.9309559869,0.6802445362
SRX6489464,-0.6360300981,0.8395911293
SRX6489465,-0.1072192096,1.1919550198
SRX6489466,-1.0899924888,1.1568492245
SRX6489467,-0.8485571988,1.3106756944
SRX6489468,-0.7913337437,1.1599411145
SRX6489469,-0.9115444925,1.1138226274
SRX6489470,-0.7114669276000001,1.1543505025
SRX6489471,-1.2005576268,1.3473761781
SRX6452027,0.8908816810000001,-0.22720640420000002
SRX6452029,-0.3894009013,-0.1431725214
SRX6452030,0.8580686347,-0.2056022117
SRX6452031,0.5644794790000001,-0.042134809100000004
SRX6452044,1.1771445584,0.34203435190000003
SRX6452045,3.16179695,0.4174933165
SRX6452046,1.7933769446,0.2565588803
SRX6452047,1.0249885589,-0.1787776765
SRX6452048,0.3894009013,0.1431725214
SRX6452059,0.1896859891,-0.3278406783
SRX1828491,3.6713487444,-0.36890774940000004
SRX1828492,3.4601328256,-0.3993778524
SRX1828493,3.7880282642000003,0.1253225246
SRX1828494,5.993403124,0.4563506638
SRX1828495,-0.8342219542,0.3982855301
SRX1828496,0.1577284074,0.1741812489
SRX1828497,0.9086905063,0.3324448445
SRX1828498,0.8954268512,0.0911781603
SRX1828499,1.3453456955,0.7677569107000001
SRX1828500,2.7979568619,0.4136645631
SRX1828501,2.8142631416,0.1064763605
SRX1828502,1.1348372366,0.09120412680000001
SRX1828503,-1.4474318029,0.36950396820000003
SRX1828504,-1.180348075,0.31964895730000004
SRX1828505,1.331183883,-0.1134587595
SRX1828506,1.9077188662000002,-0.3595262892
SRX1828507,-0.49409285810000003,0.0620770776
SRX1828508,0.49409285810000003,-0.0620770776
SRX3796953,0.0295101997,0.0238008492
SRX3796954,-0.0295101997,-0.0238008492
SRX3796955,3.1786275332,-0.2715804944
SRX3796956,3.0067696122,0.4573252988
SRX3796957,-3.8230005069,0.7994338274
SRX3796958,-2.6612407488,1.1261486154
SRX3796959,-0.13499385590000001,0.0862025293
SRX3796960,0.06560565880000001,-0.0842002922
SRX3796961,1.2561349432,0.1094094515
SRX3796962,0.8338111707,-0.2781339578
SRX3796963,-4.8516931154,0.4902117999
SRX3796964,-3.8338003,-0.1500888986
SRX3796965,3.2022067117,-0.480457532
SRX3796966,3.8280937511,-0.368073395
SRX3796967,0.3363884283,0.11759788700000001
SRX3796968,0.25391332440000003,0.2034029349
SRX3796969,-1.0795190634,-2.1804073066
SRX3796970,1.0368003352,-0.0273390043
SRX3796971,-0.6184409217,-0.030880435600000002
SRX3796972,-1.2350258525,0.082245357
SRX3796973,0.4064725028,0.5379766493
SRX3796974,0.9921070196,1.111341253
SRX3796975,-2.8051868252,0.6520606261
SRX3796976,-3.2768407791,0.8711937439
SRX3796977,-0.6866385438,0.1357072705
SRX3796978,-1.1131987678,-0.1744838276
SRX3796979,0.1280394697,0.3737800826
SRX3796980,0.8179699201,0.13079384360000001
SRX3796981,-3.2786074311,0.12978889999999998
SRX3796982,-3.5755264778,0.34983525990000003
SRX3796983,3.2688532390000002,-0.36107569440000004
SRX3796984,3.3252757065000003,-0.6350274009
SRX3796985,0.19832669120000002,0.3521963766
SRX3796986,-0.1819168975,0.47505897350000004
SRX3796987,0.8287227341000001,-0.7503665326000001
SRX3796988,0.9365177922000001,-0.7114995152
SRX2568270,0.0713171913,-0.0172708643
SRX2568271,0.6113970764000001,-0.020448371400000002
SRX2568272,2.6150483331,-0.0978423591
SRX2568273,0.2477938211,0.3547568987
SRX2568274,2.87830698,0.6917940753
SRX2568275,-0.0713171913,0.0172708643
SRX2568276,-1.2187548374000001,-0.0230176419
SRX2568277,-0.3054337787,0.37390884010000003
SRX2568278,1.5985382934999999,1.0141521632
SRX2568279,4.3664076772,1.189716189
SRX3421856,-0.31383535960000003,-0.0482243708
SRX3421857,0.31383535960000003,0.0482243708
SRX3421858,0.18437850760000002,0.2906162818
SRX3421859,0.17258025770000002,0.3949276417
SRX3421860,-1.0799070783,-1.6824471156
SRX3421861,-2.8236523903,-1.9249137191
SRX3421868,0.18585664600000001,-0.188408501
SRX3421869,0.13136550900000002,-0.6545125759
SRX2606337,0.26082212190000004,-0.35719301540000004
SRX2606338,1.4310148403,-0.4602965747
SRX2606339,1.8486744824999999,-0.046198346700000004
SRX2606340,1.8911730893,-0.034719046600000004
SRX2606341,3.9846281713,1.3483122006000001
SRX2606342,3.0531592054,0.9764879054000001
SRX2606343,1.4982348757000001,1.4112387054
SRX2606344,3.6908131587,1.1517052757
SRX2606345,3.6334264906,0.9209967177
SRX2606346,-0.8388810509,-0.0245345959
SRX2606347,0.0239715307,0.1049695689
SRX2606348,1.2490467856,-0.4086891768
SRX2606349,2.1471731932,-0.1828266316
SRX2606350,2.3102435703,-0.1070335257
SRX2606351,3.4062491973,1.2716853709
SRX2606352,2.8635931049,1.0215725115
SRX2606353,-0.45796094810000004,0.911692232
SRX2606354,3.9395600412,1.2648414376
SRX2606355,3.1609801951,0.9984686904000001
SRX2606356,0.8015249636,-0.0878089494
SRX2606357,-0.2847936526,0.2522234465
SRX2606358,0.9689746717000001,-0.2932657382
SRX2606359,1.7779386745,0.042653739600000004
SRX2606360,1.5622751914,0.0168268673
SRX2606361,3.7992154619000003,1.4079597246
SRX2606362,2.4470358967,0.8343276438
SRX2606363,-0.3345619246,1.4485335769
SRX2606364,3.6945226412,0.9168915523000001
SRX2606365,3.2265651061,1.109487926
SRX2606366,1.4658424196,0.14042641150000001
SRX3648427,0.9687728265000001,0.3315449272
SRX3648428,-1.8821317308,0.0960372546
SRX3648429,-3.3912595255,0.5156983879
SRX3648430,-0.2812184473,0.17186247500000001
SRX3648431,-0.4041879789,0.2561313268
SRX3648432,-2.503850848,0.5429514333000001
SRX3648433,3.4375556139,0.4319542219
SRX3648434,-1.2520369895,0.031893412600000004
SRX3648435,-2.9722045776,-0.0807393577
SRX3648436,2.141835262,-0.5512443593
SRX3648437,2.3373373145,-0.4463863793
SRX3648438,0.4636759414,-0.6058912942
SRX3648439,1.1368393075,0.1469714393
SRX3648440,-1.0918432634,-0.07643387010000001
SRX3648441,-4.22295574,-0.7194990113
SRX3648442,1.6194074657000002,0.21000924110000002
SRX3648443,2.0700821849,0.23232588340000002
SRX3648444,-0.0314280481,0.0268055404
SRX3648445,2.0814919371,0.4448461795
SRX3648446,0.0097064985,0.3528012036
SRX3648447,-2.5725931611,0.23909313840000002
SRX3648448,3.6707510413,-0.0602106652
SRX3648449,3.6766187714000003,0.0998019089
SRX3648450,-0.8332910570000001,0.1050216583
SRX3648451,-0.8417403273,-0.1531657129
SRX3648452,-3.118565283,-0.0786721262
SRX3648453,-2.5537731455,0.0872249371
SRX3648454,0.1240183314,-0.6403434365
SRX3648455,0.6010100935,-0.6371254373
SRX3648456,-1.4412961014,-0.357842284
SRX3648457,0.7660710648,0.3279264027
SRX3648458,-1.1573712796,0.24680445040000001
SRX3648459,-3.7346794043,0.055341637900000004
SRX3648460,3.1582714597,0.2762931377
SRX3648461,-1.0850558928,-0.2948710815
SRX3648462,-3.162650572,-0.2725048147
SRX3648463,2.3702114924,0.23200179610000002
SRX3648464,-0.7203325303,0.0271426547
SRX3648465,-3.1626376603,-0.1103772304
SRX3648466,4.2614855432,0.5646151404
SRX3648467,-1.1489764047,0.20501080800000002
SRX3648468,-2.7923610033,0.101949335
SRX3648469,6.2241527014,4.0890651584
SRX3648470,4.1527641313,4.1534847228
SRX3648471,2.7867019282000003,4.015211354
SRX3648472,0.5782375702,-0.0160114261
SRX3648473,3.1924401469,0.9211836026
SRX3648475,1.5029935047,0.2456600125
SRX3648476,-1.2239644481,0.0834610588
SRX3648477,-3.5094776443,-0.1400401518
SRX3648478,0.9959786243000001,0.7123351767
SRX3648479,0.4181825817,0.6990694366
SRX3648480,-0.8097604451,0.79500879
SRX3648481,1.1819138358,0.348129754
SRX3648482,-0.8407167594,-0.2237976901
SRX3648483,-1.4540270129000001,0.04220103
SRX1429221,-0.7133061216000001,0.042083393000000004
SRX1429222,-0.1997998869,-0.13768334940000002
SRX1429223,0.9131060085,0.0955999564
SRX1429224,-1.4137513561000001,-0.253884271
SRX1429225,-1.220601566,-0.1059073865
SRX1429226,-1.4847925383,-0.034119428800000004
SRX1429227,-1.3562312494,-0.22090264
SRX1429228,-0.43413732180000003,-0.31228588560000003
SRX1429229,-1.4950669988,-0.0105668277
SRX1429230,-0.9825429301,0.4424181407
SRX1429231,-0.2334902121,0.4941670792
SRX1429232,-0.8597438831,0.2421989142
SRX1429233,-1.0852869244,0.0908436814
SRX1429234,-0.9622827967,0.0851224615
SRX1429235,-0.9221296120000001,-0.050174068700000005
SRX1429236,0.5965818399,-0.6071803037
SRX1429237,-0.35874100270000003,-0.3612563393
SRX1429238,-1.2276707016,-0.3270507164
SRX1429239,0.2103210332,0.10680066170000001
SRX1429240,-1.0174477515,0.31936494320000003
SRX1429241,-0.9112008302,-0.26821860740000003
SRX1429242,-0.8835068184,0.066156053
SRX1429243,-0.9480459616,0.3302612225
SRX1429244,-1.0377575556,0.2148517408
ERX2339161,-1.240804837,0.3808243363
ERX2339162,1.240804837,-0.3808243363
ERX2339163,-3.4984077734,-2.1761338482
ERX2339164,-1.5818530882,-1.2952995333000001
ERX2339165,-5.2402146454,-0.46084150830000004
ERX2339166,-2.6094103285,1.1562827374
ERX2339167,-2.7479179818,1.7226962519
ERX2339168,0.2007600222,-0.0611415227
ERX2339169,1.5745287503,-0.5249474307
ERX2339170,-3.057201843,-2.0246387865
ERX2339171,-1.8558272553,-1.7559468435
SRX7656012,0.49127248240000004,0.2010573403
SRX7656013,-0.2206071261,0.3010192511
SRX7656014,-0.1258295737,0.5822181475
SRX7656015,0.1136837187,-0.19940589
SRX7656016,-1.2074932583,-0.20810230740000002
SRX7656017,-1.0902553861,-0.009229734100000001
SRX7656018,-0.6421614386000001,0.018204892400000002
SRX7656019,0.09928199630000001,-0.1739077344
SRX7656020,-0.9971848723000001,-0.054284557500000004
SRX7656021,-0.0836443722,-0.0116590861
SRX7656022,0.1922356925,-0.3750683299
SRX7656023,-0.14294973600000002,0.0316944711
SRX7656024,-0.010569171300000001,-0.8158432091000001
SRX7656025,0.6830545361,-0.6111828617
SRX7656026,0.8138919466000001,-0.5530954594
SRX7656027,-0.032759385200000005,-0.0953722688
SRX7656028,0.6950463736,0.041637466000000005
SRX7656029,-0.0076667199000000005,-0.4129894176
SRX7656030,-0.27001506270000003,0.19287500230000001
SRX7656031,-0.055699761900000005,0.0116743462
SRX7656032,0.2030135738,0.08868940730000001
SRX7656033,-0.017956747800000002,-0.09493946340000001
SRX7656034,0.4949300058,0.0564227246
SRX7656035,-0.8439385511,-0.17819144480000002
SRX7656036,0.25595447860000003,-0.3368824232
SRX7656037,0.3484820594,0.0872207521
SRX7656038,0.5008666277,-0.3159877595
SRX7656039,-0.011959671600000001,0.1680952141
SRX7656040,-0.34105511390000004,-0.0095095191
SRX7656041,0.3530147856,-0.158585695
SRX7656042,0.46423346190000003,-0.0790817951
SRX7656043,0.9393753654,-0.3833198799
SRX7656044,0.6968359764000001,-0.5546824107
SRX7656045,-0.3417721425,-0.1937273367
SRX7656046,0.0001046757,-0.0142612415
SRX7656047,0.3259393158,0.289167457
SRX7656048,0.43467231110000004,0.0422389844
SRX7656049,0.14842929970000002,-0.7919978145000001
SRX7656050,0.5300352456,-0.2328716995
SRX7656051,-0.7254835946,-0.0635516998
SRX7656052,0.0902714428,-0.4220539998
SRX7656053,-0.6862969517,-0.3774189985
SRX7656054,-0.304259009,-0.2092562299
SRX7656055,0.2322665374,0.4598043457
SRX7656056,-0.1570867669,-0.17769433610000002
SRX7656057,-0.1845222987,0.5223363351
SRX7656058,0.7167523658,0.2651023764
SRX7656059,0.11798212620000001,0.1462061993
SRX7656060,0.9857254962,0.421367969
SRX7656061,-0.041215325000000004,0.5800783633000001
SRX7656062,0.0931891619,0.2469014824
SRX7656063,-0.0659231473,-0.3589025839
SRX7656064,0.10125646790000001,-0.2446122726
SRX7656065,0.6939849863,-0.0885609051
SRX7656066,0.5977167567,0.20285526920000002
SRX7656067,0.7381286245,0.3248302523
SRX7656068,0.7532233272000001,-0.2408848431
SRX7656069,0.5230657656000001,-0.08985309920000001
SRX7656070,0.7218771109000001,0.2794649204
SRX7656071,1.6372170716,0.0150246075
SRX7656072,0.4496353947,0.10098272030000001
SRX7656073,1.2739104430000001,0.0667695455
SRX7656074,2.010828125,0.4621630389
SRX7656075,0.363180441,-0.49718567280000003
SRX7656076,1.6956337430000001,-0.8002237470000001
SRX7656077,0.9084852479000001,-0.1433630895
SRX7656078,0.9533842014,-0.0876088047
SRX7656079,1.4963893356,0.27876134550000004
SRX7656080,0.4250790976,0.4506449675
SRX7656081,0.9363643715000001,0.1292197331
SRX7656082,1.2606893433,-0.6453027038
SRX7656083,1.0495916263,-0.2642713841
SRX7656084,1.5713071939,-0.020713052000000003
SRX7656085,0.9626962360000001,0.0214810294
SRX7656086,1.8788608247,0.7159101562
SRX7656087,-0.7433175745,-0.3987323867
SRX7656088,0.5030719882,-0.8856408090000001
SRX7656089,0.6450431421,-0.2205278024
SRX7656090,0.4611919095,-0.2120639621
SRX7656091,0.278923908,0.21665591010000002
SRX7656092,0.4054197506,-0.2428344748
SRX7656093,0.4450326591,-0.1548250224
SRX7656094,1.4807866877,-0.0192674909
SRX7656095,0.7657275674,-0.0372415859
SRX7656096,0.0608676118,-0.1405992714
SRX7656097,-0.0870082757,-0.1642196542
SRX7656098,0.0841487327,-0.72053789
SRX7656099,0.2874905417,-0.39732916630000004
SRX7656100,0.3844148734,-0.4851251552
SRX7656101,1.0079388665,-0.4922361981
SRX7656102,0.4369412116,0.13480690780000001
SRX7656103,-0.7182928197,-0.20254118070000002
SRX7656104,-0.1239150467,0.0005632874
SRX7656105,0.6363999478,-0.4371334757
SRX7656106,-0.247188066,-0.33370920800000003
SRX7656107,-0.0535818059,-1.2198792494
SRX7656108,-0.6438270227,0.6729386762
SRX7656109,0.7975028084,-0.4409668734
SRX7656110,0.1113691916,0.605895226
SRX7656111,-1.2625936846,0.45555890920000003
SRX7656112,-1.6492768387,0.20977032550000002
SRX7656113,0.2410540387,0.6987269867
SRX7656114,1.1590062225,0.3795167856
SRX7656115,-0.3143629817,-0.013807348300000001
SRX7656116,0.1569215219,0.6693445126
SRX7656117,-0.0644017559,-0.1080498061
SRX7656118,1.5279948753,-0.7067308033
SRX7656119,-1.1522212865,-0.4868677817
SRX7656120,0.2889551235,-0.3534303776
SRX7656121,1.0719087817,-0.21950950700000002
SRX7656122,0.1877622184,-0.0940441709
SRX7656123,0.7440465418000001,0.025714365500000003
SRX7656124,-0.07894047030000001,-0.2882307537
SRX7656125,0.6619515378,0.3125790766
SRX7656126,1.6998120553,0.2779745657
SRX7656127,0.11842759,-0.43774368210000003
SRX7656128,0.7275074195,0.0018406031000000002
SRX7656129,1.174563535,-0.18944334200000001
SRX7656130,1.3255254206,-0.5219933204
SRX7656131,0.0841850509,-0.5397993977000001
SRX7656132,0.8112403578,-0.1538438605
SRX7656133,1.1151284122,-0.34421298240000003
SRX7656134,0.7877599499,0.1543863227
SRX7656135,0.3163200085,-0.16624590350000001
SRX7656136,0.2567287901,0.062255512400000004
SRX7656137,0.5524006203,-0.5097886645
SRX7656138,-0.2447733098,-0.1310243972
SRX7656139,-0.5064888986,-0.0679457219
SRX7656140,0.165776733,-0.7022963099
SRX7656141,0.7017398956,0.0752991897
SRX7656142,0.9432270162,-0.4102429004
SRX7656143,0.4366565808,-0.19980045740000002
SRX7656144,1.0846252571,-0.2227958605
SRX7656145,1.1115507444,-0.8015448611
SRX7656146,1.11762201,-0.73252984
SRX5388319,-0.7135846554,-0.2161962863
SRX5388320,-0.6528079952,-0.1529757653
SRX5388321,1.3663926505,0.3691720516
SRX5388322,-1.2953047404,-0.0480570465
SRX5388323,0.5757129319000001,0.1319218847
SRX5388324,3.4935045146,0.2706889277
SRX5388325,-1.466688508,-0.2524285034
SRX5388326,2.9149566975,0.12131707400000001
SRX5388327,4.0559060049,0.22735159430000002
SRX8708326,-1.90320357,-0.051333519200000004
SRX8708328,-3.3708181253,-1.0880455161
SRX8708335,0.14675441120000002,0.059714957000000006
SRX8708336,1.6421811428000002,0.46166982040000004
SRX8708337,1.5818825712,0.5666607387
SRX8708338,-4.2177442824,-0.1400025942
SRX8708339,-3.629076618,-0.30364713790000003
SRX8708340,-3.0159308815,-0.2194250688
SRX8708365,-5.8298208826,-0.1225330594
SRX8708366,-6.1953981906,-0.029139694100000002
SRX8708368,-5.9527554752,0.0828617177
SRX8708369,0.7790698283,0.4542263519
SRX8708370,1.0578927915,0.2358406972
SRX8708371,1.8277029356,0.717980815
SRX4166001,-0.0019624325000000002,-0.3713541956
SRX4166002,0.40407865940000004,-0.3420487599
SRX4166003,-0.40211622690000004,0.7134029556
SRX4166004,-0.5809168293,-0.0347542602
SRX4166005,-0.1400101038,0.3697675348
SRX4166006,0.029933810600000003,0.9708528627
SRX4166007,-0.6112398223000001,0.7006825967
SRX4166008,-0.1390312561,0.4680246643
SRX4166009,-0.7125784298000001,0.35427596170000003
SRX4166010,-0.6904957022,0.2304033995
SRX4166011,0.39387866720000003,-0.17774068540000001
SRX4166012,-0.0160794603,0.24557190980000002
SRX5000481,-0.2168207466,0.45097015630000004
SRX5000482,0.1220728984,0.2701463628
SRX5000483,2.3951055278,1.7742956108999999
SRX5000484,0.0834356908,0.6423188434
SRX5000485,0.236958898,1.1861821068
SRX5000486,1.2685498828,1.6144822154
SRX5000487,0.0596884618,0.7541615783000001
SRX5000488,-0.10144369560000001,0.5201805699000001
SRX5000489,0.3680899559,0.7376647755
SRX5000490,0.9368514149,0.8552677626
SRX5000491,0.13495231100000002,0.4040085162
SRX5000492,3.4510788398,1.2905884323999999
SRX5000493,2.240058544,0.6508543704
SRX5000494,2.4758718761000003,0.6371173978
SRX5000495,3.9078072443,1.1867171711
SRX5000496,3.9421150587,1.3872623289
SRX5000497,0.0335085038,0.2978263371
SRX5000498,-0.025409644800000002,-0.2151928895
SRX5000499,2.8155523369,0.5812555506
SRX5000500,-0.008098859,-0.0826334476
SRX5000501,0.007115273,0.6181034731
SRX5000502,-0.8627542463000001,0.601205514
SRX5000503,-0.5430620906,0.294102858
SRX5000504,0.0839257491,0.4325006602
SRX5000505,0.2896577825,0.2037416293
SRX5000506,0.10657905200000001,0.08770302220000001
SRX5000507,0.23714018690000002,0.7125584562
SRX5000508,-0.0190946942,0.3100841636
SRX5000509,-0.29306842510000003,0.3416852278
SRX5000510,-0.8307314137,0.5217686897
SRX5000511,-0.5151123736000001,-0.0022579774
SRX5000512,-0.1032128955,0.41070434370000003
SRX5000513,-0.2658362172,0.6115448445
SRX5000514,-1.0116269429,0.4379552881
SRX5000515,-0.248414619,0.2102625393
SRX5000516,-0.1433007211,0.5960336346
SRX4124772,-1.3923472837,0.3908035622
SRX4124773,-0.7731879241,-0.0562146788
SRX4124774,-0.1798370164,-0.0206866128
SRX4124775,0.1798370164,0.0206866128
SRX5323946,-0.30072978910000003,0.2372557173
SRX5323947,0.30072978910000003,-0.2372557173
SRX5323948,0.40779172760000004,0.8471343571000001
SRX5323949,0.9824894589000001,0.6680051086000001
SRX5323950,0.030131657000000003,0.4304685841
SRX5323951,0.050612307700000005,0.4491042404
SRX5323952,-0.42929968150000003,0.10421161200000001
SRX5323953,0.3482731949,0.0300684649
SRX5323954,-0.19788673810000001,0.3532609532
SRX5323955,-0.3022544539,0.2535537161
DRX093856,-0.9315435485,0.0465609957
DRX093857,-1.4905177718,0.1601977105
DRX093858,-2.714611579,0.2175712059
DRX093859,-2.257578935,-0.024630438600000002
DRX093860,-2.1215385987,-0.1375985149
DRX093861,-0.0561138178,0.1486199517
DRX093862,-2.5084695175,0.030189248000000002
DRX093863,-3.2280450499,0.2592453066
DRX093864,-2.2951224049,0.0176046292
DRX093865,-2.4013176371,-0.8172089769
DRX093866,0.9876573663,-0.1951809474
DRX093867,-2.6485263713,0.2359692165
DRX093868,-3.2600515703,-0.3212843026
DRX093869,-3.0534417739,-0.5623189534
DRX093870,-3.6148631198,-0.9361950065
SRX6366242,0.0085364742,-0.1800593114
SRX6366243,0.7971803063,-0.6350473059
SRX6366244,2.877333162,0.0024629384
SRX6366245,0.6748073515,-0.9236707605000001
SRX6366246,1.6926639211,-0.5182073851
SRX6366247,2.4114503482,-0.1508810402
SRX6366248,0.940449144,-0.3612996068
SRX6366249,0.7805914939,-0.1577608614
SRX6366250,0.8625691381,-0.5030794115
SRX6366251,0.8073651324000001,-0.4375646264
SRX6366252,0.52324072,0.09498496640000001
SRX6366253,-0.52324072,-0.09498496640000001
SRX254739,-0.4765462924,-1.1723550594
SRX254740,-0.7434448410000001,-1.0362845682
SRX254741,-0.3124559297,-0.6892862283
SRX254742,-0.4436706574,-1.242012421
SRX254743,-0.9226324931000001,-1.1172925571
SRX254744,-1.3059444484,-0.9750532070000001
SRX254745,-1.1520710840000001,-0.42060175590000004
SRX254746,-2.3413678552,-0.5244085101
SRX254747,-0.9874580915000001,-0.3174315495
