,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
126,yTF__delyieP,8.35973166475,0.36671521621511743,2.0,206.0,8.1004248486,207.0,8.6190384809,,,,,,,,
127,yTF__wt_ph5,7.91670294255,0.10279800587971358,2.0,208.0,7.9893921096,209.0,7.8440137755,,,,,,,,
128,yTF__wt_ph8,7.55682604725,0.2801547664662229,2.0,210.0,7.7549253824,211.0,7.3587267121,,,,,,,,
129,yTF__delybaO,7.02741468325,0.14116653496449172,2.0,212.0,7.1272344974,213.0,6.9275948691,,,,,,,,
130,yTF__delybaQ,7.7436434419,0.0575311389769682,2.0,214.0,7.7843241004,215.0,7.7029627834,,,,,,,,
131,yTF__delybiH,8.27904041505,0.24707812893100817,2.0,216.0,8.1043297946,217.0,8.4537510355,,,,,,,,
132,yTF__delydcI_ph5,7.7500242369,0.15981944751027094,2.0,218.0,7.863033652,219.0,7.6370148218,,,,,,,,
133,yTF__delydcI_ph8,7.2842918465,0.03152922457141384,2.0,220.0,7.261997318,221.0,7.306586375,,,,,,,,
134,yTF__delyddM,7.4807441289,0.018647745221553845,2.0,222.0,7.4675581818,223.0,7.493930076,,,,,,,,
135,yTF__delyheO,6.8098860376,0.00012261542712752106,2.0,224.0,6.8099727398,225.0,6.8097993354,,,,,,,,
136,False Positives__bw_glc,7.945080630350001,0.0008094831858909113,2.0,226.0,7.9445082393,227.0,7.9456530214,,,,,,,,
137,False Positives__fps_thrA_ale1,9.6234168794,0.026258034279975966,2.0,228.0,9.6419841135,229.0,9.6048496453,,,,,,,,
138,False Positives__fps_thrA_ale2,9.5185841213,0.08652212597556659,2.0,230.0,9.4574037393,231.0,9.5797645033,,,,,,,,
139,False Positives__fps_serB_ale1,6.86776446745,0.04196826241745621,2.0,232.0,6.8380884245,233.0,6.8974405104,,,,,,,,
140,False Positives__fps_serB_ale4,6.4327066302,0.049610604838402086,2.0,234.0,6.3976266351,235.0,6.4677866253000005,,,,,,,,
141,False Positives__fps_ptsI_ale1,7.315314539299999,0.009879164485281602,2.0,236.0,7.3223001635,237.0,7.3083289151,,,,,,,,
142,False Positives__fps_ptsI_ale3,7.28292763405,0.15860143479576339,2.0,238.0,7.170779484,239.0,7.3950757841,,,,,,,,
143,Enzyme Promiscuity__lyx_ale2_f6,7.5138527962,,1.0,240.0,7.5138527962,,,,,,,,,,
144,Enzyme Promiscuity__lyx_ale2,7.098894758149999,0.0276106795599367,2.0,241.0,7.1184184569,242.0,7.0793710594,,,,,,,,
145,Enzyme Promiscuity__lyx_ale4,7.098894758149999,0.0276106795599367,2.0,243.0,7.1184184569,244.0,7.0793710594,,,,,,,,
146,Enzyme Promiscuity__5drib_ale10_f18,7.70037589875,0.04454019815387894,2.0,245.0,7.6688812226,246.0,7.7318705749,,,,,,,,
147,Enzyme Promiscuity__5drib_ale10,7.5113861645,,1.0,247.0,7.5113861645,,,,,,,,,,
148,Enzyme Promiscuity__arab_ale14_f9,7.6084588031,0.07402770174564385,2.0,248.0,7.660804293,249.0,7.5561133132,,,,,,,,
149,Enzyme Promiscuity__arab_ale14,8.29042823695,0.20086481324880523,2.0,250.0,8.4324611085,251.0,8.1483953654,,,,,,,,
150,Enzyme Promiscuity__arab_ale16,7.9701078032499995,0.47367660381924215,2.0,252.0,8.3050477419,253.0,7.6351678646,,,,,,,,
151,Enzyme Promiscuity__tartr_ale26_f10,5.7718868385,0.7648768922742294,2.0,254.0,6.3127364758,255.0,5.2310372012,,,,,,,,
152,Enzyme Promiscuity__tartr_ale26,7.8533397985,0.11847648902393774,2.0,256.0,7.7695642697,257.0,7.9371153273,,,,,,,,
153,Enzyme Promiscuity__tartr_ale28_f10,6.5175399532,0.297256221680255,2.0,258.0,6.7277318433,259.0,6.3073480631,,,,,,,,
154,Enzyme Promiscuity__tartr_ale28,7.3750914401,0.0010480185167455146,2.0,260.0,7.3743503791,261.0,7.3758325011,,,,,,,,
155,Pseudogene Repair__delmenFentC_citr,6.942154413400001,0.012177373105588061,2.0,262.0,6.9507651165,263.0,6.9335437103,,,,,,,,
156,Pseudogene Repair__delmenFentC,8.6042115671,0.048941131128638786,2.0,264.0,8.5696049614,265.0,8.6388181728,,,,,,,,
157,Pseudogene Repair__menFentC_ale39,7.8246882679,0.1836501737150513,2.0,266.0,7.9545485511,267.0,7.6948279847,,,,,,,,
158,Pseudogene Repair__menFentC_ale29,8.4011726877,0.058812452102659285,2.0,268.0,8.359586004,269.0,8.4427593714,,,,,,,,
159,Pseudogene Repair__menFentC_ale30,7.2435756403,0.09148483980234096,2.0,270.0,7.1788860897,271.0,7.3082651909,,,,,,,,
160,Pseudogene Repair__menFentCubiC_ale36,7.556929401,0.05486525095247953,2.0,272.0,7.51813381,273.0,7.595724992,,,,,,,,
161,Pseudogene Repair__menFentCubiC_ale37,8.4079040666,0.023055299897765714,2.0,274.0,8.3916015077,275.0,8.4242066255,,,,,,,,
162,Pseudogene Repair__menFentCubiC_ale38,6.9786486320000005,0.0356762492896312,2.0,276.0,7.0038755498,277.0,6.9534217142,,,,,,,,
