,A,CcpA,PhoP,TnrA,Spx,ComA,Abh,SigA,CodY,PerR
GM+25_3,1.7155890247999999,13.2819,11.2242,10.6223,13.6364,12.2746,10.7935,13.1581,12.6836,11.8927
GM+45_3,-1.3668758030000001,13.2495,11.0635,10.4202,13.8703,11.7777,10.4022,12.8715,12.5311,11.656
GM+60_3,-3.1448920786,12.634,10.8261,10.3495,13.3376,11.7549,10.594899999999999,12.9321,12.4122,11.8074
GM+90_3,-3.8462064745999998,13.2579,11.5253,10.5919,13.7014,11.9982,11.2373,13.4402,12.9654,11.4746
GM+120_3,4.19707723,13.29,11.1806,10.0528,13.4719,12.0497,11.3498,13.4896,13.391,11.8201
GM+150_3,0.12430360900000001,13.3888,11.5602,10.6362,14.0702,12.2021,12.096,13.4983,13.2016,12.0708
MG-0.1_1,-7.494615948,13.6571,12.1473,10.7764,13.9533,12.8824,11.5595,13.6023,13.4929,12.541
MG+5_1,-6.9994705832,12.8692,12.0417,10.8878,14.1423,12.7978,11.7602,13.617,13.4158,12.6422
MG+10_1,-6.0749846336,13.4806,12.3921,10.8549,14.5575,13.0946,11.8048,13.9654,13.8799,12.6398
MG+15_1,-6.4943178019,12.6316,11.5252,10.0373,13.8579,12.2207,11.1336,13.1208,13.0666,11.9836
MG+25_1,-6.7891003965,13.1645,11.7972,10.5185,14.4246,12.585,11.8273,13.7609,13.6525,12.4385
MG+45_1,-7.3812688232,12.4435,11.6371,10.3318,13.9129,12.1394,12.0895,13.5406,13.4574,12.3163
MG+120_1,5.7332968138,11.894,10.7459,9.4208,13.346,11.6937,10.7387,13.0947,12.006,11.7649
MG+150_1,5.7835988298,12.5128,11.8052,10.5693,13.6518,12.3803,11.241,13.2405,12.7045,11.4609
MG-0.1_2,-9.9623626961,12.9375,11.2738,9.7419,13.0296,12.2018,10.5356,12.8072,12.4982,11.1928
MG-0.2_2,-8.901166793,13.6087,11.7919,10.266,13.8387,12.7485,11.042,13.3433,13.122,12.0232
MG+5_2,-7.3377811481,13.0316,11.7411,10.3748,14.0558,12.6032,11.2344,13.3291,13.1446,12.1478
MG+10_2,-7.9799381272000005,13.0755,12.0557,10.3526,14.2,12.8987,11.497,13.6988,13.447,12.4722
MG+15_2,-9.96783511,13.7731,12.7556,11.1088,14.9644,13.6044,12.3414,14.3943,14.0645,12.8881
MG+25_2,-9.7320412002,12.6242,11.5086,10.2617,13.9053,12.3722,11.6967,13.3344,13.2264,12.1616
MG+45_2,-8.0548364155,12.3326,10.9311,9.6874,13.4378,11.9258,11.2472,12.8247,12.7583,11.8781
MG+60_2,-6.7667724757,12.9403,11.3789,10.1511,14.0038,12.3355,11.7008,13.5254,13.2182,11.7663
MG+90_2,-4.7356660016,12.3262,11.1136,9.4605,13.5341,11.9004,11.4123,13.0474,12.8625,11.8438
MG+120_2,8.3377881033,12.4522,11.9595,10.2887,14.0862,12.4416,11.4444,13.4313,12.8783,11.8577
MG-0.1_3,-8.6193007536,14.2522,12.7382,11.267,14.837,13.5372,12.107,13.9857,14.0032,13.0127
MG-0.2_3,-7.9247116263,13.8537,12.1714,10.9377,14.4239,13.0719,12.0905,13.6561,13.531,12.043
MG+5_3,-6.1046227179,13.1516,11.9096,10.2178,14.4917,12.5222,11.5984,13.3195,13.5911,12.2692
MG+10_3,-8.4375083326,12.4734,11.5177,9.9705,13.4479,12.3391,11.1099,13.2006,12.6769,11.3842
MG+15_3,-8.4528508133,13.3498,12.3406,10.9781,14.6253,13.211500000000001,12.4593,13.788,13.8515,12.6701
MG+25_3,-9.2314144172,13.2105,12.0088,10.5128,14.6653,12.9844,12.1723,13.6718,13.8236,12.2033
MG+45_3,-8.5224997456,13.5852,12.2286,10.5884,14.733,13.017,12.2093,13.7991,14.0054,12.3889
MG+60_3,-6.8334720211,13.2027,11.7881,10.3994,14.054,12.3797,11.5577,13.3483,13.326,12.1559
MG+90_3,-5.9092291966,12.9587,11.9614,10.3749,14.1731,12.5076,12.3307,13.5993,13.4192,11.9657
MG+120_3,0.1680614899,12.1837,11.7381,10.1051,13.685,12.2462,11.46,13.1479,12.6067,11.3093
MG+150_3,7.8892649771,12.4669,11.7734,10.7111,13.4997,12.3054,11.556000000000001,13.0847,12.8309,11.5188
