,b4169
p1k_00238,0.033695418000000636
p1k_00239,0.052968890999999914
p1k_00240,0.2641530430000012
p1k_00241,0.3347237830000012
p1k_00242,0.3541233730000011
p1k_00243,-0.3446249610000001
p1k_00244,-0.5520409549999998
p1k_00245,0.3532966860000002
p1k_00246,0.5934990760000005
p1k_00247,0.2893653660000002
p1k_00248,0.43422505499999975
p1k_00249,-0.09158448299999923
p1k_00250,-0.16488740100000054
p1k_00251,0.42889008800000106
p1k_00252,0.5646740989999994
p1k_00253,0.02406487100000021
p1k_00254,0.15499387800000086
p1k_00255,-0.206753859
p1k_00256,-0.4764920179999992
p1k_00257,0.11661154399999953
p1k_00258,0.22315845600000014
p1k_00259,-0.3656042959999999
p1k_00260,-0.220974869
p1k_00261,-0.38175945099999975
p1k_00262,-0.4098046049999997
p1k_00263,-0.21870053600000008
p1k_00264,-0.2422156739999997
p1k_00265,0.10531963399999976
p1k_00266,0.1371708620000005
p1k_00267,0.04331072300000116
p1k_00268,0.08813245500000022
p1k_00269,-0.3678458249999999
p1k_00270,-0.2086677219999995
p1k_00271,0.5529012330000009
p1k_00272,1.0197007760000003
p1k_00273,-0.023691185999999757
p1k_00274,0.2361693300000001
p1k_00275,-0.05327938399999965
p1k_00276,0.09583985100000003
p1k_00277,-0.34729122399999923
p1k_00278,-0.3714659869999988
p1k_00279,-0.20310282399999924
p1k_00280,-0.3249832389999998
p1k_00281,-0.06599885699999941
p1k_00282,-0.386242371999999
p1k_00283,-0.3044733079999995
p1k_00284,-0.2291436779999998
p1k_00285,0.02175391200000032
p1k_00286,-0.0745770109999997
p1k_00287,-0.0592556429999993
p1k_00288,-0.04545648100000044
p1k_00289,-0.3723316919999995
p1k_00290,-0.4952162629999997
p1k_00291,-0.1682004389999996
p1k_00292,-0.021436106000000343
p1k_00293,-0.37602102899999945
p1k_00294,-0.5285026149999998
p1k_00295,-0.27874018299999914
p1k_00296,-0.2910881279999993
p1k_00297,-0.19263449899999951
p1k_00298,-0.2401514669999996
p1k_00299,-0.1737214739999997
p1k_00300,-0.31869591099999983
p1k_00301,-0.30884863
p1k_00302,-0.3208411989999993
p1k_00303,-0.1174829510000004
p1k_00304,-0.23035627299999814
p1k_00305,-0.21001608999999988
p1k_00306,-0.00025293499999978764
p1k_00307,-0.0418194380000001
p1k_00308,-0.050354039999999316
p1k_00309,-0.4233755960000005
p1k_00310,-0.4832312969999988
p1k_00311,-0.0479001849999996
p1k_00312,-0.22396902199999946
p1k_00313,-0.1360120269999996
p1k_00314,-0.2161751350000003
p1k_00315,-0.1079137569999995
p1k_00316,0.0675763930000004
p1k_00317,-0.3335460879999994
p1k_00318,-0.4212808450000001
p1k_00319,-0.3115137359999993
p1k_00320,-0.2431976449999995
p1k_00321,0.18540796399999948
p1k_00322,0.07962831200000052
p1k_00323,0.19208515700000015
p1k_00324,0.17278729700000015
p1k_00325,-0.054900179999999736
p1k_00326,-0.18979036499999946
p1k_00327,-0.0719458469999994
p1k_00328,-0.05966299500000005
p1k_00329,-0.4045211109999993
p1k_00330,-0.4903695729999997
p1k_00331,-0.3026419949999992
p1k_00332,-0.1508071959999997
p1k_00333,-0.4203780939999993
p1k_00334,-0.3371827549999997
p1k_00335,-0.513222131
p1k_00336,-0.3268954389999994
p1k_00337,-0.2271408229999992
p1k_00338,-0.3996371619999993
p1k_00339,-0.09460394199999912
p1k_00340,-0.1819911809999999
p1k_00341,-0.3029773429999993
p1k_00342,-0.1055494269999988
p1k_00343,-0.15283032699999932
p1k_00344,-0.2022993779999993
p1k_00345,0.22979702700000185
p1k_00346,-0.21465776400000006
p1k_00347,-0.12504394399999974
p1k_00348,-0.2797323429999992
p1k_00349,0.10045702599999996
p1k_00350,-0.022115082999999203
p1k_00351,0.08671742000000028
p1k_00352,0.2546521690000008
p1k_00353,-0.1733683629999998
