,A,flhD
pal__tartr_ale26__2,-4.3142385103,-0.012420493000000001
pal__tartr_ale28_f10__1,-2.6916918939,0.149885852
pal__tartr_ale28_f10__2,-3.5321401031,-0.22147469900000002
pal__tartr_ale28__1,6.2982439376,0.575068115
pal__tartr_ale28__2,7.4726740049,0.530433175
efeU__delmenFentC_citr__1,-3.7701583197,0.060402999000000006
efeU__delmenFentC_citr__2,-4.1501328993,-0.47311935400000005
efeU__delmenFentC__1,-5.0128909246,-0.636412612
efeU__delmenFentC__2,-5.1096324142,-0.7587817750000001
efeU__menFentC_ale39__1,-4.5957379241,-0.22288194700000002
efeU__menFentC_ale39__2,-5.3523584786,-0.238466383
efeU__menFentC_ale29__1,-7.1593580821,-1.2788957459999999
efeU__menFentC_ale29__2,-6.1750284442,-1.348244843
efeU__menFentC_ale30__1,-2.4364562678,0.9363966950000001
efeU__menFentC_ale30__2,-5.4821857781,0.283725402
efeU__menFentCubiC_ale36__1,-5.8969789677,-1.198277712
efeU__menFentCubiC_ale36__2,-6.8331018349,-0.77902878
efeU__menFentCubiC_ale37__1,-6.5581500829,-0.9361329690000001
efeU__menFentCubiC_ale37__2,-6.6908286262,-1.0344128
efeU__menFentCubiC_ale38__1,-3.9060215225,-0.175843991
efeU__menFentCubiC_ale38__2,-5.3758044377,-0.28644184300000003
misc2__salc_glc__1,-3.6276979316,0.30143253600000003
misc2__salc_glc__2,-4.8634168931,-0.06903392700000001
misc2__dbcn_glc__1,29.707069473,1.463437711
misc2__dbcn_glc__2,26.1198921759,1.381185672
misc2__tyr_glc__1,31.5006776256,2.116689324
misc2__tyr_glc__2,30.9449599071,1.942793294
misc2__arg_cytd__1,27.2112634856,1.780998534
misc2__arg_cytd__2,27.2647374826,1.557233082
misc2__delyheO_pyr__1,2.1298758997,0.5170173170000001
misc2__delyheO_pyr__2,1.9744030119,0.46639146400000003
nquinone__delubiC__1,27.1994238885,2.081093682
nquinone__delubiC__2,24.5822335991,2.067243949
nquinone__ubiC_ale1__1,17.0188873661,2.016187239
nquinone__ubiC_ale1__2,16.808611912,2.130172704
nquinone__ubiC_ale2__1,8.719714575,1.6017845400000001
nquinone__ubiC_ale2__2,8.9136879191,1.685121228
nquinone__ubiC_ale3__1,29.7215457928,2.078965756
nquinone__ubiC_ale3__2,29.4843577331,1.758260925
nquinone__ubiC_ale4__1,8.9573656457,1.745223253
nquinone__ubiC_ale4__2,9.2127574651,1.5883818729999999
nquinone__delpdhR__1,34.2565317222,2.487520671
nquinone__delpdhR__2,34.0014542278,2.742434285
quinone__glu_ale4__1,24.7539923664,1.283280991
quinone__glu_ale4__2,23.3982252706,0.628675192
quinone__delmenF__1,1.6099468356000002,0.49441161400000005
quinone__delmenF__2,-1.3482353741,0.34559976000000003
quinone__menF_ale5__1,-2.5604052615,-0.617665388
quinone__menF_ale5__2,-3.0552834062,-0.9428778360000001
quinone__menF_ale6__1,-4.1901253987,-0.341965565
quinone__menF_ale6__2,-4.4793605565,-0.376441118
quinone__menF_ale7__1,-3.4984499224,-0.176329813
quinone__menF_ale7__2,-3.5971586758000003,-0.163202068
quinone__menF_ale8__1,-1.8187207902,0.037136844
quinone__menF_ale8__2,-3.1474894271,-0.201090442
quinone__delmenFubiC__1,-5.0321523478,-0.396171798
quinone__delmenFubiC__2,-4.8696198885,-0.138630319
quinone__menFubiC_ale1__1,-2.7727795695,-0.7480392810000001
quinone__menFubiC_ale1__2,-2.1812599369,-0.9295279080000001
quinone__menFubiC_ale2__1,-5.3694180652,-1.116040735
quinone__menFubiC_ale2__2,-5.9339863608000005,-0.725380417
quinone__menFubiC_ale3__1,-0.6176210599,0.244913292
quinone__menFubiC_ale3__2,-0.7712832968000001,0.777354618
quinone__menFubiC_ale4__1,-6.2764358602,-0.8971376040000001
quinone__menFubiC_ale4__2,-6.1998949674,-1.099791068
oxyR__wt_glc__1,31.1829113338,2.244631237
oxyR__wt_glc__2,31.4605738428,2.173552001
oxyR__wt_h2o2__1,30.1079154621,2.170221132
oxyR__wt_h2o2__2,29.2055545612,1.7986536640000002
oxyR__glu_ale4__1,12.7360196446,0.924601918
oxyR__glu_ale4__2,12.4544408808,0.893076088
oxyR__glu_ale4_h2o2__1,15.2955651026,1.059471857
oxyR__glu_ale4_h2o2__2,6.6579328035,0.7125101410000001
oxyR__oxyR_ale17__1,1.0006438649,1.368485088
oxyR__oxyR_ale17__2,-2.8754892403000003,1.10586138
oxyR__oxyR_ale17_h2o2__1,8.9567786249,1.713999958
oxyR__oxyR_ale17_h2o2__2,10.8820272263,1.526206519
oxyR__oxyR_ale18__1,30.3891140214,2.001790782
oxyR__oxyR_ale18__2,30.1902424577,2.136277352
oxyR__oxyR_ale18_h2o2__1,19.6083407456,1.311755059
oxyR__oxyR_ale18_h2o2__2,22.6254920061,1.517619146
oxyR__oxyR_ale19__1,24.9073089814,2.06372208
oxyR__oxyR_ale19__2,25.3954101243,1.91510892
oxyR__oxyR_ale19_h2o2__1,27.1464903781,1.969568062
oxyR__oxyR_ale19_h2o2__2,27.6778151087,1.911255718
oxyR__oxyR_ale20__1,-5.8217347188,0.9457226830000001
oxyR__oxyR_ale20__2,-6.2028431764,1.2245723640000001
oxyR__oxyR_ale20_h2o2__1,-4.3539230652,1.173734902
oxyR__oxyR_ale20_h2o2__2,-4.3420863716,0.988142504
svns_pgi__BmePgi24_15__1,-7.0792464963,0.21844016400000002
svns_pgi__BmePgi24_15__2,-5.8927674601,0.189098176
svns_pgi__BmePgi24_26__1,-6.99271971,0.38370823800000003
svns_pgi__BmePgi24_26__2,-7.923578474,0.21180419900000003
svns_pgi__BmePgi24_41__1,-7.1719880412,0.20384786600000002
svns_pgi__BmePgi24_41__2,-6.9555387309,0.37454479300000004
svns_pgi__BmePgi24_52__1,-6.6330728702,0.177850705
svns_pgi__BmePgi24_52__2,-7.9214719096,0.129183042
svns_pgi__PaePgi2_34__1,-7.3549195633,-1.751975115
svns_pgi__PaePgi2_34__2,-8.5294284325,-1.5200819349999999
svns_pgi__PaePgi2_63__1,-8.0181579473,-1.6075423930000001
svns_pgi__PaePgi2_63__2,-8.1669101812,-1.6181470660000001
svns_pgi__PaePgi24_54__1,-7.7489978011,-1.477112251
svns_pgi__PaePgi24_54__2,-7.7596597890000005,-1.850636112
svns_pgi__PaePgi24_90__1,-8.6823508951,-1.906391237
svns_pgi__PaePgi24_90__2,-8.4253738584,-1.977305699
abx_media__m9_ctrl__1,8.0833632104,-0.100565267
abx_media__m9_ctrl__2,9.0295577125,0.206925136
abx_media__rpmi_ctrl__1,24.2101299804,2.0691477640000002
abx_media__rpmi_ctrl__2,25.8644103032,1.94828184
abx_media__camhb_ctrl__1,6.9533965588,0.8445057460000001
abx_media__camhb_ctrl__2,7.4782607912,0.607450084
abx_media__m9_mero__1,6.0828738719,-0.844547954
abx_media__m9_mero__2,9.5160908728,-0.09930185200000001
abx_media__rpmi_mero__1,21.8477189696,1.971832153
abx_media__rpmi_mero__2,23.1392511888,2.039810244
abx_media__camhb_mero__1,6.4255181887,-1.56025038
abx_media__camhb_mero__2,6.5631087745,-0.865575728
abx_media__m9_trisulf__1,10.6379761346,-1.256438904
abx_media__m9_trisulf__2,9.6305812036,-1.013137859
abx_media__rpmi_trisulf__1,2.5660750567,-1.566168539
abx_media__rpmi_trisulf__2,0.8762744971,-2.119980255
abx_media__camhb_trisulf__1,0.1080399789,-2.443539889
abx_media__camhb_trisulf__2,1.8133059443000001,-1.979469816
abx_media__m9_cef__1,10.9429913978,0.260596748
abx_media__m9_cef__2,10.9790418893,-0.027782823
abx_media__rpmi_cef__1,14.4402182383,0.018353361000000002
abx_media__rpmi_cef__2,14.095987643,0.47742122200000003
abx_media__camhb_cef__1,11.2176619107,-1.7800330500000001
abx_media__camhb_cef__2,11.7386427869,-1.59875498
abx_media__m9_cipro__1,17.0271082921,-0.682633892
abx_media__m9_cipro__2,17.0972347303,-0.7594989980000001
abx_media__rpmi_cipro__1,16.3169355234,-0.576686869
abx_media__rpmi_cipro__2,16.6578900125,-0.7895004750000001
abx_media__camhb_cipro__1,7.1538307704,-1.762879713
abx_media__camhb_cipro__2,6.8933840347,-1.586339112
hot_tale__42c_ale3_30c__1,34.2983016612,2.237680585
hot_tale__42c_ale3_30c__2,33.0229707672,2.306604151
hot_tale__42c_ale3_37c__1,32.824363504,2.395374984
hot_tale__42c_ale3_37c__2,32.9697608011,2.488447088
hot_tale__42c_ale3_44c__1,-4.4563000991,1.8608806420000001
hot_tale__42c_ale3_44c__2,-4.2511415471,1.369801592
hot_tale__hot_ale3_mid_30c__1,22.5195128645,2.020853684
hot_tale__hot_ale3_mid_30c__2,33.2682512595,2.478346114
hot_tale__hot_ale3_mid_37c__1,33.9217173865,2.650846735
hot_tale__hot_ale3_mid_37c__2,34.0238951313,2.6458565380000003
hot_tale__hot_ale3_mid_44c__1,23.1836897305,2.437296425
hot_tale__hot_ale3_mid_44c__2,20.0999933548,2.782620874
hot_tale__hot_ale3_30c__1,31.4002069562,2.2926954950000002
hot_tale__hot_ale3_30c__2,32.2795792372,2.218483095
hot_tale__hot_ale3_37c__1,31.2028815634,2.156801522
hot_tale__hot_ale3_37c__2,31.5478855904,2.114231912
hot_tale__hot_ale3_44c__1,13.7313613037,2.191115108
hot_tale__hot_ale3_44c__2,10.1391166654,2.135317868
hot_tale__hot_ale4_30c__1,31.2793755375,1.3999055980000001
hot_tale__hot_ale4_30c__2,30.9773786396,1.424411969
hot_tale__hot_ale4_37c__1,33.2326538232,2.140272454
hot_tale__hot_ale4_37c__2,33.6126450938,2.3395818840000002
hot_tale__hot_ale4_44c__1,10.5164821734,2.584985535
hot_tale__hot_ale4_44c__2,17.1283955542,2.557000468
hot_tale__hot_ale8_30c__1,33.4649830602,1.9946975390000001
hot_tale__hot_ale8_30c__2,34.3701534414,1.929778892
hot_tale__hot_ale8_37c__1,34.0583808879,2.247377594
hot_tale__hot_ale8_37c__2,34.1697102442,2.169902969
hot_tale__hot_ale8_44c__1,15.8165415674,2.837937414
hot_tale__hot_ale8_44c__2,20.929568269,2.875959558
hot_tale__hot_ale9_mid_30c__1,29.5000167926,2.109467681
hot_tale__hot_ale9_mid_30c__2,29.390730995,2.014797493
hot_tale__hot_ale9_30c__1,34.1082155578,2.243895559
hot_tale__hot_ale9_30c__2,33.895023857300004,2.236727546
hot_tale__hot_ale9_mid_37c__1,30.9870436423,2.375350876
hot_tale__hot_ale9_mid_37c__2,30.6474410431,2.338213343
hot_tale__hot_ale9_37c__1,30.8320317742,2.388963054
hot_tale__hot_ale9_37c__2,30.66937821,2.402265634
hot_tale__hot_ale9_mid_44c__1,-6.0202658334,2.041660846
hot_tale__hot_ale9_mid_44c__2,-5.5832185121,1.67586502
hot_tale__hot_ale9_44c__1,-3.6292878534,2.719363158
hot_tale__hot_ale9_44c__2,-1.7427618476000002,2.7229248530000003
hot_tale__hot_ale10_30c__1,31.0397498331,2.127534757
hot_tale__hot_ale10_30c__2,30.446044843,2.065115979
hot_tale__hot_ale10_37c__1,32.8929487312,2.267783424
hot_tale__hot_ale10_37c__2,32.9047044974,2.291156619
hot_tale__hot_ale10_44c__1,13.9875915019,2.701596198
hot_tale__hot_ale10_44c__2,8.5426436111,2.561485851
hot_tale__hot_ale16_30c__1,30.5440160214,1.960722539
hot_tale__hot_ale16_30c__2,31.0838286556,2.230470634
hot_tale__hot_ale16_37c__1,31.5923999065,2.376829036
hot_tale__hot_ale16_37c__2,31.5282123322,2.305078559
hot_tale__hot_ale16_44c__1,6.1213650874,2.850365168
hot_tale__hot_ale16_44c__2,0.9910896410000001,2.86078697
pdhr_ale__pdhR-13_51__1,21.2673597557,2.015443062
pdhr_ale__pdhR-13_51__2,19.2302827222,2.058343997
pdhr_ale__pdhR-14_46__1,-8.100721219,-4.851608785
pdhr_ale__pdhR-14_46__2,-8.5046569938,-4.8555074220000005
pdhr_ale__pdhR-15_51__1,19.7189092563,2.013723043
pdhr_ale__pdhR-15_51__2,21.2349133574,2.022892078
pdhr_ale__pdhR-16_49__1,-7.3221504567,1.692624178
pdhr_ale__pdhR-16_49__2,-7.1902349279,1.039097896
tcs__del_atoC_LiAcet__1,-7.2782696465,-0.42385319400000004
tcs__del_atoC_LiAcet__2,-6.8282071847,-0.42841595800000004
tcs__del_atoC_LiCl__1,-5.9669922813,-0.073134009
tcs__del_atoC_LiCl__2,-6.1561991433,-0.21597180600000002
tcs__del_atoC_m9__1,-4.5835917278,-0.184987947
tcs__del_atoC_m9__2,-3.7340758439,-0.26514829900000003
tcs__del_baeR_etoh__1,-1.161947731,-3.571465031
tcs__del_baeR_etoh__2,-1.1573665928,-3.161982464
tcs__del_baeR_lb__1,6.6090162632,-1.600290591
tcs__del_baeR_lb__2,6.1553531871,-1.221646087
tcs__del_btsR_01xlb__1,-4.8902398596,-2.087285561
tcs__del_btsR_01xlb__2,-5.6778940072,-2.381581365
tcs__del_btsR_lb__1,10.2906646007,-0.193044408
tcs__del_btsR_lb__2,10.0696092234,-0.800060893
tcs__del_btsR_pyruvate__1,-5.8244281855,-1.967362326
tcs__del_btsR_pyruvate__2,-5.4258092247,-2.205733366
tcs__del_cpxR_etoh__1,-2.6156900598,-3.257297788
tcs__del_cpxR_etoh__2,-2.5255328633,-2.512450325
tcs__del_cpxR_lb__1,5.3753603358,-1.107315387
tcs__del_cpxR_lb__2,5.4472444608,-1.148526223
tcs__del_cusR_CuSO4__1,5.871204594,-2.226788413
tcs__del_cusR_CuSO4__2,5.4355200713,-2.786304376
tcs__del_cusR_lb__1,8.2594356379,-1.125145748
tcs__del_cusR_lb__2,7.9163550692,-0.6361210180000001
tcs__del_kdpE_01-kcl__1,-6.4557287573,-1.506825211
tcs__del_kdpE_01-kcl__2,-6.5323634637,-1.6404222970000002
