,A,CsqR
ecoli_00386,0.4473716512,-1.013370022
ecoli_00387,-0.4043638584,-1.34375863
ecoli_00388,-0.4871920448,-1.280730706
ecoli_00389,1.2531734571,-0.866264012
ecoli_00390,1.3255043664000001,-0.48477395500000003
ecoli_00391,0.5333856006000001,-1.152552097
ecoli_00392,0.7917614587,-1.4761187040000001
ecoli_00393,0.4373825941,-0.472796669
ecoli_00394,0.1909043857,-0.29654207600000004
ecoli_00395,0.47290558720000003,0.202928344
ecoli_00396,0.16675785440000002,0.180021453
ecoli_00397,3.1107107256,0.479054113
ecoli_00398,3.0403332701,0.5830668170000001
ecoli_00399,-0.039873531600000005,-0.469285985
ecoli_00400,0.5007921134000001,-0.24217157600000003
ecoli_00401,0.6584407678,0.027385220000000002
ecoli_00402,0.3788190171,-0.027496615000000002
ecoli_00403,2.9520211753,1.04913166
ecoli_00404,3.239063444,0.832354883
ecoli_00405,0.5712824261,-0.417097062
ecoli_00406,-0.2965653304,-0.264902279
ecoli_00407,1.1925425117,0.1328221
ecoli_00408,1.0845608912,0.093530215
ecoli_00409,3.2521977963,0.8127255600000001
ecoli_00410,2.905409249,0.660783232
ecoli_00411,-0.9990916014000001,-0.51388058
ecoli_00412,-0.5988368762,-0.36685916100000004
ecoli_00413,1.0962015745,0.039081285
ecoli_00414,0.1475974849,-0.110528924
ecoli_00415,2.0689352243,0.442754923
ecoli_00416,1.9465909372999999,0.74185093
ecoli_00417,0.5176466196,-0.462841312
ecoli_00418,0.6074252823,-0.268378408
ecoli_00419,1.108274961,-0.05873017
ecoli_00420,0.7642839119,-0.026710035
ecoli_00421,2.7119150546,0.942769497
ecoli_00422,2.3568271494,0.879372424
ecoli_00423,0.4252361284,-0.479819608
ecoli_00424,0.1701607639,-0.23488644400000003
ecoli_00425,-0.5225961037,-0.623661122
ecoli_00426,-0.347770056,-0.356069582
ecoli_00427,1.0954418412,-0.051524287
ecoli_00428,0.1367963661,0.10753519600000001
ecoli_00429,0.7518566179,-0.06375397000000001
ecoli_00430,0.7912868652,-0.080640344
ecoli_00431,2.8089393449,0.584739907
ecoli_00432,3.2428991921,0.7362703850000001
ecoli_00433,2.2305585732,0.747076052
ecoli_00434,2.5109882087,0.752783324
ecoli_00435,-0.3929571638,-0.315947552
ecoli_00436,-0.3363721294,-0.21361331500000003
ecoli_00437,0.1958529233,0.076225765
ecoli_00438,0.9516350659,0.02340221
ecoli_00439,3.9479307051,0.7170396280000001
ecoli_00440,4.3409964207,0.9610769750000001
ecoli_00441,0.2999228819,-0.356139813
ecoli_00442,-0.21169245920000002,-0.526611562
ecoli_00443,0.4667401788,0.020527987
ecoli_00444,0.8911943453000001,-0.13242447400000001
ecoli_00445,3.0203747529,0.953380545
ecoli_00446,1.9340653689,1.079247481
ecoli_00447,1.1982742667,-0.221226467
ecoli_00448,1.3834532907,-0.16337010300000002
ecoli_00449,0.8666906969,-0.409706944
ecoli_00450,0.6969053988,-0.301309282
ecoli_00451,1.547340137,-0.28458092300000004
ecoli_00452,1.8318193677,-0.34998740500000003
ecoli_00453,1.9551874867,-0.37065793300000005
ecoli_00454,1.4810894598,-0.33719456600000003
ecoli_00455,0.5248852956,-0.563185683
ecoli_00456,0.8017556072,-0.48415805300000003
ecoli_00457,0.9090676762000001,-0.26929046900000003
ecoli_00458,0.9553747142000001,-0.31156042500000003
ecoli_00459,0.6424309268,-0.24586458
ecoli_00460,0.4704974599,-0.17438687700000002
ecoli_00461,3.8373623589,-0.22452945400000002
ecoli_00462,2.9674626754,-0.210725563
ecoli_00463,0.92389727,-0.864868269
ecoli_00464,1.9771245610000001,-0.800774536
ecoli_00465,-0.031027077400000002,-1.398825137
ecoli_00466,-0.0170709421,-1.388903848
ecoli_00467,2.7683250245,1.010884844
ecoli_00468,3.0850417773,1.0671831840000001
ecoli_00469,0.22295762260000002,-1.397541774
ecoli_00470,-0.0207130975,-1.306683701
ecoli_00471,3.185509564,0.12187893
ecoli_00472,3.7220807848,0.128304576
ecoli_00473,1.302329266,-0.52807704
ecoli_00474,1.4990979112,-0.6392299760000001
ecoli_00475,2.2442183882,-0.241512093
ecoli_00476,1.8593557604000002,-0.15451377800000002
ecoli_00477,2.1654373096,0.6180202840000001
ecoli_00478,2.0542900854,0.574284448
ecoli_00479,-0.4539369039,-0.94485861
ecoli_00480,-0.42845028700000004,-1.02736364
ecoli_00481,-0.9339716793,-1.131824572
ecoli_00482,-0.8366171605,-1.217628578
ecoli_00483,0.2194769765,-0.29823986900000005
ecoli_00484,0.4673192407,-0.35981910500000003
