,A,AtoC,RpoN
biocide__gluald_12h__3,0.21236987100000002,0.32188881140000003,0.31910439420000003
biocide__h2o2_12h__1,0.9987871398,0.3579484905,0.2898968666
biocide__h2o2_12h__2,-0.0805872564,0.11887628310000001,0.1480809059
biocide__h2o2_12h__3,0.6057666242,-0.0339990096,0.043063725000000004
biocide__2ppoh_12h__1,0.9264419633000001,0.8039418281,0.2214949126
biocide__2ppoh_12h__2,-0.22147335240000002,0.7521752826,0.2375757161
biocide__2ppoh_12h__3,0.4797026102,0.5342199653,0.10827356710000001
biocide__paa_12h__1,-0.2902630136,0.4769421636,0.2286456831
biocide__paa_12h__2,0.5080239742,0.624832516,0.1293620735
biocide__paa_12h__3,0.0271426874,0.6251100299,0.1015233809
biocide__phe_12h__1,-0.4006353997,0.02059233,0.025900977300000003
biocide__phe_12h__2,0.9046740469000001,-0.2235902127,-0.0084411047
biocide__phe_12h__3,0.3168107524,0.4142746785,-0.08752319160000001
biocide__pvp-i_12h__1,2.5689561863,0.29321043900000004,-0.14998926270000001
biocide__pvp-i_12h__2,-0.8429724379,0.2140205313,0.0412438646
biocide__pvp-i_12h__3,0.45725505580000003,0.4180207876,-0.0466773335
biocide__bleach_12h__1,0.9373167525,0.1486176829,-0.0868794131
biocide__bleach_12h__2,0.2888793563,0.2247703616,0.0085894929
biocide__bleach_12h__3,0.9637547306,0.13182055510000001,-0.018567060700000002
biocide__chx_12h__1,0.446651428,0.3704754897,0.0355272678
biocide__chx_12h__2,0.7656255421,-0.0558898473,-0.14513015340000002
biocide__chx_12h__3,1.0068325008,0.3655042582,-0.1740518203
biocide__bzcl_30m__1,-0.5971080159000001,-0.23279960660000001,0.3011034106
biocide__bzcl_30m__2,-0.4637189526,-1.4419423937,0.2568240081
biocide__bzcl_30m__3,-1.5089838228999999,-0.2091938582,0.2176073537
biocide__phe_30m__1,0.7883703336000001,-0.44535000880000003,-0.0695649644
biocide__phe_30m__2,0.6125622077,0.4016447235,0.27643011100000003
biocide__phe_30m__3,-1.395290867,0.0156000288,0.0603497936
biocide__pvp-i_30m__1,0.04871445,0.0237248242,0.087607533
biocide__pvp-i_30m__2,-0.011567276900000001,-0.27692524820000003,0.0913216261
biocide__pvp-i_30m__3,0.3621935418,-0.0853647694,0.26532415800000003
biocide__ctrl_12h__1,0.4840751566,0.3073985388,0.1705345391
biocide__ctrl_12h__2,0.1092906797,0.47099995180000004,0.3225211441
biocide__ctrl_12h__3,0.5661866955,0.42990771050000004,0.3128917021
biocide__ctrl_30m__1,0.738931152,0.1582690473,0.14295592270000002
biocide__ctrl_30m__2,-0.11449868960000001,-0.1565393918,-0.13966334160000002
biocide__ctrl_30m__3,-0.6244324625000001,-0.0017296556,-0.0032925811
clpP__wt__1,0.3467938906,-0.040534626500000004,0.0801952651
clpP__wt_DPTA__1,1.3947134477,0.024443352600000003,1.0104096684
clpP__wt__2,0.20342759670000002,0.263958212,-0.15961013970000001
clpP__wt_DPTA__2,0.576402162,0.1636255781,0.9908922373000001
clpP__wt__3,-0.5502214873,-0.2234235854,0.0794148746
clpP__wt_DPTA__3,-0.2436920601,-0.1190708218,0.8979434834000001
clpP__delclpP__1,0.42778482570000004,0.298548896,0.3861377004
clpP__delclpP_DPTA__1,1.5153744557,-0.1051406517,1.2033600538
clpP__delclpP__2,1.0307048671,0.70157601,0.26954894160000004
clpP__delclpP_DPTA__2,1.7000587249999999,-0.4106583091,0.7817928164
clpP__delclpP__3,0.9537729166000001,-0.1281753103,0.5099844118
clpP__delclpP_DPTA__3,-0.5649719897000001,0.1641985374,1.154091223
colombos2__delydcR__1,0.6993226774,-0.11247903690000001,-0.1133370323
colombos2__delydcR__2,0.35683531290000003,0.19457783180000002,-0.0237831136
colombos2__delydcR__3,-1.0211101123,0.2216955766,-0.1769844632
colombos2__delyjiR__1,-3.1531353174,0.0007226143,-0.0023652598
colombos2__delyjiR__2,-3.3649598593,0.0383998887,0.1417380475
colombos2__delyjiR__3,-0.1155837883,0.5666468069,0.0611544907
colombos2__wt__1,0.9203246714000001,0.15390138250000002,0.08432900630000001
colombos2__wt__2,0.3338289741,0.1949432653,-0.09368249070000001
colombos2__wt__3,-1.2541536454,-0.3488446477,0.0093534845
crp_k100__ar1_ar2__1,0.2172192077,-2.1380234055,1.0386732648
crp_k100__ar1_ar2__2,-0.0416529932,-2.1429812357,1.2993008221
crp_k100__ar1_ar2__3,0.2423436729,-1.8262067798000001,0.7911549408
crp_k100__wt__1,-0.022442116800000002,-0.022189059,-0.0099408411
crp_k100__wt__2,-0.1681235612,-0.0784592075,0.07868816470000001
crp_k100__wt__3,0.1905656781,0.1006482665,-0.06874732360000001
crp_k100__K100Q__1,0.08811930750000001,0.0205766531,0.3964592985
crp_k100__K100Q__2,-0.0815003124,-0.1290088722,0.5109733348000001
crp_k100__K100R__1,0.6194052844,0.5971832897,-0.3099313486
crp_k100__K100R__2,0.3968843093,-0.491594558,-0.06540984600000001
crp_k100__K100R__3,1.2996019124,-0.0929623898,-0.2666675979
csrA__wt_t00__1,0.10707677360000001,-0.40397933890000004,-0.10783201240000001
csrA__wt_t02_30__1,0.9925277358000001,-0.1561481652,0.15824388150000002
csrA__wt_t05__1,3.4053035689,-0.8513177424,-0.43737589990000003
csrA__wt_t10__1,5.7407303581,-1.477649743,0.6552404767000001
csrA__wt_t15__1,6.6462848606,-0.897180135,1.6580148005000002
csrA__delcsrA_t00__1,-0.3738989626,0.039890352000000004,0.22192684740000002
csrA__delcsrA_t02_30__1,1.8770296766999999,0.721347496,0.3839373802
csrA__delcsrA_t05__1,3.9368328423000003,-0.0868680458,-0.0509269895
csrA__delcsrA_t10__1,5.786640333,-1.1876966814,0.574184993
csrA__delcsrA_t15__1,3.103685821,-0.8540466531,1.3968077029
csrA__wt_t00__2,-0.10707677360000001,0.40397933890000004,0.10783201240000001
csrA__wt_t02_30__2,1.6519834246,0.6642041849,0.47557474930000004
csrA__wt_t05__2,3.3042175066,0.1387160606,-0.0979839337
csrA__wt_t10__2,6.9410153941,-0.8272593170000001,0.9298331089
csrA__wt_t15__2,6.5768739474,-1.0418906486,1.8507670551
csrA__delcsrA_t00__2,-0.12167881130000001,-0.3862909104,0.0419514728
csrA__delcsrA_t02_30__2,1.7844451657,-0.22037245830000002,0.1647592964
csrA__delcsrA_t05__2,4.0340813594,-1.0101667867,-0.3415013979
csrA__delcsrA_t10__2,6.4588436208,-0.8659335805,0.7882840066
csrA__delcsrA_t15__2,6.4170343345,-0.9955594436,1.4156927451999999
cstr_pfr__str_0005m__1,-0.0061380217,0.1022532976,0.11074358570000001
cstr_pfr__str_0010m__1,0.09877379950000001,0.0187186524,-0.1624802583
cstr_pfr__str_0025m__1,-0.6419740192,-0.073264176,0.0056280402
cstr_pfr__str_0045m__1,-0.33551808990000004,-0.0206053975,0.0412093648
cstr_pfr__str_0075m__1,-0.22239847240000002,-0.1168846181,0.040798750200000004
cstr_pfr__str_0120m__1,-0.6226429531000001,0.0072730256,0.0547989027
cstr_pfr__str_0210m__1,-1.0094028708,0.1208893496,0.11289490270000001
cstr_pfr__str_0330m__1,0.1437297723,0.3286379995,0.1531201195
cstr_pfr__str_1500m__1,0.4320095002,-0.083141872,0.029019826500000002
cstr_pfr__str_1560m__1,-0.9325480594000001,-0.21029197500000002,0.06348461300000001
cstr_pfr__str_1680m__1,-0.6339910181,0.009453919600000001,0.0486880992
cstr_pfr__str_ref1__1,0.0827984794,0.020018013,0.0225145017
cstr_pfr__str_ref2__1,-0.3067322288,-0.0081988349,-0.0079549809
cstr_pfr__str_ref3__1,0.1694631063,0.098283587,0.0673960328
cstr_pfr__pfr_P5_0005m__1,0.9608218460000001,0.2147620807,0.1478935335
cstr_pfr__pfr_P5_0010m__1,0.4810235949,-0.2000820301,-0.1316371284
cstr_pfr__pfr_P5_0025m__1,0.7021341051000001,0.0910191444,-0.0203106426
cstr_pfr__pfr_P3_0025m__1,0.2195069663,0.023772065300000002,-0.1219099517
cstr_pfr__pfr_P1_0025m__1,-0.48509610610000004,-0.0432223255,-0.1372826141
cstr_pfr__pfr_P5_0045m__1,0.3462228989,-0.1078834775,-0.0496341516
cstr_pfr__pfr_P5_0120m__1,0.9066132399,-0.0688971068,-0.0225154233
cstr_pfr__pfr_P3_0120m__1,-0.9063877236000001,-0.0206493459,-0.1018335848
cstr_pfr__pfr_P1_0120m__1,-0.3606128715,-0.2096674231,-0.075095517
cstr_pfr__pfr_P5_0210m__1,1.1400133655,0.19247989270000002,-0.033386169300000004
cstr_pfr__pfr_P5_1500m__1,0.0207741909,-0.09762692640000001,-0.0844885021
cstr_pfr__pfr_P3_1680m__1,-0.2978465798,0.0116985225,-0.030631214700000003
cstr_pfr__pfr_P5_1680m__1,0.3160796558,-0.29393283000000003,-0.041778117100000005
cstr_pfr__pfr_P1_1680m__1,-0.6825356095,0.0938876404,0.0711012112
cstr_pfr__str_0005m__2,-0.10753035300000001,-0.092906733,-0.08026113950000001
cstr_pfr__str_0010m__2,-0.5876385829,-0.0859187673,-0.26228857780000003
cstr_pfr__str_0025m__2,-0.8445424536,0.018154579900000002,-0.13172305
cstr_pfr__str_0045m__2,-0.6504548477000001,-0.0466607541,-0.0641812578
cstr_pfr__str_0075m__2,-0.9114876736,0.0214086257,0.0350225418
cstr_pfr__str_0120m__2,-1.4054893772,-0.2286428607,0.0293183076
cstr_pfr__str_0210m__2,-1.2482600504,0.0340214155,0.06922512830000001
cstr_pfr__str_0330m__2,-1.0167290299,-0.0088334775,0.0853775008
cstr_pfr__str_1500m__2,-1.2193920432,-0.1117244482,0.1589193183
cstr_pfr__str_1560m__2,-0.9822902474,-0.027387003700000002,0.15527350280000002
cstr_pfr__str_1680m__2,-0.297021022,0.1228354616,0.0864250114
cstr_pfr__str_ref1__2,-0.0827984794,-0.020018013,-0.0225145017
cstr_pfr__str_ref2__2,-0.2689357575,-0.2910503989,0.0451296018
cstr_pfr__str_ref3__2,-0.2378214488,-0.1148483391,0.0684111122
cstr_pfr__pfr_P5_0005m__2,1.1940906476,0.11563245720000001,-0.2158820794
cstr_pfr__pfr_P5_0010m__2,0.5438444167,-0.1516797615,-0.2343129843
cstr_pfr__pfr_P5_0025m__2,-0.176997077,-0.032572994,-0.2165177666
cstr_pfr__pfr_P3_0025m__2,-0.3240712268,-0.44048197040000003,-0.28544913050000004
cstr_pfr__pfr_P1_0025m__2,-0.7466935979,-0.2877625446,-0.26896404300000004
cstr_pfr__pfr_P5_0045m__2,-0.7680113472000001,-0.3627049483,0.1158714339
cstr_pfr__pfr_P5_0120m__2,-0.3033521125,-0.01218458,-0.0810049073
cstr_pfr__pfr_P3_0120m__2,-0.7851170761,-0.0337958324,-0.0990417814
cstr_pfr__pfr_P1_0120m__2,-1.0043948431,-0.1161245848,-0.0887430225
cstr_pfr__pfr_P5_0210m__2,-0.7274618608000001,-0.37537893050000004,-0.088533531
cstr_pfr__pfr_P5_1500m__2,-0.5269159394,-0.1163924902,-0.14743303530000001
cstr_pfr__pfr_P3_1680m__2,0.012753534300000001,-0.2567167622,-0.1087523703
cstr_pfr__pfr_P5_1680m__2,-0.6679341039000001,-0.3666047074,-0.1030133887
cstr_pfr__pfr_P1_1680m__2,-0.8185067863000001,-0.27367631530000003,-0.023188923
darobactin__daro_30m__1,-0.5260703542,1.1800136565,0.31318655170000004
darobactin__daro_30m__2,-0.4162080466,1.1007299031,0.2077680137
darobactin__solv_1h__1,-0.8494261107000001,1.7254420603,0.3379162327
darobactin__solv_1h__2,-0.1732977097,2.0199746931,0.208014145
darobactin__daro_1h__1,0.0705859414,1.8147606368,0.1191900048
darobactin__solv_1h__3,-2.0038541526,2.4368005994,0.6614127202
darobactin__daro_1h__2,0.0872109653,2.3318993776,0.5984876075000001
darobactin__daro_1h__3,-0.0353249078,1.7986800857,0.4196187712
darobactin__daro_30m__3,-0.5012431603,1.266082073,0.305655263
darobactin__solv_30m__1,-0.7070081729000001,0.24927265680000002,0.0135937062
darobactin__solv_15m__1,0.07693113310000001,-0.0530959778,0.0852694024
darobactin__solv_15m__2,0.3381795318,-0.054385269300000004,-0.0155165013
darobactin__daro_15m__1,-1.6191711298,0.3946715771,-0.0838011282
darobactin__solv_15m__3,-0.41511066500000005,0.10748124710000001,-0.0697529011
darobactin__daro_15m__2,-0.9649522921,0.0295529014,0.27596232460000003
darobactin__daro_15m__3,-1.1009966328,0.8787175219000001,0.45113060850000003
darobactin__solv_30m__2,-0.0066448188000000005,0.5029901066,-0.1525199025
darobactin__solv_30m__3,-1.0502574238,0.5647230991000001,0.052636634200000004
ddp__pNT3_aroP__1,1.4472540033,-0.1256294957,0.0194943282
ddp__pNT3_aroP__2,0.1415200612,-0.5897843448,0.0371448691
ddp__pNT3_bamC__1,-0.007991247600000001,-1.8947431807,0.7403439074
ddp__pNT3_bamC__2,0.0908049815,-1.6405600433,0.7887621109
ddp__pNT3_cusA__1,-1.1112178173,-1.8820409109,0.6989246475
ddp__pNT3_cusA__2,-0.7807287743,-1.0298834372,0.7712450152
ddp__pNT3_hemX__1,0.1764562197,-0.44764126400000004,0.2989290468
ddp__pNT3_hemX__2,0.1768084625,-0.7426724083,0.3438535408
ddp__pNT3_empty__1,0.1937697798,-0.035592723300000004,-0.0442370661
ddp__pNT3_empty__2,-0.1937697798,0.035592723300000004,0.0442370661
ddp__pNT3_topA__1,-0.5425097479000001,-1.7828496907,0.9965763493
ddp__pNT3_topA__2,-0.31015573830000004,-1.7489641790000001,1.31008916
ddp__pNT3_yicR__1,-1.1786302002,-0.4765477702,0.3495947186
ddp__pNT3_yicR__2,-1.3146281355,-0.770559254,0.3167987774
ddp__pNT3_yqjD__1,-0.8862876172,-0.4266342093,0.18282576220000002
ddp__pNT3_yqjD__2,-1.1074069499,-0.39084762430000003,0.2745354318
ecomics__del_gabT__1,0.0278925936,-0.094974922,0.0091526396
ecomics__del_gabT__2,-0.0278925936,0.094974922,-0.0091526396
ecomics__del_putP__1,0.5429844527000001,-0.46658120670000003,0.1517960213
ecomics__del_putP__2,-0.137181514,0.4230518682,-0.018863395800000002
ecomics__del_entF__1,-0.7061825301,0.13567569570000002,-0.3106553576
ecomics__del_entF__2,-1.3115310513,0.6533877129,0.0012067599
ecomics__del_entF__3,0.8742848415000001,0.44643168650000004,-0.1112154671
ecomics__del_cysA__1,0.1253360438,0.5247344015000001,-0.44010103
ecomics__del_cysA__2,0.23005524830000001,0.107786771,-0.2791661187
elyC__wt_21C__1,0.0971212464,-0.3800371712,-0.1132278063
elyC__wt_21C__2,-0.186422002,-0.3654193612,-0.29637354460000004
elyC__wt_21C__3,0.045111171000000005,-0.3291723535,-0.21916101030000001
elyC__wt_37C__1,-0.060979322700000005,0.10964580980000001,-0.1117056741
elyC__wt_37C__2,-0.1761107224,-0.19899026920000001,0.051901757300000004
elyC__wt_37C__3,0.23709004500000003,0.0893444594,0.0598039168
elyC__delelyC_21C__1,0.0310170664,-0.3797813232,-0.2188903626
elyC__delelyC_21C__2,0.28913686180000003,0.0896979111,-0.17460792120000002
elyC__delelyC_21C__3,0.0156353821,-0.1083387499,-0.260555077
elyC__delelyC_37C__1,0.1527619814,0.0340387494,0.0039868995
elyC__delelyC_37C__2,0.15611766300000002,0.1846619762,0.0221365934
elyC__delelyC_37C__3,0.1092554024,-0.0044993484,-0.0647450559
evo_acid_w__F9_2__1,-0.6960227688,-0.0018006518000000002,0.1463959096
evo_acid_w__F11_1__1,-2.5612243232000003,0.0177948916,0.1202021206
evo_acid_w__F11_1__2,-2.3595507062,0.3537228914,-0.0395698956
evo_acid_w__F11_1__3,-2.3260952991,0.7386574328000001,0.10572779530000001
evo_acid_w__wt__1,0.1711659718,-0.2039648426,-0.19171076280000002
evo_acid_w__F11_2__1,1.6625679391000001,0.8568026722000001,0.1714003089
evo_acid_w__B11_2__1,0.0416190753,0.9808499459000001,0.35457862700000004
evo_acid_w__F11_2__2,-0.0349503662,0.9123130192000001,0.1930127968
evo_acid_w__wt__2,-0.46676037270000004,0.0286115392,-0.139414123
evo_acid_w__B11_1__1,2.2258543189,2.4062059104,0.46414260090000004
evo_acid_w__H9_1__1,-0.9287726805000001,-1.8452508735,-0.9293460187
evo_acid_w__H9_2__1,-3.0368913704,-0.3477137817,-0.2153956048
evo_acid_w__B11_2__2,0.036910742,1.378256382,0.307804224
evo_acid_w__wt__3,-0.8640276304000001,-0.072613118,-0.0441240533
evo_acid_w__H9_2__2,-2.7500985625,-0.1537390976,-0.17407644390000002
evo_acid_w__B11_2__3,-0.1586133056,1.4824156559000001,0.304790481
evo_acid_w__F11_2__3,-0.1191850658,1.0280193913,0.359799287
evo_acid_w__F9_2__2,-0.512760079,0.1275818273,0.2262852115
evo_acid_w__wt__4,-1.0946270007,-0.435857451,0.1001533352
evo_acid_w__wt__5,-0.7502892962000001,-0.3569441265,0.2215301875
evo_acid_w__wt__6,0.805406697,0.7313194349000001,0.0514810393
evo_acid_w__H9_1__2,-0.8669802108,-1.7031230391,-1.1099708241
evo_acid_w__F9_1__1,-1.9237182829,-0.26307867830000004,0.0609907036
evo_acid_w__F9_1__2,-1.74718382,-0.1670087216,0.0100256292
evo_acid_w__B11_1__2,2.2781261099,1.9715737476,0.38586791800000003
evo_acid_w__H9_2__3,-2.9260781312,-0.1134767613,-0.2219397992
evo_acid_w__wt__7,0.6434201306,-0.4031675691,-0.0058975043
evo_acid_w__F9_1__3,-1.6996745201999999,0.10459861050000001,-0.0580505282
evo_acid_w__F9_2__3,-0.7168174027,-0.0243073333,0.0753342381
evo_acid_w__wt__8,0.6973040496,0.49092319830000003,-0.042911954
evo_acid_w__B11_1__3,2.5092345927,2.3126247198,0.4089002883
evo_acid_w__wt__9,0.8584074509,0.2216929349,0.050893835500000005
evo_bz__c3_1_bz__1,0.1360476052,1.6184270513999999,0.14582604870000002
evo_bz__c3_1_bz__2,1.5219793006,-0.1587203168,-0.36678308870000004
evo_bz__c3_1_bz__3,0.8898732696,0.0894776432,-0.27314160800000004
evo_bz__c3_1_bz__4,0.9275560531,0.19326965540000002,-0.2476562635
evo_bz__g5_1_bz__1,0.1820341802,0.521582839,0.2154759758
evo_bz__g5_1_bz__2,-0.4663075367,0.0465534519,0.22949940370000002
evo_bz__g5_1_bz__3,0.2297804889,0.43004476420000004,0.0752074958
evo_bz__g5_1_bz__4,0.575621284,-0.2326853646,-0.0815494787
evo_bz__g5_1_bz__5,0.8602477887000001,-0.2673340556,-0.0341675644
evo_bz__g5_1_bz__6,0.6738574185,-0.0755318891,-0.0005939661000000001
evo_bz__w3110d13__1,-0.2094686432,0.6029524343,-0.1195503961
evo_bz__w3110d13__2,0.0168781931,0.41891531600000004,-0.0933554179
evo_bz__w3110d13__3,0.2983848055,-0.22349636,0.0592809564
evo_bz__w3110d13__4,-0.2154086225,0.1459035831,-0.1354329401
evo_bz__w3110d13__5,0.1446519006,-0.48024243240000003,0.07357012090000001
evo_bz__w3110d13__6,-0.0350376335,-0.464032541,0.2154876769
evo_bz__w3110d13_bz__1,0.34231251290000003,0.9413266495,0.25213877430000003
evo_bz__w3110d13_bz__2,1.0366972551,0.8630945257,0.0389778084
evo_bz__w3110d13_bz__3,1.1616619295,0.1362006577,-0.1834919475
evo_bz__w3110d13_bz__4,0.31521462370000003,0.9174454789,0.1589210443
evo_bz__c3_1_bz__5,-0.0934401214,1.6933531898,0.0801469077
evo_bz__c3_1_bz__6,0.0483537915,1.4853840141,0.1380442993
evo_bz__g5_2_bz__1,1.2044520236,-0.9831425371,-0.5813523044000001
evo_bz__g5_2_bz__2,1.1555938789,-0.7184561955000001,-0.54992883
evo_bz__g5_2_bz__3,0.9781480733000001,-0.249314528,-0.5378679077
evo_bz__g5_2_bz__4,-0.7083450871,1.4780741122,0.2686142181
evo_bz__g5_2_bz__5,-0.3263392156,1.482366177,0.3047421518
evo_bz__g5_2_bz__6,0.2174307211,1.0986933030000001,0.3251273906
evo_bz__w3110d13_bz__5,0.8380120709000001,0.0845545672,-0.009906508100000001
evo_bz__w3110d13_bz__6,0.9697587078000001,-0.1026992334,-0.2168331962
evo_bz__a1_1_bz__1,1.5510960691,0.5701409045,0.33431169050000004
evo_bz__a1_1_bz__2,-0.4057435187,1.3756704951,0.2116968061
evo_bz__a1_1_bz__3,-0.1603443232,-0.8071030785000001,-0.18372571140000002
evo_bz__a1_1_bz__4,-0.6398485766,1.6683114241,0.4389608913
evo_bz__a1_1_bz__5,-0.0096248552,-0.9788562573,-0.268070719
evo_bz__a1_1_bz__6,-0.1871775517,-0.5696059175,-0.0870670192
evo_metab__wt__1,0.9129128183,0.001944893,0.3443509589
evo_metab__del_zwf__1,0.1732769736,0.0101277837,0.1652742451
evo_metab__zwf_ale1__1,0.7096283670000001,-0.2394515506,0.211130064
evo_metab__zwf_ale2__1,0.5568476683,-0.2152607961,-0.25708634550000004
evo_metab__del_ppk__1,0.3227774773,0.163915435,-0.2066308214
evo_metab__ppk_ale1__1,-0.6109231479,0.0700205897,-0.3667514344
evo_metab__ppk_ale2__1,0.9129417192,-0.3461801547,0.3610644347
evo_metab__ppk_ale3__1,0.7349286414,-0.3859359169,0.2649755219
evo_metab__del_dapF__1,1.3989162556,-0.0601351405,0.0281135955
evo_metab__dapF_ale1__1,0.7180120786,-0.4114345178,-0.151889398
evo_metab__dapF_ale3__1,-0.349636746,-0.21778786860000002,-0.4239051464
evo_metab__del_entC__1,-0.12211177520000001,0.0221969354,-0.36644120420000004
evo_metab__entC_ale1__1,-0.2879053029,-0.0820601462,-0.2568174776
evo_metab__entC_ale2__1,0.4544053977,-0.6062923447,0.14704410110000002
evo_metab__del_dgk__1,0.1102160132,0.0194905795,-0.0739352672
evo_metab__dgk_ale1__1,-0.7903258184,0.09833325180000001,-0.10839593850000001
evo_metab__dgk_ale2__1,0.022622689600000002,-0.3977455892,0.1786819499
evo_metab__dgk_ale3__1,-0.4670741517,-0.0473505051,-0.2122526868
evo_metab__wt__2,-0.4543652446,-0.0513083867,-0.1839833421
evo_metab__del_zwf__2,0.6497460006,-0.1056573925,0.4721483286
evo_metab__zwf_ale1__2,-0.8572689934000001,-0.5784589907000001,-0.3404743149
evo_metab__zwf_ale2__2,-0.8515655325,-0.039911807800000004,-0.3626443479
evo_metab__del_ppk__2,-0.342773097,0.1526368232,-0.2248503926
evo_metab__ppk_ale1__2,-0.8841907236000001,-0.3023182169,-0.06316998530000001
evo_metab__ppk_ale2__2,-0.7597823194000001,0.46290730630000004,-0.1906721357
evo_metab__ppk_ale3__2,-0.9944987152,0.0332626105,-0.30637156860000003
evo_metab__del_dapF__2,0.9771310372,-0.2505227091,0.3570191827
evo_metab__dapF_ale1__2,1.2599196079000001,-0.46262391750000004,0.1025501968
evo_metab__dapF_ale3__2,0.6924856902000001,-0.3113971987,0.4956171905
evo_metab__del_entC__2,-0.6561691736,0.0285026331,-0.3591152302
evo_metab__entC_ale1__2,0.2039809541,-0.0394762102,-0.3043800538
evo_metab__entC_ale2__2,-0.2022943054,-0.2022193082,-0.2029856726
evo_metab__entC_ale3__1,-0.5194375121,-0.0788446227,-0.1335952104
evo_metab__del_dgk__2,0.10988636530000001,0.018315771300000002,-0.009189183
evo_metab__dgk_ale1__2,-0.7770174975,-0.31033589910000003,-0.3093192174
evo_metab__dgk_ale2__2,0.0925828776,0.1771372505,-0.10083591430000001
evo_metab__dgk_ale3__2,-0.1357940374,0.0516212821,-0.5890277701000001
evo_metab__wt__3,-0.45854757370000004,0.049363493700000004,-0.1603676168
evo_metab__del_zwf__3,-0.7845364966,0.0622564045,-0.5337777167000001
evo_metab__zwf_ale1__3,-0.8512725002,-0.40458891300000005,-0.3386101305
evo_metab__zwf_ale2__3,-0.6797819058,-0.0288574732,-0.5595079862
evo_metab__del_ppk__3,-0.8726321798000001,0.126872505,0.1256745228
evo_metab__ppk_ale1__3,-1.2059050362,0.4852153128,-0.1974074602
evo_metab__ppk_ale2__3,-0.5798517158000001,0.47932402770000004,-0.16778095310000002
evo_metab__ppk_ale3__3,-0.6583070790000001,0.1575578032,-0.19864319430000002
evo_metab__del_dapF__3,0.9107043052,0.0289014675,0.3276570398
evo_metab__dapF_ale1__3,1.3330558317,-0.3337653742,-0.0997289173
evo_metab__dapF_ale3__3,0.8693868716,0.13637873890000002,0.2640760326
evo_metab__del_entC__3,-0.41934716650000003,-0.1356249603,-0.37235867840000003
evo_metab__entC_ale1__3,0.0099029419,0.1610407151,0.0181046865
evo_metab__entC_ale2__3,-0.7288267669,0.0908928932,-0.11700042790000001
evo_metab__entC_ale3__2,-0.9483267461,-0.0225623738,-0.1609804505
evo_metab__del_dgk__3,-0.5006853658,0.2263413713,-0.3751268578
evo_metab__dgk_ale1__3,-0.8974926388000001,0.0759733735,-0.176205029
evo_metab__dgk_ale2__3,-0.6324928592,0.1095816497,-0.1301696154
evo_metab__dgk_ale3__3,-0.0332575124,0.17977234390000002,-0.351969819
flag_reg__wt__1,0.1105929043,-0.16786317380000002,-0.0092595132
flag_reg__del_fliA__1,0.7955025521,0.1744183885,-0.0129624738
flag_reg__del_flhC__1,-0.011819858400000001,-0.0646669926,0.0793582208
flag_reg__del_flhD__1,0.0890607611,0.23238421080000002,0.09250216300000001
flag_reg__wt__2,-0.1105929043,0.16786317380000002,0.0092595132
flag_reg__del_fliA__2,-0.22768459570000002,0.3521354453,0.1063528264
flag_reg__del_flhC__2,0.5339556596,0.0660877887,-0.0175557042
flag_reg__del_flhD__2,-0.017333829800000002,0.1211958097,-0.010842586900000001
flgM__27C__1,-0.09730575670000001,-1.3163847201,-0.49386042500000005
flgM__27C__2,-0.6038118163,-1.138448472,-0.4711977559
flgM__27C__3,-0.5760476478000001,-1.3900602928999999,-0.5876803110000001
flgM__32C__1,-2.0207434522,-0.7014366503,-0.12164353550000001
flgM__32C__2,-0.3547047286,-0.6396456131,-0.1487269227
flgM__32C__3,-0.6958394054,-0.6419172541,-0.1490291595
flgM__37C__1,-0.054687906200000004,-0.0366615376,-0.0174158301
flgM__37C__2,-0.11064414460000001,0.044330281400000004,0.0022036207
flgM__37C__3,0.1653320509,-0.007668743800000001,0.0152122095
flgM__42C__1,-0.5558402635,0.22498342870000002,0.1496946106
flgM__42C__2,-0.7562991330000001,0.43426351690000004,0.1960098835
flgM__42C__3,-0.1295682297,0.374032927,0.20566612750000002
histone__untreated__1,-0.3634985095,-0.3721212599,-0.0161078514
histone__untreated__2,0.3228395143,0.1286244987,0.07405100270000001
histone__untreated__3,0.0406589952,0.24349676120000002,-0.0579431513
histone__10ug_H2A__1,0.3605948733,0.0661180756,-0.11997661750000001
histone__10ug_H2A__2,0.24307062740000002,0.0973202433,0.0025159921
histone__10ug_H2A__3,0.4537259618,-0.0415178702,-0.0979670931
histone__50ug_H2A__1,0.4317952722,-0.1556866408,-0.1884766708
histone__50ug_H2A__2,0.7883483416,-0.181538099,-0.12810657550000001
histone__50ug_H2A__3,0.8752049462,0.38381150750000004,-0.2565370085
histone__100ug_H2A__1,0.4955668473,-0.0525920896,-0.19382686740000002
histone__100ug_H2A__2,1.1778151594,-0.0062536247,-0.2250856863
histone__100ug_H2A__3,0.8689394415,-0.0447142587,-0.22388611700000002
hns__del_hns_spike__1,-0.8715486566,0.0177748476,0.1137865311
hns__del_hns_spike__2,-1.0533080937000001,0.5819745931,0.3119930792
hns__del_hns__1,-0.8610992027000001,0.19948379200000002,0.1210828718
hns__del_hns__2,-0.6793312245,0.9353265693,-0.1089395497
hns__wt_spike__1,-0.233688048,0.0610569384,0.2134083628
hns__wt_spike__2,-0.5255621746,1.352678691,0.1370073363
hns__wt__1,-0.0644232717,0.24984526850000002,0.2411013415
hns__wt__2,0.0644232717,-0.24984526850000002,-0.2411013415
