,A,PhoP
SRX2437038,2.6703868696,0.6752553986000001
SRX2437039,0.0380484964,-0.1601968983
SRX2437040,4.0288638111,0.1729990667
SRX2437041,-0.1582231921,0.2701628611
SRX2437042,-2.1088735529,-0.6017390380000001
SRX2437043,-0.08464315600000001,0.3271739164
SRX2437044,-1.9480762434,0.36492001
SRX4705203,0.7905001482,-0.3512250434
SRX4705204,-0.0212661542,0.6487390232
SRX4705205,-1.9352990373,0.48317792540000004
SRX4705206,-2.4699039188,0.1245837618
SRX4705207,0.4911244932,-0.0316723007
SRX4705208,1.4399225793000001,-0.40891438290000004
SRX4705209,0.11118068440000001,-0.016666147200000002
SRX4705210,-0.1090598081,0.4442668554
SRX4705211,-1.5211747297,0.47867315380000003
SRX4705212,-0.8024613307,0.5282343924
SRX4705213,0.0662066202,-0.0841311958
SRX4705214,0.9218873780000001,0.1235575547
SRX4705215,-0.4358145711,0.11720148920000001
SRX4705216,0.6718941573,0.20209669700000002
