,A,YhaJ
cstr_pfr__str_1560m__1,-0.1839858185,0.0747500567
cstr_pfr__str_1680m__1,-0.22178740300000002,0.07458577570000001
cstr_pfr__str_ref1__1,0.0568698172,0.0055125752000000005
cstr_pfr__str_ref2__1,0.055706359100000005,-0.06800435120000001
cstr_pfr__str_ref3__1,0.0088713848,0.1446715723
cstr_pfr__pfr_P5_0005m__1,0.8592035565,-0.1929612906
cstr_pfr__pfr_P5_0010m__1,0.5853403577,-0.2949694297
cstr_pfr__pfr_P5_0025m__1,0.5332499689,-0.1009067352
cstr_pfr__pfr_P3_0025m__1,0.079954681,0.0770256301
cstr_pfr__pfr_P1_0025m__1,-0.17126649800000002,-0.0434060557
cstr_pfr__pfr_P5_0045m__1,0.5640394498,-0.0936409655
cstr_pfr__pfr_P5_0120m__1,0.6965396736,-0.167522224
cstr_pfr__pfr_P3_0120m__1,0.5346535559,0.0087043637
cstr_pfr__pfr_P1_0120m__1,0.5344962511,-0.2004196869
cstr_pfr__pfr_P5_0210m__1,0.7069118813,-0.0359439036
cstr_pfr__pfr_P5_1500m__1,0.9457670834,-0.0402648743
cstr_pfr__pfr_P3_1680m__1,0.5349161058,0.013528032300000001
cstr_pfr__pfr_P5_1680m__1,0.8728105548,-0.2756224608
cstr_pfr__pfr_P1_1680m__1,0.013598323,-0.1481779165
cstr_pfr__str_0005m__2,-0.28624301750000003,-0.2823673586
cstr_pfr__str_0010m__2,-0.4249222602,-0.3521985662
cstr_pfr__str_0025m__2,-0.6386395873,-0.2319163002
cstr_pfr__str_0045m__2,-0.47768146040000004,-0.3023513954
cstr_pfr__str_0075m__2,-0.6608457678,-0.0410104686
cstr_pfr__str_0120m__2,-0.2017508443,0.0771147287
cstr_pfr__str_0210m__2,-0.5319078195,0.0587622345
cstr_pfr__str_0330m__2,-0.4125627498,-0.0368281616
cstr_pfr__str_1500m__2,-0.3069363779,0.1318447146
cstr_pfr__str_1560m__2,-0.2834577827,0.0081052013
cstr_pfr__str_1680m__2,-0.18085748910000002,0.0240284038
cstr_pfr__str_ref1__2,-0.0568698172,-0.0055125752000000005
cstr_pfr__str_ref2__2,0.1161916503,-0.0824434359
cstr_pfr__str_ref3__2,-0.21831819970000002,-0.0903597903
cstr_pfr__pfr_P5_0005m__2,0.6815406603,-0.0533640718
cstr_pfr__pfr_P5_0010m__2,0.6041880866,-0.46465598090000004
cstr_pfr__pfr_P5_0025m__2,0.2552397161,-0.0142544625
cstr_pfr__pfr_P3_0025m__2,-0.2896367394,-0.051903038500000005
cstr_pfr__pfr_P1_0025m__2,-0.7473492646000001,-0.22902876590000001
cstr_pfr__pfr_P5_0045m__2,0.8122856578000001,0.026001110900000002
cstr_pfr__pfr_P5_0120m__2,0.5489752792,-0.0032283682
cstr_pfr__pfr_P3_0120m__2,0.4632377171,0.0440475156
cstr_pfr__pfr_P1_0120m__2,-0.0799604294,0.0438691957
cstr_pfr__pfr_P5_0210m__2,1.1779978433,0.278636459
cstr_pfr__pfr_P5_1500m__2,0.7017978882,-0.0320107948
cstr_pfr__pfr_P3_1680m__2,0.93341175,-0.0248231472
cstr_pfr__pfr_P5_1680m__2,0.2681847659,0.0706832573
cstr_pfr__pfr_P1_1680m__2,-0.2103716592,0.0771556941
darobactin__daro_30m__1,-0.12335183450000001,1.0331417453
darobactin__daro_30m__2,0.8060961303,0.8202965476
darobactin__solv_1h__1,2.6265076331,0.8547169118
darobactin__solv_1h__2,2.0366669334,0.4469580213
darobactin__daro_1h__1,2.3339431222,0.9455395227000001
darobactin__solv_1h__3,1.5833838759,0.8252658835000001
darobactin__daro_1h__2,1.9254155892,1.2455090859
darobactin__daro_1h__3,2.3946215406,1.3973626616
darobactin__daro_30m__3,1.5221069734000001,0.8350171143
darobactin__solv_30m__1,0.1304204216,0.1707248812
darobactin__solv_15m__1,0.9570856375000001,0.0014797776
darobactin__solv_15m__2,-1.5365577287,0.28131944410000004
darobactin__daro_15m__1,1.3421470637000001,0.49746360780000004
darobactin__solv_15m__3,0.5794720912,-0.2827992217
darobactin__daro_15m__2,0.8112001686,0.4821432107
darobactin__daro_15m__3,1.6807531314,1.2833473049
darobactin__solv_30m__2,0.6108007051000001,0.2144063974
darobactin__solv_30m__3,0.8743113696,0.5465158439
ddp__pNT3_aroP__1,-0.2078906792,1.5332588570999999
ddp__pNT3_aroP__2,-0.7113195811,1.8295422701000001
ddp__pNT3_bamC__1,0.0992605778,2.7095193688
ddp__pNT3_bamC__2,0.48565165130000004,2.4233651835
ddp__pNT3_cusA__1,-0.48255193350000003,2.7177774085
ddp__pNT3_cusA__2,-0.8356012844,2.6880588775
ddp__pNT3_hemX__1,-0.42818648140000004,1.8073945719000002
ddp__pNT3_hemX__2,-0.7287171002,1.8454302408
ddp__pNT3_empty__1,0.5384966321,-0.2467254315
ddp__pNT3_empty__2,-0.5384966321,0.2467254315
ddp__pNT3_topA__1,0.6710892461,2.2138949876
ddp__pNT3_topA__2,0.2894888889,2.3923090151
ddp__pNT3_yicR__1,-0.5703069357,1.6488317364
ddp__pNT3_yicR__2,-1.0492667497000001,2.0746129753
ddp__pNT3_yqjD__1,-0.8770094019,0.9678930607
ddp__pNT3_yqjD__2,-1.2848565557,1.1646730493
ecomics__del_gabT__1,0.5814004682,-0.206717221
ecomics__del_gabT__2,-0.5814004682,0.206717221
ecomics__del_putP__1,-0.1026847792,-0.24602446930000002
ecomics__del_putP__2,-0.8093853722000001,0.3194984745
ecomics__del_entF__1,-1.5869360951,0.0879649697
ecomics__del_entF__2,-0.1083468858,-0.33847855320000003
ecomics__del_entF__3,-1.7011392117000002,0.282219679
ecomics__del_cysA__1,-0.9661288068,0.08514397800000001
ecomics__del_cysA__2,-1.8992874829000002,0.4389503494
elyC__wt_21C__1,0.9934055431000001,0.5666849395
elyC__wt_21C__2,1.0204643389,0.5311920158
elyC__wt_21C__3,1.127086164,0.5835968922
elyC__wt_37C__1,-0.29477522500000003,0.0295539774
elyC__wt_37C__2,0.1834111548,-7.64527e-05
elyC__wt_37C__3,0.1113640702,-0.029477524600000003
elyC__delelyC_21C__1,1.0524538713,0.5676518693
elyC__delelyC_21C__2,1.0400965407,0.6344416294
elyC__delelyC_21C__3,0.9950153895,0.5409140709
elyC__delelyC_37C__1,0.1544021976,0.19410032530000002
elyC__delelyC_37C__2,0.074607482,0.1180119314
elyC__delelyC_37C__3,-0.1234243778,0.3417987059
evo_acid_w__F9_2__1,3.0312538427,-0.1696907452
evo_acid_w__F11_1__1,0.6069963766,1.0143254159
evo_acid_w__F11_1__2,0.1337718577,0.5930889559
evo_acid_w__F11_1__3,0.5595941305000001,0.4903871413
evo_acid_w__wt__1,0.4419312247,0.2250608235
evo_acid_w__F11_2__1,0.0711902685,1.0429284037
evo_acid_w__B11_2__1,-0.5919613669,0.6774894482
evo_acid_w__F11_2__2,-0.30444913290000003,0.6272268446
evo_acid_w__wt__2,-0.4793235185,0.1947334209
evo_acid_w__B11_1__1,-0.6628317605,0.3893231352
evo_acid_w__H9_1__1,0.8056232453000001,-1.1256819054
evo_acid_w__H9_2__1,-0.2456129779,0.4103493439
evo_acid_w__B11_2__2,-0.5031004658,0.5024814104
evo_acid_w__wt__3,-0.5695096964,1.0113875088
evo_acid_w__H9_2__2,-0.36585708170000003,0.6245841514
evo_acid_w__B11_2__3,-0.3585707607,0.6950348699000001
evo_acid_w__F11_2__3,-0.5805483461000001,0.8340256841
evo_acid_w__F9_2__2,2.7791917394,-0.3047367683
evo_acid_w__wt__4,0.2896020493,-0.057825031400000004
evo_acid_w__wt__5,0.2082902109,0.049405379900000004
evo_acid_w__wt__6,-0.44329282340000004,-0.45430560410000004
evo_acid_w__H9_1__2,1.2586801897,-1.0118675478
evo_acid_w__F9_1__1,0.8209638315000001,0.09628371740000001
evo_acid_w__F9_1__2,0.7539857952,0.10783001760000001
evo_acid_w__B11_1__2,-0.7720872601000001,0.9874257442000001
evo_acid_w__H9_2__3,-0.7462975843,0.4080077619
evo_acid_w__wt__7,0.2062411646,0.0711634154
evo_acid_w__F9_1__3,0.3819250509,0.1008274611
evo_acid_w__F9_2__3,2.9409186713,-0.3444270766
evo_acid_w__wt__8,0.0455537684,-0.9418596654
evo_acid_w__B11_1__3,-0.7966286036,0.7152690717
evo_acid_w__wt__9,0.3005076203,-0.0977602477
evo_bz__c3_1_bz__1,2.4933486612,-0.8374700285000001
evo_bz__c3_1_bz__2,1.6305366398999999,-1.0673170077
evo_bz__c3_1_bz__3,1.7000357383,-1.0037029026
evo_bz__c3_1_bz__4,1.4319846136,-1.0440623628
evo_bz__g5_1_bz__1,1.0399638918,0.3018844797
evo_bz__g5_1_bz__2,0.0757579337,-0.4431233336
evo_bz__g5_1_bz__3,1.1212225055,-0.0365661654
evo_bz__g5_1_bz__4,1.8258684252,-0.1848701509
evo_bz__g5_1_bz__5,2.2761012581,-0.39183366700000005
evo_bz__g5_1_bz__6,2.0701872166,-0.220836365
evo_bz__w3110d13__1,-0.953546211,-0.3160790233
evo_bz__w3110d13__2,0.4752377219,-0.6385656376000001
evo_bz__w3110d13__3,0.5131107894,0.0782674996
evo_bz__w3110d13__4,0.0869508963,-0.4407353576
evo_bz__w3110d13__5,0.22332840010000002,0.5406910565
evo_bz__w3110d13__6,-0.3450815967,0.7764214625
evo_bz__w3110d13_bz__1,0.9028603997,-0.5823289864
evo_bz__w3110d13_bz__2,1.4080123516,-1.18831107
evo_bz__w3110d13_bz__3,1.7692063354,-0.8985086832
evo_bz__w3110d13_bz__4,1.1871371713,-0.5550405162000001
evo_bz__c3_1_bz__5,2.4138157356,-0.7476069808
evo_bz__c3_1_bz__6,2.2550950749,-0.7456733096
evo_bz__g5_2_bz__1,1.6061856444,-0.8929600395
evo_bz__g5_2_bz__2,1.6167972866,-0.7932913358
evo_bz__g5_2_bz__3,1.5544545554,-0.854709783
evo_bz__g5_2_bz__4,1.5532887573,-0.3642714366
evo_bz__g5_2_bz__5,1.6032664067,-0.47268931890000004
evo_bz__g5_2_bz__6,1.5663980002,-0.3730604111
evo_bz__w3110d13_bz__5,2.1101714317,-0.7667034206000001
evo_bz__w3110d13_bz__6,1.6418439142999999,-0.529797991
evo_bz__a1_1_bz__1,0.0047509833,-1.3809961256
evo_bz__a1_1_bz__2,-1.3277313564,-0.5439724673
evo_bz__a1_1_bz__3,-1.2175641640000001,0.1301977392
evo_bz__a1_1_bz__4,-2.0492606861,-0.11717728590000001
evo_bz__a1_1_bz__5,-1.0387026547,0.3017143745
evo_bz__a1_1_bz__6,-1.1094555467,0.1629362453
evo_metab__wt__1,0.0755211425,-0.546796214
evo_metab__del_zwf__1,0.4238050896,-0.0535809397
evo_metab__zwf_ale1__1,-0.0205194237,-0.3174901417
evo_metab__zwf_ale2__1,-0.5112739336000001,-0.4510054549
evo_metab__del_ppk__1,0.1930031428,0.5995505603
evo_metab__ppk_ale1__1,-1.2496595563,0.7726020742
evo_metab__ppk_ale2__1,0.3357399297,-0.5901104875000001
evo_metab__ppk_ale3__1,0.5894688977,-0.06486742200000001
evo_metab__del_dapF__1,0.9373806075000001,-0.0842912796
evo_metab__dapF_ale1__1,0.2243056568,-0.12951187320000002
evo_metab__dapF_ale3__1,-0.38125391000000003,0.0811001004
evo_metab__del_entC__1,-1.0430429704,0.9128657341
evo_metab__entC_ale1__1,-1.0531439028,0.24531962980000002
evo_metab__entC_ale2__1,-0.6247173850000001,-0.3671307093
evo_metab__del_dgk__1,-0.2566956011,0.2251336593
evo_metab__dgk_ale1__1,-2.1420631212,0.6131089496000001
evo_metab__dgk_ale2__1,-1.7773553513,0.1297692328
evo_metab__dgk_ale3__1,-1.0668634188,0.0420378491
evo_metab__wt__2,0.2739760965,-0.1581016302
evo_metab__del_zwf__2,2.4574153455,-0.5210516748
evo_metab__zwf_ale1__2,0.2221509763,0.5450732655
evo_metab__zwf_ale2__2,-0.0698340488,0.1439813644
evo_metab__del_ppk__2,0.18336351010000002,-0.1836170851
evo_metab__ppk_ale1__2,-0.9169511221000001,0.9387972251000001
evo_metab__ppk_ale2__2,-1.3474845845,0.6801552324
evo_metab__ppk_ale3__2,-1.1178774721,0.4084398587
evo_metab__del_dapF__2,2.93140236,-0.3609527095
evo_metab__dapF_ale1__2,3.2867892552,-0.9287926917
evo_metab__dapF_ale3__2,3.3005932341,-0.4065460581
evo_metab__del_entC__2,-0.9343876543,0.4280267136
evo_metab__entC_ale1__2,1.0457239764,0.1073173521
evo_metab__entC_ale2__2,-0.4067382929,0.6588242416
evo_metab__entC_ale3__1,-1.596518971,0.7818740815
evo_metab__del_dgk__2,-0.40623993150000004,0.14668125640000002
evo_metab__dgk_ale1__2,-0.7739590991,0.578307365
evo_metab__dgk_ale2__2,-0.8972711589000001,0.0791268058
evo_metab__dgk_ale3__2,-0.4223697393,0.6750496976
evo_metab__wt__3,-0.3494972391,0.7048978442
evo_metab__del_zwf__3,0.1311841581,0.4143257835
evo_metab__zwf_ale1__3,0.2310400773,0.9998108384000001
evo_metab__zwf_ale2__3,-0.5052554096,0.3912456534
evo_metab__del_ppk__3,0.028757085300000002,0.3852596318
evo_metab__ppk_ale1__3,-1.1865772035,0.3207390435
evo_metab__ppk_ale2__3,-0.8732012718000001,0.8135537982000001
evo_metab__ppk_ale3__3,-0.9015034759,0.1811355911
evo_metab__del_dapF__3,2.6880058712,0.3949343381
evo_metab__dapF_ale1__3,2.9980012523,-0.12656864780000002
evo_metab__dapF_ale3__3,3.017348589,0.8008975705
evo_metab__del_entC__3,-0.5519096054,0.9302071753000001
evo_metab__entC_ale1__3,-0.3046921457,0.9356407341
evo_metab__entC_ale2__3,-1.6201344991000002,0.345588777
evo_metab__entC_ale3__2,-1.5443898015,0.7850806488000001
evo_metab__del_dgk__3,-1.3537568221,0.6491480871
evo_metab__dgk_ale1__3,-1.0709163178,0.9559688715
evo_metab__dgk_ale2__3,-0.702412157,0.7213809181
evo_metab__dgk_ale3__3,-0.0087050736,0.5198587588
flag_reg__wt__1,-0.3436816189,0.13429420690000002
flag_reg__del_fliA__1,-1.1336020678,0.3909779311
flag_reg__del_flhC__1,-0.6983074265,0.7467601748
flag_reg__del_flhD__1,-0.7093362684000001,0.46341462240000003
flag_reg__wt__2,0.3436816189,-0.13429420690000002
flag_reg__del_fliA__2,-0.7476016551,1.0157758435
flag_reg__del_flhC__2,-1.1931268054,0.1556542988
flag_reg__del_flhD__2,-1.1984840236,0.7734609621
flgM__27C__1,1.2706548706,-0.0736187776
flgM__27C__2,0.8722535399,-0.28551239910000004
flgM__27C__3,0.9860223290000001,-0.3478821999
flgM__32C__1,0.6912148562,0.1340608023
flgM__32C__2,0.19071933670000002,0.0588014839
flgM__32C__3,0.1596936581,-0.0864529029
flgM__37C__1,0.0342562605,-0.0071339234000000005
flgM__37C__2,0.0287692799,0.0015111215
flgM__37C__3,-0.0630255404,0.0056228019
flgM__42C__1,0.1781252019,0.3055484218
flgM__42C__2,0.29478997970000004,0.3694214496
flgM__42C__3,0.0689186385,0.3917337104
histone__untreated__1,0.1882561982,-0.33683775660000004
histone__untreated__2,-0.114179239,0.2985082318
histone__untreated__3,-0.0740769591,0.0383295247
histone__10ug_H2A__1,-0.0830551445,-0.1373036631
histone__10ug_H2A__2,-0.4452121962,0.0220072501
histone__10ug_H2A__3,-0.4850246535,0.11605786450000001
histone__50ug_H2A__1,-0.07555662590000001,-0.1525250185
histone__50ug_H2A__2,0.023341601700000002,-0.0317014737
histone__50ug_H2A__3,-0.4531026819,-0.1739057303
histone__100ug_H2A__1,0.07623934880000001,-0.1368605169
histone__100ug_H2A__2,-0.1902863053,-0.0212049741
histone__100ug_H2A__3,0.0490575117,0.061441382200000005
hns__del_hns_spike__1,-1.3910539746000001,0.35474990640000004
hns__del_hns_spike__2,-0.1079932609,-0.25248003550000003
hns__del_hns__1,-1.5318001566000001,0.3106960966
hns__del_hns__2,-0.2847773966,-0.266478582
hns__wt_spike__1,-0.5572794211000001,0.1167528111
hns__wt_spike__2,1.1902970443,0.3728078573
hns__wt__1,-0.18586841440000001,0.1463398321
hns__wt__2,0.18586841440000001,-0.1463398321
hns_stpA__evo100G4_delhns_delstpA__1,-2.0001159693,0.062498303000000005
hns_stpA__evo100G4_delhns_delstpA__2,-1.0181122864,-0.2228338453
hns_stpA__evo100G12_delhns_delstpA__1,-0.2506127319,-0.2300599159
hns_stpA__evo100G12_delhns_delstpA__2,-0.4024971162,-0.5242630349
hns_stpA__delhns_delstpA_delrpoS__1,0.18937548640000001,-0.8982577690000001
hns_stpA__delhns_delstpA_delrpoS__2,-0.7421981841,-0.2086008979
hns_stpA__wt__1,0.2158597465,0.2383122148
hns_stpA__wt__2,-0.2158597465,-0.2383122148
hns_stpA__delhns_delstpA__1,-1.760951315,-0.726314836
hns_stpA__delhns_delstpA__2,-1.9721598307,-0.41511109999999996
hu__wt_log_pH7__1,-0.24516874,-0.0910321615
hu__wt_log_pH7__2,-0.0405461851,0.2572715371
hu__wt_log_pH7__3,0.0190544751,0.4711649626
hu__wt_lag_pH7__1,-0.190357879,-0.19085272350000002
hu__wt_lag_pH7__2,-0.543000597,-0.5381734613
hu__wt_lag_pH7__3,0.733358476,0.7290261847
hu__delhupA_lag_pH7__1,0.5889966177,-0.0029675110000000004
hu__delhupA_lag_pH7__2,-0.3280861514,-0.35425731650000003
hu__delhupA_lag_pH7__3,1.6935912057,0.5357623765
hu__delhupB_lag_pH7__1,-0.0855786178,-0.42579798620000003
hu__delhupB_lag_pH7__2,-0.3553297812,-0.1734720018
hu__delhupB_lag_pH7__3,1.5991061245,0.4570105521
hu__delhupAhupB_lag_pH7__1,1.2647714163,0.1485400933
hu__delhupAhupB_lag_pH7__2,0.5230305088,-0.1968264142
hu__delhupAhupB_lag_pH7__3,1.5355819482,1.1988734458
hu__hupAE34K_hupB_lag_pH7__1,-0.06631091260000001,0.27660649670000004
hu__hupAE34K_hupB_lag_pH7__2,-0.6501772484,0.1563752125
hu__hupAE34K_hupB_lag_pH7__3,0.5272567798,0.9703069265
hu__hupAE34K_delhupB_lag_pH7__1,0.3476744462,0.11594989210000001
hu__hupAE34K_delhupB_lag_pH7__2,0.1140086478,-0.0468551159
hu__hupAE34K_delhupB_lag_pH7__3,0.8557834350000001,1.06120835
hu__wt_lag_pH5__1,2.6485488325,-0.2198057839
hu__wt_lag_pH5__2,2.5149735787000003,0.2095654858
hu__wt_lag_pH5__3,2.5464180959,0.5067268191000001
hu__delhupA_lag_pH5__1,3.0603467003000002,-0.12716558050000001
hu__delhupA_lag_pH5__2,2.8743277941,0.3025763329
hu__delhupA_lag_pH5__3,2.6117635887,0.41739207910000004
hu__delhupAhupB_lag_pH5__1,4.346071749,0.0032693020000000004
hu__delhupAhupB_lag_pH5__2,3.7826786218,0.1258600043
hu__delhupAhupB_lag_pH5__3,3.5029376497999998,0.8852693807
hu__hupAE34K_hupB_lag_pH5__1,2.7025779759,0.1216669325
hu__hupAE34K_hupB_lag_pH5__2,3.2557089555,1.1236014431
hu__hupAE34K_hupB_lag_pH5__3,3.2541858015000003,1.0027671877
hu__hupAE34K_delhupB_lag_pH5__1,3.5070435379,0.5626292867
hu__hupAE34K_delhupB_lag_pH5__2,3.0891563273,0.4899007152
hu__hupAE34K_delhupB_lag_pH5__3,3.2413396492,0.6567746863
hyperpersistence__low_GFP__1,1.2573872708,-0.8012338083
hyperpersistence__wt__1,-0.26494072350000003,-0.029533026
hyperpersistence__high_GFP__1,0.3503250443,-0.7697199225
hyperpersistence__pth_mut__1,-0.6280018941000001,-0.1337759128
hyperpersistence__pth_mut__2,-1.8752357293,-0.15335522440000002
hyperpersistence__metG_mut__1,0.6157661747000001,0.055140288100000004
hyperpersistence__metG_mut__2,-0.2727969212,-0.0793934733
hyperpersistence__high_GFP__2,0.37526754900000003,-0.688579595
hyperpersistence__wt__2,0.26494072350000003,0.029533026
hyperpersistence__low_GFP__2,0.5059097186,-0.928038734
kan_efg__cpxAF218Y__1,1.3361915241,0.3140020687
kan_efg__cpxAF218Y__2,1.3643129244,0.5113199261
kan_efg__cyaAN600Y__1,0.7734569211000001,0.38176823400000004
kan_efg__cyaAN600Y__2,2.9144714670000003,0.7117748143
kan_efg__fusAA608E__1,-1.3104896443,-0.3847474882
kan_efg__fusAA608E__2,-0.7067067136,-0.1811006792
kan_efg__fusAA608E_cpxAF218Y__1,0.0835731286,0.2585176354
kan_efg__fusAA608E_cpxAF218Y__2,-0.2216644844,0.1519325436
kan_efg__fusAA608E_cyaAN600Y__1,0.4151523232,0.2471013565
kan_efg__fusAA608E_cyaAN600Y__2,0.7793454938000001,0.23402156910000002
kan_efg__fusAA608E_rpoDL261Q__1,-0.1726992172,0.3047262298
kan_efg__fusAA608E_rpoDL261Q__2,-0.4883500414,0.37066421250000003
kan_efg__fusAA608E_topAS180L__1,-0.8340043679,-0.229163092
kan_efg__fusAA608E_topAS180L__2,0.111352562,-0.0763122197
kan_efg__rpoDL261Q__1,0.30860172890000004,0.0665786934
kan_efg__rpoDL261Q__2,-0.37215204300000004,0.31473205190000003
kan_efg__wt__1,-0.4973106157,-0.141636374
kan_efg__wt__2,0.4973106157,0.141636374
lrp__wt_min_log__1,-0.2166008344,-0.300678606
lrp__wt_min_log__2,0.2166008344,0.300678606
lrp__wt_min_trans__1,1.6973920826,0.4629424077
lrp__wt_min_trans__2,0.5228569139,0.31083493900000003
lrp__wt_min_stat__1,1.1878670407,-2.3916792757
lrp__wt_min_stat__2,1.0065734869,-1.9242488163
lrp__wt_liv_log__1,-0.1645061752,0.38929483600000003
lrp__wt_liv_log__2,-0.6732157712,0.0678494656
lrp__wt_liv_trans__1,1.3123909752,-1.2390344669
lrp__wt_liv_trans__2,0.3593247925,-0.5965509084
lrp__wt_liv_stat__1,1.6045517728,-3.7507213135
lrp__wt_liv_stat__2,0.7524589353000001,-3.1418904322
lrp__wt_rich_log__1,-1.7452940206,0.0635831364
lrp__wt_rich_log__2,-2.1545878921,-0.09211076680000001
lrp__wt_rich_trans__1,0.3259422124,-0.4598805903
lrp__wt_rich_trans__2,0.44168166200000003,-0.7590328193
lrp__wt_rich_stat__1,1.9323047113,-1.3810940529
lrp__wt_rich_stat__2,3.4365428378000002,-2.2506879692
lrp__dellrp_min_log__1,-0.5062164376,-0.0586776689
lrp__dellrp_min_log__2,-0.1853526215,-0.0593881386
lrp__dellrp_min_trans__1,0.8118402402,-0.024091608400000002
lrp__dellrp_min_trans__2,1.2836067882,-0.19749080500000002
lrp__dellrp_min_stat__1,1.2517968732,-2.5186988734
lrp__dellrp_min_stat__2,0.5967079827,-2.4523717911
lrp__dellrp_liv_log__1,-0.0243583481,0.29610399330000003
lrp__dellrp_liv_log__2,-0.8354242849,0.0528057644
lrp__dellrp_liv_trans__1,0.8879068006,-0.5729100256
lrp__dellrp_liv_trans__2,0.7886199584,-0.2962553442
lrp__dellrp_liv_stat__1,0.7964932974000001,-2.9022556186
lrp__dellrp_liv_stat__2,0.7789923301,-2.5101236299
lrp__dellrp_rich_log__1,-1.5673697516,-0.034463389000000004
lrp__dellrp_rich_log__2,-1.6212704447,0.1035836638
lrp__dellrp_rich_trans__1,0.6124767885,-0.744310062
lrp__dellrp_rich_trans__2,0.8661058975,-0.7267349405
lrp__dellrp_rich_stat__1,4.4825854277,-0.5169138602
lrp__dellrp_rich_stat__2,4.8090691831,-0.1979673563
mazF_circuit__t0__1,1.7361463618,0.09076715020000001
mazF_circuit__t2__1,0.3474203844,-0.4690625215
mazF_circuit__t4__1,-0.29857236600000003,0.3185953146
mazF_circuit__t6__1,-0.23837911380000001,0.3427219745
mazF_circuit__t8__1,0.215249676,0.5524475201
mazF_circuit__t0__2,-1.7361463618,-0.09076715020000001
mazF_circuit__t2__2,1.1101446118,-0.0442195856
mazF_circuit__t4__2,-0.45907153440000004,-0.6958395071
mazF_circuit__t6__2,2.0564166027,0.1863672996
mazF_circuit__t8__2,-0.3446601412,0.5155050144000001
mazF_ribo__emptyvec_mrna_5m__1,0.1405196636,-0.1410889137
mazF_ribo__emptyvec_mrna_5m__2,-0.1405196636,0.1410889137
mazF_ribo__mazF_mrna_5m__1,-1.4025382617,0.9217703952
mazF_ribo__mazF_mrna_5m__2,-1.3805957239,0.8202886692
mazF_ribo__emptyvec_total_5m__1,0.5778018198,-0.1145672939
mazF_ribo__emptyvec_total_5m__2,-1.6322326681,-0.2895290836
mazF_ribo__mazF_total_60m__1,-5.610800803,0.426457173
mazF_ribo__mazF_total_60m__2,-5.1188919087,0.3078472252
mercury__ctrl_t00__1,0.0967225231,-0.9904686913
mercury__ctrl_t10__1,0.4732668712,-0.092063302
mercury__ctrl_t30__1,1.055828,-0.027828344600000002
mercury__ctrl_t60__1,1.0522015368,0.3133614099
mercury__hg_t10__1,2.5682726057,0.6366837678
mercury__hg_t30__1,1.545032311,1.3631775990000001
mercury__hg_t60__1,1.8299193561,0.365700476
mercury__pma_t10__1,3.4234568835,0.8898815848
mercury__pma_t30__1,2.7500340588,1.4120582961
mercury__pma_t60__1,0.0099309089,0.2791496649
mercury__ctrl_t00__2,0.0035269557000000003,0.3107282916
mercury__ctrl_t10__2,0.5682906184000001,0.1420497832
mercury__ctrl_t30__2,1.1695834442,0.2600725357
mercury__ctrl_t60__2,1.4626250702,0.28605746400000004
mercury__hg_t10__2,2.3418232397,0.47220043440000004
mercury__hg_t30__2,1.3494841631,1.7722510822
mercury__hg_t60__2,0.3024099558,-0.2607123715
mercury__pma_t10__2,3.5391191353,0.7324229814000001
mercury__pma_t30__2,2.1201635054,0.9850199265
mercury__pma_t60__2,0.9102104628000001,0.7025229368
mercury__ctrl_t00__3,-0.1002494787,0.6797403997
mercury__ctrl_t10__3,0.9997498347,0.15663868590000002
mercury__ctrl_t30__3,1.4056204453,0.7211479040000001
mercury__ctrl_t60__3,0.7544945359,0.3105675636
mercury__hg_t10__3,3.0039283498,0.8983822112000001
mercury__hg_t30__3,2.2651488176,1.0694017338
mercury__hg_t60__3,0.8826876886,0.23093869760000002
mercury__pma_t10__3,3.2634197123,0.2934309111
mercury__pma_t30__3,2.4081368148,0.3901756004
mercury__pma_t60__3,0.9665750926000001,0.8546452432
ml_abx__az_lolcde__1,3.1827106977,0.8542332468
ml_abx__az_lolcde__2,0.9948389805000001,0.5389366707000001
ml_abx__az_lolcde__3,1.6168717189000001,0.8180763212000001
ml_abx__b01__1,1.03216205,0.0262625364
ml_abx__b01__2,0.9692227653000001,0.0050758597
ml_abx__b01__3,0.5854452786000001,-0.1739724268
ml_abx__cro__1,1.4167852,0.4598203088
ml_abx__cro__2,0.7290755548000001,0.0830160293
ml_abx__cro__3,-1.5231459955000002,-0.7011436687
ml_abx__chl__1,-2.5958432982,-1.4049828389
ml_abx__chl__2,-2.0688122854,-1.534678739
ml_abx__chl__3,-3.0564747411,-1.4959361222
ml_abx__cip__1,1.471133503,0.1710282616
ml_abx__cip__2,1.0894796694,-0.321151793
ml_abx__cip__3,-1.3046808902,-0.8281324935000001
ml_abx__clr__1,-2.4241775159,-0.8685464915000001
ml_abx__clr__2,-1.4700816048,-1.0985093491
ml_abx__clr__3,-2.2576011986,-1.5069027057
ml_abx__cst__1,1.4641318187,0.6116293337
ml_abx__cst__2,1.5669234709,-0.0255637428
ml_abx__cst__3,0.7742358274000001,0.0138053331
ml_abx__ctrl__1,1.5739444104,0.4000938089
ml_abx__ctrl__2,1.0942437047,0.4496866439
ml_abx__ctrl__3,0.5092028439,-0.0054930878
ml_abx__ctrl__4,0.22256517550000002,-0.013759077500000001
ml_abx__ctrl__5,-1.5439407324999999,-0.496052937
ml_abx__ctrl__6,-1.8560154019000001,-0.33447535040000004
ml_abx__dox__1,-2.8279633303000002,-1.4940971608
ml_abx__dox__2,-2.8151792456,-1.5491249414000001
