,A,DsdC
cstr_pfr__str_0120m__1,-0.6145002219,-0.0976580055
cstr_pfr__str_0210m__1,-0.3070930679,-0.0419782856
cstr_pfr__str_0330m__1,-0.2393617875,-0.0205718551
cstr_pfr__str_1500m__1,-0.18776023930000002,0.3128017705
cstr_pfr__str_1560m__1,-0.7981112707,-0.1406948391
cstr_pfr__str_1680m__1,-0.48857133210000003,-0.1775020035
cstr_pfr__str_ref1__1,0.0810341903,0.011119685
cstr_pfr__str_ref2__1,-0.1088193159,-0.0695261013
cstr_pfr__str_ref3__1,-0.1292488312,-0.2202567531
cstr_pfr__pfr_P5_0005m__1,0.0930378318,-0.0975573267
cstr_pfr__pfr_P5_0010m__1,-0.4015935156,-0.20880509590000002
cstr_pfr__pfr_P5_0025m__1,-0.6593355346,-0.20584559230000002
cstr_pfr__pfr_P3_0025m__1,-0.3726731433,-0.1886613085
cstr_pfr__pfr_P1_0025m__1,-0.13491684140000001,-0.0204531373
cstr_pfr__pfr_P5_0045m__1,-0.42542812960000004,-0.2159323508
cstr_pfr__pfr_P5_0120m__1,-0.2003712129,-0.0315076497
cstr_pfr__pfr_P3_0120m__1,-0.4019320564,-0.1550223641
cstr_pfr__pfr_P1_0120m__1,-1.0670310288,-0.3107902214
cstr_pfr__pfr_P5_0210m__1,-0.4055453034,-0.09698744220000001
cstr_pfr__pfr_P5_1500m__1,-0.5426953136,-0.2472292378
cstr_pfr__pfr_P3_1680m__1,-0.670926918,-0.09383367100000001
cstr_pfr__pfr_P5_1680m__1,-0.4209939894,-0.0578048906
cstr_pfr__pfr_P1_1680m__1,-0.42161030120000004,-0.10603193920000001
cstr_pfr__str_0005m__2,-0.0973108248,-0.1480981869
cstr_pfr__str_0010m__2,-0.4267525009,-0.2997565237
cstr_pfr__str_0025m__2,-0.5035707871,-0.2053324684
cstr_pfr__str_0045m__2,-0.47007819110000004,-0.08718605780000001
cstr_pfr__str_0075m__2,-0.4890533453,-0.2041834216
cstr_pfr__str_0120m__2,-0.508767838,-0.2221583071
cstr_pfr__str_0210m__2,-0.49203470790000003,-0.0963828468
cstr_pfr__str_0330m__2,-0.4117592494,-0.0485560473
cstr_pfr__str_1500m__2,-0.0906931371,-0.20049180020000001
cstr_pfr__str_1560m__2,-0.3994226112,0.010424861
cstr_pfr__str_1680m__2,-0.4852733206,0.0582487894
cstr_pfr__str_ref1__2,-0.0810341903,-0.011119685
cstr_pfr__str_ref2__2,-0.174170883,-0.0964219291
cstr_pfr__str_ref3__2,0.0739829368,-0.18166033450000002
cstr_pfr__pfr_P5_0005m__2,-0.2599808706,0.0367942774
cstr_pfr__pfr_P5_0010m__2,-0.4297543621,-0.07320777290000001
cstr_pfr__pfr_P5_0025m__2,-0.5218283933,-0.2504628781
cstr_pfr__pfr_P3_0025m__2,-0.2377621708,-0.2081188867
cstr_pfr__pfr_P1_0025m__2,-0.5704830763000001,-0.26566726
cstr_pfr__pfr_P5_0045m__2,0.3326316314,-0.7229429559
cstr_pfr__pfr_P5_0120m__2,-0.6732165896,-0.3024216623
cstr_pfr__pfr_P3_0120m__2,-0.33814369380000003,-0.32553054130000003
cstr_pfr__pfr_P1_0120m__2,-0.7800553880000001,-0.1758265142
cstr_pfr__pfr_P5_0210m__2,-1.1663812798,-0.2022210966
cstr_pfr__pfr_P5_1500m__2,-1.0282795771,-0.3364224028
cstr_pfr__pfr_P3_1680m__2,-0.8280299893,-0.2869389111
cstr_pfr__pfr_P5_1680m__2,-0.7213293225,-0.37250266390000003
cstr_pfr__pfr_P1_1680m__2,-0.6929603261,-0.0523666411
darobactin__daro_30m__1,-6.0106081108,-0.4065662587
darobactin__daro_30m__2,-7.0379223697,-1.588781826
darobactin__solv_1h__1,-8.9540542729,-0.0348496493
darobactin__solv_1h__2,-8.3400814576,0.16343074200000002
darobactin__daro_1h__1,-8.7775197094,-0.33902697860000003
darobactin__solv_1h__3,-9.2841334672,0.1799580425
darobactin__daro_1h__2,-8.7050260679,0.9046824394
darobactin__daro_1h__3,-8.0777823632,0.259541679
darobactin__daro_30m__3,-6.2897547653,-0.3866295951
darobactin__solv_30m__1,-6.6359884223000005,-1.0693057455
darobactin__solv_15m__1,-0.8032088679,-0.10124492930000001
darobactin__solv_15m__2,1.1043393555,-0.0171329347
darobactin__daro_15m__1,3.8315913529000003,0.9375669412000001
darobactin__solv_15m__3,-0.3011304876,0.11837786400000001
darobactin__daro_15m__2,0.7646203119,0.4392087606
darobactin__daro_15m__3,-0.331584388,0.0015891729000000001
darobactin__solv_30m__2,-7.1863275545,-2.1278744531
darobactin__solv_30m__3,-6.0191527616,-1.5196589644
ddp__pNT3_aroP__1,0.0077963334,-0.4955233249
ddp__pNT3_aroP__2,-1.0966333345,-1.0171598955
ddp__pNT3_bamC__1,0.4819743198,-2.2141018409
ddp__pNT3_bamC__2,-0.0658174915,-1.8212036698
ddp__pNT3_cusA__1,0.42170925000000004,-1.4393920778
ddp__pNT3_cusA__2,-0.0573167703,-0.8508959511
ddp__pNT3_hemX__1,0.4075998656,-0.6929038592
ddp__pNT3_hemX__2,-0.6887754798,-1.2204753337
ddp__pNT3_empty__1,0.45690813830000004,0.2136163492
ddp__pNT3_empty__2,-0.45690813830000004,-0.2136163492
ddp__pNT3_topA__1,-0.5849085199,-1.7047722396
ddp__pNT3_topA__2,-0.5030975521000001,-2.3383131801
ddp__pNT3_yicR__1,-1.1226560989,-0.34909310060000004
ddp__pNT3_yicR__2,-1.9922710295,-0.8881494629000001
ddp__pNT3_yqjD__1,0.22570550590000002,0.1186390714
ddp__pNT3_yqjD__2,-0.6984553552,-0.5494977812
ecomics__del_gabT__1,0.1433171422,-0.045057114700000005
ecomics__del_gabT__2,-0.1433171422,0.045057114700000005
ecomics__del_putP__1,-1.1528838458,-0.6302446211
ecomics__del_putP__2,-1.1277378107,0.2433716095
ecomics__del_entF__1,-1.5319668916,0.5621554387000001
ecomics__del_entF__2,0.3117449443,-0.6539685701
ecomics__del_entF__3,-2.1925362358,0.2122054753
ecomics__del_cysA__1,0.2509591055,0.47584893640000003
ecomics__del_cysA__2,0.3568569909,0.1651748167
elyC__wt_21C__1,-0.4041841729,-0.36560630110000003
elyC__wt_21C__2,-0.10581045830000001,-0.541027247
elyC__wt_21C__3,-0.6381235959,-0.4776657972
elyC__wt_37C__1,-0.21469038740000002,-0.096900253
elyC__wt_37C__2,0.2916343903,0.042327727600000004
elyC__wt_37C__3,-0.0769440029,0.0545725254
elyC__delelyC_21C__1,-0.24769442160000002,-0.6302550992
elyC__delelyC_21C__2,0.2348779451,-0.3120278702
elyC__delelyC_21C__3,-0.1885018901,-0.48683981800000004
elyC__delelyC_37C__1,0.3187107541,0.2806824099
elyC__delelyC_37C__2,-0.2398950323,-0.0041615208
elyC__delelyC_37C__3,-0.0701187648,-0.0374412354
evo_acid_w__F9_2__1,-1.0223901699,-0.0999436917
evo_acid_w__F11_1__1,-1.2395144723,0.4675329237
evo_acid_w__F11_1__2,-1.2015663076,0.49885528430000003
evo_acid_w__F11_1__3,-0.6343153546,0.6036595768
evo_acid_w__wt__1,0.0654866739,0.3513098388
evo_acid_w__F11_2__1,1.3129145836,0.6643235155
evo_acid_w__B11_2__1,1.0456442107,0.6979641563
evo_acid_w__F11_2__2,0.5467432763,0.5682189716
evo_acid_w__wt__2,-0.2644830172,0.1396133332
evo_acid_w__B11_1__1,2.0862071911,0.7989227830000001
evo_acid_w__H9_1__1,-1.4216442717,-0.6381706191000001
evo_acid_w__H9_2__1,-1.5412041403,0.1252511906
evo_acid_w__B11_2__2,1.6465353466,1.0022303654
evo_acid_w__wt__3,-0.5372111121,0.1762212274
evo_acid_w__H9_2__2,-1.6776969104,0.1261168628
evo_acid_w__B11_2__3,1.3245920514,0.7734679092000001
evo_acid_w__F11_2__3,0.9009475323,0.7634003012
evo_acid_w__F9_2__2,-0.8414175634000001,0.1411430344
evo_acid_w__wt__4,-1.2947267754,-0.0026894839
evo_acid_w__wt__5,-0.7021800083,-0.08732447260000001
evo_acid_w__wt__6,0.8923815012,-0.281686492
evo_acid_w__H9_1__2,-1.4221559994000001,-0.6204023328
evo_acid_w__F9_1__1,-1.3536235415,0.2209191171
evo_acid_w__F9_1__2,-0.9426589053000001,0.3260191303
evo_acid_w__B11_1__2,1.2507642011,0.2929316295
evo_acid_w__H9_2__3,-1.648313334,0.1483921513
evo_acid_w__wt__7,-0.5047327254,-0.052270095
evo_acid_w__F9_1__3,-0.8365306265,0.5267207458000001
evo_acid_w__F9_2__3,-1.0739822452,0.012011036800000001
evo_acid_w__wt__8,1.0239091642,-0.0482254202
evo_acid_w__B11_1__3,1.8093117813,0.565791367
evo_acid_w__wt__9,1.321556299,-0.1949484356
evo_bz__c3_1_bz__1,-3.8486589413,-0.5763645311
evo_bz__c3_1_bz__2,-3.554541387,-0.3921246396
evo_bz__c3_1_bz__3,-2.7091359808,-0.4515792518
evo_bz__c3_1_bz__4,-2.8230760689,-0.3506015528
evo_bz__g5_1_bz__1,-5.2987998783,-0.849633284
evo_bz__g5_1_bz__2,-6.7529027646,-1.2224505655
evo_bz__g5_1_bz__3,-6.6079426731,-1.0071356421
evo_bz__g5_1_bz__4,-5.5383626924,-0.9047537990000001
evo_bz__g5_1_bz__5,-4.6890216571,-0.9492983627
evo_bz__g5_1_bz__6,-4.9691793792,-1.0429345373
evo_bz__w3110d13__1,0.45459813590000003,0.17389910220000002
evo_bz__w3110d13__2,0.8098406017,0.1868858289
evo_bz__w3110d13__3,-0.0722550582,0.1081661748
evo_bz__w3110d13__4,0.0722342111,-0.1349716047
evo_bz__w3110d13__5,0.1037106197,0.0094391745
evo_bz__w3110d13__6,-1.3681285102,-0.3434186755
evo_bz__w3110d13_bz__1,-5.8070091969,-0.7135772888
evo_bz__w3110d13_bz__2,-6.2345327843,-0.7766289462
evo_bz__w3110d13_bz__3,-2.8081049812,-0.2327343718
evo_bz__w3110d13_bz__4,-5.9654205027,-0.6782536268
evo_bz__c3_1_bz__5,-3.3608134699,-0.3523834806
evo_bz__c3_1_bz__6,-4.6364039754,-0.5955803044
evo_bz__g5_2_bz__1,-4.8980203407000005,-1.1624979407
evo_bz__g5_2_bz__2,-4.3732044931,-1.2458321671
evo_bz__g5_2_bz__3,-4.5906622079,-0.9873913301
evo_bz__g5_2_bz__4,-3.9114282992,-0.7821084565
evo_bz__g5_2_bz__5,-4.4513520746,-0.9234118882000001
evo_bz__g5_2_bz__6,-6.3170275336,-1.3358626913
evo_bz__w3110d13_bz__5,-2.2098207398,-0.16240119620000001
evo_bz__w3110d13_bz__6,-2.9523990536999998,-0.6262734053
evo_bz__a1_1_bz__1,-2.6930776628,-0.1164708936
evo_bz__a1_1_bz__2,-5.2885895772,-0.5472008588
evo_bz__a1_1_bz__3,-5.2671771362,-0.9517174665
evo_bz__a1_1_bz__4,-5.2046017029,-0.5611782958
evo_bz__a1_1_bz__5,-4.2416795795,-1.127131342
evo_bz__a1_1_bz__6,-4.6247992983,-0.9144999234000001
evo_metab__wt__1,0.1837011664,-0.3311684132
evo_metab__del_zwf__1,-0.292190439,-0.187177701
evo_metab__zwf_ale1__1,-0.0208683866,-0.0068939581
evo_metab__zwf_ale2__1,0.98404967,0.0007960502
evo_metab__del_ppk__1,0.036707111800000004,-0.2406003734
evo_metab__ppk_ale1__1,-0.24924030120000001,0.20188518020000001
evo_metab__ppk_ale2__1,-0.1452294101,-0.0778269857
evo_metab__ppk_ale3__1,0.2232175113,-0.47118907660000003
evo_metab__del_dapF__1,0.6843367852000001,-0.3452150597
evo_metab__dapF_ale1__1,1.1246442021,-0.032838851100000004
evo_metab__dapF_ale3__1,-0.1138900355,-0.4295024766
evo_metab__del_entC__1,-0.7288727094,-0.0063303787
evo_metab__entC_ale1__1,-0.2522728624,-0.2870925499
evo_metab__entC_ale2__1,0.2250724315,-0.0746694061
evo_metab__del_dgk__1,0.7908249253,-0.3266477009
evo_metab__dgk_ale1__1,-0.008472186500000001,0.3628723445
evo_metab__dgk_ale2__1,0.357743882,0.0961727953
evo_metab__dgk_ale3__1,0.3674850837,-0.2119886101
evo_metab__wt__2,-0.31919460920000003,0.23944599130000002
evo_metab__del_zwf__2,-1.3896992315,0.7735933337
evo_metab__zwf_ale1__2,-0.2622801895,0.4362740476
evo_metab__zwf_ale2__2,0.5885039831000001,0.2714351216
evo_metab__del_ppk__2,0.3439666163,0.1950043541
evo_metab__ppk_ale1__2,0.3710989028,0.5685408759
evo_metab__ppk_ale2__2,-0.3635941636,0.2615686287
evo_metab__ppk_ale3__2,0.1722468258,0.6256011112000001
evo_metab__del_dapF__2,-0.7856868008,0.5722465647
evo_metab__dapF_ale1__2,-1.2306741697,0.7350710303
evo_metab__dapF_ale3__2,-0.8687520348000001,0.6791513165
evo_metab__del_entC__2,0.1553931277,0.0790466339
evo_metab__entC_ale1__2,0.0323486866,0.1507259844
evo_metab__entC_ale2__2,0.7346598047,0.1196800169
evo_metab__entC_ale3__1,0.0271345171,0.46569358040000003
evo_metab__del_dgk__2,0.8246696543,-0.216033472
evo_metab__dgk_ale1__2,0.3397759419,0.24194389500000002
evo_metab__dgk_ale2__2,0.5173957133,0.17648969150000002
evo_metab__dgk_ale3__2,0.6543446369,0.4132017803
evo_metab__wt__3,0.1354934429,0.0917224219
evo_metab__del_zwf__3,-0.903576876,0.34544738610000003
evo_metab__zwf_ale1__3,-0.1892596521,0.5243924029
evo_metab__zwf_ale2__3,0.855892796,0.2006251947
evo_metab__del_ppk__3,0.3885224417,0.34673353760000003
evo_metab__ppk_ale1__3,0.279292242,0.7438670541
evo_metab__ppk_ale2__3,0.29253808000000003,0.9972549898
evo_metab__ppk_ale3__3,0.6738941407,0.5255819380000001
evo_metab__del_dapF__3,-1.320173655,0.388567853
evo_metab__dapF_ale1__3,-0.7629675404,0.6725488265
evo_metab__dapF_ale3__3,-0.9840308997,0.6501967075
evo_metab__del_entC__3,0.2359624647,-0.0701501481
evo_metab__entC_ale1__3,-0.28342465370000003,-0.2675526579
evo_metab__entC_ale2__3,-0.37526190940000004,-0.024716550900000002
evo_metab__entC_ale3__2,-0.3045273678,0.1751864225
evo_metab__del_dgk__3,0.7549416574000001,-0.2904959925
evo_metab__dgk_ale1__3,-0.0859577648,0.1617959646
evo_metab__dgk_ale2__3,0.8691538906,0.1399592598
evo_metab__dgk_ale3__3,0.6883017608,0.4968476721
flag_reg__wt__1,0.1529597304,-0.1232877279
flag_reg__del_fliA__1,-0.2229632326,0.2746038503
flag_reg__del_flhC__1,-1.2560370633,-0.2442358563
flag_reg__del_flhD__1,-1.5975932202,-0.2141088246
flag_reg__wt__2,-0.1529597304,0.1232877279
flag_reg__del_fliA__2,-0.6174243804,0.059987070600000005
flag_reg__del_flhC__2,0.5044993222,0.1018101753
flag_reg__del_flhD__2,-0.4821413128,0.0607331547
flgM__27C__1,-0.5224204891,-0.8820353472
flgM__27C__2,0.1766537897,-0.807232574
flgM__27C__3,0.3952042665,-1.0395005348
flgM__32C__1,0.8593436703,-0.9143233698000001
flgM__32C__2,-0.3300984282,-0.2848263086
flgM__32C__3,0.0686125242,-0.5381521045000001
flgM__37C__1,0.13937708810000002,-0.18997432960000002
flgM__37C__2,0.1214347216,-0.029083302800000002
flgM__37C__3,-0.2608118097,0.2190576324
flgM__42C__1,0.3215553289,0.8604393450000001
flgM__42C__2,0.18361559330000002,0.9605471679
flgM__42C__3,0.4947622712,1.2731974848
histone__untreated__1,-0.1462989131,0.43942858700000004
histone__untreated__2,-0.0916976292,-0.4176014187
histone__untreated__3,0.2379965423,-0.0218271682
histone__10ug_H2A__1,0.3056540092,0.0512008778
histone__10ug_H2A__2,0.27868435280000003,-0.213075323
histone__10ug_H2A__3,0.3985922315,-0.0008241371
histone__50ug_H2A__1,1.166264115,0.1616838459
histone__50ug_H2A__2,0.9110398080000001,0.1449117467
histone__50ug_H2A__3,0.7647453839,-0.0342685551
histone__100ug_H2A__1,0.8988336581,-0.1851091825
histone__100ug_H2A__2,1.160743763,-0.0751435694
histone__100ug_H2A__3,0.8316889926000001,0.09451973870000001
hns__del_hns_spike__1,0.6289582667,0.0418092351
hns__del_hns_spike__2,3.0863622035,0.0833255279
hns__del_hns__1,0.5585163741,0.0486261136
hns__del_hns__2,2.7803607065,0.2896081005
hns__wt_spike__1,-0.0105605559,-0.3694689499
hns__wt_spike__2,4.6560303217,1.3164490052
hns__wt__1,0.5636347449,-0.2129909992
hns__wt__2,-0.5636347449,0.2129909992
hns_stpA__evo100G4_delhns_delstpA__1,-0.47772884670000004,-0.8282023875000001
hns_stpA__evo100G4_delhns_delstpA__2,-0.3070497216,-0.6231664514
hns_stpA__evo100G12_delhns_delstpA__1,1.4621463468,-0.7174481618
hns_stpA__evo100G12_delhns_delstpA__2,1.5304063476,-0.7994628449000001
hns_stpA__delhns_delstpA_delrpoS__1,1.7470152884,-0.9647676194
hns_stpA__delhns_delstpA_delrpoS__2,1.1598383361,-0.7203848569
hns_stpA__wt__1,0.2533707898,0.2763701905
hns_stpA__wt__2,-0.2533707898,-0.2763701905
hns_stpA__delhns_delstpA__1,-0.106242076,-1.0834997215
hns_stpA__delhns_delstpA__2,-0.44483291610000003,-0.9176227475000001
hu__wt_log_pH7__1,-0.0632928696,-0.1547552915
hu__wt_log_pH7__2,0.1174478667,0.8012970714000001
hu__wt_log_pH7__3,1.0400497887,-0.0585798104
hu__wt_lag_pH7__1,0.060371437300000004,-0.3600384715
hu__wt_lag_pH7__2,0.5407180812,-1.2199180728
hu__wt_lag_pH7__3,-0.6010895186,1.5799565442999999
hu__delhupA_lag_pH7__1,-0.0335244868,0.0751664183
hu__delhupA_lag_pH7__2,-0.25914513,-0.2979853529
hu__delhupA_lag_pH7__3,-0.8843517023,1.8174414057
hu__delhupB_lag_pH7__1,-0.1695745122,-0.3728241031
hu__delhupB_lag_pH7__2,-0.1331296425,-0.6941537648
hu__delhupB_lag_pH7__3,-0.3566444918,1.7664401347
hu__delhupAhupB_lag_pH7__1,-1.2188207618,0.169144965
hu__delhupAhupB_lag_pH7__2,-0.8706039108,-0.6937820475
hu__delhupAhupB_lag_pH7__3,-0.0800094575,0.9548609912
hu__hupAE34K_hupB_lag_pH7__1,-0.6900016991,-0.9788925699000001
hu__hupAE34K_hupB_lag_pH7__2,0.1970669029,-0.7679993576
hu__hupAE34K_hupB_lag_pH7__3,-0.7781859347000001,1.1447059621
hu__hupAE34K_delhupB_lag_pH7__1,-0.2855613819,-0.6732587842000001
hu__hupAE34K_delhupB_lag_pH7__2,-0.19212413020000002,-0.8115457686
hu__hupAE34K_delhupB_lag_pH7__3,-0.82972246,1.2246875936000001
hu__wt_lag_pH5__1,-0.9810009986,-0.8908335006
hu__wt_lag_pH5__2,-0.6673474656,-0.9030139695
hu__wt_lag_pH5__3,-1.6837852830000002,-0.152677112
hu__delhupA_lag_pH5__1,-1.1202185425,-0.6245929933000001
hu__delhupA_lag_pH5__2,-0.9946273840000001,-0.9138147136
hu__delhupA_lag_pH5__3,-1.7759250935000002,0.1371886659
hu__delhupAhupB_lag_pH5__1,-1.4048094519,-0.6824269979
hu__delhupAhupB_lag_pH5__2,-1.602899709,-0.40180060900000003
hu__delhupAhupB_lag_pH5__3,-2.4017852128,0.3896236738
hu__hupAE34K_hupB_lag_pH5__1,-1.0913170296999999,-0.8256125937000001
hu__hupAE34K_hupB_lag_pH5__2,-1.9799153653000001,0.22005711100000003
hu__hupAE34K_hupB_lag_pH5__3,-1.5778911699,0.4520343556
hu__hupAE34K_delhupB_lag_pH5__1,-1.5870617712000001,0.5762891085
hu__hupAE34K_delhupB_lag_pH5__2,-0.9773694847000001,-1.2220074837000001
hu__hupAE34K_delhupB_lag_pH5__3,-1.4850631190999999,0.4518199404
hyperpersistence__low_GFP__1,-1.3381454249,-0.6445955045
hyperpersistence__wt__1,0.07694785500000001,-0.1100394916
hyperpersistence__high_GFP__1,-2.9895535159,-0.7449626104
hyperpersistence__pth_mut__1,-3.6850926281,0.0945842986
hyperpersistence__pth_mut__2,-4.2698953536,0.3908773782
hyperpersistence__metG_mut__1,-2.9742788892,0.5419242202
hyperpersistence__metG_mut__2,-2.8628952189,-0.1952610142
hyperpersistence__high_GFP__2,-3.7535428790000003,-0.9344877398
hyperpersistence__wt__2,-0.07694785500000001,0.1100394916
hyperpersistence__low_GFP__2,-2.9533284118000003,-0.8439038846
kan_efg__cpxAF218Y__1,4.4812075716,0.5710180613
kan_efg__cpxAF218Y__2,5.1298729903,0.6654371337
kan_efg__cyaAN600Y__1,2.8389728643,-0.117875699
kan_efg__cyaAN600Y__2,5.9037655362,1.1095876377
kan_efg__fusAA608E__1,3.103966139,-0.1516416774
kan_efg__fusAA608E__2,1.9733262988,-0.1008050605
kan_efg__fusAA608E_cpxAF218Y__1,0.3747120258,-0.5473550703
kan_efg__fusAA608E_cpxAF218Y__2,1.5392234927000001,-0.37137066420000003
kan_efg__fusAA608E_cyaAN600Y__1,0.8143604954,-0.2208571152
kan_efg__fusAA608E_cyaAN600Y__2,2.389302867,-0.32601812480000003
kan_efg__fusAA608E_rpoDL261Q__1,0.8955566656,-0.025612084400000002
kan_efg__fusAA608E_rpoDL261Q__2,1.7581884587,-0.3015265514
kan_efg__fusAA608E_topAS180L__1,2.2396190185,0.12466947760000001
kan_efg__fusAA608E_topAS180L__2,2.5110571752,-0.8598838599
kan_efg__rpoDL261Q__1,0.2891631845,0.1749366332
kan_efg__rpoDL261Q__2,0.3876149137,-0.1427511354
kan_efg__wt__1,-0.013957974000000001,0.1924139336
kan_efg__wt__2,0.013957974000000001,-0.1924139336
lrp__wt_min_log__1,-0.5231362968000001,-0.030616062500000003
lrp__wt_min_log__2,0.5231362968000001,0.030616062500000003
lrp__wt_min_trans__1,0.2667903437,-0.9573096231
lrp__wt_min_trans__2,0.906901842,-0.0463081671
lrp__wt_min_stat__1,1.6724551087,0.4187376873
lrp__wt_min_stat__2,0.7622694228,0.6855295478
lrp__wt_liv_log__1,0.9511989195,0.0553198731
lrp__wt_liv_log__2,0.9390039809,-0.1020253678
lrp__wt_liv_trans__1,1.0170527045,-0.0966718516
lrp__wt_liv_trans__2,0.7888012430000001,-0.0125145771
lrp__wt_liv_stat__1,0.2000285139,0.1526323594
lrp__wt_liv_stat__2,1.2223528574,-0.0030884813000000002
lrp__wt_rich_log__1,6.1008960205,-1.3270749381
lrp__wt_rich_log__2,8.1040357972,-0.6703960576
lrp__wt_rich_trans__1,-0.39976191240000003,-0.452133002
lrp__wt_rich_trans__2,0.3606962307,-0.7073607745
lrp__wt_rich_stat__1,0.6857424525,-0.1848053523
lrp__wt_rich_stat__2,-0.2618537801,0.29227570480000004
lrp__dellrp_min_log__1,1.4721150506,0.0105389069
lrp__dellrp_min_log__2,1.1736516418,0.0662721336
lrp__dellrp_min_trans__1,0.5631080033,-0.8604453737000001
lrp__dellrp_min_trans__2,0.9715413598,-0.3735162152
lrp__dellrp_min_stat__1,2.1771517747,0.516295124
lrp__dellrp_min_stat__2,1.4940758616,0.2597981908
lrp__dellrp_liv_log__1,0.2266987162,0.20071271670000002
lrp__dellrp_liv_log__2,0.008027197,-0.1555387453
lrp__dellrp_liv_trans__1,0.3384746175,0.0816028859
lrp__dellrp_liv_trans__2,0.7842984827,0.4367192449
lrp__dellrp_liv_stat__1,0.9186048338,-0.10830688220000001
lrp__dellrp_liv_stat__2,0.8244063716000001,0.3941943047
lrp__dellrp_rich_log__1,8.0998053532,-0.5445217687
lrp__dellrp_rich_log__2,9.4965323899,-0.0803904638
lrp__dellrp_rich_trans__1,-0.4138060944,-1.0414333359
lrp__dellrp_rich_trans__2,-0.07219668600000001,-0.7059919613
lrp__dellrp_rich_stat__1,-0.2478223475,-0.735500703
lrp__dellrp_rich_stat__2,-0.42623865780000003,-0.3158006397
mazF_circuit__t0__1,-1.7403295037,-0.35968107200000005
mazF_circuit__t2__1,3.4384428395,0.0398980436
mazF_circuit__t4__1,4.1480744993,-0.23490959460000002
mazF_circuit__t6__1,3.7084875876,0.527069263
mazF_circuit__t8__1,4.3748587898,0.5456809862
mazF_circuit__t0__2,1.7403295037,0.35968107200000005
mazF_circuit__t2__2,2.8104204316,0.1207306124
mazF_circuit__t4__2,3.1232216374,0.1819951454
mazF_circuit__t6__2,4.0168791968,0.3108824901
mazF_circuit__t8__2,2.9735749154,0.5403971472
mazF_ribo__emptyvec_mrna_5m__1,0.0818032634,0.0342307627
mazF_ribo__emptyvec_mrna_5m__2,-0.0818032634,-0.0342307627
mazF_ribo__mazF_mrna_5m__1,0.8837908938,0.4360079525
mazF_ribo__mazF_mrna_5m__2,0.8682628135,0.6168648321
mazF_ribo__emptyvec_total_5m__1,-0.105156199,-0.2605678227
mazF_ribo__emptyvec_total_5m__2,1.2814147999,-0.7129004907000001
mazF_ribo__mazF_total_60m__1,-3.5053171764,-1.5400959725
mazF_ribo__mazF_total_60m__2,-4.3498900275,-0.7973109755000001
mercury__ctrl_t00__1,-0.3163533807,-0.2387894073
mercury__ctrl_t10__1,0.14936406230000002,-0.6229148723
mercury__ctrl_t30__1,0.4789920305,0.3742650584
mercury__ctrl_t60__1,0.8122621576,0.5338364090000001
mercury__hg_t10__1,0.8294971242,0.3429225188
mercury__hg_t30__1,-0.1574702349,0.7150653671
mercury__hg_t60__1,0.0366776243,1.4918192156
mercury__pma_t10__1,-1.3473554971000001,0.1326231151
mercury__pma_t30__1,-0.746170791,0.4254165548
mercury__pma_t60__1,-0.1422664365,0.4224085911
mercury__ctrl_t00__2,0.1639616385,-0.0005781549
mercury__ctrl_t10__2,0.0930677436,0.1197117053
mercury__ctrl_t30__2,0.6073097298,0.4374089016
mercury__ctrl_t60__2,0.1167259737,0.1788260244
mercury__hg_t10__2,0.019850646700000002,0.3631229973
mercury__hg_t30__2,0.3859756771,1.0128754553
mercury__hg_t60__2,-0.1653135044,0.4706514526
mercury__pma_t10__2,-1.2380530478,-0.1571848992
mercury__pma_t30__2,-1.3932690124,0.6012423998
mercury__pma_t60__2,0.2412438251,0.35525941510000003
mercury__ctrl_t00__3,0.1523917422,0.23936756220000002
mercury__ctrl_t10__3,0.4641108607,-0.15930280300000002
mercury__ctrl_t30__3,1.0294841997,0.5592852335
mercury__ctrl_t60__3,0.30555433530000004,0.0226981759
mercury__hg_t10__3,1.1101011044,0.7356263930000001
mercury__hg_t30__3,0.081578221,0.7980938870000001
mercury__hg_t60__3,-0.5067895205,1.0608712701
mercury__pma_t10__3,-1.0391740408,0.23625009760000001
mercury__pma_t30__3,-0.9534010303,0.8677874182
mercury__pma_t60__3,0.3582776268,0.136004761
ml_abx__az_lolcde__1,-0.45209611200000005,0.0163774583
ml_abx__az_lolcde__2,1.070634727,0.1450498774
ml_abx__az_lolcde__3,-1.6917739519000001,-0.0143273601
ml_abx__b01__1,-0.45288176150000004,0.0462937368
ml_abx__b01__2,-0.6074806831,0.0276922432
ml_abx__b01__3,-1.9721204391,-0.0352354488
ml_abx__cro__1,-0.6246514279000001,0.1775984207
ml_abx__cro__2,1.1323058377,0.24812213200000002
ml_abx__cro__3,-1.5270589792,-0.3143129348
ml_abx__chl__1,-2.0568001467,-0.8007606093
ml_abx__chl__2,-2.3003260121,-1.4117648524
ml_abx__chl__3,-2.9509622215,-1.3167543197
ml_abx__cip__1,-0.6741358617000001,-0.9689975807000001
ml_abx__cip__2,1.2431513442,-0.6034840404
ml_abx__cip__3,-1.5171610513,-1.2631472587
ml_abx__clr__1,-3.0855976046,-1.086851353
ml_abx__clr__2,-2.4149930723,-0.8151655611
ml_abx__clr__3,-2.7688862221,-1.2332749328000001
ml_abx__cst__1,-0.0052407047,-0.19444012830000001
ml_abx__cst__2,1.867381766,0.1423317608
ml_abx__cst__3,-1.5727583485,-0.1899321168
