,A,BluR
cstr_pfr__str_1500m__1,1.8749350821,0.1471876177
cstr_pfr__str_1560m__1,1.5530507079,0.0130194748
cstr_pfr__str_1680m__1,1.6886520763,-0.056425298400000004
cstr_pfr__str_ref1__1,0.0377256547,-0.0169583638
cstr_pfr__str_ref2__1,0.8779321024000001,-0.038020598100000004
cstr_pfr__str_ref3__1,0.44416794130000004,-0.030596055100000002
cstr_pfr__pfr_P5_0005m__1,-0.1428680891,0.0067547781
cstr_pfr__pfr_P5_0010m__1,-1.1254602178,-0.1074641966
cstr_pfr__pfr_P5_0025m__1,-0.0464981662,0.0920088736
cstr_pfr__pfr_P3_0025m__1,0.0937140425,-0.0802687504
cstr_pfr__pfr_P1_0025m__1,0.7402908066,0.0013384463
cstr_pfr__pfr_P5_0045m__1,0.0271623556,0.1405918764
cstr_pfr__pfr_P5_0120m__1,-0.8029880208,-0.0499245819
cstr_pfr__pfr_P3_0120m__1,-0.5427373666,-0.0580565492
cstr_pfr__pfr_P1_0120m__1,-0.4407896115,-0.047449006200000005
cstr_pfr__pfr_P5_0210m__1,0.2320506799,0.06300712060000001
cstr_pfr__pfr_P5_1500m__1,-0.0281065078,-0.16067250260000002
cstr_pfr__pfr_P3_1680m__1,1.3623107817,-0.0844702263
cstr_pfr__pfr_P5_1680m__1,0.8289981161000001,-0.06978784390000001
cstr_pfr__pfr_P1_1680m__1,1.7502499529,-0.043214242800000004
cstr_pfr__str_0005m__2,-0.10079625930000001,-0.1489872414
cstr_pfr__str_0010m__2,-0.08581408700000001,-0.1793726143
cstr_pfr__str_0025m__2,-0.6168915914,0.1099408983
cstr_pfr__str_0045m__2,0.37174308040000004,0.2014811557
cstr_pfr__str_0075m__2,0.149133964,0.11459577580000001
cstr_pfr__str_0120m__2,-0.3459975082,0.11987228850000001
cstr_pfr__str_0210m__2,0.1621382072,0.10482295180000001
cstr_pfr__str_0330m__2,0.0039022678000000003,0.0128907008
cstr_pfr__str_1500m__2,1.5795541771,0.1506016975
cstr_pfr__str_1560m__2,1.4553238599,0.131973482
cstr_pfr__str_1680m__2,1.3609618555,0.1086061299
cstr_pfr__str_ref1__2,-0.0377256547,0.0169583638
cstr_pfr__str_ref2__2,-0.34395974290000003,0.056475688700000005
cstr_pfr__str_ref3__2,0.3094136609,0.0309368358
cstr_pfr__pfr_P5_0005m__2,-0.6090186808,-0.0627211345
cstr_pfr__pfr_P5_0010m__2,-0.796784036,-0.0525607983
cstr_pfr__pfr_P5_0025m__2,-0.5458362442,0.0771109886
cstr_pfr__pfr_P3_0025m__2,-0.14210159390000002,-0.0689393596
cstr_pfr__pfr_P1_0025m__2,-0.0310046793,-0.025828840800000002
cstr_pfr__pfr_P5_0045m__2,-2.0552096735,0.0494359194
cstr_pfr__pfr_P5_0120m__2,-0.5143798350000001,0.0007429777
cstr_pfr__pfr_P3_0120m__2,-0.1283761309,-0.1731846758
cstr_pfr__pfr_P1_0120m__2,-0.6311207705,-0.0675234309
cstr_pfr__pfr_P5_0210m__2,-0.5800924353,0.2524360042
cstr_pfr__pfr_P5_1500m__2,0.20624004,-0.14034424510000001
cstr_pfr__pfr_P3_1680m__2,0.7073864625,-0.1281869058
cstr_pfr__pfr_P5_1680m__2,0.9970362038,-0.21393157170000002
cstr_pfr__pfr_P1_1680m__2,1.2266470575,-0.1790716326
darobactin__daro_30m__1,1.6337069902999999,0.15753005150000002
darobactin__daro_30m__2,0.2473193834,0.19587401040000002
darobactin__solv_1h__1,1.2161160647,-0.0984933815
darobactin__solv_1h__2,3.374824832,0.153574975
darobactin__daro_1h__1,5.5848945919,0.08193383330000001
darobactin__solv_1h__3,-0.9195637758,-1.0891033193
darobactin__daro_1h__2,4.7316708845,-0.13743210720000001
darobactin__daro_1h__3,4.8306176296,-0.0511500412
darobactin__daro_30m__3,2.8763451772,0.394316861
darobactin__solv_30m__1,0.2333073587,0.4157084808
darobactin__solv_15m__1,-0.4822827676,0.14118859520000002
darobactin__solv_15m__2,0.6977315167,-0.21067313240000002
darobactin__daro_15m__1,0.3019467366,-0.0489267254
darobactin__solv_15m__3,-0.2154487491,0.0694845372
darobactin__daro_15m__2,-0.47011990130000003,-0.3559981282
darobactin__daro_15m__3,-0.3443245672,1.1726816054
darobactin__solv_30m__2,0.0420209812,-0.19583717720000002
darobactin__solv_30m__3,2.0299365812,0.1679642063
ddp__pNT3_aroP__1,-0.24864440440000002,0.8921911473
ddp__pNT3_aroP__2,-3.1878619993,0.7898416282
ddp__pNT3_bamC__1,-3.5355303875,0.4678499881
ddp__pNT3_bamC__2,-4.8033909683000005,0.0547635117
ddp__pNT3_cusA__1,-2.2691065929,0.1319039739
ddp__pNT3_cusA__2,-3.2686430421,0.1541924996
ddp__pNT3_hemX__1,-2.0874507818,0.1855748281
ddp__pNT3_hemX__2,-2.1849911355,0.1465909642
ddp__pNT3_empty__1,1.3739478803,0.1740761439
ddp__pNT3_empty__2,-1.3739478803,-0.1740761439
ddp__pNT3_topA__1,-0.1677142807,1.1389410172
ddp__pNT3_topA__2,-3.5292999593000003,1.5452212557
ddp__pNT3_yicR__1,0.79331085,-0.2078303131
ddp__pNT3_yicR__2,-0.7932916736000001,-0.1770381397
ddp__pNT3_yqjD__1,0.9109100670000001,0.1557504318
ddp__pNT3_yqjD__2,-0.4250165334,-0.11300088820000001
ecomics__del_gabT__1,0.5201760876,-0.1887425982
ecomics__del_gabT__2,-0.5201760876,0.1887425982
ecomics__del_putP__1,-0.2852404193,-0.2221554345
ecomics__del_putP__2,0.1581507032,-0.4251901339
ecomics__del_entF__1,2.1886021142,-0.5366071152
ecomics__del_entF__2,-2.7789162712,-0.48917725440000004
ecomics__del_entF__3,-1.664354276,0.0169899008
ecomics__del_cysA__1,-1.014266815,-0.31615399800000005
ecomics__del_cysA__2,0.6408913617,-0.3460690077
elyC__wt_21C__1,11.483691779,1.8898751059
elyC__wt_21C__2,10.6378714874,1.5477772269
elyC__wt_21C__3,11.0106204298,1.8889700314
elyC__wt_37C__1,-0.0147503205,-0.193966193
elyC__wt_37C__2,0.47610487030000004,0.0525779537
elyC__wt_37C__3,-0.4613545498,0.1413882393
elyC__delelyC_21C__1,10.8750963055,1.8837914959000002
elyC__delelyC_21C__2,11.5058737973,1.6698065965
elyC__delelyC_21C__3,11.5289759221,1.7171397548
elyC__delelyC_37C__1,0.893979458,-0.2030749437
elyC__delelyC_37C__2,0.49099896600000004,0.0379893778
elyC__delelyC_37C__3,0.5435576114,-0.19612048410000002
evo_acid_w__F9_2__1,3.11684325,0.33154843970000003
evo_acid_w__F11_1__1,-5.15987731,0.0769265158
evo_acid_w__F11_1__2,-4.3642670499000005,0.2281332492
evo_acid_w__F11_1__3,-4.3167038758,0.09692081550000001
evo_acid_w__wt__1,3.4883637139,0.3162159533
evo_acid_w__F11_2__1,-0.6888461462000001,-0.2339127785
evo_acid_w__B11_2__1,-5.6396538364,0.33958591120000003
evo_acid_w__F11_2__2,-3.5123313457,0.22532655040000002
evo_acid_w__wt__2,-1.5725210883,0.1702793104
evo_acid_w__B11_1__1,-7.3721478487,0.29468831830000003
evo_acid_w__H9_1__1,1.9650731574,0.9125009276
evo_acid_w__H9_2__1,-3.2895791196,-0.12928576090000002
evo_acid_w__B11_2__2,-6.617508163,0.4353694797
evo_acid_w__wt__3,-0.8185887061,0.25147327750000004
evo_acid_w__H9_2__2,-2.4868947105,-0.07549949930000001
evo_acid_w__B11_2__3,-5.9681074169,0.15532802880000002
evo_acid_w__F11_2__3,-3.0631481024,0.44753677680000004
evo_acid_w__F9_2__2,3.4627884621,0.2062565697
evo_acid_w__wt__4,0.3787502571,0.3484348013
evo_acid_w__wt__5,0.5157068613,0.4554812267
evo_acid_w__wt__6,-3.0138647103,-0.344151988
evo_acid_w__H9_1__2,1.7089699354999999,0.7663201218
evo_acid_w__F9_1__1,-0.118797571,0.5413769072
evo_acid_w__F9_1__2,-0.5869181703,0.4884167326
evo_acid_w__B11_1__2,-7.7513411872999995,-0.0403413784
evo_acid_w__H9_2__3,-4.8555416914,0.052019914800000004
evo_acid_w__wt__7,2.4469177221000002,-0.1640179206
evo_acid_w__F9_1__3,0.48661906380000003,0.4536774739
evo_acid_w__F9_2__3,3.423896211,0.1305427755
evo_acid_w__wt__8,-1.3599017845999999,-0.33701581550000004
evo_acid_w__B11_1__3,-8.0981173553,-0.0080026617
evo_acid_w__wt__9,-0.0648622651,-0.6966988451
evo_bz__c3_1_bz__1,8.0144959925,1.5582931475000001
evo_bz__c3_1_bz__2,3.733031398,-0.4183078307
evo_bz__c3_1_bz__3,3.9525075662,-0.3633253202
evo_bz__c3_1_bz__4,3.0558785995,-0.3225430904
evo_bz__g5_1_bz__1,9.0018978759,0.7496650377
evo_bz__g5_1_bz__2,5.7008322595,0.6905108491
evo_bz__g5_1_bz__3,8.0240215723,0.4172082982
evo_bz__g5_1_bz__4,5.6959290262,-0.271167994
evo_bz__g5_1_bz__5,4.4012152272,-0.316174597
evo_bz__g5_1_bz__6,5.1625113362,-0.173193212
evo_bz__w3110d13__1,-0.5828216354,0.2716051081
evo_bz__w3110d13__2,-0.4767241401,0.19857012810000002
evo_bz__w3110d13__3,0.5163455562,-0.2267717545
evo_bz__w3110d13__4,-0.8420964160000001,0.2893889296
evo_bz__w3110d13__5,1.1036492434,-0.3967584436
evo_bz__w3110d13__6,0.2816473919,-0.13603396780000002
evo_bz__w3110d13_bz__1,3.2981666198,0.7109496997
evo_bz__w3110d13_bz__2,3.9684186222,0.7191365288
evo_bz__w3110d13_bz__3,3.9579619966,-0.7010085436
evo_bz__w3110d13_bz__4,3.2337720524,0.5082360608000001
evo_bz__c3_1_bz__5,7.8433352971,1.3271192547
evo_bz__c3_1_bz__6,7.4717228533,1.7298768399000002
evo_bz__g5_2_bz__1,2.2062516225,-0.6710415069
evo_bz__g5_2_bz__2,2.0382379279,-0.872787806
evo_bz__g5_2_bz__3,0.7024779517,-1.1051968821
evo_bz__g5_2_bz__4,1.4734150453,0.31189437810000004
evo_bz__g5_2_bz__5,1.4532737342,0.4028417503
evo_bz__g5_2_bz__6,2.6264701376,0.9880268813
evo_bz__w3110d13_bz__5,3.5758500136,-0.6340026036
evo_bz__w3110d13_bz__6,4.2070989592,-0.6110241387
evo_bz__a1_1_bz__1,2.6590712927,0.6421847110000001
evo_bz__a1_1_bz__2,-0.6755791612000001,0.5623933656
evo_bz__a1_1_bz__3,0.7889631931000001,-0.4719066047
evo_bz__a1_1_bz__4,-1.3411264239,0.817380804
evo_bz__a1_1_bz__5,1.5983781492,-0.1190019657
evo_bz__a1_1_bz__6,0.2804171929,-0.4546918424
evo_metab__wt__1,0.698850477,0.1793813515
evo_metab__del_zwf__1,-1.3189978663,-0.44206301670000003
evo_metab__zwf_ale1__1,0.31528659200000003,0.30640468
evo_metab__zwf_ale2__1,4.8649165002,0.2953972583
evo_metab__del_ppk__1,-1.7680637489,0.0997003686
evo_metab__ppk_ale1__1,-2.6790183009,0.0457538479
evo_metab__ppk_ale2__1,1.9256366360000001,0.8772599727
evo_metab__ppk_ale3__1,3.045882891,0.509834048
evo_metab__del_dapF__1,1.4831152977,0.11607107820000001
evo_metab__dapF_ale1__1,3.332116626,-0.2937902358
evo_metab__dapF_ale3__1,-1.4535865148,-0.1690051551
evo_metab__del_entC__1,-1.0294618144,-0.4072875567
evo_metab__entC_ale1__1,-1.783783471,-0.26077701000000003
evo_metab__entC_ale2__1,1.1784301384,-0.5203165108
evo_metab__del_dgk__1,-1.694318949,-0.1548620624
evo_metab__dgk_ale1__1,-2.7940312466,-0.40344748140000003
evo_metab__dgk_ale2__1,-2.2035340617,-0.2113401331
evo_metab__dgk_ale3__1,3.3170728628,0.0194422465
evo_metab__wt__2,0.9667836468000001,-0.1312988656
evo_metab__del_zwf__2,11.7342107593,1.5583909529
evo_metab__zwf_ale1__2,-1.0319549167,-0.8068484118
evo_metab__zwf_ale2__2,0.9146850232,-0.5894051675
evo_metab__del_ppk__2,0.028179039200000002,0.0085365045
evo_metab__ppk_ale1__2,-1.9740719480000002,-0.1310038626
evo_metab__ppk_ale2__2,-2.1372994159,0.32260448010000004
evo_metab__ppk_ale3__2,2.0479570896,0.3617490097
evo_metab__del_dapF__2,14.2065788175,1.5907434088999999
evo_metab__dapF_ale1__2,18.9799254224,1.7883578428
evo_metab__dapF_ale3__2,14.8176237375,1.5629969199
evo_metab__del_entC__2,0.24047971580000002,-0.0295250906
evo_metab__entC_ale1__2,3.4593406469,-0.17904711880000002
evo_metab__entC_ale2__2,-1.5976572229000001,-0.10321908460000001
evo_metab__entC_ale3__1,-1.6311014897,-0.096479622
evo_metab__del_dgk__2,-2.2995794118,-0.2436909357
evo_metab__dgk_ale1__2,-0.8748400622,-0.3993947398
evo_metab__dgk_ale2__2,-1.138204444,0.14385096690000002
evo_metab__dgk_ale3__2,1.4398254335,0.2606740862
evo_metab__wt__3,-1.6656341237999999,-0.0480824859
evo_metab__del_zwf__3,0.0993426282,-0.5320851901
evo_metab__zwf_ale1__3,-1.8198107879,-0.4914374776
evo_metab__zwf_ale2__3,0.7852897718,-0.1087437581
evo_metab__del_ppk__3,-2.5823870627,0.024805699
evo_metab__ppk_ale1__3,-3.0446235246,0.0473898592
evo_metab__ppk_ale2__3,-1.9289352552999999,0.4283977009
evo_metab__ppk_ale3__3,0.8645595116,0.2920955227
evo_metab__del_dapF__3,13.5553520539,1.7189291572
evo_metab__dapF_ale1__3,17.9082431107,2.0294986911
evo_metab__dapF_ale3__3,13.3476026716,1.8392037359
evo_metab__del_entC__3,-1.5224906938,-0.3318928139
evo_metab__entC_ale1__3,-1.1977512601,-0.14386666380000002
evo_metab__entC_ale2__3,-1.0656632263,-0.31636202280000003
evo_metab__entC_ale3__2,0.2361006235,-0.008182804
evo_metab__del_dgk__3,-2.5824681641,-0.2784458219
evo_metab__dgk_ale1__3,-2.1607847426,-0.2157384626
evo_metab__dgk_ale2__3,-2.0843170725,0.1254242571
evo_metab__dgk_ale3__3,2.5457981675,0.396317073
flag_reg__wt__1,-0.013921018600000001,-0.0246588709
flag_reg__del_fliA__1,1.8883166545,-0.3205675338
flag_reg__del_flhC__1,2.2113895181,-0.2370411708
flag_reg__del_flhD__1,2.6681159765,-0.3365184479
flag_reg__wt__2,0.013921018600000001,0.0246588709
flag_reg__del_fliA__2,2.7941316521,-0.2769146272
flag_reg__del_flhC__2,0.9488751808,-0.1719647047
flag_reg__del_flhD__2,1.9981893606,-0.5832782788
flgM__27C__1,11.9629822974,1.0043139723
flgM__27C__2,10.9396900998,0.8806344087
flgM__27C__3,10.7755095509,0.8018090081
flgM__32C__1,1.9595713101,0.1583000578
flgM__32C__2,1.2648689827,0.0891241537
flgM__32C__3,3.4500630949,0.12513720750000001
flgM__37C__1,-0.1224218814,0.1021094565
flgM__37C__2,0.33209939310000003,0.0087189693
flgM__37C__3,-0.2096775116,-0.1108284258
flgM__42C__1,4.58298716,0.3632974194
flgM__42C__2,5.700518494,0.4971448778
flgM__42C__3,8.5297499678,1.0655957739
histone__untreated__1,-0.1939106014,-0.08066863810000001
histone__untreated__2,-0.0853506679,0.205013086
histone__untreated__3,0.2792612693,-0.1243444479
histone__10ug_H2A__1,0.019726992500000002,-0.260877996
histone__10ug_H2A__2,-0.5267285433000001,0.0204387125
histone__10ug_H2A__3,-0.09768736280000001,-0.08563328790000001
histone__50ug_H2A__1,0.308194419,-0.3090921432
histone__50ug_H2A__2,0.5538467587,-0.32229400680000003
histone__50ug_H2A__3,0.0530307733,-0.1727073153
histone__100ug_H2A__1,0.5873613313,-0.37870471050000004
histone__100ug_H2A__2,0.5364440084000001,-0.2976333581
histone__100ug_H2A__3,0.5146731299,-0.4607238831
hns__del_hns_spike__1,3.9104391217,1.4106260845
hns__del_hns_spike__2,2.6593477724,0.8732794806
hns__del_hns__1,3.318409585,1.3299774166
hns__del_hns__2,2.0224956675,0.6301759006000001
hns__wt_spike__1,0.060886549000000005,0.632410774
hns__wt_spike__2,1.6746211345000002,-0.3675420447
hns__wt__1,-0.1841987539,0.6290105176
hns__wt__2,0.1841987539,-0.6290105176
hns_stpA__evo100G4_delhns_delstpA__1,8.5048519959,-0.5859899054000001
hns_stpA__evo100G4_delhns_delstpA__2,9.465451526,-0.5802239474
hns_stpA__evo100G12_delhns_delstpA__1,7.5426578813,0.11240517600000001
hns_stpA__evo100G12_delhns_delstpA__2,7.1219620848,-0.4507554928
hns_stpA__delhns_delstpA_delrpoS__1,8.0334877681,-0.18829893120000002
hns_stpA__delhns_delstpA_delrpoS__2,8.7450329352,0.0601500353
hns_stpA__wt__1,0.051808810000000004,0.2265450803
hns_stpA__wt__2,-0.051808810000000004,-0.2265450803
hns_stpA__delhns_delstpA__1,8.9048751222,-0.11506531980000001
hns_stpA__delhns_delstpA__2,8.3674876297,-0.0016225514
hu__wt_log_pH7__1,1.5747280332,-0.7656224684
hu__wt_log_pH7__2,2.3899928468000002,-0.3380607275
hu__wt_log_pH7__3,0.4345267324,-0.3903309736
hu__wt_lag_pH7__1,-0.23570389690000002,-0.0559687429
hu__wt_lag_pH7__2,3.072848229,0.3042749675
hu__wt_lag_pH7__3,-2.8371443322000003,-0.2483062245
hu__delhupA_lag_pH7__1,1.0761398308,0.0746444145
hu__delhupA_lag_pH7__2,4.6078589027,0.3949976072
hu__delhupA_lag_pH7__3,-2.956001156,-0.5212711607
hu__delhupB_lag_pH7__1,-0.22465707340000002,-0.1647323238
hu__delhupB_lag_pH7__2,2.6392179551,0.1502346115
hu__delhupB_lag_pH7__3,-3.1996291602,-0.5384099842
hu__delhupAhupB_lag_pH7__1,1.1090666311,-1.0430272849
hu__delhupAhupB_lag_pH7__2,2.3129993009,-0.6463242796
hu__delhupAhupB_lag_pH7__3,1.9584889787000002,-0.7223084464
hu__hupAE34K_hupB_lag_pH7__1,-2.1266598792,-0.1980701981
hu__hupAE34K_hupB_lag_pH7__2,2.3562222308000003,1.0262362784
hu__hupAE34K_hupB_lag_pH7__3,-2.3937208074000003,-0.39014689950000003
hu__hupAE34K_delhupB_lag_pH7__1,-0.7156295783000001,-0.1079998649
hu__hupAE34K_delhupB_lag_pH7__2,1.9102246078,0.5950991139
hu__hupAE34K_delhupB_lag_pH7__3,-2.4183445531,-0.28378009600000004
hu__wt_lag_pH5__1,0.2671456841,0.5475292912
hu__wt_lag_pH5__2,1.5161373176000001,1.3410247636000001
hu__wt_lag_pH5__3,4.0499263388,0.1678389085
hu__delhupA_lag_pH5__1,3.2970574265,0.5956038147
hu__delhupA_lag_pH5__2,1.7782230373,0.9661240315
hu__delhupA_lag_pH5__3,3.9334220393,0.1958986423
hu__delhupAhupB_lag_pH5__1,5.6375358755,0.3012971573
hu__delhupAhupB_lag_pH5__2,3.8348377105,0.35864704070000003
hu__delhupAhupB_lag_pH5__3,7.4341363247,-0.44378663490000003
hu__hupAE34K_hupB_lag_pH5__1,0.4029964239,0.2821818779
hu__hupAE34K_hupB_lag_pH5__2,2.4160396728,0.0383959609
hu__hupAE34K_hupB_lag_pH5__3,3.9164490351000003,0.2175541571
hu__hupAE34K_delhupB_lag_pH5__1,2.7289124685,-0.0734225203
hu__hupAE34K_delhupB_lag_pH5__2,0.0898391877,1.2109638226000001
hu__hupAE34K_delhupB_lag_pH5__3,3.1240678841,0.0941857817
hyperpersistence__low_GFP__1,15.3111187578,2.4448117972
hyperpersistence__wt__1,-0.015248364300000001,-0.2174806995
hyperpersistence__high_GFP__1,18.5386143316,2.9900400388
hyperpersistence__pth_mut__1,3.3783866458,-0.042856271200000004
hyperpersistence__pth_mut__2,4.7255586304,0.5842593708
hyperpersistence__metG_mut__1,11.9064309369,0.9952038595
hyperpersistence__metG_mut__2,9.7610922526,0.5849952472000001
hyperpersistence__high_GFP__2,18.3656940481,3.0493063027
hyperpersistence__wt__2,0.015248364300000001,0.2174806995
hyperpersistence__low_GFP__2,18.0042561153,2.8691642916999998
kan_efg__cpxAF218Y__1,-0.12372863440000001,0.057063901800000004
kan_efg__cpxAF218Y__2,-0.4556503718,0.1550906832
kan_efg__cyaAN600Y__1,-2.6728232325,0.6986404386
kan_efg__cyaAN600Y__2,-0.7457359948000001,0.7714861285
kan_efg__fusAA608E__1,2.6500361809,0.45157342310000004
kan_efg__fusAA608E__2,1.5335809295,0.7081219383
kan_efg__fusAA608E_cpxAF218Y__1,-0.7544611804,0.13905494640000002
kan_efg__fusAA608E_cpxAF218Y__2,-1.2438485405,0.4032174155
kan_efg__fusAA608E_cyaAN600Y__1,0.1293846164,0.6389665314
kan_efg__fusAA608E_cyaAN600Y__2,0.5417882079,0.3721274209
kan_efg__fusAA608E_rpoDL261Q__1,-0.30752185460000003,0.42187859650000004
kan_efg__fusAA608E_rpoDL261Q__2,3.1463482326,0.6974552460000001
kan_efg__fusAA608E_topAS180L__1,7.8087067393,0.1762805363
kan_efg__fusAA608E_topAS180L__2,7.3845840418,0.578256477
kan_efg__rpoDL261Q__1,0.7996264649,0.4742731794
kan_efg__rpoDL261Q__2,-0.2003705571,0.6422532297
kan_efg__wt__1,-0.1945186644,-0.19494208030000001
kan_efg__wt__2,0.1945186644,0.19494208030000001
lrp__wt_min_log__1,-0.3981614705,-0.0335940356
lrp__wt_min_log__2,0.3981614705,0.0335940356
lrp__wt_min_trans__1,-0.0187849015,-0.1016628349
lrp__wt_min_trans__2,-0.9362866360000001,0.0212009501
lrp__wt_min_stat__1,9.4900485049,-0.1562551244
lrp__wt_min_stat__2,8.2113898799,-0.4152922372
lrp__wt_liv_log__1,-0.5871028594000001,0.34557505450000003
lrp__wt_liv_log__2,-1.0489771543,0.2022798092
lrp__wt_liv_trans__1,-5.2266891816,-0.8386275083
lrp__wt_liv_trans__2,-6.17064399,-0.8825293814
lrp__wt_liv_stat__1,9.5851670311,-0.6200878645
lrp__wt_liv_stat__2,8.0771934316,-0.5388291173
lrp__wt_rich_log__1,-3.2585525848,-1.4915475601
lrp__wt_rich_log__2,-3.3566236445,-1.367433209
lrp__wt_rich_trans__1,0.3022871615,-0.9666864548
lrp__wt_rich_trans__2,-2.4691465886,-1.2474023107
lrp__wt_rich_stat__1,3.536437879,-0.6524500872
lrp__wt_rich_stat__2,6.9282376848,0.440265556
lrp__dellrp_min_log__1,-0.6620369994,0.4287841597
lrp__dellrp_min_log__2,-2.0871277302,0.3262523308
lrp__dellrp_min_trans__1,-3.7934387093,0.047905257400000005
lrp__dellrp_min_trans__2,-1.2133665691,0.1918162417
lrp__dellrp_min_stat__1,8.4579595701,-0.6566522134
lrp__dellrp_min_stat__2,7.8280113524,-0.5499188782000001
lrp__dellrp_liv_log__1,2.5978209116,0.42167053860000003
lrp__dellrp_liv_log__2,1.600698977,-0.09296854900000001
lrp__dellrp_liv_trans__1,-4.7540561433,-0.5791309609
lrp__dellrp_liv_trans__2,-5.1185678522,-0.5232040639000001
lrp__dellrp_liv_stat__1,10.8081680441,-0.20986897770000001
lrp__dellrp_liv_stat__2,9.7363344403,-0.2898481719
lrp__dellrp_rich_log__1,-2.7003507707,-1.0493577807
lrp__dellrp_rich_log__2,-2.2998373879000003,-1.1634131748
lrp__dellrp_rich_trans__1,-2.2040377401,-1.1988112007
lrp__dellrp_rich_trans__2,-1.7472897575,-0.8969417061
lrp__dellrp_rich_stat__1,8.8091104889,1.5025885629
lrp__dellrp_rich_stat__2,8.7730393523,1.2432277361
mazF_circuit__t0__1,0.6377755997,0.0769043708
mazF_circuit__t2__1,-2.3980604282,-0.9324175130000001
mazF_circuit__t4__1,-0.2328384067,-0.5465875853000001
mazF_circuit__t6__1,-1.0728411928,0.032780612300000005
mazF_circuit__t8__1,-0.07666039350000001,0.34817662390000004
mazF_circuit__t0__2,-0.6377755997,-0.0769043708
mazF_circuit__t2__2,-3.6526601916,-0.1329136482
mazF_circuit__t4__2,-1.5752615201,-0.1118334311
mazF_circuit__t6__2,1.1174594999,-0.5655993057
mazF_circuit__t8__2,0.0908621159,0.6619019762
mazF_ribo__emptyvec_mrna_5m__1,-0.04245814,0.022043907800000002
mazF_ribo__emptyvec_mrna_5m__2,0.04245814,-0.022043907800000002
mazF_ribo__mazF_mrna_5m__1,3.5576379125,0.8607167853000001
mazF_ribo__mazF_mrna_5m__2,4.019204675,0.6901921457
mazF_ribo__emptyvec_total_5m__1,-0.2971526639,-2.1863371735
mazF_ribo__emptyvec_total_5m__2,3.1555119352,-1.9996508073
mazF_ribo__mazF_total_60m__1,3.8001786205,-0.8344583812
mazF_ribo__mazF_total_60m__2,4.3660012644,-0.4026781927
mercury__ctrl_t00__1,-0.5787152674,-0.1621635833
mercury__ctrl_t10__1,-1.4293455906,-0.19362432170000002
mercury__ctrl_t30__1,-1.7583361338999999,0.11374264320000001
mercury__ctrl_t60__1,-1.032559599,0.1101225552
mercury__hg_t10__1,1.7399560707,-0.1778312507
mercury__hg_t30__1,1.0650386844,0.7729746559
mercury__hg_t60__1,4.5011636747,1.6333413008000002
mercury__pma_t10__1,4.3582180806,0.5349782716
mercury__pma_t30__1,7.6887885396,1.2601836788
mercury__pma_t60__1,-0.3815655714,0.2642677525
mercury__ctrl_t00__2,0.2924448625,0.1514487448
mercury__ctrl_t10__2,-1.2247970143,-0.163226175
mercury__ctrl_t30__2,-1.8016080145000002,-0.0583946614
mercury__ctrl_t60__2,-1.9644787767,0.0488237593
mercury__hg_t10__2,1.2957593335,-0.06931028
mercury__hg_t30__2,1.709778725,0.9233815363000001
mercury__hg_t60__2,1.8394590854000001,0.5171709078
mercury__pma_t10__2,4.3643039096,0.5298028293
mercury__pma_t30__2,7.633229839,1.0962050108999999
mercury__pma_t60__2,0.0267713659,-0.0431879598
mercury__ctrl_t00__3,0.286270405,0.0107148385
mercury__ctrl_t10__3,-1.2294100092,-0.2120114979
mercury__ctrl_t30__3,-0.2739351023,0.3350534222
mercury__ctrl_t60__3,-1.2303943682,0.1301009624
mercury__hg_t10__3,3.3572970741,-0.43734214390000004
mercury__hg_t30__3,1.0870205602,0.6570662441
mercury__hg_t60__3,4.5420186427,1.1954308185
mercury__pma_t10__3,3.597131006,0.6225534312000001
mercury__pma_t30__3,7.5825345194,1.4765510406
mercury__pma_t60__3,0.0036126469,0.3080899454
ml_abx__az_lolcde__1,-0.2866253885,0.6325595769
ml_abx__az_lolcde__2,-0.49276361,0.3147194311
ml_abx__az_lolcde__3,0.6165844308,0.3621157417
ml_abx__b01__1,1.3494762265,-0.0914833595
ml_abx__b01__2,1.0735451981,0.0128911745
ml_abx__b01__3,0.48510558140000004,0.0920084286
ml_abx__cro__1,0.3476435006,0.3343256262
ml_abx__cro__2,0.2635484741,0.2263979391
ml_abx__cro__3,0.4166423463,-0.004652159800000001
ml_abx__chl__1,1.5485560344,-0.030334003600000003
ml_abx__chl__2,0.9779914181,0.0286072468
ml_abx__chl__3,2.3042480572,0.31830957390000003
ml_abx__cip__1,0.5404651521,-0.09764647480000001
ml_abx__cip__2,-0.0084654906,-0.4682571968
ml_abx__cip__3,0.6575909313,-0.7669583628000001
ml_abx__clr__1,4.9270846236,1.5281123307
ml_abx__clr__2,2.4848969009,0.9374200759
ml_abx__clr__3,2.0064858437,0.8977290659
ml_abx__cst__1,0.8639279655000001,0.5203536854
ml_abx__cst__2,-0.8915656842,0.16801653290000002
ml_abx__cst__3,-0.3236369952,0.3247310218
ml_abx__ctrl__1,-0.027117583,0.1443536303
ml_abx__ctrl__2,0.09420397850000001,0.1173058211
ml_abx__ctrl__3,0.8006527210000001,0.19604363390000001
ml_abx__ctrl__4,-0.2945798454,0.0779503166
ml_abx__ctrl__5,-0.6106540257,-0.0509623983
ml_abx__ctrl__6,0.0374947546,-0.4846910036
ml_abx__dox__1,3.2779638175,0.5529652462
ml_abx__dox__2,1.8632412062,0.1246361475
