,A,GntR
tcs__del_btsR_lb__2,10.9726272949,-0.066260813
tcs__del_btsR_pyruvate__1,2.159202753,-0.463472182
tcs__del_btsR_pyruvate__2,1.9127493902000001,-0.385639288
tcs__del_cpxR_etoh__1,9.8070266398,-0.8311870720000001
tcs__del_cpxR_etoh__2,9.6679912802,-0.9044550450000001
tcs__del_cpxR_lb__1,5.5553469872,-0.296370008
tcs__del_cpxR_lb__2,5.3494726855,-0.330185656
tcs__del_cusR_CuSO4__1,4.4157128778,-0.605762266
tcs__del_cusR_CuSO4__2,4.3029771016,-0.339329616
tcs__del_cusR_lb__1,11.0506944698,-0.464565887
tcs__del_cusR_lb__2,10.7338803599,-0.514475225
tcs__del_kdpE_01-kcl__1,-0.3661286446,-0.721855974
tcs__del_kdpE_01-kcl__2,-0.3410357591,-0.920328872
tcs__del_kdpE_115-kcl__1,-0.8473598032,-0.73915475
tcs__del_kdpE_115-kcl__2,-0.9111383368,-0.5843482
tcs__del_phoB_m9__1,0.7627911603,-0.46604725500000005
tcs__del_phoB_m9__2,0.6198183628,-0.459370912
tcs__del_phoB_m9p__1,2.6479155427,-1.83453186
tcs__del_phoB_m9p__2,2.6099174546,-1.706447775
tcs__del_rcsB_etoh__1,8.1838504542,-0.74790271
tcs__del_rcsB_etoh__2,7.9036032237,-0.859805652
tcs__del_rcsB_lb__1,5.9310560379,-0.47900471800000005
tcs__del_rcsB_lb__2,6.1030754229,-0.39943422
tcs__del_zraR_lb__1,7.8296128349,-0.858431174
tcs__del_zraR_lb__2,8.2428803751,-0.7671570240000001
tcs__del_zraR_zncl2__1,7.742712814,-0.494733709
tcs__del_zraR_zncl2__2,7.5949197008,-0.429592572
tcs__wt_01-kcl__1,0.1213954503,-0.39978116700000005
tcs__wt_01-kcl__2,-0.0508751784,-0.47400638800000006
tcs__wt_01xlb__1,2.7904564355,-0.42723648900000005
tcs__wt_01xlb__2,2.5170247314000003,-0.5792785690000001
tcs__wt_115-kcl__1,-0.7544332334,-0.6000546830000001
tcs__wt_115-kcl__2,-1.5911525016999999,-0.719228382
tcs__wt_CuSO4__1,8.9854927439,-0.6923611540000001
tcs__wt_CuSO4__2,9.1637110637,-0.6405000230000001
tcs__wt_etoh__1,8.2920774924,-0.910725341
tcs__wt_etoh__2,8.2275873946,-0.780264672
tcs__wt_lb__1,4.000584986,-0.661199292
tcs__wt_lb__2,4.5949065697,-0.677765108
tcs__wt_LiAcet__1,0.4185411801,-0.6178517640000001
tcs__wt_LiAcet__2,0.5348008036,-0.644149017
tcs__wt_LiCl__1,1.0439320837,-0.648441656
tcs__wt_LiCl__2,0.7746082493,-0.6860690070000001
tcs__wt_m9p__1,2.6748858962,-1.6906944460000002
tcs__wt_m9p__2,2.7513520402,-1.500424003
tcs__wt_pyr__1,2.5145998513,-0.49272658900000005
tcs__wt_pyr__2,2.8933915393,-0.342044173
tcs__wt_zncl2__1,8.3741253395,-1.136558478
tcs__wt_zncl2__2,8.323968004,-0.870421003
ros_tale__0_0_0pq__1,0.35678878270000003,-0.782185326
ros_tale__0_0_0pq__2,-0.030866123000000002,-0.7870663160000001
ros_tale__0_0_250pq__1,-0.1070519286,0.035968497
ros_tale__0_0_250pq__2,0.3070279294,0.031617569000000005
ros_tale__1_mid_250pq__1,0.5383882185000001,-0.9526444030000001
ros_tale__1_mid_250pq__2,0.3640761601,-0.942946885
ros_tale__1_0_0pq__1,-0.3598653334,-0.49155152500000004
ros_tale__1_0_0pq__2,-0.17163113500000002,-0.464707853
ros_tale__1_0_0pq__3,-0.3473342123,-0.650329264
ros_tale__1_0_0pq__4,-0.3982189525,-0.646773719
ros_tale__1_0_250pq__1,-0.8793952728000001,-0.8597398150000001
ros_tale__1_0_250pq__2,-0.6647487751000001,-0.603526793
ros_tale__1_0_750pq__1,-0.41083285890000004,-1.038227185
ros_tale__1_0_750pq__2,0.0681186837,-0.774116943
ros_tale__1_1_0pq__1,-0.9235689694,-0.304926061
ros_tale__1_1_0pq__2,-1.1967735813,-0.259752926
ros_tale__1_1_250pq__1,-0.7825898082,-0.5721202510000001
ros_tale__1_1_250pq__2,-1.2715552328,-0.685889635
ros_tale__1_1_750pq__1,-1.0877673768,-0.475700569
ros_tale__1_1_750pq__2,-1.3228796019,-0.471528092
ros_tale__1_2_0pq__1,0.295038485,-1.098460443
ros_tale__1_2_0pq__2,-0.3272760131,-1.152687984
ros_tale__1_2_250pq__1,0.1792809024,-0.737102692
ros_tale__1_2_250pq__2,0.3079350829,-0.857712043
ros_tale__1_2_750pq__1,0.3900892098,-0.658476747
ros_tale__1_2_750pq__2,0.1350157036,-0.702930004
ros_tale__1_3_0pq__1,0.8363931701,-1.245719866
ros_tale__1_3_0pq__2,0.813731359,-1.30772483
ros_tale__1_3_250pq__1,0.6082511132,-0.906441585
ros_tale__1_3_250pq__2,1.3420442546,-0.78622818
ros_tale__1_3_250pq__3,1.1795456091,-0.405722434
ros_tale__1_3_250pq__4,0.2370277231,-0.17646302800000002
ros_tale__1_3_750pq__1,1.289642786,-0.687184001
ros_tale__1_3_750pq__2,0.2524826845,-0.9255738630000001
ros_tale__1_4_0pq__1,-0.39264169,-1.202894069
ros_tale__1_4_0pq__2,-0.2829875888,-0.9813560250000001
ros_tale__1_4_250pq__1,0.8339544079000001,-0.8341469450000001
ros_tale__1_4_250pq__2,0.8054067141,-0.8607860820000001
ros_tale__1_4_750pq__1,1.0429789665,-1.117824451
ros_tale__1_4_750pq__2,0.662040489,-0.9456648540000001
ros_tale__1_4_750pq__3,0.3189882211,-0.8266609180000001
ros_tale__1_4_750pq__4,1.2719379785,-0.9806350500000001
ros_tale__2_mid_250pq__1,0.0483011615,-0.749112777
ros_tale__2_mid_250pq__2,0.7516092144000001,-0.8674561900000001
ros_tale__2_0_0pq__1,0.076356564,-0.345315009
ros_tale__2_0_0pq__2,0.19256294070000002,-0.41443528300000004
ros_tale__2_0_0pq__3,-0.0242068717,-0.861405159
ros_tale__2_0_0pq__4,1.0652074017,-0.90822617
ros_tale__2_0_250pq__1,0.0627144475,-0.8063605140000001
ros_tale__2_0_250pq__2,0.023255067600000002,-0.896813878
ros_tale__2_0_750pq__1,0.7091147078000001,0.0039568780000000005
ros_tale__2_0_750pq__2,0.9107266343,0.17427072500000002
ros_tale__2_1_0pq__1,0.1827136959,-0.611937089
ros_tale__2_1_0pq__2,0.33880672900000003,-0.44183378900000003
ros_tale__2_1_250pq__1,0.46087504100000004,-0.127331458
ros_tale__2_1_250pq__2,0.015871787800000002,-0.18393604300000002
ros_tale__2_1_750pq__1,0.5503287592,-0.29498657
ros_tale__2_1_750pq__2,0.0375917255,-0.276518282
ros_tale__2_1_750pq__3,-0.12054705510000001,-0.398495955
ros_tale__2_2_0pq__1,0.522320448,-0.6335096
ros_tale__2_2_0pq__2,0.4528932075,-0.33078865100000004
ros_tale__2_2_250pq__1,0.9764358,-0.585165932
ros_tale__2_2_250pq__2,0.8671124286,-0.259715517
ros_tale__2_2_750pq__1,0.7837619918000001,-0.250919492
ros_tale__2_2_750pq__2,-0.0355975111,-0.39965632700000003
ros_tale__2_3_0pq__1,1.239071848,0.32134760300000004
ros_tale__2_3_0pq__2,1.4163267687,-0.054923951000000006
ros_tale__2_3_250pq__1,1.5031662618000001,-0.07665440300000001
ros_tale__2_3_250pq__2,0.8169577149,0.058729803000000004
ros_tale__2_3_750pq__1,1.4934387451,0.079876903
ros_tale__2_3_750pq__2,1.3361168771,-0.133306706
ros_tale__3_0_0pq__1,0.5195576669,-0.836230235
ros_tale__3_0_0pq__2,0.5888536853,-0.7584484530000001
ros_tale__3_0_250pq__1,3.1772029817,-0.824452736
ros_tale__3_0_250pq__2,1.6955426168,-0.595660167
ros_tale__3_0_750pq__1,2.2778643218,-0.012655297000000001
ros_tale__3_0_750pq__2,2.4431207301,0.149592207
ros_tale__3_1_0pq__1,0.2353737609,-1.166193929
ros_tale__3_1_0pq__2,0.4896515228,-1.131273198
ros_tale__3_1_250pq__1,0.6332855916,-1.025562325
ros_tale__3_1_250pq__2,1.2392106617,-1.27102897
ros_tale__3_1_750pq__1,0.39453946160000003,-0.925454718
ros_tale__3_1_750pq__2,0.9499576483000001,-1.140214503
ros_tale__3_2_0pq__1,2.8101719819,-1.208810716
ros_tale__3_2_0pq__2,3.1545530487,-1.141209093
ros_tale__3_2_0pq__3,2.7225122606000003,-0.978122997
ros_tale__3_2_0pq__4,2.7333229596,-1.015790424
ros_tale__3_2_250pq__1,0.053621425300000004,-1.436505111
ros_tale__3_2_250pq__2,0.7440652771,-1.564617244
ros_tale__3_2_750pq__1,1.8815257757000001,-1.159078268
ros_tale__3_2_750pq__2,0.0829962813,-1.8589521160000002
ros_tale__3_3_0pq__1,2.8595116482,-0.534779827
ros_tale__3_3_0pq__2,3.4740656772,-0.354559481
ros_tale__3_3_0pq__3,2.6325887647,-0.43653111600000005
ros_tale__3_3_0pq__4,3.5817127039,-0.30199964100000004
ros_tale__3_3_250pq__1,1.1632386085,-1.140300299
ros_tale__3_3_250pq__2,1.209175935,-1.139845597
ros_tale__3_3_750pq__1,1.261940105,-1.172154352
ros_tale__3_3_750pq__2,1.4448091093,-1.196739647
ros_tale__3_4_0pq__1,0.6448303521000001,-1.079005065
ros_tale__3_4_0pq__2,1.7202600214000001,-1.043969715
ros_tale__3_4_250pq__1,0.15620801580000002,-0.7514471180000001
ros_tale__3_4_250pq__2,0.8891702450000001,-0.49639631700000003
ros_tale__3_4_750pq__1,1.2167735001,-1.324070777
ros_tale__3_4_750pq__2,0.6203599507,-1.123692377
pcoli__atASMT_325G__1,2.0577371512,-0.276912256
pcoli__atASMT_325G__2,1.6548396325999999,-0.317300582
pcoli__bpTDC__1,2.89124617,-0.337852523
pcoli__bpTDC__2,3.4454125186,-0.36215238400000005
pcoli__BRCA__1,1.6606166051,-0.43827900700000005
pcoli__BRCA__2,1.704138881,-0.455212875
pcoli__BRCActrl__1,4.5191587944,0.273221353
pcoli__BRCActrl__2,5.627605771,0.264458439
pcoli__BRCAswap__1,1.7112694143,-0.42272637300000004
pcoli__BRCAswap__2,1.8639030187,-0.331649682
pcoli__btAANAT__1,1.8483039411000002,-0.321070733
pcoli__btAANAT__2,2.3252441517999998,-0.397293746
pcoli__btASMT__1,1.6450927851000001,-0.483999302
pcoli__btASMT__2,1.8592641494,-0.457048006
pcoli__CC1__1,1.9493725195,-0.223213042
pcoli__CC1__2,1.893262819,-0.052248228
pcoli__ccCOMT__1,1.5562227999,-0.349279595
pcoli__ccCOMT__2,1.7818292063,-0.26425505800000004
pcoli__ckDDC__1,2.9980633096,-0.14649926700000002
pcoli__ckDDC__2,3.8521361451000002,0.08911793500000001
pcoli__CNTF_belt__1,1.5242335438999999,-0.16004331500000002
pcoli__CNTF_belt__2,1.7853915201000001,-0.205765533
pcoli__cobPNMT__1,1.7118316333,-0.183087837
pcoli__cobPNMT__2,1.6069289136,-0.274709966
pcoli__cvPhhB__1,1.6850436623,-0.25894474500000003
pcoli__cvPhhB__2,1.9756287554,-0.250852097
pcoli__ggAANAT__1,1.7022923388,-0.300488099
pcoli__ggAANAT__2,1.8631600638,-0.401204171
pcoli__ggTPH__1,1.5206577052,-0.36204822400000003
pcoli__ggTPH__2,2.1938762283,-0.39709269500000005
pcoli__hsAANAT__1,1.9428779513,0.20439805600000002
pcoli__hsAANAT__2,1.648176037,0.11099416200000001
pcoli__hsASMT__1,2.3738073287,-0.477991133
pcoli__hsASMT__2,2.8389670094,-0.40478927000000003
pcoli__hsPNMT_mb__1,1.3956712508,-0.312224123
pcoli__hsPNMT_mb__2,1.3589265419,-0.305407745
pcoli__hsTPH__1,1.3725656765,-0.434266568
pcoli__hsTPH__2,2.0341476409,-0.32968072400000004
pcoli__hsTPH_E2K__1,3.2253846381,-0.028765996000000002
pcoli__hsTPH_E2K__2,3.5819925061999998,0.174927878
pcoli__hsTPH_E2K_N91I_P99C__1,1.4656183956,-0.362061479
pcoli__hsTPH_E2K_N91I_P99C__2,1.5703427401,-0.5237443580000001
pcoli__hsTPH_N158trunc__1,3.4418269028,-0.013522065000000002
pcoli__hsTPH_N158trunc__2,3.3917699077,0.066747637
pcoli__hsTPH_N174trunc__1,1.8715176976999999,-0.332527628
pcoli__hsTPH_N174trunc__2,3.7328967799,0.113303445
pcoli__hsTPH_Ntermtrunc__1,3.6399814283,0.5713400980000001
pcoli__hsTPH_Ntermtrunc__2,1.8509265681,-0.24273812
pcoli__hsTPH1__1,2.108984377,-0.228391314
pcoli__hsTPH1__2,1.8480100366,-0.30088246
pcoli__MBP__1,1.7958670435,-0.591449381
pcoli__MBP__2,2.4788898775,-0.065072482
pcoli__msCOMT__1,1.3007913708,-0.5139927360000001
pcoli__msCOMT__2,1.1752264092,-0.365745015
pcoli__ocAANAT__1,1.5986958209000002,-0.378759807
pcoli__ocAANAT__2,1.8077694936,-0.40642878400000004
pcoli__osTDC_K374H__1,1.0405272869,-0.062380926
pcoli__osTDC_K374H__2,1.4127473853999999,-0.137371119
pcoli__osTDC_K374L__1,1.4142440483,-0.33668425500000004
pcoli__osTDC_K374L__2,1.7723086809000002,-0.359685527
pcoli__osTDC_K374Q__1,2.0909435544,-0.412839746
pcoli__osTDC_K374Q__2,2.0019425475,-0.24180830700000003
pcoli__osTDC_L360V__1,2.1620826106,-0.37606772800000005
pcoli__osTDC_L360V__2,3.0427054799,-0.257732073
pcoli__pmTPH__1,1.4355066132,-0.30069115
pcoli__pmTPH__2,1.9057377451000002,-0.169727127
pcoli__RFC__1,1.2638437308000001,-0.329698301
pcoli__RFC__2,1.2040843485,-0.322886453
pcoli__RFCctrl__1,1.6365965874000001,-0.043481911000000005
pcoli__RFCctrl__2,1.4640536796,-0.11264162800000001
pcoli__RFCnopause__1,1.7304311195,0.087056929
pcoli__RFCnopause__2,2.1103354972,0.15260571
pcoli__RFCpluspause__1,2.6606773548,0.271176649
pcoli__RFCpluspause__2,3.3377863351,0.251812315
pcoli__rnCOMT_sol__1,2.1535707819,-0.025333978
pcoli__rnCOMT_sol__2,2.1117261881,-0.148361563
pcoli__rnPNMT__1,1.9270571072,-0.37081961300000005
pcoli__rnPNMT__2,2.4844524198,-0.11105880200000001
pcoli__rnTDC__1,1.7890943793,-0.38656935200000003
pcoli__rnTDC__2,2.0264563961,-0.37045912400000003
pcoli__rnTDC_trunc__1,1.8038159106,-0.041776337000000004
pcoli__rnTDC_trunc__2,1.7915857169,0.07353819
pcoli__saCOMT_T2A__1,1.3736229425,-0.284024247
pcoli__saCOMT_T2A__2,1.5099676509000002,-0.22136977400000002
pcoli__sfCOMT__1,1.6062839443999999,-0.432428246
pcoli__sfCOMT__2,1.6414383627,-0.565317575
pcoli__sgAANAT_D63G__1,1.8134139593,-0.35100224700000004
pcoli__sgAANAT_D63G__2,1.4446402804,-0.378927925
pcoli__ssDDC__1,1.875719949,-0.47557400800000005
pcoli__ssDDC__2,2.5096115064999998,-0.349056462
pcoli__TP53B__1,1.8709590298,-0.24227086800000003
pcoli__TP53B__2,2.0748557791,-0.23053561800000003
pcoli__WT__1,2.8693065402,0.675310364
pcoli__WT__2,2.8437131774,0.73208768
cck__glu_ale4__1,-0.1306398187,-0.668684892
cck__glu_ale4__2,-0.1631623847,-0.932166157
cck__cck_ale1__1,-0.1848288808,-0.9949434410000001
cck__cck_ale1__2,-0.1715801015,-1.044432297
cck__cck_ale2__1,0.1986622867,-0.9802874030000001
cck__cck_ale2__2,-0.1293878013,-0.9823945270000001
cck_pgi__gmos_delpgi__1,1.6641261087,-0.40403653300000003
cck_pgi__gmos_delpgi__2,2.8030546455,-0.537235899
cck_pgi__pgi_ale1__1,2.1394516919,-0.407450376
cck_pgi__pgi_ale1__2,1.8361542547,-0.669600119
cck_pgi__pgi_ale2__2,2.2808905397,-0.5427889810000001
cck_pgi__pgi_ale3__1,2.2621347904,-0.343560115
cck_pgi__pgi_ale3__2,2.0799396576,-0.644972096
cck_pgi__pgi_ale4__1,0.6351625309000001,-0.9376226710000001
cck_pgi__pgi_ale4__2,0.478192292,-1.464633818
cck_pgi__pgi_ale4__3,0.5439942109,-1.217569823
cck_pgi__pgi_ale5__1,2.4844162102,-0.46388036800000004
cck_pgi__pgi_ale5__2,2.2630645019,-0.7808556010000001
cck_pgi__pgi_ale6__1,1.4675715524,-0.484802074
cck_pgi__pgi_ale6__2,1.6794609341000002,-0.763490753
cck_pgi__pgi_ale7__1,0.4371256932,-0.632665594
cck_pgi__pgi_ale7__2,0.40820863430000004,-0.8631954150000001
cck_pgi__pgi_ale8__1,1.4009843499999999,-0.477803048
cck_pgi__pgi_ale8__2,0.6612593494,-0.85329337
cck_sdh__gmos_delsdhCB__1,1.446719817,-0.11934301600000001
cck_sdh__gmos_delsdhCB__2,0.2021745865,-0.13974128600000002
cck_sdh__sdh_ale1__1,-0.42348172430000003,-0.636375745
cck_sdh__sdh_ale1__2,-0.1429954324,-0.8448725410000001
cck_sdh__sdh_ale2__1,-0.17266512550000002,-0.77793331
cck_sdh__sdh_ale3__2,-0.0239815367,-0.672229772
cck_sdh__sdh_ale3__1,0.285898527,-0.6734078010000001
cck_sdh__sdh_ale3__3,-0.433181527,-0.920240331
cck_pts__gmos_delptsHIcrr__2,0.99466319,-0.577445642
cck_pts__gmos_delptsHIcrr__1,0.8955736809,-0.5525098580000001
cck_pts__pts_ale1__2,-0.7177199886000001,-0.6377159880000001
cck_pts__pts_ale1__1,-0.22997923420000002,-0.606778699
cck_pts__pts_ale2__2,-0.6642598818000001,-1.068103135
cck_pts__pts_ale2__1,-0.2517142409,-1.177798597
cck_pts__pts_ale3__2,1.1988828015,-1.1182978160000001
cck_pts__pts_ale3__1,0.9845871135,-0.8354421620000001
cck_pts__pts_ale4__2,-0.09176836890000001,-0.927777481
cck_pts__pts_ale4__1,0.21307018960000002,-0.9951893140000001
cck_gnd__gmos_delgnd__1,0.8598724954,-0.517877412
cck_gnd__gmos_delgnd__2,0.3279017736,-0.29788194500000004
cck_gnd__gnd_ale1__1,1.0794842666,-0.897234701
cck_gnd__gnd_ale1__2,0.8930062607,-1.038555332
cck_gnd__gnd_ale2__1,3.3333636606,-1.468139957
cck_gnd__gnd_ale2__2,3.3403611506,-1.340610748
cck_gnd__gnd_ale3__1,-0.24654875880000002,-1.006222695
cck_gnd__gnd_ale3__2,0.08945058260000001,-1.06503251
cck_tpiA__gmos_deltpiA__1,1.8184902986,-0.592720161
cck_tpiA__gmos_deltpiA__2,2.9964123076,-0.864454041
cck_tpiA__tpiA_ale1__1,2.3854065339,-0.435218822
cck_tpiA__tpiA_ale1__2,1.9134092069,-0.275632295
cck_tpiA__tpiA_ale2__1,0.5263835305,-0.458774685
cck_tpiA__tpiA_ale2__2,0.8080335679,-0.7366732450000001
cck_tpiA__tpiA_ale3__1,0.2984302331,-0.436407865
cck_tpiA__tpiA_ale3__2,0.0694813242,-0.5979130220000001
cck_tpiA__tpiA_ale4__1,0.7881925454,-0.5527537210000001
cck_tpiA__tpiA_ale4__2,0.5039586503,-0.534236966
acid_tale__acid_ale1_pH7__1,-0.0461547056,-1.184323256
acid_tale__acid_ale1_pH7__2,0.1896497155,-1.105749567
acid_tale__acid_ale1_pH5__1,1.4089452665,-0.490580966
acid_tale__acid_ale1_pH5__2,1.6158764257,-0.469438703
acid_tale__acid_ale2_pH7__1,0.29026914470000004,-0.9977075420000001
acid_tale__acid_ale2_pH7__2,0.3380812643,-0.953736346
acid_tale__acid_ale2_pH5__1,-0.4464484446,-0.5934339430000001
acid_tale__acid_ale2_pH5__2,0.3107257842,-0.795290122
acid_tale__low_Mg_ale_pH7__1,0.5656663746,-0.9700828760000001
acid_tale__low_Mg_ale_pH7__2,0.8027962884000001,-1.060328192
acid_tale__low_Mg_ale_pH5__1,-0.6891449363000001,-0.6106970230000001
acid_tale__low_Mg_ale_pH5__2,-0.5157395359,-0.653472712
acid_tale__MES_ale_pH7__1,0.11111534740000001,-1.063397026
acid_tale__MES_ale_pH7__2,0.0476684506,-1.121202524
acid_tale__MES_ale_pH5__1,-1.0377765589,-0.737093548
acid_tale__MES_ale_pH5__2,-0.9355863727,-0.332866944
acid_tale__gmos_pH7__1,0.0193054982,-0.9910488650000001
acid_tale__gmos_pH7__2,0.4778094195,-0.88464365
acid_tale__gmos_pH5__1,0.0614725738,-0.739809896
acid_tale__gmos_pH5__2,-0.2533898269,-0.6953984280000001
adnB__wt_adn__1,-1.5124616967,-0.15767968200000002
adnB__wt_adn__2,-1.3059877733,-0.10112117
adnB__delydhB_adn__1,-2.1993385500000002,-0.137427444
adnB__delydhB_adn__2,-1.471882052,-0.293809319
ytf2__wt_glc__1,-0.8448599522,-0.588987758
ytf2__wt_glc__2,-1.0613467118,-0.502665753
ytf2__ybcM_glc__1,0.3471578305,-0.768424042
ytf2__ybcM_glc__2,0.9516875655,-0.37732489700000005
ytf2__ydhB_glc__1,-0.15947586730000002,-0.8901165400000001
ytf2__ydhB_glc__2,-0.2084817116,-0.584664547
ytf2__yfeC_glc__1,0.11127813730000001,-0.6645542999999999
ytf2__yfeC_glc__2,-1.0922790426,-0.753257995
ytf2__yciT_glc__1,-0.6833752531,-0.6358557220000001
ytf2__yciT_glc__2,-0.7474389686,-0.753529408
ytf2__ydiZ_glc__1,-0.8614623377,-0.752048708
ytf2__ydiZ_glc__2,-0.49598403750000003,-0.6797318560000001
ytf2__ynfL_glc__1,-1.1655015525,-0.5261656330000001
ytf2__ynfL_glc__2,-0.7494358841000001,-0.44464781900000006
misc2__dellon_glc__1,-1.1893896362,-0.317665117
misc2__dellon_glc__2,-1.266151087,-0.35619002800000005
ytf3__wt_glc2__1,0.1488280498,-0.606287985
ytf3__wt_glc2__2,0.3074281124,-0.46830355900000004
ytf3__wt_pH7_lactate__1,-0.6792096343,-0.6397099660000001
ytf3__wt_pH7_lactate__2,-0.34967371680000003,-0.5735694960000001
ytf3__wt_pH55_lactate__1,-0.7244686011,-0.43740080600000003
ytf3__wt_pH55_lactate__2,-0.5795766796,-0.46334426
ytf3__wt_pH55_HCl__1,-0.1420589891,-0.36076551900000003
ytf3__wt_pH55_HCl__2,-0.36199896060000003,-0.3472753
ytf3__dyieP_pH7__1,0.1428469745,-0.591469922
ytf3__dyieP_pH7__2,0.017958041100000002,-0.514062696
ytf3__dyieP_pH55__1,-0.4241068485,-0.6930726140000001
ytf3__dyieP_pH55__2,-0.1365920834,-0.617206758
