,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
68,abx_mega__mem_dmso,-0.54070184115,0.5730493971415107,6.0,160.0,-0.9859690735000001,167.0,-0.0910141005,209.0,0.0693692764,220.0,-0.3767046711,242.0,-1.4492447287,302.0,-0.4106477495,,,,,,,,,,,,,,,,,,,,,,,,
69,abx_mega__van_h2o,0.6737939332,0.35344136201842097,5.0,163.0,0.4674130282,232.0,0.9237508675,254.0,0.3137562634,288.0,0.5042210546,296.0,1.1598284523,,,,,,,,,,,,,,,,,,,,,,,,,,
70,abx_mega__dcs_h2o,0.160886901575,0.6969739952296133,4.0,164.0,0.1300520982,230.0,0.6479803528,274.0,-0.8139088331000001,279.0,0.6794239884000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,abx_mega__monac_dmso,0.22412630505000003,1.6008538766751346,4.0,171.0,-1.5672369118,189.0,0.8544478633,250.0,2.1100020852,290.0,-0.5007078165000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,abx_mega__fidax_dmso,-0.256646105525,0.5030164273144886,4.0,175.0,-0.41890040770000003,198.0,-0.0620454114,228.0,0.3163994801,267.0,-0.8620380831000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,abx_mega__h2o-1a,0.0,0.3706234272243445,3.0,176.0,0.4276600401,229.0,-0.22768254270000002,303.0,-0.1999774974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,abx_mega__dmso-9,0.43991006306666675,0.581439927495741,3.0,187.0,0.5610330343000001,190.0,0.9512483140000001,241.0,-0.1925511591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,abx_mega__reta_dmso,1.9340347234,0.9101080586535774,4.0,195.0,3.1935516908,219.0,1.6095656338,235.0,1.04456909,271.0,1.8884524790000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,abx_mega__novo_dmso,2.7618238699,0.41730506869168416,3.0,199.0,2.4134693869,273.0,2.6476777062,298.0,3.2243245166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,abx_mega__h2o-2,0.36107041775000004,0.265372850667791,2.0,277.0,0.54871736,291.0,0.1734234755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,abx_mega__daro,0.7597160690666667,0.1910127650060884,3.0,310.0,0.7919707869,312.0,0.9325479684,313.0,0.5546294519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,abx_mega__solv,0.5681822146,0.6441772337233188,3.0,311.0,1.0265899654,314.0,0.8462859963,315.0,-0.1683293179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,abx_mega__dmso-4,0.032124813700000004,0.2756173848710588,3.0,316.0,-0.2807081782,320.0,0.1378798625,321.0,0.2392027568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,abx_mega__kirr_dmso,8.865976894866668,9.957096662528603,3.0,317.0,3.0259716588,318.0,3.2090028848,319.0,20.362956141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ackA_pta__dnaA46_del_ackA,-0.9051051340666666,0.2948422280250224,3.0,322.0,-1.2412735869,323.0,-0.6903838203,324.0,-0.783657995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ackA_pta__dnaA46_del_pta,-0.9785410020333334,0.26025718753742305,3.0,325.0,-0.7258835095,326.0,-0.9639550675,327.0,-1.2457844291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ackA_pta__dnaA46,-1.1885597244333335,1.0433117477043126,3.0,328.0,-1.8809619241000002,329.0,0.0114175746,330.0,-1.6961348238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ackA_pta__del_ackA,0.4914658031999999,2.7216776207068745,3.0,331.0,3.6329265972,332.0,-1.0021469507,333.0,-1.1563822369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ackA_pta__del_pta,-0.9505969430333333,0.3536736563292749,3.0,334.0,-0.6890941676,335.0,-0.8096917847,336.0,-1.3530048768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ackA_pta__wt,-7.401486830834377e-17,1.969479492776603,3.0,337.0,2.2720286187,338.0,-1.2212430564,339.0,-1.0507855623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,anticancer__5fu,-2.0481121671666664,0.5299514330894964,3.0,340.0,-2.6587812172,341.0,-1.7087041197000001,348.0,-1.7768511646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,anticancer__cap,-1.0373968697666667,0.2432430798686091,3.0,342.0,-0.7936354194,343.0,-1.0384369462,344.0,-1.2801182437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,anticancer__wt,-3.3333326839487164e-11,0.3823347426003786,3.0,345.0,-0.2930191522,346.0,0.43248979870000004,347.0,-0.1394706466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,bio_pln__aero_pln,0.0,0.39963386636713544,2.0,349.0,0.2825838169,350.0,-0.2825838169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,bio_pln__anaero_pln,1.1407134644,0.6889664330223345,2.0,351.0,0.6535406276,352.0,1.6278863012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,biocide__bzcl_12h,2.311906780233333,0.23166596228439257,3.0,353.0,2.4622912733,354.0,2.4283065384,355.0,2.045122529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
