,A,AraC,Crp
biocide__gluald_12h__1,1.0623388346,0.26758692230000003,0.3101981754
biocide__gluald_12h__2,0.627722713,0.27608346310000004,0.16749059400000002
biocide__gluald_12h__3,0.2174480093,0.3967222434,0.2033144985
biocide__h2o2_12h__1,1.0794868758,0.046805601100000004,0.0350800225
biocide__h2o2_12h__2,0.6152793771,0.1435311651,-0.018607714600000002
biocide__h2o2_12h__3,1.21650858,0.8904209765000001,0.0177745832
biocide__2ppoh_12h__1,-0.623433639,0.278460753,0.1296212176
biocide__2ppoh_12h__2,-0.1371646249,0.442201705,0.0410003929
biocide__2ppoh_12h__3,-0.7851115552,0.6199729908,0.1329939336
biocide__paa_12h__1,1.1458995282,0.2733162924,-0.0046637408
biocide__paa_12h__2,1.4672268445,0.42547594390000004,-0.0345939636
biocide__paa_12h__3,1.0649381063,0.19456766720000002,-0.0639964626
biocide__phe_12h__1,-0.290096354,0.3016859783,0.2637505564
biocide__phe_12h__2,0.3966149444,0.444953721,0.1366857256
biocide__phe_12h__3,0.5334617948,0.4102414351,0.12908140170000001
biocide__pvp-i_12h__1,1.3796258656,0.2075916837,-0.0130459532
biocide__pvp-i_12h__2,0.835113528,0.6734386157000001,-0.051017588700000005
biocide__pvp-i_12h__3,0.682814993,0.1331036089,-0.0771750924
biocide__bleach_12h__1,0.6410897853,0.5828093146000001,0.0070308263
biocide__bleach_12h__2,0.6344782787000001,0.717242363,-0.0562055273
biocide__bleach_12h__3,0.3027640665,0.7513932019,-0.019864096300000002
biocide__chx_12h__1,0.0792006952,0.6742061578,0.1456210242
biocide__chx_12h__2,-0.1085809026,0.6106409236,0.0296414633
biocide__chx_12h__3,0.2728831029,0.4495916614,0.1012229557
biocide__bzcl_30m__1,0.40032880060000003,0.0930473614,0.0599384649
biocide__bzcl_30m__2,0.19114585950000001,-0.0451378327,0.1659899168
biocide__bzcl_30m__3,0.5171276064,-0.026141522900000002,0.13117654180000002
biocide__phe_30m__1,0.8520480733,-0.2056280046,-0.45115989980000004
biocide__phe_30m__2,1.0366011933000001,-0.0595100058,-0.042227577700000005
biocide__phe_30m__3,0.3605194628,-0.2328106598,-0.3036384238
biocide__pvp-i_30m__1,0.6098147531,-0.1459993155,0.0831416516
biocide__pvp-i_30m__2,0.19540041800000002,0.21891775500000002,0.1639234027
biocide__pvp-i_30m__3,0.519973064,-0.4034308122,-0.0031211273
biocide__ctrl_12h__1,0.4621580732,0.0093412411,-0.0810982225
biocide__ctrl_12h__2,1.3733724353,-0.2714836717,-0.1099524013
biocide__ctrl_12h__3,0.6582998975000001,0.0388260282,0.0403956206
biocide__ctrl_30m__1,-0.0397293081,0.047232855000000004,0.2016413779
biocide__ctrl_30m__2,-0.0495174863,-0.17861744740000002,-0.2203103585
biocide__ctrl_30m__3,0.08924679440000001,0.1313845925,0.0186689805
clpP__wt__1,0.1099669541,0.0826412482,-0.0666339028
clpP__wt_DPTA__1,1.5942442407000001,0.8479397298,0.503766096
clpP__wt__2,-0.8886723729,-0.5414731065,-0.1321270107
clpP__wt_DPTA__2,0.5888800637,0.49491518910000004,0.4881845549
clpP__wt__3,0.7787054188,0.4588318583,0.1987609135
clpP__wt_DPTA__3,1.9788472425,0.3787223364,0.5070739993
clpP__delclpP__1,0.7369034391,0.3056182021,-0.8734644257
clpP__delclpP_DPTA__1,2.6969069642,0.2299271742,0.0105121308
clpP__delclpP__2,0.3206461164,-0.6490395829000001,-0.3758395962
clpP__delclpP_DPTA__2,3.628361042,0.3457625582,-0.080117849
clpP__delclpP__3,0.2764226707,-0.055945214800000004,-0.5751663553
clpP__delclpP_DPTA__3,0.4639420772,0.5202928563,-0.1688967908
colombos2__delydcR__1,-0.3337233499,-0.5688880272,-0.0693545751
colombos2__delydcR__2,-0.7581727741000001,-0.0813989416,-0.33321683020000004
colombos2__delydcR__3,0.0926751817,0.1448876137,-0.0393089613
colombos2__delyjiR__1,-0.3567302207,-0.33233484950000003,-0.099687806
colombos2__delyjiR__2,-0.275422157,-0.29328604340000003,0.25691065290000004
colombos2__delyjiR__3,-0.3316410578,0.25075908080000003,0.162327729
colombos2__wt__1,-0.0538521561,-0.1384669455,0.2204930321
colombos2__wt__2,-0.9195451281,-0.0748428047,-0.4360373755
colombos2__wt__3,0.9733972842,0.21330975030000002,0.2155443434
crp_k100__ar1_ar2__1,-3.5039519771,-2.6125478044,-1.2995977401
crp_k100__ar1_ar2__2,-2.5097702541,-2.0309407592,-1.3858488461
crp_k100__ar1_ar2__3,-2.3141097554,-1.5924100005000001,-1.1551255076
crp_k100__wt__1,-0.4357163982,0.049038687000000004,-0.0264047357
crp_k100__wt__2,0.11701037060000001,-0.1088560358,0.1464903964
crp_k100__wt__3,0.3187060276,0.0598173488,-0.1200856607
crp_k100__K100Q__1,0.2951088448,-0.3985382871,-0.2522707463
crp_k100__K100Q__2,0.2184729783,0.4832679186,-0.2711134562
crp_k100__K100R__1,-0.8522308514,-0.19408870920000001,-0.0595239595
crp_k100__K100R__2,0.5264330161,-0.2088399636,0.5050291552
crp_k100__K100R__3,0.9257261736,0.17052589070000002,0.0660056332
csrA__wt_t00__1,-0.1516969191,-0.3093870886,-0.13018558560000001
csrA__wt_t02_30__1,3.5287345937,-3.2723112347,-1.1339696385
csrA__wt_t05__1,6.3452326876,-3.5068056859,-2.4550083112
csrA__wt_t10__1,5.1006764637,-3.56783005,-4.1870252178
csrA__wt_t15__1,7.281739846,-3.031828323,-3.2111292318
csrA__delcsrA_t00__1,0.4699176748,0.6417735826000001,0.3613869819
csrA__delcsrA_t02_30__1,4.8802156612,-2.5641819113,-0.6674396287000001
csrA__delcsrA_t05__1,5.2754640082,-3.423255983,-2.2221447579
csrA__delcsrA_t10__1,2.7274561236,-3.3814784128,-3.4198734015
csrA__delcsrA_t15__1,3.2664658226,-3.0143945365,-3.2339359789
csrA__wt_t00__2,0.1516969191,0.3093870886,0.13018558560000001
csrA__wt_t02_30__2,4.3857061763,-2.3908528367,-1.2511893155
csrA__wt_t05__2,6.5867463896,-3.4608641484,-2.3292575708
csrA__wt_t10__2,5.5308812774,-3.5348339816000003,-4.1135135934000004
csrA__wt_t15__2,6.9392370626,-2.6529463025,-3.434645459
csrA__delcsrA_t00__2,-0.11748369410000001,-0.1708415134,0.1876233269
csrA__delcsrA_t02_30__2,3.7767747095,-2.5582074311,-1.1638283926
csrA__delcsrA_t05__2,5.1962706,-3.6408759703999998,-2.0312934097
csrA__delcsrA_t10__2,1.771438615,-3.5037045602,-3.5341055024
csrA__delcsrA_t15__2,3.4929841209,-2.4209739078,-3.0369515843
cstr_pfr__str_0005m__1,0.0302363089,0.366781693,0.1036371583
cstr_pfr__str_0010m__1,0.7755477195,0.214336148,-0.2296760947
cstr_pfr__str_0025m__1,0.27155801220000003,-0.014904903800000001,0.0383571309
cstr_pfr__str_0045m__1,0.5110337648000001,0.04156927,0.0360981407
cstr_pfr__str_0075m__1,0.5786813249,0.0445793351,0.0112518975
cstr_pfr__str_0120m__1,0.49611669550000004,0.026891517700000003,0.0065400067
cstr_pfr__str_0210m__1,0.5122835059,0.0774478663,0.0613117897
cstr_pfr__str_0330m__1,1.4171500397,0.4085312547,0.0752505852
cstr_pfr__str_1500m__1,1.5914435282000001,0.2893128706,0.0646232551
cstr_pfr__str_1560m__1,0.5027237556,0.25686011870000003,0.0745769649
cstr_pfr__str_1680m__1,0.5806409131,0.2635088959,0.0132959954
cstr_pfr__str_ref1__1,-0.3815990033,-0.0401291385,0.0309166155
cstr_pfr__str_ref2__1,-0.3566548512,0.15569417870000002,0.050854043200000004
cstr_pfr__str_ref3__1,-0.049249095400000005,-0.0629917727,0.0781229599
cstr_pfr__pfr_P5_0005m__1,0.2866243958,0.4116185593,0.269221989
cstr_pfr__pfr_P5_0010m__1,0.21872950300000002,0.49900110210000004,0.0489485095
cstr_pfr__pfr_P5_0025m__1,0.3255881869,0.3951142804,0.2725286431
cstr_pfr__pfr_P3_0025m__1,0.0356133701,0.0850904941,0.079938994
cstr_pfr__pfr_P1_0025m__1,0.6895348256,-0.190191565,-0.0319597258
cstr_pfr__pfr_P5_0045m__1,0.2988339994,0.17098480130000002,0.2169729199
cstr_pfr__pfr_P5_0120m__1,0.8593088387000001,0.3091583352,0.3349589161
cstr_pfr__pfr_P3_0120m__1,0.2313478442,0.10095696450000001,0.1103821889
cstr_pfr__pfr_P1_0120m__1,0.3753640594,0.40640216760000003,0.3563764866
cstr_pfr__pfr_P5_0210m__1,1.3425397003000001,0.45315829030000004,0.3086663712
cstr_pfr__pfr_P5_1500m__1,0.1989249657,0.3856336339,0.48358926430000004
cstr_pfr__pfr_P3_1680m__1,0.29843496880000003,0.4221997583,0.3481544716
cstr_pfr__pfr_P5_1680m__1,0.2845485789,0.3779122971,0.48077671120000004
cstr_pfr__pfr_P1_1680m__1,0.8024690513,0.3441261615,0.2107291755
cstr_pfr__str_0005m__2,0.3791232339,0.38702502710000003,-0.0935369191
cstr_pfr__str_0010m__2,0.2204447698,0.13373543270000002,-0.24873146470000002
cstr_pfr__str_0025m__2,0.2716883847,0.0136015175,-0.2016487162
cstr_pfr__str_0045m__2,0.8811177598000001,0.0638650437,-0.14117476780000002
cstr_pfr__str_0075m__2,0.734917424,-0.0295413099,-0.126103141
cstr_pfr__str_0120m__2,0.47852755950000003,0.0788206764,-0.1334760396
cstr_pfr__str_0210m__2,0.29997606250000003,0.1729285805,-0.0672349899
cstr_pfr__str_0330m__2,0.4347235661,0.2133485629,0.0576004129
cstr_pfr__str_1500m__2,0.4878705619,0.42931458310000004,0.2009926933
cstr_pfr__str_1560m__2,0.3064555406,0.3461698307,0.1707298308
cstr_pfr__str_1680m__2,1.2455296152,0.2536364754,0.0692396961
cstr_pfr__str_ref1__2,0.3815990033,0.0401291385,-0.0309166155
cstr_pfr__str_ref2__2,-0.09593175300000001,0.0483695835,-0.0359995768
cstr_pfr__str_ref3__2,-0.41529443790000004,-0.0913961508,0.058544858000000005
cstr_pfr__pfr_P5_0005m__2,0.9012122193000001,0.40266804570000003,-0.048752147
cstr_pfr__pfr_P5_0010m__2,0.16615552320000002,0.2663446975,0.0814724538
cstr_pfr__pfr_P5_0025m__2,0.24604986280000002,0.3052595345,0.14086945920000002
cstr_pfr__pfr_P3_0025m__2,0.2542499822,0.1098420372,-0.0582763844
cstr_pfr__pfr_P1_0025m__2,0.2082730317,-0.0262267923,-0.2331385879
cstr_pfr__pfr_P5_0045m__2,0.9064883209,0.16806570210000002,0.0354719414
cstr_pfr__pfr_P5_0120m__2,0.2299836292,0.1260511199,0.305318221
cstr_pfr__pfr_P3_0120m__2,0.6204418026,0.1712677701,0.0945138693
cstr_pfr__pfr_P1_0120m__2,0.9771367418,0.2142709052,-0.0124149267
cstr_pfr__pfr_P5_0210m__2,0.2726674062,0.2778015529,0.3356911857
cstr_pfr__pfr_P5_1500m__2,0.6658452504,0.2680591903,0.41076687230000003
cstr_pfr__pfr_P3_1680m__2,0.1866978319,0.35116397600000004,0.3983587121
cstr_pfr__pfr_P5_1680m__2,0.6392676962,0.2165882493,0.2226821065
cstr_pfr__pfr_P1_1680m__2,0.6856997999000001,0.2004852969,0.03072544
darobactin__daro_30m__1,-0.5642305006,2.3178142457,0.9297661229
darobactin__daro_30m__2,0.4746355974,0.6929045219000001,0.5458194559
darobactin__solv_1h__1,0.2394358095,3.1661147423,0.8896791535
darobactin__solv_1h__2,-0.0612825236,2.9415077671,0.7544298497
darobactin__daro_1h__1,-0.31773286100000003,3.2180787946000002,0.9083268103000001
darobactin__solv_1h__3,-0.4034660559,3.2099030283,0.8378540299
darobactin__daro_1h__2,-1.2291624342,3.515802344,1.2087494064
darobactin__daro_1h__3,-0.8704298324,3.5293401788,1.1494446188
darobactin__daro_30m__3,0.7836264805,2.0341466817,0.7221774194
darobactin__solv_30m__1,0.39757392,0.5350922038,0.3322589038
darobactin__solv_15m__1,0.17967415320000002,-0.2760746063,-0.0405799602
darobactin__solv_15m__2,-0.1928371559,0.25967297980000004,0.0211711041
darobactin__daro_15m__1,-0.5073351873,0.9664684419,0.32684287360000003
darobactin__solv_15m__3,0.0131630027,0.016401626500000002,0.019408856000000002
darobactin__daro_15m__2,0.5920724145,-0.274706968,0.3689308805
darobactin__daro_15m__3,-0.09430890880000001,0.0836949074,0.221949515
darobactin__solv_30m__2,0.6781359782,-0.0405066652,0.1618995187
darobactin__solv_30m__3,1.045105576,0.7546493719,0.2420582473
ddp__pNT3_aroP__1,-4.7333968281,0.009721810800000001,0.4265026615
ddp__pNT3_aroP__2,-6.62649541,-0.835427558,0.7271404589
ddp__pNT3_bamC__1,-11.1118320329,-2.5377231736,0.8519065269
ddp__pNT3_bamC__2,-10.6583752604,-1.9785817451,0.5921076495
ddp__pNT3_cusA__1,-11.1341876633,-2.2046271862,1.0354136519
ddp__pNT3_cusA__2,-10.6535023286,-1.4956536931,0.7451035267
ddp__pNT3_hemX__1,-4.854888909,-0.2898452778,0.8182462086000001
ddp__pNT3_hemX__2,-5.8791073285,-1.0609187945,0.7045028161
ddp__pNT3_empty__1,0.2517972161,0.34045282790000003,-0.139956359
ddp__pNT3_empty__2,-0.2517972161,-0.34045282790000003,0.139956359
ddp__pNT3_topA__1,-6.4164213454,-1.1614121994,0.5908025523
ddp__pNT3_topA__2,-8.255307536,-2.154944903,0.9994652368
ddp__pNT3_yicR__1,-3.6102982745,0.063299453,0.7827099169
ddp__pNT3_yicR__2,-5.0493276491,-0.5829461271,0.7206732189
ddp__pNT3_yqjD__1,-2.5542868854,0.2888844886,0.5565290979
ddp__pNT3_yqjD__2,-4.3318368337,-0.45179524190000003,0.5652993358
ecomics__del_gabT__1,0.0867237678,0.17716730560000002,-0.2183604482
ecomics__del_gabT__2,-0.0867237678,-0.17716730560000002,0.2183604482
ecomics__del_putP__1,2.040028357,0.4316726833,0.0496916416
ecomics__del_putP__2,-1.8052909264,-0.1448580689,0.2503393265
ecomics__del_entF__1,-0.6403027163,0.2776557355,0.39555321730000004
ecomics__del_entF__2,0.7157427804000001,-0.0892907262,0.11605645020000001
ecomics__del_entF__3,0.1716048336,-0.0867410934,0.2931170004
ecomics__del_cysA__1,-0.0604631044,0.6625560546,0.3087574011
ecomics__del_cysA__2,1.8231477187,0.4036865951,0.0756466625
elyC__wt_21C__1,0.1213092845,0.4200076044,0.2997067975
elyC__wt_21C__2,-0.0861348428,0.403081201,0.2171652813
elyC__wt_21C__3,-0.2563333196,-0.0582631184,0.20048826090000002
elyC__wt_37C__1,-0.0262066461,0.3013870591,0.0055111309
elyC__wt_37C__2,0.1480545326,-0.3150426222,0.0383910612
elyC__wt_37C__3,-0.12184788660000001,0.0136555631,-0.0439021921
elyC__delelyC_21C__1,-0.3203868668,-0.09320221690000001,0.2526018277
elyC__delelyC_21C__2,-0.43569573710000004,0.3412509697,0.270288277
elyC__delelyC_21C__3,-0.3359463546,0.2089560987,0.2825423364
elyC__delelyC_37C__1,-0.20542800730000002,0.1113893328,0.1877512114
elyC__delelyC_37C__2,0.0193991708,0.0431680432,0.1650360705
elyC__delelyC_37C__3,0.2159020241,0.4464579483,0.1449864971
evo_acid_w__F9_2__1,0.8983940735,0.6134773342000001,0.45212262210000004
evo_acid_w__F11_1__1,-2.1881672667,0.47445590790000003,0.0515482653
evo_acid_w__F11_1__2,-1.9665598436,0.2591109635,0.1563578091
evo_acid_w__F11_1__3,-1.0669046281,0.8429843669,0.2851965476
evo_acid_w__wt__1,-0.1723838953,0.70408337,0.1360930215
evo_acid_w__F11_2__1,2.0329468505,0.8380630640000001,0.1526137479
evo_acid_w__B11_2__1,0.8075292264,1.028018929,0.7470542054
evo_acid_w__F11_2__2,1.7410135733,0.2424514069,-0.0330759678
evo_acid_w__wt__2,-0.8370200859,0.5288634083,0.0921125297
evo_acid_w__B11_1__1,1.4243623025,0.5225872033,0.0459686345
evo_acid_w__H9_1__1,1.9565271183,0.27290066,-1.7381250601
evo_acid_w__H9_2__1,0.1340431886,0.0127243836,0.1060124781
evo_acid_w__B11_2__2,0.8234063851000001,1.3446598017,0.7565786075
evo_acid_w__wt__3,-1.3338142621,0.403715392,-0.0206086192
evo_acid_w__H9_2__2,-0.1215606964,-0.09567882030000001,0.2191212157
evo_acid_w__B11_2__3,0.9553019275,1.3220296009,0.701250519
evo_acid_w__F11_2__3,2.0297866442,0.5956932989,0.0061447768000000005
evo_acid_w__F9_2__2,0.9053094844,0.250753734,0.5616911087
evo_acid_w__wt__4,-0.5976857250000001,-0.4123410637,0.2075206627
evo_acid_w__wt__5,-0.29510869910000004,-0.5360973185,0.07605606050000001
evo_acid_w__wt__6,1.0000900012,-0.43909014490000003,-0.0229880917
evo_acid_w__H9_1__2,1.9172292585,0.3444305331,-1.7211272316000001
evo_acid_w__F9_1__1,-0.922090688,0.6830318732,0.33539129840000004
evo_acid_w__F9_1__2,-1.5935705498,0.6197824746,0.37333806010000004
evo_acid_w__B11_1__2,1.5583972307,-0.08210153640000001,0.1027974094
evo_acid_w__H9_2__3,0.41297968420000003,-0.037150511000000004,0.2542201101
evo_acid_w__wt__7,-0.34915975930000004,-0.3848189158,0.1532453091
evo_acid_w__F9_1__3,-0.9858201713,0.9779937716,0.3624937381
evo_acid_w__F9_2__3,1.084764167,0.6817172261000001,0.5062765036
evo_acid_w__wt__8,0.9045867073,0.10301082,-0.3269025847
evo_acid_w__B11_1__3,2.4673243768,0.2673456105,0.09219357800000001
evo_acid_w__wt__9,1.6804957182,0.0326744526,-0.2945282879
evo_bz__c3_1_bz__1,3.8146331487,0.3006796954,-0.385355987
evo_bz__c3_1_bz__2,1.5486296757,1.0467167341999999,-0.6930073795
evo_bz__c3_1_bz__3,2.5645118882,0.6846995737,-0.7755713976
evo_bz__c3_1_bz__4,2.7488668168,0.7299642595,-0.6576656106000001
evo_bz__g5_1_bz__1,1.808446992,0.1638722247,-0.1341736427
evo_bz__g5_1_bz__2,0.49987845150000004,-0.7452465101,-0.5635110724
evo_bz__g5_1_bz__3,1.5921917975,-0.1602735652,-0.1045202598
evo_bz__g5_1_bz__4,0.8245714806000001,0.2025624118,-0.5514972085000001
evo_bz__g5_1_bz__5,1.274642215,0.3130440376,-0.5907591781
evo_bz__g5_1_bz__6,1.4960643573,0.13806353300000002,-0.5379723588
evo_bz__w3110d13__1,0.19941121950000001,-0.0513162032,0.5884298837
evo_bz__w3110d13__2,0.1752041387,0.0975542724,0.5233414408
evo_bz__w3110d13__3,0.34342441760000003,0.1839743882,-0.4463507494
evo_bz__w3110d13__4,0.2992956177,-0.0371403102,0.4678437997
evo_bz__w3110d13__5,-0.6685847043,-0.056877386700000004,-0.7475887920000001
evo_bz__w3110d13__6,-0.3487506892,-0.1361947605,-0.38567558290000004
evo_bz__w3110d13_bz__1,2.4309052276,0.5125351124,-0.31419254
evo_bz__w3110d13_bz__2,2.6656147297,0.4299942927,-0.1236678575
evo_bz__w3110d13_bz__3,2.6090217797,0.8582736066000001,-0.7518707576
evo_bz__w3110d13_bz__4,2.9227738178,0.7554463210000001,-0.10341932470000001
evo_bz__c3_1_bz__5,3.4794960558,0.36295376360000003,-0.31786441590000003
evo_bz__c3_1_bz__6,3.3950343483,0.1859776113,-0.5855978821
evo_bz__g5_2_bz__1,0.4659460562,-0.1579224079,-0.9927383484000001
evo_bz__g5_2_bz__2,0.2085025063,-0.059696317400000004,-1.0770436531
evo_bz__g5_2_bz__3,1.1175265127,0.1493275316,-0.9319843065000001
evo_bz__g5_2_bz__4,3.9359873669,-0.0071215636,-0.3099510565
evo_bz__g5_2_bz__5,3.7395677373,-0.1302713735,-0.5033890871
evo_bz__g5_2_bz__6,2.9370503707,-0.4894645912,-0.43552663960000004
evo_bz__w3110d13_bz__5,2.7899667377,0.7698994535,-0.9039885132000001
evo_bz__w3110d13_bz__6,2.1060548585,0.2595108725,-0.882397812
evo_bz__a1_1_bz__1,1.0472470084,0.4297828938,-0.1968594431
evo_bz__a1_1_bz__2,-2.2070461209,0.2994966847,-0.0757624216
evo_bz__a1_1_bz__3,-3.7111052312,-0.4889413214,-1.1352115054
evo_bz__a1_1_bz__4,-2.1450663327,0.4117810494,-0.1630694594
evo_bz__a1_1_bz__5,-3.5974303529,-0.5787156613000001,-1.1430905682
evo_bz__a1_1_bz__6,-3.5793193586000003,-0.3018689136,-1.1479592129
evo_metab__wt__1,0.5868737507,0.2679321595,0.0216952277
evo_metab__del_zwf__1,0.0104785367,0.2492738814,0.0089552738
evo_metab__zwf_ale1__1,-0.1910070585,0.0898109545,-0.029136735400000002
evo_metab__zwf_ale2__1,0.1184565459,-0.2462648365,-0.22346250180000002
evo_metab__del_ppk__1,-0.2995970174,-0.0716205672,-0.5950074874
evo_metab__ppk_ale1__1,-1.3152780676,-0.3723333639,-0.2819178846
evo_metab__ppk_ale2__1,0.8550286912,0.1357822427,-0.2129587413
evo_metab__ppk_ale3__1,1.342081225,-0.4689580478,-0.6664505470000001
evo_metab__del_dapF__1,0.3334881843,0.2316552728,-0.2899666271
evo_metab__dapF_ale1__1,0.4250805905,0.0978067351,-0.0956451908
evo_metab__dapF_ale3__1,-1.1682903512,-0.0996219658,-0.534902734
evo_metab__del_entC__1,-0.0705624151,-0.6281939362,-0.09387450950000001
evo_metab__entC_ale1__1,-0.7914381730000001,-0.8241659711,-0.4795015226
evo_metab__entC_ale2__1,-0.135010341,-0.0865447733,0.3381492062
evo_metab__del_dgk__1,0.183990487,-0.1799317196,-0.2479411708
evo_metab__dgk_ale1__1,-0.9344422136,-0.2843895088,0.1803691418
evo_metab__dgk_ale2__1,0.033911918,0.019294473,0.5647813138000001
evo_metab__dgk_ale3__1,-0.9325307457,-0.3681766903,-0.0535453575
evo_metab__wt__2,-0.7283884997000001,-0.1446527665,0.0598112988
evo_metab__del_zwf__2,0.0540376684,0.31295897100000003,0.1188856227
evo_metab__zwf_ale1__2,-0.5630664304,0.5780387417,0.34647646330000004
evo_metab__zwf_ale2__2,-0.1048579429,0.7553687183000001,-0.08200134910000001
evo_metab__del_ppk__2,-0.243177893,0.12110150900000001,-0.1543697162
evo_metab__ppk_ale1__2,-0.9669747768,0.4663173363,0.5010526678
evo_metab__ppk_ale2__2,-1.0078265166,0.2181288311,0.033069829700000004
evo_metab__ppk_ale3__2,-1.5856133186,-0.4767261647,-0.1021128979
evo_metab__del_dapF__2,0.5048432417000001,-0.1326808465,-0.5275545316
evo_metab__dapF_ale1__2,0.9293569856,-0.2849716301,-0.8740408744
evo_metab__dapF_ale3__2,0.2887292836,0.0680929197,-0.6052099843000001
evo_metab__del_entC__2,-0.6077579643000001,-0.6718327809,-0.520378201
evo_metab__entC_ale1__2,-0.49005003750000004,-0.2966997703,-0.1808186141
evo_metab__entC_ale2__2,0.5268655731,0.10530871900000001,-0.2481074814
evo_metab__entC_ale3__1,-0.7220143871,0.0203547013,-0.1007067708
evo_metab__del_dgk__2,-0.1798258493,-0.1010724596,-0.2493838519
evo_metab__dgk_ale1__2,-0.4207755946,-0.1285187512,0.0934857714
evo_metab__dgk_ale2__2,-0.21220189120000002,-0.2318647067,0.0258529291
evo_metab__dgk_ale3__2,-0.3776294828,0.043366791,-0.7092992376
evo_metab__wt__3,0.141514749,-0.123279393,-0.08150652650000001
evo_metab__del_zwf__3,-0.7350468699,-0.6517728405000001,-0.38365261440000004
evo_metab__zwf_ale1__3,-0.7954925770000001,0.2881022746,0.30292598800000003
evo_metab__zwf_ale2__3,-0.2755496404,0.45173893930000003,-0.5695966895
evo_metab__del_ppk__3,0.26246111440000003,0.2435239914,-0.5088220601
evo_metab__ppk_ale1__3,-0.8621491351,-0.1964827082,-0.5568547845
evo_metab__ppk_ale2__3,-1.425781062,0.547570906,-0.1075832786
evo_metab__ppk_ale3__3,-1.0159597081,0.1991079469,-0.2548516616
evo_metab__del_dapF__3,0.3040055199,-0.2568791408,-0.5224634022
evo_metab__dapF_ale1__3,0.9864917676,-0.2097431971,-0.6997337682
evo_metab__dapF_ale3__3,0.2854658191,-0.2358454096,-0.164303206
evo_metab__del_entC__3,-0.6875912653,-0.1667072409,-0.2838038458
evo_metab__entC_ale1__3,-0.2734631541,-0.36836323400000004,-0.14120318680000002
evo_metab__entC_ale2__3,-0.4071987494,-0.39057184650000004,-0.2275315786
evo_metab__entC_ale3__2,-1.0365104071,-0.6881487882,-0.1971165942
evo_metab__del_dgk__3,8.45289e-05,-0.5725213063,-0.7030767083
evo_metab__dgk_ale1__3,-0.43371723430000003,-0.6578676658,-0.3391076354
evo_metab__dgk_ale2__3,-0.0639718242,-0.5030013248,-0.8919006833
evo_metab__dgk_ale3__3,-0.738194055,-0.754577691,-0.8480468999
flag_reg__wt__1,-0.3407066865,-0.22205736750000002,-0.0552460372
flag_reg__del_fliA__1,-0.4414494588,0.9186510074,0.2379487723
flag_reg__del_flhC__1,-0.6806439354,0.8744248914,0.1666261772
flag_reg__del_flhD__1,-0.3231083624,1.3282830843,0.3038599931
flag_reg__wt__2,0.3407066865,0.22205736750000002,0.0552460372
flag_reg__del_fliA__2,0.3596368532,1.1030373564,0.2803346536
flag_reg__del_flhC__2,-1.0939541984,-0.1722867797,-0.038816530200000005
flag_reg__del_flhD__2,-0.3131426021,1.0098002048,0.21736006800000002
flgM__27C__1,-2.5444643761,-0.9873824273,0.02870798
flgM__27C__2,-1.779196425,-0.9112199958,0.0422419746
flgM__27C__3,-2.1641041243,-0.9625031030000001,-0.0473495293
flgM__32C__1,-2.0334930746,-0.1707189743,-0.1275263066
flgM__32C__2,-1.5186104479,-0.1235792418,-0.1188682696
flgM__32C__3,-1.8602347922,-0.14754512050000002,-0.0775782685
flgM__37C__1,-0.0617698857,-0.14719897510000002,-0.0172228206
flgM__37C__2,-0.1472891945,0.0830630467,-0.0153227698
flgM__37C__3,0.2090590802,0.0641359284,0.032545590400000005
flgM__42C__1,1.4252581614,0.5543648761000001,0.1223491476
flgM__42C__2,1.8303360452000002,0.7644111413,0.1974911759
flgM__42C__3,1.2348824033999999,1.1340267873,0.2034264775
histone__untreated__1,0.500626542,0.39448876310000003,-0.060392566700000004
histone__untreated__2,-0.0430631439,-0.35040600650000003,0.0044704471
histone__untreated__3,-0.4575633981,-0.0440827566,0.0559221196
histone__10ug_H2A__1,-0.4881207327,0.14033333350000002,-0.0294229657
histone__10ug_H2A__2,-0.6850548537000001,-0.241953613,-0.10860318570000001
histone__10ug_H2A__3,-1.0076863654,-0.2100035505,-0.1133642725
histone__50ug_H2A__1,-0.7640042931000001,0.3935107785,0.029688543100000003
histone__50ug_H2A__2,-0.7233719756,0.1609725923,0.0276315887
histone__50ug_H2A__3,-0.5955282098,0.2725327931,-0.0099621376
histone__100ug_H2A__1,-0.858927489,0.46496645270000003,0.0895954796
histone__100ug_H2A__2,-0.6500022350000001,0.5531294133,0.10367688060000001
histone__100ug_H2A__3,-0.5657726544,0.5206152678,0.0034602426000000003
hns__del_hns_spike__1,-3.4304022846,-0.37776893440000003,0.2075117463
hns__del_hns_spike__2,-1.6200128578,-1.2298935087,0.009730694
hns__del_hns__1,-3.4827151405,-0.0512283569,0.2850669433
hns__del_hns__2,-1.6408191949000002,0.011053273800000001,0.1631970502
hns__wt_spike__1,-1.2377403696,-1.0855321812,0.1392690724
hns__wt_spike__2,1.9142161491,1.7873021987,0.5908241112
hns__wt__1,-0.9945649851,-0.7051472347000001,0.1104686965
hns__wt__2,0.9945649851,0.7051472347000001,-0.1104686965
hns_stpA__evo100G4_delhns_delstpA__1,-1.5811557008000001,0.2460432494,-1.5681109031
hns_stpA__evo100G4_delhns_delstpA__2,-1.3358958419,-0.0838860479,-1.7787209304
hns_stpA__evo100G12_delhns_delstpA__1,-4.4906545371,-1.0870385061,-2.3286332422
