,A,Nac
abx_mega__str_h2o__5,-1.6212109946000002,0.3300730986
abx_mega__h2o-8a__3,-1.4256786815,-0.9328049156
abx_mega__dox_dmso__7,0.45338896370000004,-0.3031465747
abx_mega__doxo_dmso__2,-0.0782316802,0.6875714852
abx_mega__teix_dmso__16,-3.5729097515,-0.7847177972
abx_mega__rfp_h2o__3,3.4074291835,1.3542945381
abx_mega__ethanol-10__3,-1.3830765238,-0.0274323778
abx_mega__naoh-2__2,-0.4594979328,-0.2605703387
abx_mega__van_h2o__4,0.25740116620000003,-0.8142179441
abx_mega__sacet_h2o__2,0.42888330480000003,0.511384126
abx_mega__monac_dmso__4,-1.553208579,0.39782831830000004
abx_mega__h2o-2__2,0.4917712147,0.9123597937000001
abx_mega__zeocin_h2o__5,-0.9087483566000001,-0.2919931189
abx_mega__nor_naoh__5,-0.5269033954,1.1180473804
abx_mega__naoh-9__2,-0.6238278333,0.7286423974
abx_mega__dmso-7__3,-1.7794771436999999,0.17225984060000002
abx_mega__van_h2o__5,0.24266237770000001,-0.667774905
abx_mega__flavo_dmso__4,-0.7998723940000001,1.8164839995
abx_mega__novo_dmso__3,1.3584131676,-1.753110805
abx_mega__polmyx_h2o__7,-0.6510502020000001,0.1985831996
abx_mega__teix_dmso__17,-2.0937920301,0.2684613957
abx_mega__doxo_dmso__3,0.9911921852000001,0.9832348351
abx_mega__mem_dmso__6,-1.1062998554,1.3841968244
abx_mega__h2o-1a__3,-0.25568983430000003,0.3319255946
abx_mega__bacit_dmso__3,-0.7209371436,-0.6844576438000001
abx_mega__dox_dmso__8,-0.7326235955,1.5333279613
abx_mega__teix_dmso__18,-0.4298496585,0.3388338716
abx_mega__h2o-6__3,0.23070626730000002,-0.6240908853
abx_mega__pen_h2o__5,-0.1501789413,0.0752412231
abx_mega__lzd_dmso__4,1.7917858323,-0.9903852110000001
abx_mega__daro__1,-0.3422941893,-1.7191430479
abx_mega__solv__1,-1.2748383886,-1.8100612349
abx_mega__daro__2,-1.1013906525,-1.7947747233
abx_mega__daro__3,-1.3707326926,-1.7144332711999999
abx_mega__solv__2,-0.2698965542,-1.615025008
abx_mega__solv__3,-0.7916118109,-1.738712852
abx_mega__dmso-4__1,1.350855399,0.7294082574
abx_mega__kirr_dmso__1,3.9725157056000002,-0.9231830809
abx_mega__kirr_dmso__2,3.6688843643,-0.9981840043
abx_mega__kirr_dmso__3,4.4312503313,0.2046410616
abx_mega__dmso-4__2,1.0312742551,0.8008637587
abx_mega__dmso-4__3,0.7370195333,0.6915994487
ackA_pta__dnaA46_del_ackA__1,-0.10361522100000001,0.6064848255
ackA_pta__dnaA46_del_ackA__2,0.0190827981,0.8944753291
ackA_pta__dnaA46_del_ackA__3,-1.2011721172,0.10559736680000001
ackA_pta__dnaA46_del_pta__1,5.2644526079,1.9302215302999999
ackA_pta__dnaA46_del_pta__2,1.254380418,0.7340561775000001
ackA_pta__dnaA46_del_pta__3,-0.5430488773000001,0.6840671914
ackA_pta__dnaA46__1,-0.2615571393,0.1894606848
ackA_pta__dnaA46__2,-1.083747803,-0.240492855
ackA_pta__dnaA46__3,0.2752978062,0.011981449600000001
ackA_pta__del_ackA__1,-0.1857486244,0.3059985086
ackA_pta__del_ackA__2,2.4295788546,1.711321613
ackA_pta__del_ackA__3,-0.1140059464,0.4314850139
ackA_pta__del_pta__1,0.7561100328,0.15568167060000002
ackA_pta__del_pta__2,2.4655099698000003,0.4967961188
ackA_pta__del_pta__3,0.3403286962,0.6303059599
ackA_pta__wt__1,-0.18670891320000002,-0.0029181725000000003
ackA_pta__wt__2,0.2551113038,0.1148494453
ackA_pta__wt__3,-0.0684023906,-0.1119312727
anticancer__5fu__1,-1.4362791566,-0.3698144666
anticancer__5fu__2,-1.7802788646,-0.486949145
anticancer__cap__1,-1.2169370229,0.7173463922000001
anticancer__cap__2,-1.935101111,0.20699598200000002
anticancer__cap__3,-2.0324976459,0.041763804
anticancer__wt__1,0.1915774498,0.12451109390000001
anticancer__wt__2,0.0678376404,-0.0106837327
anticancer__wt__3,-0.2594150903,-0.1138273612
anticancer__5fu__3,-2.3069348799,-0.2249885859
bio_pln__aero_pln__1,-0.1382362346,0.0431396313
bio_pln__aero_pln__2,0.1382362346,-0.0431396313
bio_pln__anaero_pln__1,0.16946768140000001,-0.026105742100000003
bio_pln__anaero_pln__2,-1.1654440732,-0.4376281288
biocide__bzcl_12h__1,-0.8746666932,-0.5754432389
