,A,MraZ,LexA,PdhR
elyC__wt_37C__2,0.4169587641,-0.0435212892,0.0465457182,0.037153862100000004
elyC__wt_37C__3,0.10151726700000001,0.008600574,0.1456589037,0.045527641
elyC__delelyC_21C__1,-3.1572797521,0.1343095582,0.4498995545,0.0672034985
elyC__delelyC_21C__2,-3.2487169901,0.2204609844,0.3913145072,-0.9777351562000001
elyC__delelyC_21C__3,-3.2564603022,0.0664628875,0.389811326,-0.7416694428
elyC__delelyC_37C__1,-0.2989016948,0.2000086614,-0.09507358020000001,0.0231900534
elyC__delelyC_37C__2,-0.5069374431,0.08451494,0.0599878598,-0.0079309624
elyC__delelyC_37C__3,-0.4292321039,0.0869433726,-0.10332827530000001,-0.1622223955
evo_acid_w__F9_2__1,1.5994328277,0.4770274614,-0.1398138247,0.9115998682
evo_acid_w__F11_1__1,-0.4853876105,0.3860865392,1.1854984848,2.9089177417
evo_acid_w__F11_1__2,-1.1417167428,0.7937796957000001,1.2529162699,2.9699682279
evo_acid_w__F11_1__3,-0.9568242203,0.8600020063,1.271735632,2.8159069387
evo_acid_w__wt__1,-2.1227134203,0.0957052241,-0.10500743130000001,1.2150391758
evo_acid_w__F11_2__1,1.8932395005,0.243542328,0.9155876416000001,0.7939172352
evo_acid_w__B11_2__1,0.073852159,0.5660870879000001,1.0839805888,1.5844768872000001
evo_acid_w__F11_2__2,1.8669536736,0.562841275,1.1456591939,0.6002803874
evo_acid_w__wt__2,-1.9031719396,-0.0686537698,-0.2758454138,1.6655798253
evo_acid_w__B11_1__1,0.9754503831,0.7235023537,1.1447314669,-1.2430347602
evo_acid_w__H9_1__1,-1.0581885867,0.7915283817000001,0.5839696191,4.2453102053
evo_acid_w__H9_2__1,1.5525499118,0.24932634680000001,0.5565984363,1.3299059186
evo_acid_w__B11_2__2,0.125285973,0.6183190042000001,1.1375042367,1.3286358347
evo_acid_w__wt__3,-1.4578560694,0.1079018556,-0.2132921451,1.4541476583000001
evo_acid_w__H9_2__2,1.2834800404,0.3446135766,0.5882298446,1.5776834765
evo_acid_w__B11_2__3,-0.0196920813,0.6469853886,1.0722799298,0.8748346009
evo_acid_w__F11_2__3,1.7162572508,0.8588346584000001,1.2594557111,1.236880471
evo_acid_w__F9_2__2,0.31937131550000003,0.0743287395,-0.1113461387,0.8159341034
evo_acid_w__wt__4,-0.1344896603,0.2168205336,0.0950215491,0.7766943792000001
evo_acid_w__wt__5,-0.2697615611,0.2264500159,-0.0110894913,0.7591451453
evo_acid_w__wt__6,2.4395892039,-0.0871575304,0.4516161389,-2.2989114203
evo_acid_w__H9_1__2,-0.49435222630000003,0.8606882918000001,0.6451570075,4.0893026163
evo_acid_w__F9_1__1,-0.5559014632,0.2431695979,0.1198153545,3.0105030815
evo_acid_w__F9_1__2,-0.7027950442,0.6685312441,0.2467226813,3.2404934993
evo_acid_w__B11_1__2,0.7821783821,0.5227452857,0.8324973188,-1.1124414554
evo_acid_w__H9_2__3,2.0307967275,0.28578467280000003,0.6855758027000001,1.3960241458
evo_acid_w__wt__7,0.1848208459,-0.0642257951,0.1566898417,0.6347931368
evo_acid_w__F9_1__3,-0.998924888,0.6520788057,0.2345048159,3.1410720338
evo_acid_w__F9_2__3,1.6425038155,0.3131540901,-0.053820105400000005,0.8302555545
evo_acid_w__wt__8,1.1540766007,-0.35355791670000003,-0.054418611900000004,-2.0677286317
evo_acid_w__B11_1__3,1.1189041055,0.5550683482000001,0.9015649017,-1.4295529239
evo_acid_w__wt__9,2.1095060002,-0.0732826171,-0.0436744363,-2.1387592688
evo_bz__c3_1_bz__1,-1.1444201737,0.6918188733,-0.3718004089,4.7416369539000005
evo_bz__c3_1_bz__2,0.8707154479,-0.427555622,-0.8990305382,3.0099427273
evo_bz__c3_1_bz__3,1.2753270789,-0.258688044,-0.8343980804000001,2.6694410921
evo_bz__c3_1_bz__4,1.1161004541,-0.17889945810000002,-0.8507831126000001,2.6198084418
evo_bz__g5_1_bz__1,-0.8305621864,0.5588476005,-0.7914729631,3.658069061
evo_bz__g5_1_bz__2,0.1810133598,0.20578307950000002,-0.9172154979,5.123006498
evo_bz__g5_1_bz__3,-0.19134967220000001,0.0899943195,-0.9860602197,3.4920870619
evo_bz__g5_1_bz__4,1.8891343308000001,-0.0954434645,-1.0404220636,3.2236677255
evo_bz__g5_1_bz__5,2.4250066181,-0.0978322236,-0.8059324063000001,2.9917570861
evo_bz__g5_1_bz__6,2.140921718,-0.245219121,-0.9698869425000001,3.2044077618
evo_bz__w3110d13__1,-0.2603350767,0.0532155497,0.033343195900000004,-0.4016484695
evo_bz__w3110d13__2,-0.2124435007,-0.15139021930000002,-0.0571019024,-0.7475665217
evo_bz__w3110d13__3,-0.0101962485,0.0366017791,-0.14065455870000002,0.6342072005
evo_bz__w3110d13__4,-0.0965964051,-0.035528384100000004,-0.038892684600000005,-0.7885220554
evo_bz__w3110d13__5,0.0321595835,0.1455823078,0.0971982209,0.7241701921
evo_bz__w3110d13__6,0.5474116475,-0.0484810332,0.10610772880000001,0.5793596539
evo_bz__w3110d13_bz__1,0.1403474729,0.49391426530000004,-1.2793805809,3.7384756547
evo_bz__w3110d13_bz__2,-0.4512880862,0.3181375352,-1.2632670202,3.6448775931
evo_bz__w3110d13_bz__3,1.2584063469,-0.4247911773,-0.7684220759,2.6908553862
evo_bz__w3110d13_bz__4,0.7133358315,0.36890558970000004,-1.3906378549,3.5632175038
evo_bz__c3_1_bz__5,-0.9822641933,0.7364016607,-0.2603334091,4.6564532808
evo_bz__c3_1_bz__6,-1.5188142883,0.8019271781,-0.4981865957,4.7872179116
evo_bz__g5_2_bz__1,1.5423689361,-0.5120351265,-1.0237229292,2.9046800588
evo_bz__g5_2_bz__2,1.7138726396,-0.4346429848,-0.9793772774,2.6839217359000003
evo_bz__g5_2_bz__3,1.3305326263000001,-0.5528222391000001,-0.9135849796000001,2.6551643631
evo_bz__g5_2_bz__4,0.9094941774,0.2430880081,-0.7006123572,2.592866935
evo_bz__g5_2_bz__5,0.8018716763,0.4182847812,-0.8643075898,2.6954634124
evo_bz__g5_2_bz__6,-0.0330172675,0.3625316839,-0.8860865155000001,3.3620870878
evo_bz__w3110d13_bz__5,1.0788558996,-0.0563832736,-0.903124723,2.6077944973
evo_bz__w3110d13_bz__6,1.152097511,-0.4301935552,-0.8799077614,2.8721349367
evo_bz__a1_1_bz__1,2.334028663,0.9197654652,-0.9169427405,1.5392841905
evo_bz__a1_1_bz__2,0.39554164270000003,0.4969628997,-0.8639538342,2.5789570158
evo_bz__a1_1_bz__3,2.1066410195,-0.136144073,-0.6374799290000001,3.6317735759
evo_bz__a1_1_bz__4,1.8949197061,0.7957178625,-0.8839628889000001,2.71166964
evo_bz__a1_1_bz__5,1.6506428733,0.0211776339,-0.7500301627,2.845246056
evo_bz__a1_1_bz__6,2.5471633437,-0.0368914137,-0.6619564146,3.4062887487999998
evo_metab__wt__1,1.0288646966,-0.15425238500000002,0.0693595774,-0.0628602519
evo_metab__del_zwf__1,-0.858091669,-0.3246847478,0.1585426593,-0.8041363719
evo_metab__zwf_ale1__1,-2.6572729271,-0.4138275012,0.1781079291,-0.2899202585
evo_metab__zwf_ale2__1,-4.3951676922,-0.2095111405,-0.0845697208,0.9061562996
evo_metab__del_ppk__1,-1.928586213,-0.4927242932,-0.0652758027,0.4001200932
evo_metab__ppk_ale1__1,-2.0640738441,-0.08853157240000001,0.3020665051,1.2608960706
evo_metab__ppk_ale2__1,-3.3773577315,-0.7171014628,0.3063250678,1.3005830978000001
evo_metab__ppk_ale3__1,-5.6957773721,-0.6764678362000001,0.4973512296,1.4228408414
evo_metab__del_dapF__1,0.4933933706,-0.26538821290000003,0.2562639484,0.49432366640000003
evo_metab__dapF_ale1__1,-1.1926678941,0.0154882197,0.1628804667,0.3392102939
evo_metab__dapF_ale3__1,-0.5081823055,-0.10301117480000001,0.2345661199,1.2681449798
evo_metab__del_entC__1,-1.1944962023,-0.2164076081,-0.0242408097,0.3616803829
evo_metab__entC_ale1__1,-0.7800958871,-0.1726841825,-0.3083855709,0.3945971635
evo_metab__entC_ale2__1,-0.9215607572000001,0.0703886883,0.5016219761,0.0280714261
evo_metab__del_dgk__1,0.3557465661,-0.0734675609,0.2889889794,0.2374150562
evo_metab__dgk_ale1__1,-1.2752583902999999,0.2070279981,0.86191768,-0.1857838524
evo_metab__dgk_ale2__1,-1.1421860794,0.0626220349,1.0195535049,0.1425312973
evo_metab__dgk_ale3__1,-0.0802061216,0.0221477674,-0.15807264440000002,1.0515872376
evo_metab__wt__2,-0.7114538164,-0.1818495753,-0.2416854904,0.15572585660000002
evo_metab__del_zwf__2,-1.473321346,0.2393042276,-0.3031563845,0.2988518274
evo_metab__zwf_ale1__2,-1.4258003773,0.2570298734,0.15642705710000002,-0.7735962419
evo_metab__zwf_ale2__2,-1.1908448111,0.5993715673000001,-0.3864509325,0.552201809
evo_metab__del_ppk__2,-0.6201102755,-0.29793999200000004,-0.1519065852,-0.8925763084
evo_metab__ppk_ale1__2,0.10287121190000001,0.5399363953,0.6806433337000001,-0.3307539983
evo_metab__ppk_ale2__2,1.4471404433,0.6432476115,0.31860693370000004,-0.0847427925
evo_metab__ppk_ale3__2,-1.2045147564,0.39818870430000003,-0.2892611888,0.5469701481
evo_metab__del_dapF__2,-2.119921196,0.3077727451,-0.42236363260000004,0.4050206443
evo_metab__dapF_ale1__2,-5.445681903,0.3306992727,0.1403888461,0.1227693713
evo_metab__dapF_ale3__2,-1.7561446568,0.2386314115,-0.0757575604,0.1333388826
evo_metab__del_entC__2,-0.4887465503,-0.0847114092,-0.1816302283,-0.6395187523
evo_metab__entC_ale1__2,0.2877793138,0.1745617476,-0.1797194168,-0.7996679011000001
evo_metab__entC_ale2__2,-1.40253227,0.2712780349,-0.13779995450000002,-0.6043278028
evo_metab__entC_ale3__1,-0.1173437526,0.8281585592,0.6073946611000001,-0.5759000972
evo_metab__del_dgk__2,0.91315572,0.085546881,0.34119521340000003,-0.3767238396
evo_metab__dgk_ale1__2,-1.542845694,0.3236691081,0.7581212658,-0.5983663567
evo_metab__dgk_ale2__2,-0.4712203145,0.6443080229,0.5154123829,-0.4408326709
evo_metab__dgk_ale3__2,1.3524887696,0.8082016704,0.2941239856,-0.4835632328
evo_metab__wt__3,-0.3174108801,0.3361019602,0.172325913,-0.0928656047
evo_metab__del_zwf__3,-0.13913311420000002,0.2654814493,-0.4439718703,0.4730612467
evo_metab__zwf_ale1__3,-0.3499057572,0.8261892937,0.0086973497,-0.4965025159
evo_metab__zwf_ale2__3,-0.6323047601,0.5936811317,-0.6164464472,0.937686674
evo_metab__del_ppk__3,0.44933816940000004,0.3648421884,0.053220403900000005,-0.5416771679
evo_metab__ppk_ale1__3,-0.47360091990000003,0.3777062517,0.10319865410000001,-0.3201551307
evo_metab__ppk_ale2__3,0.7909917778000001,0.9189100529,-0.0333884279,-0.0215721621
evo_metab__ppk_ale3__3,-0.0003599144,0.4511582531,-0.31575431260000003,-0.5505744487
evo_metab__del_dapF__3,-2.0135763065,0.4712249797,-0.3134632012,0.48619148370000004
evo_metab__dapF_ale1__3,-6.442738575,0.2776864694,-0.018550898200000002,0.5802432265
evo_metab__dapF_ale3__3,-2.5259276486999998,0.7326588118,-0.0827694436,1.165862637
evo_metab__del_entC__3,1.7085344384,0.5442608645,-0.3260891038,-0.0692202319
evo_metab__entC_ale1__3,1.1067726878,0.6272006846,0.29177363640000004,-0.40790365240000004
evo_metab__entC_ale2__3,0.9513636717,0.4102405953,0.045940146800000005,0.4407461013
evo_metab__entC_ale3__2,1.3040701264,0.8388151188,0.11382351580000001,1.408665471
evo_metab__del_dgk__3,2.4936496174,0.29859192570000004,0.3269850664,0.042738676100000005
evo_metab__dgk_ale1__3,0.9822221757,0.6757836911,0.82210122,0.0839248721
evo_metab__dgk_ale2__3,1.1410479662,0.7411719197000001,0.4180364818,-0.5809031330000001
evo_metab__dgk_ale3__3,0.7036667081,1.0051847897,0.5487662847,-0.3899660364
flag_reg__wt__1,0.2289286245,-0.1107283708,0.061937895400000005,0.1923464719
flag_reg__del_fliA__1,-1.0490064209,-0.23858223,0.2076608883,-1.711097281
flag_reg__del_flhC__1,-0.979797263,0.0729934933,0.2231269013,-2.0219251252
flag_reg__del_flhD__1,-1.2262031001,0.1129788376,0.2444757187,-2.1997598417
flag_reg__wt__2,-0.2289286245,0.1107283708,-0.061937895400000005,-0.1923464719
flag_reg__del_fliA__2,0.11251675530000001,0.1892842218,0.2693166605,-2.0679082826
flag_reg__del_flhC__2,-0.6213496774,-0.1353630573,0.0792989986,-0.14313786950000001
flag_reg__del_flhD__2,-0.9545097324,-0.0185340348,0.318663322,-2.3397226878
flgM__27C__1,-3.8759819177,-0.8490749938000001,-0.3471298279,0.1362425543
flgM__27C__2,-2.5889905326,-0.9647983603,-0.1032984063,0.1599220302
flgM__27C__3,-2.878538508,-1.1294495891,-0.2918563456,0.2436083355
flgM__32C__1,-0.8953975092,-0.12635616900000002,-0.29845938510000003,-0.1879933597
flgM__32C__2,-1.9792617499,-0.39489686220000003,-0.08279309300000001,0.26625396630000003
flgM__32C__3,-2.5233797197,-0.3480953339,-0.18627491200000001,0.42716939930000003
flgM__37C__1,-0.0330660787,-0.0121347378,-0.027329876000000003,-0.0061595048
flgM__37C__2,-0.044172298900000004,0.0494788774,0.049488129000000006,-0.069949386
flgM__37C__3,0.0772383776,-0.0373441396,-0.022158253000000003,0.07610889080000001
flgM__42C__1,1.7634411383000002,0.7576385732,-0.4486649753,-0.5297944103000001
flgM__42C__2,2.0190210938,0.9431046971,-0.3501494416,-0.6642896328
flgM__42C__3,0.4387556126,0.8537377223,-0.11952192440000001,-0.3277928462
histone__untreated__1,0.0534029933,-0.0163377775,-0.166300465,0.5712476689
histone__untreated__2,-0.0865204713,0.048090766800000004,0.30160487210000003,-1.0995574143
histone__untreated__3,0.033117478,-0.0317529893,-0.1353044071,0.5283097454
histone__10ug_H2A__1,-0.4731206974,-0.13269479210000001,-0.2072180266,0.8768818141
histone__10ug_H2A__2,0.5857749576,0.051481310700000005,0.1160224864,0.0636169467
histone__10ug_H2A__3,-0.1118511622,0.0714123129,-0.1085947506,0.9974707260000001
histone__50ug_H2A__1,0.30112918780000003,0.0442279311,-0.5199680753,1.2879260527
histone__50ug_H2A__2,0.2506713135,0.137034095,-0.45243960980000003,1.3709184532
histone__50ug_H2A__3,0.07110149410000001,0.186168318,-0.3680062441,1.3983799799
histone__100ug_H2A__1,0.6374871196,0.1433802818,-0.4861784376,1.1499961223
histone__100ug_H2A__2,0.22743232730000001,0.08595340060000001,-0.4363581553,1.1396470917000001
histone__100ug_H2A__3,0.4604072034,0.0931276027,-0.4036338358,1.0567914625000001
hns__del_hns_spike__1,-3.0386980459,0.1060393208,-0.2230401091,-1.1052926719
hns__del_hns_spike__2,-3.6487119697,0.0888671011,0.39528289040000003,-1.3312651534
hns__del_hns__1,-3.681314721,0.1404319746,-0.1729213595,-1.5201382561
hns__del_hns__2,-4.8068493872,0.0189015813,0.407822526,-1.6776752412
hns__wt_spike__1,-0.7186372579,-0.1111400211,0.0782749219,0.0265722918
hns__wt_spike__2,-2.1214704665,-0.016306537200000002,0.1140304214,-3.8579550617000002
hns__wt__1,-0.032695957500000004,-0.0863627871,-0.0190362035,0.31979949490000004
hns__wt__2,0.032695957500000004,0.0863627871,0.0190362035,-0.31979949490000004
hns_stpA__evo100G4_delhns_delstpA__1,3.1710315824,0.1047828997,-0.0466006101,-2.1858454207
hns_stpA__evo100G4_delhns_delstpA__2,2.3960507233,0.0644014056,-0.1875257904,-1.7172529304
hns_stpA__evo100G12_delhns_delstpA__1,-1.8885833963,-0.8838700392000001,-0.177553182,-1.2598358463000001
hns_stpA__evo100G12_delhns_delstpA__2,-1.8615583339000001,-1.0084836966,-0.4664110883,-0.8559229713000001
hns_stpA__delhns_delstpA_delrpoS__1,-2.5555887041,-1.2789758862,-0.2914650615,-2.2062714097000002
hns_stpA__delhns_delstpA_delrpoS__2,-3.0069672426,-1.155691582,-0.8738962645,-2.4095209542
hns_stpA__wt__1,0.1153987201,0.1921785202,0.40732705750000003,0.3088309743
hns_stpA__wt__2,-0.1153987201,-0.1921785202,-0.40732705750000003,-0.3088309743
hns_stpA__delhns_delstpA__1,-3.7383382194,-1.5072664331999999,-1.8599015637,-0.31983821960000003
hns_stpA__delhns_delstpA__2,-2.5864347063,-1.195532294,-1.3868898976000001,-0.2689605427
hu__wt_log_pH7__1,2.4344330705,-1.1030861266,-0.8588249960000001,0.7069161443
hu__wt_log_pH7__2,2.400010798,-0.4917050209,-0.301371953,1.0665382119
hu__wt_log_pH7__3,3.4991929885,-0.6736745421,0.22485941010000002,1.302273445
hu__wt_lag_pH7__1,-0.2112664518,-0.1751093216,0.1405984791,0.14838438
hu__wt_lag_pH7__2,-0.34787435850000004,-0.2415445766,-0.09463203070000001,0.6414110259
hu__wt_lag_pH7__3,0.5591408103000001,0.41665389820000004,-0.0459664484,-0.7897954059000001
hu__delhupA_lag_pH7__1,0.8201923917,0.3235166907,0.0943295256,0.1643481277
hu__delhupA_lag_pH7__2,1.2980097137,0.4001351258,-0.2204134013,0.34969755950000003
hu__delhupA_lag_pH7__3,2.400579479,0.3656444989,-0.1512669687,-1.0195621588
hu__delhupB_lag_pH7__1,1.1073678054,0.090882552,-0.06965403120000001,0.4301883839
hu__delhupB_lag_pH7__2,1.6749645569,0.22825149790000002,-0.139269807,0.7249315738000001
hu__delhupB_lag_pH7__3,1.5405491198,0.2969797455,-0.35465874940000003,-1.7069183635
hu__delhupAhupB_lag_pH7__1,4.5643517155,0.3150847705,-0.9398486434000001,0.2134680924
hu__delhupAhupB_lag_pH7__2,4.6999461367,0.4855687501,-0.5111918579,-0.0053657539
hu__delhupAhupB_lag_pH7__3,5.5065674685,0.6488826698,-0.4789754252,-0.14126167280000002
hu__hupAE34K_hupB_lag_pH7__1,0.6824315914,-0.4124076951,0.4029526272,0.0871457241
hu__hupAE34K_hupB_lag_pH7__2,0.7200498858000001,-0.0873738418,0.42251703500000004,1.217563164
hu__hupAE34K_hupB_lag_pH7__3,0.40465854300000004,0.1959267901,-0.08748829670000001,-0.3010883905
hu__hupAE34K_delhupB_lag_pH7__1,0.2011992869,-0.1880878976,0.1527884475,-0.10128049880000001
hu__hupAE34K_delhupB_lag_pH7__2,1.3900853697,-0.060296756900000005,0.17347024390000002,0.540776955
hu__hupAE34K_delhupB_lag_pH7__3,1.0657575018,0.2957871047,-0.1152135953,-0.5845548767000001
hu__wt_lag_pH5__1,-0.36952852340000003,-0.1123953988,-0.5430414218,0.39451919160000004
hu__wt_lag_pH5__2,1.2938354804,0.5131987121,0.0636323919,1.2881209408
hu__wt_lag_pH5__3,1.4862299313,0.423740944,-0.7911169323,1.0386299638
hu__delhupA_lag_pH5__1,0.8517198349,0.1260570567,-0.8152079459,0.6465372989
hu__delhupA_lag_pH5__2,2.2547960187,0.7175652871,-0.1206294564,1.1574408066
hu__delhupA_lag_pH5__3,1.9220599287,0.6222590215,-1.0581794957,1.0192335089
hu__delhupAhupB_lag_pH5__1,2.5278922851,0.48661065540000004,-0.9028232545,0.8009745361
hu__delhupAhupB_lag_pH5__2,4.6640299148,1.0938006235,-0.6453287421,0.9306347779
hu__delhupAhupB_lag_pH5__3,3.4876326112,0.8129776779000001,-1.3796494343,0.9559909479
hu__hupAE34K_hupB_lag_pH5__1,-0.091982694,-0.1483346281,-0.6327261777000001,0.27203125
hu__hupAE34K_hupB_lag_pH5__2,1.6665505516999999,0.25830475140000003,-1.1771553878,0.6989991289
hu__hupAE34K_hupB_lag_pH5__3,1.2946915709,0.4269677143,-0.6971212807,1.0425824158
hu__hupAE34K_delhupB_lag_pH5__1,0.8426706975,0.007838311,-1.5489455499,0.3540170483
hu__hupAE34K_delhupB_lag_pH5__2,1.9509199123,0.4055616468,-0.3943566066,0.6657261434
hu__hupAE34K_delhupB_lag_pH5__3,1.7642914840000001,0.3370449921,-1.3013507872,0.6078756742
hyperpersistence__low_GFP__1,-10.2940636915,-1.1183079552,0.4344882761,-4.6635642422
hyperpersistence__wt__1,-0.4862816465,-0.1689918057,-0.1384092307,-0.12998776880000001
hyperpersistence__high_GFP__1,-12.2909168584,-1.2977390411,0.6570035767,-3.5570142477
hyperpersistence__pth_mut__1,-2.8035413572000003,0.025532454200000002,-0.1604676477,-0.6443981454000001
hyperpersistence__pth_mut__2,-4.7351739011,-0.2958334456,-0.3276004142,-0.9977507590000001
hyperpersistence__metG_mut__1,-4.0964417553,-0.2605922028,0.1550975114,-0.5104465322
hyperpersistence__metG_mut__2,-3.3234512258,0.1023701089,0.0212995209,-0.6036907708
hyperpersistence__high_GFP__2,-11.5732090755,-1.3901587418,0.1208706561,-2.1762086349
hyperpersistence__wt__2,0.4862816465,0.1689918057,0.1384092307,0.12998776880000001
hyperpersistence__low_GFP__2,-10.7103083382,-1.2978310859,-0.07967495320000001,-2.4269280222000003
kan_efg__cpxAF218Y__1,-1.1653606118,-0.0085727118,0.46402978910000003,-1.3514499675
kan_efg__cpxAF218Y__2,-1.5613785051,0.1121772826,0.5527841122,-1.4962345218
kan_efg__cyaAN600Y__1,-2.0162160286,-0.1554081559,0.8341211708,-1.6097597656
kan_efg__cyaAN600Y__2,-2.7277807749000003,0.07569523880000001,1.1477726132,-3.5873117808
kan_efg__fusAA608E__1,0.7689065598,0.5972066123,0.33836540400000004,0.6791230543
kan_efg__fusAA608E__2,0.0290649039,0.24001148700000002,0.381333474,0.4641500307
kan_efg__fusAA608E_cpxAF218Y__1,0.4401485392,0.1630747985,0.6127465055,0.2528009282
kan_efg__fusAA608E_cpxAF218Y__2,0.8252287695,0.2846199665,0.798155798,0.3289023686
kan_efg__fusAA608E_cyaAN600Y__1,-0.736566648,0.2447269599,0.7658708478,-0.7415588865
kan_efg__fusAA608E_cyaAN600Y__2,-1.1205332033,0.1697871931,0.7917322202,-1.2965032571
kan_efg__fusAA608E_rpoDL261Q__1,0.0249401703,0.6253472578,0.2294695264,0.051437995800000004
kan_efg__fusAA608E_rpoDL261Q__2,0.6936131025000001,0.8345426157,0.3024010706,0.5382818952
kan_efg__fusAA608E_topAS180L__1,2.2318963874,1.3833136963000001,0.2628394297,-0.381136521
kan_efg__fusAA608E_topAS180L__2,1.6672567751,1.1800674861,0.4614202993,-0.27900230730000003
kan_efg__rpoDL261Q__1,0.2572206677,0.25492556,0.0909169529,-0.0354794415
kan_efg__rpoDL261Q__2,-0.2144743559,0.4553246624,0.29353073620000003,-0.5148452649
kan_efg__wt__1,0.37817957500000005,0.059732626100000005,-0.1239890289,0.21838909780000001
kan_efg__wt__2,-0.37817957500000005,-0.059732626100000005,0.1239890289,-0.21838909780000001
lrp__wt_min_log__1,0.12322258800000001,-0.19750556390000001,0.0444698815,0.0381163923
lrp__wt_min_log__2,-0.12322258800000001,0.19750556390000001,-0.0444698815,-0.0381163923
lrp__wt_min_trans__1,3.6421469826,1.4086249425,1.3256391643,-0.2377635457
lrp__wt_min_trans__2,-0.16618426490000002,0.9777072935000001,1.1533173525,0.017877099100000002
lrp__wt_min_stat__1,-5.3756994875,0.6002696403000001,0.0372085014,-2.5736084088
lrp__wt_min_stat__2,-3.5943326849,0.4352588658,-0.1850217714,-2.2105156668
lrp__wt_liv_log__1,0.2826867018,0.4656760481,-0.0618399517,0.4838367602
lrp__wt_liv_log__2,0.0052093891000000005,0.367657679,-0.033535556200000004,0.2075991261
lrp__wt_liv_trans__1,3.8647809036,0.040509444900000004,-0.365600286,-0.17641870310000002
lrp__wt_liv_trans__2,3.4076999247,-0.1129053735,-0.6593636620000001,-0.0481857944
lrp__wt_liv_stat__1,-5.0434720108,0.6338818178,0.3918088329,-2.9279517938
lrp__wt_liv_stat__2,-5.2788088196,0.5858537650000001,-0.15276592760000002,-2.4988127231
lrp__wt_rich_log__1,3.4817689519,0.2895498347,0.1349487458,2.1673554024
lrp__wt_rich_log__2,3.4852477536,0.3619278885,0.056252234500000005,2.1606768841
lrp__wt_rich_trans__1,4.3924490474,0.10808280960000001,-0.2591893481,-2.3856707714
lrp__wt_rich_trans__2,3.4665506742,-0.2792346372,-0.7587822385,-2.2386958793
lrp__wt_rich_stat__1,-3.2850250353,-0.6791155852,-0.9451234367,-1.8391763783
lrp__wt_rich_stat__2,-3.1062921584,-0.5961385173,-0.9889414083,-2.1333657584
lrp__dellrp_min_log__1,0.3280656661,0.5867723694,0.0722146651,-0.2595809441
lrp__dellrp_min_log__2,0.2878856367,0.3140732365,-0.0679927827,-0.033250292
lrp__dellrp_min_trans__1,2.6387632818,0.42372851180000004,0.0156131128,0.2033357349
lrp__dellrp_min_trans__2,2.1920436968,0.23460692460000002,-0.5771992589,0.3201501442
lrp__dellrp_min_stat__1,-7.1031579607,-0.6810318221,-0.2370431217,-2.2656263836
lrp__dellrp_min_stat__2,-6.4226947777,-0.3662391869,-0.4925170908,-2.261559559
lrp__dellrp_liv_log__1,-0.2881404025,0.23764394160000002,-0.37196222030000003,0.0589547733
lrp__dellrp_liv_log__2,-0.5899580324,0.0684545418,-0.4504566807,-0.1938711418
lrp__dellrp_liv_trans__1,2.5564269876,0.1133231301,-0.4858500673,-0.7052430446
lrp__dellrp_liv_trans__2,1.7704590984,-0.31420630050000004,-0.43866172610000004,-0.9460967235000001
lrp__dellrp_liv_stat__1,-6.2076639812,-0.0352780152,-0.0760758962,-1.893464644
lrp__dellrp_liv_stat__2,-7.1878827333,-0.2301106708,-0.47137993840000003,-1.8699150123
lrp__dellrp_rich_log__1,3.7930244616,0.5388792923,0.0989304379,2.2563992238
lrp__dellrp_rich_log__2,3.4187544412,0.428584014,0.18235185080000002,2.2285232058
lrp__dellrp_rich_trans__1,7.4933386828,0.46798441900000004,-0.1480671098,-2.2365152565
lrp__dellrp_rich_trans__2,6.0884157713,0.5844714953,-0.2919650744,-2.2195866643
lrp__dellrp_rich_stat__1,0.3410291272,0.1541210721,0.2631776923,0.3374656408
lrp__dellrp_rich_stat__2,0.1102832172,-0.0188251269,0.34377965050000003,0.3317472213
mazF_circuit__t0__1,0.5657679374,0.3452437726,-0.0077362951,-0.0302060457
mazF_circuit__t2__1,-0.5754868235,-0.3064365081,0.0912360982,-0.3671143953
mazF_circuit__t4__1,-1.5027436914,-0.6612990255,-0.0070642378,0.0778278535
mazF_circuit__t6__1,-3.3381944087,-0.0855286358,-0.36628629160000004,0.8129450082
mazF_circuit__t8__1,-5.1501065074,0.4397172233,-0.1124386022,0.4747803356
mazF_circuit__t0__2,-0.5657679374,-0.3452437726,0.0077362951,0.0302060457
mazF_circuit__t2__2,-0.6974602765,-0.22480835810000002,-0.0465158766,0.1695179899
mazF_circuit__t4__2,-1.29799466,-0.46512027980000004,-0.38577279880000004,0.22959542900000002
mazF_circuit__t6__2,-4.6819521772,-0.30517336100000003,-0.469292142,0.1320666098
mazF_circuit__t8__2,-3.6108864951,0.4809707335,-0.12094615630000001,0.2528359551
mazF_ribo__emptyvec_mrna_5m__1,-0.059703009700000004,-0.0601611162,-0.0331419783,0.0757607705
mazF_ribo__emptyvec_mrna_5m__2,0.059703009700000004,0.0601611162,0.0331419783,-0.0757607705
mazF_ribo__mazF_mrna_5m__1,-4.7949583925,0.6234929192,0.36147036060000004,1.7401411908000002
mazF_ribo__mazF_mrna_5m__2,-4.7001457635,0.6617444521,0.42766632520000003,1.587468528
mazF_ribo__emptyvec_total_5m__1,-1.1163088779,-0.4349766787,-0.1631326176,0.4754744534
mazF_ribo__emptyvec_total_5m__2,-1.7858540266,0.016148106000000002,-0.46439908900000004,0.5676763015
mazF_ribo__mazF_total_60m__1,-1.9275188144,1.6232450294,1.1375944172,1.4427717624
