,A,purR
pal__5drib_ale10_f18__2,-6.686402419219999,8.35099371589116
pal__5drib_ale10__1,-6.37106380975,8.49400031932571
pal__arab_ale14_f9__1,-2.45574301503,8.40393702756537
pal__arab_ale14_f9__2,-2.3973864147099997,8.30550354023499
pal__arab_ale14__1,0.130435302615,8.44999726164428
pal__arab_ale14__2,0.331411895191,8.514787775102139
pal__arab_ale16__1,-3.25105868622,8.4657772868579
pal__arab_ale16__2,-4.73181344489,8.62523498746717
pal__tartr_ale26_f10__1,-5.93967482207,8.42628586327217
pal__tartr_ale26_f10__2,-6.22734424023,8.2168727416392
pal__tartr_ale26__1,-4.961025616190001,8.38685339963326
pal__tartr_ale26__2,-4.39484629034,8.28555362184562
pal__tartr_ale28_f10__1,-6.37597845408,8.429028032800339
pal__tartr_ale28_f10__2,-6.4598422247,8.536319541759289
pal__tartr_ale28__1,-2.5307744511099997,8.20141650493628
pal__tartr_ale28__2,-3.42261131775,8.47409624775497
efeU__delmenFentC_citr__1,-1.51160870824,8.5121898887958
efeU__delmenFentC_citr__2,-2.4389184314,8.200562658942191
efeU__delmenFentC__1,-3.57857376988,8.63290587891821
efeU__delmenFentC__2,-4.00720839638,8.523983949986711
efeU__menFentC_ale39__1,-12.294931338800001,7.436576074897769
efeU__menFentC_ale39__2,-12.8816674602,7.37887252240269
efeU__menFentC_ale29__1,-18.7794927314,6.616386440117531
efeU__menFentC_ale29__2,-18.234550576,6.468871593373049
efeU__menFentC_ale30__1,-0.483904333341,8.7411457753018
efeU__menFentC_ale30__2,0.0109104924076,8.90579787542141
efeU__menFentCubiC_ale36__1,-1.2418859179200001,8.948530235199929
efeU__menFentCubiC_ale36__2,-1.67646100861,8.87558342731068
efeU__menFentCubiC_ale37__1,-2.4368697523800003,8.72846522298286
efeU__menFentCubiC_ale37__2,-2.65668501162,8.831802688878279
efeU__menFentCubiC_ale38__1,-1.45817301959,8.57883974272854
efeU__menFentCubiC_ale38__2,-1.33735581074,8.6874294802299
