,A,CreB
cstr_pfr__str_ref1__1,0.0483551474,-0.076588054
cstr_pfr__str_ref2__1,-0.029876308900000002,-0.1899427665
cstr_pfr__str_ref3__1,-0.0968680839,-0.07583957200000001
cstr_pfr__pfr_P5_0005m__1,0.2168341271,-0.303873917
cstr_pfr__pfr_P5_0010m__1,0.2534774296,-0.3153855727
cstr_pfr__pfr_P5_0025m__1,0.0593625567,-0.1841818744
cstr_pfr__pfr_P3_0025m__1,-0.2433807128,-0.1625098295
cstr_pfr__pfr_P1_0025m__1,-0.3436797098,-0.0054688642
cstr_pfr__pfr_P5_0045m__1,0.0704052649,-0.29887141310000004
cstr_pfr__pfr_P5_0120m__1,0.432627234,-0.19837984020000002
cstr_pfr__pfr_P3_0120m__1,-0.09153631420000001,-0.14780036330000001
cstr_pfr__pfr_P1_0120m__1,-0.573616629,-0.2631210983
cstr_pfr__pfr_P5_0210m__1,0.7052713686000001,0.0378860842
cstr_pfr__pfr_P5_1500m__1,0.005333957,-0.1690475679
cstr_pfr__pfr_P3_1680m__1,-0.0285550358,-0.19996525950000002
cstr_pfr__pfr_P5_1680m__1,0.0807302793,-0.1853197229
cstr_pfr__pfr_P1_1680m__1,-0.0108062409,-0.0976757016
cstr_pfr__str_0005m__2,-0.0841492229,-0.3310542356
cstr_pfr__str_0010m__2,-0.3443703278,-0.3614012997
cstr_pfr__str_0025m__2,-0.16744213700000002,-0.24361789500000003
cstr_pfr__str_0045m__2,-0.2244193794,-0.1496412097
cstr_pfr__str_0075m__2,-0.3893636736,-0.146944289
cstr_pfr__str_0120m__2,-0.599158439,-0.220131805
cstr_pfr__str_0210m__2,-0.5312690282,-0.1779792418
cstr_pfr__str_0330m__2,-0.029977349900000002,-0.212386813
cstr_pfr__str_1500m__2,-0.4437706849,0.1033157756
cstr_pfr__str_1560m__2,-0.1582021159,-0.0712013007
cstr_pfr__str_1680m__2,0.2033305718,-0.0221537487
cstr_pfr__str_ref1__2,-0.0483551474,0.076588054
cstr_pfr__str_ref2__2,-0.3160937816,-0.045039971000000005
cstr_pfr__str_ref3__2,0.0690127881,-0.1077309936
cstr_pfr__pfr_P5_0005m__2,0.7164623339,-0.1914489049
cstr_pfr__pfr_P5_0010m__2,0.4083019842,-0.43209391950000003
cstr_pfr__pfr_P5_0025m__2,-0.1580838591,-0.1315324618
cstr_pfr__pfr_P3_0025m__2,0.0647782793,-0.44397065210000003
cstr_pfr__pfr_P1_0025m__2,-0.17510533620000002,-0.3538826295
cstr_pfr__pfr_P5_0045m__2,-0.4462463669,-0.4756779451
cstr_pfr__pfr_P5_0120m__2,-0.3098095455,-0.2574201599
cstr_pfr__pfr_P3_0120m__2,-0.30752730300000003,-0.2644753027
cstr_pfr__pfr_P1_0120m__2,-0.5063666463000001,-0.2404270137
cstr_pfr__pfr_P5_0210m__2,-0.1068311631,-0.0308385673
cstr_pfr__pfr_P5_1500m__2,0.0569878381,-0.0899681926
cstr_pfr__pfr_P3_1680m__2,-0.0301663704,-0.0049684311
cstr_pfr__pfr_P5_1680m__2,-0.14533482790000002,-0.0810355844
cstr_pfr__pfr_P1_1680m__2,-0.015640459000000002,0.0064916057
darobactin__daro_30m__1,-1.7753500273,0.3595844825
darobactin__daro_30m__2,-0.25159547990000003,0.0781770307
darobactin__solv_1h__1,-0.7450816727,1.2737732299
darobactin__solv_1h__2,-0.6152174093,1.0455626331
darobactin__daro_1h__1,-0.9889811075,1.1750606027
darobactin__solv_1h__3,-0.8265276565,1.390601747
darobactin__daro_1h__2,-0.9145353044000001,1.1743546585
darobactin__daro_1h__3,-2.1513675912,1.4965341338
darobactin__daro_30m__3,-0.8575082997,0.5184042995
darobactin__solv_30m__1,-0.3353631435,0.0776321638
darobactin__solv_15m__1,0.4352740438,-0.3100509911
darobactin__solv_15m__2,-0.3102198151,0.4281969156
darobactin__daro_15m__1,-0.6241275236,-0.060607227900000005
darobactin__solv_15m__3,-0.1250542288,-0.11814592460000001
darobactin__daro_15m__2,0.4947008566,-0.015108161
darobactin__daro_15m__3,0.7436804825000001,0.1549454699
darobactin__solv_30m__2,-0.4124853592,-0.18455015
darobactin__solv_30m__3,0.6878268164,-0.0573077738
ddp__pNT3_aroP__1,0.817676403,0.6779208133
ddp__pNT3_aroP__2,0.0981818971,0.5641507407
ddp__pNT3_bamC__1,2.3910905287,1.6200852159
ddp__pNT3_bamC__2,1.5189950938,1.784331813
ddp__pNT3_cusA__1,3.7478682058,1.7517247951
ddp__pNT3_cusA__2,2.9327096492,2.2712033387
ddp__pNT3_hemX__1,4.7153372279,0.8687379522
ddp__pNT3_hemX__2,4.5376424871,0.6594012423000001
ddp__pNT3_empty__1,0.19236722750000002,0.2781328627
ddp__pNT3_empty__2,-0.19236722750000002,-0.2781328627
ddp__pNT3_topA__1,1.4726145636,1.1017680369
ddp__pNT3_topA__2,0.7757845803000001,0.8963659899
ddp__pNT3_yicR__1,1.5893057628,0.8427500718000001
ddp__pNT3_yicR__2,1.3902159989,1.0757011262
ddp__pNT3_yqjD__1,1.0972087405,0.45976617340000003
ddp__pNT3_yqjD__2,0.2409806441,0.3594972168
ecomics__del_gabT__1,-0.1710970574,-0.011061174600000001
ecomics__del_gabT__2,0.1710970574,0.011061174600000001
ecomics__del_putP__1,0.5981912801,0.0330088451
ecomics__del_putP__2,-0.21094147100000002,-0.1124643512
ecomics__del_entF__1,0.6940290946000001,0.6191116349
ecomics__del_entF__2,-0.1955372649,0.394502469
ecomics__del_entF__3,-0.8957648927,0.3825081815
ecomics__del_cysA__1,-0.3609409731,0.7845262860000001
ecomics__del_cysA__2,-0.34172737750000004,0.8046788116
elyC__wt_21C__1,0.8734427828,-0.0928896458
elyC__wt_21C__2,0.6347909029000001,-0.217875178
elyC__wt_21C__3,0.8590590418,-0.28102946970000003
elyC__wt_37C__1,-0.1113817845,-0.0442336792
elyC__wt_37C__2,0.022566690900000002,0.129918001
elyC__wt_37C__3,0.0888150936,-0.0856843218
elyC__delelyC_21C__1,1.1932833247,-0.17822829140000002
elyC__delelyC_21C__2,0.9376345420000001,-0.0860231665
elyC__delelyC_21C__3,1.1542594002,-0.2643340373
elyC__delelyC_37C__1,0.3007048738,0.11346349680000001
elyC__delelyC_37C__2,0.1764920077,-0.0049274299
elyC__delelyC_37C__3,0.355462174,0.1958695769
evo_acid_w__F9_2__1,-0.4728467409,0.1877099692
evo_acid_w__F11_1__1,1.4671078854,1.0567224185
evo_acid_w__F11_1__2,1.3092531153,0.8597011368
evo_acid_w__F11_1__3,1.057332821,1.000526675
evo_acid_w__wt__1,0.6867884741,0.40902481420000003
evo_acid_w__F11_2__1,0.4930443852,0.8624226475000001
evo_acid_w__B11_2__1,0.029600879400000002,0.7053595074
evo_acid_w__F11_2__2,0.8655296557000001,0.8611676376
evo_acid_w__wt__2,0.6499685583,0.5401730643
evo_acid_w__B11_1__1,-0.1376528149,0.027150095000000003
evo_acid_w__H9_1__1,5.1456007087,-0.046949077000000006
evo_acid_w__H9_2__1,0.38574327340000003,0.6519315127
evo_acid_w__B11_2__2,-0.2125060759,0.6113911694
evo_acid_w__wt__3,0.6826655034,0.8664686638
evo_acid_w__H9_2__2,0.43126274740000003,0.7058657996000001
evo_acid_w__B11_2__3,-0.2302411068,0.6448927553
evo_acid_w__F11_2__3,0.4808909662,0.9584872284
evo_acid_w__F9_2__2,-0.5254728874,0.0188196449
evo_acid_w__wt__4,0.2144302052,-0.1400668236
evo_acid_w__wt__5,0.048203127400000004,0.3742800364
evo_acid_w__wt__6,-0.8809599115000001,-0.8640005069000001
evo_acid_w__H9_1__2,5.4810031568,-0.1602319579
evo_acid_w__F9_1__1,1.8658510189,0.8087509396
evo_acid_w__F9_1__2,1.6575234687,0.6657293830000001
evo_acid_w__B11_1__2,-0.0701188162,0.3135566293
evo_acid_w__H9_2__3,0.12568990530000002,0.6446328195000001
evo_acid_w__wt__7,0.1182814509,-0.32948952130000003
evo_acid_w__F9_1__3,2.1279664217,0.6617878633000001
evo_acid_w__F9_2__3,-0.6797910838,-0.0720597321
evo_acid_w__wt__8,-0.874827495,-0.5442612048000001
evo_acid_w__B11_1__3,-0.4752853604,0.3184379748
evo_acid_w__wt__9,-0.6445499128000001,-0.3121285221
evo_bz__c3_1_bz__1,1.5059079457,-0.3566976122
evo_bz__c3_1_bz__2,-0.6389684132,-0.44024809530000003
evo_bz__c3_1_bz__3,-0.40484075680000003,-0.29158700060000003
evo_bz__c3_1_bz__4,-0.45166382110000003,-0.6504494674
evo_bz__g5_1_bz__1,0.9817224929,0.1890474715
evo_bz__g5_1_bz__2,1.5224899287,-0.3961375311
evo_bz__g5_1_bz__3,0.6836366140000001,-0.011562324700000001
evo_bz__g5_1_bz__4,1.1466926624,-0.0631553404
evo_bz__g5_1_bz__5,0.7376605612,0.030599552000000002
evo_bz__g5_1_bz__6,1.0743238749,0.1028877713
evo_bz__w3110d13__1,-0.35774133220000004,0.2858035688
evo_bz__w3110d13__2,-0.314021143,-0.061632036300000005
evo_bz__w3110d13__3,0.30463266510000003,-0.19229036260000001
evo_bz__w3110d13__4,-0.5644176945,0.1927085749
evo_bz__w3110d13__5,0.2746403653,-0.35414432230000004
evo_bz__w3110d13__6,0.6569071393,0.12955457750000002
evo_bz__w3110d13_bz__1,-0.1967102346,-0.4035811459
evo_bz__w3110d13_bz__2,-0.5552484577,-1.0226614569
evo_bz__w3110d13_bz__3,0.28964143670000003,-0.27880369450000003
evo_bz__w3110d13_bz__4,-0.7116655957,-0.45611719030000003
evo_bz__c3_1_bz__5,1.0928080221,-0.5696093903
evo_bz__c3_1_bz__6,1.3231425695999999,-0.49017547240000003
evo_bz__g5_2_bz__1,-0.3679424291,-0.7356909307
evo_bz__g5_2_bz__2,-0.4172053626,-0.5799966129
evo_bz__g5_2_bz__3,-0.661062369,-0.6625088175
evo_bz__g5_2_bz__4,0.3766047859,-0.6084590176
evo_bz__g5_2_bz__5,0.38888004860000003,-0.5777254469
evo_bz__g5_2_bz__6,0.6340288358,-0.5892159025
evo_bz__w3110d13_bz__5,0.34845462850000003,-0.37271562950000003
evo_bz__w3110d13_bz__6,0.7780136161000001,-0.240036517
evo_bz__a1_1_bz__1,-0.1780980006,-0.5220816549
evo_bz__a1_1_bz__2,-0.8920123,-0.5143723324
evo_bz__a1_1_bz__3,0.6679528772000001,-0.053527610600000004
evo_bz__a1_1_bz__4,-1.0680418448,0.1915225865
evo_bz__a1_1_bz__5,0.4220950177,-0.298610015
evo_bz__a1_1_bz__6,0.6364283899000001,-0.10879740880000001
evo_metab__wt__1,1.7559884499,-0.3824361247
evo_metab__del_zwf__1,0.7047450982,-0.2022002128
evo_metab__zwf_ale1__1,1.3962792152,-0.7239423527000001
evo_metab__zwf_ale2__1,0.7729084365000001,0.2368393993
evo_metab__del_ppk__1,-0.7383283614,-0.1263904673
evo_metab__ppk_ale1__1,-1.0842107361,-0.2820250789
evo_metab__ppk_ale2__1,0.8985203088,-0.8713895818
evo_metab__ppk_ale3__1,0.4370043865,-0.3708017516
evo_metab__del_dapF__1,1.8501984139,-0.5715171338
evo_metab__dapF_ale1__1,1.2670612901,-0.5359493294000001
evo_metab__dapF_ale3__1,-0.5837129468000001,-0.25716596480000004
evo_metab__del_entC__1,-0.42765305340000004,-0.0043125305
evo_metab__entC_ale1__1,-0.6402919761,0.07163748410000001
evo_metab__entC_ale2__1,0.5169583113,-0.4794815443
evo_metab__del_dgk__1,-1.1918420838000001,0.1219377985
evo_metab__dgk_ale1__1,-0.906092678,0.0430276278
evo_metab__dgk_ale2__1,0.1489852942,-0.201250741
evo_metab__dgk_ale3__1,-0.2237056484,0.1227549153
evo_metab__wt__2,-1.1542161556,0.0875764234
evo_metab__del_zwf__2,0.25772593390000004,0.2560562228
evo_metab__zwf_ale1__2,-0.45120200460000004,-0.3122436925
evo_metab__zwf_ale2__2,-0.1001110202,0.4664160402
evo_metab__del_ppk__2,-0.9774342958000001,0.022834626
evo_metab__ppk_ale1__2,-0.2751994857,-0.1699750922
evo_metab__ppk_ale2__2,-1.4264311855,-0.09551853090000001
evo_metab__ppk_ale3__2,-0.8031072747,0.2889311155
evo_metab__del_dapF__2,-0.38815493440000004,-0.2876566755
evo_metab__dapF_ale1__2,0.1686062471,-0.3629415064
evo_metab__dapF_ale3__2,0.4618812379,-0.126372028
evo_metab__del_entC__2,-0.9951859939000001,0.32569993210000003
evo_metab__entC_ale1__2,-1.1766455486,-0.1688988713
evo_metab__entC_ale2__2,-0.6947874164000001,0.0657112722
evo_metab__entC_ale3__1,-0.6873956480000001,0.2026051982
evo_metab__del_dgk__2,-0.6568116401,0.172885364
evo_metab__dgk_ale1__2,-0.7199032606,0.0245946928
evo_metab__dgk_ale2__2,-1.514574213,-0.1357676196
evo_metab__dgk_ale3__2,-1.2667721459,0.0047614369
evo_metab__wt__3,-0.6017722943,0.2948597012
evo_metab__del_zwf__3,-1.3549677029,0.0855260307
evo_metab__zwf_ale1__3,-0.8201798998000001,-0.4053922479
evo_metab__zwf_ale2__3,-0.35540012660000003,0.3816831881
evo_metab__del_ppk__3,-0.2466501904,0.5235968824
evo_metab__ppk_ale1__3,-0.4005703935,0.3755959849
evo_metab__ppk_ale2__3,-0.7448555353,0.1921797656
evo_metab__ppk_ale3__3,-0.8328168351,0.1796718358
evo_metab__del_dapF__3,-0.5151408762,-0.1769427664
evo_metab__dapF_ale1__3,-0.19492440960000001,-0.4593320797
evo_metab__dapF_ale3__3,-0.4203950386,0.0128452002
evo_metab__del_entC__3,-1.1071446393,0.2122341851
evo_metab__entC_ale1__3,-0.955996367,0.3335318452
evo_metab__entC_ale2__3,-1.2436152948,0.5332987442
evo_metab__entC_ale3__2,-0.45011110470000004,0.5190299172
evo_metab__del_dgk__3,-0.6008933263,0.5156592320000001
evo_metab__dgk_ale1__3,-1.0336972798,0.2923583515
evo_metab__dgk_ale2__3,-0.9658011461,0.4540683985
evo_metab__dgk_ale3__3,-1.6158848244000001,-0.0108887568
flag_reg__wt__1,-0.010854592500000001,-0.0340324146
flag_reg__del_fliA__1,-0.061754716800000005,-0.1849034597
flag_reg__del_flhC__1,0.2001112623,-0.048937791800000005
flag_reg__del_flhD__1,0.3523931395,-0.1945080686
flag_reg__wt__2,0.010854592500000001,0.0340324146
flag_reg__del_fliA__2,0.2286450321,0.1976264245
flag_reg__del_flhC__2,-0.1384312875,-0.2329833353
flag_reg__del_flhD__2,0.11448081800000001,-0.0847053389
flgM__27C__1,0.4581240961,-0.5272221262
flgM__27C__2,0.7747043092,-0.3162404053
flgM__27C__3,0.5754645328,-0.5245569097
flgM__32C__1,-0.0093404318,-0.0424052987
flgM__32C__2,0.5155874631,0.174745343
flgM__32C__3,0.30974835,-0.054451203000000004
flgM__37C__1,-0.12183628810000001,0.0002058354
flgM__37C__2,0.2928869249,0.0477272179
flgM__37C__3,-0.17105063680000002,-0.0479330533
flgM__42C__1,-0.5220511067,0.3528646361
flgM__42C__2,-0.2596515861,0.35661498140000003
flgM__42C__3,0.5405396421,0.5546984638
histone__untreated__1,-0.0658985463,-0.144759742
histone__untreated__2,0.3056454925,-0.0655158203
histone__untreated__3,-0.2397469462,0.2102755623
histone__10ug_H2A__1,-0.299060967,0.0110546421
histone__10ug_H2A__2,0.1212690317,-0.1743478014
histone__10ug_H2A__3,-0.8639742342000001,0.1729830718
histone__50ug_H2A__1,-0.6250252363000001,0.0027526326000000003
histone__50ug_H2A__2,-0.8555975526,0.33770356220000003
histone__50ug_H2A__3,-0.6069161213,0.3892326193
histone__100ug_H2A__1,-0.6423566273,0.2548097219
histone__100ug_H2A__2,-0.3445459637,0.4615378191
histone__100ug_H2A__3,-0.32003695930000003,0.41043921120000004
hns__del_hns_spike__1,-0.6232945101,0.1683915255
hns__del_hns_spike__2,0.48514358020000004,0.2435137621
hns__del_hns__1,-0.9068072969000001,0.039370839500000004
hns__del_hns__2,0.24887354220000002,-0.0111457784
hns__wt_spike__1,-0.0854886048,-0.34089359610000003
hns__wt_spike__2,-1.159769713,0.6903393830000001
hns__wt__1,0.2404802021,-0.14987494140000002
hns__wt__2,-0.2404802021,0.14987494140000002
hns_stpA__evo100G4_delhns_delstpA__1,-2.7180466403,-0.0381577376
hns_stpA__evo100G4_delhns_delstpA__2,-2.202121251,-0.216716871
hns_stpA__evo100G12_delhns_delstpA__1,-3.5842285848,-0.3678389157
hns_stpA__evo100G12_delhns_delstpA__2,-2.8027815134000003,-0.5769595057
hns_stpA__delhns_delstpA_delrpoS__1,-3.4882939857,-1.216211274
hns_stpA__delhns_delstpA_delrpoS__2,-3.5922053558,-0.6586670756
hns_stpA__wt__1,0.0199184092,0.2124708702
hns_stpA__wt__2,-0.0199184092,-0.2124708702
hns_stpA__delhns_delstpA__1,-3.0430117835,-0.8969549693000001
hns_stpA__delhns_delstpA__2,-3.3357779276,-0.5951462485
hu__wt_log_pH7__1,0.6324413701,-0.24799629720000002
hu__wt_log_pH7__2,0.61227939,0.570703025
hu__wt_log_pH7__3,0.4433354552,-0.0732613599
hu__wt_lag_pH7__1,0.0467737466,-0.1476535354
hu__wt_lag_pH7__2,0.3255672538,-0.7369716145
hu__wt_lag_pH7__3,-0.3723410004,0.8846251499000001
hu__delhupA_lag_pH7__1,-0.3166726736,-0.2448984019
hu__delhupA_lag_pH7__2,0.4655686055,-0.681849833
hu__delhupA_lag_pH7__3,-0.9030191994000001,0.8216785249
hu__delhupB_lag_pH7__1,0.0800134843,-0.40302012660000003
hu__delhupB_lag_pH7__2,0.7518055353,-0.481987111
hu__delhupB_lag_pH7__3,-0.0770353488,0.8827615241000001
hu__delhupAhupB_lag_pH7__1,-0.36709342100000003,0.1427432377
hu__delhupAhupB_lag_pH7__2,0.4049212091,-0.4105219245
hu__delhupAhupB_lag_pH7__3,0.20728008480000001,1.2974671854
hu__hupAE34K_hupB_lag_pH7__1,0.1027382694,-0.8478179271
hu__hupAE34K_hupB_lag_pH7__2,0.9062480878,-0.4307467574
hu__hupAE34K_hupB_lag_pH7__3,-0.32017399350000003,0.8499578325
hu__hupAE34K_delhupB_lag_pH7__1,0.3132897656,-0.3397087009
hu__hupAE34K_delhupB_lag_pH7__2,0.7555067114,-0.3639009836
hu__hupAE34K_delhupB_lag_pH7__3,0.1735714596,0.8813092459
hu__wt_lag_pH5__1,0.3816082367,-0.2349270921
hu__wt_lag_pH5__2,0.16364203900000002,-0.0656728963
hu__wt_lag_pH5__3,0.08157140830000001,0.6863468672
hu__delhupA_lag_pH5__1,0.42383018720000004,-0.44857553240000003
hu__delhupA_lag_pH5__2,0.3407788413,-0.1581168122
hu__delhupA_lag_pH5__3,-0.24455225700000002,0.6501997420000001
hu__delhupAhupB_lag_pH5__1,0.1646217604,0.109021591
hu__delhupAhupB_lag_pH5__2,-0.1094339372,0.2140351851
hu__delhupAhupB_lag_pH5__3,-1.0954112787,1.0179772629
hu__hupAE34K_hupB_lag_pH5__1,0.1264877061,-0.3826772188
hu__hupAE34K_hupB_lag_pH5__2,-0.1983395982,0.8226778685
hu__hupAE34K_hupB_lag_pH5__3,-0.1884499595,0.82398967
hu__hupAE34K_delhupB_lag_pH5__1,-0.5226282262,0.7083167388
hu__hupAE34K_delhupB_lag_pH5__2,0.3334242253,-0.25212634100000003
hu__hupAE34K_delhupB_lag_pH5__3,-0.2064845679,0.7961448221
hyperpersistence__low_GFP__1,3.3906154827,-1.0828524378
hyperpersistence__wt__1,-0.0984065814,-0.1299113488
hyperpersistence__high_GFP__1,2.8662086147,-0.9939419155
hyperpersistence__pth_mut__1,1.2422362707,0.2381552807
hyperpersistence__pth_mut__2,2.6891252912,-0.0421323247
hyperpersistence__metG_mut__1,1.9075264353999999,0.2709206693
hyperpersistence__metG_mut__2,1.8716596577,-0.0670468271
hyperpersistence__high_GFP__2,2.9302544699,-1.0053073183
hyperpersistence__wt__2,0.0984065814,0.1299113488
hyperpersistence__low_GFP__2,3.3593957876,-1.1780683135
kan_efg__cpxAF218Y__1,-1.5312777918,0.4456602449
kan_efg__cpxAF218Y__2,-1.3010208561,0.0856957988
kan_efg__cyaAN600Y__1,-0.8052184606,0.005735034500000001
kan_efg__cyaAN600Y__2,-0.9842878756000001,0.3036582999
kan_efg__fusAA608E__1,-0.35260834890000003,0.1772612436
kan_efg__fusAA608E__2,0.5822389663,0.2112094193
kan_efg__fusAA608E_cpxAF218Y__1,0.1014312447,0.15115240900000002
kan_efg__fusAA608E_cpxAF218Y__2,-0.5711555423,0.1985486965
kan_efg__fusAA608E_cyaAN600Y__1,-0.5802741265,0.1053135421
kan_efg__fusAA608E_cyaAN600Y__2,-0.9443451375,0.08755639450000001
kan_efg__fusAA608E_rpoDL261Q__1,-0.2304193985,0.3036623328
kan_efg__fusAA608E_rpoDL261Q__2,0.0943699724,0.026890566
kan_efg__fusAA608E_topAS180L__1,0.2604502965,0.7041922752
kan_efg__fusAA608E_topAS180L__2,0.0158316357,0.9049335916000001
kan_efg__rpoDL261Q__1,0.08330909510000001,-0.036582729200000004
kan_efg__rpoDL261Q__2,-0.3445298084,0.1319610987
kan_efg__wt__1,0.2249052007,-0.0255135509
kan_efg__wt__2,-0.2249052007,0.0255135509
lrp__wt_min_log__1,-0.4372530818,-0.1303294213
lrp__wt_min_log__2,0.4372530818,0.1303294213
lrp__wt_min_trans__1,2.8379836594,-0.1686794422
lrp__wt_min_trans__2,2.2032883995,0.09744436790000001
lrp__wt_min_stat__1,-0.49077231930000004,-1.9410534215
lrp__wt_min_stat__2,0.7544974318000001,-1.3241640355
lrp__wt_liv_log__1,0.3900921983,-0.2001110325
lrp__wt_liv_log__2,0.3522005361,-0.22861925290000001
lrp__wt_liv_trans__1,0.30041129450000004,-0.4002196618
lrp__wt_liv_trans__2,-0.0356443836,-0.3101556612
lrp__wt_liv_stat__1,0.17008018830000002,-2.7673191627
lrp__wt_liv_stat__2,0.4250046514,-2.3634208803
lrp__wt_rich_log__1,0.053035869000000006,-0.5191330274
lrp__wt_rich_log__2,0.12822938180000001,-0.43303074
lrp__wt_rich_trans__1,0.7083989323000001,-0.6099834467
lrp__wt_rich_trans__2,0.5337540862,-0.685370657
lrp__wt_rich_stat__1,3.1018531263,-1.2643909342
lrp__wt_rich_stat__2,1.412824476,-1.365510596
lrp__dellrp_min_log__1,0.9509047077,-0.068113247
lrp__dellrp_min_log__2,0.9137056422000001,0.1044619802
lrp__dellrp_min_trans__1,1.6720167222,0.180382608
lrp__dellrp_min_trans__2,0.45744561650000004,0.5983187613000001
lrp__dellrp_min_stat__1,0.4473245058,-1.3277192151000001
lrp__dellrp_min_stat__2,0.8974905073,-1.7063461684
lrp__dellrp_liv_log__1,0.4310192765,0.1339898425
lrp__dellrp_liv_log__2,-0.025211374,0.23257547180000002
lrp__dellrp_liv_trans__1,-0.0299785917,0.006108612
lrp__dellrp_liv_trans__2,0.2052798744,0.0903193228
lrp__dellrp_liv_stat__1,0.2800257787,-2.0153333686
lrp__dellrp_liv_stat__2,0.6761998271,-1.6985247275000002
lrp__dellrp_rich_log__1,0.2766310289,-0.36746439270000003
lrp__dellrp_rich_log__2,0.3618274624,-0.4199159483
lrp__dellrp_rich_trans__1,0.37359226770000004,0.2531029591
lrp__dellrp_rich_trans__2,0.8769067928000001,-0.06846923270000001
lrp__dellrp_rich_stat__1,2.0325273638,-0.4959712255
lrp__dellrp_rich_stat__2,0.9369469192000001,-0.0199667808
mazF_circuit__t0__1,0.3795232776,0.20633005240000002
mazF_circuit__t2__1,-0.1339527903,-0.8084006618
mazF_circuit__t4__1,-1.1402684057,0.5407695127000001
mazF_circuit__t6__1,1.2143186538,-0.5274558907
mazF_circuit__t8__1,3.7764301534999998,0.0434001888
mazF_circuit__t0__2,-0.3795232776,-0.20633005240000002
mazF_circuit__t2__2,0.6369660885,0.3029392502
mazF_circuit__t4__2,-0.33526534690000004,-0.2218428057
mazF_circuit__t6__2,0.6417272721,0.531427504
mazF_circuit__t8__2,1.9974594207,0.2739179512
mazF_ribo__emptyvec_mrna_5m__1,-0.0098395811,-0.033271818700000004
mazF_ribo__emptyvec_mrna_5m__2,0.0098395811,0.033271818700000004
mazF_ribo__mazF_mrna_5m__1,2.3372723811,0.550704815
mazF_ribo__mazF_mrna_5m__2,2.2513077654,0.3064929188
mazF_ribo__emptyvec_total_5m__1,-2.5917650372,-0.1447987736
mazF_ribo__emptyvec_total_5m__2,-2.0900038617,-0.0802813968
mazF_ribo__mazF_total_60m__1,0.6919731279,0.8932225799
mazF_ribo__mazF_total_60m__2,1.2654082929000001,1.2254981095
mercury__ctrl_t00__1,-0.039032690700000004,-0.4938492035
mercury__ctrl_t10__1,-0.7190472135,-0.2664844592
mercury__ctrl_t30__1,-0.09984405760000001,0.1511325798
mercury__ctrl_t60__1,0.24545444660000001,0.045972365
mercury__hg_t10__1,1.7932968916,0.3934234233
mercury__hg_t30__1,1.8508723992,0.5162171367
mercury__hg_t60__1,1.7112056603,0.1633402034
mercury__pma_t10__1,3.8236390549,0.695485621
mercury__pma_t30__1,3.9469336598,1.053562264
mercury__pma_t60__1,-0.8210834920000001,-0.4332354358
mercury__ctrl_t00__2,-0.2122171199,0.2137000798
mercury__ctrl_t10__2,-0.7106924446,-0.20655532340000002
mercury__ctrl_t30__2,-0.2414817809,-0.0056947662000000005
mercury__ctrl_t60__2,-0.3100002257,-0.0029885567
mercury__hg_t10__2,1.8594220914,0.2200616077
mercury__hg_t30__2,1.8112849921,0.6330794917
mercury__hg_t60__2,-0.6051684382,-0.1555302762
mercury__pma_t10__2,4.1109756068,0.850283391
mercury__pma_t30__2,3.7898490046,0.9782504057
mercury__pma_t60__2,-0.7220456660000001,0.1894186809
mercury__ctrl_t00__3,0.2512498107,0.2801491237
mercury__ctrl_t10__3,-0.551570311,0.0334811609
mercury__ctrl_t30__3,0.122663223,0.5772892072
mercury__ctrl_t60__3,0.5131435021,0.31648262520000003
mercury__hg_t10__3,1.8909688517,0.846223036
mercury__hg_t30__3,1.7914617124,0.19836405440000002
mercury__hg_t60__3,0.0996269385,0.0859134758
mercury__pma_t10__3,3.8691332819,0.6933587768
mercury__pma_t30__3,4.1287990236,0.8106212159
mercury__pma_t60__3,-0.7634826756,0.4255031958
ml_abx__az_lolcde__1,1.9088282457,-0.033416580200000004
ml_abx__az_lolcde__2,1.2720307842,-0.072530888
ml_abx__az_lolcde__3,1.6094285095,-0.46879335240000003
ml_abx__b01__1,-0.8407746324,0.22960152290000002
ml_abx__b01__2,-1.0789872779,-0.2952887077
ml_abx__b01__3,-0.6916358363,-0.5370120318
ml_abx__cro__1,0.2558344524,0.1632441908
ml_abx__cro__2,-0.3327112602,-0.3163042012
ml_abx__cro__3,-0.2860788386,-0.8051859819
ml_abx__chl__1,2.1654981707,-0.5624850874
ml_abx__chl__2,2.1293661451,-0.6384268675
ml_abx__chl__3,1.5182261777,-0.6917510736
ml_abx__cip__1,1.0582103287,-0.5504459059
ml_abx__cip__2,0.5807510283,-0.3344720673
ml_abx__cip__3,0.7199991098,-1.1971845402
ml_abx__clr__1,2.2128740646,0.7070993393
ml_abx__clr__2,1.8297660084,0.4791054154
ml_abx__clr__3,0.6684123045,0.1378948808
ml_abx__cst__1,0.5182219781,-0.1284033175
ml_abx__cst__2,-0.006838614000000001,-0.33569717260000004
ml_abx__cst__3,0.3501784839,-0.5113077294
ml_abx__ctrl__1,0.0966350202,0.2682622834
ml_abx__ctrl__2,0.472924426,0.12117906440000001
ml_abx__ctrl__3,0.19176960640000001,-0.22013572150000002
ml_abx__ctrl__4,0.3441603284,0.3114251055
ml_abx__ctrl__5,-0.5292915968,-0.2574968641
ml_abx__ctrl__6,-0.5761977842,-0.2232338677
ml_abx__dox__1,1.9467678873,-0.4159287728
ml_abx__dox__2,1.4520666175999999,-0.3921562745
