,213
cstr_pfr__pfr_P3_0120m__1,-0.1492908967
cstr_pfr__pfr_P1_0120m__1,-0.4888676088
cstr_pfr__pfr_P5_0210m__1,-0.3859165418
cstr_pfr__pfr_P5_1500m__1,0.2465573564
cstr_pfr__pfr_P3_1680m__1,-0.428932745
cstr_pfr__pfr_P5_1680m__1,-0.07420085400000001
cstr_pfr__pfr_P1_1680m__1,-0.0076434224000000005
cstr_pfr__str_0005m__2,-0.1018651438
cstr_pfr__str_0010m__2,-0.2805558487
cstr_pfr__str_0025m__2,0.12142651400000001
cstr_pfr__str_0045m__2,-0.20653649340000002
cstr_pfr__str_0075m__2,-0.1800386244
cstr_pfr__str_0120m__2,-0.1689586592
cstr_pfr__str_0210m__2,-0.24774503320000002
cstr_pfr__str_0330m__2,0.0440508757
cstr_pfr__str_1500m__2,-0.4798712339
cstr_pfr__str_1560m__2,-0.34373406770000003
cstr_pfr__str_1680m__2,-0.1036325133
cstr_pfr__str_ref1__2,-0.2309361125
cstr_pfr__str_ref2__2,0.13845021570000002
cstr_pfr__str_ref3__2,-0.1353671068
cstr_pfr__pfr_P5_0005m__2,-0.503892067
cstr_pfr__pfr_P5_0010m__2,-0.3133368184
cstr_pfr__pfr_P5_0025m__2,-0.6610419814
cstr_pfr__pfr_P3_0025m__2,0.0282313646
cstr_pfr__pfr_P1_0025m__2,0.08956626250000001
cstr_pfr__pfr_P5_0045m__2,-0.0215133825
cstr_pfr__pfr_P5_0120m__2,-0.240505663
cstr_pfr__pfr_P3_0120m__2,-0.0904499604
cstr_pfr__pfr_P1_0120m__2,-0.1353588021
cstr_pfr__pfr_P5_0210m__2,-0.8627358092
cstr_pfr__pfr_P5_1500m__2,-0.0694458725
cstr_pfr__pfr_P3_1680m__2,0.0903537968
cstr_pfr__pfr_P5_1680m__2,-0.1350040665
cstr_pfr__pfr_P1_1680m__2,-0.14123256
darobactin__daro_30m__1,-0.5507188427
darobactin__daro_30m__2,0.1439427543
darobactin__solv_1h__1,1.5234114541000001
darobactin__solv_1h__2,2.7555201621
darobactin__daro_1h__1,1.3125216694000001
darobactin__solv_1h__3,-1.560122186
darobactin__daro_1h__2,0.6801476686
darobactin__daro_1h__3,0.5185886261
darobactin__daro_30m__3,-1.0567700364000001
darobactin__solv_30m__1,0.561671555
darobactin__solv_15m__1,-0.027930512900000003
darobactin__solv_15m__2,-2.0419704903
darobactin__daro_15m__1,-0.33015646860000003
darobactin__solv_15m__3,2.0699010032
darobactin__daro_15m__2,0.26810911390000003
darobactin__daro_15m__3,0.41952109400000004
darobactin__solv_30m__2,0.1447936235
darobactin__solv_30m__3,0.7197441253
ddp__pNT3_aroP__1,0.3823636884
ddp__pNT3_aroP__2,0.3807805402
ddp__pNT3_bamC__1,0.7914556002
ddp__pNT3_bamC__2,0.8491802931
ddp__pNT3_cusA__1,0.7691542802
ddp__pNT3_cusA__2,0.24051638320000002
ddp__pNT3_hemX__1,-0.055456225000000005
ddp__pNT3_hemX__2,-0.14665593500000002
ddp__pNT3_empty__1,0.1339566184
ddp__pNT3_empty__2,-0.1339566184
ddp__pNT3_topA__1,2.4036437604
ddp__pNT3_topA__2,2.0278904653
ddp__pNT3_yicR__1,0.65392889
ddp__pNT3_yicR__2,0.6417247246000001
ddp__pNT3_yqjD__1,0.6276246147
ddp__pNT3_yqjD__2,0.8993465325000001
ecomics__del_gabT__1,-1.2565790487
ecomics__del_gabT__2,1.2565790487
ecomics__del_putP__1,-5.0394539838
ecomics__del_putP__2,-2.6726589924
ecomics__del_entF__1,-4.8168679137
ecomics__del_entF__2,-3.6402607833
ecomics__del_entF__3,-4.6681940468
ecomics__del_cysA__1,-4.4835292983
ecomics__del_cysA__2,-0.4015111059
elyC__wt_21C__1,0.26090880180000003
elyC__wt_21C__2,0.0166205159
elyC__wt_21C__3,0.3039418184
elyC__wt_37C__1,-0.0792588132
elyC__wt_37C__2,-0.0586597219
elyC__wt_37C__3,0.13791853510000002
elyC__delelyC_21C__1,-0.44076614680000004
elyC__delelyC_21C__2,0.2227219382
elyC__delelyC_21C__3,0.22652068700000003
elyC__delelyC_37C__1,-0.1072940514
elyC__delelyC_37C__2,-0.2524771668
elyC__delelyC_37C__3,0.3160499906
evo_acid_w__F9_2__1,0.0542079506
evo_acid_w__F11_1__1,-0.3721711662
evo_acid_w__F11_1__2,-0.096254276
evo_acid_w__F11_1__3,-0.1334849868
evo_acid_w__wt__1,0.3067164424
evo_acid_w__F11_2__1,-1.0913756848
evo_acid_w__B11_2__1,-0.5741039654
evo_acid_w__F11_2__2,-0.7693738622
evo_acid_w__wt__2,0.0740970177
evo_acid_w__B11_1__1,-0.6519347559
evo_acid_w__H9_1__1,0.0357472248
evo_acid_w__H9_2__1,-0.6167752765
evo_acid_w__B11_2__2,-0.4542975684
evo_acid_w__wt__3,-0.0941676167
evo_acid_w__H9_2__2,-0.47971356400000004
evo_acid_w__B11_2__3,-0.31484781840000003
evo_acid_w__F11_2__3,-0.8275949831
evo_acid_w__F9_2__2,0.0029530553
evo_acid_w__wt__4,-0.260007508
evo_acid_w__wt__5,-0.1955470241
evo_acid_w__wt__6,-0.0114201687
evo_acid_w__H9_1__2,0.2236145983
evo_acid_w__F9_1__1,0.0991421095
evo_acid_w__F9_1__2,0.195401246
evo_acid_w__B11_1__2,-0.3842466319
evo_acid_w__H9_2__3,-0.593655052
evo_acid_w__wt__7,-0.24588760610000002
