,A,FhlA,RpoN
hns_stpA__wt__1,0.9540684445000001,0.4240455607,0.0715101833
hns_stpA__wt__2,-0.9540684445000001,-0.4240455607,-0.0715101833
hns_stpA__delhns_delstpA__1,-0.7066041023,-1.3179400906,-1.9582703257
hns_stpA__delhns_delstpA__2,-1.1540942637,-1.0678705927,-1.6073898337
hu__wt_log_pH7__1,1.7388786446000002,-0.7792630802,-1.4449560918
hu__wt_log_pH7__2,0.5784196102,-0.9162413656,-0.9170654136
hu__wt_log_pH7__3,0.7916909232,-0.6072950557,-0.6994754824
hu__wt_lag_pH7__1,0.1028327676,0.2550762413,-0.12385277950000001
hu__wt_lag_pH7__2,0.5519156015000001,-0.5555031443,0.0182274602
hu__wt_lag_pH7__3,-0.6547483691,0.300426903,0.1056253192
hu__delhupA_lag_pH7__1,-0.5868433508,0.018681045400000002,0.2046437191
hu__delhupA_lag_pH7__2,0.010416797,-0.4966452817,-0.14746258140000001
hu__delhupA_lag_pH7__3,0.0296118697,0.1226648037,0.2614496072
hu__delhupB_lag_pH7__1,0.1091222151,-0.28763653,-0.0527428655
hu__delhupB_lag_pH7__2,0.4753484108,-0.3726638028,-0.0078161007
hu__delhupB_lag_pH7__3,-0.2665103501,0.0982040661,0.044583712000000005
hu__delhupAhupB_lag_pH7__1,0.5355825189,-0.4918772746,-0.0660598798
hu__delhupAhupB_lag_pH7__2,-0.3577205288,-0.40704899400000005,0.1279091318
hu__delhupAhupB_lag_pH7__3,-0.8762428138,0.059810814500000004,0.4344425029
hu__hupAE34K_hupB_lag_pH7__1,0.5787148968,0.6460162597,0.1419125979
hu__hupAE34K_hupB_lag_pH7__2,-0.0456611752,-0.5711048035,0.0933277425
hu__hupAE34K_hupB_lag_pH7__3,-0.25745864,0.3080458928,0.07445381350000001
hu__hupAE34K_delhupB_lag_pH7__1,-0.1614840155,0.4358166056,0.1406115969
hu__hupAE34K_delhupB_lag_pH7__2,0.175502463,-0.0651282661,0.3348345451
hu__hupAE34K_delhupB_lag_pH7__3,-0.3685127958,0.5004705185,0.1956944742
hu__wt_lag_pH5__1,0.2095115695,-0.0212648389,-0.1577754055
hu__wt_lag_pH5__2,-0.717717048,0.0468826325,0.0048768716
hu__wt_lag_pH5__3,-0.2414722119,0.2694858618,-0.020422199999999998
hu__delhupA_lag_pH5__1,-0.3252357495,0.0532305261,-0.2693961785
hu__delhupA_lag_pH5__2,-0.37751461000000003,0.4705508882,0.21668485040000002
hu__delhupA_lag_pH5__3,-0.4796869086,0.3315827443,-0.090408474
hu__delhupAhupB_lag_pH5__1,0.2982587124,0.2729797816,-0.0678976565
hu__delhupAhupB_lag_pH5__2,0.0458541144,0.3491904695,0.32924325260000004
hu__delhupAhupB_lag_pH5__3,-0.2022236162,0.7378489683,0.31604061
hu__hupAE34K_hupB_lag_pH5__1,0.567430071,0.3102837211,0.0184306441
hu__hupAE34K_hupB_lag_pH5__2,-0.3146676283,0.31077357980000003,0.2106381983
hu__hupAE34K_hupB_lag_pH5__3,-0.8019149957,0.3970297165,0.2403260193
hu__hupAE34K_delhupB_lag_pH5__1,0.0936832399,0.32550028410000004,0.0405541119
hu__hupAE34K_delhupB_lag_pH5__2,-0.10512206860000001,0.0751512154,0.4511764279
hu__hupAE34K_delhupB_lag_pH5__3,-0.1797774623,0.6915779232,0.0721447115
hyperpersistence__low_GFP__1,-0.6909292759,-0.8167969581000001,-0.885396136
hyperpersistence__wt__1,-0.0038444647,-0.0016222086,0.020032704000000002
hyperpersistence__high_GFP__1,-0.2283306183,-0.525399648,-0.8268853717
hyperpersistence__pth_mut__1,-0.26172672610000003,-0.3061588442,-0.3081166643
hyperpersistence__pth_mut__2,0.33905250540000004,-0.3209303273,-0.1576120561
hyperpersistence__metG_mut__1,0.2149840012,-0.2207239839,-0.1279408709
hyperpersistence__metG_mut__2,1.1466425896999999,-0.2685004938,-0.2812811618
hyperpersistence__high_GFP__2,0.47626920720000004,-0.1175423433,-0.6125609148
hyperpersistence__wt__2,0.0038444647,0.0016222086,-0.020032704000000002
hyperpersistence__low_GFP__2,0.13168744740000002,-0.19628828280000002,-0.8276924667000001
kan_efg__cpxAF218Y__1,-0.5511478659,2.6024918118,0.27840669
kan_efg__cpxAF218Y__2,-0.7650140864,2.8595785989999998,0.44749614050000003
kan_efg__cyaAN600Y__1,-1.0402921991,1.0926853117,0.5056412719
kan_efg__cyaAN600Y__2,-1.820524178,1.463006724,0.5763328922000001
kan_efg__fusAA608E__1,-0.7897512385000001,-0.3081389503,0.209687488
kan_efg__fusAA608E__2,0.07311491440000001,0.4229646622,0.1261671049
kan_efg__fusAA608E_cpxAF218Y__1,-0.5423269884,0.6853047092,0.4522368742
kan_efg__fusAA608E_cpxAF218Y__2,-1.2291177841,0.9979611041,0.5217497523
kan_efg__fusAA608E_cyaAN600Y__1,-1.2215267902,0.8083270986000001,0.39747491430000004
kan_efg__fusAA608E_cyaAN600Y__2,-1.3181616692,1.2112077017,0.5017014790000001
kan_efg__fusAA608E_rpoDL261Q__1,-1.5301241331000002,0.6894794079000001,0.3852373114
kan_efg__fusAA608E_rpoDL261Q__2,-1.652622704,0.5638641884,0.4631732034
kan_efg__fusAA608E_topAS180L__1,0.10530749610000001,0.9668062650000001,0.506628548
kan_efg__fusAA608E_topAS180L__2,-0.5966079391,0.6714688232,0.6252190204
kan_efg__rpoDL261Q__1,-0.6815568622,0.30917182260000003,0.23017931600000002
kan_efg__rpoDL261Q__2,-1.2494676408,0.4669753193,0.35419150580000003
kan_efg__wt__1,-0.2040760389,-0.0317809305,-0.0745658314
kan_efg__wt__2,0.2040760389,0.0317809305,0.0745658314
lrp__wt_min_log__1,-0.1912247468,-0.239754037,0.0011009558
lrp__wt_min_log__2,0.1912247468,0.239754037,-0.0011009558
lrp__wt_min_trans__1,1.1030346758,-0.5902863225,-0.6664305728000001
lrp__wt_min_trans__2,0.6010297648,0.19426272120000002,-0.3541313109
lrp__wt_min_stat__1,2.6738106334,2.2681777719,-0.6088823642
lrp__wt_min_stat__2,0.4298199827,2.273121597,-0.5431141380000001
lrp__wt_liv_log__1,0.8311147206,0.2350428926,0.168226741
lrp__wt_liv_log__2,0.8193332983,0.1400130607,0.0482586065
lrp__wt_liv_trans__1,2.7519153391,0.2864580473,-0.0217042286
lrp__wt_liv_trans__2,1.2953629504,0.5092364708,0.0895386989
lrp__wt_liv_stat__1,1.2868864296,1.7701058327,-1.3385275963
lrp__wt_liv_stat__2,1.4969329711000001,2.3516281964,-1.1646740048
lrp__wt_rich_log__1,1.3551586676,-1.7805972251000002,-0.7749694047
lrp__wt_rich_log__2,2.029503347,-1.8489485276000002,-0.6050074147
lrp__wt_rich_trans__1,0.8670946969000001,0.8676747886,0.2054468556
lrp__wt_rich_trans__2,-0.2515862893,0.7176917545,0.1104531562
lrp__wt_rich_stat__1,1.8820087265,0.7083021779,0.0743609144
lrp__wt_rich_stat__2,2.7315980818,1.4797927273,0.19170938040000002
lrp__dellrp_min_log__1,0.40986502690000004,-0.22771556850000002,-0.0735717597
lrp__dellrp_min_log__2,0.2376759326,-0.4280641432,0.0173826744
lrp__dellrp_min_trans__1,0.5984059638,-0.056194168700000005,0.15264384050000002
lrp__dellrp_min_trans__2,-0.22595699900000002,0.7127089891,0.49009369420000004
lrp__dellrp_min_stat__1,0.6219240103,1.7844143724000001,-0.5544656631
lrp__dellrp_min_stat__2,1.0307644408,2.2140878033,-0.8254530849
lrp__dellrp_liv_log__1,0.6944597679000001,0.5823181879,0.4869159041
lrp__dellrp_liv_log__2,-0.3044115274,0.28146060300000003,0.3297251698
lrp__dellrp_liv_trans__1,1.1635460881,0.3072954417,-0.0702059601
lrp__dellrp_liv_trans__2,1.1022850805,0.5272829049000001,0.0256604608
lrp__dellrp_liv_stat__1,1.4615276737,2.2123008964,-0.8805494243
lrp__dellrp_liv_stat__2,0.9235433202000001,2.2234226061,-0.7595655453
lrp__dellrp_rich_log__1,2.3376377534,-1.7509116847000001,-0.6967042679000001
lrp__dellrp_rich_log__2,1.7449691781,-1.4828513314,-0.6197101664
lrp__dellrp_rich_trans__1,0.3708057158,0.7250532773,0.1080873537
lrp__dellrp_rich_trans__2,0.8501931467,0.9476639126,0.3622033107
lrp__dellrp_rich_stat__1,3.0957091246,-0.47153790780000004,0.00550106
lrp__dellrp_rich_stat__2,2.5207596129,-0.3176603007,0.2899251666
mazF_circuit__t0__1,0.9775310244000001,-0.2720156946,0.1107043214
mazF_circuit__t2__1,-1.0273218937,0.7475834376,-0.6692219971000001
mazF_circuit__t4__1,1.2720026529,1.3661834833,-0.3012417291
mazF_circuit__t6__1,1.022052589,-0.9134818316000001,-0.8025311075
mazF_circuit__t8__1,-0.0083510083,0.24235947530000002,-0.7499777984
mazF_circuit__t0__2,-0.9775310244000001,0.2720156946,-0.1107043214
mazF_circuit__t2__2,-0.4776836903,1.2229662737,0.2873496733
mazF_circuit__t4__2,1.224089224,0.22210177960000002,-0.1939351305
mazF_circuit__t6__2,0.3139142625,1.1350310889,-0.8228724163000001
mazF_circuit__t8__2,-0.2613127482,-0.2482426693,-1.0717102719
mazF_ribo__emptyvec_mrna_5m__1,-0.0802138703,-0.1168246394,-0.0169002124
mazF_ribo__emptyvec_mrna_5m__2,0.0802138703,0.1168246394,0.0169002124
mazF_ribo__mazF_mrna_5m__1,0.5927951841,-0.5879850007,-0.7013114639
mazF_ribo__mazF_mrna_5m__2,0.5065825350000001,-0.7346166741,-0.6629867329
mazF_ribo__emptyvec_total_5m__1,2.0191166366,0.1275251892,0.0557386989
mazF_ribo__emptyvec_total_5m__2,-0.7309381081,-0.17274925730000001,0.2508594257
mazF_ribo__mazF_total_60m__1,2.616033672,-0.6900251621,-0.9167151233
mazF_ribo__mazF_total_60m__2,2.7013749868,-0.7429857344,-0.7886672223000001
mercury__ctrl_t00__1,-0.0150020712,-0.1341403973,-0.0621279511
mercury__ctrl_t10__1,-1.1228239028,-0.105203668,0.0671023
mercury__ctrl_t30__1,-0.7426718723,0.012067211100000001,0.2546664045
mercury__ctrl_t60__1,-1.5997401213,0.7369907835,0.5719902455
mercury__hg_t10__1,0.3301659725,-1.1837373414,0.9364226197000001
mercury__hg_t30__1,-0.9207395221,-0.8448839503000001,1.086910479
mercury__hg_t60__1,-2.141698078,0.9612632296,1.0331766101
mercury__pma_t10__1,1.5009223763000001,-0.8636259483000001,-0.43542079100000003
mercury__pma_t30__1,-0.0341271931,-0.6482931323000001,-0.5174314768
mercury__pma_t60__1,-1.0089584963,0.2081825686,-0.34978884720000003
mercury__ctrl_t00__2,-0.1072767543,0.1618628627,0.037938416100000004
mercury__ctrl_t10__2,-0.2726771886,-0.10316968650000001,-0.0167731402
mercury__ctrl_t30__2,-0.3813481158,0.2824872738,0.33980055000000003
mercury__ctrl_t60__2,-0.7823272859,1.1984575055,0.5973291683
mercury__hg_t10__2,0.0793998512,-1.0764313264,0.9217115847
mercury__hg_t30__2,-0.6056538309,-0.40886276850000003,1.1100313853000001
mercury__hg_t60__2,-1.4842665808,0.1587376594,0.0672596761
mercury__pma_t10__2,1.8424201019000002,-1.0434541208,-0.5012604293
mercury__pma_t30__2,-0.213362084,-0.8950954325,-0.4637125775
mercury__pma_t60__2,-0.8378617601,0.6825164079,-0.1441467858
mercury__ctrl_t00__3,0.12227882550000001,-0.0277224654,0.024189535
mercury__ctrl_t10__3,-0.2089673596,-0.2013621278,-0.0328642865
mercury__ctrl_t30__3,-1.2590471867,0.6776461702000001,0.5209823608
mercury__ctrl_t60__3,-0.9891379915,1.0205134177,0.5153948444
mercury__hg_t10__3,-0.41336550380000003,-0.9331443411,1.0144914721
mercury__hg_t30__3,-0.4757335896,-1.0415533467,1.0322093347
mercury__hg_t60__3,-2.5002463672,0.5030632249,0.4637333751
mercury__pma_t10__3,1.3020779339,-1.0717278931,-0.5794641209
mercury__pma_t30__3,0.4744875354,-0.5818473514,-0.5700210563
mercury__pma_t60__3,-1.0989894623,0.3337476878,0.0693791866
ml_abx__az_lolcde__1,-2.7144280951,-0.059531071000000005,0.3903220046
ml_abx__az_lolcde__2,-0.3429641335,-0.432159497,0.2213146617
ml_abx__az_lolcde__3,-0.816934555,-0.8655863292,0.10774323770000001
ml_abx__b01__1,-0.5547961789,0.134268183,0.24033551150000002
ml_abx__b01__2,-1.67701895,0.041995626200000004,0.3211020586
ml_abx__b01__3,-1.7754096111000002,-0.7251089307,0.1770480587
ml_abx__cro__1,-1.9638026416,0.214506951,0.3253524404
ml_abx__cro__2,0.4279254904,0.0920889968,0.039544874800000004
ml_abx__cro__3,0.7625324895000001,-0.4435307103,-0.2977647758
ml_abx__chl__1,0.195264354,-1.8503535755,-1.2976976884
ml_abx__chl__2,0.6709007492,-0.5688414122000001,-1.3277234537
ml_abx__chl__3,0.6292484903000001,-1.2731377582,-1.3924672337000001
ml_abx__cip__1,-0.4448451491,0.5331513614,0.2202805298
ml_abx__cip__2,2.2207096745,-0.0594258791,-0.0426974653
ml_abx__cip__3,4.9835107135,0.3112976561,-0.3733528378
ml_abx__clr__1,-0.4009030825,-1.6413365628,-0.0012082387
ml_abx__clr__2,0.0343285108,-0.188264401,-0.1158980419
ml_abx__clr__3,0.016372839900000002,-0.3283594714,-0.1609201725
ml_abx__cst__1,-2.3731023138,-0.1095161637,0.4924001161
ml_abx__cst__2,0.0557645015,-0.0753233756,0.1798871686
ml_abx__cst__3,-0.4105486693,-0.6480284873000001,0.2149347168
ml_abx__ctrl__1,-1.7682476932000002,0.1481698678,0.22488087
ml_abx__ctrl__2,-1.4456289628,0.08712328820000001,0.2173163055
ml_abx__ctrl__3,0.150937509,-0.3164886216,0.1020228517
ml_abx__ctrl__4,0.33050905480000004,-0.0164769058,0.0515938243
ml_abx__ctrl__5,1.2512310821,-0.0417879829,-0.28462972410000004
ml_abx__ctrl__6,1.48119901,0.13946035440000001,-0.3111841275
ml_abx__dox__1,-0.4054608934,-1.8781248657,-0.6907492030000001
ml_abx__dox__2,-0.148958851,-0.38636979730000004,-0.6874710706
ml_abx__dox__3,-0.6349604673,-0.8994920863,-0.7896948083
ml_abx__glob__1,-2.295141594,-0.2040172934,0.3926622709
ml_abx__glob__2,-0.22960448200000003,-0.3835402565,0.2634435396
ml_abx__glob__3,0.9843443474,-0.3768470017,-0.0090852511
ml_abx__lvx__1,-0.7073915442,0.6990634068,0.2590477239
ml_abx__lvx__2,2.6228560696,0.39526429080000003,0.0366143123
ml_abx__lvx__3,3.5054557088,0.22876072560000002,-0.3798061807
ml_abx__mec__1,-1.7163071524,0.12266325930000001,0.2327944844
ml_abx__mec__2,0.9950275701000001,-0.0544923878,0.0158155265
ml_abx__mec__3,1.0902223037,-0.2761467835,-0.2104716116
ml_abx__mem__1,-2.0643791212,0.053571546000000005,0.213811357
ml_abx__mem__2,-0.0609996415,0.2537226768,0.0899354986
ml_abx__mem__3,-0.050414708100000004,0.2219636461,-0.1731611797
ml_abx__nit__1,-1.033381629,-2.2322414328,0.2222919169
ml_abx__nit__2,-0.8543276449,-2.6713043174,0.1155426375
ml_abx__nit__3,-0.8796652568000001,-2.5550250467,0.1368586389
ml_abx__ntx__1,-2.1594296216,-3.3480783817,0.42385458460000003
ml_abx__ntx__2,-1.0672038604,-2.9413532011,0.5667990046
ml_abx__nor__1,-0.0634087973,0.3381399699,0.0562573861
ml_abx__nor__2,2.1001519283,-0.3356892312,-0.09158989470000001
ml_abx__nor__3,4.6633803183,0.0559184153,-0.40553356150000003
ml_abx__pb__1,-2.4087481459,-0.6227764191,0.5435833438000001
ml_abx__pb__2,-1.2120257213,-0.4352865447,0.4661437825
ml_abx__pb__3,-2.7228218978000003,-0.8733142051,0.5215209001000001
ml_abx__tmp__1,-0.8915503100000001,0.2710282837,-0.0463538716
ml_abx__tmp__2,3.5174463341,0.7359780785000001,-0.31178914280000003
ml_abx__tmp__3,2.6510341792,0.1925091368,-0.5101213311
mut_abx__del_mutS_000nor__1,-2.1811664669,-0.2622137982,0.0038441405
mut_abx__del_mutS_000nor__2,0.6051092224,0.014202652000000001,-0.0605644948
mut_abx__del_mutS_000nor__3,1.5760572444,0.2480111462,0.056720354300000005
mut_abx__del_mutS_125nor__1,-2.5081747164,-0.1097581375,-0.1330215472
mut_abx__del_mutS_125nor__2,-2.6340615856,-0.046439835900000004,-0.0230914822
mut_abx__del_mutS_125nor__3,-4.4774180261,-0.251493332,-0.0421096822
mut_abx__del_mutS_250nor__1,-4.7259385145,-0.2022198349,-0.0930739746
mut_abx__del_mutS_250nor__2,-1.7684078300000001,0.0753287466,-0.1476669357
mut_abx__del_mutS_250nor__3,-4.1287266168,-0.3019647353,0.1157149246
mut_abx__del_mutS_375nor__1,-4.7064039225,-0.4627243259,-0.0121471623
mut_abx__del_mutS_375nor__2,-1.4813213137,-0.043259047700000004,-0.020663864400000002
mut_abx__del_mutS_375nor__3,-4.749331863,-0.4905183393,-0.0926124291
mut_abx__del_mutS_500nor__1,-5.3490716227,-0.7364422545,-0.2167046362
mut_abx__del_mutS_500nor__2,-5.7637604696,-0.5139485467,-0.157923475
mut_abx__del_mutS_500nor__3,-5.2742809153,-0.4949062576,-0.238904311
mut_abx__del_mutS_625nor__1,-3.5015305846,-0.2422716984,-0.4930346926
mut_abx__del_mutS_625nor__2,-5.3103946471,-0.7232672386,-0.4034437833
mut_abx__del_mutS_625nor__3,-6.0404132693,-0.6161221616,-0.29468944610000003
mut_abx__del_mutS_750nor__1,-5.6781707384,0.027690385100000003,-0.1583538
mut_abx__del_mutS_750nor__2,-5.8115228986,-0.9819291128000001,-0.2650138689
mut_abx__del_mutS_750nor__3,-4.9126308125,-0.6518143116,-0.0418569081
mut_abx__del_mutS_875nor__1,-5.0625843281,-1.248772135,-0.6815828916000001
mut_abx__del_mutS_875nor__2,-5.7642372407,-0.9674246832000001,-0.3648055906
mut_abx__del_mutS_875nor__3,-5.6140560198,-1.0011992587,-0.4617605608
nit_yeaG__wt_Nminus__1,-0.3911223572,0.30912151060000004,0.11063261810000001
nit_yeaG__wt_Nminus__2,0.3911223572,-0.30912151060000004,-0.11063261810000001
nit_yeaG__wt_Nplus__1,-0.7854882354,-1.5833681781,-0.7624555169
nit_yeaG__wt_Nplus__2,-0.6290985796,-2.2129335128,-0.0645909635
nit_yeaG__del_yeaG_Nminus_24h__1,-0.33638324550000004,1.0378655714,-0.48294218860000004
nit_yeaG__del_yeaG_Nminus_24h__2,-0.148658707,-0.4471159556,0.41516946050000003
nit_yeaG__del_yeaG_Nminus_24h__3,-1.5554426925,0.9876091774,0.7290174229
nit_yeaG__del_yeaG_Nminus__1,-0.6645154526,0.6642171655,0.20814714750000002
nit_yeaG__del_yeaG_Nminus__2,0.35433635410000003,-0.4822249342,-0.2498304448
nit_yeaG__del_yeaG_Nplus__1,-1.2187350422,-1.5936057992000001,-0.5270583472
nit_yeaG__del_yeaG_Nplus__2,-0.4240614318,-2.3095578067,-0.1991287572
opex__amp__1,1.8021670257,0.1174819758,0.1472493313
opex__amp__2,-0.7455486244,-0.0638005698,0.047956456700000004
opex__amp__3,0.1920516296,0.5735149931,0.0048856497
opex__bak_amp__1,-1.3150904127,0.6600959942,0.1211051757
opex__bak_amp__2,-0.9518849482,0.2713025546,0.06985703880000001
opex__bak_amp__3,-0.5599310169,0.22619014580000002,0.0948063879
opex__bak_kan__1,1.1928690128000001,0.14610783530000002,0.09534839190000001
opex__bak_kan__2,-1.1765631272000001,0.5970023286,0.1212849527
opex__bak_kan__3,-1.1248068417,-0.1588858944,0.011766657100000001
opex__bak_nor__1,-0.08646245820000001,0.009661969500000001,0.0218542192
opex__bak_nor__2,-1.2294044211,0.19580051110000002,0.0641189734
opex__bak_nor__3,-0.4212445305,-0.2222858141,0.0936894695
opex__bak_rif__1,-0.5697480258000001,0.918431859,0.23395799850000001
opex__bak_rif__2,1.4900526839000001,1.0246877592,0.3473359901
opex__bak_rif__3,1.0038473172,0.22865877680000002,0.2552135998
opex__chx_amp__1,-0.4913518746,0.1680753642,0.19558740430000002
opex__chx_amp__2,2.0249910761,0.27513418300000003,0.0780942775
opex__chx_amp__3,0.0061648005,0.0121406646,0.0827455512
opex__chx_kan__1,-0.38903288750000004,0.0953943246,0.08531647710000001
opex__chx_kan__2,-0.500440206,0.0022000156000000002,0.0683397811
opex__chx_kan__3,-0.9161448748000001,-0.0502526894,0.0323321362
opex__chx_nor__1,-0.0798411986,0.0510413671,0.041588051800000005
opex__chx_nor__2,-0.5712495427000001,-0.0586315419,0.0661939297
opex__chx_nor__3,-0.2554013892,0.1895586512,0.0836960821
opex__chx_rif__1,-0.7320201797,0.1552050614,0.2028686419
opex__chx_rif__2,-0.1059472728,0.015583333500000001,0.09594815250000001
opex__chx_rif__3,-0.6452400059,-0.21163838980000002,0.0466177495
opex__ctrl__1,-0.8586330910000001,0.0042891341000000005,-0.0352721104
opex__ctrl__2,-0.3865757187,0.1296941584,-0.0051982208
opex__ctrl__3,1.2452088096,-0.1339832924,0.0404703311
opex__etoh_amp__1,4.4880204493,0.3276082476,-0.1419020717
opex__etoh_amp__2,2.8919506496,0.1841362924,-0.16581676110000002
opex__etoh_amp__3,2.9545783301,-0.0666927803,-0.1580853614
opex__etoh_kan__1,3.0560746245,0.007554910200000001,-0.3063778066
opex__etoh_kan__2,3.517463906,-0.2114020463,-0.20130582800000002
opex__etoh_kan__3,3.0212319325,-0.1727928823,-0.2400726229
opex__etoh_nor__1,3.2605921288,0.0431307763,-0.2335315618
opex__etoh_nor__2,3.5215408411,0.6950429668,-0.3331714316
opex__etoh_nor__3,3.9308014203,0.21395021620000002,-0.2311827622
opex__etoh_rif__1,4.8796755148,-0.49949189330000004,-0.4505743619
opex__etoh_rif__2,4.0379645455,0.1491910103,-0.2592495852
opex__etoh_rif__3,6.3459514067,0.33457445280000003,-0.27330260170000004
opex__glual_amp__1,-0.7615164379,0.2323553562,0.289546627
opex__glual_amp__2,1.7619851749,0.5368482135,0.22832999140000002
opex__glual_amp__3,0.4754290587,0.2698344334,0.2448821193
opex__glual_kan__1,-0.125662929,0.6596842237,0.2230650159
opex__glual_kan__2,-1.0039138992,0.6867520395000001,0.250966458
opex__glual_kan__3,-0.5732393038,0.5205404781,0.1668667616
opex__glual_nor__1,-0.41783683380000003,0.18978510510000002,0.2636219971
opex__glual_nor__2,-0.39750937540000003,0.10104743050000001,0.2867584447
opex__glual_nor__3,-0.8780546675,0.3960258723,0.24258123110000002
opex__glual_rif__1,1.9669310966,0.7152088864,0.3262480634
opex__glual_rif__2,1.7471833679,0.6365734627,0.2569448534
opex__glual_rif__3,3.0967665101,0.6235645214000001,0.3693430069
opex__h2o2_amp__1,0.6483867854,1.0040394328,-0.0842485485
opex__h2o2_amp__2,0.5855197221,1.1656768876,-0.0176511673
opex__h2o2_amp__3,-0.39162644360000004,1.143533806,-0.0496011055
opex__h2o2_kan__1,-0.1253968862,1.0059415353,-0.0423394543
opex__h2o2_kan__2,2.2192803203,1.1173712663,-0.07734126990000001
opex__h2o2_kan__3,3.999664416,1.2381793572,-0.1772494862
opex__h2o2_nor__1,0.13240872880000001,0.8141519935,-0.014472856400000001
opex__h2o2_nor__2,1.1819868056,1.0568342295,0.0202227366
opex__h2o2_nor__3,4.0009168638,1.369682295,-0.1294714995
opex__h2o2_rif__1,2.8928622815000002,0.1828874304,0.057304197
opex__h2o2_rif__2,5.7016091323,0.5093408516,0.0698691238
opex__h2o2_rif__3,3.5535836706,0.5905959765000001,0.0758059816
opex__ippoh_amp__1,3.575585904,0.7676997177,0.1716342954
opex__ippoh_amp__2,4.7497314086,0.2154448652,0.15123887490000001
opex__ippoh_amp__3,6.3030232533,0.5959379458,0.0844405057
opex__ippoh_kan__1,4.9364194602,0.16298886140000002,-0.008232894900000001
opex__ippoh_kan__2,5.7655037613,0.3620902976,-0.0413576653
opex__ippoh_kan__3,4.2195275226,0.3468984477,0.08964049710000001
opex__ippoh_nor__1,4.9720706118999995,0.4370411688,0.0108002233
opex__ippoh_nor__2,4.044540401,0.7023750442000001,0.1106661849
opex__ippoh_nor__3,6.420868133,1.3816677326,0.0643105456
opex__ippoh_rif__1,8.9492743298,0.2822745389,-0.007623938100000001
opex__ippoh_rif__2,9.4042879887,0.2385647649,-0.0013379936
opex__ippoh_rif__3,7.8968919617,0.5340202613,0.0627265092
opex__kan__1,0.6112547144,0.2460372143,-0.0198224779
opex__kan__2,-0.3036445109,-0.0080558764,0.05595172700000001
opex__kan__3,0.2343008413,-0.38120036830000004,0.0803166057
opex__nor__1,-0.7445956225,0.0474059438,0.0698269173
opex__nor__2,1.2581628735,0.24568136670000001,0.1851164747
opex__nor__3,0.9001095471,0.11254108360000001,0.15065093300000001
opex__paa_amp__1,-0.1920450926,-0.258924826,0.1003584425
opex__paa_amp__2,-0.057013007600000006,-0.0503045051,0.11164729250000001
opex__paa_amp__3,-0.7792234418,-0.2158727833,-0.046372660600000004
opex__paa_kan__1,1.5970402351000001,0.47477699100000004,0.1951355504
opex__paa_kan__2,1.2720405160000001,0.36461319870000003,0.3473883157
opex__paa_kan__3,0.2929789178,-0.1376932668,0.09609761300000001
opex__paa_nor__1,-1.4570997268,0.2068856802,0.0157807697
opex__paa_nor__2,0.0629704689,-0.0436901047,0.0553832026
opex__paa_nor__3,-0.7308457038,0.0008402290000000001,0.1457611932
opex__paa_rif__1,1.7736098585,0.2007683433,0.167546165
opex__paa_rif__2,1.6051717747,0.3370269328,0.3137516315
opex__paa_rif__3,0.6684928691,-0.1453025735,0.045438597000000004
opex__phenol_amp__1,-1.0529298257,0.4957376134,-0.1350408816
opex__phenol_amp__2,0.9925593837000001,0.7683599103000001,-0.0494235666
opex__phenol_amp__3,1.0488281486,0.5919619754000001,0.0367274815
opex__phenol_kan__1,-0.9790771972000001,0.9176749393,-0.1796401523
opex__phenol_kan__2,-1.6212334249,0.7381970144000001,-0.11698985790000001
opex__phenol_kan__3,-0.4747980114,0.3719470522,-0.22733901080000002
opex__phenol_nor__1,-0.35256336800000004,0.1634197889,0.0735082325
opex__phenol_nor__2,-1.7320669684,0.5113671485,-0.1270236979
opex__phenol_nor__3,-0.4559489561,0.4867226035,0.1734025999
opex__phenol_rif__1,0.8926451241000001,0.3152344351,-0.1675084568
opex__phenol_rif__2,0.0432789522,0.6794015921000001,0.22395712580000002
opex__phenol_rif__3,1.2450008466,0.9469342047,0.2797558679
opex__pvpi_amp__1,-1.1535741886,0.0528557568,0.0512557099
opex__pvpi_amp__2,-1.4972726327,0.2009434292,-0.0131328242
opex__pvpi_amp__3,-0.6515842068000001,0.1349301771,0.0183517552
opex__pvpi_kan__1,2.1704170033,0.2164627762,0.0046496911000000005
opex__pvpi_kan__2,-0.48371103460000003,-0.1098260799,-0.0569829494
opex__pvpi_kan__3,0.1093878506,-0.1616663308,0.07666078850000001
opex__pvpi_nor__1,-1.4861035288,0.0925055208,0.13569493230000002
opex__pvpi_nor__2,0.1026480498,0.1885389743,0.1211116114
opex__pvpi_nor__3,-0.8816908750000001,0.0514777357,0.053756913100000005
opex__pvpi_rif__1,2.2137763564,0.2323851362,0.2102501722
opex__pvpi_rif__2,1.5113512831,0.2270433997,0.2911188349
opex__pvpi_rif__3,0.5624311355,0.0383913181,0.4671936766
opex__rif__1,2.615148417,0.5480644292,0.25081116940000003
opex__rif__2,3.5655136608999998,0.4522275807,0.3375932075
opex__rif__3,1.3422460652,0.31072449900000004,0.2953783365
opex__naocl_amp__1,0.4549116722,-0.18509756600000002,0.0895451422
opex__naocl_amp__2,0.2054436749,-0.2641946183,0.07568540850000001
opex__naocl_amp__3,-0.858777878,-0.4741968325,-0.0356751248
opex__naocl_kan__1,-0.35423443400000004,-0.1642524618,0.1207722392
opex__naocl_kan__2,-1.1934863266,-0.0415681813,0.014014453500000001
