,A,ihfB,ArcA,Crp,IclR,Cra
pal__lyx_ale2_f6__1,1.2341866984,0.168173235,0.9302748660000001,0.33342218300000004,-0.0426513405,0.44014802150000004
pal__lyx_ale2__1,-0.7610448977000001,0.40226726500000004,0.895382886,0.264908103,-0.2002812535,0.4296669475
pal__lyx_ale2__2,-1.5792420077,0.31857179500000005,0.8937969960000001,0.307141653,-0.1815649555,0.5236768855
pal__lyx_ale4__1,-2.8688739906,-0.18964956500000002,0.044506959000000006,-0.057655873,-0.5357758815,0.1788567995
pal__lyx_ale4__2,-2.7284356631,-0.254357585,0.047894689000000004,-0.070605865,-0.5466911305000001,0.2502945185
pal__5drib_ale10_f18__1,-0.21892329840000002,-0.26528265500000003,0.151444345,-0.069139537,-0.1500687905,0.8401702095
pal__5drib_ale10_f18__2,-0.0854322773,-0.279414645,0.191225513,-0.022394787000000003,0.0928815325,0.9115120555
pal__5drib_ale10__1,-1.2627639556,-0.027787695,0.539559451,0.401836273,-0.0337479365,0.9093576335
pal__arab_ale14_f9__1,0.030520749000000003,0.353868815,0.6120842820000001,0.24554710300000002,-0.1586691175,-0.4265461505
pal__arab_ale14_f9__2,0.3729929048,0.41974093500000004,0.6312031330000001,0.412722073,-0.0429917295,-0.35549306950000004
pal__arab_ale14__1,1.3708835903,-0.073725045,0.011886513000000001,0.376783933,0.1319758965,-0.2417858225
pal__arab_ale14__2,0.9761802562,-0.208171285,0.053548302000000006,0.375609213,0.1502563335,-0.2578451895
pal__arab_ale16__1,-0.9382499240000001,-0.6507081960000001,-0.012330541,0.029854537,0.4941327025,0.1964395635
pal__arab_ale16__2,-1.5332637509,-0.478276798,0.17832696,0.109766425,0.4215443145,0.0568622445
pal__tartr_ale26_f10__1,-1.1568638323,0.186856515,0.566358428,0.311947293,-0.9968190695,0.2225531285
pal__tartr_ale26_f10__2,-0.4372222388,0.250459455,0.801237376,0.19927317300000003,-1.0807981775,0.3151548185
pal__tartr_ale26__1,-1.748484939,0.135640005,0.446671258,0.385079333,-0.7837024015,0.2784140225
pal__tartr_ale26__2,-1.024805786,-0.011190665,0.43309867500000004,0.334463263,-0.7620458855000001,0.3857143545
pal__tartr_ale28_f10__1,2.0203471369,0.428030885,1.432104296,-0.0037122770000000004,-1.0108810655,-0.10273533850000001
pal__tartr_ale28_f10__2,1.9892597486999999,0.205704095,1.232142026,-0.098690551,-0.7662171655000001,-0.15649287150000002
pal__tartr_ale28__1,0.0389017682,-0.166460525,0.438212184,0.272968543,-0.5223641885,-0.0567533215
pal__tartr_ale28__2,-1.4086816914,-0.06146080500000001,0.50970426,0.268494893,-0.1847587745,0.1348526165
efeU__delmenFentC_citr__1,-0.5144977657,-0.145626785,0.564737193,0.422197943,-1.1265197635,-0.4299608375
efeU__delmenFentC_citr__2,-0.22309752260000001,-0.116302715,0.513067552,0.567725263,-1.6101665645,-0.4640288495
efeU__delmenFentC__1,1.9382051711,0.549578395,0.991366136,0.6961985230000001,-0.7675168095,-0.8467870275
efeU__delmenFentC__2,1.7757436811,0.43058213500000003,1.000446686,0.736210653,-0.7490374395,-0.7631983415
efeU__menFentC_ale39__1,-2.8680756385,0.190655385,0.7605526960000001,0.5420487930000001,-1.0738139295,-0.2556837565
efeU__menFentC_ale39__2,-3.1174168058,0.252124195,0.883820566,0.5730386230000001,-1.1422949725,-0.1915773315
efeU__menFentC_ale29__1,-2.2864186811,0.5006850850000001,0.759366626,0.911502773,-1.4500382195000001,-0.039705712500000004
efeU__menFentC_ale29__2,-2.8745787800000002,0.521677585,0.757306236,0.943276293,-1.3523061495,0.058085645500000005
efeU__menFentC_ale30__1,-3.8159678883,-0.189715765,-0.291655781,0.106685208,-0.6122707405000001,0.1319201785
efeU__menFentC_ale30__2,-3.8687822889,-0.220002785,-0.36664113200000004,0.063971556,-0.6027609325000001,0.1403792365
efeU__menFentCubiC_ale36__1,-2.2121327133,0.28719155500000004,0.5628257560000001,0.821857583,-0.8363587025,0.13333991350000002
efeU__menFentCubiC_ale36__2,-2.6453764341,0.25688472500000004,0.5128759540000001,0.648169773,-0.8566006125000001,0.0445382865
efeU__menFentCubiC_ale37__1,-1.9578020495000001,0.346392305,0.816333446,0.843077653,-0.8640647925,0.1334626515
efeU__menFentCubiC_ale37__2,-1.25209418,0.490369765,0.838034626,0.8884085730000001,-0.6677842625,0.1367576495
efeU__menFentCubiC_ale38__1,-4.0145914111,-0.32222528500000003,-0.074172423,0.348438943,-0.6610287615,-0.2789833975
efeU__menFentCubiC_ale38__2,-4.0095756529,-0.262492545,-0.09908335700000001,0.309908293,-0.6968804975,-0.2123298265
misc2__salc_glc__1,4.8161008076,-0.24330995500000002,0.5844178910000001,-0.030941686000000003,0.0312743785,-0.36501655450000003
misc2__salc_glc__2,4.8470938861,-0.073045625,0.808158746,-0.041858422,0.7395884435000001,-0.053028755500000004
misc2__dbcn_glc__1,-1.713496087,-1.271892759,0.15480885800000002,-0.41418928400000005,0.0059681885,-0.2567029305
misc2__dbcn_glc__2,-2.149846471,-0.634524159,0.55781359,-0.322180379,-0.0557179655,-0.2695548895
misc2__tyr_glc__1,-1.789365074,0.254435625,0.31652371500000004,0.482338413,-0.7133522125,-0.2503051805
misc2__tyr_glc__2,-2.0408096314,0.410888815,0.34805157400000003,0.519726133,-0.6499084435,-0.2997001745
misc2__arg_cytd__1,-3.0006782146,-0.48980773,0.169371414,0.10509646700000001,-0.7633165135000001,-0.1083011905
misc2__arg_cytd__2,-3.1302864425,-0.5114058730000001,0.010136641,0.09710128400000001,-0.6439792095,-0.1827847635
misc2__delyheO_pyr__1,0.0953176687,0.115925255,0.33839259600000005,1.000412783,-0.9078777835,0.4023999695
misc2__delyheO_pyr__2,0.2180919831,0.059341995,0.271971768,1.013481493,-0.8757888025,0.27791473850000004
nquinone__delubiC__1,-1.5621414353,-0.316502855,-0.21489506600000002,0.44647993300000005,-0.8492566695,-0.21470511750000001
nquinone__delubiC__2,-1.0733108457,-0.027274305000000002,-0.033263391,0.618285233,-0.9878380655000001,-0.3306261005
nquinone__ubiC_ale1__1,-2.2197508233,0.21852216500000002,0.428926898,0.46214110300000005,-0.6421948565000001,0.0790396755
nquinone__ubiC_ale1__2,-1.9957929144,0.089544445,0.450352065,0.518639853,-0.8391899415,-0.0734280155
nquinone__ubiC_ale2__1,-2.0242193257,0.25115724500000003,0.6083629190000001,0.47472340300000004,-1.1181364905,0.0353346505
nquinone__ubiC_ale2__2,-1.6359025779,0.231592915,0.553352198,0.429799533,-1.1065991995,-0.0018049525
nquinone__ubiC_ale3__1,0.6510496474,-0.39827128500000003,-0.163675489,0.026469302,-1.3920419835,-0.6794247415
nquinone__ubiC_ale3__2,0.3505882798,-0.361897055,-0.11664080600000001,0.09906102300000001,-1.3780014895,-0.6278564055
nquinone__ubiC_ale4__1,-1.7505471965,0.234477855,0.5165691680000001,0.49321258300000004,-0.9525424995,-0.0891983695
nquinone__ubiC_ale4__2,-1.8904019564,0.152283425,0.559982902,0.508607923,-0.8759082535,-0.0803739825
nquinone__delpdhR__1,-0.3227635652,-0.068099535,0.13690308,0.38566819300000005,-0.6328557565,-0.2769369845
nquinone__delpdhR__2,-0.3769721346,-0.036035855000000006,0.13527434200000002,0.362990173,-0.7904442525,-0.2938275845
quinone__glu_ale4__1,-3.9993004951,-0.18176504500000001,0.32555621300000004,0.36842613300000004,-0.8346859955,-0.3001390625
quinone__glu_ale4__2,-4.461456139,0.269205825,0.554928426,0.736125773,-0.9095894665,-0.4458674305
quinone__delmenF__1,0.1682445405,0.148042285,0.6222112750000001,0.553279673,-0.7007224125,-0.3317039425
quinone__delmenF__2,-0.0227946283,-0.250908275,0.385758567,0.42430167300000005,-0.9080511045,-0.2140393105
quinone__menF_ale5__1,-1.2138064641,0.48513176500000005,0.21714596200000003,0.904530523,-1.2278892035,-0.3731903915
quinone__menF_ale5__2,-0.8149318303,0.266281765,0.31143739,0.929254393,-1.3341666385,-0.39414975150000003
quinone__menF_ale6__1,-0.973793208,0.38202392500000004,0.522454143,0.9289372330000001,-1.3959419355,-0.3932079115
quinone__menF_ale6__2,-0.6711719992,0.421074335,0.48432147600000003,0.9358953230000001,-1.0669708365,-0.2942019615
quinone__menF_ale7__1,-1.2970934957,0.636740065,0.7122535630000001,0.8647486830000001,-1.1498608455000001,0.2206331685
quinone__menF_ale7__2,-0.8658096557,0.691051775,0.651048905,0.829767083,-1.0526092505,0.1118040455
quinone__menF_ale8__1,-4.3751031574,0.695164695,1.115899716,1.000233243,-0.7851558645000001,-0.048174719500000004
quinone__menF_ale8__2,-3.3893586611,0.971904815,0.5338657950000001,0.9954071830000001,-0.5329830375,-0.3402880525
quinone__delmenFubiC__1,0.8730645906000001,0.045415855000000005,0.41800140300000005,0.503242803,-0.6692865605,-0.3092731875
quinone__delmenFubiC__2,1.0505931816,0.152257115,0.41796379,0.5733612730000001,-0.5177845095,-0.17641565350000002
quinone__menFubiC_ale1__1,-3.728612522,0.5501011250000001,0.990161956,0.688985203,-1.0690920985,-0.06474065650000001
quinone__menFubiC_ale1__2,-3.4087848387,0.532344675,0.9831297560000001,0.689163233,-1.2404115165,-0.1520650225
quinone__menFubiC_ale2__1,-2.660931381,0.626683035,0.8927740160000001,0.566404903,-1.0386657805,-0.2111487195
quinone__menFubiC_ale2__2,-2.7977103964000003,0.596736845,0.9872195560000001,0.587592463,-1.1759956675,-0.058635081500000005
quinone__menFubiC_ale3__1,-4.4187020924,-0.15358316500000002,0.07436142200000001,0.10847917900000001,-0.8349534855,-0.0896427895
quinone__menFubiC_ale3__2,-4.5833557481,-0.036589665,0.095882301,0.14360144,-0.6538082055000001,-0.0698728435
quinone__menFubiC_ale4__1,-2.2452061526,0.775029505,0.8589243360000001,1.042582673,-0.8252813765,-0.6007593125
quinone__menFubiC_ale4__2,-2.5648659243000003,0.8413603550000001,0.844631216,1.027989663,-0.6687982755,-0.5026456095
oxyR__wt_glc__1,-2.7108369822,-0.48556983000000004,-0.146201738,0.09382866100000001,-1.0118133685,-0.1736526655
oxyR__wt_glc__2,-2.2806860877,-0.46299467600000005,-0.07992882,0.13043923,-0.9657658505000001,-0.1066645425
oxyR__wt_h2o2__1,-1.6408938848,-0.5230424,-0.058308609000000004,0.057576022000000004,-1.1057754165,-0.1139529145
oxyR__wt_h2o2__2,-1.3957767772,0.050135135000000004,0.511779267,0.46187418300000005,-0.8058201985000001,0.0174592985
oxyR__glu_ale4__1,-3.149558333,0.5308955750000001,0.48734367500000003,0.7723290730000001,-0.3402907905,0.4358023165
oxyR__glu_ale4__2,-3.174307249,0.239963105,0.55045278,0.495795953,-0.3000450455,0.1606344035
oxyR__glu_ale4_h2o2__1,-2.886824712,0.321393215,0.42652437200000004,0.621328373,-0.3296303225,0.3501225765
oxyR__glu_ale4_h2o2__2,-2.5855662327999998,0.175331545,0.41923975900000005,0.486348433,-0.47293722050000003,0.3245514705
oxyR__oxyR_ale17__1,-1.4072673993,-0.012998075000000001,-0.47258526700000003,0.13801763,-0.48094264950000004,0.6820349205
oxyR__oxyR_ale17__2,-1.557672388,-0.17918820500000002,-0.319391246,0.15520324300000002,-0.7852454735000001,0.6488653885
oxyR__oxyR_ale17_h2o2__1,-1.3287191863,0.11520936500000001,-0.407849047,0.211227453,-0.6443495025,0.6121383695
oxyR__oxyR_ale17_h2o2__2,-1.7236230765,-0.10849309500000001,-0.36088363100000004,0.156206473,-0.4405838185,0.6900592575000001
oxyR__oxyR_ale18__1,-3.3425105949000002,-0.712682895,-0.423750187,-0.23326590800000002,-1.3088692995,-0.2568402815
oxyR__oxyR_ale18__2,-3.4016522069,-0.45515782,-0.580132675,-0.08594182800000001,-1.1226058025,-0.1528743355
oxyR__oxyR_ale18_h2o2__1,-2.0962846872,-0.19995716500000002,-0.432093592,0.027939159,-1.0676757815,0.3295441655
oxyR__oxyR_ale18_h2o2__2,-2.6393927278,-0.057134725000000004,-0.32869141,0.095125363,-0.9951042415,0.39825510550000004
oxyR__oxyR_ale19__1,-3.0517448749,-0.6934130190000001,-0.75174328,-0.186683067,-1.2069197195,-0.31673114350000003
oxyR__oxyR_ale19__2,-2.5343560212,-0.61577951,-0.8265227650000001,-0.08065952300000001,-1.1541648495,0.0385580375
oxyR__oxyR_ale19_h2o2__1,-2.7525024053,-0.8395102720000001,-1.194452202,-0.32169368600000003,-1.1261364545,-0.34107716450000003
oxyR__oxyR_ale19_h2o2__2,-2.8273616996,-0.70593072,-0.979012392,-0.22926116100000002,-1.2448169575,-0.2926749605
oxyR__oxyR_ale20__1,-1.5056647709000002,-0.6174351720000001,-0.669338697,-0.29073972200000003,-1.2622851245,0.3667620935
oxyR__oxyR_ale20__2,-1.4443659807,-0.7454431260000001,-0.671754205,-0.328630297,-1.2360727965,0.2693497675
oxyR__oxyR_ale20_h2o2__1,-1.356402566,-0.553778804,-0.809541689,-0.103214605,-0.9268340945,0.3920265375
oxyR__oxyR_ale20_h2o2__2,-1.054965813,-0.39342944500000004,-0.808753508,-0.05797147800000001,-0.9704761445000001,0.37092413350000003
svns_pgi__BmePgi24_15__1,-0.3957067409,-0.242068375,0.15738168700000002,0.20789728300000002,-0.8451015575,-0.1015453585
svns_pgi__BmePgi24_15__2,-0.6003786925,-0.145811075,0.158383399,0.288214413,-1.0168976775,-0.3156219655
svns_pgi__BmePgi24_26__1,-2.0793547632,-0.22252184500000002,0.019257945000000002,0.16856253300000001,-0.8950893095,-0.0694856845
svns_pgi__BmePgi24_26__2,-3.1007219383,-0.290125915,0.151773498,0.144982372,-0.7898300025,-0.0329812155
svns_pgi__BmePgi24_41__1,-3.408360599,0.818727175,1.017115486,0.495849313,-0.1772175305,0.0900326495
svns_pgi__BmePgi24_41__2,-3.7691665521,-0.43698767,0.043576312000000006,0.08223337900000001,-0.5883987865,0.0908492365
svns_pgi__BmePgi24_52__1,-1.1293524526,-0.23280757500000002,0.044739098000000005,0.260077643,-0.7043011995,0.2280290295
svns_pgi__BmePgi24_52__2,-2.1929531171,-0.44035611500000005,0.057732437000000005,0.110092349,-0.7763867845,0.045015701500000005
svns_pgi__PaePgi2_34__1,4.5086702736,0.48633563500000004,0.7317756190000001,0.946417433,-0.6129763355,0.06744731250000001
svns_pgi__PaePgi2_34__2,4.0453876065,0.469224085,0.699000876,0.980365153,-0.6130994015,0.0447984965
svns_pgi__PaePgi2_63__1,3.7408822246,0.310422755,0.7554666760000001,0.9986914830000001,-0.35403250950000004,0.1602298815
svns_pgi__PaePgi2_63__2,3.9494258011000003,0.406436905,0.7990900860000001,0.9749593430000001,-0.5574686775000001,0.1413458675
svns_pgi__PaePgi24_54__1,4.0984294344,0.107600365,0.852278316,0.830338573,-0.5340128505,0.1241862345
svns_pgi__PaePgi24_54__2,3.9489017931,0.14424013500000002,0.908308306,0.926503413,-0.5503003615000001,0.1773132215
svns_pgi__PaePgi24_90__1,1.5523408183,0.21443858500000001,1.097423036,0.8096897230000001,-0.47799481850000003,0.3188783845
svns_pgi__PaePgi24_90__2,1.2281800005,0.256181475,1.1680522660000001,0.9991721830000001,-0.4268727195,0.3431820045
abx_media__m9_ctrl__1,-1.5769174475,-0.7748466310000001,0.38832677600000004,-0.219087253,-0.5006947955000001,-0.3554692465
abx_media__m9_ctrl__2,-1.3272795132000001,-0.64266658,0.5281267030000001,0.06872793,-0.2282700325,-0.2348982135
abx_media__rpmi_ctrl__1,-4.1251264265,-1.939577305,1.148398166,0.181883243,0.1793513365,-0.8119926805000001
abx_media__rpmi_ctrl__2,-2.8404182369,-2.241790295,0.960487886,0.46045822300000006,0.1898705015,-0.8293008375
abx_media__camhb_ctrl__1,-8.1748392595,-1.209246395,-0.9133811220000001,-1.466715649,-0.06534619950000001,-1.3383975505
abx_media__camhb_ctrl__2,-7.9527761127000005,-1.408883126,-0.9972484690000001,-1.564214307,-0.2195039175,-1.2419825195
abx_media__m9_mero__1,-2.3305386884,-0.692410551,0.49373369300000003,0.10006032100000001,0.1114564505,-0.5594952585
abx_media__m9_mero__2,-1.7669790359,-0.760633267,0.239644822,-0.24440689100000001,-0.2707116985,-0.3955920685
abx_media__rpmi_mero__1,-3.9385698479,-2.122024952,0.750131416,-0.15585906600000002,0.0117198285,-1.0346190905
abx_media__rpmi_mero__2,-3.6649577211,-1.985576121,1.117783896,0.12222331400000001,0.1646302345,-0.8550190215
abx_media__camhb_mero__1,-8.5018639226,-1.809309373,-1.343260479,-2.568928611,-0.3812039045,-1.9034436515
abx_media__camhb_mero__2,-8.0401115855,-1.769452582,-1.375806483,-2.37205329,-0.3969851635,-1.8338377315
abx_media__m9_trisulf__1,2.0523100998,-0.654139134,0.42521249800000005,-0.13952741600000002,0.2716225935,-0.4139257005
abx_media__m9_trisulf__2,1.865105363,-0.673502463,0.202579652,-0.121563182,0.0072975095,-0.3658489225
abx_media__rpmi_trisulf__1,-12.1021932785,-1.495545031,-0.996780494,-1.138543574,0.2193299585,-1.1970739355
abx_media__rpmi_trisulf__2,-11.6484357252,-1.3725593790000001,-0.869100763,-1.125744815,0.0473860245,-1.1370689815
abx_media__camhb_trisulf__1,-9.6038244909,-1.642703878,-0.76746688,-0.616348749,0.7730391455000001,-1.0500158225
abx_media__camhb_trisulf__2,-9.3208906156,-1.608883975,-0.6975454830000001,-0.651084973,0.6596794395000001,-1.1212806755
abx_media__m9_cef__1,-0.2499800053,-0.7174840370000001,0.322745916,-0.424559634,-0.0250605855,-0.1439478705
abx_media__m9_cef__2,0.0050014954,-0.795013022,0.32773048800000004,-0.35219075800000005,-0.3377009695,-0.36378928450000003
abx_media__rpmi_cef__1,-8.1803660694,-2.385835026,-0.031158746,0.17718560300000002,0.4505585025,-0.9479018825000001
abx_media__rpmi_cef__2,-8.2341354708,-2.377511802,-0.000146966,0.253641923,0.4724379265,-0.8289428295
abx_media__camhb_cef__1,-8.3022374393,-1.499025855,-0.82586124,-0.8382274850000001,0.07126647650000001,-0.9917317395
abx_media__camhb_cef__2,-8.3989524993,-1.429627373,-0.816201806,-0.903455694,0.0298107715,-1.0507998015
abx_media__m9_cipro__1,-0.9084323014000001,-0.797538743,0.259412766,-0.296102011,0.14300276750000002,-0.5461974325
abx_media__m9_cipro__2,-0.7996181471,-0.715373115,0.25472500200000003,-0.23094071100000002,0.1323198455,-0.6536082705
abx_media__rpmi_cipro__1,-8.1807842771,-1.969755932,-0.464657757,-0.708797459,0.7760490685,-1.2084995715
abx_media__rpmi_cipro__2,-8.2182941685,-1.89297845,-0.20812524200000002,-0.968107711,1.1210970275,-1.2680169395
abx_media__camhb_cipro__1,-11.0458196565,-1.285918855,-1.6314585560000001,-1.356589447,-0.33359776350000003,-1.6057893564999999
abx_media__camhb_cipro__2,-11.2533659594,-1.320916752,-1.578264933,-1.123683673,-0.2035151355,-1.5622716605
hot_tale__42c_ale3_30c__1,-3.6624630960999998,-0.311726125,-0.085024997,0.062207968,-0.7881462785000001,-0.2280425985
hot_tale__42c_ale3_30c__2,-3.8400856737,-0.313698215,-0.11169243100000001,0.01735881,-0.8339429495,-0.4117478885
hot_tale__42c_ale3_37c__1,-3.7572750702,-0.356550505,-0.12554602,0.43556652300000004,-0.6301032625,-0.3369046925
hot_tale__42c_ale3_37c__2,-3.6540135543,-0.286844505,-0.12163840100000001,0.40063680300000004,-0.5315462755,-0.4763269895
hot_tale__42c_ale3_44c__1,5.8880803467,0.8838351350000001,0.147011691,0.37188534300000003,-0.2540808755,0.3283116975
hot_tale__42c_ale3_44c__2,6.2079116829,0.915693485,0.17322447,0.35534419300000003,-0.28477027450000003,0.3002538615
hot_tale__hot_ale3_mid_30c__1,-2.9828274363,0.005993265,0.59222252,0.739618883,-0.6094794095,0.1612692785
hot_tale__hot_ale3_mid_30c__2,-3.1337206901,-0.007385775000000001,0.504056843,0.562500333,-0.8178353885,0.0925173505
hot_tale__hot_ale3_mid_37c__1,-3.0807502196,-0.501685806,0.22968818400000002,0.5847484430000001,-0.9158436435,-0.30707745950000004
hot_tale__hot_ale3_mid_37c__2,-3.6729974013,-0.528992617,0.056962728000000004,0.18943374300000002,-1.1714061565,-0.0948710745
hot_tale__hot_ale3_mid_44c__1,0.6455615118,0.11469567500000001,0.39358909999999997,-0.071245341,0.3113993995,0.1357722605
hot_tale__hot_ale3_mid_44c__2,0.35205007790000004,0.23116971500000003,0.6512664920000001,-0.002275453,0.3504345545,0.2854650045
hot_tale__hot_ale3_30c__1,-3.4761408838,-0.45345180900000004,0.508200498,0.515020333,-0.9343105125000001,0.0888244745
hot_tale__hot_ale3_30c__2,-2.9603673371,-0.329073775,0.554538969,0.5286701730000001,-0.8133547265000001,0.14737257750000002
hot_tale__hot_ale3_37c__1,-2.5841994891,-0.40363830500000003,0.131412035,0.349377103,-1.0249818055,-0.0341578565
hot_tale__hot_ale3_37c__2,-1.9056778379,-0.277036345,0.113307349,0.396319383,-0.9280543685,0.1189017955
hot_tale__hot_ale3_44c__1,1.3486323283,0.227503365,0.732414381,0.286434483,0.0142875155,-0.12267522950000001
hot_tale__hot_ale3_44c__2,2.3739838369,0.238396985,0.397215451,0.302318703,0.33968641650000003,-0.1418937485
hot_tale__hot_ale4_30c__1,-3.6772584612,-0.546493917,0.047990289000000005,-0.059878781000000006,-0.7893471265,-0.3591463355
hot_tale__hot_ale4_30c__2,-4.0448961401,-0.407269425,0.024226647,0.027680622000000002,-1.0160667225,-0.2995226505
hot_tale__hot_ale4_37c__1,-4.1769671079,-0.459973854,-0.16735893200000002,-0.154360834,-1.0316263335,-0.4472478575
hot_tale__hot_ale4_37c__2,-4.0046724914,-0.44517688800000005,-0.046169952,-0.04945323,-1.1208660685,-0.21439937050000002
hot_tale__hot_ale4_44c__1,1.9181168122,0.082785365,0.000397934,0.164713793,0.7885239965,0.1914428035
hot_tale__hot_ale4_44c__2,1.4500141842,0.259213805,0.061681656,0.075804102,0.6839030375,0.1219007205
hot_tale__hot_ale8_30c__1,-5.4143063341,-0.9095089900000001,0.023464927,-0.056768665,-0.8027347855,-0.058053794500000006
hot_tale__hot_ale8_30c__2,-4.7197715063,-0.7777570690000001,0.08428102900000001,-0.10699186200000001,-0.7564071395,-0.1176217075
hot_tale__hot_ale8_37c__1,-5.0336389461,-0.727489724,-0.240669923,-0.007091699000000001,-0.7688211685,-0.0756692025
hot_tale__hot_ale8_37c__2,-4.903632888,-0.703668932,-0.24078269100000002,-0.044047578000000004,-0.7241249745,-0.0424388235
hot_tale__hot_ale8_44c__1,0.12549430250000002,0.012718265000000001,0.11352845800000001,0.07381628,1.0065061685,0.3606678225
hot_tale__hot_ale8_44c__2,-0.3555666082,-0.09703083500000001,0.055647699999999994,0.140506256,0.8840237885000001,0.3881329455
hot_tale__hot_ale9_mid_30c__1,-3.6668994267,-0.049583385,0.423811033,0.119931675,-0.8030644835,-0.0171176545
hot_tale__hot_ale9_mid_30c__2,-2.6790842238,0.135071655,0.36192860400000004,0.10594186400000001,-0.7436712905,0.024780219500000002
hot_tale__hot_ale9_30c__1,-4.1678654035000005,-0.592842238,0.23718312100000002,0.057352916000000004,-1.0625553935,-0.2434496105
hot_tale__hot_ale9_30c__2,-4.0705109495,-0.58999575,0.35780927900000004,0.174084083,-1.0025381805,-0.2171794655
hot_tale__hot_ale9_mid_37c__1,-3.8949961847,-0.367639655,-0.065463742,-0.07088768,-1.0071477815,-0.2633924185
hot_tale__hot_ale9_mid_37c__2,-4.0470405528,-0.29849762500000004,0.0031101880000000003,0.028525377,-0.8159865705,-0.1993657325
hot_tale__hot_ale9_37c__1,-4.4461974433,-0.38001561500000003,0.024472946000000002,0.032825572000000004,-1.0639569675,-0.2251863155
hot_tale__hot_ale9_37c__2,-4.3577008402,-0.376293755,0.055705313000000006,0.037217243000000004,-1.0890339505,-0.3138012415
hot_tale__hot_ale9_mid_44c__1,1.8472396805,0.19238305500000003,0.153475046,0.286125693,1.0806181774999999,0.3286793945
hot_tale__hot_ale9_mid_44c__2,3.9984902166,0.510890925,0.383165937,0.30561196300000004,0.6322889475,0.1371537125
hot_tale__hot_ale9_44c__1,1.3060286059,0.24630422500000002,0.42902198,-0.027297961000000003,0.8353778165,0.2043196165
hot_tale__hot_ale9_44c__2,0.4958857602,0.38751159500000004,0.47947808100000006,-0.086313521,0.49056856050000003,0.0383055815
hot_tale__hot_ale10_30c__1,-3.7665238981,-0.45869837300000005,0.40552786700000004,0.23749544300000003,-0.8427293635,0.1742360945
hot_tale__hot_ale10_30c__2,-4.1062961452,-0.355403095,0.36391003800000005,0.42203483300000005,-1.0415344835,0.2046892845
hot_tale__hot_ale10_37c__1,-4.1399886863,-0.447231433,-0.17456958,0.06875389400000001,-1.0164365985,-0.3254524895
hot_tale__hot_ale10_37c__2,-3.9192329702,-0.371389305,-0.112775311,0.12083432100000001,-1.1255771655,-0.20625851950000001
hot_tale__hot_ale10_44c__1,0.1574622632,0.178874645,0.547628596,-0.035753444,0.3648275775,0.0072313685
hot_tale__hot_ale10_44c__2,1.0534712189,0.311857795,0.138707938,0.110043497,0.6085204385,0.0135728445
hot_tale__hot_ale16_30c__1,-3.3128598364,-0.467012603,0.123741612,0.129309161,-1.1498613235,0.061462300500000004
hot_tale__hot_ale16_30c__2,-3.1611342546,-0.372629985,0.148947619,0.251086443,-1.0994291835,0.0795101485
hot_tale__hot_ale16_37c__1,-4.6574297259,-0.431921053,-0.194823721,-0.022647861000000002,-0.9947483815,-0.0533457045
hot_tale__hot_ale16_37c__2,-4.595542762,-0.424432715,-0.207813609,-0.007290675000000001,-1.0022737535,-0.11059279550000001
hot_tale__hot_ale16_44c__1,-2.1910641644,0.140553845,0.116287575,0.039920518,0.4136159895,0.2498183645
hot_tale__hot_ale16_44c__2,-2.3305856313,0.24958026500000002,0.30610816900000004,0.206041613,0.7619963195,0.4299435455
pdhr_ale__pdhR-13_51__1,-2.0008872796,0.670059155,0.182452148,0.426042593,-1.1244917675,-0.1282312575
pdhr_ale__pdhR-13_51__2,-2.1585236038,0.584683415,0.05675017500000001,0.345369843,-1.0577976695,-0.0017489555000000001
pdhr_ale__pdhR-14_46__1,-0.5189867139000001,1.127235165,0.9022052260000001,0.413744223,-1.1465626725,-0.1284979795
pdhr_ale__pdhR-14_46__2,-0.7987043448000001,1.086679905,0.805511006,0.374689043,-1.0755179485,-0.10850641250000001
pdhr_ale__pdhR-15_51__1,-2.4666009872,0.419866055,-0.13942209900000002,0.208151253,-1.0249877925,-0.1142150975
pdhr_ale__pdhR-15_51__2,-2.5000311866000002,0.633658665,-0.07192016500000001,0.291227723,-1.1946359715,-0.0220606105
pdhr_ale__pdhR-16_49__1,-2.8536563189,0.992749325,-0.052949313000000005,0.35863981300000003,-1.5478779885,-0.0295689625
pdhr_ale__pdhR-16_49__2,-1.9927592918,0.978565255,0.362159938,0.29102474300000003,-1.2079419825,0.06996596050000001
tcs__del_atoC_LiAcet__1,0.7512252195,0.07488206500000001,-0.189834376,0.372321163,-0.9949783655000001,0.11987262350000001
tcs__del_atoC_LiAcet__2,1.1943395682,0.076697995,0.008173476,0.554500683,-0.6598907125,0.31394053850000003
tcs__del_atoC_LiCl__1,0.27462998050000004,0.35601839500000004,0.169654342,0.729717593,-0.8278685575,0.1931644615
tcs__del_atoC_LiCl__2,0.4483516916,-0.003665175,0.06729879400000001,0.8032040530000001,-0.6948210045000001,0.2529109075
tcs__del_atoC_m9__1,-0.0882987971,0.390416185,0.15616148500000002,0.699493633,-0.7990882755000001,0.13470229150000002
tcs__del_atoC_m9__2,0.1263889873,0.45289707500000004,0.239198092,0.8078232030000001,-0.6869880415,0.2756682365
tcs__del_baeR_etoh__1,-9.7910040946,-1.004696949,0.8641572160000001,0.7253874130000001,-2.1888260715,1.8335522395
tcs__del_baeR_etoh__2,-8.7837443085,-1.039493529,0.973083856,0.8432000030000001,-1.8426385125,2.0021776035
