,A,AraC,MhpR
biocide__gluald_12h__1,0.23133389740000002,0.26758692230000003,0.1475289754
biocide__gluald_12h__2,-0.1549797161,0.27608346310000004,0.1928028074
biocide__gluald_12h__3,0.5562908027,0.3967222434,0.53929848
biocide__h2o2_12h__1,0.247001935,0.046805601100000004,0.21035497690000002
biocide__h2o2_12h__2,-0.0002092286,0.1435311651,-0.0402094423
biocide__h2o2_12h__3,-0.8140716833,0.8904209765000001,-1.4103596744
biocide__2ppoh_12h__1,-2.3673931939,0.278460753,0.6114822381
biocide__2ppoh_12h__2,-2.3905838111,0.442201705,0.4933811381
biocide__2ppoh_12h__3,-2.2792585836,0.6199729908,0.6838317511
biocide__paa_12h__1,-1.0841661396,0.2733162924,-0.8718952282
biocide__paa_12h__2,-1.0758631657,0.42547594390000004,-1.0402691319
biocide__paa_12h__3,-1.2841122704,0.19456766720000002,-0.8703951150000001
biocide__phe_12h__1,-1.7529314718,0.3016859783,-0.3407579197
biocide__phe_12h__2,-0.8688186763,0.444953721,-0.6442760735
biocide__phe_12h__3,-0.8317201966000001,0.4102414351,-0.756653011
biocide__pvp-i_12h__1,-1.1815793262,0.2075916837,-0.9990785728
biocide__pvp-i_12h__2,-0.2526958458,0.6734386157000001,-0.6885444155
biocide__pvp-i_12h__3,-1.688655999,0.1331036089,-1.3615914392000001
biocide__bleach_12h__1,-0.1809886148,0.5828093146000001,-1.0720394149
biocide__bleach_12h__2,-0.9265546643,0.717242363,-1.3024965602
biocide__bleach_12h__3,0.06233538500000001,0.7513932019,-1.8379220691
biocide__chx_12h__1,-1.3051007442,0.6742061578,-1.8242061386000001
biocide__chx_12h__2,-0.8237507541,0.6106409236,-0.6876040992
biocide__chx_12h__3,-1.5057068813,0.4495916614,-1.0613499554
biocide__bzcl_30m__1,0.1123770899,0.0930473614,-0.5815533869
biocide__bzcl_30m__2,0.0165451707,-0.0451378327,-0.330105945
biocide__bzcl_30m__3,-0.0516732779,-0.026141522900000002,-0.39692491560000004
biocide__phe_30m__1,-1.1863903843,-0.2056280046,-0.6138759645
biocide__phe_30m__2,-0.4437029572,-0.0595100058,0.1337413868
biocide__phe_30m__3,-1.6056157078000002,-0.2328106598,-0.5961582747
biocide__pvp-i_30m__1,1.2362204526,-0.1459993155,0.1573421751
biocide__pvp-i_30m__2,1.4717839983,0.21891775500000002,-0.046777838
biocide__pvp-i_30m__3,0.7998538055000001,-0.4034308122,0.1078767008
biocide__ctrl_12h__1,0.0430541912,0.0093412411,0.9340374617
biocide__ctrl_12h__2,0.022547825,-0.2714836717,0.5693649093
biocide__ctrl_12h__3,0.4535190908,0.0388260282,0.47077864690000004
biocide__ctrl_30m__1,0.24759891790000002,0.047232855000000004,0.09074931500000001
biocide__ctrl_30m__2,-0.3670663001,-0.17861744740000002,-0.0004369144
biocide__ctrl_30m__3,0.1194673822,0.1313845925,-0.0903124007
clpP__wt__1,0.4904315339,0.0826412482,-0.2849429911
clpP__wt_DPTA__1,1.5337555653,0.8479397298,-2.400552496
clpP__wt__2,-0.4611091017,-0.5414731065,-0.11776432440000001
clpP__wt_DPTA__2,2.9541557355,0.49491518910000004,-2.6301577125
clpP__wt__3,-0.0293224322,0.4588318583,0.4027073155
clpP__wt_DPTA__3,1.6558676283,0.3787223364,-2.7451250256
clpP__delclpP__1,1.1150220606,0.3056182021,-0.8113376402
clpP__delclpP_DPTA__1,4.0729746949,0.2299271742,-1.4476987673
clpP__delclpP__2,0.7073387463,-0.6490395829000001,-0.5972374869
clpP__delclpP_DPTA__2,2.2182565514,0.3457625582,-2.0337987098
clpP__delclpP__3,1.4209223319,-0.055945214800000004,-0.15578346340000002
clpP__delclpP_DPTA__3,1.7165579172,0.5202928563,-2.1690603124
colombos2__delydcR__1,0.6700435363,-0.5688880272,0.1419046727
colombos2__delydcR__2,-0.8054833306,-0.0813989416,0.329724051
colombos2__delydcR__3,0.2675271098,0.1448876137,0.1213062636
colombos2__delyjiR__1,2.796430643,-0.33233484950000003,-0.0137288341
colombos2__delyjiR__2,1.3800911717,-0.29328604340000003,0.025931925
colombos2__delyjiR__3,2.2784783398,0.25075908080000003,-0.4303670939
colombos2__wt__1,0.27398199230000003,-0.1384669455,-0.45159288550000004
colombos2__wt__2,-0.0544273481,-0.0748428047,-0.102070276
colombos2__wt__3,-0.2195546442,0.21330975030000002,0.5536631615000001
crp_k100__ar1_ar2__1,0.3712083592,-2.6125478044,0.0
crp_k100__ar1_ar2__2,0.8322949847000001,-2.0309407592,0.0
crp_k100__ar1_ar2__3,0.8899141259000001,-1.5924100005000001,0.0
crp_k100__wt__1,-0.1103401868,0.049038687000000004,0.0
crp_k100__wt__2,-0.3829088767,-0.1088560358,0.0
crp_k100__wt__3,0.49324906350000003,0.0598173488,0.0
crp_k100__K100Q__1,0.6381069723,-0.3985382871,0.0
crp_k100__K100Q__2,0.5218915991,0.4832679186,0.0
crp_k100__K100R__1,0.1589532267,-0.19408870920000001,0.0
crp_k100__K100R__2,0.4860847387,-0.2088399636,0.0
crp_k100__K100R__3,0.823899492,0.17052589070000002,0.0
csrA__wt_t00__1,0.1130178191,-0.3093870886,-0.3707735927
csrA__wt_t02_30__1,0.8473522608,-3.2723112347,-1.2316533107
csrA__wt_t05__1,2.9892178238,-3.5068056859,-3.0109141625
csrA__wt_t10__1,3.6888745705,-3.56783005,-3.0115245907
csrA__wt_t15__1,3.4847863528,-3.031828323,-1.8421477099999999
csrA__delcsrA_t00__1,-0.8815107276,0.6417735826000001,1.9409957066999999
csrA__delcsrA_t02_30__1,1.36701828,-2.5641819113,0.34604511250000003
csrA__delcsrA_t05__1,4.3369997404,-3.423255983,-2.3854213627
csrA__delcsrA_t10__1,3.0316122146,-3.3814784128,-2.1363867535
csrA__delcsrA_t15__1,2.384697628,-3.0143945365,-1.8864563096
csrA__wt_t00__2,-0.1130178191,0.3093870886,0.3707735927
csrA__wt_t02_30__2,1.1424069469,-2.3908528367,-0.6972900254000001
csrA__wt_t05__2,3.6980331593,-3.4608641484,-2.2799611756
csrA__wt_t10__2,4.7434281418,-3.5348339816000003,-3.1048774431
csrA__wt_t15__2,3.8423339586000003,-2.6529463025,-2.1637018643
csrA__delcsrA_t00__2,-0.9854338598000001,-0.1708415134,0.8840344977
csrA__delcsrA_t02_30__2,2.5557469097,-2.5582074311,-0.6956150091000001
csrA__delcsrA_t05__2,2.4589339774,-3.6408759703999998,-2.9096510772
csrA__delcsrA_t10__2,3.5735367103,-3.5037045602,-2.7500539684
csrA__delcsrA_t15__2,2.1673339219,-2.4209739078,-1.7970733778999999
cstr_pfr__str_0005m__1,-0.049617541300000005,0.366781693,0.0946082815
cstr_pfr__str_0010m__1,-0.2909842455,0.214336148,-0.10883033630000001
cstr_pfr__str_0025m__1,0.0015889058,-0.014904903800000001,-0.0544892856
cstr_pfr__str_0045m__1,-0.2507959046,0.04156927,-0.47230087
cstr_pfr__str_0075m__1,0.2736924358,0.0445793351,-0.24506068390000002
cstr_pfr__str_0120m__1,0.0100969877,0.026891517700000003,-0.2166281081
cstr_pfr__str_0210m__1,0.2576677854,0.0774478663,-0.031888526
cstr_pfr__str_0330m__1,0.8128713887,0.4085312547,0.124041381
cstr_pfr__str_1500m__1,0.4687835818,0.2893128706,0.12236158080000001
cstr_pfr__str_1560m__1,-0.0380168663,0.25686011870000003,0.007824173700000001
cstr_pfr__str_1680m__1,0.1180516877,0.2635088959,-0.0700532363
cstr_pfr__str_ref1__1,0.21271970810000002,-0.0401291385,-0.006374828700000001
cstr_pfr__str_ref2__1,0.0318197231,0.15569417870000002,-0.038403798600000004
cstr_pfr__str_ref3__1,0.13061051740000001,-0.0629917727,-0.049518795500000004
cstr_pfr__pfr_P5_0005m__1,0.45710375140000004,0.4116185593,0.29539990180000003
cstr_pfr__pfr_P5_0010m__1,-0.1772971793,0.49900110210000004,-0.013198471600000001
cstr_pfr__pfr_P5_0025m__1,-0.129375501,0.3951142804,-0.0950654927
cstr_pfr__pfr_P3_0025m__1,-0.1857345324,0.0850904941,-0.10536231750000001
cstr_pfr__pfr_P1_0025m__1,-0.2406709103,-0.190191565,-0.1859043286
cstr_pfr__pfr_P5_0045m__1,0.4055830662,0.17098480130000002,-0.21862412550000002
cstr_pfr__pfr_P5_0120m__1,0.49315574370000004,0.3091583352,-0.222001994
cstr_pfr__pfr_P3_0120m__1,0.4047783998,0.10095696450000001,-0.32929852260000003
cstr_pfr__pfr_P1_0120m__1,0.2196788959,0.40640216760000003,-0.5848295118
cstr_pfr__pfr_P5_0210m__1,0.6438881799,0.45315829030000004,-0.1553196449
cstr_pfr__pfr_P5_1500m__1,-0.2122693199,0.3856336339,-0.06448797020000001
cstr_pfr__pfr_P3_1680m__1,0.001057966,0.4221997583,-0.0871237993
cstr_pfr__pfr_P5_1680m__1,-0.182007049,0.3779122971,-0.055325848600000005
cstr_pfr__pfr_P1_1680m__1,-0.20980230660000002,0.3441261615,0.0068755304000000005
cstr_pfr__str_0005m__2,0.0734928076,0.38702502710000003,-0.16793646240000001
cstr_pfr__str_0010m__2,-0.30068990030000003,0.13373543270000002,-0.4465500914
cstr_pfr__str_0025m__2,-0.2666417364,0.0136015175,-0.3770945973
cstr_pfr__str_0045m__2,-0.0115129659,0.0638650437,-0.44918651930000003
cstr_pfr__str_0075m__2,0.38568047040000003,-0.0295413099,-0.4999376616
cstr_pfr__str_0120m__2,0.45355727300000004,0.0788206764,-0.3648998778
cstr_pfr__str_0210m__2,0.3043802035,0.1729285805,-0.2159472124
cstr_pfr__str_0330m__2,0.1461143132,0.2133485629,-0.0698011493
cstr_pfr__str_1500m__2,-0.1250216513,0.42931458310000004,0.09316589580000001
cstr_pfr__str_1560m__2,0.0736977328,0.3461698307,0.138238924
cstr_pfr__str_1680m__2,0.1343213789,0.2536364754,0.0223694273
cstr_pfr__str_ref1__2,-0.21271970810000002,0.0401291385,0.006374828700000001
cstr_pfr__str_ref2__2,0.0691973312,0.0483695835,0.0053558079000000005
cstr_pfr__str_ref3__2,-0.13877625130000001,-0.0913961508,0.039973282400000004
cstr_pfr__pfr_P5_0005m__2,0.5212032404,0.40266804570000003,-0.0041022948000000005
cstr_pfr__pfr_P5_0010m__2,-0.39764016080000003,0.2663446975,-0.23984103910000001
cstr_pfr__pfr_P5_0025m__2,-0.0414600544,0.3052595345,-0.36308134950000004
cstr_pfr__pfr_P3_0025m__2,-0.2287446139,0.1098420372,-0.35011367930000004
cstr_pfr__pfr_P1_0025m__2,-0.2288959379,-0.0262267923,-0.4651623576
cstr_pfr__pfr_P5_0045m__2,0.43933332750000004,0.16806570210000002,-0.4190345212
cstr_pfr__pfr_P5_0120m__2,0.344135958,0.1260511199,-0.4470522022
cstr_pfr__pfr_P3_0120m__2,0.09877146610000001,0.1712677701,-0.3487756155
cstr_pfr__pfr_P1_0120m__2,-0.0470971062,0.2142709052,-0.3264628734
cstr_pfr__pfr_P5_0210m__2,0.4900644685,0.2778015529,-0.2399502336
cstr_pfr__pfr_P5_1500m__2,-0.1329316785,0.2680591903,-0.1204194571
cstr_pfr__pfr_P3_1680m__2,-0.16071368260000002,0.35116397600000004,-0.15034960560000002
cstr_pfr__pfr_P5_1680m__2,-0.1777711907,0.2165882493,-0.0624313707
cstr_pfr__pfr_P1_1680m__2,-0.1268605216,0.2004852969,-0.1383899778
darobactin__daro_30m__1,0.1221255683,2.3178142457,-0.8620334163000001
darobactin__daro_30m__2,-0.6097366571,0.6929045219000001,-0.315747979
darobactin__solv_1h__1,2.1609685623,3.1661147423,3.0389853108
darobactin__solv_1h__2,1.7642486992,2.9415077671,2.7323917721
darobactin__daro_1h__1,0.7794149773,3.2180787946000002,2.6331671769
darobactin__solv_1h__3,2.8623338185,3.2099030283,3.0352199362
darobactin__daro_1h__2,1.2081409316,3.515802344,2.5790710114
darobactin__daro_1h__3,2.3926191975,3.5293401788,2.9903036614
darobactin__daro_30m__3,0.5455601596,2.0341466817,1.2148485926
darobactin__solv_30m__1,-0.37475967920000003,0.5350922038,0.4291764704
darobactin__solv_15m__1,0.1628726856,-0.2760746063,-0.3485930109
darobactin__solv_15m__2,-0.2289713179,0.25967297980000004,0.0616921161
darobactin__daro_15m__1,1.072135717,0.9664684419,0.2702885117
darobactin__solv_15m__3,0.0660986323,0.016401626500000002,0.28690089480000003
darobactin__daro_15m__2,0.6637600022,-0.274706968,0.3642372547
darobactin__daro_15m__3,1.0378884159,0.0836949074,0.2878815384
darobactin__solv_30m__2,-0.9188447591000001,-0.0405066652,-0.5618974442
darobactin__solv_30m__3,-0.8484959646,0.7546493719,-0.052976506400000005
ddp__pNT3_aroP__1,0.4400618194,0.009721810800000001,-0.1555887182
ddp__pNT3_aroP__2,0.0238995259,-0.835427558,-0.0502523059
ddp__pNT3_bamC__1,-0.70210282,-2.5377231736,-3.9108247409
ddp__pNT3_bamC__2,-0.2572434034,-1.9785817451,-4.2148945175
ddp__pNT3_cusA__1,-0.42816523170000004,-2.2046271862,-3.9590195682
ddp__pNT3_cusA__2,-0.5179934569,-1.4956536931,-4.5105738857
ddp__pNT3_hemX__1,0.9548340306,-0.2898452778,0.11078691680000001
ddp__pNT3_hemX__2,1.2802748792,-1.0609187945,-0.0274834013
ddp__pNT3_empty__1,-0.1265980613,0.34045282790000003,0.041520372300000004
ddp__pNT3_empty__2,0.1265980613,-0.34045282790000003,-0.041520372300000004
ddp__pNT3_topA__1,-0.6835940892,-1.1614121994,-2.0622830174
ddp__pNT3_topA__2,-0.4605882765,-2.154944903,-2.3620702197
ddp__pNT3_yicR__1,0.3036498922,0.063299453,0.5479534257
ddp__pNT3_yicR__2,0.0678990748,-0.5829461271,0.6860655012
ddp__pNT3_yqjD__1,1.2272476343,0.2888844886,-0.1176045406
ddp__pNT3_yqjD__2,0.8952469724000001,-0.45179524190000003,-0.1691741146
ecomics__del_gabT__1,0.032672668,0.17716730560000002,-0.8865267098
ecomics__del_gabT__2,-0.032672668,-0.17716730560000002,0.8865267098
ecomics__del_putP__1,0.38928175470000004,0.4316726833,1.1069139932
ecomics__del_putP__2,0.0486317864,-0.1448580689,0.44307659450000003
ecomics__del_entF__1,-0.8336642646,0.2776557355,1.3148781132
ecomics__del_entF__2,-0.343622582,-0.0892907262,1.4563843512
ecomics__del_entF__3,-0.028661418,-0.0867410934,0.5413698486
ecomics__del_cysA__1,-0.4222955667,0.6625560546,2.4530521677
ecomics__del_cysA__2,-0.0194703297,0.4036865951,1.7823442803
elyC__wt_21C__1,1.0686695833,0.4200076044,0.0705998415
elyC__wt_21C__2,0.9731613944,0.403081201,-0.0001741589
elyC__wt_21C__3,0.9830525990000001,-0.0582631184,-0.053247899700000004
elyC__wt_37C__1,0.0030794576,0.3013870591,0.17593499410000002
elyC__wt_37C__2,0.0525392695,-0.3150426222,-0.18256439430000002
elyC__wt_37C__3,-0.0556187271,0.0136555631,0.006629400200000001
elyC__delelyC_21C__1,1.033793633,-0.09320221690000001,-0.052468618200000004
elyC__delelyC_21C__2,0.877083371,0.3412509697,0.1602033517
elyC__delelyC_21C__3,0.8723554325,0.2089560987,-0.0681783272
elyC__delelyC_37C__1,0.45232128460000004,0.1113893328,0.10350709870000001
elyC__delelyC_37C__2,0.2132529403,0.0431680432,0.0387720555
elyC__delelyC_37C__3,0.2573051501,0.4464579483,0.36555013210000004
evo_acid_w__F9_2__1,0.9690296850000001,0.6134773342000001,2.5113340827
evo_acid_w__F11_1__1,-0.5201452973,0.47445590790000003,0.042245206300000004
evo_acid_w__F11_1__2,-1.1446282129,0.2591109635,0.2075480902
evo_acid_w__F11_1__3,-1.2768775318,0.8429843669,0.5102616095
evo_acid_w__wt__1,-0.616388884,0.70408337,2.3315223458
evo_acid_w__F11_2__1,-0.5968861059,0.8380630640000001,2.3447746409
evo_acid_w__B11_2__1,0.43788454190000003,1.028018929,1.5972393683
evo_acid_w__F11_2__2,-0.8622732885000001,0.2424514069,-0.8956298673
evo_acid_w__wt__2,-0.7232249021,0.5288634083,-0.3015063141
evo_acid_w__B11_1__1,-0.7173715236,0.5225872033,-1.1892897527
evo_acid_w__H9_1__1,-2.35490866,0.27290066,-0.3566688455
evo_acid_w__H9_2__1,-0.0065616093,0.0127243836,-0.5458109029
evo_acid_w__B11_2__2,0.4121143639,1.3446598017,1.5795511233
evo_acid_w__wt__3,0.1097692822,0.403715392,-0.10928897380000001
evo_acid_w__H9_2__2,-0.25921637540000003,-0.09567882030000001,-0.3114380894
evo_acid_w__B11_2__3,0.153922667,1.3220296009,1.0166782408
evo_acid_w__F11_2__3,-0.8168506345000001,0.5956932989,-0.5006359627
evo_acid_w__F9_2__2,0.4406360909,0.250753734,2.4475669469
evo_acid_w__wt__4,0.379393126,-0.4123410637,-0.30236623690000003
evo_acid_w__wt__5,0.1675481412,-0.5360973185,-0.2990988458
evo_acid_w__wt__6,-0.1009523937,-0.43909014490000003,-0.9113869988000001
evo_acid_w__H9_1__2,-2.1257804951,0.3444305331,-0.4104776328
evo_acid_w__F9_1__1,0.1070543728,0.6830318732,1.4337707247
evo_acid_w__F9_1__2,-0.3534430027,0.6197824746,1.203815708
evo_acid_w__B11_1__2,-0.2454485441,-0.08210153640000001,-1.3980608929
evo_acid_w__H9_2__3,-0.5255109916,-0.037150511000000004,-0.5123593297
evo_acid_w__wt__7,-0.47411210260000003,-0.3848189158,0.8074238813
evo_acid_w__F9_1__3,-0.2851995224,0.9779937716,1.9373903415
evo_acid_w__F9_2__3,1.0753942074,0.6817172261000001,2.5396101134
evo_acid_w__wt__8,0.2457834768,0.10301082,-1.0082062368
evo_acid_w__B11_1__3,-0.5513922184,0.2673456105,-1.581793443
evo_acid_w__wt__9,1.0121842562,0.0326744526,-0.2070926209
evo_bz__c3_1_bz__1,0.3662345154,0.3006796954,0.8649781335000001
evo_bz__c3_1_bz__2,2.3714857999,1.0467167341999999,2.2587660093
evo_bz__c3_1_bz__3,2.3067390575,0.6846995737,1.3075485738000001
evo_bz__c3_1_bz__4,1.8709124684,0.7299642595,1.2836375362
evo_bz__g5_1_bz__1,1.3173649409000001,0.1638722247,5.2183705343
evo_bz__g5_1_bz__2,0.0007778562,-0.7452465101,1.6246469103
evo_bz__g5_1_bz__3,1.1558319121,-0.1602735652,4.6346227338
evo_bz__g5_1_bz__4,1.6536942677000002,0.2025624118,2.23667719
evo_bz__g5_1_bz__5,1.7129735333,0.3130440376,2.023597084
evo_bz__g5_1_bz__6,1.445799581,0.13806353300000002,1.9800060441
evo_bz__w3110d13__1,-0.2373440638,-0.0513162032,-0.1646184309
evo_bz__w3110d13__2,0.120806835,0.0975542724,-0.10343811010000001
evo_bz__w3110d13__3,0.0686931571,0.1839743882,0.3842538985
evo_bz__w3110d13__4,-0.0381865937,-0.0371403102,-0.5526843060000001
evo_bz__w3110d13__5,0.07712102400000001,-0.056877386700000004,0.403765555
evo_bz__w3110d13__6,0.0089096415,-0.1361947605,0.0327213936
evo_bz__w3110d13_bz__1,1.3392592439,0.5125351124,0.3899748259
evo_bz__w3110d13_bz__2,1.1791884276,0.4299942927,0.5754427947
evo_bz__w3110d13_bz__3,2.3997883581,0.8582736066000001,1.9641786584
evo_bz__w3110d13_bz__4,1.6535551219,0.7554463210000001,0.8359200514
evo_bz__c3_1_bz__5,0.1296242643,0.36295376360000003,0.7462435424
evo_bz__c3_1_bz__6,0.15728898560000001,0.1859776113,0.4190156018
evo_bz__g5_2_bz__1,2.6742901507,-0.1579224079,1.5750944848000001
evo_bz__g5_2_bz__2,2.9273728007,-0.059696317400000004,1.4932418970999999
evo_bz__g5_2_bz__3,2.27293388,0.1493275316,1.0296407025
evo_bz__g5_2_bz__4,0.8126408724,-0.0071215636,0.3480696876
evo_bz__g5_2_bz__5,0.9369000734,-0.1302713735,0.4305873334
evo_bz__g5_2_bz__6,0.6151769798,-0.4894645912,0.31183993730000004
evo_bz__w3110d13_bz__5,1.9924949929,0.7698994535,1.7014189535000002
evo_bz__w3110d13_bz__6,1.87589786,0.2595108725,1.5594914551999999
evo_bz__a1_1_bz__1,3.781335056,0.4297828938,3.3232060268
evo_bz__a1_1_bz__2,0.7733150683000001,0.2994966847,-0.29420527020000004
evo_bz__a1_1_bz__3,0.4849011003,-0.4889413214,0.8690905262
evo_bz__a1_1_bz__4,1.7161551636999999,0.4117810494,0.12069515830000001
evo_bz__a1_1_bz__5,0.3969323227,-0.5787156613000001,1.3586068113
evo_bz__a1_1_bz__6,0.547272885,-0.3018689136,0.7878109128
evo_metab__wt__1,0.2044777237,0.2679321595,1.2790808224
evo_metab__del_zwf__1,-1.006524768,0.2492738814,-0.4328945571
evo_metab__zwf_ale1__1,0.5650044127,0.0898109545,1.2843552486
evo_metab__zwf_ale2__1,1.8735853542,-0.2462648365,1.057691567
evo_metab__del_ppk__1,-0.9531261642000001,-0.0716205672,-1.6456192268
evo_metab__ppk_ale1__1,-1.3143140115,-0.3723333639,-0.6519808698
evo_metab__ppk_ale2__1,0.9140393139,0.1357822427,1.0558576285
evo_metab__ppk_ale3__1,0.6305769882000001,-0.4689580478,0.3810754752
evo_metab__del_dapF__1,-0.1768674597,0.2316552728,1.0643493312
evo_metab__dapF_ale1__1,0.3191889248,0.0978067351,1.2753510934
evo_metab__dapF_ale3__1,-0.9464779968,-0.0996219658,1.4741307425
evo_metab__del_entC__1,-0.9742792320000001,-0.6281939362,0.5521038484
evo_metab__entC_ale1__1,-0.8781271163000001,-0.8241659711,0.6629472242000001
evo_metab__entC_ale2__1,-0.6899414524,-0.0865447733,-0.0961929978
evo_metab__del_dgk__1,-0.5160153831000001,-0.1799317196,-1.6235601571
evo_metab__dgk_ale1__1,-2.098926194,-0.2843895088,-1.8330293539
evo_metab__dgk_ale2__1,-0.3846546918,0.019294473,-1.5292611987
evo_metab__dgk_ale3__1,-0.838839097,-0.3681766903,0.6482798512
evo_metab__wt__2,-0.8848694656,-0.1446527665,0.1735634138
evo_metab__del_zwf__2,0.3670273932,0.31295897100000003,0.9176669899000001
evo_metab__zwf_ale1__2,-0.5692823344,0.5780387417,-1.6525581859
evo_metab__zwf_ale2__2,0.7761754424,0.7553687183000001,-0.3408448408
evo_metab__del_ppk__2,-0.8471855992,0.12110150900000001,-0.3825391723
evo_metab__ppk_ale1__2,-0.7090706058,0.4663173363,-1.6889016882
evo_metab__ppk_ale2__2,0.2397437614,0.2181288311,-1.7452654474
evo_metab__ppk_ale3__2,-0.891208474,-0.4767261647,0.1491454815
evo_metab__del_dapF__2,0.076757884,-0.1326808465,0.9176149787000001
evo_metab__dapF_ale1__2,0.317803549,-0.2849716301,1.1642818757
evo_metab__dapF_ale3__2,0.5274315672000001,0.0680929197,1.0485992973
evo_metab__del_entC__2,-0.1030264064,-0.6718327809,0.092042862
evo_metab__entC_ale1__2,-0.9804366601000001,-0.2966997703,-1.3029417041
evo_metab__entC_ale2__2,0.062430089200000004,0.10530871900000001,-1.8253405907
evo_metab__entC_ale3__1,-0.9148601367,0.0203547013,-1.9966302599999999
evo_metab__del_dgk__2,-0.5947877336,-0.1010724596,-1.2240427024
evo_metab__dgk_ale1__2,-1.5617755765,-0.1285187512,-2.0642019565
evo_metab__dgk_ale2__2,-0.11949875700000001,-0.2318647067,-1.7740689435
evo_metab__dgk_ale3__2,0.0066833623000000005,0.043366791,-2.087831082
evo_metab__wt__3,0.6803917419000001,-0.123279393,-1.4526442362
evo_metab__del_zwf__3,-0.7098714653,-0.6517728405000001,-0.20429977870000002
evo_metab__zwf_ale1__3,-0.2097573718,0.2881022746,-1.7137034045
evo_metab__zwf_ale2__3,1.3219708563,0.45173893930000003,0.032697359700000005
evo_metab__del_ppk__3,0.26307368400000003,0.2435239914,-1.9004914560000001
evo_metab__ppk_ale1__3,-0.192573815,-0.1964827082,-1.7561853406
evo_metab__ppk_ale2__3,-0.1814769768,0.547570906,-0.5019018789
evo_metab__ppk_ale3__3,-0.4484785651,0.1991079469,-0.49546143060000003
evo_metab__del_dapF__3,0.5787911757,-0.2568791408,0.911989311
evo_metab__dapF_ale1__3,1.0635580297,-0.2097431971,0.7153187711
evo_metab__dapF_ale3__3,0.731271395,-0.2358454096,0.8234555999000001
evo_metab__del_entC__3,-0.1037826144,-0.1667072409,-0.29672883980000003
evo_metab__entC_ale1__3,-0.5019858951,-0.36836323400000004,-1.7573967981
evo_metab__entC_ale2__3,-0.0216922841,-0.39057184650000004,-1.5944237568
evo_metab__entC_ale3__2,-0.3815091702,-0.6881487882,0.41231181050000004
evo_metab__del_dgk__3,0.3860996243,-0.5725213063,-1.6851282234
evo_metab__dgk_ale1__3,-0.4846457139,-0.6578676658,-1.9503830327
evo_metab__dgk_ale2__3,1.2695798889,-0.5030013248,-1.8172170608
evo_metab__dgk_ale3__3,-0.46248699330000004,-0.754577691,-1.3161757452
flag_reg__wt__1,0.0586392061,-0.22205736750000002,-0.5242507037
flag_reg__del_fliA__1,0.5633579397,0.9186510074,1.2658867197
flag_reg__del_flhC__1,0.7857951657000001,0.8744248914,1.6799497568000001
flag_reg__del_flhD__1,0.3900516657,1.3282830843,2.1953018924
flag_reg__wt__2,-0.0586392061,0.22205736750000002,0.5242507037
flag_reg__del_fliA__2,1.1557104877,1.1030373564,1.7301811113999999
flag_reg__del_flhC__2,-0.1225018776,-0.1722867797,-0.3830056713
flag_reg__del_flhD__2,0.8949268247000001,1.0098002048,1.6613895431999999
flgM__27C__1,0.1339103921,-0.9873824273,-1.3893745349
flgM__27C__2,0.4285038605,-0.9112199958,-1.2715340889
flgM__27C__3,0.3225874114,-0.9625031030000001,-1.2689037497
flgM__32C__1,-0.0909238693,-0.1707189743,-0.41021579420000004
flgM__32C__2,-0.0868796015,-0.1235792418,-0.578844792
flgM__32C__3,0.083256305,-0.14754512050000002,-0.7728644235000001
flgM__37C__1,-0.022563238500000003,-0.14719897510000002,0.0481613183
flgM__37C__2,0.06743302870000001,0.0830630467,0.007678217100000001
flgM__37C__3,-0.0448697902,0.0641359284,-0.0558395354
flgM__42C__1,-0.0328598374,0.5543648761000001,0.5983565729
flgM__42C__2,0.1269902006,0.7644111413,0.584130679
flgM__42C__3,0.1553285518,1.1340267873,0.5231316548
histone__untreated__1,-0.2268835042,0.39448876310000003,-0.1820016036
histone__untreated__2,0.11345882,-0.35040600650000003,0.3823144701
histone__untreated__3,0.1134246842,-0.0440827566,-0.2003128666
histone__10ug_H2A__1,-0.4828580293,0.14033333350000002,-0.5693358809
histone__10ug_H2A__2,-0.1860954919,-0.241953613,-0.040603230000000004
histone__10ug_H2A__3,-0.2268644783,-0.2100035505,-0.08439018350000001
histone__50ug_H2A__1,-0.6096254069,0.3935107785,-0.6452873054
histone__50ug_H2A__2,-0.8898635688000001,0.1609725923,-0.5392235697000001
histone__50ug_H2A__3,-0.7690697217,0.2725327931,-0.7650529345
histone__100ug_H2A__1,-0.4697518865,0.46496645270000003,-0.5669636526
histone__100ug_H2A__2,-0.7125202882,0.5531294133,-0.4491510497
histone__100ug_H2A__3,-0.6197962351,0.5206152678,-0.6198483309
hns__del_hns_spike__1,-0.6148792226,-0.37776893440000003,0.8654799949
hns__del_hns_spike__2,-0.7144031524000001,-1.2298935087,0.5872111698
hns__del_hns__1,-0.7001243642,-0.0512283569,0.8217125261
hns__del_hns__2,-0.9765398492,0.011053273800000001,0.1631277788
hns__wt_spike__1,-0.49782955710000004,-1.0855321812,-0.6631040701
hns__wt_spike__2,0.9394436329,1.7873021987,3.3083167309
hns__wt__1,-0.2877885985,-0.7051472347000001,-0.17948106020000001
hns__wt__2,0.2877885985,0.7051472347000001,0.17948106020000001
hns_stpA__evo100G4_delhns_delstpA__1,1.2384056916,0.2460432494,-1.625334062
hns_stpA__evo100G4_delhns_delstpA__2,1.4796141374,-0.0838860479,-1.2501250782
