,A,Cra,Crp
biocide__etoh_12h__3,-0.402089707,-0.1724353773,0.1271931801
biocide__gluald_12h__1,-0.5649901317,0.11865753550000001,0.3101981754
biocide__gluald_12h__2,-0.36893080040000004,0.0001791683,0.16749059400000002
biocide__gluald_12h__3,-0.6286726628,0.1435802172,0.2033144985
biocide__h2o2_12h__1,-0.2923125543,-0.0542543271,0.0350800225
biocide__h2o2_12h__2,-0.2913262406,-0.175686654,-0.018607714600000002
biocide__h2o2_12h__3,0.1102319744,-0.0620497163,0.0177745832
biocide__2ppoh_12h__1,-0.7838544343,-0.0073964807,0.1296212176
biocide__2ppoh_12h__2,-0.9018645879,0.0516241032,0.0410003929
biocide__2ppoh_12h__3,-0.8869750551000001,-0.055358756,0.1329939336
biocide__paa_12h__1,-0.5977689773,0.1804776733,-0.0046637408
biocide__paa_12h__2,-0.49516726380000003,-0.0159070003,-0.0345939636
biocide__paa_12h__3,-0.21899133710000002,-0.2095728097,-0.0639964626
biocide__phe_12h__1,-0.2596534089,0.031107773300000002,0.2637505564
biocide__phe_12h__2,-0.5775125848,0.34035044410000004,0.1366857256
biocide__phe_12h__3,-0.4122644368,0.020981514,0.12908140170000001
biocide__pvp-i_12h__1,0.3679009915,-0.2207426317,-0.0130459532
biocide__pvp-i_12h__2,0.37541336280000004,0.3447402825,-0.051017588700000005
biocide__pvp-i_12h__3,0.682131008,-0.4274023408,-0.0771750924
biocide__bleach_12h__1,0.2413859589,0.1471832407,0.0070308263
biocide__bleach_12h__2,0.5003915964,0.0071844993,-0.0562055273
biocide__bleach_12h__3,0.4212087715,0.10368759350000001,-0.019864096300000002
biocide__chx_12h__1,1.0913972653,-0.10786965280000001,0.1456210242
biocide__chx_12h__2,0.39362404500000003,-0.2406585159,0.0296414633
biocide__chx_12h__3,0.6250309150000001,-0.3918304245,0.1012229557
biocide__bzcl_30m__1,-0.4971936705,0.38526076270000004,0.0599384649
biocide__bzcl_30m__2,-0.46309500940000003,0.26514076880000004,0.1659899168
biocide__bzcl_30m__3,-0.8234605163000001,0.1345217413,0.13117654180000002
biocide__phe_30m__1,-0.5477071925,0.07303704100000001,-0.45115989980000004
biocide__phe_30m__2,-0.5462740122,0.36231006590000003,-0.042227577700000005
biocide__phe_30m__3,-0.6168688709,0.3962505273,-0.3036384238
biocide__pvp-i_30m__1,-0.562609911,0.0783579105,0.0831416516
biocide__pvp-i_30m__2,-0.7714891614,-0.0180500286,0.1639234027
biocide__pvp-i_30m__3,-0.36048121320000004,0.07780598770000001,-0.0031211273
biocide__ctrl_12h__1,-1.1706550444000001,-0.2340354534,-0.0810982225
biocide__ctrl_12h__2,-0.47987626600000005,-0.28349101790000003,-0.1099524013
biocide__ctrl_12h__3,-0.0962139259,-0.0772832458,0.0403956206
biocide__ctrl_30m__1,-0.35206673510000003,0.12006625230000001,0.2016413779
biocide__ctrl_30m__2,0.0622238913,-0.07429156,-0.2203103585
biocide__ctrl_30m__3,0.2898428438,-0.045774692400000004,0.0186689805
clpP__wt__1,0.039942466,-0.2256413553,-0.0666339028
clpP__wt_DPTA__1,-2.0755485216,-0.5389879285,0.503766096
clpP__wt__2,0.2299565983,0.0224175326,-0.1321270107
clpP__wt_DPTA__2,-1.345985794,-1.0302191929,0.4881845549
clpP__wt__3,-0.2698990643,0.20322382260000002,0.1987609135
clpP__wt_DPTA__3,-0.8459472529000001,-0.1525518652,0.5070739993
clpP__delclpP__1,0.36354810400000004,-0.4544553103,-0.8734644257
clpP__delclpP_DPTA__1,0.8686859343000001,-0.8127026041000001,0.0105121308
clpP__delclpP__2,0.0558795637,-0.1446541374,-0.3758395962
clpP__delclpP_DPTA__2,0.48627076340000003,-0.8097424753,-0.080117849
clpP__delclpP__3,-0.0547250591,-0.17896917910000001,-0.5751663553
clpP__delclpP_DPTA__3,0.2380916501,-0.8306650697,-0.1688967908
colombos2__delydcR__1,-0.18550591430000002,0.2995379468,-0.0693545751
colombos2__delydcR__2,-1.1061496690000001,-0.1146225809,-0.33321683020000004
colombos2__delydcR__3,0.6321808975000001,0.3880260665,-0.0393089613
colombos2__delyjiR__1,1.0972817943,0.2664500186,-0.099687806
colombos2__delyjiR__2,0.1211258575,0.6373930278000001,0.25691065290000004
colombos2__delyjiR__3,-0.3767754626,0.6419076343,0.162327729
colombos2__wt__1,1.2623347934,-0.2345559107,0.2204930321
colombos2__wt__2,-0.048988242800000005,0.0697656624,-0.4360373755
colombos2__wt__3,-1.2133465506,0.16479024820000002,0.2155443434
crp_k100__ar1_ar2__1,-0.0239522635,-2.3783714473,-1.2995977401
crp_k100__ar1_ar2__2,-0.23295436290000002,-2.0066024704,-1.3858488461
crp_k100__ar1_ar2__3,-0.3377094536,-1.3598923012,-1.1551255076
crp_k100__wt__1,0.0322591486,-0.161661407,-0.0264047357
crp_k100__wt__2,-0.324998653,0.14684029410000002,0.1464903964
crp_k100__wt__3,0.2927395044,0.0148211129,-0.1200856607
crp_k100__K100Q__1,2.0185837437,-0.7400296676,-0.2522707463
crp_k100__K100Q__2,1.3487982763,0.5750418994000001,-0.2711134562
crp_k100__K100R__1,0.2275687726,-0.11170383830000001,-0.0595239595
crp_k100__K100R__2,0.7505879269,-0.5430079839,0.5050291552
crp_k100__K100R__3,-0.5036723307000001,-0.49893067080000003,0.0660056332
csrA__wt_t00__1,0.0676639977,-0.3707780097,-0.13018558560000001
csrA__wt_t02_30__1,2.3076560656,-3.5865533226,-1.1339696385
csrA__wt_t05__1,6.2679851493,-5.7780557093,-2.4550083112
csrA__wt_t10__1,5.8190092353,-4.7518961950000005,-4.1870252178
csrA__wt_t15__1,3.5414618758,-4.2157334302,-3.2111292318
csrA__delcsrA_t00__1,-0.3386081956,0.2927956241,0.3613869819
csrA__delcsrA_t02_30__1,1.9649778104000002,-4.2269343846,-0.6674396287000001
csrA__delcsrA_t05__1,5.1116805583,-5.616590702,-2.2221447579
csrA__delcsrA_t10__1,4.6419315542,-4.490289216,-3.4198734015
csrA__delcsrA_t15__1,5.3836201399,-4.4193667717,-3.2339359789
csrA__wt_t00__2,-0.0676639977,0.3707780097,0.13018558560000001
csrA__wt_t02_30__2,1.8796711974,-3.3697204093,-1.2511893155
csrA__wt_t05__2,6.111087301,-5.5219115844,-2.3292575708
csrA__wt_t10__2,5.994656273,-4.51632258,-4.1135135934000004
csrA__wt_t15__2,3.2961719706,-4.0698390471,-3.434645459
csrA__delcsrA_t00__2,-0.1597142795,-0.3493717262,0.1876233269
csrA__delcsrA_t02_30__2,2.0146443235,-4.3276460983,-1.1638283926
csrA__delcsrA_t05__2,5.4142374725,-5.3836398148,-2.0312934097
csrA__delcsrA_t10__2,5.1818174044,-4.5911441743,-3.5341055024
csrA__delcsrA_t15__2,2.8609233159,-3.4800172691,-3.0369515843
cstr_pfr__str_0005m__1,-0.2913515095,0.0040761431,0.1036371583
cstr_pfr__str_0010m__1,-0.3014731584,-0.19354410700000002,-0.2296760947
cstr_pfr__str_0025m__1,-0.8860387524000001,-0.0252106131,0.0383571309
cstr_pfr__str_0045m__1,-0.7427963024,-0.0182414236,0.0360981407
cstr_pfr__str_0075m__1,-0.44943749450000003,-0.0563540144,0.0112518975
cstr_pfr__str_0120m__1,-0.342516674,-0.10777327810000001,0.0065400067
cstr_pfr__str_0210m__1,-0.35938293730000004,-0.0467845909,0.0613117897
cstr_pfr__str_0330m__1,-0.3556354319,-0.1008799459,0.0752505852
cstr_pfr__str_1500m__1,-0.4968040772,-0.051198761,0.0646232551
cstr_pfr__str_1560m__1,-0.3025734464,-0.0517579081,0.0745769649
cstr_pfr__str_1680m__1,-0.0291741131,-0.0723287338,0.0132959954
cstr_pfr__str_ref1__1,0.0936529863,0.0266982955,0.0309166155
cstr_pfr__str_ref2__1,-0.0593219439,-0.0641191569,0.050854043200000004
cstr_pfr__str_ref3__1,0.0187627998,-0.0155839911,0.0781229599
cstr_pfr__pfr_P5_0005m__1,0.3644174986,-0.1228545317,0.269221989
cstr_pfr__pfr_P5_0010m__1,0.3667851384,-0.3686779938,0.0489485095
cstr_pfr__pfr_P5_0025m__1,-0.2842387804,-0.1916901008,0.2725286431
cstr_pfr__pfr_P3_0025m__1,-0.3465619334,-0.0864796125,0.079938994
cstr_pfr__pfr_P1_0025m__1,-0.40717543900000003,-0.1590777834,-0.0319597258
cstr_pfr__pfr_P5_0045m__1,-0.1233767791,-0.2749418645,0.2169729199
cstr_pfr__pfr_P5_0120m__1,0.46335312240000004,-0.22007246700000002,0.3349589161
cstr_pfr__pfr_P3_0120m__1,-0.1402069839,-0.2871606273,0.1103821889
cstr_pfr__pfr_P1_0120m__1,0.1246628424,-0.23985350160000002,0.3563764866
cstr_pfr__pfr_P5_0210m__1,-0.0428141525,-0.1765258233,0.3086663712
cstr_pfr__pfr_P5_1500m__1,-0.010220424300000001,-0.22525847940000002,0.48358926430000004
cstr_pfr__pfr_P3_1680m__1,-0.2592602177,-0.13443086840000001,0.3481544716
cstr_pfr__pfr_P5_1680m__1,-0.1126877968,-0.20943998800000002,0.48077671120000004
cstr_pfr__pfr_P1_1680m__1,-0.4291156472,-0.1176519419,0.2107291755
cstr_pfr__str_0005m__2,-0.1279376003,-0.1912049059,-0.0935369191
cstr_pfr__str_0010m__2,-0.2440638557,-0.21253552950000001,-0.24873146470000002
cstr_pfr__str_0025m__2,-0.5629038256000001,-0.20145299900000002,-0.2016487162
cstr_pfr__str_0045m__2,-0.5729741847,-0.25251195590000003,-0.14117476780000002
cstr_pfr__str_0075m__2,-0.4391588301,-0.1362517192,-0.126103141
cstr_pfr__str_0120m__2,-0.1286314154,-0.126203213,-0.1334760396
cstr_pfr__str_0210m__2,-0.1947002598,-0.0693205553,-0.0672349899
cstr_pfr__str_0330m__2,-0.2997766609,-0.2094910094,0.0576004129
cstr_pfr__str_1500m__2,-0.3569314859,-0.012183219200000001,0.2009926933
cstr_pfr__str_1560m__2,-0.40327869990000004,-0.059781041800000004,0.1707298308
cstr_pfr__str_1680m__2,-0.1136967209,-0.0012126897,0.0692396961
cstr_pfr__str_ref1__2,-0.0936529863,-0.0266982955,-0.0309166155
cstr_pfr__str_ref2__2,0.040605727,-0.0964786062,-0.0359995768
cstr_pfr__str_ref3__2,-0.5138848485,-0.1075106116,0.058544858000000005
cstr_pfr__pfr_P5_0005m__2,0.14574152540000002,-0.2342363418,-0.048752147
cstr_pfr__pfr_P5_0010m__2,0.42484348450000003,-0.3842038036,0.0814724538
cstr_pfr__pfr_P5_0025m__2,-0.1839268246,-0.26032433850000003,0.14086945920000002
cstr_pfr__pfr_P3_0025m__2,-0.11721136880000001,-0.28323170870000003,-0.0582763844
cstr_pfr__pfr_P1_0025m__2,-0.48330810090000004,-0.2923326797,-0.2331385879
cstr_pfr__pfr_P5_0045m__2,-0.3529619942,-0.249330658,0.0354719414
cstr_pfr__pfr_P5_0120m__2,0.2611896308,-0.2785849274,0.305318221
cstr_pfr__pfr_P3_0120m__2,0.12966035680000002,-0.41862582470000004,0.0945138693
cstr_pfr__pfr_P1_0120m__2,-0.0662330449,-0.18181137,-0.0124149267
cstr_pfr__pfr_P5_0210m__2,0.2755785879,-0.1158282389,0.3356911857
cstr_pfr__pfr_P5_1500m__2,0.1835140661,-0.2319223401,0.41076687230000003
cstr_pfr__pfr_P3_1680m__2,0.3736075942,-0.14542672780000002,0.3983587121
cstr_pfr__pfr_P5_1680m__2,-0.0483000908,-0.2007807333,0.2226821065
cstr_pfr__pfr_P1_1680m__2,-0.27904035790000004,-0.097639711,0.03072544
darobactin__daro_30m__1,-0.2546187003,1.5613384489,0.9297661229
darobactin__daro_30m__2,-0.2589271177,0.5772641771,0.5458194559
darobactin__solv_1h__1,0.2969895651,2.4346829251,0.8896791535
darobactin__solv_1h__2,1.0505200884,2.1925781013,0.7544298497
darobactin__daro_1h__1,-0.1425707936,1.8361615307,0.9083268103000001
darobactin__solv_1h__3,-0.7281753772,2.4360738119,0.8378540299
darobactin__daro_1h__2,0.27114306390000004,2.3391786959,1.2087494064
darobactin__daro_1h__3,-0.1040875654,2.0878757785,1.1494446188
darobactin__daro_30m__3,-0.4676309306,1.2974832057,0.7221774194
darobactin__solv_30m__1,-0.477466206,0.44448583620000004,0.3322589038
darobactin__solv_15m__1,0.1934705088,-0.06514891390000001,-0.0405799602
darobactin__solv_15m__2,-0.3375602854,0.1486324602,0.0211711041
darobactin__daro_15m__1,-0.43759351220000003,0.2126336409,0.32684287360000003
darobactin__solv_15m__3,0.1440897766,-0.0834835464,0.019408856000000002
darobactin__daro_15m__2,-0.4087472831,0.5335808831000001,0.3689308805
darobactin__daro_15m__3,-1.0188420793,0.3501784948,0.221949515
darobactin__solv_30m__2,0.45233249010000004,0.36312959570000003,0.1618995187
darobactin__solv_30m__3,-0.8563341338,0.3121836497,0.2420582473
ddp__pNT3_aroP__1,-1.1023952877,1.0843027221,0.4265026615
ddp__pNT3_aroP__2,-1.8349855301,1.0740848252,0.7271404589
ddp__pNT3_bamC__1,-4.2921953551,0.51543132,0.8519065269
ddp__pNT3_bamC__2,-3.7812362889,0.3986928866,0.5921076495
ddp__pNT3_cusA__1,-4.9702564122,0.5227931696,1.0354136519
ddp__pNT3_cusA__2,-4.3699350244,0.7914118501,0.7451035267
ddp__pNT3_hemX__1,-1.8290820141,1.2108144639,0.8182462086000001
ddp__pNT3_hemX__2,-1.6382348975,0.9478159612,0.7045028161
ddp__pNT3_empty__1,-0.031185550200000002,0.022707401800000002,-0.139956359
ddp__pNT3_empty__2,0.031185550200000002,-0.022707401800000002,0.139956359
ddp__pNT3_topA__1,-2.2152363881,-0.5257295597,0.5908025523
ddp__pNT3_topA__2,-2.0524527098,-0.5361326839,0.9994652368
ddp__pNT3_yicR__1,-2.7343030841,1.2913911711,0.7827099169
ddp__pNT3_yicR__2,-3.0179496138,1.3387930236,0.7206732189
ddp__pNT3_yqjD__1,-0.7407798931,0.2153927813,0.5565290979
ddp__pNT3_yqjD__2,-0.7585264833,0.3697857256,0.5652993358
ecomics__del_gabT__1,0.4027391407,-0.32855495770000004,-0.2183604482
ecomics__del_gabT__2,-0.4027391407,0.32855495770000004,0.2183604482
ecomics__del_putP__1,0.2119767256,0.0893959757,0.0496916416
ecomics__del_putP__2,0.4912359854,0.3431367442,0.2503393265
ecomics__del_entF__1,-0.5828794867,0.8703787922,0.39555321730000004
ecomics__del_entF__2,-0.8431763372000001,0.0773607038,0.11605645020000001
ecomics__del_entF__3,-1.7400512342,0.1881309494,0.2931170004
ecomics__del_cysA__1,-1.5011286762,0.45271755810000003,0.3087574011
ecomics__del_cysA__2,-1.6767096325000002,0.571322573,0.0756466625
elyC__wt_21C__1,-0.6708538738000001,0.1607831971,0.2997067975
elyC__wt_21C__2,-0.3225147459,0.09397259570000001,0.2171652813
elyC__wt_21C__3,-0.4602179718,-0.0960276958,0.20048826090000002
elyC__wt_37C__1,0.0854969363,-0.0022998817,0.0055111309
elyC__wt_37C__2,0.038296663,0.040383485000000004,0.0383910612
elyC__wt_37C__3,-0.1237935993,-0.038083603300000005,-0.0439021921
elyC__delelyC_21C__1,-0.0265484105,0.10578371680000001,0.2526018277
elyC__delelyC_21C__2,0.0021130469000000002,0.2917264067,0.270288277
elyC__delelyC_21C__3,0.1423572049,0.1777440115,0.2825423364
elyC__delelyC_37C__1,0.2781576146,0.009816943600000001,0.1877512114
elyC__delelyC_37C__2,0.2819145528,0.0028539415,0.1650360705
elyC__delelyC_37C__3,0.4062745505,0.0076040322,0.1449864971
evo_acid_w__F9_2__1,0.5723904143,0.217797859,0.45212262210000004
evo_acid_w__F11_1__1,-0.3760882213,0.3817420467,0.0515482653
evo_acid_w__F11_1__2,-0.5562676229,0.0725812748,0.1563578091
evo_acid_w__F11_1__3,-0.7131886863,0.44919307610000003,0.2851965476
evo_acid_w__wt__1,-0.8734776622,-0.0609622073,0.1360930215
evo_acid_w__F11_2__1,-1.6656727351,0.6252667381,0.1526137479
evo_acid_w__B11_2__1,-1.1976495589,1.2889337574,0.7470542054
evo_acid_w__F11_2__2,-1.2604690349,0.6075660936,-0.0330759678
evo_acid_w__wt__2,-0.7036306506000001,0.0863890039,0.0921125297
evo_acid_w__B11_1__1,-0.9891479776000001,1.7152523092,0.0459686345
evo_acid_w__H9_1__1,-6.6128002251,-2.0031697105,-1.7381250601
evo_acid_w__H9_2__1,-2.1352672579,0.3546445131,0.1060124781
evo_acid_w__B11_2__2,-0.9096407243,1.39013901,0.7565786075
evo_acid_w__wt__3,-1.2393931239,0.021809976000000002,-0.0206086192
evo_acid_w__H9_2__2,-2.1471442451,0.12475231960000001,0.2191212157
evo_acid_w__B11_2__3,-1.0239532426,1.4450520969,0.701250519
evo_acid_w__F11_2__3,-1.286505716,0.8090461283,0.0061447768000000005
evo_acid_w__F9_2__2,0.4388828012,-0.09832871280000001,0.5616911087
evo_acid_w__wt__4,0.1583196443,-0.20560811410000002,0.2075206627
evo_acid_w__wt__5,0.22352635640000001,-0.0694291011,0.07605606050000001
evo_acid_w__wt__6,0.8143183638,0.0506369624,-0.0229880917
evo_acid_w__H9_1__2,-6.103883638,-2.1001270599,-1.7211272316000001
evo_acid_w__F9_1__1,-1.060666138,0.5066841750000001,0.33539129840000004
evo_acid_w__F9_1__2,-1.0308992124,0.34524607700000004,0.37333806010000004
evo_acid_w__B11_1__2,-1.4386246847,1.1038660302,0.1027974094
evo_acid_w__H9_2__3,-2.2174998814,0.34977235560000003,0.2542201101
evo_acid_w__wt__7,-0.1378536153,-0.11484903540000001,0.1532453091
evo_acid_w__F9_1__3,-1.3752634777,0.46375516120000004,0.3624937381
evo_acid_w__F9_2__3,0.7471091478,0.019701898500000002,0.5062765036
evo_acid_w__wt__8,0.8953262912000001,0.28949748670000003,-0.3269025847
evo_acid_w__B11_1__3,-1.5948800077,1.2695602862,0.09219357800000001
evo_acid_w__wt__9,0.8628643961,0.0025150290000000002,-0.2945282879
evo_bz__c3_1_bz__1,-2.784333695,0.1410654555,-0.385355987
evo_bz__c3_1_bz__2,-0.0435129182,-0.3910279091,-0.6930073795
evo_bz__c3_1_bz__3,-0.037931072,-0.44154555100000004,-0.7755713976
evo_bz__c3_1_bz__4,0.1229445628,-0.5611262142,-0.6576656106000001
evo_bz__g5_1_bz__1,-3.2569196055000003,-0.3524552037,-0.1341736427
evo_bz__g5_1_bz__2,-2.1308326384,-0.9056081209,-0.5635110724
evo_bz__g5_1_bz__3,-2.8711979794999998,-0.42057476650000003,-0.1045202598
evo_bz__g5_1_bz__4,-1.6027099104,-0.8672213773,-0.5514972085000001
evo_bz__g5_1_bz__5,-1.1419827518,-0.4427516114,-0.5907591781
evo_bz__g5_1_bz__6,-1.2840151146,-0.7546014759,-0.5379723588
evo_bz__w3110d13__1,-0.41923772800000003,0.2453102094,0.5884298837
evo_bz__w3110d13__2,0.3272977281,0.2457475705,0.5233414408
evo_bz__w3110d13__3,0.285129945,-0.1542627521,-0.4463507494
evo_bz__w3110d13__4,-0.0215217514,0.0075343704000000004,0.4678437997
evo_bz__w3110d13__5,-0.18799158130000002,0.0001936499,-0.7475887920000001
evo_bz__w3110d13__6,0.0163233876,-0.3445230481,-0.38567558290000004
evo_bz__w3110d13_bz__1,-1.0362485669,0.16050459590000002,-0.31419254
evo_bz__w3110d13_bz__2,-1.5106704915,-0.4633537807,-0.1236678575
evo_bz__w3110d13_bz__3,-0.3280014042,-0.6211628684,-0.7518707576
evo_bz__w3110d13_bz__4,-0.9810945981,0.1250024662,-0.10341932470000001
evo_bz__c3_1_bz__5,-3.0691576553,-0.2019906604,-0.31786441590000003
evo_bz__c3_1_bz__6,-3.0078764122,-0.17092258500000002,-0.5855978821
evo_bz__g5_2_bz__1,-1.2231842005,-0.9988764317000001,-0.9927383484000001
evo_bz__g5_2_bz__2,-0.9849193952,-0.8214510339000001,-1.0770436531
evo_bz__g5_2_bz__3,-0.7307694142000001,-0.7360847575,-0.9319843065000001
evo_bz__g5_2_bz__4,-1.4522175427000001,0.3966041554,-0.3099510565
evo_bz__g5_2_bz__5,-1.3497613656,0.3910926074,-0.5033890871
evo_bz__g5_2_bz__6,-2.2628367624,-0.035026353,-0.43552663960000004
evo_bz__w3110d13_bz__5,-0.6910855562,-0.2532313176,-0.9039885132000001
evo_bz__w3110d13_bz__6,-0.7526295791000001,-0.8358621076,-0.882397812
evo_bz__a1_1_bz__1,0.37234458200000004,0.1310562172,-0.1968594431
evo_bz__a1_1_bz__2,-0.5900261044,0.5837345662,-0.0757624216
evo_bz__a1_1_bz__3,-1.4159166141,-0.7926743156,-1.1352115054
evo_bz__a1_1_bz__4,-0.24477974200000002,1.3401219728,-0.1630694594
evo_bz__a1_1_bz__5,-1.8935446824,-0.5941587655,-1.1430905682
evo_bz__a1_1_bz__6,-1.1982057509,-0.7212959865,-1.1479592129
evo_metab__wt__1,0.09888532300000001,-0.8537273313,0.0216952277
evo_metab__del_zwf__1,-0.30665058710000004,-0.5581509644,0.0089552738
evo_metab__zwf_ale1__1,0.1522849151,-0.4894097088,-0.029136735400000002
evo_metab__zwf_ale2__1,-0.7509238420000001,0.0555135524,-0.22346250180000002
evo_metab__del_ppk__1,-1.0570899006,-0.0787142445,-0.5950074874
evo_metab__ppk_ale1__1,-1.8170242469,0.1591601426,-0.2819178846
evo_metab__ppk_ale2__1,-0.3574574229,-0.6722701763000001,-0.2129587413
evo_metab__ppk_ale3__1,-0.3048250986,-0.6569091517,-0.6664505470000001
evo_metab__del_dapF__1,-0.2116180971,-0.6965257371,-0.2899666271
evo_metab__dapF_ale1__1,-0.4594020036,-0.867810289,-0.0956451908
evo_metab__dapF_ale3__1,-0.9684212163,-0.2072308356,-0.534902734
evo_metab__del_entC__1,-1.4265729776,-0.0366993311,-0.09387450950000001
evo_metab__entC_ale1__1,-0.5501543148,0.012245357600000001,-0.4795015226
evo_metab__entC_ale2__1,0.0556248482,-0.41071263300000005,0.3381492062
evo_metab__del_dgk__1,0.3623591829,0.3169642319,-0.2479411708
evo_metab__dgk_ale1__1,-0.5261795589,0.015997995100000002,0.1803691418
evo_metab__dgk_ale2__1,-1.1439115334,0.0644254838,0.5647813138000001
evo_metab__dgk_ale3__1,-0.030571576500000003,-0.3527493064,-0.0535453575
evo_metab__wt__2,0.3504144454,0.11344961220000001,0.0598112988
evo_metab__del_zwf__2,1.2892061727,-0.0776861945,0.1188856227
evo_metab__zwf_ale1__2,-0.4735861544,-0.3085645329,0.34647646330000004
evo_metab__zwf_ale2__2,0.29625471470000003,0.5362143779,-0.08200134910000001
evo_metab__del_ppk__2,0.6554288886,0.2827147237,-0.1543697162
evo_metab__ppk_ale1__2,-1.1250539774,0.1739749676,0.5010526678
evo_metab__ppk_ale2__2,-0.9914122053000001,0.5552778938,0.033069829700000004
evo_metab__ppk_ale3__2,-0.6726258475,0.6973714623,-0.1021128979
evo_metab__del_dapF__2,1.0801108135,-0.29816975030000004,-0.5275545316
evo_metab__dapF_ale1__2,1.8200882405,-0.16488263350000001,-0.8740408744
evo_metab__dapF_ale3__2,1.9385906756,-0.1090022791,-0.6052099843000001
evo_metab__del_entC__2,-0.1212456489,0.3859898433,-0.520378201
evo_metab__entC_ale1__2,-0.16714824420000002,-0.5205175573,-0.1808186141
evo_metab__entC_ale2__2,-0.2580434594,0.3174432465,-0.2481074814
evo_metab__entC_ale3__1,-0.8559589755,0.5627784507,-0.1007067708
evo_metab__del_dgk__2,0.7289115852,0.4923875361,-0.2493838519
evo_metab__dgk_ale1__2,-0.3048124338,0.3566497402,0.0934857714
evo_metab__dgk_ale2__2,-0.27308299350000004,0.7956397664,0.0258529291
evo_metab__dgk_ale3__2,0.078324446,0.3601288832,-0.7092992376
evo_metab__wt__3,-0.4492997684,0.7402777192000001,-0.08150652650000001
evo_metab__del_zwf__3,-0.4654267856,0.48647327700000004,-0.38365261440000004
evo_metab__zwf_ale1__3,-1.1341626524,0.27027891930000003,0.30292598800000003
evo_metab__zwf_ale2__3,0.1525395713,1.101532198,-0.5695966895
evo_metab__del_ppk__3,-0.029725756000000002,0.7309354211,-0.5088220601
evo_metab__ppk_ale1__3,-0.1055264749,0.7472775657,-0.5568547845
evo_metab__ppk_ale2__3,-0.5008349552,0.8744017874000001,-0.1075832786
evo_metab__ppk_ale3__3,-0.052806977000000005,0.745558492,-0.2548516616
evo_metab__del_dapF__3,0.5255924533,-0.047413801000000005,-0.5224634022
evo_metab__dapF_ale1__3,0.8916230123000001,-0.1801907724,-0.6997337682
evo_metab__dapF_ale3__3,0.0690525741,0.1621832389,-0.164303206
evo_metab__del_entC__3,-0.3539886714,0.0343100946,-0.2838038458
evo_metab__entC_ale1__3,-1.1912078235,0.3322543509,-0.14120318680000002
evo_metab__entC_ale2__3,0.06914643770000001,0.8075245937000001,-0.2275315786
evo_metab__entC_ale3__2,-1.2905784007,0.8193045941,-0.1971165942
evo_metab__del_dgk__3,0.8735906066,0.7120229640000001,-0.7030767083
evo_metab__dgk_ale1__3,-0.2580887327,0.8730704559,-0.3391076354
evo_metab__dgk_ale2__3,0.6497167626,1.301894215,-0.8919006833
evo_metab__dgk_ale3__3,0.0118028338,0.42012269210000003,-0.8480468999
flag_reg__wt__1,-0.0964905029,-0.1895340584,-0.0552460372
flag_reg__del_fliA__1,0.3560558404,0.153080733,0.2379487723
flag_reg__del_flhC__1,0.1045605512,0.3677356986,0.1666261772
flag_reg__del_flhD__1,0.7368803671,0.20934616350000002,0.3038599931
flag_reg__wt__2,0.0964905029,0.1895340584,0.0552460372
flag_reg__del_fliA__2,0.47456011410000004,0.2349933388,0.2803346536
flag_reg__del_flhC__2,0.2198431127,-0.30974919160000003,-0.038816530200000005
flag_reg__del_flhD__2,0.0812733294,0.3322552634,0.21736006800000002
flgM__27C__1,1.8371489895000002,-0.9568080187,0.02870798
flgM__27C__2,1.0229669251,-0.9676118753,0.0422419746
flgM__27C__3,1.0669779426,-1.0099299057,-0.0473495293
flgM__32C__1,0.8706135119,-0.4600895052,-0.1275263066
flgM__32C__2,0.23073372390000002,-0.46340290570000003,-0.1188682696
flgM__32C__3,0.6432385182,-0.5932001555,-0.0775782685
flgM__37C__1,-0.1638158904,-0.0431349533,-0.0172228206
flgM__37C__2,0.046433607700000004,0.0100351717,-0.0153227698
flgM__37C__3,0.1173822827,0.0330997816,0.032545590400000005
flgM__42C__1,-0.6212732165,0.7607520602000001,0.1223491476
flgM__42C__2,-0.4224209773,0.848878765,0.1974911759
flgM__42C__3,-0.5362052741000001,0.5210592231,0.2034264775
histone__untreated__1,0.1616387232,-0.216800287,-0.060392566700000004
histone__untreated__2,-0.33515084300000003,0.2673721395,0.0044704471
histone__untreated__3,0.1735121197,-0.0505718525,0.0559221196
histone__10ug_H2A__1,0.2022150068,-0.1657855262,-0.0294229657
histone__10ug_H2A__2,-0.2589404938,0.0558414491,-0.10860318570000001
histone__10ug_H2A__3,0.4879189031,-0.149255529,-0.1133642725
histone__50ug_H2A__1,-0.31389797210000003,-0.3121806988,0.029688543100000003
histone__50ug_H2A__2,-0.4269363116,-0.2982454419,0.0276315887
histone__50ug_H2A__3,-0.1252631401,-0.2805224475,-0.0099621376
histone__100ug_H2A__1,-0.7021617243,-0.1825965015,0.0895954796
histone__100ug_H2A__2,-0.8736359756000001,-0.1968644844,0.10367688060000001
histone__100ug_H2A__3,-0.682889725,-0.13727567940000002,0.0034602426000000003
hns__del_hns_spike__1,-2.0590831019,0.11390770330000001,0.2075117463
hns__del_hns_spike__2,-2.1966686907,0.1873961184,0.009730694
hns__del_hns__1,-2.207927109,0.0168979536,0.2850669433
hns__del_hns__2,-2.0968953283,0.45957792270000003,0.1631970502
hns__wt_spike__1,-1.0662148049,-0.5553368521000001,0.1392690724
hns__wt_spike__2,-1.9238261536,1.5354335179,0.5908241112
