,A,hns
cstr_pfr__str_0210m__1,0.7121117149,0.037013244300000005
cstr_pfr__str_0330m__1,0.8365117291,-0.0494918996
cstr_pfr__str_1500m__1,0.8689045622,-0.013583082500000001
cstr_pfr__str_1560m__1,0.7039438085,0.026219721300000002
cstr_pfr__str_1680m__1,0.3578030776,-0.0315348149
cstr_pfr__str_ref1__1,0.1308594459,0.0241557404
cstr_pfr__str_ref2__1,-0.31966788890000003,0.0961707562
cstr_pfr__str_ref3__1,0.0602684818,0.0584129112
cstr_pfr__pfr_P5_0005m__1,-1.3217474463,0.2910849391
cstr_pfr__pfr_P5_0010m__1,-0.8834503401,0.13582894580000002
cstr_pfr__pfr_P5_0025m__1,-0.6826906057000001,0.4278386534
cstr_pfr__pfr_P3_0025m__1,0.39770286860000004,0.3048038758
cstr_pfr__pfr_P1_0025m__1,0.8039331502,0.1980476545
cstr_pfr__pfr_P5_0045m__1,-0.2545122628,0.29466149820000004
cstr_pfr__pfr_P5_0120m__1,-0.2313601748,0.2168045996
cstr_pfr__pfr_P3_0120m__1,0.5459798062,0.1299585195
cstr_pfr__pfr_P1_0120m__1,0.24297872250000002,0.3643115214
cstr_pfr__pfr_P5_0210m__1,-0.1708231346,0.19918211460000002
cstr_pfr__pfr_P5_1500m__1,-0.4549036836,0.2555580606
cstr_pfr__pfr_P3_1680m__1,-0.3429330144,0.14864720080000002
cstr_pfr__pfr_P5_1680m__1,-0.8857543448,0.23601071810000002
cstr_pfr__pfr_P1_1680m__1,-0.2164944567,0.026376848600000002
cstr_pfr__str_0005m__2,0.0280943219,-0.0177461109
cstr_pfr__str_0010m__2,0.7067419073,-0.0358489352
cstr_pfr__str_0025m__2,1.9889731673000002,0.1677987397
cstr_pfr__str_0045m__2,2.0412242485,0.2223222725
cstr_pfr__str_0075m__2,1.4619946614,0.12640954840000002
cstr_pfr__str_0120m__2,1.157627288,0.1018391082
cstr_pfr__str_0210m__2,1.0139361575,-0.0320416944
cstr_pfr__str_0330m__2,0.9713075908000001,0.0326113629
cstr_pfr__str_1500m__2,0.9372465689,0.0948728498
cstr_pfr__str_1560m__2,0.5229292497,0.022979296700000002
cstr_pfr__str_1680m__2,0.5370346175,-0.0339192791
cstr_pfr__str_ref1__2,-0.1308594459,-0.0241557404
cstr_pfr__str_ref2__2,0.0663953265,0.0171324229
cstr_pfr__str_ref3__2,0.1688338757,-0.0055406804
cstr_pfr__pfr_P5_0005m__2,-0.6892760392,0.0720917835
cstr_pfr__pfr_P5_0010m__2,-0.6402194627000001,0.2149673657
cstr_pfr__pfr_P5_0025m__2,0.2280366824,0.4426653135
cstr_pfr__pfr_P3_0025m__2,1.2146442725,0.2630859134
cstr_pfr__pfr_P1_0025m__2,2.3049135674,0.1104836886
cstr_pfr__pfr_P5_0045m__2,1.0379176199,0.42213215130000004
cstr_pfr__pfr_P5_0120m__2,-0.1213525901,0.2899702461
cstr_pfr__pfr_P3_0120m__2,0.609018228,0.16222202460000001
cstr_pfr__pfr_P1_0120m__2,1.2499060725,0.1260205742
cstr_pfr__pfr_P5_0210m__2,0.0379986156,0.2901858285
cstr_pfr__pfr_P5_1500m__2,-0.3007717809,0.1874508744
cstr_pfr__pfr_P3_1680m__2,-0.7878965046,0.1681070569
cstr_pfr__pfr_P5_1680m__2,-0.023960686000000002,0.1034334877
cstr_pfr__pfr_P1_1680m__2,0.7961033341,-0.0618767899
darobactin__daro_30m__1,0.4617958902,0.6336541954
darobactin__daro_30m__2,1.5873817563000001,0.7196844181000001
darobactin__solv_1h__1,0.11155289880000001,0.8762838597
darobactin__solv_1h__2,-0.7157672948,0.8828125040000001
darobactin__daro_1h__1,-2.1798991488,1.7152896974
darobactin__solv_1h__3,0.7948911188000001,0.3603172532
darobactin__daro_1h__2,-1.606170099,0.9959623885000001
darobactin__daro_1h__3,-1.1127977658,1.3755816918
darobactin__daro_30m__3,0.7918956977,0.9567260299
darobactin__solv_30m__1,0.6570568302,0.1909253236
darobactin__solv_15m__1,0.466712477,0.028115640100000002
darobactin__solv_15m__2,-1.1003732222,0.2157337189
darobactin__daro_15m__1,0.9823854883,0.5267287369
darobactin__solv_15m__3,0.6336607452,-0.24384935900000002
darobactin__daro_15m__2,1.4449836427,0.2835569584
darobactin__daro_15m__3,1.6223426510999999,1.0025950488
darobactin__solv_30m__2,1.9348797488,0.1876885027
darobactin__solv_30m__3,1.2443737823,0.2157943829
ddp__pNT3_aroP__1,0.9786295421000001,-0.1594082825
ddp__pNT3_aroP__2,1.2781689966,-0.1992768385
ddp__pNT3_bamC__1,3.750517148,-0.638115424
ddp__pNT3_bamC__2,3.7193612483000003,-0.7539193862
ddp__pNT3_cusA__1,4.3961342628,-0.8231322940000001
ddp__pNT3_cusA__2,3.6239241068,-0.5832445405000001
ddp__pNT3_hemX__1,1.6825369624,-0.30834232030000003
ddp__pNT3_hemX__2,2.0749166887,-0.0989112743
ddp__pNT3_empty__1,0.0798277332,-0.0346395345
ddp__pNT3_empty__2,-0.0798277332,0.0346395345
ddp__pNT3_topA__1,0.042171424900000004,-0.5317704004
ddp__pNT3_topA__2,0.7103379281000001,-0.4663651392
ddp__pNT3_yicR__1,1.5195983211000001,-1.5940724927
ddp__pNT3_yicR__2,1.5965969097000001,-1.6965531313
ddp__pNT3_yqjD__1,-0.1006691148,-0.0464424086
ddp__pNT3_yqjD__2,0.4395444495,0.1727365962
ecomics__del_gabT__1,1.8348663806,-0.0904913841
ecomics__del_gabT__2,-1.8348663806,0.0904913841
ecomics__del_putP__1,1.1548834667,0.1168897185
ecomics__del_putP__2,-1.4273819725,0.3090398253
ecomics__del_entF__1,4.4157424449,0.0824642456
ecomics__del_entF__2,1.7371066215000002,0.0560094301
ecomics__del_entF__3,3.0702418668,0.13183338490000002
ecomics__del_cysA__1,6.3579757166,0.0510257579
ecomics__del_cysA__2,2.3297307321,-0.2423606835
elyC__wt_21C__1,0.6235174529,0.2570271763
elyC__wt_21C__2,0.2684652511,0.3642638681
elyC__wt_21C__3,0.45304689740000004,0.3064102266
elyC__wt_37C__1,-0.47914413640000003,0.074538774
elyC__wt_37C__2,0.354655131,-0.0099106299
elyC__wt_37C__3,0.1244890054,-0.0646281441
elyC__delelyC_21C__1,0.6576346813,0.3304941907
elyC__delelyC_21C__2,0.9839979105000001,0.4013316173
elyC__delelyC_21C__3,0.5566892977,0.4047186468
elyC__delelyC_37C__1,-0.3485174615,-0.0314011659
elyC__delelyC_37C__2,-0.4011962263,0.042924114900000004
elyC__delelyC_37C__3,-0.46085684800000004,0.0348367673
evo_acid_w__F9_2__1,-4.1871389005,-0.3719097631
evo_acid_w__F11_1__1,-1.6726925429000001,-0.1004838587
evo_acid_w__F11_1__2,-1.4414182708,-0.1363042532
evo_acid_w__F11_1__3,-2.1751332101,-0.2846288023
evo_acid_w__wt__1,2.2278925857,-0.4296580501
evo_acid_w__F11_2__1,-6.0853138021,0.045136789600000005
evo_acid_w__B11_2__1,-4.2125576917,-0.1059539697
evo_acid_w__F11_2__2,-4.4246789701,0.2258490008
evo_acid_w__wt__2,2.1020693482,-0.47975217700000006
evo_acid_w__B11_1__1,-3.8813589503,0.2753415236
evo_acid_w__H9_1__1,2.3388967783,-0.9815861442
evo_acid_w__H9_2__1,-2.8906098537,-0.3087478254
evo_acid_w__B11_2__2,-4.5967451227,-0.10767101450000001
evo_acid_w__wt__3,2.582511685,-0.45504732480000004
evo_acid_w__H9_2__2,-3.1819479044,-0.1784720246
evo_acid_w__B11_2__3,-4.4730874814,-0.1390028699
evo_acid_w__F11_2__3,-4.8067251311,0.1736260885
evo_acid_w__F9_2__2,-3.17058702,-0.27164307
evo_acid_w__wt__4,-1.4644522769,0.2077827392
evo_acid_w__wt__5,-1.2554649697,0.29997996050000003
evo_acid_w__wt__6,-0.8791059765,0.1029299878
evo_acid_w__H9_1__2,2.2509765948,-1.3674103504000001
evo_acid_w__F9_1__1,0.1096595736,-0.36110479560000003
evo_acid_w__F9_1__2,-0.16213896460000002,-0.5273915313
evo_acid_w__B11_1__2,-4.5825583652,0.08841543040000001
evo_acid_w__H9_2__3,-3.4273051166,-0.13269625570000002
evo_acid_w__wt__7,-1.0470882961,0.2522664448
evo_acid_w__F9_1__3,-0.1060014574,-0.48692241550000004
evo_acid_w__F9_2__3,-4.1987314659,-0.4461017364
evo_acid_w__wt__8,-0.1967431335,0.2538424899
evo_acid_w__B11_1__3,-4.6706892271000005,-0.0103089075
evo_acid_w__wt__9,-2.0696189662,0.2476559297
evo_bz__c3_1_bz__1,1.8486561041,-0.3995743255
evo_bz__c3_1_bz__2,-3.4630394026,-0.5051173318000001
evo_bz__c3_1_bz__3,-2.0430705186,-0.5683179356
evo_bz__c3_1_bz__4,-1.7092384038000001,-0.6196273183000001
evo_bz__g5_1_bz__1,1.0745115393,0.8182663423000001
evo_bz__g5_1_bz__2,3.924848892,0.6574174028
evo_bz__g5_1_bz__3,1.589876704,0.8539069389
evo_bz__g5_1_bz__4,-2.7470279676000002,0.4270401478
evo_bz__g5_1_bz__5,-2.3317016737,0.3057844903
evo_bz__g5_1_bz__6,-2.1731472017,0.3815134859
evo_bz__w3110d13__1,4.5189130855,-0.0514692571
evo_bz__w3110d13__2,3.8931581256000003,-0.08890384350000001
evo_bz__w3110d13__3,-4.0982816367,0.0282034008
evo_bz__w3110d13__4,4.1532876287,-0.20737839730000002
evo_bz__w3110d13__5,-4.7965467384,0.2889934849
evo_bz__w3110d13__6,-3.6705304647,0.0305546122
evo_bz__w3110d13_bz__1,5.1201193804,-0.44535358700000005
evo_bz__w3110d13_bz__2,5.9605912206,-0.306990557
evo_bz__w3110d13_bz__3,-3.3305491733,-0.7320052409000001
evo_bz__w3110d13_bz__4,5.1382391339,-0.49582002880000003
evo_bz__c3_1_bz__5,0.9836437115000001,-0.5767303165000001
evo_bz__c3_1_bz__6,2.2667922277,-0.1629885837
evo_bz__g5_2_bz__1,-4.2156262416,-0.48575719840000003
evo_bz__g5_2_bz__2,-4.2859212045,-0.6388222610000001
evo_bz__g5_2_bz__3,-3.7383072775,-0.838650267
evo_bz__g5_2_bz__4,2.1326495717,-0.8016365618
evo_bz__g5_2_bz__5,2.5888289282,-0.6139088962
evo_bz__g5_2_bz__6,4.4567617426,-0.287425074
evo_bz__w3110d13_bz__5,-3.3725940028,-0.4489432823
evo_bz__w3110d13_bz__6,-2.2065537191,-0.5123378751000001
evo_bz__a1_1_bz__1,0.1527422793,-0.2272886656
evo_bz__a1_1_bz__2,6.1871065597,-0.9453875653
evo_bz__a1_1_bz__3,0.4348409576,-0.1865236397
evo_bz__a1_1_bz__4,6.9281136987,-0.8251469931000001
evo_bz__a1_1_bz__5,0.1672551743,-0.16361876860000002
evo_bz__a1_1_bz__6,0.3872763571,-0.1793039498
evo_metab__wt__1,-2.13520118,0.8134453723
evo_metab__del_zwf__1,-1.1311481393,0.7646370964
evo_metab__zwf_ale1__1,-1.2478480638,1.0324515241
evo_metab__zwf_ale2__1,0.6015923367,1.1282927925
evo_metab__del_ppk__1,0.2136903541,0.1944001789
evo_metab__ppk_ale1__1,1.0783870369,0.4488880236
evo_metab__ppk_ale2__1,-2.1863252163,0.8192872041
evo_metab__ppk_ale3__1,-1.9153189951,1.2621479943
evo_metab__del_dapF__1,-1.5403936702,1.2170803733
evo_metab__dapF_ale1__1,-1.2011671694000001,1.1546751501
evo_metab__dapF_ale3__1,1.6177315343,0.53156031
evo_metab__del_entC__1,0.5578643111,0.4018958288
evo_metab__entC_ale1__1,1.5621527416,0.4577782038
evo_metab__entC_ale2__1,-0.9334609825,0.9002764379
evo_metab__del_dgk__1,0.1692595929,-0.262260078
evo_metab__dgk_ale1__1,0.7615242956,0.3425222732
evo_metab__dgk_ale2__1,-0.3685694356,0.7995975116
evo_metab__dgk_ale3__1,-0.5463390707,0.43580111590000004
evo_metab__wt__2,0.8356030069,-0.3017448487
evo_metab__del_zwf__2,-1.3324860874,0.2518614037
evo_metab__zwf_ale1__2,-0.9868166097000001,-0.222408293
evo_metab__zwf_ale2__2,0.1846341884,0.1879661558
evo_metab__del_ppk__2,1.3346872217,-0.4890843193
evo_metab__ppk_ale1__2,0.8287314383000001,0.3142079397
evo_metab__ppk_ale2__2,2.0193721228,0.3077435991
evo_metab__ppk_ale3__2,2.5423474119,0.1788038197
evo_metab__del_dapF__2,-1.4429171317,0.1157789693
evo_metab__dapF_ale1__2,-1.4432557438,0.5130444938000001
evo_metab__dapF_ale3__2,-1.2360451683,0.1415777017
evo_metab__del_entC__2,2.3563769536,-0.3207439709
evo_metab__entC_ale1__2,0.4787685155,-0.2838773316
evo_metab__entC_ale2__2,0.6152089863,-0.213800642
evo_metab__entC_ale3__1,2.045644869,0.543715835
evo_metab__del_dgk__2,1.0527090533,-0.0083750354
evo_metab__dgk_ale1__2,-0.2036570221,-0.0373465344
evo_metab__dgk_ale2__2,-0.18145576030000002,0.1802205077
evo_metab__dgk_ale3__2,0.1804654256,0.2062926307
evo_metab__wt__3,1.2995981731000001,-0.5117005236000001
evo_metab__del_zwf__3,1.789415371,-0.7003631485
evo_metab__zwf_ale1__3,-1.06570682,-0.2187207317
evo_metab__zwf_ale2__3,1.6188214228,-0.054139203600000005
evo_metab__del_ppk__3,1.734060428,-0.0185848993
evo_metab__ppk_ale1__3,2.5651348026000003,0.49671234680000004
evo_metab__ppk_ale2__3,1.5505135014,0.4824981277
evo_metab__ppk_ale3__3,1.8103276563000001,0.3482297729
evo_metab__del_dapF__3,-1.5377166857,-0.1461560235
evo_metab__dapF_ale1__3,-1.5295651951,-0.2391000802
evo_metab__dapF_ale3__3,-0.3603075764,-0.46783544390000004
evo_metab__del_entC__3,1.2114123245,-0.3071428348
evo_metab__entC_ale1__3,1.2711164626,-0.4365247042
evo_metab__entC_ale2__3,2.8041618344,-0.38758173360000003
evo_metab__entC_ale3__2,3.1310687177,0.3201668684
evo_metab__del_dgk__3,4.2161549098,0.0465265411
evo_metab__dgk_ale1__3,2.4215786341,0.14940950960000002
evo_metab__dgk_ale2__3,1.9854625623,-0.132560216
evo_metab__dgk_ale3__3,1.1589173204,0.5144624051
flag_reg__wt__1,0.0046707381,0.0221061546
flag_reg__del_fliA__1,-1.3913235238000001,-0.0756894691
flag_reg__del_flhC__1,-1.1653003641,0.11953000150000001
flag_reg__del_flhD__1,-3.182193286,0.2118616721
flag_reg__wt__2,-0.0046707381,-0.0221061546
flag_reg__del_fliA__2,-1.8622471143000001,0.0591923524
flag_reg__del_flhC__2,-0.8835896926000001,0.1263137037
flag_reg__del_flhD__2,-2.2230516074,0.0809025668
flgM__27C__1,-0.49059671330000004,0.0732094626
flgM__27C__2,0.4607457012,0.0056132335
flgM__27C__3,0.9339691583,0.0423629914
flgM__32C__1,0.6682852610000001,0.041954287
flgM__32C__2,0.38005476,-0.0160248089
flgM__32C__3,0.4290579794,0.0104782174
flgM__37C__1,-0.0571513144,-0.0104948585
flgM__37C__2,0.3047344181,0.0124467228
flgM__37C__3,-0.2475831038,-0.0019518642
flgM__42C__1,-4.2732677332,-0.3895044203
flgM__42C__2,-4.4787137823,-0.42263324150000003
flgM__42C__3,-2.5710963495,0.024469464200000002
histone__untreated__1,-0.2336589489,-0.0055667291
histone__untreated__2,0.14160765390000002,-0.044471987000000004
histone__untreated__3,0.0920512951,0.050038716100000005
histone__10ug_H2A__1,0.853973752,0.0016250414000000002
histone__10ug_H2A__2,0.6835996306000001,-0.043639133100000005
histone__10ug_H2A__3,1.1712846629,0.1600786533
histone__50ug_H2A__1,0.9137733892000001,0.09561689300000001
histone__50ug_H2A__2,1.4106693579,0.1953431049
histone__50ug_H2A__3,2.0215693208,0.2260962068
histone__100ug_H2A__1,1.5067056427,0.18279078980000002
histone__100ug_H2A__2,2.0294724406,0.1380813401
histone__100ug_H2A__3,2.1308154043,0.0548575638
hns__del_hns_spike__1,4.6426055382,-7.6088245253
hns__del_hns_spike__2,5.3785036884,-2.3407874767
hns__del_hns__1,4.6935515237,-8.3235432999
hns__del_hns__2,4.7065604198,-2.9963109286
hns__wt_spike__1,-0.7026015711,1.2914563898
hns__wt_spike__2,0.36825676620000003,-0.1594690833
hns__wt__1,-0.9426368673000001,1.1280401783
hns__wt__2,0.9426368673000001,-1.1280401783
hns_stpA__evo100G4_delhns_delstpA__1,1.4838955039,-11.2828757996
hns_stpA__evo100G4_delhns_delstpA__2,1.5675407595,-11.0958731081
hns_stpA__evo100G12_delhns_delstpA__1,5.7417145483,-11.2828757996
hns_stpA__evo100G12_delhns_delstpA__2,7.1199539991,-11.169180213
hns_stpA__delhns_delstpA_delrpoS__1,7.7457877635,-11.2828757996
hns_stpA__delhns_delstpA_delrpoS__2,6.6729418331,-11.1395489089
hns_stpA__wt__1,0.2008572927,0.004999462200000001
hns_stpA__wt__2,-0.2008572927,-0.004999462200000001
hns_stpA__delhns_delstpA__1,5.1542096263,-11.2828757996
hns_stpA__delhns_delstpA__2,5.2939278721,-11.1649614232
hu__wt_log_pH7__1,-0.9049728028,0.0532748055
hu__wt_log_pH7__2,-0.27452519400000003,-0.4888458236
hu__wt_log_pH7__3,-0.6761430464,-0.3363509508
hu__wt_lag_pH7__1,0.42630510460000004,-0.46563791250000003
hu__wt_lag_pH7__2,0.9248353498,-0.2812791618
hu__wt_lag_pH7__3,-1.3511404544,0.7469170743
hu__delhupA_lag_pH7__1,0.0575217114,-0.5656674251
hu__delhupA_lag_pH7__2,0.44581714110000004,-0.39575645670000004
hu__delhupA_lag_pH7__3,-1.4231662132,0.4498708985
hu__delhupB_lag_pH7__1,0.3594398801,-0.48760263470000004
hu__delhupB_lag_pH7__2,1.007695599,-0.482811335
hu__delhupB_lag_pH7__3,-1.8757322037000002,0.6043716194000001
hu__delhupAhupB_lag_pH7__1,-1.0468796945,-0.13186827780000002
hu__delhupAhupB_lag_pH7__2,0.0993893819,-0.4012151661
hu__delhupAhupB_lag_pH7__3,1.2301380982,0.213572845
hu__hupAE34K_hupB_lag_pH7__1,0.8805788375,-0.3657522957
hu__hupAE34K_hupB_lag_pH7__2,1.150271003,-0.2791243397
hu__hupAE34K_hupB_lag_pH7__3,-0.7602476667,0.5526899009
hu__hupAE34K_delhupB_lag_pH7__1,0.36249303600000005,-0.1909566644
hu__hupAE34K_delhupB_lag_pH7__2,1.3782123290000001,-0.41196725570000003
hu__hupAE34K_delhupB_lag_pH7__3,-0.37248239180000003,0.4086006219
hu__wt_lag_pH5__1,4.3334446292,-0.3798919416
hu__wt_lag_pH5__2,4.4236811215,-0.5863838816
hu__wt_lag_pH5__3,4.018292726,0.2846592558
hu__delhupA_lag_pH5__1,4.2064424769,-0.4614595925
hu__delhupA_lag_pH5__2,4.7334530779,-1.0059124379
hu__delhupA_lag_pH5__3,4.2507539741,-0.1849198789
hu__delhupAhupB_lag_pH5__1,4.1346767827,-0.7783546981
hu__delhupAhupB_lag_pH5__2,4.7667242379,-1.0572050349
hu__delhupAhupB_lag_pH5__3,4.0956170992,-0.1807664728
hu__hupAE34K_hupB_lag_pH5__1,3.8246323764,-0.0907122476
hu__hupAE34K_hupB_lag_pH5__2,3.6214576082,0.3082687048
hu__hupAE34K_hupB_lag_pH5__3,3.2099722102,0.3379025303
hu__hupAE34K_delhupB_lag_pH5__1,3.7823775753,0.12136969610000001
hu__hupAE34K_delhupB_lag_pH5__2,4.6036469352000005,-1.0080812869
hu__hupAE34K_delhupB_lag_pH5__3,3.7756965576,-0.0863613176
hyperpersistence__low_GFP__1,5.1374053298,1.8073523909
hyperpersistence__wt__1,0.07786349790000001,-0.0544999308
hyperpersistence__high_GFP__1,4.6777942289,1.5425572323
hyperpersistence__pth_mut__1,1.4551692655,-0.1330063326
hyperpersistence__pth_mut__2,1.4880536476000001,-0.1406345544
hyperpersistence__metG_mut__1,-0.2789311759,-0.0933626263
hyperpersistence__metG_mut__2,-0.1767339178,-0.3614606192
hyperpersistence__high_GFP__2,3.8615758104999998,1.7228807332
hyperpersistence__wt__2,-0.07786349790000001,0.0544999308
hyperpersistence__low_GFP__2,4.7136930969,1.8168397571
kan_efg__cpxAF218Y__1,0.5798458292,-0.028705585500000002
kan_efg__cpxAF218Y__2,1.5321956663,-0.1202583053
kan_efg__cyaAN600Y__1,1.1078962637,-0.0908639124
kan_efg__cyaAN600Y__2,-2.8954644021,0.3179651663
kan_efg__fusAA608E__1,1.2326295319,-0.0563841818
kan_efg__fusAA608E__2,2.4681434490000003,0.06618733090000001
kan_efg__fusAA608E_cpxAF218Y__1,1.5379155948,-0.1562590073
kan_efg__fusAA608E_cpxAF218Y__2,1.9947942324999999,-0.0885352413
kan_efg__fusAA608E_cyaAN600Y__1,0.8736088735,-0.3414103484
kan_efg__fusAA608E_cyaAN600Y__2,1.0637553914,-0.5846245038
kan_efg__fusAA608E_rpoDL261Q__1,1.069496737,0.2744970915
kan_efg__fusAA608E_rpoDL261Q__2,1.2129277105,-0.0542978631
kan_efg__fusAA608E_topAS180L__1,-0.28096318940000004,0.0784576074
kan_efg__fusAA608E_topAS180L__2,0.5702898473,0.16289816000000001
kan_efg__rpoDL261Q__1,0.6895583113,0.017381964700000002
kan_efg__rpoDL261Q__2,-0.3351344701,-0.0194386389
kan_efg__wt__1,0.2111931364,0.0726349446
kan_efg__wt__2,-0.2111931364,-0.0726349446
lrp__wt_min_log__1,-0.1332196219,-0.0927627345
lrp__wt_min_log__2,0.1332196219,0.0927627345
lrp__wt_min_trans__1,-0.7176366729,0.2753272571
lrp__wt_min_trans__2,-0.4155050487,0.4441069399
lrp__wt_min_stat__1,-4.8762382671,-0.7668020693
lrp__wt_min_stat__2,-4.244374173,-0.5128253665
lrp__wt_liv_log__1,1.2648063615,0.2229912454
lrp__wt_liv_log__2,1.2980088306,0.033590905000000004
lrp__wt_liv_trans__1,-1.4560626594000001,-0.19548375580000002
lrp__wt_liv_trans__2,-2.029549028,0.0433619383
lrp__wt_liv_stat__1,-5.563751517,-0.3339490493
lrp__wt_liv_stat__2,-4.2580560848,-0.1516296021
lrp__wt_rich_log__1,3.3350662132,-0.1530548675
lrp__wt_rich_log__2,3.5218766067000002,-0.1721426553
lrp__wt_rich_trans__1,-1.4098967835,0.12252733680000001
lrp__wt_rich_trans__2,-2.0002590829,-0.19978727570000002
lrp__wt_rich_stat__1,-5.9950179084,-1.9507388761
lrp__wt_rich_stat__2,-3.4512483852,-1.8163245993000001
lrp__dellrp_min_log__1,1.1279274912,0.0410985067
lrp__dellrp_min_log__2,1.3843523098000001,0.057708133200000004
lrp__dellrp_min_trans__1,-2.5753573150999998,0.0681414528
lrp__dellrp_min_trans__2,-2.8617914563999998,-0.068109165
lrp__dellrp_min_stat__1,-2.9335262445,-0.9673475542000001
lrp__dellrp_min_stat__2,-2.6067360803,-1.0082690979
lrp__dellrp_liv_log__1,2.0890766663,0.0144481257
lrp__dellrp_liv_log__2,2.6868172993,0.009223766000000001
lrp__dellrp_liv_trans__1,-1.0570206604,-0.2636079904
lrp__dellrp_liv_trans__2,-0.5033249527,-0.0306609753
lrp__dellrp_liv_stat__1,-3.6111862151,-0.3165101455
lrp__dellrp_liv_stat__2,-2.9218571469,-0.1492903382
lrp__dellrp_rich_log__1,3.7045117365999998,-0.1422466503
lrp__dellrp_rich_log__2,3.2416726178,-0.2323125882
lrp__dellrp_rich_trans__1,-2.9189647062,-0.1534561887
lrp__dellrp_rich_trans__2,-3.9612617541,0.0736897754
lrp__dellrp_rich_stat__1,-3.3486186023,-1.7521595226
lrp__dellrp_rich_stat__2,-3.8017054262,-1.3963593675000001
mazF_circuit__t0__1,0.2224398096,0.0830690152
mazF_circuit__t2__1,-1.6151293491,-0.2252624241
mazF_circuit__t4__1,-1.2882377028,-1.702772118
mazF_circuit__t6__1,1.1860909154,-2.4535515610000003
mazF_circuit__t8__1,2.5175879652,-2.228225644
mazF_circuit__t0__2,-0.2224398096,-0.0830690152
mazF_circuit__t2__2,-3.5895181445,-0.0204269285
mazF_circuit__t4__2,-0.19226694760000002,-1.1511956007
mazF_circuit__t6__2,0.45909664180000004,-2.1435108388
mazF_circuit__t8__2,2.6859731416,-2.0009657382
mazF_ribo__emptyvec_mrna_5m__1,0.1512873662,-0.0023761767
mazF_ribo__emptyvec_mrna_5m__2,-0.1512873662,0.0023761767
mazF_ribo__mazF_mrna_5m__1,0.0996505626,0.9135806686
mazF_ribo__mazF_mrna_5m__2,0.3947649388,1.3020952097
mazF_ribo__emptyvec_total_5m__1,-2.9282010274,0.7265746042
mazF_ribo__emptyvec_total_5m__2,-2.6694726387000003,0.9303192341000001
mazF_ribo__mazF_total_60m__1,4.9927994315,2.8974495703
mazF_ribo__mazF_total_60m__2,3.9402295326,2.7496471347
mercury__ctrl_t00__1,0.08774369180000001,0.1523824112
mercury__ctrl_t10__1,-1.9286643144000002,0.19151833410000002
mercury__ctrl_t30__1,-2.8499635605,0.3114437286
mercury__ctrl_t60__1,-4.17838441,0.6169196954
mercury__hg_t10__1,-7.1548425181,-0.4657844666
mercury__hg_t30__1,-1.2868466831,0.3824800793
mercury__hg_t60__1,-3.7169013331,0.9499111297
mercury__pma_t10__1,-1.5603203801,1.2847953268
mercury__pma_t30__1,0.1558533531,2.5135133863
mercury__pma_t60__1,-1.9137973531,0.13528979230000002
mercury__ctrl_t00__2,-0.0204844574,-0.045933346300000004
mercury__ctrl_t10__2,-1.776229324,0.0445563936
mercury__ctrl_t30__2,-3.4406730244,0.3187072627
mercury__ctrl_t60__2,-4.3020355906,0.44266837950000004
mercury__hg_t10__2,-5.2129827882,-0.4805899676
mercury__hg_t30__2,-1.5909543944,0.5215912884
mercury__hg_t60__2,-1.375374536,0.4383080408
mercury__pma_t10__2,-2.0106264617,1.3399560514
mercury__pma_t30__2,0.6627039843,2.6073860968
mercury__pma_t60__2,-3.2285792846,0.2054965722
mercury__ctrl_t00__3,-0.0672592344,-0.1064490649
mercury__ctrl_t10__3,-1.2756937584,-0.0871307588
mercury__ctrl_t30__3,-3.6861837737,0.29333439980000003
mercury__ctrl_t60__3,-4.4981730124,0.29840873560000003
mercury__hg_t10__3,-8.9219500902,0.0074976225
mercury__hg_t30__3,-1.9468979337999999,0.1550411543
mercury__hg_t60__3,-2.0999625588,0.8551706621
mercury__pma_t10__3,-1.6825857102000001,1.4128048027
mercury__pma_t30__3,0.7994500563,2.6838894266
mercury__pma_t60__3,-4.4470789739,0.2287948004
ml_abx__az_lolcde__1,-1.3091583348,0.0574735197
ml_abx__az_lolcde__2,0.6027292622,0.3673334227
ml_abx__az_lolcde__3,1.7723866065,0.2758621195
ml_abx__b01__1,1.3192157182,-0.3148872231
ml_abx__b01__2,1.5129297765,-0.2801679682
ml_abx__b01__3,1.6472077579,-0.28719947300000004
ml_abx__cro__1,-0.8408621768000001,0.1990817739
ml_abx__cro__2,-0.005816366000000001,0.0214865424
ml_abx__cro__3,2.1109213692,-0.0035647397
ml_abx__chl__1,3.4494452734,0.783847202
ml_abx__chl__2,2.4232954457,0.9607009543
ml_abx__chl__3,3.9930734273,0.6318471066
ml_abx__cip__1,-1.6027459701,-1.5502342989
ml_abx__cip__2,-1.1100459526,-1.3367411865
ml_abx__cip__3,0.7560237485,-1.5708916136000002
ml_abx__clr__1,7.9862378049,1.4080106615
ml_abx__clr__2,7.3690867233,1.474472964
ml_abx__clr__3,8.0211501481,1.3456972819
ml_abx__cst__1,-1.2525914959,0.2314377842
ml_abx__cst__2,-1.7524541165,0.2307385381
ml_abx__cst__3,0.5324156071,0.0246813884
ml_abx__ctrl__1,-1.275940979,0.1583393429
ml_abx__ctrl__2,-0.8274353655000001,0.21211860170000002
ml_abx__ctrl__3,0.23464363130000002,-0.031897501700000004
ml_abx__ctrl__4,-0.46722505480000004,-0.0115590554
ml_abx__ctrl__5,1.3490079561,-0.20779119640000002
