,A,NrdR,hns
SRX2391460,0.3063618497,0.1290053713,0.1292188012
SRX2391461,0.3003493685,0.15107968730000002,0.1019474477
SRX2391462,0.3155264967,0.10718292530000001,0.037013244300000005
SRX2391463,0.4307670596,0.1909768362,-0.0494918996
SRX2391464,0.6931497104000001,0.2253894046,-0.013583082500000001
SRX2391465,0.42196982860000004,0.26809764010000003,0.026219721300000002
SRX2391466,0.41888193630000004,0.2600553619,-0.0315348149
SRX2391467,0.0591920322,0.0168008932,0.0241557404
SRX2391468,0.1285904765,0.0390517169,0.0961707562
SRX2391469,0.0775893429,0.0215755302,0.0584129112
SRX2391470,0.1889213076,-0.0186949314,0.2910849391
SRX2391471,0.0621227725,-0.08700662370000001,0.13582894580000002
SRX2391472,0.2991284186,0.12742650390000002,0.4278386534
SRX2391473,0.18877218540000001,-0.0023454365,0.3048038758
SRX2391474,0.1912323337,0.10874860360000001,0.1980476545
SRX2391475,0.3759885203,0.2191564316,0.29466149820000004
SRX2391476,0.1174833406,0.0761541771,0.2168045996
SRX2391477,0.027809018300000002,-0.0172957979,0.1299585195
SRX2391478,0.5193877286,0.1072212926,0.3643115214
SRX2391479,0.23066097,0.07640615440000001,0.19918211460000002
SRX2391480,-0.0565355985,0.1191722476,0.2555580606
SRX2391481,-0.0369429722,0.09907357950000001,0.14864720080000002
SRX2391482,0.24985887080000002,0.10935500170000001,0.23601071810000002
SRX2391483,0.47299025800000005,0.1195058692,0.026376848600000002
SRX2391484,0.35300890960000003,0.0487132754,-0.0177461109
SRX2391485,0.3623536643,0.18888517270000002,-0.0358489352
SRX2391486,0.7360937529,0.1951722307,0.1677987397
SRX2391487,0.8092988028,0.2624323579,0.2223222725
SRX2391488,0.4868185256,0.1621291259,0.12640954840000002
SRX2391489,0.2907340363,0.2906710938,0.1018391082
SRX2391490,0.2545229509,0.2279045664,-0.0320416944
SRX2391491,0.23741615370000002,0.2558165233,0.0326113629
SRX2391492,0.4092658054,0.08859239470000001,0.0948728498
SRX2391493,0.5535956687,0.1192088468,0.022979296700000002
SRX2391494,0.4684254192,0.29722331550000003,-0.0339192791
SRX2391495,-0.0591920322,-0.0168008932,-0.0241557404
SRX2391496,-0.0441970427,-0.0709811734,0.0171324229
SRX2391497,-0.0175514181,-0.1680041725,-0.0055406804
SRX2391498,0.0408823212,0.010092030200000001,0.0720917835
SRX2391499,0.1755853741,0.156345268,0.2149673657
SRX2391500,0.1717602101,0.0646026546,0.4426653135
SRX2391501,0.23329150610000002,0.1258795475,0.2630859134
SRX2391502,0.4005364195,0.2531947437,0.1104836886
SRX2391503,0.8960272677000001,0.5572161034,0.42213215130000004
SRX2391505,0.1749046169,0.22926752290000002,0.2899702461
SRX2391506,0.1195689036,0.08084086480000001,0.16222202460000001
SRX2391507,0.2786958967,0.1923573527,0.1260205742
SRX2391508,-0.18214030380000001,0.0656393597,0.2901858285
SRX2391510,0.0539849518,0.2847123807,0.1874508744
SRX2391512,0.3682090892,0.23896517390000002,0.1681070569
SRX2391513,0.1024091077,0.23037547930000002,0.1034334877
SRX2391514,0.34639668770000004,0.3703285556,-0.0618767899
SRX5632598,-0.9698584409000001,0.3231298166,0.6336541954
SRX5632599,-0.24143855220000002,0.0964145611,0.7196844181000001
SRX5632600,-7.0152940767,0.0693724871,0.8762838597
SRX5632601,-6.0465659741,0.2422464892,0.8828125040000001
SRX5632602,-8.5681316327,0.431681203,1.7152896974
SRX5632603,-5.3858822276,0.3852833235,0.3603172532
SRX5632604,-7.7066990339,0.233951666,0.9959623885000001
SRX5632605,-7.3653924963,0.4671199734,1.3755816918
SRX5632606,-2.8554527506,0.1155753889,0.9567260299
SRX5632607,0.9618746194000001,0.0467732524,0.1909253236
SRX5632608,-0.0888135915,-0.1712535066,0.028115640100000002
SRX5632609,0.41317472120000004,0.151627712,0.2157337189
SRX5632610,-1.3103024472,-0.3610751875,0.5267287369
SRX5632611,-0.32436112970000003,0.0196257946,-0.24384935900000002
SRX5632612,-2.8642391935,0.0228274153,0.2835569584
SRX5632613,-2.9669382222,0.3175499372,1.0025950488
SRX5632614,1.2274146526,-0.2725419013,0.1876885027
SRX5632615,0.5821444520000001,-0.11694145580000001,0.2157943829
ERX2874132,0.7355445245000001,1.4821594425,-0.1594082825
ERX2874133,1.5424837680999999,1.7558745672,-0.1992768385
ERX2874134,1.3229852394,2.3008037614,-0.638115424
ERX2874135,1.7027889182,2.137963009,-0.7539193862
ERX2874136,0.0604974958,2.5402050459,-0.8231322940000001
ERX2874137,0.6314625063,2.7826770567,-0.5832445405000001
ERX2874138,0.8041949851,1.273172222,-0.30834232030000003
ERX2874139,1.1536710782,1.3844440535,-0.0989112743
ERX2874140,-0.10088418410000001,-0.0749925191,-0.0346395345
ERX2874141,0.10088418410000001,0.0749925191,0.0346395345
ERX2874142,3.9859911805,3.5074547963000002,-0.5317704004
ERX2874143,3.723221811,3.6676360734999998,-0.4663651392
ERX2874144,0.6977967555,1.2282720941,-1.5940724927
ERX2874145,1.0649822981,1.6165162464,-1.6965531313
ERX2874146,1.5486083566,0.5707392752,-0.0464424086
ERX2874147,1.8599696636,0.7909492251,0.1727365962
SRX1300292,0.9853968823,0.0730569034,-0.0904913841
SRX1300293,-0.9853968823,-0.0730569034,0.0904913841
SRX1300299,0.1771307752,-0.0998168294,0.1168897185
SRX1300300,-0.48113506040000004,-0.08521747860000001,0.3090398253
SRX1300304,-3.1881474176,-0.2387983249,0.0824642456
SRX1300305,-0.3422161863,-0.21636648830000002,0.0560094301
SRX1300306,-0.7723270668000001,-0.0649634832,0.13183338490000002
SRX1300310,-3.9503392372,-0.5191973789000001,0.0510257579
SRX1300311,-3.619286119,-0.5513079476,-0.2423606835
SRX7291195,-1.6608319124,-0.196753275,0.2570271763
SRX7291196,-2.0848895525,-0.2246965092,0.3642638681
SRX7291197,-1.4216391365,-0.2079053243,0.3064102266
SRX7291198,-0.29688415220000003,0.0773560736,0.074538774
SRX7291199,-0.16988531310000002,-0.0530560151,-0.0099106299
SRX7291200,0.4667694653,-0.024300058500000003,-0.0646281441
SRX7291201,-1.8976192657,-0.31596110580000003,0.3304941907
SRX7291202,-2.1317706151,-0.2747695401,0.4013316173
SRX7291203,-2.2854069587,-0.3803585653,0.4047186468
SRX7291204,-0.4029716775,0.0272658635,-0.0314011659
SRX7291205,0.0705594257,0.015604136000000001,0.042924114900000004
SRX7291206,-0.3270770917,0.1593921185,0.0348367673
SRX2436955,0.0111480308,0.6605537371,-0.3719097631
SRX2436956,3.0192711691,0.3433666305,-0.1004838587
SRX2436957,3.1547543777,-0.042972713,-0.1363042532
SRX2436958,2.4775814811,0.1939355231,-0.2846288023
SRX2436959,0.2037214517,-0.6602119601,-0.4296580501
SRX2436960,2.3322325439,0.9420846841,0.045136789600000005
SRX2436961,-0.35562620310000004,0.0785800108,-0.1059539697
SRX2436962,2.3210907135,1.4642576909,0.2258490008
SRX2436963,0.972211424,0.0029297988000000002,-0.47975217700000006
SRX2436964,-0.5699413707000001,0.0826052068,0.2753415236
SRX2436965,6.8143618957,-1.8705996948,-0.9815861442
SRX2436966,2.9262158216,0.7694479258,-0.3087478254
SRX2436967,-0.6698305512,-0.06603653350000001,-0.10767101450000001
SRX2436969,1.2870188912,0.1566204501,-0.45504732480000004
SRX2436970,2.8391356059,0.8711501456,-0.1784720246
SRX2436971,-0.8486961407,0.0499916896,-0.1390028699
SRX2437029,2.5841469532,1.3767825894,0.1736260885
SRX2437030,-0.0402201047,0.463919717,-0.27164307
SRX2437031,0.2971550357,-0.1423018172,0.2077827392
SRX2437032,0.0145878546,0.382282634,0.29997996050000003
SRX2437033,-1.5479973192,0.2973149999,0.1029299878
SRX2437034,6.8787458935,-2.0379186019,-1.3674103504000001
SRX2437035,0.0447211077,0.0417364016,-0.36110479560000003
SRX2437036,0.34957793060000003,-0.1082626047,-0.5273915313
SRX2437037,-0.1222483424,0.6109341768000001,0.08841543040000001
SRX2437038,3.0304908267,0.87526404,-0.13269625570000002
SRX2437039,0.4217810676,-0.0575107877,0.2522664448
SRX2437040,0.1575393008,-0.2927243538,-0.48692241550000004
SRX2437041,0.060574431000000005,0.40263676600000003,-0.4461017364
SRX2437042,-0.6701692198,-0.1322105014,0.2538424899
SRX2437043,-0.7185516194,0.3247051106,-0.0103089075
SRX2437044,-0.9783091858,0.1530871836,0.2476559297
SRX4705203,-1.9504293702000002,-1.1206816686,-0.3995743255
SRX4705204,-1.279501435,-0.6820288807,-0.5051173318000001
SRX4705205,-0.5693474666,-0.3086683098,-0.5683179356
SRX4705206,-0.5080728675,-0.48644580070000004,-0.6196273183000001
SRX4705207,0.9305960284,-0.3945686761,0.8182663423000001
SRX4705208,2.7606511519,-0.3207698801,0.6574174028
SRX4705209,1.8237268390999999,-0.511725255,0.8539069389
SRX4705210,0.12055601,-0.1202209496,0.4270401478
SRX4705211,-0.1149443502,0.044491049500000004,0.3057844903
SRX4705212,0.1455724765,0.051954666100000005,0.3815134859
SRX4705213,-1.2153309944,-0.21253542960000002,-0.0514692571
SRX4705214,-1.0434261018,-0.5460108787,-0.08890384350000001
SRX4705215,1.0565540174,0.19996710580000002,0.0282034008
SRX4705216,-0.8318804078,-0.0028883514,-0.20737839730000002
SRX4705217,0.693085009,0.22642924820000002,0.2889934849
SRX4705218,1.3409984775,0.3350383058,0.0305546122
SRX4705219,-0.16334119,-0.8657704220000001,-0.44535358700000005
SRX4705220,0.1217997232,-1.577130043,-0.306990557
SRX4705221,-1.0740177015,-0.1879511388,-0.7320052409000001
SRX4705222,-0.280809177,-0.9741361747,-0.49582002880000003
SRX4705223,-2.0401070643,-1.3040070989,-0.5767303165000001
SRX4705224,-1.6588948761,-1.5541771672,-0.1629885837
SRX4705225,-0.6768843707000001,-0.5060395514,-0.48575719840000003
SRX4705226,-0.6781711478,-0.2896770674,-0.6388222610000001
SRX4705227,-0.41086158240000004,-0.2900237893,-0.838650267
SRX4705228,-2.6231467634,-0.6806591795,-0.8016365618
SRX4705229,-2.4082272984,-0.3823294815,-0.6139088962
SRX4705230,-0.86489247,-0.8344283959000001,-0.287425074
SRX4705231,-0.7902097564,-0.30780112400000004,-0.4489432823
SRX4705232,-0.0285160061,-0.27719288470000003,-0.5123378751000001
SRX4705233,-4.1166027216,-1.7081765222,-0.2272886656
SRX4705234,-0.7238616292000001,-0.9202339861000001,-0.9453875653
SRX4705235,3.073412419,-0.0398753752,-0.1865236397
SRX4705236,-2.0075969493,-0.4242168403,-0.8251469931000001
SRX4705237,3.6934809068,-0.1146032607,-0.16361876860000002
SRX4705238,3.1086894229,-0.1378699958,-0.1793039498
SRX2038319,1.7526279322,-0.054055567400000004,0.8134453723
SRX2038320,-0.3725371937,0.025256547600000002,0.7646370964
SRX2038321,0.7262612639,0.2217091787,1.0324515241
SRX2038322,0.6575549278,0.2819855107,1.1282927925
SRX2038323,-2.5924568787,-0.0180377855,0.1944001789
SRX2038324,-3.6447834295,0.116474245,0.4488880236
SRX2038325,1.0773768851,0.0028369027,0.8192872041
SRX2038326,1.1742982291,0.035663154600000004,1.2621479943
SRX2038327,1.2238118607,-0.3135173895,1.2170803733
SRX2038328,0.5139396414,-0.2444799376,1.1546751501
SRX2038329,-3.1584686666,-0.1091049594,0.53156031
SRX2038330,-2.3928433811,-0.4409110623,0.4018958288
SRX2038331,-2.0342550727,-0.1934512652,0.4577782038
SRX2038332,-0.2952905012,0.09972877150000001,0.9002764379
SRX2038334,-2.5288482567,0.0774236484,-0.262260078
SRX2038335,-2.9385127763,0.3822111633,0.3425222732
SRX2038336,-3.3318167152,0.5335321186,0.7995975116
SRX2038337,-1.16821796,-0.31747665810000003,0.43580111590000004
SRX2038338,-1.3622074569,-0.12251509170000001,-0.3017448487
SRX2038339,0.9369697062000001,-0.008241432600000001,0.2518614037
SRX2038340,-1.2424227018,0.31324276770000004,-0.222408293
SRX2038341,-1.883022054,0.27871439600000003,0.1879661558
SRX2038342,-2.6163325073,-0.0584671754,-0.4890843193
SRX2038343,-2.3734354296,0.5664501071,0.3142079397
SRX2038344,-3.342029455,0.20989572780000001,0.3077435991
SRX2038345,-1.4398094466,-0.2752207732,0.1788038197
SRX2038346,1.6736042586000002,-0.3528841124,0.1157789693
SRX2038347,2.1056045355,-0.43943104040000003,0.5130444938000001
SRX2038348,1.6004325422,-0.1295898475,0.1415777017
SRX2038349,-3.440818557,-0.0755539897,-0.3207439709
SRX2038350,-1.4865117983,-0.055564362900000004,-0.2838773316
SRX2038351,-1.8225561799,0.2141809143,-0.213800642
SRX2038352,-1.9395812227,0.2730029922,0.543715835
SRX2038353,-3.248723256,-0.0777833156,-0.0083750354
SRX2038354,-0.906582553,0.13942584090000001,-0.0373465344
SRX2038355,-2.3074163695,0.0797003074,0.1802205077
SRX2038356,-2.5863628569,-0.0833963024,0.2062926307
SRX2038357,-0.3904204753,0.1765706591,-0.5117005236000001
SRX2038358,-1.5457000139,-0.3179898177,-0.7003631485
SRX2038359,-1.3576598602,0.3597670046,-0.2187207317
SRX2038360,-1.8987036816,0.4307887019,-0.054139203600000005
SRX2038361,-0.0936962501,0.46032238500000006,-0.0185848993
SRX2038362,-0.3635146282,0.3860948608,0.49671234680000004
SRX2038363,-3.1811493418,0.2744440839,0.4824981277
SRX2038364,-1.5297255417,0.102650111,0.3482297729
SRX2038365,1.6089641329000002,-0.29197911460000003,-0.1461560235
SRX2038366,2.2958671466,-0.33142261370000003,-0.2391000802
SRX2038367,0.9712210345000001,-0.131761907,-0.46783544390000004
SRX2038368,-2.9048563974,-0.0154061462,-0.3071428348
SRX2038369,-1.9734467243,0.041700322500000005,-0.4365247042
SRX2038370,-0.677954061,-0.0120736841,-0.38758173360000003
SRX2038371,-2.7019930377,0.1760424717,0.3201668684
SRX2038372,-2.3454866507,0.2561504698,0.0465265411
SRX2038373,-0.5348890176000001,0.06562131260000001,0.14940950960000002
SRX2038374,-0.12194011800000001,0.2514554236,-0.132560216
SRX2038375,-1.0274999731,-0.3497059725,0.5144624051
ERX530520,0.2408531123,0.0720292365,0.0221061546
ERX530521,-0.6315154966000001,0.2061478313,-0.0756894691
ERX530522,-0.7941897316000001,-0.11799186760000001,0.11953000150000001
ERX530523,-2.2604603705,-0.2829194143,0.2118616721
ERX530524,-0.2408531123,-0.0720292365,-0.0221061546
ERX530525,-1.8277552903,-0.0056324583000000004,0.0591923524
ERX530526,0.3209153105,0.1744307021,0.1263137037
ERX530527,-0.9884083337,0.2102016093,0.0809025668
ERX3212443,0.7521568935,-0.5587489138,0.0732094626
ERX3212444,0.410898572,-0.3809352653,0.0056132335
ERX3212445,0.6732936796,-0.4684317331,0.0423629914
ERX3212446,-0.8456694725,-0.1738978716,0.041954287
ERX3212447,-0.09051945830000001,-0.27127162050000003,-0.0160248089
ERX3212448,0.265352871,-0.3500080024,0.0104782174
ERX3212449,-0.0197511963,-0.0543390494,-0.0104948585
ERX3212450,0.0597582469,0.0109762381,0.0124467228
ERX3212451,-0.040007050700000005,0.043362811200000004,-0.0019518642
ERX3212452,0.5567393133,0.2635837041,-0.3895044203
ERX3212453,0.4420372021,0.1963151223,-0.42263324150000003
ERX3212454,0.5660814706,0.4004653602,0.024469464200000002
SRX7478973,-0.5554161016,0.025426397,-0.0055667291
SRX7478974,0.1735881555,-0.07685646210000001,-0.044471987000000004
SRX7478975,0.38182794610000004,0.051430065100000005,0.050038716100000005
SRX7478976,0.5754586888000001,0.0579133716,0.0016250414000000002
SRX7478977,0.3301046859,-0.052423124700000004,-0.043639133100000005
SRX7478978,0.6914707979,-0.050279602300000004,0.1600786533
SRX7478979,0.27305153800000004,-0.0609239861,0.09561689300000001
SRX7478980,0.34881117710000004,-0.025163914000000003,0.1953431049
SRX7478981,0.6754636129,0.0675730409,0.2260962068
SRX7478982,-0.030824584800000002,0.020301144400000002,0.18279078980000002
SRX7478983,0.23638020580000002,-0.0349307167,0.1380813401
SRX7478984,0.4495900745,-0.0536243522,0.0548575638
ERX1521038,-1.3004262297,-0.0629938578,-7.6088245253
ERX1521039,-2.1006733917,0.013734413000000001,-2.3407874767
ERX1521040,-1.3836694006,0.08205807,-8.3235432999
ERX1521041,-2.7982614458,-0.1151765154,-2.9963109286
ERX1521042,1.2931286653,0.236984836,1.2914563898
ERX1521043,-2.1893578749,-0.4706507689,-0.1594690833
ERX1521044,0.875397914,0.1586960776,1.1280401783
ERX1521045,-0.875397914,-0.1586960776,-1.1280401783
SRX621182,-1.7343438753,-1.6563790608,-11.2828757996
SRX621183,-1.9943753064,-1.54953494,-11.0958731081
SRX621184,-5.6093852094,-0.8736309785,-11.2828757996
SRX621185,-5.5541342949,-1.5590203924,-11.169180213
SRX621188,-5.6090261168,-1.0163641855,-11.2828757996
SRX621189,-4.7234524198,-1.3245277912,-11.1395489089
SRX621190,0.2531727357,0.3660076939,0.004999462200000001
SRX621191,-0.2531727357,-0.3660076939,-0.004999462200000001
SRX621192,-3.8492804854,-2.6122505641,-11.2828757996
SRX621193,-4.1444304338,-2.2653348993,-11.1649614232
SRX6489436,2.8602554227,-0.12680680090000002,0.0532748055
SRX6489437,3.3147857782,0.26519218040000003,-0.4888458236
SRX6489438,3.2578471655,0.4374798378,-0.3363509508
SRX6489439,0.3722241791,-0.2708218786,-0.46563791250000003
SRX6489440,0.7437402189,-0.2787489661,-0.2812791618
SRX6489441,-1.115964398,0.5495708447000001,0.7469170743
SRX6489442,-0.1676843891,0.2693921953,-0.5656674251
SRX6489443,0.5127645708,-0.190839207,-0.39575645670000004
SRX6489444,-1.4824246453,0.7889779488,0.4498708985
SRX6489445,1.0556615654,0.034831365100000004,-0.48760263470000004
SRX6489446,0.4003278704,-0.0497796825,-0.482811335
SRX6489447,-1.0750492822,0.5407076287,0.6043716194000001
SRX6489448,-0.692121685,0.3050621335,-0.13186827780000002
SRX6489449,-0.4886581511,0.2850017781,-0.4012151661
SRX6489450,-0.4437944044,1.0426104239,0.213572845
SRX6489451,1.2976086426,0.09330742930000001,-0.3657522957
SRX6489452,0.7518602918,0.2197656815,-0.2791243397
SRX6489453,0.1763983268,0.3345481225,0.5526899009
SRX6489454,-0.3659665002,0.155140786,-0.1909566644
SRX6489455,-0.10456478400000001,0.1071535022,-0.41196725570000003
SRX6489456,-0.4508189637,0.6716913407,0.4086006219
SRX6489457,-0.0051989397,0.44898826220000004,-0.3798919416
SRX6489458,-1.2621279756,0.7876338162000001,-0.5863838816
SRX6489459,-2.1443322171,0.7488817667000001,0.2846592558
SRX6489460,-1.1296356053,0.2923152718,-0.4614595925
SRX6489461,-1.4115413581,0.9209818460000001,-1.0059124379
SRX6489462,-1.2158529861,0.7461761422000001,-0.1849198789
SRX6489463,-3.4947303109,0.3937313423,-0.7783546981
SRX6489464,-3.8331749322,0.8148392288,-1.0572050349
SRX6489465,-3.9143060263000002,0.9908467376000001,-0.1807664728
SRX6489466,0.6898571511,0.4719363797,-0.0907122476
SRX6489467,-1.7853164698000001,1.0706046067,0.3082687048
SRX6489468,-1.5873084601,0.9810261356000001,0.3379025303
SRX6489469,-2.0471658088,0.827949178,0.12136969610000001
SRX6489470,-0.8602198035,0.8458576212000001,-1.0080812869
SRX6489471,-1.5243605968,0.9588156169000001,-0.0863613176
SRX6452027,-1.3185625412,-1.698017515,1.8073523909
SRX6452029,0.2596429159,-0.0496059415,-0.0544999308
SRX6452030,-0.23475697920000002,-1.5704538927,1.5425572323
SRX6452031,0.38867406,-0.18414819940000002,-0.1330063326
SRX6452044,1.2107439135,-0.0550961908,-0.1406345544
SRX6452045,0.46098266590000003,-0.022329082400000002,-0.0933626263
SRX6452046,1.0721111928,-0.3447645901,-0.3614606192
SRX6452047,-0.7313816088,-1.5497077464,1.7228807332
SRX6452048,-0.2596429159,0.0496059415,0.0544999308
SRX6452059,-0.6590541387000001,-1.4626367161,1.8168397571
SRX1828491,-1.8302935405,-0.4041350454,-0.028705585500000002
SRX1828492,-1.6998553603,-0.2988814958,-0.1202583053
SRX1828493,-2.5261505035000003,-0.052098064400000005,-0.0908639124
SRX1828494,-5.5523862692,0.0758923917,0.3179651663
SRX1828495,-1.4978999509,-0.1056610739,-0.0563841818
SRX1828496,-2.6571365702,-0.3801165393,0.06618733090000001
SRX1828497,-0.2875488014,-0.0666814194,-0.1562590073
SRX1828498,-0.28729850300000004,-0.1276712583,-0.0885352413
SRX1828499,-1.6625405917,-0.2178420684,-0.3414103484
SRX1828500,-2.2292946116,-0.0930470699,-0.5846245038
SRX1828501,0.4974175803,0.2728319667,0.2744970915
SRX1828502,0.802389181,0.4580953687,-0.0542978631
SRX1828503,-2.3070863790000002,-0.3748761593,0.0784576074
SRX1828504,-2.2067363264,-0.6885811942000001,0.16289816000000001
SRX1828505,1.6598143302000001,0.4093021213,0.017381964700000002
SRX1828506,1.5233706336,0.43861431110000004,-0.0194386389
SRX1828507,-0.1441968808,-0.09436778300000001,0.0726349446
SRX1828508,0.1441968808,0.09436778300000001,-0.0726349446
SRX3796953,0.2044963121,0.0620020388,-0.0927627345
SRX3796954,-0.2044963121,-0.0620020388,0.0927627345
SRX3796955,1.4608680953,0.4076232703,0.2753272571
SRX3796956,0.697332209,0.5974600315,0.4441069399
SRX3796957,2.6780077377,-2.0899085606,-0.7668020693
SRX3796958,2.8247033696,-1.727232329,-0.5128253665
SRX3796959,-0.4848568694,-0.0945212259,0.2229912454
SRX3796960,-0.5786100915,-0.1351187476,0.033590905000000004
SRX3796961,1.4109709686,-0.6735955481,-0.19548375580000002
SRX3796962,0.4593235064,-1.0829921739,0.0433619383
SRX3796963,1.3430344002,-2.8677393196,-0.3339490493
SRX3796964,1.4800696466,-2.776371375,-0.1516296021
SRX3796965,2.8404264556000003,-0.2439303394,-0.1530548675
SRX3796966,2.8120206674,-0.1740284055,-0.1721426553
SRX3796967,1.0622569538,-1.1093701499,0.12252733680000001
SRX3796968,0.7127133697,-0.3541576885,-0.19978727570000002
SRX3796969,-0.0010221345,-1.0334528088,-1.9507388761
SRX3796970,-0.5876597023,-1.0852991907,-1.8163245993000001
SRX3796971,-0.6036606711,-0.1861917559,0.0410985067
SRX3796972,-0.6797802611,-0.1561623413,0.057708133200000004
SRX3796973,2.9515513543000003,-0.4186327067,0.0681414528
SRX3796974,2.8603569134,-0.0517922908,-0.068109165
SRX3796975,2.6699932905,-1.6863134444,-0.9673475542000001
SRX3796976,2.5486215911,-2.4530900687,-1.0082690979
SRX3796977,-0.7659846837000001,-0.0640067968,0.0144481257
SRX3796978,1.4362392052000001,-0.060749796200000004,0.009223766000000001
SRX3796979,0.9208732305,-0.7153756777,-0.2636079904
SRX3796980,0.8730594128,-0.5103818555,-0.0306609753
SRX3796981,1.5937209218000001,-2.1073431252,-0.3165101455
SRX3796982,2.163002277,-1.8408722175,-0.1492903382
SRX3796983,2.1087696601,-0.21711074760000001,-0.1422466503
SRX3796984,2.3584062267,-0.0179887752,-0.2323125882
SRX3796985,1.3397608704000001,-0.3804283893,-0.1534561887
SRX3796986,0.6519234852,-0.1933019618,0.0736897754
SRX3796987,1.8237766491,-0.2196563686,-1.7521595226
SRX3796988,2.7461424205,0.1562547849,-1.3963593675000001
SRX2568270,-0.1099527958,0.2468867662,0.0830690152
SRX2568271,1.3749881830000001,-0.6031636771000001,-0.2252624241
SRX2568272,2.6038880346,-0.8226406726000001,-1.702772118
SRX2568273,1.8811386373999999,-0.0031916035,-2.4535515610000003
SRX2568274,2.7589789814,-0.3362837261,-2.228225644
SRX2568275,0.1099527958,-0.2468867662,-0.0830690152
SRX2568276,1.8724921383000002,-0.9512166732,-0.0204269285
SRX2568277,1.7579562388,0.1790335758,-1.1511956007
SRX2568278,1.6580389547,0.093034328,-2.1435108388
SRX2568279,3.5197873666,0.1660852616,-2.0009657382
SRX3421856,-0.0322004075,-0.024258996300000002,-0.0023761767
SRX3421857,0.0322004075,0.024258996300000002,0.0023761767
SRX3421858,1.8607220681,0.4017841996,0.9135806686
SRX3421859,1.7580254496,0.246602499,1.3020952097
SRX3421860,-1.516410016,0.011027224,0.7265746042
SRX3421861,-2.1195813062,0.24276671860000001,0.9303192341000001
SRX3421868,4.83432753,-0.3026688151,2.8974495703
SRX3421869,4.847843149,-0.328556141,2.7496471347
SRX2606337,-0.2117846142,-0.1766142052,0.1523824112
SRX2606338,0.12468295060000001,0.024019585000000003,0.19151833410000002
SRX2606339,0.7684839657,0.0951129205,0.3114437286
SRX2606340,0.2016894394,0.24893892320000002,0.6169196954
SRX2606341,2.1005440792,0.4494950371,-0.4657844666
SRX2606342,-1.9491975413,1.1691830101,0.3824800793
SRX2606343,-2.5078718539000002,0.6400045606,0.9499111297
SRX2606344,-2.4210270396,1.0647486958,1.2847953268
SRX2606345,-3.823715418,1.3323928755,2.5135133863
SRX2606346,1.067120842,0.24843802850000002,0.13528979230000002
SRX2606347,0.1030372756,0.0339759903,-0.045933346300000004
SRX2606348,0.4292332681,0.2569099156,0.0445563936
SRX2606349,0.6635842013000001,0.2975557182,0.3187072627
SRX2606350,-0.3609127133,0.3202041447,0.44266837950000004
SRX2606351,1.8205381755999999,0.5456357846000001,-0.4805899676
SRX2606352,-2.3373288308999998,1.1456818209,0.5215912884
SRX2606353,-0.0087665787,0.2414006683,0.4383080408
SRX2606354,-3.1098513112,1.2568002912,1.3399560514
SRX2606355,-3.295185934,1.1682502924,2.6073860968
SRX2606356,0.5366026140000001,0.2481435635,0.2054965722
SRX2606357,0.1087473385,0.1426382149,-0.1064490649
SRX2606358,0.5016165772,0.1662427595,-0.0871307588
SRX2606359,0.5427635067000001,0.5543869947,0.29333439980000003
SRX2606360,0.0429428509,0.2531879247,0.29840873560000003
SRX2606361,1.9739231828000001,0.26567633420000003,0.0074976225
SRX2606362,-1.2249006169,0.6899575164,0.1550411543
SRX2606363,-1.7707672247000001,0.4944547843,0.8551706621
SRX2606364,-2.8720512078000002,0.9189594178,1.4128048027
SRX2606365,-3.5183888738,0.9868736998000001,2.6838894266
SRX2606366,0.0349591652,0.2958145735,0.2287948004
SRX3648427,-0.2830415318,0.1302818814,0.0574735197
SRX3648428,-0.6374113013,-0.2250451514,0.3673334227
SRX3648429,0.48887918020000004,-0.31421615340000003,0.2758621195
SRX3648430,-0.8442454991,0.2117757848,-0.3148872231
SRX3648431,-0.5665074761000001,0.254794888,-0.2801679682
SRX3648432,0.5561541452000001,0.0389196697,-0.28719947300000004
SRX3648433,-0.6945250181,-0.0215973873,0.1990817739
SRX3648434,0.2537647738,-0.0146305944,0.0214865424
SRX3648435,1.5345723392,-0.46155976,-0.0035647397
SRX3648436,-0.2755440316,-0.5164626493,0.783847202
SRX3648437,-1.3894272296999999,-0.4556983207,0.9607009543
SRX3648438,-0.0289313762,-0.3904871424,0.6318471066
SRX3648439,3.1640950807,0.112132565,-1.5502342989
SRX3648440,2.7891775491,-0.12564080600000002,-1.3367411865
SRX3648441,5.1716276878,-0.3286954208,-1.5708916136000002
SRX3648442,0.529771964,-0.0838007489,1.4080106615
SRX3648443,-0.5085123377,-0.3529320272,1.474472964
SRX3648444,0.09324964470000001,-0.37993325780000003,1.3456972819
SRX3648445,-1.9796627097,0.0616297717,0.2314377842
SRX3648446,-1.0101876709,0.0334483708,0.2307385381
SRX3648447,-0.30658096420000003,-0.0854025306,0.0246813884
SRX3648448,-1.0078693964,0.1209092398,0.1583393429
SRX3648449,-0.8076357108000001,0.06606595130000001,0.21211860170000002
SRX3648450,-0.34169873900000003,0.0321803969,-0.031897501700000004
SRX3648451,0.0468695769,0.0391732848,-0.0115590554
SRX3648452,0.8704486537,-0.14948516450000002,-0.20779119640000002
SRX3648453,1.2398856156,-0.1088437082,-0.11921019120000001
SRX3648454,-1.6027369278,-0.7008144740000001,1.3462439823
SRX3648455,-2.6522896502,-0.8010153896000001,1.4363496791
