,A,ZntR,Zur
biocide__h2o2_12h__1,-0.0704161026,-0.0041129072,-0.0857144178
biocide__h2o2_12h__2,-0.48087129980000004,0.5122861827,-0.519219045
biocide__h2o2_12h__3,-0.07871824620000001,0.7833939305000001,-0.8334202398
biocide__2ppoh_12h__1,0.2475503779,0.6395963399,-0.3922064657
biocide__2ppoh_12h__2,-0.026163803700000002,0.8775125677000001,-0.3777389346
biocide__2ppoh_12h__3,0.7124877806000001,0.6684922129,-0.5771086522000001
biocide__paa_12h__1,-0.9919188643000001,0.35185773530000003,-0.0099805169
biocide__paa_12h__2,-0.31557883670000003,0.40684250920000004,-0.153743502
biocide__paa_12h__3,1.524819045,0.6066196032,-0.0815893724
biocide__phe_12h__1,0.13548671340000001,0.9251982947,-0.2876150858
biocide__phe_12h__2,-0.5689355694,0.8459249417,-0.5779424233
biocide__phe_12h__3,0.5432907221000001,0.7953879721,-0.5960761782
biocide__pvp-i_12h__1,4.0025480311,0.678260999,-0.3429745959
biocide__pvp-i_12h__2,0.4540699033,0.4445574997,-0.43129120860000003
biocide__pvp-i_12h__3,3.7709741935,0.4836296302,-0.4323132206
biocide__bleach_12h__1,1.3617057682,0.3130774508,-0.6009112494000001
biocide__bleach_12h__2,1.6111289587000002,0.6241988344,-0.0843636009
biocide__bleach_12h__3,1.1774464371,0.39552902500000003,-0.3895225903
biocide__chx_12h__1,1.423556794,0.8015286899,-0.1466090656
biocide__chx_12h__2,3.6084271719,0.5764718401,-1.1074205207
biocide__chx_12h__3,3.7096089122,0.5973308786,-0.8890871221000001
biocide__bzcl_30m__1,1.3092862202,0.3042806113,0.20532117800000002
biocide__bzcl_30m__2,-0.1106183443,0.4936952873,-0.23570198020000002
biocide__bzcl_30m__3,0.6274366957,0.4105349122,-0.041116839
biocide__phe_30m__1,-0.2059673984,0.1063919683,-0.43316564350000003
biocide__phe_30m__2,0.9255794247,0.2165203185,-0.1331995829
biocide__phe_30m__3,-0.8006613607,0.017566935000000002,-0.0697454873
biocide__pvp-i_30m__1,0.44164134450000003,0.2745775822,0.0544204275
biocide__pvp-i_30m__2,0.7129500727,0.2907162518,-0.4054170849
biocide__pvp-i_30m__3,1.2439165594000001,0.5887078044,-0.3345393131
biocide__ctrl_12h__1,1.5511768986,0.1723230296,-0.39665308250000003
biocide__ctrl_12h__2,0.5867571873,-0.0805147149,0.178599755
biocide__ctrl_12h__3,0.3678501455,0.21368743380000002,-0.23270151360000002
biocide__ctrl_30m__1,-0.5616339414,0.0871795618,0.0473126948
biocide__ctrl_30m__2,-0.26181285660000003,-0.0515208707,-0.1591677153
biocide__ctrl_30m__3,0.8234467980000001,-0.0356586911,0.1118550205
clpP__wt__1,0.31446492460000003,0.1615099131,-0.1448429389
clpP__wt_DPTA__1,2.4867499955,2.2248221588,2.8926271733
clpP__wt__2,-0.45254435940000004,-0.24896236600000002,-0.0979837016
clpP__wt_DPTA__2,-1.8525827191,2.0226667354,2.8925551279
clpP__wt__3,0.1380794348,0.0874524529,0.2428266405
clpP__wt_DPTA__3,2.2027826562,1.7255274416000002,3.1867238944
clpP__delclpP__1,-0.1804843096,0.646170243,0.40421788750000004
clpP__delclpP_DPTA__1,2.3992214673,1.6627228229000002,2.9231456355
clpP__delclpP__2,0.2515362659,0.4616083842,0.061552858700000004
clpP__delclpP_DPTA__2,0.06921751500000001,1.1145215162,3.0418137679
clpP__delclpP__3,1.3661866309000001,0.7577371221,0.4193575148
clpP__delclpP_DPTA__3,-3.7252269418,1.3472079479,2.612671861
colombos2__delydcR__1,3.0401523633,-0.1980890734,-0.12956759410000002
colombos2__delydcR__2,3.84289382,0.09160269210000001,-0.0859692574
colombos2__delydcR__3,2.2912248006000002,-0.9985486406,0.2706351899
colombos2__delyjiR__1,2.4482293077,-0.0937893363,-0.4525406369
colombos2__delyjiR__2,-0.1963570359,0.0344912298,-0.2677761918
colombos2__delyjiR__3,-0.7234699083,0.11353375680000001,-0.3796217052
colombos2__wt__1,-1.9441524258,0.1583118554,0.1141300502
colombos2__wt__2,2.6725718297,0.1082523761,-0.39456533190000004
colombos2__wt__3,-0.728419404,-0.2665642315,0.2804352817
crp_k100__ar1_ar2__1,1.9247702144,-0.3301229498,-0.1429898182
crp_k100__ar1_ar2__2,2.72020162,-0.6415953761000001,-0.0510653494
crp_k100__ar1_ar2__3,-0.8653050049000001,-0.0873547132,0.3856338312
crp_k100__wt__1,-1.6739615298000001,0.2427984739,0.0372967605
crp_k100__wt__2,2.9164478733,-0.3650028421,0.2946906879
crp_k100__wt__3,-1.2424863435,0.12220436820000001,-0.3319874484
crp_k100__K100Q__1,-0.9798607188,0.2816904854,0.2484796129
crp_k100__K100Q__2,1.4933608862,-0.15351524830000002,-0.10162291200000001
crp_k100__K100R__1,1.5739444650999999,0.0495597458,0.5506877143000001
crp_k100__K100R__2,2.4301844197999998,-0.6314932456,0.2597545958
crp_k100__K100R__3,2.8836491813,0.14873270630000002,0.4805902943
csrA__wt_t00__1,0.1690420369,-0.4657252716,-0.2919931582
csrA__wt_t02_30__1,1.6327335832,0.7796005318,-3.0401478892
csrA__wt_t05__1,3.6770184741,2.585451677,-3.6591200631
csrA__wt_t10__1,3.3460580003000002,3.6919377247,-2.6272979943
csrA__wt_t15__1,0.6293833849,3.6434296228000003,-1.4032315453
csrA__delcsrA_t00__1,-0.458046445,0.12737193300000002,0.1347330973
csrA__delcsrA_t02_30__1,0.9408061238000001,0.7510047328,-3.271362772
csrA__delcsrA_t05__1,2.6078107132,2.6146497095,-3.0074755937
csrA__delcsrA_t10__1,3.8499005482,2.941632643,-2.5736355308
csrA__delcsrA_t15__1,3.3147084327,3.4900539277,-2.0933840999
csrA__wt_t00__2,-0.1690420369,0.4657252716,0.2919931582
csrA__wt_t02_30__2,0.8531554116000001,1.040748398,-2.5015403826
csrA__wt_t05__2,2.8271153976,2.5922477841,-3.5330546081
csrA__wt_t10__2,2.7641394742000003,3.733100127,-2.4710811374
csrA__wt_t15__2,-0.4225874093,3.7813958549,-1.0214699217
csrA__delcsrA_t00__2,0.1012372886,0.5058381797,-0.0934600354
csrA__delcsrA_t02_30__2,1.0299098691,0.9547337434000001,-3.2099328113
csrA__delcsrA_t05__2,2.9086654692,2.3236002503,-3.5500242469
csrA__delcsrA_t10__2,2.4782784024,3.8356791498,-2.0958750304000002
csrA__delcsrA_t15__2,-1.6197019967,3.3170876198,-1.3191854333
cstr_pfr__str_0005m__1,1.3122694476,0.2143369176,0.1295044517
cstr_pfr__str_0010m__1,1.7037370398,0.0375148333,0.1079881744
cstr_pfr__str_0025m__1,0.0786196535,-0.0355217249,0.20715140840000001
cstr_pfr__str_0045m__1,-0.5980393818,0.11105707540000001,0.1470539256
cstr_pfr__str_0075m__1,-1.1277058209,0.047557478300000004,0.0762468055
cstr_pfr__str_0120m__1,-1.3879384599,-0.17158755150000002,-0.019435375
cstr_pfr__str_0210m__1,-1.0250977959,-0.1260310983,-7.244470000000001e-05
cstr_pfr__str_0330m__1,-0.5148517118,0.046980408800000005,0.1579421336
cstr_pfr__str_1500m__1,0.2508511734,0.0847810345,0.23900820760000002
cstr_pfr__str_1560m__1,-0.0161058312,0.141831296,0.21974141660000002
cstr_pfr__str_1680m__1,0.014565898800000001,0.0113462578,0.2363129642
cstr_pfr__str_ref1__1,0.0595733648,0.0449721561,0.0636952083
cstr_pfr__str_ref2__1,-0.052025612000000006,0.1770134925,-0.0218943445
cstr_pfr__str_ref3__1,0.0959159816,-0.057126959000000005,0.0457957578
cstr_pfr__pfr_P5_0005m__1,1.5697217535,0.5019894776,0.5449187931
cstr_pfr__pfr_P5_0010m__1,2.138761631,0.3159765659,0.2919527429
cstr_pfr__pfr_P5_0025m__1,0.9130514456000001,0.3897974213,0.8010093404
cstr_pfr__pfr_P3_0025m__1,0.6143593867,0.2873965814,0.5014178965
cstr_pfr__pfr_P1_0025m__1,0.39556811620000004,-0.0500352372,0.3708285264
cstr_pfr__pfr_P5_0045m__1,0.3224116593,0.2981456035,0.7685573471
cstr_pfr__pfr_P5_0120m__1,-0.7717641674,0.4134155089,0.5331750816
cstr_pfr__pfr_P3_0120m__1,-1.3322059529999999,0.07119433,0.2006926175
cstr_pfr__pfr_P1_0120m__1,-0.6389481274000001,0.7823587327,0.1639597288
cstr_pfr__pfr_P5_0210m__1,-0.0715719692,0.44703366800000005,0.5158552565
cstr_pfr__pfr_P5_1500m__1,0.0245070633,0.4735972672,0.5258289361
cstr_pfr__pfr_P3_1680m__1,0.3347361851,0.34730889270000004,-0.031160353000000002
cstr_pfr__pfr_P5_1680m__1,0.0499972973,0.5199625841000001,0.46476751860000004
cstr_pfr__pfr_P1_1680m__1,-0.33192143900000004,0.0007732464,0.12309347030000001
cstr_pfr__str_0005m__2,1.0269534483,-0.08216023780000001,-0.0595522813
cstr_pfr__str_0010m__2,1.0895040034,-0.156382815,0.1728016437
cstr_pfr__str_0025m__2,-0.42581134340000004,-0.1906239308,0.24425689590000002
cstr_pfr__str_0045m__2,-1.189674328,-0.16737905220000002,0.1373144306
cstr_pfr__str_0075m__2,-1.5459519151999999,-0.0277849335,0.1895061817
cstr_pfr__str_0120m__2,-1.2250212407,-0.15014411800000002,0.2416895885
cstr_pfr__str_0210m__2,-1.1740837533,-0.11975993630000001,0.17271251510000002
cstr_pfr__str_0330m__2,-0.7097057638000001,-0.0398616647,0.1731872286
cstr_pfr__str_1500m__2,-0.4795502943,-0.1054191401,0.3996739668
cstr_pfr__str_1560m__2,-0.49448659450000004,-0.0607582354,0.1975392392
cstr_pfr__str_1680m__2,-0.059731708300000005,-0.13462458530000002,0.2257326388
cstr_pfr__str_ref1__2,-0.0595733648,-0.0449721561,-0.0636952083
cstr_pfr__str_ref2__2,-0.2310670411,-0.0924773034,0.016819329100000002
cstr_pfr__str_ref3__2,-0.2070115267,-0.0833703537,-0.1284498278
cstr_pfr__pfr_P5_0005m__2,1.7787480897,0.2049649182,0.46835460040000004
cstr_pfr__pfr_P5_0010m__2,2.1361869319,0.2849394913,0.6582790848
cstr_pfr__pfr_P5_0025m__2,0.7281585322,0.1681072553,0.6459213553
cstr_pfr__pfr_P3_0025m__2,0.7495791144,0.040542374400000004,0.2240680009
cstr_pfr__pfr_P1_0025m__2,0.1915735117,-0.2776795262,0.054754571700000004
cstr_pfr__pfr_P5_0045m__2,-2.9662058952,-0.10933657470000001,0.9895883738000001
cstr_pfr__pfr_P5_0120m__2,-1.1662060917,0.3916538733,0.5358449694
cstr_pfr__pfr_P3_0120m__2,-1.0888526595,-0.037620483100000005,0.25562658520000003
cstr_pfr__pfr_P1_0120m__2,-1.4685203405,0.0028641235000000003,0.0854046545
cstr_pfr__pfr_P5_0210m__2,0.0986835038,0.2957098859,0.410846407
cstr_pfr__pfr_P5_1500m__2,0.1332388189,0.5521555603,0.4901389531
cstr_pfr__pfr_P3_1680m__2,0.27512567730000004,0.569474155,0.4530193249
cstr_pfr__pfr_P5_1680m__2,0.1202893961,0.2365245835,0.3197227696
cstr_pfr__pfr_P1_1680m__2,-0.057028211100000004,-0.0247516844,0.12197032290000001
darobactin__daro_30m__1,0.9074639981,-0.48015933450000003,1.0212113448
darobactin__daro_30m__2,0.0461119086,-0.2138648785,0.4969513446
darobactin__solv_1h__1,1.3159238977,-1.8145523460000001,0.5840088752
darobactin__solv_1h__2,0.2631285707,-1.1051533606,0.3119056217
darobactin__daro_1h__1,1.8465084554,-0.16780340230000002,0.3900935277
darobactin__solv_1h__3,0.9475005912000001,-0.5510791621000001,0.9190710094000001
darobactin__daro_1h__2,2.7804437963,-0.3697481331,0.434590348
darobactin__daro_1h__3,2.1312129151,-0.5610473933,0.47416915590000003
darobactin__daro_30m__3,0.500243572,-0.6947373643,0.2535644239
darobactin__solv_30m__1,0.7265588781,-0.0229590896,0.573631297
darobactin__solv_15m__1,0.4940766298,0.1736172184,0.0407399328
darobactin__solv_15m__2,-0.46001627380000004,-0.103928322,-0.1924859013
darobactin__daro_15m__1,2.8378565778000002,-0.41979844190000004,-0.4177118648
darobactin__solv_15m__3,-0.034060356,-0.0696888963,0.1517459686
darobactin__daro_15m__2,0.4030954051,-0.5089121839,-0.3160221775
darobactin__daro_15m__3,0.0901067071,0.551631559,0.3333540379
darobactin__solv_30m__2,-0.2953411769,-0.5673582674000001,-0.09375260440000001
darobactin__solv_30m__3,-0.47364987140000003,-0.2431279744,0.1602594223
ddp__pNT3_aroP__1,-0.8978361584000001,-0.500859454,1.512822978
ddp__pNT3_aroP__2,-1.3907345075,-0.6734632059,2.1930291516000002
ddp__pNT3_bamC__1,-1.213580495,-1.1277828115,2.0609661553
ddp__pNT3_bamC__2,-1.0597961389,-1.0410282205,2.6218290512999998
ddp__pNT3_cusA__1,-0.7100124417,-0.2281579135,2.598566602
ddp__pNT3_cusA__2,-0.9720358172,-0.0498857702,2.9854893691
ddp__pNT3_hemX__1,0.9721441673000001,-1.0528618268,0.9132286079
ddp__pNT3_hemX__2,0.43198368470000004,-1.328148637,1.1160824476
ddp__pNT3_empty__1,-0.15561480660000002,0.2224570418,0.06778991720000001
ddp__pNT3_empty__2,0.15561480660000002,-0.2224570418,-0.06778991720000001
ddp__pNT3_topA__1,-0.45281261700000003,-0.5779786505,2.7154924589
ddp__pNT3_topA__2,-1.123753629,-0.8101933041,2.8240761414
ddp__pNT3_yicR__1,0.5440047367,0.5327886208,1.2275920899
ddp__pNT3_yicR__2,0.5820394734000001,0.4880661994,1.7718555979000001
ddp__pNT3_yqjD__1,0.6447807132000001,-0.5155153017,0.5372878027
ddp__pNT3_yqjD__2,0.7244110406000001,-1.041935089,0.8129759037000001
ecomics__del_gabT__1,0.4072969464,0.3230986262,-0.028189787
ecomics__del_gabT__2,-0.4072969464,-0.3230986262,0.028189787
ecomics__del_putP__1,-0.9004804234,-0.048572893400000004,-0.5902638520000001
ecomics__del_putP__2,0.1565149086,-0.0447982771,-0.0986250813
ecomics__del_entF__1,-3.9343564713,-0.7694006408,-0.14302248110000002
ecomics__del_entF__2,1.8067669401000002,0.1815996563,-0.410012195
ecomics__del_entF__3,-0.9199667690000001,-0.4313456718,-0.3895090134
ecomics__del_cysA__1,-4.5763542509,-0.2697466989,-1.1623199917
ecomics__del_cysA__2,0.20880588790000001,-0.4220591266,-1.1173802776
elyC__wt_21C__1,-0.4790315295,0.4087525602,0.1909795993
elyC__wt_21C__2,-0.0129228381,-0.1215486808,-0.2925833675
elyC__wt_21C__3,-0.2614068398,0.3271538211,0.06462664280000001
elyC__wt_37C__1,0.0329172983,-0.2309404743,-0.1179264679
elyC__wt_37C__2,0.1162362133,0.0888238425,0.0358519893
elyC__wt_37C__3,-0.1491535116,0.1421166319,0.0820744786
elyC__delelyC_21C__1,-0.6623806757,0.2126336204,-0.0405215466
elyC__delelyC_21C__2,-1.0919834967,0.2092989555,-0.2394915616
elyC__delelyC_21C__3,-0.5050212547,0.2227956527,-0.08088644660000001
elyC__delelyC_37C__1,-0.5809937358,-0.2386743123,-0.0451803314
elyC__delelyC_37C__2,-0.3820829653,0.0387157835,0.0425090516
elyC__delelyC_37C__3,-0.1340797762,-0.1552068674,-0.1437749167
evo_acid_w__F9_2__1,2.1656594096,-0.4262932364,-0.0523259774
evo_acid_w__F11_1__1,0.5000420361,-0.2845339354,0.9117494795000001
evo_acid_w__F11_1__2,0.637387665,-0.3571742725,0.47976816590000004
evo_acid_w__F11_1__3,1.2907440646000001,-0.47649842870000003,0.5577442975
evo_acid_w__wt__1,-0.4706054221,-0.4748712705,-0.4284720584
evo_acid_w__F11_2__1,1.9507802628,-0.0357710153,0.37410695200000005
evo_acid_w__B11_2__1,0.35492169630000003,-0.1134033477,0.9126757312
evo_acid_w__F11_2__2,1.0250528634,-0.0549903177,1.144657818
evo_acid_w__wt__2,-0.7102369315,-0.3278638184,0.0018566606
evo_acid_w__B11_1__1,0.9112611048,-0.0155132566,0.8469571031
evo_acid_w__H9_1__1,-3.253693325,2.073154468,0.114619467
evo_acid_w__H9_2__1,0.9364552357,-0.0718076441,0.4025474357
evo_acid_w__B11_2__2,0.5147890991,-0.1121559127,1.0322651271
evo_acid_w__wt__3,-1.2838992448,-0.1382923544,0.3128617983
evo_acid_w__H9_2__2,1.2253072147,0.11275298600000001,0.37932688600000003
evo_acid_w__B11_2__3,-0.0982566381,-0.2284204247,1.023173301
evo_acid_w__F11_2__3,0.9526777115,-0.1503346368,1.0464270821
evo_acid_w__F9_2__2,2.2919633012,-0.2204023289,0.0662400621
evo_acid_w__wt__4,0.8079589408000001,0.6779210397000001,-0.0456096459
evo_acid_w__wt__5,0.4615084184,0.45006569970000004,0.0268883587
evo_acid_w__wt__6,-0.12785873080000001,-0.1169389811,0.3625639867
evo_acid_w__H9_1__2,-3.1317429544,1.8799557064,0.134942846
evo_acid_w__F9_1__1,-0.46110324620000004,-0.2671629291,0.1731130964
evo_acid_w__F9_1__2,0.06866788630000001,-0.2231370402,0.1513326345
evo_acid_w__B11_1__2,0.7433190510000001,0.10111546,0.9965122135000001
evo_acid_w__H9_2__3,1.2208808397,-0.2877950069,0.6374167559
evo_acid_w__wt__7,1.2086562567,0.2047300116,-0.2144741668
evo_acid_w__F9_1__3,-0.23511339080000002,-0.1710940773,0.0425012918
evo_acid_w__F9_2__3,2.4875441841,-0.48284379390000004,0.08727953840000001
evo_acid_w__wt__8,-0.430748047,-0.3538673207,0.0850802287
evo_acid_w__B11_1__3,0.2074525518,-0.21706877800000002,0.8656344064
evo_acid_w__wt__9,0.5452247603,0.0791169941,-0.10069516190000001
evo_bz__c3_1_bz__1,-3.4480842304,1.9999986692,-0.8093218667000001
evo_bz__c3_1_bz__2,0.3588911588,0.37164921300000003,-1.3012492335
evo_bz__c3_1_bz__3,-0.2873739025,0.3234557699,-0.6660297854
evo_bz__c3_1_bz__4,-0.4097889609,0.5631194425,-0.592477276
evo_bz__g5_1_bz__1,-1.4810830377,2.36938963,-1.1343080478
evo_bz__g5_1_bz__2,-3.481452463,1.8082314893,-0.8274471559000001
evo_bz__g5_1_bz__3,-1.5646299655,1.8193424194,-1.1504305444
evo_bz__g5_1_bz__4,1.3727145502,0.7105224824,-1.2851507807
evo_bz__g5_1_bz__5,0.8126277148000001,0.878347129,-0.7639235001
evo_bz__g5_1_bz__6,0.7680462504000001,0.8841658405,-0.8210509038
evo_bz__w3110d13__1,-0.2914552735,0.0306107095,0.21158494
evo_bz__w3110d13__2,-0.5837138249,0.2037661556,0.1158570745
evo_bz__w3110d13__3,0.3014439772,-0.1761848691,-0.1398472812
evo_bz__w3110d13__4,-0.5310055989,-0.0153512361,0.4540227794
evo_bz__w3110d13__5,0.66834112,-0.23092674200000002,-0.4621143762
evo_bz__w3110d13__6,0.4363896001,0.1880859822,-0.1795031365
evo_bz__w3110d13_bz__1,-2.7367120607,1.4438112349,-0.9338810032
evo_bz__w3110d13_bz__2,-2.8347646366,1.2350876117,-0.7609682283
evo_bz__w3110d13_bz__3,0.3843267661,0.43588001330000004,-1.1088388586
evo_bz__w3110d13_bz__4,-2.6404139487,1.2247541514,-0.9205313518
evo_bz__c3_1_bz__5,-2.2441000113,1.9067261002,-0.6466070195
evo_bz__c3_1_bz__6,-3.6330866024,2.3022914301,-0.6715361262
evo_bz__g5_2_bz__1,-0.2544985815,0.4664757302,-1.3463796493
evo_bz__g5_2_bz__2,-0.5802606099000001,0.2985991087,-1.1135227763
evo_bz__g5_2_bz__3,-0.0733246464,0.5015582595,-1.0422385507
evo_bz__g5_2_bz__4,-0.8678323547000001,1.1061012379,-0.8165122253
evo_bz__g5_2_bz__5,-1.3699046281,1.2303824501,-0.7722442882
evo_bz__g5_2_bz__6,-1.7363220774,1.6379382937,-0.7244458297
evo_bz__w3110d13_bz__5,-0.0550950937,0.4690779765,-1.120659022
evo_bz__w3110d13_bz__6,0.17377472830000001,0.4775247736,-1.2730548873
evo_bz__a1_1_bz__1,0.8380624612,1.675421693,-1.6167651199000002
evo_bz__a1_1_bz__2,-0.3450159685,1.0020491553,-0.8431280949000001
evo_bz__a1_1_bz__3,0.656411947,0.6949946741,-1.2043899867
evo_bz__a1_1_bz__4,-1.1927333078,1.0345756963,-0.592018993
evo_bz__a1_1_bz__5,0.49278232650000003,0.597615562,-1.2801331388000001
evo_bz__a1_1_bz__6,0.5336767167,0.5894899960000001,-1.1660031361
evo_metab__wt__1,1.6550194550000001,0.3806220564,-0.22555714540000002
evo_metab__del_zwf__1,0.5493490052000001,0.1921247918,-0.14681669190000002
evo_metab__zwf_ale1__1,0.8969199089000001,0.0417526062,0.1049361575
evo_metab__zwf_ale2__1,-0.3001400227,0.1196868254,-0.25697076750000003
evo_metab__del_ppk__1,-0.6210390937,-0.1805649209,-0.0321092454
evo_metab__ppk_ale1__1,-1.0242668705,0.092299975,0.16674918
evo_metab__ppk_ale2__1,1.3571761082,0.16124763450000001,0.160110355
evo_metab__ppk_ale3__1,0.6559867641,0.2122511487,0.0050147062
evo_metab__del_dapF__1,1.6278340743,0.40469437500000005,-0.47521534930000003
evo_metab__dapF_ale1__1,0.2249173297,-0.0899084188,-0.5063733804
evo_metab__dapF_ale3__1,-1.295099025,0.2644127116,-0.54629403
evo_metab__del_entC__1,-0.2715603159,-0.2035241352,-0.6113413483
evo_metab__entC_ale1__1,-0.4194753419,-0.5924719371,-0.18500010620000001
evo_metab__entC_ale2__1,1.0278880112,-0.2246861212,0.0341000214
evo_metab__del_dgk__1,-0.07837232,0.2477449981,0.2736327129
evo_metab__dgk_ale1__1,-0.5174411961000001,0.0263530052,0.7009229795
evo_metab__dgk_ale2__1,0.6896007545,0.17134522330000002,1.0400631177
evo_metab__dgk_ale3__1,0.8469517462,-0.5409086496000001,-0.7163757987
evo_metab__wt__2,-0.270370117,-0.37416157580000003,-0.0476094049
evo_metab__del_zwf__2,0.9361521057000001,0.8228176697,-0.2652749553
evo_metab__zwf_ale1__2,0.8285583231,0.19903628850000002,0.4921843919
evo_metab__zwf_ale2__2,-0.0848611617,0.0221186683,-0.0703234342
evo_metab__del_ppk__2,-0.6073914714,-0.3878972624,0.23145551690000002
evo_metab__ppk_ale1__2,-0.4486808741,0.4257344185,0.8656559773
evo_metab__ppk_ale2__2,-0.4335285827,0.4128990556,0.5116046798
evo_metab__ppk_ale3__2,-0.6817109233,-0.1929770421,-0.3013454819
evo_metab__del_dapF__2,-0.3027683901,0.61958227,-0.6028572449
evo_metab__dapF_ale1__2,-0.6293953806,0.5074599714,-0.5639179348000001
evo_metab__dapF_ale3__2,-0.0485706398,0.6934072804,-0.6597124327
evo_metab__del_entC__2,-1.2539834873,-0.3507816771,0.1108323105
evo_metab__entC_ale1__2,0.6838850698000001,0.0202826901,0.1653735096
evo_metab__entC_ale2__2,-0.382785611,-0.0009148228000000001,0.3440370618
evo_metab__entC_ale3__1,-0.6963983755,0.37103231270000003,1.0020946029
evo_metab__del_dgk__2,-0.593396789,0.0072501572,0.2860841403
evo_metab__dgk_ale1__2,0.3401921485,0.4306100789,0.8107889702000001
evo_metab__dgk_ale2__2,-0.2305657964,0.5526642468,0.7985535829
evo_metab__dgk_ale3__2,-0.8261258719,0.0621039253,-0.1019206082
evo_metab__wt__3,-1.3846493381,-0.0064604806,0.2731665504
evo_metab__del_zwf__3,-0.1940094477,-0.32945170900000004,-0.6515586811
evo_metab__zwf_ale1__3,0.3973607974,0.3038613788,0.44603766240000003
evo_metab__zwf_ale2__3,-0.7881064197000001,-0.0968101532,-0.23864409890000002
evo_metab__del_ppk__3,-0.8311057764,0.07570545990000001,0.2841661286
evo_metab__ppk_ale1__3,-1.8036749999000001,-0.053579809400000004,0.3300635823
evo_metab__ppk_ale2__3,-0.8183271808,-0.0110275407,0.2965859856
evo_metab__ppk_ale3__3,-0.1162890948,-0.2342936868,0.4654670437
evo_metab__del_dapF__3,-0.4172767584,0.7127696581,-0.5486724723
evo_metab__dapF_ale1__3,-0.8274271082,0.8388696353,-0.4495669734
evo_metab__dapF_ale3__3,-0.4339106425,1.1026995639,-0.5555193351000001
evo_metab__del_entC__3,0.057116711800000004,0.0811326858,-0.3164354381
evo_metab__entC_ale1__3,-0.8805555818,0.6846378212,0.4518492367
evo_metab__entC_ale2__3,-1.1767438073,0.1087594893,0.3077701456
evo_metab__entC_ale3__2,-0.9374610091000001,0.303147218,0.2465399571
evo_metab__del_dgk__3,-1.1761439455,-0.372912418,0.1600161927
evo_metab__dgk_ale1__3,-1.347426455,0.070793643,0.5057588107000001
evo_metab__dgk_ale2__3,-0.1965536668,0.24861960290000001,0.3417902721
evo_metab__dgk_ale3__3,-2.0902074288,-0.2597916053,-0.1928951489
flag_reg__wt__1,-0.11781616290000001,0.0162791188,0.054290349800000005
flag_reg__del_fliA__1,0.32278745410000004,0.5789836108,0.48608480730000003
flag_reg__del_flhC__1,-0.038834767,0.2433653369,-0.23363378210000002
flag_reg__del_flhD__1,0.7106669629,0.1668704908,-0.1411579785
flag_reg__wt__2,0.11781616290000001,-0.0162791188,-0.054290349800000005
flag_reg__del_fliA__2,0.11423643160000001,0.4853043011,0.0730581666
flag_reg__del_flhC__2,-0.1520097139,0.6911324047,0.467624421
flag_reg__del_flhD__2,0.1399094874,0.3140155432,-0.2814313513
flgM__27C__1,0.086586772,0.26087620970000003,-0.1408258814
flgM__27C__2,-0.4762839854,0.2529606148,-0.1938280722
flgM__27C__3,0.154247564,0.0533785338,-0.3621895074
flgM__32C__1,-1.8560480080000001,0.2357379175,0.3250133078
flgM__32C__2,-0.5054730321,0.3216330814,-0.004688602300000001
flgM__32C__3,-0.4923022966,0.1346185628,-0.0999831115
flgM__37C__1,-0.3407108945,-0.0370529176,0.0446760698
flgM__37C__2,-0.285648181,-5.1153800000000005e-05,-0.0651358093
flgM__37C__3,0.6263590756,0.0371040713,0.0204597395
flgM__42C__1,0.7832237321000001,0.10256745040000001,-0.1595626706
flgM__42C__2,0.3153109777,0.1479458883,-0.14456036930000002
flgM__42C__3,0.4493552301,0.5223725428,0.1119836403
histone__untreated__1,-0.721796741,-0.1248642538,-0.0393753785
histone__untreated__2,0.2783161709,-0.0231623293,0.10099005600000001
histone__untreated__3,0.44348057020000003,0.1480265831,-0.0616146775
histone__10ug_H2A__1,0.7114090241000001,0.1633278502,-0.1011111826
histone__10ug_H2A__2,-0.1360076686,0.1400114798,-0.0682244339
histone__10ug_H2A__3,0.5064481676,-0.0063397274,-0.2079238071
histone__50ug_H2A__1,0.7255644223000001,0.0603991262,-0.4665491834
histone__50ug_H2A__2,0.6166071996,-0.1733127915,-0.5610577373
histone__50ug_H2A__3,0.9706232268,-0.1880439076,-0.3904960256
histone__100ug_H2A__1,0.8173125007,0.1254273052,-0.5254234218
histone__100ug_H2A__2,1.1414859754,-0.0003356208,-0.5306871808
histone__100ug_H2A__3,0.6732468026,-0.09595674700000001,-0.6982176174
hns__del_hns_spike__1,-0.9549443400000001,0.4707146669,0.1054352541
hns__del_hns_spike__2,0.33025207440000004,0.7219031025,0.3497918501
hns__del_hns__1,-0.24873144700000002,0.42047350840000003,0.1815998608
hns__del_hns__2,0.6579228450000001,0.5005697989,0.2894752432
hns__wt_spike__1,-0.9278627283,0.5832727041,-0.0106481248
hns__wt_spike__2,1.7843546583,0.0459803739,0.08185621600000001
hns__wt__1,-1.8485549955,0.5182030081,0.0210332665
hns__wt__2,1.8485549955,-0.5182030081,-0.0210332665
hns_stpA__evo100G4_delhns_delstpA__1,4.8748733764,-0.1912131278,0.1370903041
hns_stpA__evo100G4_delhns_delstpA__2,5.3085221368,-0.19217545,0.23054331490000002
hns_stpA__evo100G12_delhns_delstpA__1,2.5399639652,-0.5732640423,-0.6199611372
hns_stpA__evo100G12_delhns_delstpA__2,4.5237060272,-0.7114300218,-0.8528017037000001
