,A,MalT
cstr_pfr__pfr_P5_0025m__1,2.9715976688,0.10779604320000001
cstr_pfr__pfr_P3_0025m__1,2.5857051198,0.008675979
cstr_pfr__pfr_P1_0025m__1,2.1566690098,0.0915893785
cstr_pfr__pfr_P5_0045m__1,2.5163754168,0.0638373022
cstr_pfr__pfr_P5_0120m__1,1.7545679623,0.08385787430000001
cstr_pfr__pfr_P3_0120m__1,2.7780711975,0.0442861565
cstr_pfr__pfr_P1_0120m__1,1.6288148328,0.29648787930000003
cstr_pfr__pfr_P5_0210m__1,1.7604270079000002,0.12358945930000001
cstr_pfr__pfr_P5_1500m__1,2.7535036126,0.19784793
cstr_pfr__pfr_P3_1680m__1,1.0787908504,0.1547730126
cstr_pfr__pfr_P5_1680m__1,1.093304617,0.11587328400000001
cstr_pfr__pfr_P1_1680m__1,0.561169873,0.2761122009
cstr_pfr__str_0005m__2,1.9248953901,0.7359892809
cstr_pfr__str_0010m__2,3.6781617456999998,0.6011526714000001
cstr_pfr__str_0025m__2,3.0697625483,0.2471707388
cstr_pfr__str_0045m__2,2.3053146769,0.2223660465
cstr_pfr__str_0075m__2,2.508322768,0.22552679650000002
cstr_pfr__str_0120m__2,2.4681414477,0.3306545983
cstr_pfr__str_0210m__2,2.3252923691,0.3093457894
cstr_pfr__str_0330m__2,1.6325330183,0.2978066803
cstr_pfr__str_1500m__2,2.2886884244,0.602267871
cstr_pfr__str_1560m__2,1.9524721922000001,0.41957798430000004
cstr_pfr__str_1680m__2,1.3007746242,0.47606104050000003
cstr_pfr__str_ref1__2,0.2147357048,-0.0042267167
cstr_pfr__str_ref2__2,0.3672179271,0.0024708066
cstr_pfr__str_ref3__2,0.39126761050000003,-0.030869818400000002
cstr_pfr__pfr_P5_0005m__2,1.8232666252,0.4141259801
cstr_pfr__pfr_P5_0010m__2,3.5502814724,0.38355857660000003
cstr_pfr__pfr_P5_0025m__2,3.2605033137,0.0314829877
cstr_pfr__pfr_P3_0025m__2,3.1442645269,-0.024184432000000002
cstr_pfr__pfr_P1_0025m__2,2.9334002279,0.0359078083
cstr_pfr__pfr_P5_0045m__2,3.0935048081,0.0655743252
cstr_pfr__pfr_P5_0120m__2,2.783738916,-0.046397752300000004
cstr_pfr__pfr_P3_0120m__2,2.7377562183,-0.032187683200000004
cstr_pfr__pfr_P1_0120m__2,2.7241438677,0.21549872890000002
cstr_pfr__pfr_P5_0210m__2,2.4225883106,0.30952919900000003
cstr_pfr__pfr_P5_1500m__2,2.7348662694,0.1825802974
cstr_pfr__pfr_P3_1680m__2,1.8915489884,0.1584135437
cstr_pfr__pfr_P5_1680m__2,1.4493724553,0.12098268770000001
cstr_pfr__pfr_P1_1680m__2,1.4066376403,0.21334599999999998
darobactin__daro_30m__1,-10.5675184454,2.1409458175
darobactin__daro_30m__2,-7.3399888053,0.8876298223
darobactin__solv_1h__1,-24.785215995,3.2748691996
darobactin__solv_1h__2,-25.0134357712,3.0195891179
darobactin__daro_1h__1,-22.4066012375,2.4081570704
darobactin__solv_1h__3,-23.2727805516,3.5403509201
darobactin__daro_1h__2,-20.882199546,3.2064464284
darobactin__daro_1h__3,-21.4510175487,2.9709105202
darobactin__daro_30m__3,-12.62919932,2.2001832011
darobactin__solv_30m__1,-5.3252301697,0.9484322889000001
darobactin__solv_15m__1,-0.1673554286,-0.1394739663
darobactin__solv_15m__2,-0.11657864770000001,0.0088433823
darobactin__daro_15m__1,-2.0358050415,0.14935444650000002
darobactin__solv_15m__3,0.2839340763,0.13063058400000002
darobactin__daro_15m__2,-1.4192278470000002,-0.20281491640000002
darobactin__daro_15m__3,-1.7495223028,-0.1105434873
darobactin__solv_30m__2,-3.3197627917,0.5699556096
darobactin__solv_30m__3,-6.3409256141,1.117385019
ddp__pNT3_aroP__1,2.205100046,-0.054287317
ddp__pNT3_aroP__2,4.5965957465,-0.1312311068
ddp__pNT3_bamC__1,-9.5181955193,-3.1097750242
ddp__pNT3_bamC__2,-9.4245642186,-2.007603321
ddp__pNT3_cusA__1,-9.4405318722,-3.0132104617
ddp__pNT3_cusA__2,-7.2331634739,-2.0525131568
ddp__pNT3_hemX__1,1.6826431646,-0.1143707297
ddp__pNT3_hemX__2,4.9699790455,-0.2665230411
ddp__pNT3_empty__1,-0.43200911750000004,-0.15681174990000002
ddp__pNT3_empty__2,0.43200911750000004,0.15681174990000002
ddp__pNT3_topA__1,-11.1184874541,-1.7961000224
ddp__pNT3_topA__2,-9.5473527221,-1.9763012009
ddp__pNT3_yicR__1,-3.9609963366,0.19226637940000002
ddp__pNT3_yicR__2,-1.7523289085,-0.0789932741
ddp__pNT3_yqjD__1,3.6524903614,0.4296018905
ddp__pNT3_yqjD__2,5.2143012409,0.307351592
ecomics__del_gabT__1,-0.4349292799,-0.2959212203
ecomics__del_gabT__2,0.4349292799,0.2959212203
ecomics__del_putP__1,-1.0965797386,-0.4739618673
ecomics__del_putP__2,-0.4841236044,0.2556467421
ecomics__del_entF__1,4.8063273091,1.5570135091
ecomics__del_entF__2,-0.7901574779,0.0758226426
ecomics__del_entF__3,-0.31559519880000003,0.3250799942
ecomics__del_cysA__1,1.3381792666,0.5987557777
ecomics__del_cysA__2,0.9507338831000001,0.3936699905
elyC__wt_21C__1,-2.1320248969,1.2180158957
elyC__wt_21C__2,-2.499433151,1.0876803349
elyC__wt_21C__3,-2.9705615133,0.8357343842
elyC__wt_37C__1,-0.3816847622,0.04640967
elyC__wt_37C__2,0.6312503764,-0.07095017590000001
elyC__wt_37C__3,-0.2495656142,0.024540505900000002
elyC__delelyC_21C__1,-2.5555656378,0.7507795987
elyC__delelyC_21C__2,-1.2596619239,1.1054218652
elyC__delelyC_21C__3,-2.1099198411,1.1853867602000001
elyC__delelyC_37C__1,0.37071332030000004,0.042376956800000004
elyC__delelyC_37C__2,-1.3530551123,0.1077635473
elyC__delelyC_37C__3,-1.1847622675,0.2694718745
evo_acid_w__F9_2__1,2.7492724982,0.4789302147
evo_acid_w__F11_1__1,-2.5757228360999997,-0.007922771
evo_acid_w__F11_1__2,-3.2697549387000002,-0.0411640049
evo_acid_w__F11_1__3,-0.9046639319,0.5191814799
evo_acid_w__wt__1,5.9851941566,0.4901949532
evo_acid_w__F11_2__1,5.3071565546,0.5609286921000001
evo_acid_w__B11_2__1,5.6583832463,1.0573612411
evo_acid_w__F11_2__2,-3.879786126,0.1419772248
evo_acid_w__wt__2,4.5761387852,0.6822517835
evo_acid_w__B11_1__1,0.6241764233,1.4829794816000001
evo_acid_w__H9_1__1,-7.9409223442,-3.4989894446
evo_acid_w__H9_2__1,-1.7480273262,0.2540376057
evo_acid_w__B11_2__2,7.0594195267,1.4612553984
evo_acid_w__wt__3,2.5855485633,0.3978617564
evo_acid_w__H9_2__2,-1.1400559194,0.15195839800000002
evo_acid_w__B11_2__3,5.9147257462,1.499400481
evo_acid_w__F11_2__3,-4.1378414498,0.16803786340000001
evo_acid_w__F9_2__2,2.7400813678000002,0.43517895230000003
evo_acid_w__wt__4,-9.0734156823,-0.9825042228
evo_acid_w__wt__5,-9.3380587141,-0.9456745063
evo_acid_w__wt__6,3.5896329956,0.5804279946
evo_acid_w__H9_1__2,-7.5701957093,-3.368648312
evo_acid_w__F9_1__1,2.1385198004,0.8895507953
evo_acid_w__F9_1__2,1.2936358592000001,0.8766691509000001
evo_acid_w__B11_1__2,0.3775161799,1.056967559
evo_acid_w__H9_2__3,-3.0813831004,0.3828998153
evo_acid_w__wt__7,-0.8997567573,-0.2894010841
evo_acid_w__F9_1__3,2.9868448019000002,1.1372014023
evo_acid_w__F9_2__3,3.0925889275,0.5412470821
evo_acid_w__wt__8,2.1847867949,0.3025832143
evo_acid_w__B11_1__3,2.3956000817,1.3263294785
evo_acid_w__wt__9,0.389929858,-0.23573988880000002
evo_bz__c3_1_bz__1,-1.4441425396,-0.059519191900000004
evo_bz__c3_1_bz__2,-4.4224719611,-0.1694794365
evo_bz__c3_1_bz__3,-2.8727448437,-0.25740645100000004
evo_bz__c3_1_bz__4,-1.6805165179000001,-0.1757659415
evo_bz__g5_1_bz__1,-1.1294327095,-0.0444746285
evo_bz__g5_1_bz__2,-6.5166233134,-1.641686138
evo_bz__g5_1_bz__3,-1.6376828666,-0.2141771582
evo_bz__g5_1_bz__4,-4.5229776183,-0.8368903488
evo_bz__g5_1_bz__5,-3.7786097488,-0.5909447952
evo_bz__g5_1_bz__6,-2.8810757134,-0.7413079914
evo_bz__w3110d13__1,1.2169552708,0.35229042250000003
evo_bz__w3110d13__2,1.1625840055,0.2697400019
evo_bz__w3110d13__3,-0.9084609718000001,-0.13546747950000002
evo_bz__w3110d13__4,0.1643625544,0.1930845364
evo_bz__w3110d13__5,-1.3101288459,-0.3629674691
evo_bz__w3110d13__6,-0.3253120129,-0.3166800122
evo_bz__w3110d13_bz__1,-0.7566097923,-0.1303290727
evo_bz__w3110d13_bz__2,-2.011631542,-0.35385752260000003
evo_bz__w3110d13_bz__3,-3.8106849147,-0.3076029576
evo_bz__w3110d13_bz__4,-0.5416261525,-0.0578287409
evo_bz__c3_1_bz__5,-1.7399629075,-0.20819537870000002
evo_bz__c3_1_bz__6,-2.4196943501,-0.3371716903
evo_bz__g5_2_bz__1,-8.7388523795,-0.7813478015
evo_bz__g5_2_bz__2,-8.0496996008,-0.7359793878
evo_bz__g5_2_bz__3,-3.5540994573,-0.4367584218
evo_bz__g5_2_bz__4,-0.5126373423,0.4770826497
evo_bz__g5_2_bz__5,-0.6296904120000001,0.30186
evo_bz__g5_2_bz__6,-2.488137666,-0.0339067929
evo_bz__w3110d13_bz__5,-2.5557657656,-0.3055209835
evo_bz__w3110d13_bz__6,-3.4522931187,-0.6567226588
evo_bz__a1_1_bz__1,0.6170446402,0.7236704834000001
evo_bz__a1_1_bz__2,0.6314928303,0.5536455272
evo_bz__a1_1_bz__3,-2.6460299219,-0.7681536009000001
evo_bz__a1_1_bz__4,1.385708776,0.7237979225000001
evo_bz__a1_1_bz__5,-1.4484987882,-0.7127731252
evo_bz__a1_1_bz__6,-1.9590434008000002,-0.6132805915
evo_metab__wt__1,-0.520829997,-0.6263558786
evo_metab__del_zwf__1,-1.6714955929,-0.6182556905000001
evo_metab__zwf_ale1__1,-2.1057728321,-0.6471888351
evo_metab__zwf_ale2__1,-1.6621615321,-0.5310716338
evo_metab__del_ppk__1,3.1533819295,0.1497838273
evo_metab__ppk_ale1__1,0.13128401280000002,0.1390454793
evo_metab__ppk_ale2__1,-0.42783116250000003,-0.5067182117
evo_metab__ppk_ale3__1,2.4451279456,-0.5003197941
evo_metab__del_dapF__1,-1.5850054363,-1.191504009
evo_metab__dapF_ale1__1,-0.77068643,-1.0108995079
evo_metab__dapF_ale3__1,1.5034313082000001,-0.14959800310000002
evo_metab__del_entC__1,3.2793698043,-0.310753626
evo_metab__entC_ale1__1,-2.1617707021,-0.5986608137
evo_metab__entC_ale2__1,-0.7955805490000001,-0.5555033628
evo_metab__del_dgk__1,4.5306992698,0.6681093514
evo_metab__dgk_ale1__1,0.4808713765,0.28029376640000003
evo_metab__dgk_ale2__1,0.1023969076,-0.0606683814
evo_metab__dgk_ale3__1,-2.0733762355,-0.9631628711
evo_metab__wt__2,0.0881908892,0.3594759252
evo_metab__del_zwf__2,-3.8495412427,-1.4176029072
evo_metab__zwf_ale1__2,-3.4578075676,0.2103821475
evo_metab__zwf_ale2__2,2.320486728,1.3361294698
evo_metab__del_ppk__2,-1.0811685328,0.6446782214
evo_metab__ppk_ale1__2,1.3776525347,0.6017029081
evo_metab__ppk_ale2__2,-2.2187965347,0.7769903017
evo_metab__ppk_ale3__2,-1.5012903028,0.3606201988
evo_metab__del_dapF__2,-4.1136218077,-2.0695147354
evo_metab__dapF_ale1__2,-4.7343372952,-2.3427479691
evo_metab__dapF_ale3__2,-4.5774290177,-2.2474761935
evo_metab__del_entC__2,-2.5824265511,-0.1367348252
evo_metab__entC_ale1__2,-2.9718857652,-0.5536362324
evo_metab__entC_ale2__2,1.1305327707,0.1819651596
evo_metab__entC_ale3__1,-2.0704270021,0.3199146331
evo_metab__del_dgk__2,4.5751318379,0.8559857068000001
evo_metab__dgk_ale1__2,-2.5008411706,0.2892257498
evo_metab__dgk_ale2__2,-3.7927130167,0.2022040643
evo_metab__dgk_ale3__2,-2.6485683903,0.2069877696
evo_metab__wt__3,0.4326391077,0.26687995340000004
evo_metab__del_zwf__3,0.1744618859,0.20427762300000002
evo_metab__zwf_ale1__3,-3.2724516225,0.37505011580000003
evo_metab__zwf_ale2__3,0.9254994294000001,1.3510804868
evo_metab__del_ppk__3,2.3131408468,0.8226028259
evo_metab__ppk_ale1__3,2.8384868009,0.7378934044000001
evo_metab__ppk_ale2__3,-0.7210413497,0.7528690446
evo_metab__ppk_ale3__3,1.8415106091000002,0.8871114998
evo_metab__del_dapF__3,-4.1699640616,-2.1564874915
evo_metab__dapF_ale1__3,-3.8458567715000003,-2.5822444751
evo_metab__dapF_ale3__3,-4.6374057439000005,-2.4029746909
evo_metab__del_entC__3,1.3663709953,0.4910026501
evo_metab__entC_ale1__3,-3.7515546594,-0.9843406834
evo_metab__entC_ale2__3,0.26147944630000003,0.7754970919
evo_metab__entC_ale3__2,-2.7284591119,0.0856948139
evo_metab__del_dgk__3,-0.1744537856,1.0110322944
evo_metab__dgk_ale1__3,-3.2565222261,0.39303974210000003
evo_metab__dgk_ale2__3,-4.1648759553,0.5060743952
evo_metab__dgk_ale3__3,-4.1954386692,-0.42342961370000004
flag_reg__wt__1,-0.4876127223,-0.2843494746
flag_reg__del_fliA__1,-0.004989912,0.3908931177
flag_reg__del_flhC__1,-0.6180010606,0.3808190609
flag_reg__del_flhD__1,1.4674553511,0.46761291380000003
flag_reg__wt__2,0.4876127223,0.2843494746
flag_reg__del_fliA__2,1.4740134561,0.4882397124
flag_reg__del_flhC__2,-0.560367987,-0.3653581212
flag_reg__del_flhD__2,-1.2111093211,0.4692881418
flgM__27C__1,-2.0074273011,-0.6040277751
flgM__27C__2,-1.701493063,-0.5695980850000001
flgM__27C__3,-1.7436087813,-0.5693383575000001
flgM__32C__1,-0.41618052310000003,0.0123306895
flgM__32C__2,-0.7136565362,0.06758549130000001
flgM__32C__3,-0.7815565737,0.026661889
flgM__37C__1,-0.038606221100000004,-0.0059192936
flgM__37C__2,0.006862684700000001,0.0304061326
flgM__37C__3,0.0317435364,-0.024486839
flgM__42C__1,2.0005803812,-0.0036307222
flgM__42C__2,1.9762735122000001,0.0501580051
flgM__42C__3,-1.7007443338,0.1025231561
histone__untreated__1,-0.3182076076,-0.1073812183
histone__untreated__2,1.9670269122000001,0.5571702477
histone__untreated__3,-1.6488193045,-0.44978902930000003
histone__10ug_H2A__1,-1.1189832002,-0.46020613520000003
histone__10ug_H2A__2,0.0893782028,-0.0103586618
histone__10ug_H2A__3,-1.4847657813000001,-0.3862656648
histone__50ug_H2A__1,-0.426570942,-0.7897606540000001
histone__50ug_H2A__2,-0.7582971704,-0.7798169193000001
histone__50ug_H2A__3,-0.167738043,-0.827100951
histone__100ug_H2A__1,-0.355549208,-0.717980971
histone__100ug_H2A__2,-0.0262191565,-0.7450057182000001
histone__100ug_H2A__3,-0.0854826057,-0.6578610747
hns__del_hns_spike__1,0.9465079382,-0.7472683046
hns__del_hns_spike__2,-0.4187788577,-1.3661856116
hns__del_hns__1,0.3561959767,-0.6205706281000001
hns__del_hns__2,-4.5278589376,-0.7514548629000001
hns__wt_spike__1,-0.5485781423,-1.380999071
hns__wt_spike__2,10.9569358369,0.6235392779000001
hns__wt__1,3.7167000851000003,-1.2666483559000001
hns__wt__2,-3.7167000851000003,1.2666483559000001
hns_stpA__evo100G4_delhns_delstpA__1,2.0988438585,-0.4703184439
hns_stpA__evo100G4_delhns_delstpA__2,0.1281370924,-0.7568413912
hns_stpA__evo100G12_delhns_delstpA__1,-1.9567803232,-1.1121708812
hns_stpA__evo100G12_delhns_delstpA__2,1.3871400629,-1.3083214719
hns_stpA__delhns_delstpA_delrpoS__1,4.4995617425,-1.4617811458
hns_stpA__delhns_delstpA_delrpoS__2,-0.29137823630000004,-1.835437222
hns_stpA__wt__1,-1.0582004284,0.3055449454
hns_stpA__wt__2,1.0582004284,-0.3055449454
hns_stpA__delhns_delstpA__1,-0.8478641345,-1.4190983106
hns_stpA__delhns_delstpA__2,-0.0961701422,-0.873570434
hu__wt_log_pH7__1,3.9843682244,-2.0826241595
hu__wt_log_pH7__2,10.9463498887,-1.8008488522000001
hu__wt_log_pH7__3,7.0735706809,-2.0802588163
hu__wt_lag_pH7__1,-0.9607494329,0.5292584305
hu__wt_lag_pH7__2,-5.4905598242,-1.3327318787
hu__wt_lag_pH7__3,6.4513092571,0.8034734482
hu__delhupA_lag_pH7__1,12.2279446433,1.6065711099
hu__delhupA_lag_pH7__2,2.0735124496,0.1821518019
hu__delhupA_lag_pH7__3,4.2331275695,0.7547241233
hu__delhupB_lag_pH7__1,-3.8988714864,-0.886625404
hu__delhupB_lag_pH7__2,-4.4730922959,-1.5299726795000002
hu__delhupB_lag_pH7__3,6.5817243014999995,0.8941101097
hu__delhupAhupB_lag_pH7__1,15.4296053152,1.4169452291
hu__delhupAhupB_lag_pH7__2,7.0963919453,1.1591241799
hu__delhupAhupB_lag_pH7__3,10.1895359494,0.47579733230000004
hu__hupAE34K_hupB_lag_pH7__1,-4.9048686204,-0.14620189690000002
hu__hupAE34K_hupB_lag_pH7__2,-6.1951685477,-1.6459323292999999
hu__hupAE34K_hupB_lag_pH7__3,8.7815392687,0.7062628034
hu__hupAE34K_delhupB_lag_pH7__1,1.2637544887,1.0808413132
hu__hupAE34K_delhupB_lag_pH7__2,-5.8516500077,-1.3056218777
hu__hupAE34K_delhupB_lag_pH7__3,9.382809321,0.8342516104000001
hu__wt_lag_pH5__1,-3.2143331777,-1.8162144009
hu__wt_lag_pH5__2,-1.3039704485999999,-2.859961787
hu__wt_lag_pH5__3,-1.947135575,-2.248760497
hu__delhupA_lag_pH5__1,-2.2539242434,-2.245176628
hu__delhupA_lag_pH5__2,-1.2038744152,-1.9791302593000002
hu__delhupA_lag_pH5__3,-3.0796126187,-2.5738682647999997
hu__delhupAhupB_lag_pH5__1,0.7410441832,-1.9009485429000001
hu__delhupAhupB_lag_pH5__2,2.1656054646,-1.2713618232
hu__delhupAhupB_lag_pH5__3,-1.7492859077,-1.8127443693
hu__hupAE34K_hupB_lag_pH5__1,-3.9784876897,-1.9969827448
hu__hupAE34K_hupB_lag_pH5__2,-2.8729222649,-1.9540271542
hu__hupAE34K_hupB_lag_pH5__3,-2.8155402392,-1.7507611756
hu__hupAE34K_delhupB_lag_pH5__1,-1.5560263453,-1.9249346029
hu__hupAE34K_delhupB_lag_pH5__2,-1.8768446573,-2.0422606114
hu__hupAE34K_delhupB_lag_pH5__3,-4.3183023224,-2.2191848956
hyperpersistence__low_GFP__1,-5.0353591154,-2.0391953956
hyperpersistence__wt__1,0.087980873,-0.1597000744
hyperpersistence__high_GFP__1,-5.0218364764,-2.5900623241
hyperpersistence__pth_mut__1,-4.1205343868,-0.9148778937
hyperpersistence__pth_mut__2,-3.5461108839,-1.2719149366
hyperpersistence__metG_mut__1,-3.5280837,-0.7158425607000001
hyperpersistence__metG_mut__2,-3.3620434206,-1.045342439
hyperpersistence__high_GFP__2,-3.9000731065,-2.3971489469
hyperpersistence__wt__2,-0.087980873,0.1597000744
hyperpersistence__low_GFP__2,-4.2048671019,-2.3070477258
kan_efg__cpxAF218Y__1,5.8792297473,2.5334888468
kan_efg__cpxAF218Y__2,12.1203759941,2.6577072478
kan_efg__cyaAN600Y__1,16.7536986782,0.3471616953
kan_efg__cyaAN600Y__2,19.6536885911,1.0528217051
kan_efg__fusAA608E__1,0.8730184999,-0.2782414145
kan_efg__fusAA608E__2,0.7788847134,-0.4229212352
kan_efg__fusAA608E_cpxAF218Y__1,0.8311906976000001,1.4302724502
kan_efg__fusAA608E_cpxAF218Y__2,1.636261178,1.8014797239
kan_efg__fusAA608E_cyaAN600Y__1,7.5823307464,0.8157942542000001
kan_efg__fusAA608E_cyaAN600Y__2,10.1056428473,1.2237892204
kan_efg__fusAA608E_rpoDL261Q__1,0.19639039460000002,1.5330310627000001
kan_efg__fusAA608E_rpoDL261Q__2,-0.8962114058,1.238422165
kan_efg__fusAA608E_topAS180L__1,-0.4647172788,0.5364250939
kan_efg__fusAA608E_topAS180L__2,-0.1210994864,0.5221418964
kan_efg__rpoDL261Q__1,-0.11827082600000001,0.5450882084
kan_efg__rpoDL261Q__2,0.2523428598,1.3655684978
kan_efg__wt__1,0.0124000056,-0.5676918955
kan_efg__wt__2,-0.0124000056,0.5676918955
lrp__wt_min_log__1,0.4502639687,-0.0503063782
lrp__wt_min_log__2,-0.4502639687,0.0503063782
lrp__wt_min_trans__1,-6.4430354525,-3.0437453707
lrp__wt_min_trans__2,-9.8410768852,-2.1530993084
lrp__wt_min_stat__1,-8.9531680964,-1.7127811904999999
lrp__wt_min_stat__2,-10.6286503598,-1.1518486639
lrp__wt_liv_log__1,-2.2698083079,-0.0698137993
lrp__wt_liv_log__2,-2.0147713222,-0.3306189298
lrp__wt_liv_trans__1,-2.1748762683,0.076204034
lrp__wt_liv_trans__2,0.6637523189,0.3073012592
lrp__wt_liv_stat__1,-8.6175346061,-2.313408886
lrp__wt_liv_stat__2,-9.1316795484,-1.9345205289
lrp__wt_rich_log__1,-4.7468516414,-1.3605023054
lrp__wt_rich_log__2,-4.4786178727,-1.3548969318
lrp__wt_rich_trans__1,0.33737246600000004,0.1593419517
lrp__wt_rich_trans__2,-3.2295387554,-1.1099988074
lrp__wt_rich_stat__1,-10.0685289695,-0.1825781215
lrp__wt_rich_stat__2,-10.5975389066,0.3821123013
lrp__dellrp_min_log__1,-2.0504854662,-0.1816361891
lrp__dellrp_min_log__2,-1.6889386596,-0.2195109388
lrp__dellrp_min_trans__1,-10.1088999473,-1.8034671951
lrp__dellrp_min_trans__2,-9.5505928873,-1.0818828825
lrp__dellrp_min_stat__1,-9.2341809213,-1.6074714934
lrp__dellrp_min_stat__2,-9.1531264836,-1.6402385193
lrp__dellrp_liv_log__1,-2.5984128387,-0.381994904
lrp__dellrp_liv_log__2,-3.4341497756,-0.6100932186
lrp__dellrp_liv_trans__1,-2.36180532,0.0198099853
lrp__dellrp_liv_trans__2,-1.0740722257,0.0873582958
lrp__dellrp_liv_stat__1,-9.3963766051,-2.6007748101
lrp__dellrp_liv_stat__2,-9.820788327,-2.31178129
lrp__dellrp_rich_log__1,-4.6408736463,-1.2413508609
lrp__dellrp_rich_log__2,-4.3964594355,-1.4188007683000001
lrp__dellrp_rich_trans__1,-4.1123858728,-0.4772997201
lrp__dellrp_rich_trans__2,-7.2467762237,-1.0327602483
lrp__dellrp_rich_stat__1,-12.1146519905,-3.1367917482
lrp__dellrp_rich_stat__2,-12.8152959265,-2.9755021408
mazF_circuit__t0__1,-0.4704310082,-0.002365844
mazF_circuit__t2__1,-0.6387413721,-0.5745523089
mazF_circuit__t4__1,2.0309780689,0.11959608590000001
mazF_circuit__t6__1,1.6475216125,-0.9929395733
mazF_circuit__t8__1,0.5657239946,-1.513606419
mazF_circuit__t0__2,0.4704310082,0.002365844
mazF_circuit__t2__2,1.2212720276,0.1783245958
mazF_circuit__t4__2,1.3689491318,-0.3343071973
mazF_circuit__t6__2,0.3018422841,-0.4953404777
mazF_circuit__t8__2,0.2731028052,-1.5718369939999999
mazF_ribo__emptyvec_mrna_5m__1,-0.24873877490000001,-0.1743136382
mazF_ribo__emptyvec_mrna_5m__2,0.24873877490000001,0.1743136382
mazF_ribo__mazF_mrna_5m__1,-4.8164172536,-1.0635739069
mazF_ribo__mazF_mrna_5m__2,-4.7183978771,-1.1571449169
mazF_ribo__emptyvec_total_5m__1,-1.3714973659,0.1231919986
mazF_ribo__emptyvec_total_5m__2,-1.4194564584,0.2263048231
mazF_ribo__mazF_total_60m__1,-9.06909346,-2.0293280915
mazF_ribo__mazF_total_60m__2,-8.1390268473,-2.27288872
mercury__ctrl_t00__1,0.8866422299000001,-0.0442827445
mercury__ctrl_t10__1,1.0797202659,0.0311075304
mercury__ctrl_t30__1,0.3089193605,0.2929023558
mercury__ctrl_t60__1,-5.5575930807,0.558201873
mercury__hg_t10__1,-8.792399532,-3.308778755
mercury__hg_t30__1,-9.5250419643,-2.400073686
mercury__hg_t60__1,-11.6604398608,-1.7175540476000002
mercury__pma_t10__1,-5.8441619764,-4.2626047311
mercury__pma_t30__1,-11.3994011944,-3.8478073809
mercury__pma_t60__1,-13.9713850018,-1.4736902579
mercury__ctrl_t00__2,-0.6066903176,0.0190176926
mercury__ctrl_t10__2,0.5593176553,0.0667099057
mercury__ctrl_t30__2,-0.5238491551000001,0.5587320393
mercury__ctrl_t60__2,-3.7015576039,0.9075694911000001
mercury__hg_t10__2,-8.3416617483,-3.0330459181
mercury__hg_t30__2,-10.0147851853,-2.1200050209
mercury__hg_t60__2,-11.9350423301,-1.5605503234
mercury__pma_t10__2,-5.4723329593,-4.3243427158
mercury__pma_t30__2,-11.6075425495,-3.7259355068
mercury__pma_t60__2,-9.3900152004,0.5966632029
mercury__ctrl_t00__3,-0.2799519124,0.025265051900000002
mercury__ctrl_t10__3,0.3019376344,0.0697190298
mercury__ctrl_t30__3,-2.5570477598,0.259996653
mercury__ctrl_t60__3,-3.6685023375,0.5626961314
mercury__hg_t10__3,-8.2396501574,-3.1567164401
mercury__hg_t30__3,-8.4134238555,-2.3382214139
mercury__hg_t60__3,-11.3446094629,-2.2038890452
mercury__pma_t10__3,-5.8025428382,-4.3067621569
mercury__pma_t30__3,-11.3977640109,-3.7799355385
mercury__pma_t60__3,-8.9792165887,0.3146992508
ml_abx__az_lolcde__1,6.4569559381,0.359388507
ml_abx__az_lolcde__2,0.0553393374,0.2136779798
ml_abx__az_lolcde__3,-1.0549613301,0.29560771620000004
ml_abx__b01__1,9.3615017231,0.9617213749
ml_abx__b01__2,8.8670202131,0.8595639927000001
ml_abx__b01__3,8.0599803937,-0.0647354936
ml_abx__cro__1,2.308264166,0.6177119025000001
ml_abx__cro__2,1.4033988174,0.0775184933
ml_abx__cro__3,-4.4359909841,-0.44433457070000004
ml_abx__chl__1,-11.1022993212,-1.3978182829
ml_abx__chl__2,-10.8289845996,-1.1607014089
ml_abx__chl__3,-11.2148269883,-1.8823499085000002
ml_abx__cip__1,3.5470684524,-0.1425635755
ml_abx__cip__2,2.9492206662,0.3344970438
ml_abx__cip__3,-4.608967235,-1.3507382846
ml_abx__clr__1,-11.5167469611,-1.8337110123
ml_abx__clr__2,-9.5756236061,-0.7681458759
ml_abx__clr__3,-10.8275379203,-1.160283566
ml_abx__cst__1,3.4389158482,0.2436499949
ml_abx__cst__2,2.2493845174000002,0.255544208
ml_abx__cst__3,1.3409058888,-0.3642696931
ml_abx__ctrl__1,1.3125195893,0.8607857172000001
ml_abx__ctrl__2,0.6012750045,0.7948378385
ml_abx__ctrl__3,2.329341717,-0.0571765679
ml_abx__ctrl__4,2.2166352412,-0.0020094131
ml_abx__ctrl__5,-3.2863229378,-0.6418969234
ml_abx__ctrl__6,-3.1734486142,-0.9545406513
ml_abx__dox__1,-11.6365888315,-1.3313498638999999
ml_abx__dox__2,-10.8374236489,-1.1342207944
ml_abx__dox__3,-12.378405571,-1.6567275598
ml_abx__glob__1,3.2879575067999998,0.2423512431
ml_abx__glob__2,0.7945111340000001,0.45869629780000004
ml_abx__glob__3,-3.0294659341,-0.5386281163000001
ml_abx__lvx__1,-1.7789621482,-0.2304389744
ml_abx__lvx__2,-0.056158814700000004,-0.5335078026
ml_abx__lvx__3,-6.690901581,-1.5574101812999999
ml_abx__mec__1,3.3050131775000002,0.5295877431
ml_abx__mec__2,1.8838304814,0.1878092158
