,A,TdcA,CadC
abx_media__rpmi_cipro__1,1.0216714188,0.7311442930000001,2.1516075925
abx_media__rpmi_cipro__2,1.1422124135,0.553848079,2.1343350005
abx_media__camhb_cipro__1,2.8706617747000003,-0.125141158,0.4355468515
abx_media__camhb_cipro__2,2.4087933154,-0.212499882,0.5124992555
hot_tale__42c_ale3_30c__1,0.1208449788,-0.78955874,0.2543136335
hot_tale__42c_ale3_30c__2,0.0376374342,-0.28874542400000003,0.43190746350000003
hot_tale__42c_ale3_37c__1,0.1975774788,0.201101111,-0.3264498925
hot_tale__42c_ale3_37c__2,0.5183928210000001,0.299293493,-0.09471020150000001
hot_tale__42c_ale3_44c__1,3.9201767277,1.554655211,0.2406382155
hot_tale__42c_ale3_44c__2,3.8380312916,0.650293937,0.1034184295
hot_tale__hot_ale3_mid_30c__1,1.0642182587,0.09341018300000001,1.0152087435
hot_tale__hot_ale3_mid_30c__2,0.09017264450000001,-0.359335889,0.6041163975
hot_tale__hot_ale3_mid_37c__1,1.0257887318,-0.773641816,-0.4048505625
hot_tale__hot_ale3_mid_37c__2,0.7688209101,-0.328294609,-0.2333014005
hot_tale__hot_ale3_mid_44c__1,4.3514658137,0.769793067,0.0720360455
hot_tale__hot_ale3_mid_44c__2,3.047888275,1.024009994,0.32247372150000003
hot_tale__hot_ale3_30c__1,0.5611926762,0.12453763400000001,1.0499895305
hot_tale__hot_ale3_30c__2,0.39202235,-0.36486706500000005,-0.029832512500000002
hot_tale__hot_ale3_37c__1,0.6515305154000001,-0.094259837,-0.018297089500000002
hot_tale__hot_ale3_37c__2,0.5361426255,0.092468489,-0.31986788450000003
hot_tale__hot_ale3_44c__1,4.0435448701,1.370275533,0.5326786245
hot_tale__hot_ale3_44c__2,4.6094819325,0.5770453950000001,-0.1728475535
hot_tale__hot_ale4_30c__1,-0.5180918769,-0.449994761,0.2385905235
hot_tale__hot_ale4_30c__2,-0.1345437434,-0.243940812,-0.0131871815
hot_tale__hot_ale4_37c__1,0.9413418543000001,0.21290731100000002,-0.1723060315
hot_tale__hot_ale4_37c__2,0.4646187927,0.06892821,-0.0830476555
hot_tale__hot_ale4_44c__1,3.9801682523,0.810389639,0.2557253425
hot_tale__hot_ale4_44c__2,4.5743652668,0.80679996,0.4599702155
hot_tale__hot_ale8_30c__1,0.1555282292,-0.7212676570000001,0.3546440145
hot_tale__hot_ale8_30c__2,-0.5156871876,-0.264140704,-0.29499714650000003
hot_tale__hot_ale8_37c__1,0.319832224,-0.019173135,-0.2328599255
hot_tale__hot_ale8_37c__2,0.6143047850000001,0.145888494,-0.2479233275
hot_tale__hot_ale8_44c__1,3.735702031,0.32251659800000004,0.22771266550000002
hot_tale__hot_ale8_44c__2,3.5571213291,0.6203169430000001,-0.19521551550000002
hot_tale__hot_ale9_mid_30c__1,0.8973068644000001,0.419912487,0.9221406845000001
hot_tale__hot_ale9_mid_30c__2,0.5960630825000001,-0.075919784,0.5801555485000001
hot_tale__hot_ale9_30c__1,-0.8532803558000001,-0.12108642900000001,-0.0524912305
hot_tale__hot_ale9_30c__2,-0.2637799473,-0.10976789,0.21975121150000002
hot_tale__hot_ale9_mid_37c__1,1.665942173,0.154006216,0.2449424845
hot_tale__hot_ale9_mid_37c__2,1.4418708818,0.84049091,0.1635715005
hot_tale__hot_ale9_37c__1,0.6149513324,0.321418442,-0.11084965050000001
hot_tale__hot_ale9_37c__2,0.6244653228,0.224506377,-0.0040329045
hot_tale__hot_ale9_mid_44c__1,3.9151999696,0.84070519,0.8777406465
hot_tale__hot_ale9_mid_44c__2,4.7977213197,1.134042298,0.6736310215
hot_tale__hot_ale9_44c__1,3.8607427963000003,0.6376371820000001,0.3727501935
hot_tale__hot_ale9_44c__2,3.9666717608,0.805183536,-0.3430837215
hot_tale__hot_ale10_30c__1,0.1787755318,-0.4410888,0.2814103785
hot_tale__hot_ale10_30c__2,-0.1907157444,-0.7004971120000001,0.8413844695
hot_tale__hot_ale10_37c__1,1.5531256016000001,0.411030832,-0.3540839885
hot_tale__hot_ale10_37c__2,1.2345767113,0.441123246,-0.4514255715
hot_tale__hot_ale10_44c__1,4.2245711514,1.580781526,0.8079498115
hot_tale__hot_ale10_44c__2,4.4945198926,1.012375532,0.6005127275000001
hot_tale__hot_ale16_30c__1,0.14530771350000002,-0.631565911,0.7485606075
hot_tale__hot_ale16_30c__2,0.48831077100000003,-0.49064066,0.5067295665
hot_tale__hot_ale16_37c__1,1.4088749318,0.5741056330000001,-0.22032771950000002
hot_tale__hot_ale16_37c__2,1.27599411,0.276047088,-0.3044795745
hot_tale__hot_ale16_44c__1,3.9621816708,0.8617475320000001,0.6136275515
hot_tale__hot_ale16_44c__2,3.7543005533000002,0.836007375,0.8501053965
pdhr_ale__pdhR-13_51__1,1.8385195173,0.6667114350000001,0.5908389825
pdhr_ale__pdhR-13_51__2,1.9291758393,0.6323059040000001,0.6470495895
pdhr_ale__pdhR-14_46__1,2.5438417708000003,0.796347953,0.7794633045
pdhr_ale__pdhR-14_46__2,2.4932556416000002,0.42718953800000004,0.5176664845
pdhr_ale__pdhR-15_51__1,2.3965743309,0.8010403850000001,1.3461595275
pdhr_ale__pdhR-15_51__2,2.3615359812,0.391119767,1.4290507355
pdhr_ale__pdhR-16_49__1,2.4042801071,0.447554475,2.1025871725
pdhr_ale__pdhR-16_49__2,2.4065861043,0.30027559200000004,0.6039272555
tcs__del_atoC_LiAcet__1,0.3085496628,1.34873502,2.0871995085
tcs__del_atoC_LiAcet__2,-0.0895965675,1.086007785,1.9113515255
tcs__del_atoC_LiCl__1,0.42816125850000003,1.741536939,2.4763158035
tcs__del_atoC_LiCl__2,0.7660215813,1.754586253,2.3888824555
tcs__del_atoC_m9__1,0.194681671,1.9739871990000002,2.5181576315000003
tcs__del_atoC_m9__2,0.43794713350000003,1.341694301,2.5225111835
tcs__del_baeR_etoh__1,33.2016108044,11.093441281,2.4666399635
tcs__del_baeR_etoh__2,33.5429317041,10.137597431,2.1300369255
tcs__del_baeR_lb__1,26.9236667534,7.622171258,1.5919678235
tcs__del_baeR_lb__2,26.621705210400002,7.698854767,1.6080133575
tcs__del_btsR_01xlb__1,5.7304561508,1.676009304,0.6964958235
tcs__del_btsR_01xlb__2,-1.3073061865,0.7694601050000001,0.9493631095
tcs__del_btsR_lb__1,22.6842734875,10.039269531,2.9433171865
tcs__del_btsR_lb__2,22.8354713486,9.981150531,2.9262476625
tcs__del_btsR_pyruvate__1,-0.9030954365,0.874314875,0.7898381065000001
tcs__del_btsR_pyruvate__2,-0.9471034238,0.628859829,0.8685969935000001
tcs__del_cpxR_etoh__1,31.8991017339,11.078459181,3.3264744465
tcs__del_cpxR_etoh__2,32.1873410859,11.056003041,3.0966127795
tcs__del_cpxR_lb__1,31.4732383336,8.522538751,1.5977808185
tcs__del_cpxR_lb__2,32.0576097789,8.485593504,1.3305726905
tcs__del_cusR_CuSO4__1,29.6759770753,6.742523269,2.0325359945
tcs__del_cusR_CuSO4__2,29.3914292818,6.88464751,1.7097788655000001
tcs__del_cusR_lb__1,14.0591845006,9.798137251,1.6449791685
tcs__del_cusR_lb__2,14.3632517375,10.298556511,1.9567015365
tcs__del_kdpE_01-kcl__1,1.9958875436999999,0.38485472400000004,0.7267322315
tcs__del_kdpE_01-kcl__2,1.8434423639,0.149839625,0.8321498235
tcs__del_kdpE_115-kcl__1,1.4500335933000001,-0.26122075,0.9196091115
tcs__del_kdpE_115-kcl__2,1.5952160666,-0.5302858770000001,0.8594595785
tcs__del_phoB_m9__1,0.4841196931,0.9709483760000001,1.7098318055
tcs__del_phoB_m9__2,0.51327438,1.023862422,1.9001534315000002
tcs__del_phoB_m9p__1,-0.38079008870000003,0.034014907000000004,0.0700292515
tcs__del_phoB_m9p__2,-0.2975664986,0.090094032,-0.0081198155
tcs__del_rcsB_etoh__1,31.173326884,9.799526021,0.7851378625000001
tcs__del_rcsB_etoh__2,31.2213533913,9.753698011000001,0.6105512035
tcs__del_rcsB_lb__1,36.7852493011,10.395728591,1.8861536985
tcs__del_rcsB_lb__2,37.2470338176,10.437473341,2.0127886105
tcs__del_zraR_lb__1,7.2322063742000005,4.308148422,1.7917329105
tcs__del_zraR_lb__2,7.3079971031,4.256830986,1.6568824995
tcs__del_zraR_zncl2__1,5.5441307041,5.568309861,1.7207299995
tcs__del_zraR_zncl2__2,5.8554751819,5.635108507,1.7212470865
tcs__wt_01-kcl__1,2.3543658416,0.381926592,2.3084688615
tcs__wt_01-kcl__2,1.8632734891,-0.070246669,2.5361968435
tcs__wt_01xlb__1,-1.38860482,1.211346632,0.8912797475
tcs__wt_01xlb__2,-1.5125140634,1.319827314,0.8731384155
tcs__wt_115-kcl__1,1.0348210579,-0.578293909,0.6275318205
tcs__wt_115-kcl__2,1.0517721692,-0.33412761100000005,0.6453043665
tcs__wt_CuSO4__1,13.7984852589,6.736451719,1.1251940205
tcs__wt_CuSO4__2,13.9303494573,7.166299055,1.1528451665000001
tcs__wt_etoh__1,30.2629190997,9.507945501,0.9928104745
tcs__wt_etoh__2,30.5369829507,9.452122831,0.9063765745000001
tcs__wt_lb__1,34.1531179831,9.374053061,2.7466395765
tcs__wt_lb__2,34.3843948704,9.309057431,2.7232351355
tcs__wt_LiAcet__1,0.3976824821,1.319094481,1.4701080505
tcs__wt_LiAcet__2,0.3353982505,1.693009019,2.1306298115
tcs__wt_LiCl__1,1.0782564959,2.220270747,1.8826513055
tcs__wt_LiCl__2,0.9207570909,2.268292689,2.0682652625
tcs__wt_m9p__1,-0.25575887,-0.055297414,0.7602013575000001
tcs__wt_m9p__2,-0.12475061670000001,-0.13936927500000001,0.7570350745000001
tcs__wt_pyr__1,-1.8064158696,1.071080082,0.8456494545000001
tcs__wt_pyr__2,-1.6797557182,1.632061981,0.9417613955
tcs__wt_zncl2__1,7.4581187093,4.044074201,1.6243153755000002
tcs__wt_zncl2__2,7.5848737719,3.9321349320000003,1.4823236735
ros_tale__1_112_0pq__1,-1.0119765081,0.5158516590000001,0.19677347350000002
ros_tale__1_112_0pq__2,-1.3651547666,0.189602884,-0.2678796355
ros_tale__1_112_250pq__1,-0.29568040090000003,0.044596878,-0.31704405350000003
ros_tale__1_112_250pq__2,-0.5824775028,0.135894875,-0.8465439445
ros_tale__1_112_750pq__1,-0.9492704241000001,0.695231436,-0.9907852875000001
ros_tale__1_112_750pq__2,-0.7505523456000001,0.6323147720000001,-0.5537967955
ros_tale__1_112_750pq__3,-1.0282442084,1.090097988,-0.0944987775
ros_tale__3_76_0pq__1,1.4137846404,-0.413625126,0.0375965305
ros_tale__3_76_0pq__2,1.5299087632,-0.091053138,-0.2876405355
ros_tale__3_76_0pq__3,1.554864223,-0.348429832,0.4358351715
ros_tale__3_76_0pq__4,2.0419397636,0.291515581,0.0940788225
ros_tale__3_76_250pq__1,-0.45181460900000003,-0.055035834000000006,1.5395252515
ros_tale__3_76_250pq__2,0.6897983178,0.31534743400000004,1.5153379955
ros_tale__3_76_750pq__1,0.7565484871,-0.18710996200000002,1.1811435855
ros_tale__3_76_750pq__2,0.9986768917000001,-0.033182502,1.0551733875
ros_tale__7_103_0pq__1,-0.7553068664,0.502640989,0.8871716185
ros_tale__7_103_0pq__2,-0.9146142343,1.043969819,1.1854957025
ros_tale__7_103_0pq__3,-0.7512831752,0.292884437,0.6699921245
ros_tale__7_103_0pq__4,-0.9566386725,1.046906308,1.3581675385
ros_tale__7_103_250pq__1,0.0787964503,-0.118629565,1.2488542905
ros_tale__7_103_250pq__2,-0.2680933146,0.18287962100000002,1.0190131585
ros_tale__7_103_750pq__1,-0.23480490280000002,0.609546369,1.1270113525
ros_tale__7_103_750pq__2,0.5600894200000001,0.288070736,1.2546511575000001
ros_tale__9_77_0pq__1,-1.3296453037,0.46167466900000004,1.3517645615
ros_tale__9_77_0pq__2,-1.231441707,-0.245933488,1.4590440525
ros_tale__9_77_250pq__1,-0.5494309062,0.496723481,1.5336472945000001
ros_tale__9_77_250pq__2,-0.34782234360000003,0.42339792400000004,1.5488905284999999
ros_tale__9_77_750pq__1,-0.2563007845,0.244616719,0.6946503895
ros_tale__9_77_750pq__2,-0.6641197122,0.222595542,1.1185787785
ros_tale__11_83_0pq__1,-0.7778575182,1.220699929,-0.1121996105
ros_tale__11_83_0pq__2,-0.6586440851,0.672726628,0.0393441295
ros_tale__11_83_250pq__1,-0.47364561060000004,0.44556775400000004,0.09983789750000001
ros_tale__11_83_250pq__2,-0.7685318045,-0.031490588,-0.1490350665
ros_tale__11_83_750pq__1,-0.684517299,0.050679207000000004,-0.30252403450000004
ros_tale__11_83_750pq__2,-0.7408672605000001,0.28905508900000004,-0.28794244150000003
ros_tale__13_87_0pq__1,-0.6363522187,0.609862042,0.8125330485000001
ros_tale__13_87_0pq__2,-0.6692378045,0.172421286,0.7119052805
ros_tale__13_87_250pq__1,-0.8217774353,0.865591803,0.9393720235
ros_tale__13_87_250pq__2,-0.8446405513,0.364009008,0.8781290385
ros_tale__13_87_750pq__1,-1.3502124541,0.7851168420000001,1.0519019805
ros_tale__13_87_750pq__2,-1.2432974964,0.5203935110000001,1.1991496065
ros_tale__14_27_0pq__1,0.1924662413,0.249217494,1.1056797335
ros_tale__14_27_0pq__2,0.2153141935,0.728123155,1.1939507725
ros_tale__14_27_250pq__1,0.0577111582,-0.30333560400000004,0.1704014405
ros_tale__14_27_250pq__2,-1.235780423,0.19169757,0.3634040025
ros_tale__14_27_750pq__1,-1.1287628662,-0.306196024,-0.0751693585
ros_tale__14_27_750pq__2,-1.0048695741,-0.48178888200000003,-0.6191378615
ros_tale__16_28_250pq__1,0.9230448559000001,-0.48814130800000005,-0.5425341135
ros_tale__16_28_250pq__2,0.9787467027000001,-0.09341621900000001,-0.4571790725
ros_tale__16_32_0pq__1,0.9065023467000001,0.063934803,-0.3316116355
ros_tale__16_32_0pq__2,0.343963793,0.19084655,0.1048224345
ros_tale__16_32_0pq__3,1.3619771611,-0.27324338600000003,-0.7744327105000001
ros_tale__16_32_0pq__4,1.1832397137,-0.24658516100000002,-0.5962894655000001
ros_tale__16_32_250pq__1,0.7246927687,-0.056501652000000006,-0.8476620555000001
ros_tale__16_32_250pq__2,0.5851530669,-0.032704573,-0.7680529275
ros_tale__16_32_750pq__1,0.5581031473,-0.212455906,-0.0565724125
ros_tale__16_32_750pq__2,-0.6403172646,-0.21515762800000002,-0.5260272535
ros_tale__17_104_0pq__1,0.4266273786,0.694554281,-0.0975817875
ros_tale__17_104_0pq__2,0.1686436352,0.559867431,-0.0046992685
ros_tale__17_104_250pq__1,-1.7307529665999999,-0.150789961,-0.0534731265
ros_tale__17_104_250pq__2,-1.5557682147,-0.086362294,-0.1168109925
ros_tale__17_104_250pq__3,-1.6277833848,0.49998572700000005,0.38339552650000003
ros_tale__17_104_250pq__4,-2.7498469299,-1.218417149,-1.0448067625
ros_tale__17_104_750pq__1,-1.0827283144,0.479663887,0.3078117045
ros_tale__17_104_750pq__2,-1.4019434803,0.608226142,0.24629385150000002
ros_tale__18_24_250pq__1,-0.0198637635,0.42340102500000004,-0.3527262545
ros_tale__18_24_250pq__2,0.7504622452,-0.24952798,-0.4539267555
ros_tale__18_36_0pq__1,-0.4123138751,0.8073941830000001,-0.2821188425
ros_tale__18_36_0pq__2,-0.8456082850000001,0.27927749300000004,-0.1531973765
ros_tale__18_36_0pq__3,0.8469485983,-0.032914894,-0.5062025155000001
ros_tale__18_36_0pq__4,0.5517585811,-0.505698976,-1.1018963605
ros_tale__18_36_250pq__1,0.5082595492,0.014932118000000001,-0.8561013145
ros_tale__18_36_250pq__2,0.7586335416000001,-0.127042877,-0.9526371815
ros_tale__18_36_750pq__1,-1.846279617,0.17795089800000002,-0.2225843905
ros_tale__18_36_750pq__2,-1.1959587298,-0.13297084,0.0037520465
ros_tale__19_91_0pq__1,0.1472646206,0.24514648400000003,0.1843823285
ros_tale__19_91_0pq__2,0.41918989030000003,0.09811054,0.3389704975
ros_tale__19_91_250pq__1,-0.5542205077,0.428485887,0.4738512575
ros_tale__19_91_250pq__2,-0.2779055207,0.15090710200000002,0.6069698625000001
ros_tale__19_91_750pq__1,-0.6616453018,-0.014691017,0.3423917375
ros_tale__19_91_750pq__2,0.38641863060000003,0.044728612,0.3671708865
ros_tale__19_91_750pq__3,-0.8496657336000001,-0.47658088800000004,0.0211001635
ros_tale__19_91_750pq__4,-0.45670749860000004,0.843810414,-0.2548428835
ros_tale__21_97_0pq__1,-0.46511339960000003,0.18904654,0.5762614215
ros_tale__21_97_0pq__2,0.3837375497,0.309660172,1.1774169265
ros_tale__21_97_250pq__1,0.1871577944,0.47222606600000006,1.5084996285
ros_tale__21_97_250pq__2,-0.2491978283,0.806881257,1.2856253465
ros_tale__21_97_750pq__1,-0.4381403408,0.44143328,1.3370244795000001
ros_tale__21_97_750pq__2,-0.776336743,0.8500904530000001,1.8093578335
ros_tale__25_111_0pq__1,-0.2761890041,1.066522083,1.1441821365
ros_tale__25_111_0pq__2,-0.9805069164,0.655218509,1.8355729025
ros_tale__25_111_250pq__1,0.005267909,1.038837948,1.3121960025
ros_tale__25_111_250pq__2,-0.1254623558,0.6838527510000001,1.8468593475000001
ros_tale__25_111_750pq__1,-0.3381086571,0.616040016,1.8033556705
ros_tale__25_111_750pq__2,-0.2763410395,0.30052843300000004,2.9249299994999998
ros_tale__29_119_0pq__1,-0.8132172394,0.560689442,1.4882037985
ros_tale__29_119_0pq__2,-0.4568668857,0.6491464370000001,0.3587457095
ros_tale__29_119_250pq__1,-0.1439730183,0.073635779,0.8807872875
ros_tale__29_119_250pq__2,0.1477582155,-0.15490995800000001,0.5581623535
ros_tale__29_119_750pq__1,-0.7897285236,0.45953105800000005,0.7306730715
ros_tale__29_119_750pq__2,-0.2718773939,0.013684327000000001,0.5835352355
ros_tale__ALE4_0pq__1,0.8434538368000001,-0.11065166300000001,-1.0124189745
ros_tale__ALE4_0pq__2,0.9850727049,-0.165666691,-1.1322130405
ros_tale__ALE4_250pq__1,-0.9608641595,-0.083975697,-0.6172718505
ros_tale__ALE4_250pq__2,-0.5742718096,0.44221739400000004,-0.36562254450000004
pcoli__atASMT_325G__1,1.6090570266,0.449233951,0.1846752265
pcoli__atASMT_325G__2,1.2457258521,0.26888993,0.1524707095
pcoli__bpTDC__1,2.2757362502,0.187760266,-0.2352972825
pcoli__bpTDC__2,1.9668451237000002,0.157126437,-0.3925368705
pcoli__BRCA__1,2.6794183423,0.7878961999999999,0.1497328935
pcoli__BRCA__2,2.4352048344,0.345517618,0.17113037250000002
pcoli__BRCActrl__1,2.2822216608,2.782286333,0.6749317165000001
pcoli__BRCActrl__2,2.0081909099,3.367158126,0.7414142805
pcoli__BRCAswap__1,1.4844795076000001,0.5836751990000001,-0.1037411815
pcoli__BRCAswap__2,1.6401789395000002,0.41862109999999997,0.11944046550000001
pcoli__btAANAT__1,1.3847526749,0.2836436,0.2338947415
pcoli__btAANAT__2,1.1765864929,0.24190385,0.0859099785
pcoli__btASMT__1,1.6871978652,0.652016609,0.22765624850000002
pcoli__btASMT__2,1.6442437228,0.34498361,0.1579576625
pcoli__CC1__1,0.8012527677,-0.019386642000000003,0.26190822550000004
pcoli__CC1__2,0.8422421458,0.413368261,0.40980423050000003
pcoli__ccCOMT__1,1.7928772465,0.29345796900000004,0.0118059315
pcoli__ccCOMT__2,1.4923466487,0.107717396,0.0663767345
pcoli__ckDDC__1,1.7747340507,1.550967628,0.6266489205
pcoli__ckDDC__2,1.7214122919000001,2.337374385,0.3550583295
pcoli__CNTF_belt__1,1.131146971,0.125985063,-0.0633533105
pcoli__CNTF_belt__2,1.6002653467,-0.07175313500000001,0.1797102025
pcoli__cobPNMT__1,1.2112673921,0.575660597,0.0672548305
pcoli__cobPNMT__2,1.4059926874,0.533285612,0.1655182805
pcoli__cvPhhB__1,1.3055580868,0.167085063,0.2993966905
pcoli__cvPhhB__2,1.820854191,0.937105701,0.4278058475
pcoli__ggAANAT__1,1.5015628936,0.170730077,0.2690714155
pcoli__ggAANAT__2,1.2892326678,0.5702694650000001,0.2892379975
pcoli__ggTPH__1,1.148573759,0.396503496,0.0277034985
pcoli__ggTPH__2,1.2206846643,0.723783861,0.1025840585
pcoli__hsAANAT__1,0.45149164070000003,0.018265633,0.7441687795
pcoli__hsAANAT__2,0.4055336715,0.138853841,0.4805676365
pcoli__hsASMT__1,2.3914169102000002,0.68146021,-0.0454369185
pcoli__hsASMT__2,2.4737563325,0.6815948890000001,-0.041389983500000005
pcoli__hsPNMT_mb__1,1.5618067368,0.408381494,-0.0595094845
pcoli__hsPNMT_mb__2,1.5646300679,0.038284064,0.12694247050000002
pcoli__hsTPH__1,1.8331173401,0.30033291100000004,0.0926331865
pcoli__hsTPH__2,2.0813258348,0.941278656,0.2016770785
pcoli__hsTPH_E2K__1,0.9154115751,0.050151299,0.5389202815
pcoli__hsTPH_E2K__2,1.2887748005,0.771161881,0.4882282355
pcoli__hsTPH_E2K_N91I_P99C__1,1.3476262052,0.229385733,0.09621756050000001
pcoli__hsTPH_E2K_N91I_P99C__2,1.7121204456,0.386741689,-0.0689382015
pcoli__hsTPH_N158trunc__1,1.0755053185,2.150814384,0.3036525325
pcoli__hsTPH_N158trunc__2,1.069640337,2.445719375,0.5333519045
pcoli__hsTPH_N174trunc__1,1.2546470229,0.19158241,-0.0092299695
pcoli__hsTPH_N174trunc__2,1.3086434841,1.3394919650000001,0.6032255255
pcoli__hsTPH_Ntermtrunc__1,1.4125692114000001,2.3444001500000002,0.3659456025
pcoli__hsTPH_Ntermtrunc__2,1.7325278676,0.08914628100000001,-0.015200502500000001
pcoli__hsTPH1__1,1.2271875498,0.581415582,-0.2275933035
pcoli__hsTPH1__2,0.9233792744,0.167192696,0.0392763385
pcoli__MBP__1,1.5916456133999999,0.45683596,-0.0023860105
pcoli__MBP__2,1.4173357337999999,1.217380356,0.6691549345000001
pcoli__msCOMT__1,1.9293963058,0.162048999,0.20904252850000002
pcoli__msCOMT__2,2.0162201714,0.067470112,0.18393349250000002
pcoli__ocAANAT__1,1.0691219639,0.45239225,0.38109263050000003
pcoli__ocAANAT__2,1.2196125685,0.20386694900000002,0.21444798650000002
pcoli__osTDC_K374H__1,0.6309296628000001,0.348292741,-0.1877239535
pcoli__osTDC_K374H__2,1.321577626,0.217675375,0.1322047565
pcoli__osTDC_K374L__1,2.3083427133,0.9154322220000001,-0.1166903875
pcoli__osTDC_K374L__2,2.2904348478,0.139642748,-0.045584755500000004
pcoli__osTDC_K374Q__1,1.3687693197,-0.042563323,-0.0251339155
pcoli__osTDC_K374Q__2,1.2276932005,-0.244514959,-0.0878178225
pcoli__osTDC_L360V__1,2.0014477767,0.5470972470000001,0.1500530385
pcoli__osTDC_L360V__2,2.5735612627,1.008404804,0.2844411925
pcoli__pmTPH__1,1.5826555573,-0.190394885,0.0905718855
pcoli__pmTPH__2,1.9596664731,0.984465546,-0.10969981250000001
pcoli__RFC__1,1.4357523107,0.027273149,0.2999119445
pcoli__RFC__2,1.6658760530999999,0.5764941920000001,0.3816910355
pcoli__RFCctrl__1,-0.23963494130000002,-0.388996053,0.1414189135
pcoli__RFCctrl__2,-0.4943231917,-0.011052652000000001,-0.0626637475
pcoli__RFCnopause__1,-0.13072599240000002,0.526395508,0.46689880850000004
pcoli__RFCnopause__2,0.3053953408,-0.09435462800000001,0.4612160105
pcoli__RFCpluspause__1,0.0789446608,2.413488536,0.4923180545
pcoli__RFCpluspause__2,0.7169231632,3.597271307,0.5485216865
pcoli__rnCOMT_sol__1,0.47614364000000003,-0.012612352,0.1466858905
pcoli__rnCOMT_sol__2,0.23860307830000002,-0.007988476000000001,0.11595135150000001
pcoli__rnPNMT__1,2.3810025938,1.454748716,-0.0543688545
pcoli__rnPNMT__2,2.7540653207,1.3579402790000001,0.2744316445
pcoli__rnTDC__1,2.0805884598,0.303226812,0.1769228025
pcoli__rnTDC__2,1.6309069047,0.23857101700000002,0.3047867245
pcoli__rnTDC_trunc__1,1.4517073759,0.714101371,-0.2246027855
pcoli__rnTDC_trunc__2,1.1591764375,1.131210784,0.1530679875
pcoli__saCOMT_T2A__1,1.793072337,0.48880439800000003,0.1739854955
pcoli__saCOMT_T2A__2,1.4508852212,0.636429651,-0.1533577465
pcoli__sfCOMT__1,1.7788031162,0.6298279800000001,0.1450276725
pcoli__sfCOMT__2,1.7546443043000002,0.218882664,-0.0111374595
pcoli__sgAANAT_D63G__1,1.1726402823,0.320648251,0.1854315885
pcoli__sgAANAT_D63G__2,1.1779921523,0.8307680040000001,0.17793279950000002
pcoli__ssDDC__1,1.8459429833,0.285349622,0.2691593305
pcoli__ssDDC__2,2.0070596506,0.785201916,0.3788116145
pcoli__TP53B__1,1.6507693256,0.35171792,0.2970866735
pcoli__TP53B__2,1.3439870113999999,0.557870846,0.20663544050000002
pcoli__WT__1,1.1271078645000001,0.9528772160000001,0.4895083565
pcoli__WT__2,1.0993225829,0.812432295,0.6569562225000001
cck__glu_ale4__1,0.1315356163,-0.48001861300000004,-1.4528910095
cck__glu_ale4__2,0.8225536158000001,-0.6508074460000001,-1.3454470715
cck__cck_ale1__1,0.8152191403,-0.365482313,-1.3250571815
cck__cck_ale1__2,0.7673132448000001,-0.9846958950000001,-1.0533130775
cck__cck_ale2__1,0.94456558,-0.40496797100000004,-0.8030899825000001
cck__cck_ale2__2,0.7413442118,-0.044617048,-1.0219340985
cck_pgi__gmos_delpgi__1,-1.3088720212,0.33750236,-1.3410852925
cck_pgi__gmos_delpgi__2,-2.5237688176,0.009265091000000001,-1.6024073815
cck_pgi__pgi_ale1__1,-0.5776885074,-0.256792429,-0.7171297145000001
cck_pgi__pgi_ale1__2,-0.0835687793,-0.455048039,-0.8417964945
cck_pgi__pgi_ale2__2,-0.5240265598,0.726871374,-1.1481377955
cck_pgi__pgi_ale3__1,-1.0006775262,-0.47676247800000005,-1.0051325525
cck_pgi__pgi_ale3__2,-0.4076420579,-0.49751059100000006,-1.1846613225
cck_pgi__pgi_ale4__1,-0.7273732849,-0.823560748,-1.2072941765
cck_pgi__pgi_ale4__2,0.47885899610000005,-0.329941851,-1.0895578725
cck_pgi__pgi_ale4__3,0.1504158719,-0.68176085,-1.3407703965
cck_pgi__pgi_ale5__1,-0.10432052160000001,-0.49356374000000003,-0.8114769155
cck_pgi__pgi_ale5__2,0.2183287315,-0.042770621,-1.0949627535
cck_pgi__pgi_ale6__1,-0.7260603573000001,-0.49449749600000004,-1.1481716525
cck_pgi__pgi_ale6__2,0.26630916800000004,-0.09600589500000001,-1.2585825115
cck_pgi__pgi_ale7__1,-1.0472079098,-0.494146744,-1.1800219765
cck_pgi__pgi_ale7__2,0.11279719120000001,-0.37894435200000004,-0.8335667105000001
cck_pgi__pgi_ale8__1,0.0965060429,-0.747504613,-0.9962573995
cck_pgi__pgi_ale8__2,0.1643329087,0.037597008,-1.4894760615
cck_sdh__gmos_delsdhCB__1,-1.4040031963000001,-0.0407601,-0.2181377025
cck_sdh__gmos_delsdhCB__2,0.7441514329000001,0.156081926,0.6506841275
cck_sdh__sdh_ale1__1,0.8870635774000001,-0.503226484,-1.2589989575
cck_sdh__sdh_ale1__2,0.48767810520000004,-0.593012705,-1.0964621645000001
cck_sdh__sdh_ale2__1,0.9294341801,-0.6407550940000001,-1.0489941455
cck_sdh__sdh_ale3__2,0.4485874126,-0.96697286,-0.9854869365000001
cck_sdh__sdh_ale3__1,0.7894818733000001,-0.6864436110000001,-1.3150438565
cck_sdh__sdh_ale3__3,0.42244789660000004,-0.11872433600000001,-0.7258529115
cck_pts__gmos_delptsHIcrr__2,0.4727013181,0.827964342,-0.1946761715
cck_pts__gmos_delptsHIcrr__1,-0.5948871023,-0.12895056900000001,-0.4053109225
