,A,TyrR
tcs__del_btsR_01xlb__1,-4.8333231915,0.19078338250000001
tcs__del_btsR_01xlb__2,-5.0276638879,0.1458138795
tcs__del_btsR_lb__1,-6.1534443049,0.8279705175000001
tcs__del_btsR_lb__2,-5.6379689021,0.7948751645000001
tcs__del_btsR_pyruvate__1,-4.8901361266,0.2938680535
tcs__del_btsR_pyruvate__2,-4.8804397393,0.2717787825
tcs__del_cpxR_etoh__1,-6.5813419412,1.0228838925
tcs__del_cpxR_etoh__2,-6.4151859572,0.9261073625
tcs__del_cpxR_lb__1,-6.2725367101,0.2728442655
tcs__del_cpxR_lb__2,-6.265595361,0.2739063835
tcs__del_cusR_CuSO4__1,-5.6288228548,0.1826444065
tcs__del_cusR_CuSO4__2,-5.5721096299,0.2061394265
tcs__del_cusR_lb__1,-5.8044948685,0.7838180335
tcs__del_cusR_lb__2,-5.9035012204,0.8135654275
tcs__del_kdpE_01-kcl__1,-6.5633358924,0.1843062125
tcs__del_kdpE_01-kcl__2,-6.3241195122,0.1531091335
tcs__del_kdpE_115-kcl__1,6.6614198443,0.3552534935
tcs__del_kdpE_115-kcl__2,6.9567387538,0.3341423625
tcs__del_phoB_m9__1,-1.2519636502,0.4711027385
tcs__del_phoB_m9__2,-1.5970401405999999,0.4164746405
tcs__del_phoB_m9p__1,-2.7807590188,-1.2726248805
tcs__del_phoB_m9p__2,-2.9266055928,-1.2883983205
tcs__del_rcsB_etoh__1,-6.2981497772,0.16029835150000002
tcs__del_rcsB_etoh__2,-5.9934489373,0.3343303205
tcs__del_rcsB_lb__1,-6.7963688201,0.4369813185
tcs__del_rcsB_lb__2,-6.429872348,0.3965974325
tcs__del_zraR_lb__1,-6.3424086177,0.1494563525
tcs__del_zraR_lb__2,-5.7920033225,0.0474123565
tcs__del_zraR_zncl2__1,-3.8972445243,0.3722812425
tcs__del_zraR_zncl2__2,-4.1276494066,0.4514641085
tcs__wt_01-kcl__1,-5.886170448,0.4055757595
tcs__wt_01-kcl__2,-5.6196914794,0.4519114755
tcs__wt_01xlb__1,-5.2393057743,0.3382187265
tcs__wt_01xlb__2,-5.0305546635,0.35865153450000004
tcs__wt_115-kcl__1,7.7952954658,0.2479375125
tcs__wt_115-kcl__2,8.0363662498,0.3258509985
tcs__wt_CuSO4__1,-5.5858354175,-0.028864478500000002
tcs__wt_CuSO4__2,-5.8865556115,0.041262900500000005
tcs__wt_etoh__1,-6.0391125856,0.0310187455
tcs__wt_etoh__2,-6.3880756177,0.0579584365
tcs__wt_lb__1,-6.7041736961,0.2513269855
tcs__wt_lb__2,-6.1557896126,0.19600348750000002
tcs__wt_LiAcet__1,-2.2198948959,0.4387788745
tcs__wt_LiAcet__2,-2.2961449703,0.42754266550000003
tcs__wt_LiCl__1,-2.984950453,0.5068465675
tcs__wt_LiCl__2,-3.0748083888,0.5050926155000001
tcs__wt_m9p__1,-2.9028880887,-1.1474459025
tcs__wt_m9p__2,-2.7153138384,-1.0654435835
tcs__wt_pyr__1,-5.1820733355,0.38161461750000003
tcs__wt_pyr__2,-5.0610694828,0.3693055415
tcs__wt_zncl2__1,-2.7628069081,0.21945374150000002
tcs__wt_zncl2__2,-2.8222901234,0.2011764475
ros_tale__1_112_0pq__1,-0.40563563,0.2528228735
ros_tale__1_112_0pq__2,-0.4079726255,0.45983600150000004
ros_tale__1_112_250pq__1,-4.2576960746,0.9232969375000001
ros_tale__1_112_250pq__2,-2.7475437893,0.6108848805
ros_tale__1_112_750pq__1,-4.2803017323,0.4980868735
ros_tale__1_112_750pq__2,-4.4770866596,0.5113861285
ros_tale__1_112_750pq__3,-3.8878108998,0.6010929825
ros_tale__3_76_0pq__1,-4.4339868569,-0.0042348795
ros_tale__3_76_0pq__2,-3.8999343268,0.1525275485
ros_tale__3_76_0pq__3,-4.4307640198,0.0563044485
ros_tale__3_76_0pq__4,-4.379920324,0.1435384955
ros_tale__3_76_250pq__1,-5.0116179897,0.0755382935
ros_tale__3_76_250pq__2,-4.205692168,-0.0356383025
ros_tale__3_76_750pq__1,-0.6725406526000001,0.2142126125
ros_tale__3_76_750pq__2,0.5188082278,-0.3781699915
ros_tale__7_103_0pq__1,-5.1949483542,0.7078838675
ros_tale__7_103_0pq__2,-5.8378749336,0.8280620435
ros_tale__7_103_0pq__3,-4.9324712334,0.8669354155000001
ros_tale__7_103_0pq__4,-5.7114009332,1.0005230545
ros_tale__7_103_250pq__1,-2.4882880545,-0.1978715205
ros_tale__7_103_250pq__2,-2.1075601567,0.1719257675
ros_tale__7_103_750pq__1,-2.302811224,-0.1179307955
ros_tale__7_103_750pq__2,-2.2945678731,-0.0744131515
ros_tale__9_77_0pq__1,-5.2570005178,0.0010529305
ros_tale__9_77_0pq__2,-5.4187713513,0.1411316755
ros_tale__9_77_250pq__1,-5.2050817165,0.0369605915
ros_tale__9_77_250pq__2,-4.9693568795,0.1321471995
ros_tale__9_77_750pq__1,-3.6511903688,0.036687594500000004
ros_tale__9_77_750pq__2,-3.988190775,-0.1192613945
ros_tale__11_83_0pq__1,-2.0260794597,0.5503108735000001
ros_tale__11_83_0pq__2,-1.458888404,0.5194396885
ros_tale__11_83_250pq__1,-1.796202235,0.2560915375
ros_tale__11_83_250pq__2,-1.5494884068,0.3044177235
ros_tale__11_83_750pq__1,-3.5230967405999998,0.2624412575
ros_tale__11_83_750pq__2,-3.4757044792,0.2598867995
ros_tale__13_87_0pq__1,-1.4943782582,0.2231360315
ros_tale__13_87_0pq__2,-1.2073894611,0.1627133275
ros_tale__13_87_250pq__1,-3.4133622597,0.4333147305
ros_tale__13_87_250pq__2,-2.9327082878,0.4952033745
ros_tale__13_87_750pq__1,-4.9138362434000005,0.5411377165
ros_tale__13_87_750pq__2,-5.2530564071,0.5023806935
ros_tale__14_27_0pq__1,-2.18008707,0.3927013615
ros_tale__14_27_0pq__2,-2.4980747212,0.4171635615
ros_tale__14_27_250pq__1,-0.06368930710000001,0.9479705815
ros_tale__14_27_250pq__2,-0.7598706914000001,0.7572289305000001
ros_tale__14_27_750pq__1,9.5348371107,0.9945231415
ros_tale__14_27_750pq__2,11.2674057413,1.2973892975
ros_tale__16_28_250pq__1,0.6332867316,0.1723321045
ros_tale__16_28_250pq__2,0.4572139499,0.1958893525
ros_tale__16_32_0pq__1,-4.1652257702,0.6723331135
ros_tale__16_32_0pq__2,-4.5307595566,0.7666342075
ros_tale__16_32_0pq__3,-0.7483221388,-0.3024377995
ros_tale__16_32_0pq__4,-1.2371403477,-0.3570680925
ros_tale__16_32_250pq__1,0.2788392786,-0.3570319885
ros_tale__16_32_250pq__2,0.2267667394,-0.43581783550000003
ros_tale__16_32_750pq__1,1.5675798703,-0.1420888925
ros_tale__16_32_750pq__2,-0.30959287220000004,0.0941581645
ros_tale__17_104_0pq__1,-2.749064567,0.6941930165
ros_tale__17_104_0pq__2,-3.6112809232,0.7608342955
ros_tale__17_104_250pq__1,-2.8245518738,0.6648540875000001
ros_tale__17_104_250pq__2,-4.5582929746000005,0.9163908705
ros_tale__17_104_250pq__3,-3.9667214816,1.0180742795
ros_tale__17_104_250pq__4,-2.6472730915,1.1088731145
ros_tale__17_104_750pq__1,-4.0941371671,0.7506122745
ros_tale__17_104_750pq__2,-3.8611642909,0.6135733405
ros_tale__18_24_250pq__1,1.203125717,0.5528827305
ros_tale__18_24_250pq__2,0.7735005076,0.3313719445
ros_tale__18_36_0pq__1,-3.6677809951,0.6760918295
ros_tale__18_36_0pq__2,-3.9448248598999998,0.7311475155
ros_tale__18_36_0pq__3,-0.8933337921000001,-0.3832928795
ros_tale__18_36_0pq__4,-0.4272611381,-0.23970957850000002
ros_tale__18_36_250pq__1,0.0554739463,-0.4704907085
ros_tale__18_36_250pq__2,-0.0541256938,-0.4292617255
ros_tale__18_36_750pq__1,7.5405638895,0.44319876950000003
ros_tale__18_36_750pq__2,8.382791701,0.5084379805
ros_tale__19_91_0pq__1,1.3059358698,1.0960024295
ros_tale__19_91_0pq__2,0.7745716027,1.0813047515
ros_tale__19_91_250pq__1,-1.5397795199000002,0.9106749325
ros_tale__19_91_250pq__2,0.2640573189,1.1899631005
ros_tale__19_91_750pq__1,-0.7113129967,0.8039835935
ros_tale__19_91_750pq__2,-3.5985126203,0.7627201875
ros_tale__19_91_750pq__3,-0.45923075750000003,1.3603575015
ros_tale__19_91_750pq__4,-2.5641171795,1.3014855635
ros_tale__21_97_0pq__1,-1.2998104932,0.3526404495
ros_tale__21_97_0pq__2,-1.3717116004,0.43666326050000004
ros_tale__21_97_250pq__1,-2.5291953369,0.4596247585
ros_tale__21_97_250pq__2,-3.6023319807,0.4015548935
ros_tale__21_97_750pq__1,-3.3087884389,0.3525457655
ros_tale__21_97_750pq__2,-4.5481012827,0.2794360865
ros_tale__25_111_0pq__1,-0.199384463,0.1970030495
ros_tale__25_111_0pq__2,-1.163224694,0.9820524505
ros_tale__25_111_250pq__1,-0.3872769153,0.1056777445
ros_tale__25_111_250pq__2,-1.4467971461,0.7201937685
ros_tale__25_111_750pq__1,-1.707842472,0.7052045855
ros_tale__25_111_750pq__2,-0.15519393680000002,0.7421199035
ros_tale__29_119_0pq__1,-1.2322394348,1.0081037225
ros_tale__29_119_0pq__2,-2.6162066984,1.0179162735
ros_tale__29_119_250pq__1,-2.5196662648,0.7654281365000001
ros_tale__29_119_250pq__2,-2.6757579071,0.5587540535000001
ros_tale__29_119_750pq__1,-3.2302201361,0.8090393335
ros_tale__29_119_750pq__2,-3.3048000947,0.6556505295
ros_tale__ALE4_0pq__1,0.41684081240000004,-0.2477026495
ros_tale__ALE4_0pq__2,0.4880481501,-0.1186181015
ros_tale__ALE4_250pq__1,-0.5847720496000001,0.5825775435
ros_tale__ALE4_250pq__2,-0.5450412556,0.6346486315000001
pcoli__atASMT_325G__1,0.0777767714,0.2873024145
pcoli__atASMT_325G__2,0.2511926009,0.3370525245
pcoli__bpTDC__1,-0.0322367763,0.38927608750000003
pcoli__bpTDC__2,0.1592079364,0.3863678495
pcoli__BRCA__1,-0.9199673372,0.35140515450000004
pcoli__BRCA__2,-1.0766049627,0.3913417555
pcoli__BRCActrl__1,0.9953394085,0.8118157365
pcoli__BRCActrl__2,0.5360615707,0.9752056205
pcoli__BRCAswap__1,-1.8996593229,0.3887345185
pcoli__BRCAswap__2,-2.1348604483,0.3568647815
pcoli__btAANAT__1,-2.3062629397,0.1977986095
pcoli__btAANAT__2,-1.7595151127,0.27817644350000004
pcoli__btASMT__1,-2.2140047179,0.2785205725
pcoli__btASMT__2,-2.0045333057,0.2698817405
pcoli__CC1__1,0.48522525660000004,0.3483533945
pcoli__CC1__2,0.0410743629,0.4789580865
pcoli__ccCOMT__1,1.0032495706,0.2492927685
pcoli__ccCOMT__2,1.0057978599,0.2630622085
pcoli__ckDDC__1,0.6488347818,0.4071532295
pcoli__ckDDC__2,1.1594229826,0.5399266885
pcoli__CNTF_belt__1,1.8307974186,0.3106809645
pcoli__CNTF_belt__2,0.9928436335,0.4180722725
pcoli__cobPNMT__1,1.105969451,0.2523218445
pcoli__cobPNMT__2,0.9289843957,0.21711057450000001
pcoli__cvPhhB__1,0.8527786829,0.2618400275
pcoli__cvPhhB__2,0.7170420375000001,0.2492479545
pcoli__ggAANAT__1,-0.6663434315,0.0685233445
pcoli__ggAANAT__2,-0.5698976331,0.0665671335
pcoli__ggTPH__1,-2.5251518048,0.2311931065
pcoli__ggTPH__2,-2.1162851736,0.2285124955
pcoli__hsAANAT__1,0.1659861624,0.6463023085
pcoli__hsAANAT__2,-0.8505819744,0.5749544045
pcoli__hsASMT__1,-1.2077383986,0.32505760850000004
pcoli__hsASMT__2,-0.6719296317,0.2710822815
pcoli__hsPNMT_mb__1,0.8237216591000001,0.1648736975
pcoli__hsPNMT_mb__2,0.7117690912,0.1765275735
pcoli__hsTPH__1,-0.34090507400000003,0.0615875835
pcoli__hsTPH__2,0.021479159,0.0536526975
pcoli__hsTPH_E2K__1,-0.5884400703,0.46911712850000004
pcoli__hsTPH_E2K__2,-0.1646373086,0.5039653025
pcoli__hsTPH_E2K_N91I_P99C__1,-0.6376478547000001,0.28763718050000003
pcoli__hsTPH_E2K_N91I_P99C__2,-0.6317735965,0.1351813985
pcoli__hsTPH_N158trunc__1,-0.5778030456000001,0.6398686165
pcoli__hsTPH_N158trunc__2,-0.8148211749000001,0.6789197615
pcoli__hsTPH_N174trunc__1,-1.0602063299,0.27098354950000003
pcoli__hsTPH_N174trunc__2,-0.5013174935,0.4228115195
pcoli__hsTPH_Ntermtrunc__1,-0.117880812,0.8401105685
pcoli__hsTPH_Ntermtrunc__2,-0.784973919,0.5687494335000001
pcoli__hsTPH1__1,-2.2695784399,0.34494042150000004
pcoli__hsTPH1__2,-2.3255841247,0.33110766350000004
pcoli__MBP__1,-0.0275070601,0.3098758575
pcoli__MBP__2,-0.384445023,0.5609344155
pcoli__msCOMT__1,-0.9570078011,0.2975147255
pcoli__msCOMT__2,-0.8968829643,0.3750729065
pcoli__ocAANAT__1,-0.4594281361,0.12197508450000001
pcoli__ocAANAT__2,-0.3422942306,0.1350034035
pcoli__osTDC_K374H__1,-1.6547002365,0.5184692605
pcoli__osTDC_K374H__2,-1.7339636568999999,0.5231464555
pcoli__osTDC_K374L__1,0.9533230904000001,0.3735168445
pcoli__osTDC_K374L__2,1.2051967992,0.41400533850000004
pcoli__osTDC_K374Q__1,-2.2016189547,0.2872073945
pcoli__osTDC_K374Q__2,-2.1161512039,0.2343675175
pcoli__osTDC_L360V__1,0.20612779080000002,0.24771132850000002
pcoli__osTDC_L360V__2,0.9945910973000001,0.29616498350000003
pcoli__pmTPH__1,-0.6240703318,0.09205914550000001
pcoli__pmTPH__2,-0.5153552669,0.0367657125
pcoli__RFC__1,-2.2619051997,0.10212452450000001
pcoli__RFC__2,-1.9708486835,0.07043848450000001
pcoli__RFCctrl__1,-1.7322306846000002,0.4528672555
pcoli__RFCctrl__2,-2.333474139,0.4865835585
pcoli__RFCnopause__1,0.3233290055,0.5724782025
pcoli__RFCnopause__2,1.438601289,0.6541242585
pcoli__RFCpluspause__1,1.3856859095,0.8150835415000001
pcoli__RFCpluspause__2,0.49370528290000004,0.9956915955000001
pcoli__rnCOMT_sol__1,-1.3620086455,0.5864855065
pcoli__rnCOMT_sol__2,-1.8394483566000002,0.4893457095
pcoli__rnPNMT__1,-1.3196102802,0.1263193285
pcoli__rnPNMT__2,-0.8952117912,0.1665408045
pcoli__rnTDC__1,-0.156587793,0.2665795185
pcoli__rnTDC__2,-0.4431428324,0.2779602975
pcoli__rnTDC_trunc__1,-1.3817233941,0.5209492895
pcoli__rnTDC_trunc__2,-1.1477413414,0.5315136185
pcoli__saCOMT_T2A__1,1.3251960815000001,0.3379932715
pcoli__saCOMT_T2A__2,1.2249817373,0.34932231550000004
pcoli__sfCOMT__1,-2.0955283906,0.0564164755
pcoli__sfCOMT__2,-1.9268255117000002,-0.043164942500000004
pcoli__sgAANAT_D63G__1,0.186059619,0.1466512005
pcoli__sgAANAT_D63G__2,-0.0619421631,0.1431349495
pcoli__ssDDC__1,-1.3029640707,0.46952474050000004
pcoli__ssDDC__2,-0.6408264848,0.40260847250000004
pcoli__TP53B__1,-1.2041041606,0.4160342765
pcoli__TP53B__2,-0.6921796673,0.3983020185
pcoli__WT__1,-0.7553437221,0.8911428935
pcoli__WT__2,-0.9120983344,0.8717198695
cck__glu_ale4__1,0.7120349342000001,0.1279507935
cck__glu_ale4__2,0.44533045400000004,-0.1438865085
cck__cck_ale1__1,0.18256592400000002,-0.3197712545
cck__cck_ale1__2,0.4634306675,-0.3173799625
cck__cck_ale2__1,0.1317116483,-0.2484951045
cck__cck_ale2__2,0.10102039560000001,-0.2800449305
cck_pgi__gmos_delpgi__1,8.4836888001,0.4475567465
cck_pgi__gmos_delpgi__2,8.3785145698,0.7368348485
cck_pgi__pgi_ale1__1,-1.106619864,0.1562873925
cck_pgi__pgi_ale1__2,-1.009091747,-0.13747834750000001
cck_pgi__pgi_ale2__2,1.2188320121,0.20577997550000002
cck_pgi__pgi_ale3__1,0.3064084577,-0.0046142085000000005
cck_pgi__pgi_ale3__2,0.13080314340000002,-0.2204859875
cck_pgi__pgi_ale4__1,0.0526502142,0.2448966965
cck_pgi__pgi_ale4__2,0.2053712687,-0.1693145685
cck_pgi__pgi_ale4__3,-0.0705428644,-0.13471610450000002
cck_pgi__pgi_ale5__1,1.0002724756,0.3925164275
cck_pgi__pgi_ale5__2,0.5694583632,-0.1404489185
cck_pgi__pgi_ale6__1,-0.2229172553,0.2128148785
cck_pgi__pgi_ale6__2,-0.5082717352,-0.1039645555
cck_pgi__pgi_ale7__1,0.1614469267,0.2295338455
cck_pgi__pgi_ale7__2,-0.4789763301,-0.0748543955
cck_pgi__pgi_ale8__1,-0.275026416,0.15646092350000002
cck_pgi__pgi_ale8__2,-0.7293101697000001,-0.0982892965
cck_sdh__gmos_delsdhCB__1,-3.6388314562,0.9963748925
cck_sdh__gmos_delsdhCB__2,-1.6555100142999999,0.9215194705
cck_sdh__sdh_ale1__1,-0.8557684697,0.2531221745
cck_sdh__sdh_ale1__2,-0.7598265488,0.1386963245
cck_sdh__sdh_ale2__1,-0.1597598473,0.0959575605
cck_sdh__sdh_ale3__2,0.0172419184,0.17582790650000002
cck_sdh__sdh_ale3__1,-0.41163994530000003,0.0670894545
cck_sdh__sdh_ale3__3,-0.48681666570000004,0.018787519500000002
cck_pts__gmos_delptsHIcrr__2,-4.5963044513,0.3523883575
cck_pts__gmos_delptsHIcrr__1,-3.9661550180000003,0.3904138965
cck_pts__pts_ale1__2,-1.7870216172000002,0.33119953950000003
cck_pts__pts_ale1__1,-1.3891187736,0.3285893995
cck_pts__pts_ale2__2,-0.4372005915,-0.3825611445
cck_pts__pts_ale2__1,-0.3202796298,-0.34884762550000004
cck_pts__pts_ale3__2,-6.4413074645,-0.7693257245
cck_pts__pts_ale3__1,-6.1551499527,-0.5101698265
cck_pts__pts_ale4__2,0.0726381661,-0.4475926505
cck_pts__pts_ale4__1,-0.4100963463,-0.5258155955
cck_gnd__gmos_delgnd__1,-2.923932061,0.6295075225
cck_gnd__gmos_delgnd__2,-3.0133661145,0.8503402205
cck_gnd__gnd_ale1__1,-0.6262990802,-0.3054190435
cck_gnd__gnd_ale1__2,-0.8417133848,-0.2737685395
cck_gnd__gnd_ale2__1,-0.6646616121000001,-0.3448228255
cck_gnd__gnd_ale2__2,-0.7886949725,-0.3901255715
cck_gnd__gnd_ale3__1,-0.7134675252,-0.037960995500000004
cck_gnd__gnd_ale3__2,-0.9949349227000001,-0.25175429650000003
cck_tpiA__gmos_deltpiA__1,3.4831085353,0.5162925665
cck_tpiA__gmos_deltpiA__2,3.5067397012,0.3343870115
cck_tpiA__tpiA_ale1__1,-0.1123089397,0.1041844635
cck_tpiA__tpiA_ale1__2,0.4030328104,0.19088366750000002
cck_tpiA__tpiA_ale2__1,0.7240592533,0.0380661835
cck_tpiA__tpiA_ale2__2,0.3904626356,0.0532189725
cck_tpiA__tpiA_ale3__1,-0.4884906909,0.15246787150000002
cck_tpiA__tpiA_ale3__2,-1.0719007382,0.1678648965
cck_tpiA__tpiA_ale4__1,-1.6856933337000002,0.2119108845
cck_tpiA__tpiA_ale4__2,-1.4380408364,0.2539518295
acid_tale__acid_ale1_pH7__1,-0.0716820656,-0.3431580415
acid_tale__acid_ale1_pH7__2,0.0711526997,-0.3093326535
acid_tale__acid_ale1_pH5__1,2.2614002192,0.6168405505
acid_tale__acid_ale1_pH5__2,3.1123854198,0.6949531915
acid_tale__acid_ale2_pH7__1,0.4184246528,-0.2000300995
acid_tale__acid_ale2_pH7__2,0.36790220160000003,-0.2517736185
acid_tale__acid_ale2_pH5__1,0.6321611524,-0.1915321825
acid_tale__acid_ale2_pH5__2,0.39892258620000004,-0.006315139500000001
acid_tale__low_Mg_ale_pH7__1,1.1691645198,-0.5259594925000001
acid_tale__low_Mg_ale_pH7__2,1.1278371391,-0.4217016785
acid_tale__low_Mg_ale_pH5__1,0.6946123579,-0.17785823550000002
acid_tale__low_Mg_ale_pH5__2,0.7364291868,-0.1323212625
acid_tale__MES_ale_pH7__1,0.8006187434,-0.2174346245
acid_tale__MES_ale_pH7__2,0.7276212447,-0.13586243450000002
acid_tale__MES_ale_pH5__1,0.1149712165,0.0172743915
acid_tale__MES_ale_pH5__2,-0.3830927176,0.2663702305
acid_tale__gmos_pH7__1,0.4798051045,-0.1164701145
acid_tale__gmos_pH7__2,0.3788371835,-0.0842809955
acid_tale__gmos_pH5__1,0.20624128630000002,-0.0122414675
acid_tale__gmos_pH5__2,0.2900745966,0.0006858135
adnB__wt_adn__1,-2.8291575283,-0.3284449135
adnB__wt_adn__2,-2.3267223794,-0.0730278055
adnB__delydhB_adn__1,-3.7004327794,-0.6720470495
adnB__delydhB_adn__2,-3.0371361598,-0.2551046875
ytf2__wt_glc__1,-0.1784855367,0.3185380295
ytf2__wt_glc__2,-0.2942435825,0.2093424285
ytf2__ybcM_glc__1,0.0873058163,0.0717530125
ytf2__ybcM_glc__2,-0.22909559999999998,0.2615484005
ytf2__ydhB_glc__1,-1.0414546724,0.1398196445
ytf2__ydhB_glc__2,-0.8441533095,0.22602110450000001
ytf2__yfeC_glc__1,-0.6105092688,0.1805068585
ytf2__yfeC_glc__2,-0.42255031470000004,0.0926372115
ytf2__yciT_glc__1,-0.4067367717,0.1373116895
ytf2__yciT_glc__2,-0.48546473360000003,0.0544397915
ytf2__ydiZ_glc__1,-0.41916133850000004,-0.0358993475
ytf2__ydiZ_glc__2,-0.48636625310000003,-0.07988600750000001
ytf2__ynfL_glc__1,-0.5850798212,0.27124856750000004
ytf2__ynfL_glc__2,-0.6003498467,0.2452307035
misc2__dellon_glc__1,0.2897348638,0.7161783335
misc2__dellon_glc__2,0.022594851200000002,0.7836820135
ytf3__wt_glc2__1,-0.48357401380000004,0.14668296150000001
ytf3__wt_glc2__2,-0.7348782202,0.14846339050000001
ytf3__wt_pH7_lactate__1,0.39074671910000003,0.2009002615
ytf3__wt_pH7_lactate__2,0.7265972551000001,0.23387167250000002
ytf3__wt_pH55_lactate__1,0.3516819645,0.3088213835
ytf3__wt_pH55_lactate__2,0.46768146330000004,0.2946990545
ytf3__wt_pH55_HCl__1,-0.8922852752,0.4347923005
ytf3__wt_pH55_HCl__2,-1.2656528938,0.3707612105
ytf3__dyieP_pH7__1,-1.1268718041999999,0.22405009450000002
ytf3__dyieP_pH7__2,-1.230447463,0.2226200335
ytf3__dyieP_pH55__1,-0.5847171997,0.13409118050000002
ytf3__dyieP_pH55__2,-0.36379250550000003,0.2614824595
