,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
90,Carbon Transition__GM+120,-0.8651500000000008,0.3854439064247868,2.0,213.0,-1.1377000000000006,234.0,-0.5926000000000009,,,,,,,,,,,,
91,Carbon Transition__GM+150,-0.3899000000000008,0.2330620303695994,3.0,214.0,-0.2248000000000019,224.0,-0.6565000000000012,235.0,-0.2883999999999993,,,,,,,,,,
92,Carbon Transition__GM+10,-0.49455000000000027,0.47468078221053095,2.0,218.0,-0.15889999999999915,228.0,-0.8302000000000014,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,-0.5353000000000012,0.7092737976268403,3.0,236.0,-0.3281000000000027,244.0,-1.3251000000000008,254.0,0.0472999999999999,,,,,,,,,,
94,Carbon Transition__MG+5,-0.05289999999999987,0.06168176391770984,3.0,237.0,0.011900000000000688,246.0,-0.05969999999999942,256.0,-0.11090000000000089,,,,,,,,,,
95,Carbon Transition__MG+10,-0.2514333333333341,0.5378377295554239,3.0,238.0,0.05069999999999908,247.0,0.06739999999999924,257.0,-0.8724000000000007,,,,,,,,,,
96,Carbon Transition__MG+15,-0.04589999999999961,0.10489251641561517,3.0,239.0,-0.16610000000000014,248.0,0.001300000000000523,258.0,0.02710000000000079,,,,,,,,,,
97,Carbon Transition__MG+25,-0.16246666666666756,0.2562097252903054,3.0,240.0,-0.10630000000000095,249.0,-0.4421000000000017,259.0,0.06099999999999994,,,,,,,,,,
98,Carbon Transition__MG+45,-0.2746666666666678,0.40669787721763806,3.0,241.0,-0.1767000000000003,250.0,-0.7214000000000009,260.0,0.07409999999999783,,,,,,,,,,
99,Carbon Transition__MG+120,-0.6334000000000005,0.6137359448492486,3.0,242.0,-1.3169000000000004,253.0,-0.12950000000000017,263.0,-0.4538000000000011,,,,,,,,,,
100,Carbon Transition__MG+150,-0.050050000000000594,0.041648589411886046,2.0,243.0,-0.07949999999999946,264.0,-0.020600000000001728,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,-0.12285000000000146,0.09298454172603034,2.0,245.0,-0.05710000000000193,255.0,-0.188600000000001,,,,,,,,,,,,
102,Carbon Transition__MG+60,-0.3201999999999998,0.11214713549618634,2.0,251.0,-0.2408999999999999,261.0,-0.39949999999999974,,,,,,,,,,,,
103,Carbon Transition__MG+90,-0.14835000000000065,0.21842528470852543,2.0,252.0,-0.3028000000000013,262.0,0.006099999999999994,,,,,,,,,,,,
