,A,Fnr,DcuR,NarL
elyC__delelyC_21C__3,-1.8733153008,-0.0409235603,-0.3639508802,-0.20104031860000002
elyC__delelyC_37C__1,-0.2180511148,-0.0254851513,0.0701840634,-0.0865105382
elyC__delelyC_37C__2,-0.24254295520000002,0.0355440585,0.0061766384,0.07553486050000001
elyC__delelyC_37C__3,-0.0716100014,0.0057575253,-0.048930291300000005,0.061852098800000005
evo_acid_w__F9_2__1,-12.7948656325,-7.3552758056,-0.9292651126,-0.0888399111
evo_acid_w__F11_1__1,-7.0244841215,0.7139563072,0.13220288200000002,0.7065790823
evo_acid_w__F11_1__2,-7.3147315547,0.9185294265,0.2813191653,0.7386335782
evo_acid_w__F11_1__3,-0.0426622375,0.7798311562,1.454883229,0.8138956489
evo_acid_w__wt__1,-2.3499965749,0.0845328856,0.2993474224,-0.0839775374
evo_acid_w__F11_2__1,1.9794062155,0.196271321,1.0646269178,0.7062556104000001
evo_acid_w__B11_2__1,3.0401093392,-0.21254939720000002,1.4520237328,0.6953554794
evo_acid_w__F11_2__2,3.4900670299,0.45666608210000004,1.4661811863,1.6437094670999999
evo_acid_w__wt__2,0.4896068481,0.0023046192,0.5164906294,-0.043374079
evo_acid_w__B11_1__1,4.1127917618,0.030882746500000002,1.4974731392,0.3553058173
evo_acid_w__H9_1__1,-13.1851003814,0.9365946801,-1.497747712,-0.3280518362
evo_acid_w__H9_2__1,1.6187912535,0.39447972600000003,0.439411333,0.4331012071
evo_acid_w__B11_2__2,3.3838050556,-0.2747681118,1.6650034266,0.6206496690000001
evo_acid_w__wt__3,-0.3454653554,0.1197434681,0.29957486040000003,-0.29263095580000004
evo_acid_w__H9_2__2,1.6053187509,0.4314267907,0.4915281742,0.5051565148
evo_acid_w__B11_2__3,3.5818623951,-0.2345901954,1.8543397239,0.6962143766000001
evo_acid_w__F11_2__3,2.3945035595,0.456708999,1.5699398480000002,1.6755633808
evo_acid_w__F9_2__2,-12.3547457869,-7.8525940196,-0.8651376654,0.1400424825
evo_acid_w__wt__4,-0.9835635177000001,0.2973060844,0.0781812742,0.6123452586
evo_acid_w__wt__5,-1.4954178421,0.3124097697,0.062341899400000005,0.7063927401
evo_acid_w__wt__6,2.8118677153,-0.1751172912,-0.2395773039,-0.4659502613
evo_acid_w__H9_1__2,-13.0282410706,0.9036193136,-1.293598784,-0.38384030410000003
evo_acid_w__F9_1__1,-11.4795570076,-7.5369515417,-0.7042677851,-0.1033873485
evo_acid_w__F9_1__2,-11.74228318,-7.0361766568,-0.4794796221,-0.010538875100000001
evo_acid_w__B11_1__2,4.9784596102,-0.0131986588,1.5760137606,0.5218018408
evo_acid_w__H9_2__3,3.341922361,0.1964461357,0.6427349231,0.6081714487000001
evo_acid_w__wt__7,-1.6410881857000001,0.1707039968,-0.11480066800000001,0.0180629813
evo_acid_w__F9_1__3,-11.2923570642,-7.7499151628,-0.3725480639,0.046942355500000005
evo_acid_w__F9_2__3,-12.5489547505,-7.0926670476,-0.9688737825,-0.0829499602
evo_acid_w__wt__8,1.6225751599,-0.22741367480000002,-0.4828660994,-0.2819431939
evo_acid_w__B11_1__3,5.6952213392,-0.0619256138,1.7086890534,0.5324068082
evo_acid_w__wt__9,1.8914817525,-0.5844698577,-0.41869201450000004,-0.16892495270000002
evo_bz__c3_1_bz__1,-2.155843741,1.2617788521,-0.2111075654,0.5762343186000001
evo_bz__c3_1_bz__2,-8.2132903156,0.013602002200000001,-0.9586262236,1.2983206766
evo_bz__c3_1_bz__3,-3.6172733081,-0.011886655900000001,-0.6369857758,0.7465112118
evo_bz__c3_1_bz__4,-3.0457332265,0.0928465604,-0.6186230208,0.8942923287000001
evo_bz__g5_1_bz__1,-8.1663495297,1.4522089644,0.0744639543,0.25686588790000003
evo_bz__g5_1_bz__2,-4.5705465302,1.4799556311,-0.4218643539,0.5486288687
evo_bz__g5_1_bz__3,-6.5202418853,1.2878835212,-0.1393120732,0.3260326055
evo_bz__g5_1_bz__4,-7.6809789042,0.5038059594000001,-0.7426283642,0.7897283174
evo_bz__g5_1_bz__5,-5.6089663548,0.360903352,-0.4758107445,0.49558195120000004
evo_bz__g5_1_bz__6,-5.7090216932,0.5015165093,-0.6021432709,0.4566782632
evo_bz__w3110d13__1,1.9443731682,-0.2848580515,0.39561909710000004,0.1724557368
evo_bz__w3110d13__2,1.2915428363,-0.061697307900000005,0.48181066250000004,-0.030635029900000003
evo_bz__w3110d13__3,-1.5668452687999999,0.1678169173,-0.3052527437,-0.0722359716
evo_bz__w3110d13__4,1.7432337455,-0.3500729039,0.3955920308,0.0013491506000000001
evo_bz__w3110d13__5,-2.4322586622,0.2581440398,-0.4733716348,-0.26139924600000003
evo_bz__w3110d13__6,-0.9800458191,0.2706673062,-0.49439741190000003,0.19046536020000002
evo_bz__w3110d13_bz__1,-1.8614526118999999,0.4075951256,0.1062074065,0.7234735221
evo_bz__w3110d13_bz__2,-1.9848413499,0.4723477928,0.0844620937,0.8461263958
evo_bz__w3110d13_bz__3,-4.007099013,0.0966315491,-0.8985129839,0.9141561881
evo_bz__w3110d13_bz__4,-2.0558894304,0.4559032226,0.1656574139,0.664258193
evo_bz__c3_1_bz__5,-1.6492044294000001,1.3849591353,-0.0247955244,0.7452993698
evo_bz__c3_1_bz__6,-2.7318393884,1.4019401177,-0.1813587603,0.5785401985
evo_bz__g5_2_bz__1,-9.4145356643,0.032233089300000003,-1.0353587069,0.4802957195
evo_bz__g5_2_bz__2,-7.8277534317,-0.0453090219,-0.9310201186,0.49381386400000005
evo_bz__g5_2_bz__3,-4.3150158011,0.0014162464,-0.5926733894,0.5898432175
evo_bz__g5_2_bz__4,-1.3732555965,0.2852736966,-0.0989597116,0.9554701996
evo_bz__g5_2_bz__5,-1.7774369691,0.2818975743,-0.1495301557,0.7713469477
evo_bz__g5_2_bz__6,-2.8275911659,0.9043918405,-0.1506997314,0.657317507
evo_bz__w3110d13_bz__5,-4.2326038687,0.2892210988,-0.8122343653,0.8135768659
evo_bz__w3110d13_bz__6,-4.2462603502,0.2841031,-0.9541571718,0.8840772914
evo_bz__a1_1_bz__1,-4.3004279485,-0.4692650607,-0.7550712749,0.2345764287
evo_bz__a1_1_bz__2,0.26357135670000004,0.359532976,0.3333840703,0.6899307175
evo_bz__a1_1_bz__3,-5.0272870631,1.0300605526,-1.0457731772,0.4485482959
evo_bz__a1_1_bz__4,0.4712041778,0.06453909170000001,0.425391422,0.478671245
evo_bz__a1_1_bz__5,-6.4089379,1.0883072748,-0.7361628928,0.1767654194
evo_bz__a1_1_bz__6,-4.6308470714,0.9656259972000001,-1.1107920953,0.4141056352
evo_metab__wt__1,-1.8629584646000001,0.1288576417,0.1652963353,0.3706986647
evo_metab__del_zwf__1,0.5555737419,-0.0383819357,0.00432486,0.39092617890000003
evo_metab__zwf_ale1__1,-1.3360435436,0.1318576497,0.0190562111,0.5842403459000001
evo_metab__zwf_ale2__1,-0.8312760885,0.019056687000000003,-0.2553989842,0.5959497501000001
evo_metab__del_ppk__1,-2.22781991,-0.0419896674,0.5833974763,-0.8026795525
evo_metab__ppk_ale1__1,-2.9144547509,0.23862317660000001,0.4164102006,-1.1079643948
evo_metab__ppk_ale2__1,-1.8385779245,0.1611058857,0.1280563545,0.7774519143
evo_metab__ppk_ale3__1,-2.0064850626,0.4581252995,-0.3716143255,0.3939165264
evo_metab__del_dapF__1,-2.4956432107,0.3172238424,-0.039288902800000004,0.243656734
evo_metab__dapF_ale1__1,-2.1626780271,0.1383090976,-0.6213311796000001,0.5492736877000001
evo_metab__dapF_ale3__1,0.4330006689,-0.3716839181,-0.1050332385,-0.7256898118
evo_metab__del_entC__1,-1.9473162171,-0.2415756215,0.14924174980000002,-0.1402465632
evo_metab__entC_ale1__1,-1.523808646,-0.15906388330000001,-0.14097534990000002,-0.3618465671
evo_metab__entC_ale2__1,0.0403094752,0.007812727200000001,-0.45329801700000005,0.6184222671
evo_metab__del_dgk__1,0.4565924434,-0.12566082550000002,0.3983657313,-0.6088164535
evo_metab__dgk_ale1__1,5.4142862698,0.0504878854,0.1712879629,-0.4372946351
evo_metab__dgk_ale2__1,2.3023975414,0.5392612067,0.27635473450000003,0.21005723110000002
evo_metab__dgk_ale3__1,-2.3793000490000003,-0.1771450645,-0.5195258351,0.3298116539
evo_metab__wt__2,-2.7040049415,-0.0641102801,-0.2467645032,-0.147708369
evo_metab__del_zwf__2,-2.2633411354,0.4335230942,-0.0935652033,0.1776874777
evo_metab__zwf_ale1__2,1.3121971558,-0.1511554798,-0.21277880570000002,-0.6758762535
evo_metab__zwf_ale2__2,1.0308344541,-0.0774772219,0.4038687922,-0.3830104012
evo_metab__del_ppk__2,-1.3270533215,-0.1502114202,0.1221749995,-0.6258374279000001
evo_metab__ppk_ale1__2,2.5272603912,0.1315080696,0.11497981950000001,-0.8211100075000001
evo_metab__ppk_ale2__2,2.5259729617,-0.0719380109,0.5558226232,-1.323253442
evo_metab__ppk_ale3__2,-3.7516824817,0.12563758,-0.1210707886,-0.9410560172
evo_metab__del_dapF__2,-3.7161894798,0.9592729955,-0.12752670330000002,0.0507837041
evo_metab__dapF_ale1__2,-3.6141948715,0.8334966567000001,-0.9163798758,-0.36151505040000004
evo_metab__dapF_ale3__2,-3.7139304555,1.0963381317,-0.1944339933,0.015682493000000002
evo_metab__del_entC__2,-2.3725498031,-0.09922067500000001,-0.10376944290000001,-0.8430240657
evo_metab__entC_ale1__2,-1.0008287717,-0.1683037611,-0.1998263197,-0.7095500967
evo_metab__entC_ale2__2,2.6774938835,0.12045115120000001,-0.1973189816,-0.9011111180000001
evo_metab__entC_ale3__1,5.5890627119000005,-0.10618114270000001,0.1992107475,-0.9978276163
evo_metab__del_dgk__2,2.1822463222,-0.4606796238,0.1262104536,-0.5477391271000001
evo_metab__dgk_ale1__2,5.0479633147,-0.2463820843,-0.0340552021,-0.3795001022
evo_metab__dgk_ale2__2,2.705613296,0.3616560525,0.3588935103,-0.8229495654000001
evo_metab__dgk_ale3__2,5.3052313747,-1.0284903831,0.2176261072,-0.49900804390000003
evo_metab__wt__3,4.5669634061,-0.0647473615,0.0814681679,-0.2229902957
evo_metab__del_zwf__3,-2.1021071557,-0.0761053958,-0.2104313637,-1.050438918
evo_metab__zwf_ale1__3,1.9415835750000001,-0.09697300660000001,-0.062363565,-0.9253455741000001
evo_metab__zwf_ale2__3,2.56025824,-0.2615945059,0.3126289557,-1.143631335
evo_metab__del_ppk__3,4.364065981,-0.162388314,0.5716969959,-0.6899662739
evo_metab__ppk_ale1__3,5.709211818,0.06995235600000001,0.5883478505,-0.431709809
evo_metab__ppk_ale2__3,-0.9083236206,0.16927389210000002,0.4459434788,-0.8646589433
evo_metab__ppk_ale3__3,1.1574198422,-0.21989089520000002,0.2974859589,-0.45853898340000004
evo_metab__del_dapF__3,-3.5217525047000002,0.8976741623000001,-0.18370968810000002,-0.2640806834
evo_metab__dapF_ale1__3,-3.8564353885,0.7015805322,-0.4633898824,-0.5786324041
evo_metab__dapF_ale3__3,-4.4630177618,0.8552512050000001,-0.3234379723,-0.680639905
evo_metab__del_entC__3,-2.912594406,-0.3455777802,-0.2400040176,-0.9313440660000001
evo_metab__entC_ale1__3,5.0164864408,-0.3496650475,0.3600478602,-0.8045448596
evo_metab__entC_ale2__3,5.3292997749,-0.3209950742,-0.1994183314,-0.9736267228000001
evo_metab__entC_ale3__2,-3.1330985663,0.10337487640000001,-0.4578309987,-1.7514730810999999
evo_metab__del_dgk__3,3.646173951,-0.1810282464,0.0258266704,-0.9426322646
evo_metab__dgk_ale1__3,6.9568195432,-0.1042635281,0.0993208384,-0.9324803580000001
evo_metab__dgk_ale2__3,5.4788397556,0.17177478340000002,0.11478048860000001,-1.1485021186
evo_metab__dgk_ale3__3,4.017591976,-0.3989806461,-0.4973521229,-0.5130261229
flag_reg__wt__1,-0.3413986842,0.0,-0.0365572141,0.027978306
flag_reg__del_fliA__1,1.0443626717,0.1430180401,0.2549190866,-0.28426126290000003
flag_reg__del_flhC__1,0.5559038626,0.0,0.350846088,-0.40835610370000003
flag_reg__del_flhD__1,1.1273646982,0.0,0.632931342,-0.18742537580000002
flag_reg__wt__2,0.3413986842,0.0,0.0365572141,-0.027978306
flag_reg__del_fliA__2,1.3346624003,0.1810243454,0.4471980575,-0.12312843670000001
flag_reg__del_flhC__2,-0.11327608,0.0,0.08277446270000001,-0.2665569219
flag_reg__del_flhD__2,1.3859342182,0.3016847958,0.4585561743,-0.3419932559
flgM__27C__1,-2.580009375,-0.5190136381,-0.8300773102000001,0.4951291902
flgM__27C__2,-1.6628615973,-0.3222420219,-0.8277750107,0.5282612775000001
flgM__27C__3,-1.8590907112,-0.4530709885,-0.8679787073,0.5388327452
flgM__32C__1,0.10866041970000001,-0.2782649171,-0.4249948321,0.0733341685
flgM__32C__2,-0.7063863652,-0.2806686959,-0.3053723624,0.23331332970000002
flgM__32C__3,-1.5352702969,-0.4037237883,-0.2332582832,0.2936524889
flgM__37C__1,-0.1423250037,-0.0037651177,-0.0171758657,0.0053444871
flgM__37C__2,0.09923456400000001,-0.0090358951,0.0441251042,-0.0380483048
flgM__37C__3,0.043090439700000004,0.0128010128,-0.0269492385,0.0327038177
flgM__42C__1,0.323765986,-0.093188196,0.9392789756000001,-0.1505166587
flgM__42C__2,0.1960078579,-0.0238553789,1.0747873341,-0.1406825428
flgM__42C__3,-0.33436168390000004,-0.0313487078,0.7680587577,0.19901135550000001
histone__untreated__1,0.2093296809,0.0095465275,0.1023577677,-0.0307052643
histone__untreated__2,-0.3380723607,0.0232059397,-0.10221194330000001,-0.29837836030000003
histone__untreated__3,0.1287426797,-0.032752467300000004,-0.0001458244,0.3290836246
histone__10ug_H2A__1,0.7063187446,-0.15256787230000002,0.0978582946,0.1228972319
histone__10ug_H2A__2,-0.3096910082,-0.12441594560000001,-0.049697842000000006,-0.1692551499
histone__10ug_H2A__3,0.49240880810000004,-0.10435943240000001,-0.0671066221,0.3676494218
histone__50ug_H2A__1,0.4185461854,-0.4254753164,0.0107048963,0.3538193458
histone__50ug_H2A__2,0.7034780613,-0.3196076483,0.1016687363,0.41197237610000004
histone__50ug_H2A__3,0.5252207583,-0.3156598178,-0.0645674032,0.27205525880000003
histone__100ug_H2A__1,0.6277299417000001,-0.5449668212000001,-0.2557665673,0.1546633298
histone__100ug_H2A__2,0.7041638541,-0.523218044,0.032560974,0.181779925
histone__100ug_H2A__3,0.7756432134,-0.5631612565,-0.0848982645,0.241015746
hns__del_hns_spike__1,-5.2969167852,-1.8529613086,0.1492445617,0.1025900143
hns__del_hns_spike__2,0.8989915059,4.4171410107,0.1386878406,0.0325783359
hns__del_hns__1,-5.3578183318,-1.9114182228,0.2616394563,0.2102891741
hns__del_hns__2,2.4445926259,4.1511978614,0.3002234753,0.1220451763
hns__wt_spike__1,-2.7513902369,-1.9114182228,0.1560255622,0.4081639314
hns__wt_spike__2,5.234818969,1.5058805974,0.3984299616,-0.4645212761
hns__wt__1,-2.8152426366,-1.8065297164,-0.1053617803,0.18506455360000001
hns__wt__2,2.8152426366,1.8065297164,0.1053617803,-0.18506455360000001
hns_stpA__evo100G4_delhns_delstpA__1,-7.5691842373,-1.6696986845000001,-0.5043848691,-1.1222129359
hns_stpA__evo100G4_delhns_delstpA__2,-9.2417996321,-1.4652493593,-0.3634631544,-1.0371567741
hns_stpA__evo100G12_delhns_delstpA__1,-5.9092851446,-0.35889479760000004,-1.2978087756,-1.1150671133
hns_stpA__evo100G12_delhns_delstpA__2,-6.043607726,-0.8014556473000001,-1.2248534108,-1.2359529551
hns_stpA__delhns_delstpA_delrpoS__1,-4.7090350168,-0.8388314320000001,-1.0483393022,-1.1514785621
hns_stpA__delhns_delstpA_delrpoS__2,-5.4983637096999995,-0.4152274681,-1.2388849128000001,-0.9487566627
hns_stpA__wt__1,-0.089555799,0.1043733763,0.19473505730000001,0.0560385855
hns_stpA__wt__2,0.089555799,-0.1043733763,-0.19473505730000001,-0.0560385855
hns_stpA__delhns_delstpA__1,-14.8460287256,-1.5472205910999999,-1.406887612,0.5119362405
hns_stpA__delhns_delstpA__2,-14.2876641119,-1.5531352302,-1.2111221239,0.8331544412
hu__wt_log_pH7__1,-10.1470890504,-0.19100837710000002,-0.3689041478,-0.5857785061
hu__wt_log_pH7__2,-9.7426049681,0.7087330881,0.063632911,-0.1325261094
hu__wt_log_pH7__3,-8.7240577809,0.34349852080000004,-0.3032045667,-0.2807598049
hu__wt_lag_pH7__1,0.7560366497000001,0.1536742525,-0.2543804156,-0.1085302749
hu__wt_lag_pH7__2,-1.565263946,-0.0322767413,-0.526619118,-0.7430338169
hu__wt_lag_pH7__3,0.8092272963,-0.1213975112,0.7809995336000001,0.8515640918
hu__delhupA_lag_pH7__1,0.056694702400000005,0.21202446060000002,0.342245261,-0.4063618183
hu__delhupA_lag_pH7__2,-6.0768482278,0.5987173526,0.1875753016,-1.4274961940000002
hu__delhupA_lag_pH7__3,0.1789537049,-0.1807484194,0.9486937209,0.6691944452
hu__delhupB_lag_pH7__1,-0.6672593589,0.1036303247,-0.0278658235,-0.3338674667
hu__delhupB_lag_pH7__2,-2.6366864652,0.0875729346,-0.0020359513,-0.736156319
hu__delhupB_lag_pH7__3,-0.6854811972,-0.3900321698,0.5730951697000001,0.4992284853
hu__delhupAhupB_lag_pH7__1,-4.1302098653,-0.5681724135,0.1556364354,-1.053754119
hu__delhupAhupB_lag_pH7__2,-3.7489618335,0.019754427,0.0838756538,-1.0941416626
hu__delhupAhupB_lag_pH7__3,-5.9733201707,0.27332833030000003,0.4891108771,-0.2991678736
hu__hupAE34K_hupB_lag_pH7__1,1.7027881452,-0.0690832475,-0.5942397453,0.5698469427
hu__hupAE34K_hupB_lag_pH7__2,-3.7795600871,0.6704954660000001,-0.0360115289,-0.6646076642000001
hu__hupAE34K_hupB_lag_pH7__3,0.08437424660000001,-0.2908193112,0.3375885321,0.6551848883
hu__hupAE34K_delhupB_lag_pH7__1,1.4429308859,-0.2406689964,-0.1617080032,0.0231489962
hu__hupAE34K_delhupB_lag_pH7__2,0.1033268515,0.14526903260000001,-0.2193558719,-0.1375288171
hu__hupAE34K_delhupB_lag_pH7__3,-0.0239784867,-0.21581755660000002,0.6434179788000001,0.6588762081
hu__wt_lag_pH5__1,-10.2161378379,0.5535835338,-1.5122596691,-0.4082138135
hu__wt_lag_pH5__2,-12.4922925448,1.2081234349,-0.7964109056,-0.52645941
hu__wt_lag_pH5__3,-13.1702036282,0.8957372423000001,-1.2276609038,-0.1553081325
hu__delhupA_lag_pH5__1,-11.57364921,0.6569229851,-0.9492252926,-0.6733790077
hu__delhupA_lag_pH5__2,-9.6182916751,0.6167569178,-0.9543704459000001,-0.2355483518
hu__delhupA_lag_pH5__3,-12.9862247707,0.8316677062000001,-1.0399775012,0.18508565870000002
hu__delhupAhupB_lag_pH5__1,-12.6257607597,0.1999734554,-1.1190344194,-0.8351352551000001
hu__delhupAhupB_lag_pH5__2,-12.5654598443,0.2197027038,-0.8178643373000001,-0.6537333584
hu__delhupAhupB_lag_pH5__3,-13.0732032747,0.25218964180000003,-1.0958761618,0.2899388066
hu__hupAE34K_hupB_lag_pH5__1,-10.073740478,0.5340236142,-1.1701056052,-0.6891596525
hu__hupAE34K_hupB_lag_pH5__2,-13.1592906888,1.0834013949,-0.7312851119,0.31635242010000003
hu__hupAE34K_hupB_lag_pH5__3,-13.0288343214,1.0978565866,-1.0458631532,0.3645427518
hu__hupAE34K_delhupB_lag_pH5__1,-13.6460810343,0.9741019127,-1.6063562658000001,0.0826919113
hu__hupAE34K_delhupB_lag_pH5__2,-9.9873366067,0.6802497518,-0.8278422765000001,-0.34104628670000003
hu__hupAE34K_delhupB_lag_pH5__3,-12.7397799973,0.9403858490000001,-0.8434178698,0.3577856265
hyperpersistence__low_GFP__1,-4.6856116614,-0.20978116330000002,-0.8816686318,-1.4476102875999999
hyperpersistence__wt__1,0.3377902058,-0.0744435516,0.036802354600000003,-0.0238770435
hyperpersistence__high_GFP__1,-4.1059394172,0.4468453882,-0.6837186406,-0.8985766062
hyperpersistence__pth_mut__1,0.43055606700000004,-0.1340233916,-0.2924901174,0.5490952302000001
hyperpersistence__pth_mut__2,0.1732779455,-0.0619563058,-0.3684231576,0.6266259750000001
hyperpersistence__metG_mut__1,-0.1183050833,0.0976427973,-0.2874869591,0.8819797836000001
hyperpersistence__metG_mut__2,0.16606625590000001,-0.21477502510000002,-0.1996764677,0.4671128256
hyperpersistence__high_GFP__2,-0.4759573321,0.3342765871,-0.9057577071,-0.25440008680000004
hyperpersistence__wt__2,-0.3377902058,0.0744435516,-0.036802354600000003,0.0238770435
hyperpersistence__low_GFP__2,0.3249637148,0.0047005741,-0.9166460476,-0.8698364328
kan_efg__cpxAF218Y__1,11.1840582942,-0.7086893064,0.3810681824,0.7143911841
kan_efg__cpxAF218Y__2,10.5867532742,-0.6762833235,0.9518506988000001,0.6505880478
kan_efg__cyaAN600Y__1,7.4225489754,-0.5961064718,0.44840184190000004,0.7390140172
kan_efg__cyaAN600Y__2,10.252339419,-0.9389203311000001,0.7972484193,1.456653752
kan_efg__fusAA608E__1,-2.8203743828,0.3523185716,0.2361011512,-0.33647211250000003
kan_efg__fusAA608E__2,-1.7252900775,0.2347033211,0.6595344365,-0.33321797410000004
kan_efg__fusAA608E_cpxAF218Y__1,3.9447157459,-0.0167791524,0.6961122781,-0.0371787602
kan_efg__fusAA608E_cpxAF218Y__2,3.8436034186,0.1179135661,0.766761377,-0.3738716425
kan_efg__fusAA608E_cyaAN600Y__1,6.2504251009,-0.13920940210000002,0.7639787109,0.2361730718
kan_efg__fusAA608E_cyaAN600Y__2,8.3087646534,-0.3839734456,0.7008553762,0.6289486114
kan_efg__fusAA608E_rpoDL261Q__1,3.5148646806,-0.0986806617,1.2563818363,0.0653597444
kan_efg__fusAA608E_rpoDL261Q__2,-0.46003556570000004,0.1994489292,0.7168604732,-0.0066229651
kan_efg__fusAA608E_topAS180L__1,-0.6075884125000001,-0.4435333853,0.0101719757,0.0669873619
kan_efg__fusAA608E_topAS180L__2,-0.7496389247,-0.4244188257,0.18558868520000002,-0.2834279713
kan_efg__rpoDL261Q__1,1.8695416599999999,-0.1329093335,0.7703603191,-0.0502256408
kan_efg__rpoDL261Q__2,5.1360590795,-0.4127689734,1.1751423099,0.247227937
kan_efg__wt__1,-1.639840355,0.0866657269,-0.1252583849,-0.1598103672
kan_efg__wt__2,1.639840355,-0.0866657269,0.1252583849,0.1598103672
lrp__wt_min_log__1,0.4505592453,-0.011919778300000001,0.0616445793,-0.0693826511
lrp__wt_min_log__2,-0.4505592453,0.011919778300000001,-0.0616445793,0.0693826511
lrp__wt_min_trans__1,1.0340141691,-0.20470735180000002,-2.4912693794000003,-0.7470648342
lrp__wt_min_trans__2,0.27959897300000003,0.1806692184,-1.2855311389000001,-0.4442728589
lrp__wt_min_stat__1,5.3980051945,0.1726251009,-3.2889482282999998,-1.1569247643
lrp__wt_min_stat__2,4.8337108671,0.0196643383,-2.7314785339,-0.6419065984
lrp__wt_liv_log__1,0.38018324340000004,0.2249489489,-0.635201095,0.5707381704
lrp__wt_liv_log__2,0.5430448485,0.1194383926,-0.7497716348,0.3533200413
lrp__wt_liv_trans__1,10.1481240979,-0.6919210905000001,-1.0659972069,0.3047987967
lrp__wt_liv_trans__2,11.0476640262,-0.5639088368,-0.2740467037,0.35697272420000004
lrp__wt_liv_stat__1,7.5711962188,-0.0544059229,-4.0069880626,-1.9893185044
lrp__wt_liv_stat__2,6.6724823733,-0.014093932000000002,-2.7827491553,-1.6502186426
lrp__wt_rich_log__1,3.7579600799,-0.4503003694,-0.8849223083000001,-1.3989629846
lrp__wt_rich_log__2,3.5588125732,-0.4641175329,-0.7397303621,-1.2592386683
lrp__wt_rich_trans__1,9.7233234747,-1.0025144526,-1.1134713183,-0.3552720569
lrp__wt_rich_trans__2,9.5364384274,-1.1404914458,-0.9269324416,-0.44047911510000004
lrp__wt_rich_stat__1,5.7602224293,-0.8909438317,-1.3030739614,-1.336142346
lrp__wt_rich_stat__2,4.0254634054,-0.5318614534,-1.3402472378999999,-0.8255995352000001
lrp__dellrp_min_log__1,0.315565046,0.0033368332,-0.8406689005,-0.1292564387
lrp__dellrp_min_log__2,0.43676511290000003,0.0118921209,-0.4612903881,0.0010248064
lrp__dellrp_min_trans__1,6.5277998257,-0.5675203342,-1.5539703421,0.6665405664
lrp__dellrp_min_trans__2,5.2213509438,-0.5965645774,-1.5676925595,1.1567031192
lrp__dellrp_min_stat__1,4.1806150237,-0.09172600310000001,-3.1648394398,-1.2638361669
lrp__dellrp_min_stat__2,4.2961704836,-0.2604633833,-3.6124360867,-1.1661057503
lrp__dellrp_liv_log__1,0.0078419829,0.0257724632,-0.6304090921000001,0.40706474730000003
lrp__dellrp_liv_log__2,1.1042968867,-0.0743060465,-0.5715851488,0.1579802472
lrp__dellrp_liv_trans__1,9.9379630972,-0.7908679979000001,-0.9404645794000001,0.5294972933000001
lrp__dellrp_liv_trans__2,10.2248882185,-0.5605540760000001,-0.713922484,0.7500253049000001
lrp__dellrp_liv_stat__1,6.1724367989,0.1988388559,-3.3488373798,-1.2858413951
lrp__dellrp_liv_stat__2,5.9132022704,0.2155505949,-3.2792316592,-1.1264390268
lrp__dellrp_rich_log__1,4.1582970458,-0.4247212359,-0.762871535,-1.2101778078
lrp__dellrp_rich_log__2,3.6925241446,-0.4265440585,-0.9581968171,-1.0155130628
lrp__dellrp_rich_trans__1,9.7490574779,-0.8679103318,-1.3416761172,0.4587100022
lrp__dellrp_rich_trans__2,8.2513049582,-0.8983829466000001,-0.9550240286,0.3726461786
lrp__dellrp_rich_stat__1,2.7606590862,-0.3971189492,-2.331809749,-0.006970225
lrp__dellrp_rich_stat__2,4.1148341442,-0.24081092610000002,-2.382407957,0.2360315618
mazF_circuit__t0__1,0.100287912,0.08827390900000001,0.16779140450000002,0.0899212674
mazF_circuit__t2__1,7.8127720427,-0.23167562300000002,-0.0317728012,0.3344896395
mazF_circuit__t4__1,5.2136900457,0.2629024821,1.3260808744,0.7913739665
mazF_circuit__t6__1,1.5515018352,0.43528731260000003,0.9745152171,0.8612887107
mazF_circuit__t8__1,-1.7724527831999999,0.3820487614,0.8105144950000001,1.4657611373
mazF_circuit__t0__2,-0.100287912,-0.08827390900000001,-0.16779140450000002,-0.0899212674
mazF_circuit__t2__2,7.420816473,-0.2043366113,0.5672788978000001,0.46202607490000003
mazF_circuit__t4__2,5.5000756355,-0.32261156550000003,0.6033128532,0.8510675943
mazF_circuit__t6__2,0.6897934210000001,0.5355032213,0.9119993925000001,1.1189896353
mazF_circuit__t8__2,-0.4260079774,0.39596403090000004,1.1197946227,1.5230976053
mazF_ribo__emptyvec_mrna_5m__1,-0.06835044430000001,-0.0188473862,0.0292681459,0.0364508381
mazF_ribo__emptyvec_mrna_5m__2,0.06835044430000001,0.0188473862,-0.0292681459,-0.0364508381
mazF_ribo__mazF_mrna_5m__1,-4.7064752687,0.8768952831,1.0738998652,1.3025315569
mazF_ribo__mazF_mrna_5m__2,-4.8246188436,0.7943170451,1.1898956931,1.2303245734
mazF_ribo__emptyvec_total_5m__1,2.3765417834,0.0022417352,-1.056298681,0.27129302310000003
mazF_ribo__emptyvec_total_5m__2,1.6365479911,-0.1816462398,0.22000307230000002,0.3016804166
mazF_ribo__mazF_total_60m__1,-6.8752825984,0.3641228837,-1.0310769657,0.6508127193000001
mazF_ribo__mazF_total_60m__2,-5.4280699701,0.46529772480000003,-0.6953453661,0.44962002560000003
mercury__ctrl_t00__1,-0.022179410700000003,0.0143233844,-0.2088256219,0.0449755047
mercury__ctrl_t10__1,1.7967551312999999,-0.5673512663,-0.2694736974,0.0404729277
