,A,FliA,flhD,CsgD
SRX5694464,-0.7385381691,0.0215980806,0.1675627381,-1.5881864121
SRX5694465,-0.5269839126,-0.824858443,1.0417814142,-0.9374519004
SRX5694466,4.4944076654,-2.1173959379,-1.0423437452,0.2242957224
SRX5694467,0.3833076778,-0.21955792500000001,-0.5269540065,-0.2822929062
SRX5694468,5.059288148,-1.2639840026,-2.5126281381,-1.0966288723
SRX5694469,0.24330094830000001,-0.6579499163,0.30110703110000003,0.24264208550000002
SRX5694470,-0.8654737249000001,-0.0063325904,0.29867065940000004,-0.5119682401
SRX5694471,-0.5659674219,-0.1664627286,0.48125591360000003,-0.17637521520000002
SRX5694472,3.1736873072,-0.18645399340000002,0.0739121085,0.1618024161
SRX5694474,-0.1171232955,0.0332368508,-0.8892910738,-1.7281741593
SRX5694475,0.090841643,-0.8889436776,-2.0006843858,-1.1487585203
SRX5694476,-1.9452631195,-0.6342062116,-0.2853568587,-0.6413780236000001
SRX5694477,5.1308715383,-0.6870792960000001,1.5045400106,-1.006493863
SRX5694478,-2.2133368631,-0.1359807896,0.37053766450000003,-1.2513445461
SRX5694479,7.5296752305,-2.5104441486,-0.42433838490000003,1.634032853
SRX5694480,4.5634176867,-0.9779038413000001,-0.46470464170000003,1.3582901054
SRX5694481,-0.9602444936000001,-0.610022905,-0.469775221,-1.6745394532
SRX5694482,0.41587661400000003,-0.1149881123,0.3687961879,-0.5047007987000001
SRX5694483,-0.9689739971,-0.2527633678,0.1429697268,-0.314612491
SRX5694484,-0.9330101111,-0.2050217956,0.5009034045,-0.4959432709
SRX5694485,-0.321720312,-0.2606838045,0.4456346606,0.412170702
SRX5694486,-0.0924243108,-0.0910736973,-0.1683695024,-1.1498512966
SRX5694487,-1.2071974172,-0.2139070442,-0.0666233247,-2.0677669007
SRX5694488,-0.2383818157,-0.037040484400000004,0.611235341,-0.5575835156
SRX5694489,-0.7027564773,-0.3148166418,0.0362649647,-0.1165699711
SRX5694491,0.5706238535,-0.5352664260000001,0.2686946999,-1.8755443224000001
SRX5694492,2.5669621997,-0.7026670574,0.9791252717000001,-0.3177967044
SRX5694493,2.5885000624,-1.4038437296000001,-2.0906926065,-0.6981223961
SRX5694494,0.06361016400000001,-0.6855477677,-0.1159719298,-1.2417498732
SRX5694495,-0.1881981094,0.2629927272,0.50369673,0.1790257492
SRX5694496,0.08639965320000001,-0.0781789471,-0.2960257477,-1.2947763943
SRX5694497,-1.3301539713000001,0.06963052930000001,-1.4218939452,-1.6522151214
SRX5694498,-0.12424316140000001,-0.17852575340000001,0.0307663404,-1.7728426538000002
SRX5694499,-2.6221452540000003,1.1099890648,-1.2346586511,0.1669566183
SRX5694500,-1.908771564,-0.0033081857,-3.2074936754,-2.550918359
SRX5694501,-1.2111214847,-0.3328097611,0.0527688059,-1.0868987995
SRX5694502,2.4463824347,1.1963996067,-2.4217732221,-0.32791586170000003
SRX5694503,3.7215033031,-0.7086795451,-5.8231530293,-3.3941269716
SRX5694504,0.1262148119,0.14919113720000002,0.0201962293,-0.5319905843
SRX5694505,8.2047669124,-1.7932130569,-0.9835073454000001,0.6097783413
SRX5694506,5.1704077526,0.983647719,-2.5671311733,-3.8035863592
SRX5694507,0.39419603680000004,-0.0905742336,-0.424145137,-1.3799920405
SRX5694508,2.0786491233,-0.7400652356,-0.2308542298,1.6012727177000001
SRX5694509,-0.5728236863,-0.2382612512,-0.9870838687000001,-1.0690668768
SRX5694510,-0.5060562424,-0.9331422899,-0.2034823174,-0.08689971120000001
SRX5694511,-1.2590057238,-0.09557487740000001,0.16858414060000002,-1.4462464601
SRX5694512,1.0786272182,-0.7703984096000001,0.43210670560000003,-1.6259827749
SRX5694513,6.1308362272,-0.9720044377,-0.224424167,1.0767733576
SRX5694514,6.1217017213,-0.825499352,1.0428947419,-0.7619147201
SRX5694515,7.040414724,-4.5318046418,-1.8029791373,-1.6002644412
SRX5694516,0.2427822244,0.0174070197,-0.6940539794,-1.5848566739
SRX5694517,-1.8895569431,-0.3649351666,0.1419679679,-0.824698877
SRX5694518,-0.7793715947000001,-0.3901590211,0.030886044600000002,-0.3609850956
SRX5694519,-0.8786499152,-0.33878939900000005,-0.0912979268,-1.5997377917
SRX5694520,0.3765023618,1.0395710219,-0.7875611238,-3.8035863592
SRX5694521,-0.3456562597,0.3336749141,0.4310207592,-0.451415222
SRX5694522,-0.5024130719000001,-0.2324921916,0.5430305698,-1.3944990376
SRX5694523,-2.678409694,-0.0451498713,-0.1998231125,-0.8745466268000001
SRX5694524,-0.39432834,-0.3633233643,0.1860892888,-0.3660968773
SRX5694525,-0.6441464423000001,0.27489493530000003,0.08147411090000001,-0.38299014270000004
SRX5694526,0.498179372,-2.0668548129,-1.1563486406,-0.6444142064
SRX5694527,-1.8932816473,-0.1419351265,-2.625494112,-2.5462059898
SRX5694528,7.8017863178999995,-2.71397279,-0.5472169210000001,1.9183675337000001
SRX5694529,0.0269030444,-1.1052986555,0.36415424290000004,-0.24429411920000002
SRX5694530,-0.17136588400000002,0.5382585223,-2.3869427232,-2.5840177578
SRX5694532,1.5954267809,-0.8974948135,-1.906028634,-1.404802914
SRX5694533,6.1814969392,-3.1753609407,-1.4145638585,-3.8035863592
SRX5694534,3.0097770562,-1.7671429135999999,-1.8603697220000002,-2.0974743045
SRX5694535,-1.6730356475,0.9935658368,-1.9188034685000002,-3.8035863592
SRX5694536,-1.4123550945,0.1921522555,0.0514983252,-1.3027899348
SRX5694537,-0.7739064722,-0.5883385723,0.2923641584,-1.0607966321
SRX5694538,-0.055240478,-0.4661846598,0.3305108738,-0.3640580392
SRX5694539,-2.1021025119,-0.0190673736,0.2467031878,-1.2052297568
SRX5694540,1.6607207356,-1.466366765,-1.3181315329,-2.2875290597999998
SRX5694541,-0.6796759069,-0.2643702761,-0.0055441088,-1.4661955675
SRX5694543,0.8082675256,-0.0933803126,-1.6834408341,-1.7283532982
SRX5694544,-0.6444102251,-0.9458541162,0.027803864,-0.9040962437000001
SRX5694545,-1.4312740313,-0.46437437200000004,-0.1528420804,-0.9848746002000001
SRX5694546,1.7890672248000001,-2.4587353841,-1.9044594116,-2.5038852501
SRX5694547,-0.9584480148000001,0.1773513469,0.08815497230000001,-0.0919298515
SRX5694548,0.3816707347,0.0745357111,-0.1437330976,0.2541727775
SRX5694550,5.0497988494,0.2033833298,-0.7025034063000001,0.56234044
SRX5694551,-1.0053798537,1.1632577459,-1.6862410402,-3.8035863592
SRX5694552,0.2094799497,0.35820635440000004,-0.3803736298,-0.5156026465
SRX5694553,-0.7592140551000001,0.1919400329,0.2141019017,-0.0652053023
SRX5694554,-0.4416225701,-0.08191328190000001,0.1244511531,-0.4504052525
SRX5694555,0.6053088619,0.0865705445,1.109874804,-0.4522476345
SRX6072760,-0.9094130345,-0.36443856480000003,0.3750634701,-1.6218622497
SRX6072761,-0.7075960449,-1.200159553,-1.0697519619,-1.7154327632
SRX6072762,-1.5849859242000002,-0.256934657,0.388888086,-0.9214372066000001
SRX6072763,-0.2935589092,-0.9188024019000001,-0.8278409032,-0.5881428025000001
SRX6072764,-0.094827724,-0.4760730054,-0.0673906486,-1.4970924989
SRX6072765,-0.7996624262,-1.0474639738,-0.7106640040000001,-1.2375888077
SRX6376491,4.5919004096,0.1543900135,0.3324556762,0.9342210245
SRX6376492,6.411918054,-1.0431223038,0.751708515,1.1125684253
SRX6376493,6.1291004765,-1.3395187248,0.1706864563,0.948683507
SRX6376494,6.6590271897,-1.3234063597,-1.1048454069,1.0679156079
SRX6376495,5.2549279344,0.1620906754,-0.2362637669,0.8418915447
SRX6376496,4.4265758997999995,-0.1862057969,0.1409204055,0.7958064078
SRX2723951,-1.3709725089,0.0757808128,0.6613201987,0.5565650389
SRX2723952,-0.3921513203,-0.1790504711,1.4794870902000001,1.5095329643
SRX2723953,-0.8166385021,-1.0087790411,0.23158525060000001,-0.4480020584
SRX2723954,1.5802744784,2.746669283,1.9028208979,2.1610253437
SRX2723955,1.4796929306,2.945298413,1.4257873943,0.441008069
SRX2723956,-1.6679586801,-1.5551373538000002,-0.39739635370000004,0.6763945254
SRX2723957,0.9030257023,1.3876537930000001,0.2559522416,0.032595272
SRX2723958,-0.7706515893,-0.6239011051000001,-1.2695925862,-0.8577438980000001
SRX2723959,0.3499396831,0.5233273726000001,0.5860647762,-0.0804442221
SRX2723960,-0.5585205854,-0.1541689362,0.5769239068,0.9411423123
SRX2723961,0.4941344501,1.4661876174000001,1.7643585180999999,2.6584718880000002
SRX2723962,-0.9732456566000001,-0.7590013272,-0.07310525200000001,1.0296327507
SRX2723963,-0.662869732,-0.3039054623,-0.8189000569,-0.4983865846
SRX2723964,1.5261695826000001,2.5518789463,1.8327607154,0.28884266940000003
SRX2723965,0.0176103233,0.8833220268,0.5403498835,0.494180905
SRX2723966,1.820752358,1.6677625810999999,0.4632001806,0.1735773756
SRX2723967,-1.3508647019,-1.1003039364,-0.0436029046,-0.1538225831
SRX2723968,-0.4698876561,-0.5674586447000001,-0.419597276,-0.0197547925
SRX6977206,-0.5995399695,-1.6039416981999999,-0.0329579824,-1.3089056556
SRX6977207,-1.2841115049,-2.1928553958,0.07025096680000001,-1.4182541952
SRX6977208,0.3206038845,-2.3619149003,-0.8396470155,-0.1334641933
SRX6977209,0.2917741589,-2.2869462599,-0.9340007810000001,-0.45331068880000003
SRX6977210,0.5421979997,-3.3253101968,-1.2715134080000001,-0.5744405577
SRX6977211,0.1482258055,0.29846505630000003,-0.10470957460000001,-0.5633038613
SRX6977212,-0.4437072815,-0.072296487,0.34923864860000003,0.48486800830000004
SRX6977213,0.29548147610000003,-0.22616856940000002,-0.24452907410000002,0.0784358529
SRX6977214,-0.5879605738,-1.143141886,0.0523096651,-1.9774498499000002
SRX1153733,0.1786288279,0.4043593478,-0.0678522287,0.0638712775
SRX1153734,-0.1786288279,-0.4043593478,0.0678522287,-0.0638712775
SRX1153735,1.0820487934,0.1833342992,-1.1878477988,-0.8394109744
SRX1153736,-0.7062992989,-0.5834922071,-1.2517164181,-0.9090670203000001
SRX5204053,-0.5678399265,-0.9202243994,0.193340285,-0.2584035589
SRX5204054,-5.2916589589,-3.2393447395,-0.5914267834,2.4070818476999998
