,A,MetJ,HypT
biocide__gluald_12h__2,-0.7893761702000001,-0.31829850330000004,0.2115627901
biocide__gluald_12h__3,-0.9697038957,0.2825755256,0.0899635288
biocide__h2o2_12h__1,0.3735966972,-0.20379968,0.19617861250000002
biocide__h2o2_12h__2,0.8611407276,0.0756667788,-0.8352635216000001
biocide__h2o2_12h__3,2.2199240125,0.836142771,0.0438913758
biocide__2ppoh_12h__1,0.0332143061,0.1649725216,0.3472360013
biocide__2ppoh_12h__2,0.4990377368,0.19998008280000001,0.4388125315
biocide__2ppoh_12h__3,1.0460291794,0.4986729566,0.24127454040000001
biocide__paa_12h__1,1.7805119637,0.2304339423,0.43507751110000004
biocide__paa_12h__2,1.7338770127,0.5110224226,0.0958769762
biocide__paa_12h__3,4.0356954008,0.2653726931,-0.019686049100000002
biocide__phe_12h__1,0.0733158817,0.8605029662,0.3825155987
biocide__phe_12h__2,-0.133703911,0.6901936004,0.39182848870000003
biocide__phe_12h__3,-0.0302930577,0.5696359328,-0.2838377489
biocide__pvp-i_12h__1,4.7590562065,1.1333790014,0.12245432810000001
biocide__pvp-i_12h__2,1.3881810656,0.8462817784000001,0.197224916
biocide__pvp-i_12h__3,4.6788598100000005,1.0436333553,0.2366189481
biocide__bleach_12h__1,1.6689333495,0.7665929597000001,0.18941318570000001
biocide__bleach_12h__2,2.5532918599,0.8205054997000001,0.2998767124
biocide__bleach_12h__3,1.8462448235000002,0.9185772338,0.09434101980000001
biocide__chx_12h__1,5.3153900788,1.1587401681,0.0008572636
biocide__chx_12h__2,4.164092308,0.8591706213,-0.17396818790000002
biocide__chx_12h__3,3.9042089546,0.9388281963,-0.1373893858
biocide__bzcl_30m__1,-2.1537340736,-0.6390458818,0.3002359882
biocide__bzcl_30m__2,-1.1453839333,-0.2188072855,-0.054111303300000003
biocide__bzcl_30m__3,-1.3214235588,-0.2379753412,0.3404144068
biocide__phe_30m__1,-2.3223377332,-0.3308147925,-0.0645330241
biocide__phe_30m__2,-3.1797162161,-0.3603347119,0.0369983037
biocide__phe_30m__3,-3.1295148844,-0.4016728151,0.0311532674
biocide__pvp-i_30m__1,0.4384569813,0.0581986674,0.22921301770000002
biocide__pvp-i_30m__2,0.48015729970000004,0.07541428160000001,-0.2573894559
biocide__pvp-i_30m__3,0.3375085708,-0.005161436100000001,-0.06622245040000001
biocide__ctrl_12h__1,0.9795841924,0.10368519130000001,0.2777188733
biocide__ctrl_12h__2,-0.2340438662,-0.2241392458,0.0660381553
biocide__ctrl_12h__3,-0.9480183747,-0.3573772877,-0.2030477842
biocide__ctrl_30m__1,-1.1392710852,0.07065427860000001,0.2702746551
biocide__ctrl_30m__2,1.4466701505000001,0.0345221437,0.1688045057
biocide__ctrl_30m__3,-0.3073990653,-0.1051764223,-0.43907916080000003
clpP__wt__1,0.5244110791000001,-0.0041982472000000005,0.0529679039
clpP__wt_DPTA__1,-22.8515215825,-3.2621582393,0.3959597747
clpP__wt__2,-1.0574020566,-0.1256501477,-0.3258358773
clpP__wt_DPTA__2,-22.0124421505,-3.0179463151,0.2638051769
clpP__wt__3,0.5329909774,0.129848395,0.2728679734
clpP__wt_DPTA__3,-21.1481249208,-2.4868377597,0.3496608143
clpP__delclpP__1,-0.7196001196,0.18751929280000001,0.2463666204
clpP__delclpP_DPTA__1,-18.2679386279,-1.7920950900000001,0.4986696447
clpP__delclpP__2,-1.1521280596,-0.2934688971,0.0977002228
clpP__delclpP_DPTA__2,-17.3722488168,-1.3341069322,0.45062296150000003
clpP__delclpP__3,-0.0343986374,0.0146823712,0.2149011214
clpP__delclpP_DPTA__3,-19.4556548191,-1.6850293107,0.5479625566
colombos2__delydcR__1,-2.429144139,0.1127137349,-0.1376868079
colombos2__delydcR__2,-1.3181253823,0.139670296,0.4318176419
colombos2__delydcR__3,-5.9477264754,-0.6369386994,0.06867120980000001
colombos2__delyjiR__1,-3.7820113426,-1.0504405458,-0.0639326103
colombos2__delyjiR__2,-2.1536162621,-0.5801013327,0.3271214368
colombos2__delyjiR__3,-2.4484753942,-0.3874852755,0.0668931685
colombos2__wt__1,1.4256572839000001,0.1252793048,0.4329999755
colombos2__wt__2,1.4122784532,0.3016964528,-0.0038829434
colombos2__wt__3,-2.837935737,-0.4269757577,-0.4291170321
crp_k100__ar1_ar2__1,13.5775766462,0.1047863131,0.7941330452
crp_k100__ar1_ar2__2,15.7100882264,0.47363611860000004,1.0514647697
crp_k100__ar1_ar2__3,16.1679090316,1.3323352335,0.7395813457
crp_k100__wt__1,1.8627285851000002,0.3016697452,0.264465131
crp_k100__wt__2,-1.1920524149,-0.2006177543,-0.0563823691
crp_k100__wt__3,-0.6706761702,-0.10105199100000001,-0.2080827619
crp_k100__K100Q__1,-0.1943952941,-0.26372764800000004,0.7663090249000001
crp_k100__K100Q__2,-0.5173279492,0.1741663822,0.18634658780000002
crp_k100__K100R__1,-0.9658675738,0.2687141701,0.0572500046
crp_k100__K100R__2,0.9317272947,0.9806976603,-0.0320967899
crp_k100__K100R__3,-0.0382422678,0.302651575,-0.1796379572
csrA__wt_t00__1,0.20111837800000001,-0.21999974590000002,0.1205530898
csrA__wt_t02_30__1,-3.006857792,-1.0903389184,-2.0498352293
csrA__wt_t05__1,-3.2390164782,-3.3098174225,-2.7459787127
csrA__wt_t10__1,-1.0172436289,-3.7292143724,-2.7221212412
csrA__wt_t15__1,-0.3147437241,-3.0093284786,-1.3481540780999999
csrA__delcsrA_t00__1,0.08525596860000001,0.3932637452,0.7023910106
csrA__delcsrA_t02_30__1,-4.2155937502,-1.5790023186000002,-1.6092052317
csrA__delcsrA_t05__1,-3.6657144205,-3.5491151436,-2.640720308
csrA__delcsrA_t10__1,-1.1873854937,-3.6169611037,-1.752295814
csrA__delcsrA_t15__1,-0.7782734888,-2.9489074003,-1.9686415366
csrA__wt_t00__2,-0.20111837800000001,0.21999974590000002,-0.1205530898
csrA__wt_t02_30__2,-3.2717539736,-1.4671241485,-2.1057132788
csrA__wt_t05__2,-4.5080102048,-3.4584021026,-3.4180353462
csrA__wt_t10__2,-1.7882861261,-3.9687177674000003,-2.592687556
csrA__wt_t15__2,-1.0574386817,-3.022223656,-1.47391458
csrA__delcsrA_t00__2,0.27697503760000003,0.5116209835000001,0.6491307702
csrA__delcsrA_t02_30__2,-3.4648375429,-1.5515650698,-1.8767970066
csrA__delcsrA_t05__2,-2.9581159577,-3.543072004,-3.1147068185
csrA__delcsrA_t10__2,-2.1349060889,-2.887376034,-1.8699068202
csrA__delcsrA_t15__2,-1.3259064004,-1.9822705878,-1.7552300104
cstr_pfr__str_0005m__1,-2.6627259589000003,-0.3413899583,-0.049249416000000004
cstr_pfr__str_0010m__1,-0.1171367816,0.11983225680000001,-0.14284479560000002
cstr_pfr__str_0025m__1,-2.2119443671,-0.23473979320000002,0.1271944865
cstr_pfr__str_0045m__1,-2.2642951182,-0.2989850926,0.0891485003
cstr_pfr__str_0075m__1,-1.9347535928,-0.23027235570000001,0.0171426897
cstr_pfr__str_0120m__1,-0.8873056948,-0.1587074078,-0.0437939591
cstr_pfr__str_0210m__1,-0.1996582606,0.0404358753,0.092930419
cstr_pfr__str_0330m__1,-0.6790500125000001,0.0334976757,-0.0343051236
cstr_pfr__str_1500m__1,-1.0026841912,0.0042801279,0.3077182229
cstr_pfr__str_1560m__1,-0.5392903675,0.0991904152,0.2685503307
cstr_pfr__str_1680m__1,-0.2438362406,0.0531486095,-0.06685355130000001
cstr_pfr__str_ref1__1,-0.0138166382,-0.0033724308000000003,0.044779511300000005
cstr_pfr__str_ref2__1,-0.8865196547,-0.056579437600000004,0.093744385
cstr_pfr__str_ref3__1,-0.6136609794,0.0051827836,-0.0714303228
cstr_pfr__pfr_P5_0005m__1,-3.8052294487,-1.244883492,-0.0585573873
cstr_pfr__pfr_P5_0010m__1,-0.49344467750000004,-0.728755193,0.0555681487
cstr_pfr__pfr_P5_0025m__1,-2.6772302222,-1.0233240611,0.25379421620000003
cstr_pfr__pfr_P3_0025m__1,-1.9719029263,-0.7369406448,-0.0112123403
cstr_pfr__pfr_P1_0025m__1,-2.2683616573,-0.3415045067,0.0274421774
cstr_pfr__pfr_P5_0045m__1,-3.2346783513,-1.0712946712,0.133145954
cstr_pfr__pfr_P5_0120m__1,-2.1184443117,-1.0546567945,-0.016624787000000002
cstr_pfr__pfr_P3_0120m__1,-0.4482999186,-0.4634676018,-0.1715344824
cstr_pfr__pfr_P1_0120m__1,-2.1318701096,-0.3012780399,-0.24184924730000001
cstr_pfr__pfr_P5_0210m__1,-1.555104985,-0.6809379379,0.2566786826
cstr_pfr__pfr_P5_1500m__1,-0.712213783,-0.7540662854,-0.040438869100000004
cstr_pfr__pfr_P3_1680m__1,-0.049986415000000006,-0.2468981428,0.025672624300000002
cstr_pfr__pfr_P5_1680m__1,-0.5248006063,-0.6717595815,0.007504876000000001
cstr_pfr__pfr_P1_1680m__1,-0.0471562066,0.1103374419,0.0302439193
cstr_pfr__str_0005m__2,-1.0324658309,0.0044588645000000005,-0.1044325306
cstr_pfr__str_0010m__2,-0.8683809459,-0.056121325900000005,-0.2575517003
cstr_pfr__str_0025m__2,-1.729980443,-0.15256714870000002,0.0046591867
cstr_pfr__str_0045m__2,-2.0862912359,-0.23060301600000002,-0.0041853409
cstr_pfr__str_0075m__2,-1.3176637255,-0.1104920724,-0.062256191
cstr_pfr__str_0120m__2,-0.5048246961,-0.026086267200000002,-0.0127272532
cstr_pfr__str_0210m__2,-0.3065967996,-0.023544320400000002,-0.014356454400000001
cstr_pfr__str_0330m__2,-0.3156963783,-0.0142414718,0.09725289470000001
cstr_pfr__str_1500m__2,-0.2154967691,0.2753380109,0.046766364500000004
cstr_pfr__str_1560m__2,-0.1126992327,0.0722004669,0.22168499330000002
cstr_pfr__str_1680m__2,-0.2845667058,0.0433792917,-0.014784003
cstr_pfr__str_ref1__2,0.0138166382,0.0033724308000000003,-0.044779511300000005
cstr_pfr__str_ref2__2,-0.4174672506,-0.1118972085,0.0020967361
cstr_pfr__str_ref3__2,0.5185944622,0.0917804328,0.0139098076
cstr_pfr__pfr_P5_0005m__2,-1.7065161732,-0.8548851805000001,-0.049955589200000004
cstr_pfr__pfr_P5_0010m__2,-2.0056927005,-0.9236775529000001,-0.1044202699
cstr_pfr__pfr_P5_0025m__2,-2.5558088111,-0.8828763209,0.1178991897
cstr_pfr__pfr_P3_0025m__2,-1.8124058824,-0.575719387,-0.1851456368
cstr_pfr__pfr_P1_0025m__2,-1.8992095257,-0.32767071940000003,-0.10718395080000001
cstr_pfr__pfr_P5_0045m__2,-2.3939890128,-1.0586136974,0.4029998748
cstr_pfr__pfr_P5_0120m__2,-1.2951421278,-0.9155743841,0.0816370035
cstr_pfr__pfr_P3_0120m__2,-0.7477293283,-0.5858001665,-0.28820985450000003
cstr_pfr__pfr_P1_0120m__2,-0.6631726419,-0.2026922336,-0.2591726425
cstr_pfr__pfr_P5_0210m__2,-1.0626861422,-0.3722926158,-0.21135185950000002
cstr_pfr__pfr_P5_1500m__2,-0.8199722568000001,-0.7668090457000001,0.001349148
cstr_pfr__pfr_P3_1680m__2,-0.7781693853,-0.7920321494,-0.15198457270000001
cstr_pfr__pfr_P5_1680m__2,-0.1967644435,-0.3716677057,-0.2487641556
cstr_pfr__pfr_P1_1680m__2,-0.049966541600000004,-0.0260446259,-0.0430692863
darobactin__daro_30m__1,1.5820179633,0.7073194996000001,-0.0624594376
darobactin__daro_30m__2,0.5417553248,0.52828403,-0.1821938206
darobactin__solv_1h__1,-0.7927244024000001,-0.4208345673,0.1189581006
darobactin__solv_1h__2,-0.28183950020000004,-0.121363753,0.15194225220000002
darobactin__daro_1h__1,-0.316132831,0.41581489320000004,0.0655545399
darobactin__solv_1h__3,0.46707651320000004,-0.4014963378,0.1707859076
darobactin__daro_1h__2,0.23269065830000002,-0.1533269789,0.2282195358
darobactin__daro_1h__3,0.6471205326,0.15576048380000002,0.3831496687
darobactin__daro_30m__3,0.011690518,0.0838137935,-0.0478783668
darobactin__solv_30m__1,0.8647382392,0.5484667813,-0.12311219600000001
darobactin__solv_15m__1,0.243229998,0.11722742030000001,0.2006413313
darobactin__solv_15m__2,0.0520015951,0.11628054600000001,-0.2703651396
darobactin__daro_15m__1,-1.2342814562,-0.3151130278,0.0131133246
darobactin__solv_15m__3,-0.2952315931,-0.23350796640000002,0.06972380830000001
darobactin__daro_15m__2,-0.5742286961,-0.323101375,0.0678633468
darobactin__daro_15m__3,-0.5683924019000001,0.7196485938,0.3591135841
darobactin__solv_30m__2,1.2810838654,0.1216395173,0.10679975950000001
darobactin__solv_30m__3,0.3053121949,-0.5187863683,0.2710530209
ddp__pNT3_aroP__1,-1.8881223872000001,-0.9573906192,0.7762308398000001
ddp__pNT3_aroP__2,-5.144624174,-2.1905655730999998,0.30368082080000003
ddp__pNT3_bamC__1,4.3086475844,-1.1341992313,1.5419433827
ddp__pNT3_bamC__2,4.3783078311,-0.9490409595,1.3061489757
ddp__pNT3_cusA__1,4.3198005183,-1.2635309339,1.3634638383
ddp__pNT3_cusA__2,4.6760287983,-0.521238712,1.1029292793
ddp__pNT3_hemX__1,-3.1079981566,-2.3179392163,0.5597753246
ddp__pNT3_hemX__2,-5.9082862191,-2.6480426655000002,0.31342358670000003
ddp__pNT3_empty__1,-0.4566284085,0.0447276822,0.1066107746
ddp__pNT3_empty__2,0.4566284085,-0.0447276822,-0.1066107746
ddp__pNT3_topA__1,-1.6980593418,-2.1250276629,1.3467986004
ddp__pNT3_topA__2,0.6826444961,-1.7601607491,1.2107815981
ddp__pNT3_yicR__1,-0.3001398985,-1.205888587,0.7799087950000001
ddp__pNT3_yicR__2,-1.737287972,-1.5857621074,0.7835515846000001
ddp__pNT3_yqjD__1,1.1415640385999999,-0.31097742300000003,0.3192613783
ddp__pNT3_yqjD__2,-0.7104641921,-1.0057397686,0.1909398557
ecomics__del_gabT__1,-0.6739557429,-0.22390514800000003,-0.20225971780000002
ecomics__del_gabT__2,0.6739557429,0.22390514800000003,0.20225971780000002
ecomics__del_putP__1,0.9087366103000001,0.27899696700000004,0.6624425823
ecomics__del_putP__2,1.0159890874,0.0269600033,-0.0489074347
ecomics__del_entF__1,4.230356913,0.6528634998,0.4596821125
ecomics__del_entF__2,2.174705923,0.3781351982,-0.07863190390000001
ecomics__del_entF__3,2.7285499706,0.24145908400000002,0.1222401921
ecomics__del_cysA__1,3.9818137656,0.296391071,0.9510851360000001
ecomics__del_cysA__2,4.3105090682,0.47865422230000004,0.8555093842
elyC__wt_21C__1,1.7077466657,-0.0985925401,-0.09015283860000001
elyC__wt_21C__2,2.1602632767,0.211075339,-0.0980283134
elyC__wt_21C__3,2.0091972652,0.0530217656,-0.0634267005
elyC__wt_37C__1,0.448611837,0.1779915656,-0.052678236
elyC__wt_37C__2,-0.41622093800000004,-0.0623021843,-0.0531803889
elyC__wt_37C__3,-0.032390899,-0.1156893814,0.10585862500000001
elyC__delelyC_21C__1,2.175574698,0.061708048,-0.1621760362
elyC__delelyC_21C__2,1.7796651343,0.0217685613,-0.1512966378
elyC__delelyC_21C__3,2.0137284043,0.10776042200000001,-0.2932043372
elyC__delelyC_37C__1,0.3848507591,0.1506116066,-0.1163929206
elyC__delelyC_37C__2,0.3520480728,0.1042372596,-0.0910370904
elyC__delelyC_37C__3,0.3257173463,0.2056874534,-0.2719749135
evo_acid_w__F9_2__1,-1.3268287113000001,-0.38370716800000004,-0.2855116384
evo_acid_w__F11_1__1,4.8568319024,0.7200732855,0.9746720385000001
evo_acid_w__F11_1__2,4.6225935459,0.7607483153,0.7775491862
evo_acid_w__F11_1__3,5.4081054926,0.9630692527,0.8141661072
evo_acid_w__wt__1,2.4788401220000003,0.1600301972,0.045242750500000005
evo_acid_w__F11_2__1,0.40080882900000003,0.7011308839,0.5892189896000001
evo_acid_w__B11_2__1,5.9006586747,0.8490364641,1.018372223
evo_acid_w__F11_2__2,-0.3433128427,0.9775495590000001,1.1247708932
evo_acid_w__wt__2,3.0809790013,0.2026706069,0.1854350343
evo_acid_w__B11_1__1,3.7952893606,0.9309064975,0.9155969846
evo_acid_w__H9_1__1,7.0133491661,-0.20175718650000002,1.2388278374000001
evo_acid_w__H9_2__1,3.9015621334,0.2234336589,0.4453544258
evo_acid_w__B11_2__2,5.9303046201,0.9101661098,0.8543782013000001
evo_acid_w__wt__3,3.1036218556,0.2082728398,0.1211857494
evo_acid_w__H9_2__2,3.9687179988,0.1535206646,0.5751106551
evo_acid_w__B11_2__3,5.6823598209,0.7089631332,0.8899354187
evo_acid_w__F11_2__3,-1.258966698,0.7742367273,1.160653039
evo_acid_w__F9_2__2,-1.4496149915,-0.8875114899000001,-0.0517242573
evo_acid_w__wt__4,-2.0686448098,0.3338026501,0.44051471210000004
evo_acid_w__wt__5,-1.9145635506,-0.1218847413,0.5072191575
evo_acid_w__wt__6,-1.4098374089,-0.6271699586,-0.41237216720000003
evo_acid_w__H9_1__2,6.8536177714,-0.3987958092,1.1528332225
evo_acid_w__F9_1__1,6.3656853481,0.3274965835,0.4846492106
evo_acid_w__F9_1__2,6.7700874909,0.6056369979,0.4032394569
evo_acid_w__B11_1__2,3.4879879159,0.7170839944,0.9102077620000001
evo_acid_w__H9_2__3,3.7475885835,0.4078223877,0.8736451940000001
evo_acid_w__wt__7,-1.0349020341,0.2875491237,0.1127566046
evo_acid_w__F9_1__3,6.5417876011,0.4769815522,0.4114402197
evo_acid_w__F9_2__3,-1.3310285674,-0.3840277593,-0.48751709590000003
evo_acid_w__wt__8,-0.6477866715,-0.1690927673,-0.3248729756
evo_acid_w__B11_1__3,3.3458019066,0.7759982028,0.8767772656
evo_acid_w__wt__9,-1.587706504,-0.2741779506,-0.6751088656
evo_bz__c3_1_bz__1,5.2499923902,0.2724350547,0.7775541850000001
evo_bz__c3_1_bz__2,5.34102901,-0.0231102929,-0.0176106841
evo_bz__c3_1_bz__3,5.3888378457,0.24580151600000003,0.019385112200000002
evo_bz__c3_1_bz__4,5.2155578362,0.2482377278,-0.031049517300000003
evo_bz__g5_1_bz__1,1.3055366172,-0.2558656247,0.3176535789
evo_bz__g5_1_bz__2,2.1410812319,0.14033762,0.437517239
evo_bz__g5_1_bz__3,0.663722083,-0.5517747887000001,0.1682714773
evo_bz__g5_1_bz__4,5.4516729406,-0.2294110972,-0.07198728110000001
evo_bz__g5_1_bz__5,6.4331673862,0.0337840232,-0.010161944000000001
evo_bz__g5_1_bz__6,6.2399173846,-0.0391230708,0.025905075700000002
evo_bz__w3110d13__1,-0.7708676517,0.0485698917,0.0976545556
evo_bz__w3110d13__2,-0.88016461,0.2929505958,-0.0355507602
evo_bz__w3110d13__3,0.7622356493,-0.2190441517,0.0689549977
evo_bz__w3110d13__4,-0.6937759756,0.026539167000000002,0.1616417899
evo_bz__w3110d13__5,0.9073086672,0.0235556543,-0.21472779620000002
evo_bz__w3110d13__6,0.6752639209,-0.17257115720000002,-0.0779727868
evo_bz__w3110d13_bz__1,1.7284460318,0.1116731031,0.6056582482
evo_bz__w3110d13_bz__2,1.8049211569999999,-0.1729169944,0.7111892908
evo_bz__w3110d13_bz__3,5.8587382689,0.07408524550000001,-0.172288187
evo_bz__w3110d13_bz__4,0.8446304078,-0.0070777965000000005,0.287632973
evo_bz__c3_1_bz__5,5.8485175798,0.5566939240000001,0.5387576955
evo_bz__c3_1_bz__6,5.057546331,0.40188067780000003,0.7915846632
evo_bz__g5_2_bz__1,3.8117519512999998,-0.4361089885,-0.18892853380000002
evo_bz__g5_2_bz__2,3.7099263329000003,-0.3365706176,-0.3320531015
evo_bz__g5_2_bz__3,3.8922487893,-0.20592339810000002,-0.3057490236
evo_bz__g5_2_bz__4,3.4154447741,0.38232834130000004,0.1463784574
evo_bz__g5_2_bz__5,3.4434235372,0.39020237080000003,0.29195288950000003
evo_bz__g5_2_bz__6,3.5897389862,0.432091459,0.3912446234
evo_bz__w3110d13_bz__5,5.8676079422,0.4961982612,-0.2343995405
evo_bz__w3110d13_bz__6,5.4012952466,-0.0406194584,-0.3592516888
evo_bz__a1_1_bz__1,0.23497418920000002,0.40323372220000003,0.1254885382
evo_bz__a1_1_bz__2,3.9238751246,0.48711207580000004,0.2337838529
evo_bz__a1_1_bz__3,6.0506914102,0.48579369590000004,-0.1464395872
evo_bz__a1_1_bz__4,4.7380745418,0.7248374812,0.2996223108
evo_bz__a1_1_bz__5,3.5097405638,0.4617258567,-0.34173475480000004
evo_bz__a1_1_bz__6,6.5954503646,0.5455036811,-0.32561573860000004
evo_metab__wt__1,-0.4515181399,-0.44455757300000004,-0.19620244420000002
evo_metab__del_zwf__1,-2.1476908722,-0.07349932170000001,-0.0715677056
evo_metab__zwf_ale1__1,-3.3932982213000003,-0.6426533117000001,-0.2114458354
evo_metab__zwf_ale2__1,1.2344536302,-0.2521794378,0.0500829849
evo_metab__del_ppk__1,2.4177644552,0.1486783079,0.6657843385000001
evo_metab__ppk_ale1__1,0.732360227,-0.22403381320000001,0.6181901278
evo_metab__ppk_ale2__1,-3.1676732939,-0.9740337066,-0.2318938959
evo_metab__ppk_ale3__1,-3.4662271059,-1.1597831427,-0.1042416683
evo_metab__del_dapF__1,-2.1300091343,-0.6694981382,-0.1979408865
evo_metab__dapF_ale1__1,-1.2006276475,-0.7842153982000001,-0.3848468941
evo_metab__dapF_ale3__1,0.5143944138000001,-0.135491788,0.0242135984
evo_metab__del_entC__1,0.8709335671,-0.4056488446,0.4351589896
evo_metab__entC_ale1__1,1.2151766605,0.0915507026,0.353967913
evo_metab__entC_ale2__1,-2.4886189363,-0.3686844888,-0.5889414814
evo_metab__del_dgk__1,2.8194565583999998,-0.0081930987,0.3088028768
evo_metab__dgk_ale1__1,-2.8721183217,-0.2585235139,0.364561024
evo_metab__dgk_ale2__1,-1.2075119984,-0.39480038700000003,-0.3743048833
evo_metab__dgk_ale3__1,3.6174906262,0.1601223884,-0.2140717814
evo_metab__wt__2,2.31082691,0.2829069654,0.1163641171
evo_metab__del_zwf__2,-0.38589211160000003,0.3925218431,-0.1326534534
evo_metab__zwf_ale1__2,1.2567483137,0.3076686816,-0.2758374952
evo_metab__zwf_ale2__2,5.2163601594,0.9160994852000001,0.507086039
evo_metab__del_ppk__2,-0.1179170472,0.2666743219,0.2560390755
evo_metab__ppk_ale1__2,-0.0603454412,0.2697014638,0.14668853610000002
evo_metab__ppk_ale2__2,1.0693633137,0.3820266268,0.2130343379
evo_metab__ppk_ale3__2,2.0617492071,0.510100643,0.5108058108
evo_metab__del_dapF__2,-1.5194939708000001,0.5381675508,-0.2804590381
evo_metab__dapF_ale1__2,-2.0975024337,0.3100060942,-0.6628519461
evo_metab__dapF_ale3__2,-3.4054719747,0.5982968755,-0.5345981927
evo_metab__del_entC__2,0.2253075209,0.24999638200000002,0.1418477929
evo_metab__entC_ale1__2,5.1836403583,0.671874637,0.1130576105
evo_metab__entC_ale2__2,0.2153022914,-0.2114313229,-0.3009045623
evo_metab__entC_ale3__1,1.7575449994999999,0.7734465991,0.554334576
evo_metab__del_dgk__2,2.221141216,0.3258922841,0.2449805361
evo_metab__dgk_ale1__2,2.3875451358,0.5594105866,0.1935450057
evo_metab__dgk_ale2__2,7.2014728663,1.5770044389,0.0838192752
evo_metab__dgk_ale3__2,4.7316492403,0.5101864326000001,0.1004605195
evo_metab__wt__3,-1.8593087702000002,0.16165060750000002,0.07983832710000001
evo_metab__del_zwf__3,-0.2676226179,0.2713891205,0.2173765863
evo_metab__zwf_ale1__3,-0.359921564,0.4443337397,0.0800576313
evo_metab__zwf_ale2__3,5.6465373114,1.0637316182,0.5632599460000001
evo_metab__del_ppk__3,-2.1769830514,0.1042733111,0.5715410574
evo_metab__ppk_ale1__3,-0.2977374627,0.7958231859,0.6055384603
evo_metab__ppk_ale2__3,1.9792379587000002,0.7820633595,0.6577377071
evo_metab__ppk_ale3__3,0.4559111742,0.5755224902,0.4686609812
evo_metab__del_dapF__3,-1.848108725,0.4469017035,-0.1829184056
evo_metab__dapF_ale1__3,-2.8743930243999998,-0.0250273069,-0.43654737800000004
evo_metab__dapF_ale3__3,-4.1468877462,0.4344265137,-0.0006208186000000001
evo_metab__del_entC__3,4.7372461784,0.7220865769,0.2549955199
evo_metab__entC_ale1__3,1.1571391496,0.2403929626,0.584101765
evo_metab__entC_ale2__3,7.6946528746,1.4016948773,-0.0686076023
evo_metab__entC_ale3__2,3.2845584902000002,0.6832923287,0.4465924278
evo_metab__del_dgk__3,2.7073582859,0.5164918723,0.18441892170000002
evo_metab__dgk_ale1__3,0.43368439670000003,0.6160306839,0.5288828074
evo_metab__dgk_ale2__3,9.898526641,2.1466770477,0.1210875059
evo_metab__dgk_ale3__3,7.856820604,1.4674716018,0.1990498778
flag_reg__wt__1,0.0082985742,0.0172716932,-0.0728355724
flag_reg__del_fliA__1,-0.3016290482,-0.1722528265,-0.19035908040000002
flag_reg__del_flhC__1,0.3630627268,-0.2872955592,-0.1693380837
flag_reg__del_flhD__1,-0.0130387457,-0.3856764387,-0.2328468232
flag_reg__wt__2,-0.0082985742,-0.0172716932,0.0728355724
flag_reg__del_fliA__2,-0.5255079962,-0.3656117099,-0.28987477640000003
flag_reg__del_flhC__2,-0.1261051932,-0.010722842100000001,-0.1475933308
flag_reg__del_flhD__2,0.2734988882,-0.22066506190000001,-0.23064066
flgM__27C__1,-0.40439555060000004,0.3801644554,-0.53199923
flgM__27C__2,-1.3539070607,0.2058587497,-0.29148356140000004
flgM__27C__3,-1.2213641638000001,0.1912598099,-0.5079457614
flgM__32C__1,-2.2102886924,0.3045976797,-0.36923046200000004
flgM__32C__2,1.8502373944000001,0.279491191,-0.0915643071
flgM__32C__3,1.2866169471,0.4213359823,-0.36005618370000003
flgM__37C__1,-3.0609792146,-0.1512146392,-0.0220364408
flgM__37C__2,-1.0724287034,-0.1271130447,-0.07201785840000001
flgM__37C__3,4.133407918,0.2783276839,0.0940542992
flgM__42C__1,0.1766854116,-0.30323105840000003,0.3179010815
flgM__42C__2,-3.4644537563,-0.2213842742,0.4217956693
flgM__42C__3,-3.63377559,-0.048239627800000004,0.6729488252
histone__untreated__1,1.6509008512,0.3165648169,-0.080835977
histone__untreated__2,-3.07651365,-0.4835261783,0.1571521937
histone__untreated__3,1.4256127988,0.16696136150000002,-0.07631621670000001
histone__10ug_H2A__1,-0.6070960573,0.1458076186,-0.029173209800000002
histone__10ug_H2A__2,-2.529178517,-0.0225986974,0.1679624114
histone__10ug_H2A__3,-0.32556693400000003,0.2397365234,-0.0427495589
histone__50ug_H2A__1,-1.2491865197,0.2989097429,-0.2774120771
histone__50ug_H2A__2,-1.3152364863,0.44073038080000004,-0.1560123803
histone__50ug_H2A__3,-1.115527065,0.2754333068,-0.2488824121
histone__100ug_H2A__1,-1.0592632456,0.0634589962,-0.3870050373
histone__100ug_H2A__2,-1.4171548241,0.1770322216,-0.2550428483
histone__100ug_H2A__3,-1.3436207581000001,0.1026359963,-0.34957623120000003
hns__del_hns_spike__1,-0.8620225268,-0.26176316720000004,-0.9060534634
hns__del_hns_spike__2,-2.7070683630000003,-0.17830580710000002,0.0152231681
hns__del_hns__1,-0.8666299942000001,-0.24138249380000001,-0.728116608
hns__del_hns__2,-2.0650847891,-0.35358006270000003,1.8809880947000002
hns__wt_spike__1,0.8178822582,0.0064106020000000005,-0.8440773599
hns__wt_spike__2,-1.1448630722,-0.6413096351,1.2470651743
hns__wt__1,0.7647760331,-0.06625529250000001,-0.9246846361000001
hns__wt__2,-0.7647760331,0.06625529250000001,0.9246846361000001
hns_stpA__evo100G4_delhns_delstpA__1,-3.1510536496,-1.7731044813999999,2.3967247205
hns_stpA__evo100G4_delhns_delstpA__2,-3.4467464034,-1.9971017047,2.4518894173
