,A,PspF
SRX4705224,8.3747270596,0.6342965858
SRX4705225,-0.9304181559,-0.3722702784
SRX4705226,-0.4355293851,-0.3404423163
SRX4705227,-0.3153571149,-0.1556917372
SRX4705228,1.8706604310000001,-0.09794394420000001
SRX4705229,1.8281540702,-0.0062942008
SRX4705230,2.6053749282,0.2428336261
SRX4705231,0.36442834220000003,-0.3622071324
SRX4705232,-0.039673641600000004,-0.418826646
SRX4705233,0.6170734215,0.1552761603
SRX4705234,-0.22874959390000002,0.3818999534
SRX4705235,-0.5795692725,-0.49431279910000003
SRX4705236,-0.3607624609,0.6985925338
SRX4705237,-1.0480532563,-0.8054085267000001
SRX4705238,-0.302161791,-0.2743244953
SRX2038319,2.1510458,0.4261954422
SRX2038320,0.20768898700000002,0.5074873294
SRX2038321,0.0423123074,0.688279992
SRX2038322,0.6895690852,0.0903476175
SRX2038323,0.270342157,-0.18155652360000002
SRX2038324,-0.0231064713,0.11979280440000001
SRX2038325,2.7204847758,-0.2413715249
SRX2038326,1.064783692,-0.0712511063
SRX2038327,3.6123625152,0.1788206408
SRX2038328,3.1190636592,0.3154973508
SRX2038329,0.5521067408,0.3678013563
SRX2038330,-0.19861431200000002,0.29292030210000003
SRX2038331,-1.4506783895,0.2311098034
SRX2038332,0.3348624069,0.5943702395
SRX2038334,12.2542864087,-0.157455387
SRX2038335,6.1743471404,0.5747059803
SRX2038336,11.0914300484,1.1937476389000001
SRX2038337,5.5774353207,0.0405302705
SRX2038338,-0.9186419709,-0.3219874303
SRX2038339,2.5579070999,-0.162887035
SRX2038340,0.9454611791,-0.25481635480000003
SRX2038341,-0.3688405185,-0.1497244435
SRX2038342,0.170970709,-0.37334063230000003
SRX2038343,-0.0665746648,0.2199738202
SRX2038344,0.6656664359000001,-0.3176971038
SRX2038345,-1.7614445504,-0.7369977865
SRX2038346,3.3442882524,-0.5402139348
SRX2038347,4.6917814492000005,-0.9065263083
SRX2038348,3.7026461486,-0.31562362310000003
SRX2038349,0.1557589503,-0.6452509106000001
SRX2038350,0.6483196738,-0.3275700413
SRX2038351,0.6378150456,-0.0004572821
SRX2038352,0.1325032971,-0.2129773004
SRX2038353,11.4608066952,-0.1556889707
SRX2038354,8.3371064274,-0.2140658149
SRX2038355,10.3891406707,-0.5697591719
SRX2038356,4.4927245292,-0.1926235749
SRX2038357,-1.232403829,-0.10420801190000001
SRX2038358,-1.226207894,-0.8851753677
SRX2038359,0.1654665182,-0.7205352432000001
SRX2038360,-1.1796780152,-0.37821467950000004
SRX2038361,-1.4776223865,-0.2661255608
SRX2038362,-2.1366803855,0.0199933571
SRX2038363,0.0554102769,-0.1274091082
SRX2038364,-1.0922231949,0.0848749677
SRX2038365,2.8084956644,-0.6004976643000001
SRX2038366,4.3491276776,-0.6436729065
SRX2038367,2.6504298172,-0.4773629769
SRX2038368,-0.7153767165,-0.6961307771
SRX2038369,0.33583910640000003,-0.6612236796000001
SRX2038370,-1.1821015069,-0.6396645972
SRX2038371,-0.5475902362,-0.5863905716000001
SRX2038372,8.7693460537,0.2252637089
SRX2038373,4.1973381227,-0.5976455374
SRX2038374,6.5987782553,-0.24826089010000002
SRX2038375,2.5580882733,-0.1182676368
ERX530520,0.30787575980000004,-0.1580695828
ERX530521,0.6676543492,-0.11945829320000001
ERX530522,0.4952991306,0.1680131111
ERX530523,0.4863735886,0.3711021315
ERX530524,-0.30787575980000004,0.1580695828
ERX530525,0.6831072609000001,0.1802949272
ERX530526,1.1335776437,0.006736279600000001
ERX530527,0.5614643493,0.1370818215
ERX3212443,2.4390570691,-0.1331867363
ERX3212444,2.2652465741,-0.25787957440000003
ERX3212445,2.2411252104,-0.2407156382
ERX3212446,0.0999995266,-0.3483176611
ERX3212447,0.1964713261,0.0664666711
ERX3212448,0.8086677695000001,0.005738949
ERX3212449,0.0440161424,-0.0191393622
ERX3212450,0.0862381025,0.0853724938
ERX3212451,-0.13025424500000002,-0.0662331317
ERX3212452,-1.2188705926,-0.5877475265000001
ERX3212453,-1.0409570627,-0.7264530812000001
ERX3212454,-1.5940311159,0.2133557136
SRX7478973,0.1134709935,0.10312030030000001
SRX7478974,-0.21195979480000002,0.0294751349
SRX7478975,0.0984888013,-0.1325954352
SRX7478976,-0.1443190543,-0.3317482617
SRX7478977,0.32857195170000003,-0.0128546243
SRX7478978,0.4942863663,-0.16047978970000001
SRX7478979,0.38545002170000003,-0.2138291428
SRX7478980,0.2737879197,-0.3294451707
SRX7478981,0.5175889692,-0.5243896412
SRX7478982,0.4728784079,-0.46627813160000003
SRX7478983,0.5223193302,-0.4836643471
SRX7478984,0.3542449465,-0.5847000087
ERX1521038,0.7617922449000001,0.6384375418
ERX1521039,2.4652425612,0.2592305354
ERX1521040,0.7248900473000001,0.3291321861
ERX1521041,2.8627416871999998,0.20166142920000002
ERX1521042,1.2095355264,0.18598261670000002
ERX1521043,-1.8999634354000001,0.8165583072
ERX1521044,1.0991953357,0.4086335639
ERX1521045,-1.0991953357,-0.4086335639
SRX621182,0.300998749,-1.3277868469
SRX621183,-0.0018169738,-1.957166141
SRX621184,3.0771591564,-0.9297278599000001
SRX621185,1.4064244066,-1.3200004162
SRX621188,0.9311707665000001,-0.7077625448
SRX621189,-0.39104782800000004,-1.4373015623
SRX621190,-0.1604590031,0.1147449069
SRX621191,0.1604590031,-0.1147449069
SRX621192,-2.3933278182,-2.0574655682
SRX621193,-3.0029322925,-1.8419058188
SRX6489436,-0.5745738932000001,-0.9431821275000001
SRX6489437,1.0507272582,-0.9729825926000001
SRX6489438,-1.2021974073,-0.7534202368
SRX6489439,-0.7042708155,-0.10451938420000001
SRX6489440,-1.2983263659,-0.0573325547
SRX6489441,2.0025971813,0.16185193890000002
SRX6489442,-0.7029122071,0.0738300913
SRX6489443,-0.5834854155,-0.38730094070000004
SRX6489444,1.6515271849,0.0697254199
SRX6489445,-0.8841096129,-0.3341852232
SRX6489446,-0.9718080555,-0.0769437677
SRX6489447,2.0540729436,0.1131500571
SRX6489448,-1.2953711061,-1.0042907884
SRX6489449,-1.3693620136,-0.7515955295000001
SRX6489450,0.5144324346,-0.5216132775
SRX6489451,-0.6837832726,-0.025458219100000002
SRX6489452,-0.4978523856,-0.006163016800000001
SRX6489453,0.9723595209,0.1931149031
SRX6489454,-0.6675657142,-0.0814699868
SRX6489455,-0.8170576025,0.10586093170000001
SRX6489456,1.5708579667,0.48232866020000004
SRX6489457,0.4437074026,0.2446016206
SRX6489458,-0.2101141057,0.1503254306
SRX6489459,0.8270262751,0.1571370927
SRX6489460,-0.1255976536,-0.2627962854
SRX6489461,-0.3684551425,0.1874567876
SRX6489462,0.1879973264,-0.18099003290000001
SRX6489463,-0.9352164974,-0.9103449633
SRX6489464,-0.9446565908000001,-0.6965005082
SRX6489465,0.1765118826,-0.06647633580000001
SRX6489466,0.4489546781,0.1484175168
SRX6489467,1.3247480049,0.0106687508
SRX6489468,0.7940787122,0.0922833619
SRX6489469,0.7262478464000001,-0.2962224271
SRX6489470,-0.19706428850000002,0.3611490834
SRX6489471,0.5174556723,-0.3680967182
SRX6452027,2.7568758522,0.7769534448000001
SRX6452029,0.08954971140000001,-0.15637297320000001
SRX6452030,8.400826256,0.8066441787
SRX6452031,6.6078353628,0.7967574869
SRX6452044,7.1914229886,0.5732158780000001
SRX6452045,5.8702256952,1.1658639065
SRX6452046,4.7881954932,0.8348501743000001
SRX6452047,7.5426850904,0.32015849560000004
SRX6452048,-0.08954971140000001,0.15637297320000001
SRX6452059,3.585674609,0.0007929161
SRX1828491,-0.1576132194,0.7096074026
SRX1828492,0.0283052888,0.5495046044
SRX1828493,-0.016971978500000002,1.0302482441
SRX1828494,-0.8423203426,1.6233198429
SRX1828495,0.9871862032000001,-0.4214723521
SRX1828496,0.8237932527,0.1292249725
SRX1828497,0.2726876256,0.3679288189
SRX1828498,0.295423333,0.4144289722
SRX1828499,0.0216090234,0.5960552662
SRX1828500,0.4012355248,0.8503598404
SRX1828501,0.7438911629,0.5327255286
SRX1828502,0.5564039551000001,0.18348751770000002
SRX1828503,0.8272286757,0.5243504224000001
SRX1828504,0.637838207,1.2456201674
SRX1828505,0.3685960039,0.2622314939
SRX1828506,-0.1396821397,0.49740020970000004
SRX1828507,-0.41249217050000003,-0.0215002998
SRX1828508,0.41249217050000003,0.0215002998
SRX3796953,-0.3864696608,-0.08194605590000001
SRX3796954,0.3864696608,0.08194605590000001
SRX3796955,1.8252662446999999,0.3499934673
SRX3796956,1.7437260784,0.9252873481
SRX3796957,3.8638550673000003,-1.3119123581
SRX3796958,4.2853245699,-0.7200186350000001
SRX3796959,0.36602416200000004,0.0889173464
SRX3796960,-0.059657479400000005,-0.240608644
SRX3796961,-0.0084427311,0.1215101979
SRX3796962,-0.14181129580000001,0.4356185437
SRX3796963,3.9372754402,-1.307727788
SRX3796964,3.8924420902,-1.2853941227
SRX3796965,0.12353300340000001,-0.7333680433
SRX3796966,0.1524264299,-0.9833031669000001
SRX3796967,-0.9290176630000001,-0.0675952665
SRX3796968,-1.2115360268,-0.6556285732
SRX3796969,3.3943451901,-1.2766105890000001
SRX3796970,2.274481757,-1.0690861051
SRX3796971,0.1604547174,-0.12179992560000001
SRX3796972,0.07281807,-0.3153061137
SRX3796973,0.14190602730000001,0.5030001503
SRX3796974,-0.4627295501,0.5853432097
SRX3796975,4.3337814541,-1.5458842122
SRX3796976,4.2885888903,-1.3272639734
SRX3796977,-0.3432269575,-0.1606081677
SRX3796978,0.2665434655,-0.1785422049
SRX3796979,-0.0437385334,0.1114309349
SRX3796980,-0.42148410610000003,0.3015488199
SRX3796981,2.9647789192,-1.4294208422999999
SRX3796982,2.8534828773000003,-0.9250778040000001
SRX3796983,-0.5733346344,-1.0097258
SRX3796984,-1.1587215898,-0.6124767265000001
SRX3796985,-0.3691649508,-0.0834201037
SRX3796986,0.5013280094,0.3376446346
SRX3796987,3.9621305147,-0.7966949416
SRX3796988,4.1225224348,-0.22124605630000002
SRX2568270,-0.6235318542,0.4717002851
SRX2568271,-4.1590717066,-0.045189001300000003
SRX2568272,-2.4645620921,-2.4925280501
SRX2568273,-2.1107328213,-0.6349056126
SRX2568274,-2.5575397234,-0.6872647252
SRX2568275,0.6235318542,-0.4717002851
SRX2568276,-2.7843707424,0.06938767230000001
SRX2568277,-2.5944625093,-0.6748738255000001
SRX2568278,-2.3282424843,1.4401501395
SRX2568279,-1.9787661354,0.6188887567
SRX3421856,0.1249393834,-0.0673314798
SRX3421857,-0.1249393834,0.0673314798
SRX3421858,0.6341355120000001,0.7955039802
SRX3421859,0.5170900983,0.9859564738000001
SRX3421860,3.0317301187,-1.3708610114
SRX3421861,2.2429002607,-0.0930454065
SRX3421868,6.991918296,1.3111714199
SRX3421869,7.5009192867,0.6609236842
SRX2606337,-0.2698403145,-0.2247477182
SRX2606338,0.029834603100000003,0.015038125000000001
SRX2606339,0.4166217258,0.7882550763
SRX2606340,0.20637204150000002,0.6961055722
SRX2606341,0.017525731200000002,1.0569841884
SRX2606342,0.34193358220000003,1.3144498132
SRX2606343,-0.4905637022,1.6266914802999999
SRX2606344,4.7665864482,0.1831661067
SRX2606345,3.5844700379,0.8269829088
SRX2606346,0.467438522,0.5702077194
SRX2606347,0.1420074777,0.0017745865
SRX2606348,0.32115615810000003,0.0059571576000000005
SRX2606349,0.3242215215,0.7878660407
SRX2606350,-0.034785431400000004,0.8793435546
SRX2606351,0.3789063486,0.7692381429
SRX2606352,0.894660148,1.4351225291
SRX2606353,1.1313346142,-0.38074619590000003
SRX2606354,3.3940047242,0.1013600347
SRX2606355,2.1072875611,1.0454597987
SRX2606356,0.9145908598,0.5313260932
SRX2606357,0.1278328369,0.22297313170000002
SRX2606358,-0.2164411621,0.09894404620000001
SRX2606359,0.6557659539,0.8961727974
SRX2606360,0.2609695647,0.6080593759
SRX2606361,-0.3416691894,0.922347851
SRX2606362,0.5654843206,1.0966407796
SRX2606363,0.6512179234000001,0.6202625714000001
SRX2606364,3.5614666102,0.013642443800000001
SRX2606365,2.3020665398,0.8390300221
SRX2606366,0.4251139379,0.7924954174000001
SRX3648427,-0.0312372141,0.3598600859
SRX3648428,-0.474508111,0.14600811700000002
SRX3648429,-0.8488024603000001,-0.1071267344
SRX3648430,-1.005292757,0.1322942637
SRX3648431,-0.2909825058,-0.0024459111000000003
SRX3648432,-0.8626490772000001,-0.21386758860000002
SRX3648433,0.9727979229,0.6380620881
SRX3648434,2.0695374743,-0.1596617271
SRX3648435,0.6122082218,-0.5799724156
SRX3648436,0.1337481911,-0.577209885
SRX3648437,0.8868409524,-0.8288647647
SRX3648438,-0.306440565,-0.6768358826
SRX3648439,-0.1331135628,-0.613594917
SRX3648440,-0.2467527542,-0.830287929
SRX3648441,-0.7104809888,-1.6145201674
SRX3648442,2.2752612865,0.1354195303
SRX3648443,2.4025219369,-0.1352170019
SRX3648444,1.0713083849,-0.3147003169
SRX3648445,-0.0314727655,0.8072854111000001
SRX3648446,-0.0789366896,0.10334536200000001
SRX3648447,-1.0912852737,-0.1449484286
SRX3648448,0.6762876222,0.6296265179
SRX3648449,0.3987306333,0.7787430838
SRX3648450,-0.18974856810000001,0.10450983400000001
SRX3648451,-0.30897280190000004,-0.3062724637
SRX3648452,-0.26540916200000003,-0.5883812138
SRX3648453,-0.3108877235,-0.6182257582
SRX3648454,1.4162079331,-0.3640691479
SRX3648455,2.1709788723,-0.380086103
SRX3648456,0.9534575929,-0.8854012984
SRX3648457,2.501315924,0.3825262868
SRX3648458,2.0641540183,0.1863486739
SRX3648459,-0.0575369805,-0.3684440397
SRX3648460,0.1837481485,-0.3175010063
SRX3648461,0.4943671711,-0.8328818649
SRX3648462,0.0534986583,-1.4285013217
SRX3648463,0.062464620500000005,0.3605076291
SRX3648464,-0.0505442905,-0.1286361026
SRX3648465,-0.7366729054000001,-0.4589634044
SRX3648466,0.3794613307,0.8724663919000001
SRX3648467,0.6554549898,-0.1822984414
SRX3648468,0.059386342,-0.6832839216000001
SRX3648469,-0.7200832393000001,-0.0402885455
SRX3648470,-0.7982901405,-0.1016206305
SRX3648471,-0.8266938174,0.256920181
SRX3648472,10.7015443841,0.2537298364
SRX3648473,12.3900140119,0.058102408200000004
SRX3648475,-0.2240596742,-0.6677960618000001
SRX3648476,-0.0642395543,-0.9618658628000001
SRX3648477,-0.7796661020000001,-1.5896383785000001
SRX3648478,1.4586664973,1.0899333524
SRX3648479,1.1856103308,0.5155342549
SRX3648480,0.7782654529,0.7390207492
SRX3648481,0.32989653760000004,-0.5255437377000001
SRX3648482,1.4947150406,-1.3315501543
SRX3648483,0.7102242686,-1.3985929693
SRX1429221,0.3527237582,-0.3895782434
SRX1429222,0.1220128006,-0.2000653332
SRX1429223,-0.47473655880000004,0.5896435766
SRX1429224,1.7912068105,-0.4027903967
SRX1429225,2.0939202876,-0.4823696147
SRX1429226,3.2325493238,-0.5707891325000001
SRX1429227,3.7656580687,-0.5606050497
SRX1429228,2.1142105526,-0.0578619134
SRX1429229,3.7090651657,-0.7041639042000001
SRX1429230,4.8952836013,0.0343016211
SRX1429231,3.966263095,0.10350064090000001
SRX1429232,4.8752434865000005,0.22591462710000002
SRX1429233,4.4349253353,0.3483341068
SRX1429234,4.4280711436,0.2121757991
SRX1429235,4.2791050912,0.1256962194
SRX1429236,3.1725505448,0.345592487
SRX1429237,3.3173106926,0.2552941036
SRX1429238,3.6860915344,0.5081089332000001
SRX1429239,2.9189182685,0.3496541339
SRX1429240,2.4697310595,0.3705421279
SRX1429241,3.0674136011,0.38255436190000003
SRX1429242,2.5890189493999998,0.24608934640000002
SRX1429243,2.2161404063,0.3425041036
SRX1429244,2.3514622075,0.49880411630000004
ERX2339161,-0.7552971892,0.12117203600000001
ERX2339162,0.7552971892,-0.12117203600000001
ERX2339163,-6.1151745126,-1.7959032275
ERX2339164,-5.3867884009,-2.1753560675
ERX2339165,1.2027151618,-3.0683372603
ERX2339166,1.1033465083,-1.4157920367
ERX2339167,-0.8195725497,-1.7053798914
ERX2339168,-1.3942195095,0.2877937036
ERX2339169,-0.0273194707,-0.07265238780000001
ERX2339170,-6.7999318635,-1.9042841969
ERX2339171,-5.7123843294,-2.5040975905
SRX7656012,-0.8353843695000001,0.5153723283
SRX7656013,-0.0067079977,0.3849617028
SRX7656014,-0.38938708200000005,-0.16228353650000002
SRX7656015,0.9742293805000001,0.1543975246
SRX7656016,-0.41572673730000004,-0.3123300195
SRX7656017,-0.2517520668,-0.1366801386
SRX7656018,-0.027354592100000002,0.2721523025
SRX7656019,0.7566129535,-0.0414055429
SRX7656020,0.6038724405,-0.2675886678
SRX7656021,0.28592500400000004,-0.26677188
SRX7656022,-0.2033527639,-0.0295514244
SRX7656023,-0.7049802341,-0.5301107329
SRX7656024,1.5272424403,0.1837748599
SRX7656025,-0.0607357197,0.040906505600000004
SRX7656026,0.5084687067,0.1977519919
SRX7656027,0.1994848494,-0.0092918594
SRX7656028,-0.4534308432,-0.2055653631
SRX7656029,0.210961006,0.0332024203
SRX7656030,0.5614782759,0.0806075149
SRX7656031,0.0270933515,-0.29582442410000004
SRX7656032,0.9162474888000001,0.16108791890000002
SRX7656033,0.1807970978,-0.2300572796
SRX7656034,0.6751905175,0.1649977665
SRX7656035,-0.4285793249,-0.2091673751
SRX7656036,0.4165892418,0.1209812462
SRX7656037,-0.059732371000000006,0.0167964076
SRX7656038,0.7398941974000001,0.0940853786
SRX7656039,0.3119764892,-0.1215545184
SRX7656040,-0.0995572742,-0.0771061007
SRX7656041,-0.21241921500000002,0.198660619
SRX7656042,1.9147874195,0.2834339635
SRX7656043,2.7862577164,0.0867902006
SRX7656044,2.1840028913,0.2026542963
SRX7656045,1.7475661157,0.0621106684
SRX7656046,2.296961043,0.15582130460000002
SRX7656047,3.1061226529,-0.0157024426
SRX7656048,2.571202811,-0.0049605457
SRX7656049,2.088246612,-0.1442759191
SRX7656050,1.1386252879,0.2760179923
SRX7656051,3.3836626519,-0.4871260845
SRX7656052,3.7091230332,-0.4499188717
SRX7656053,2.2852443985,-0.2135424458
SRX7656054,0.6418186751,-0.1066956237
SRX7656055,0.19940945910000002,0.3203948615
SRX7656056,0.1708984544,0.08973620160000001
SRX7656057,3.4858260098000002,0.1480143438
SRX7656058,2.6016998291,0.0198939367
SRX7656059,2.7967251619,0.0748850423
SRX7656060,0.8994426864,-0.21995550290000002
SRX7656061,0.8118895025,-0.3703063875
SRX7656062,0.2176197614,-0.6009071517
SRX7656063,1.8385042042,0.0105580236
SRX7656064,1.3820166581,-0.24115112430000002
SRX7656065,0.9478558077,0.0350974946
SRX7656066,-0.38888651150000003,-0.2314990419
SRX7656067,-1.3041741997,-0.10298387660000001
SRX7656068,-0.4063245824,-0.2419654084
SRX7656069,2.8329846773,-0.0728703493
SRX7656070,1.7782386472,0.2776036408
SRX7656071,1.3588074906,0.2017418922
SRX7656072,-0.0795582537,-0.4823766984
SRX7656073,-1.3283174303,-0.5588692048
SRX7656074,-1.4599272952,0.1388511747
SRX7656075,2.9487611817,-0.7572405452000001
SRX7656076,1.5104878855,0.2295970293
SRX7656077,1.4550777814,-0.1258749382
SRX7656078,6.5597095763,0.016234826100000002
SRX7656079,6.7100603899,-0.2800893289
SRX7656080,5.2778049118,-0.2900527844
SRX7656081,6.4122978108,-0.0169288007
SRX7656082,6.511961683,0.4394750861
SRX7656083,6.5194128021,0.0001018325
SRX7656084,7.3601758703,-0.0147344233
SRX7656085,7.1436878252,0.2167376593
SRX7656086,4.0767747738,0.6821856732
SRX7656087,6.0271536311,-0.1468347649
SRX7656088,5.849964889,-0.4251407916
SRX7656089,5.2718497353,-0.3941488607
SRX7656090,-0.0638868211,0.1009821912
SRX7656091,0.304069664,0.2983147096
SRX7656092,-0.2919642777,0.1489245546
SRX7656093,0.027915483300000002,-0.15153804040000002
SRX7656094,-0.965321002,-0.0700865509
SRX7656095,-0.3114419294,-0.16115391510000002
SRX7656096,0.9117112460000001,0.0610137906
SRX7656097,-0.1218719717,-0.0063938332
SRX7656098,0.6284072137000001,0.2341011764
SRX7656099,0.8696116833,-0.1259825427
SRX7656100,-0.2367482913,-0.1592611143
SRX7656101,1.7059136533,-0.3153933473
SRX7656102,0.2236230568,0.4098724165
SRX7656103,0.3002177418,0.1893243081
SRX7656104,0.37536876880000003,0.09402700430000001
SRX7656105,1.2350703008,-0.2527089956
SRX7656106,1.6756840603,-0.5559850179
SRX7656107,2.0270590238,-0.2826202221
SRX7656108,8.7557603763,0.4509890053
SRX7656109,9.0607377717,-0.179088874
SRX7656110,7.7108932158,-0.0928143314
SRX7656111,10.9857854862,-0.6246568633
SRX7656112,9.8419239058,-0.9062466916
SRX7656113,9.8665636103,0.0494206985
SRX7656114,7.5275788576,-0.7864628191
SRX7656115,10.2043434791,-0.5707155259000001
SRX7656116,3.8769206467,0.1113270705
SRX7656117,1.3709320316,-1.6435194911000002
SRX7656118,0.5380157916,0.2805643384
SRX7656119,0.5134762339,-0.0173526312
SRX7656120,-0.021732585800000002,0.3558600753
SRX7656121,-0.6312418438,0.2594034385
SRX7656122,0.6954854203,0.3069966203
SRX7656123,-0.09055533860000001,0.41812976500000004
SRX7656124,0.2630319459,0.1788911714
SRX7656125,0.5174777284000001,-0.2856529748
SRX7656126,-0.2735681645,0.2939163594
SRX7656127,-0.7871947855,-0.16634448370000002
SRX7656128,-0.23587960800000002,0.0790672132
SRX7656129,1.1281461931,-0.1967504435
SRX7656130,1.1035118815,-0.1411622092
SRX7656131,0.8464776381,-0.0493231801
SRX7656132,-0.1039623932,-0.2347446554
SRX7656133,0.2676662555,0.4356765106
SRX7656134,1.1120997016,-0.0054452331
SRX7656135,-0.46026234720000003,0.2005229731
SRX7656136,-0.6095372130000001,0.1527733955
SRX7656137,0.6220629649,0.4446598037
SRX7656138,1.0006558988,0.49620256900000004
SRX7656139,0.20522183430000002,0.2005198501
SRX7656140,0.6759584383,0.3760744775
SRX7656141,-0.09711641380000001,-0.3619372939
SRX7656142,0.9721572312000001,0.126221554
SRX7656143,-0.1232313012,-0.2150175232
SRX7656144,0.11897965890000001,0.2336439844
SRX7656145,0.7530928560000001,0.3931880706
SRX7656146,0.23934162620000002,0.3683150941
SRX5388319,0.09008911280000001,-0.4740122483
SRX5388320,0.3112316396,-0.4003032333
SRX5388321,-0.40132075240000004,0.8743154816
SRX5388322,0.3326484912,-0.22550108060000001
SRX5388323,-0.3800841709,0.7391031449000001
SRX5388324,-0.5345541822000001,1.2374525984
SRX5388325,0.49910290500000004,-0.1533253964
SRX5388326,0.0375853582,0.8963426446
SRX5388327,0.127118167,1.5242407398
SRX8708326,11.0107979306,-0.31910612990000004
SRX8708328,0.4753290136,-1.8505166502
SRX8708335,-0.1415412795,0.23215220860000002
SRX8708336,-0.1656580882,0.7097007076
SRX8708337,-0.1681296458,0.9086637340000001
SRX8708338,1.1363619298,-0.25842769320000003
SRX8708339,1.2230011966,-0.091197975
SRX8708340,1.3199145041,0.0530212511
SRX8708365,1.7195837963,-0.0015254925
SRX8708366,1.8917311811,-0.015540647500000001
SRX8708368,1.8295827173,-0.0189613699
SRX8708369,0.31183988490000003,0.7467201594
SRX8708370,0.4346357802,1.0921282914
SRX8708371,0.5722790648,0.8991530288
SRX4166001,-0.9332652613,-0.0773181196
SRX4166002,0.997730807,0.1271134495
SRX4166003,-0.06446554560000001,-0.049795329900000004
SRX4166004,-1.8512187224,-0.1360735893
SRX4166005,-1.2601850769,-0.1369438601
SRX4166006,0.2606470021,-0.1110724423
SRX4166007,0.39831761190000003,-0.0313383756
SRX4166008,-0.6625145016,0.1185041431
SRX4166009,-0.07846619,-0.09871595200000001
SRX4166010,-0.9804414810000001,0.0963901441
SRX4166011,-1.3518945443,-0.40391693830000003
SRX4166012,0.1222770076,-0.26633682680000004
SRX5000481,-0.7097077428,-0.3622309791
SRX5000482,-0.46351085150000004,-0.0520679977
SRX5000483,0.6257936192,0.3746259778
SRX5000484,-0.1657604641,0.3610855596
SRX5000485,0.8668466152000001,0.3563346278
SRX5000486,0.3206288753,0.29593926400000004
SRX5000487,0.3401663708,0.038873457300000004
SRX5000488,-0.0854215702,0.2392626618
SRX5000489,0.14686831520000002,0.3506817426
SRX5000490,-0.0597940545,0.3724009576
SRX5000491,0.0939169776,0.0453378827
SRX5000492,1.0292580055,1.8442771495999999
SRX5000493,0.5750337465,1.5606801204
SRX5000494,-0.11478593940000001,1.72701643
SRX5000495,1.104266664,1.9151353181
SRX5000496,0.7891712868,1.8242562696
SRX5000497,0.1261743392,0.0511311864
SRX5000498,0.0322302125,0.10159415840000001
SRX5000499,0.270102673,1.8596439683
SRX5000500,-0.1584045517,-0.1527253448
SRX5000501,0.2746054861,0.0131113763
SRX5000502,0.4302437746,-0.2603294666
SRX5000503,0.3307144522,-0.0958054643
SRX5000504,-1.0358175937,-0.2349249642
SRX5000505,-0.29172875870000003,-0.1699518125
SRX5000506,-0.5030068066,0.1088501669
SRX5000507,-0.1149886722,0.31440058390000003
SRX5000508,-0.35047993040000003,-0.2464181034
SRX5000509,-0.1240352217,0.0206146889
SRX5000510,-0.080507413,-0.5787712476
SRX5000511,-0.7149848993,-0.3588272088
SRX5000512,-0.1407860453,-0.1156103463
SRX5000513,0.0732853435,-0.1028672538
SRX5000514,-0.0626119929,0.0697270836
SRX5000515,0.5823285913,-0.1368954534
SRX5000516,0.1480846351,0.2616455937
SRX4124772,-0.6348134762000001,-0.6910234139
SRX4124773,-1.0103976629,-0.4175917051
SRX4124774,-0.24570428700000002,-0.0486299387
SRX4124775,0.24570428700000002,0.0486299387
SRX5323946,0.075289408,-0.3499537144
SRX5323947,-0.075289408,0.3499537144
SRX5323948,0.000266761,0.0164323345
SRX5323949,1.1919788937,0.4441263607
SRX5323950,-1.1996839555,-0.15941361880000002
SRX5323951,-0.958702326,-0.0448528084
SRX5323952,-1.2508927056,-0.2608333812
SRX5323953,-1.5057878791000001,-0.40232662020000004
SRX5323954,-1.6789495160999999,-0.3469165929
SRX5323955,-1.1810154883,-0.1349517384
DRX093856,0.4762806774,0.007667404
DRX093857,0.064681087,-0.1743584806
DRX093858,-0.0133295588,-0.10804275420000001
DRX093859,0.5289506544,-0.2708647724
DRX093860,0.967769187,-0.3051540274
DRX093861,-0.1614051799,-0.0260462171
DRX093862,-0.5643816164000001,-0.07606792130000001
DRX093863,-0.4245993417,-0.5346224317
DRX093864,0.31867182850000003,-0.058493490700000005
DRX093865,0.8986455396,-0.3675155632
DRX093866,-0.31487549740000004,0.018378813100000002
DRX093867,-0.6896503812,-0.09655414200000001
DRX093868,-0.8754082791000001,-0.45128536210000003
DRX093869,0.1821870793,-0.2270705777
DRX093870,1.3275989742,-0.8191017345
SRX6366242,-3.6690928421,0.229536487
SRX6366243,-3.1237832848,-0.7200426388000001
SRX6366244,-5.5252467983999995,0.2547318275
SRX6366245,-11.975433578,-0.6404704338
SRX6366246,-10.7320866319,-0.35070633
SRX6366247,-10.2144469897,0.4802065319
SRX6366248,-8.208979215,-1.0177974937
SRX6366249,-5.7826486155,-0.5905641489
SRX6366250,-11.7983800076,-0.7759949509
SRX6366251,-12.2333352687,-0.7991567190000001
SRX6366252,0.8122491900000001,0.1918444513
SRX6366253,-0.8122491900000001,-0.1918444513
SRX254739,0.8783600414,-1.9850388501
SRX254740,0.9863679017,-1.9057335751000002
SRX254741,0.8924159244000001,-1.9002339634
SRX254742,0.9404467968,-1.9854523024000001
SRX254743,0.759227744,-2.0738035979
SRX254744,0.6745783175000001,-1.9554749274
SRX254745,0.7643673756,-2.0118023336
SRX254746,1.5832866827,-1.3946033816
SRX254747,0.9936599815,-1.9289234806
SRX254748,0.2344139174,-1.5989413192000002
SRX254749,0.5155681212000001,-1.7505704818
SRX254750,0.48419096300000003,-1.8095641207000002
