,A,SgrR,DksA
biocide__h2o2_12h__3,-0.5257003315000001,-0.11571102080000001,0.11234378900000001
biocide__2ppoh_12h__1,-0.7943789786000001,-0.0621567409,-0.6241410513
biocide__2ppoh_12h__2,-0.2113261395,-0.1183068713,-0.7829655744
biocide__2ppoh_12h__3,-0.5704005865,-0.2681192382,-0.4881143452
biocide__paa_12h__1,0.3038174396,0.272008358,-0.2506803771
biocide__paa_12h__2,0.0672175467,-0.061787332800000004,-0.08928938800000001
biocide__paa_12h__3,0.1928865163,0.221265714,-0.1488147859
biocide__phe_12h__1,-0.8989828718,-0.3369270089,0.3171723906
biocide__phe_12h__2,-0.5931765201,-0.3295613806,0.1393425583
biocide__phe_12h__3,-0.5084924765000001,-0.1216170797,0.1100217753
biocide__pvp-i_12h__1,-0.6725328025,-0.0934265708,0.2605318504
biocide__pvp-i_12h__2,-0.9591021113,-0.0658280056,0.0108701011
biocide__pvp-i_12h__3,-0.3530619669,-0.46483885220000004,0.21161728130000002
biocide__bleach_12h__1,-0.7089024295,-0.0219436701,0.1393776272
biocide__bleach_12h__2,-0.5131429121000001,0.0666488387,0.10160447160000001
biocide__bleach_12h__3,-0.6493412362000001,0.0139634356,0.1448761091
biocide__chx_12h__1,-0.22553852470000002,-0.3211324528,0.2914872926
biocide__chx_12h__2,0.00246788,-0.4510451353,0.37053140100000004
biocide__chx_12h__3,-0.043000086,-0.386411265,0.4073317333
biocide__bzcl_30m__1,-0.5947269799,0.2972154051,0.264020557
biocide__bzcl_30m__2,-0.2151812039,0.31620240320000004,0.49402014200000005
biocide__bzcl_30m__3,0.4260992464,0.1782957434,0.4230670301
biocide__phe_30m__1,-0.5545950649,-0.32405121810000004,-0.1977286418
biocide__phe_30m__2,-0.4154022955,-0.0759157402,0.2372733508
biocide__phe_30m__3,-0.1423543279,-0.403669213,-0.033555327100000004
biocide__pvp-i_30m__1,-0.1300961984,-0.0680193605,0.47533974290000003
biocide__pvp-i_30m__2,0.2805030652,-0.0020529327,0.5761692814
biocide__pvp-i_30m__3,0.5756818823000001,-0.0323890333,0.3515579701
biocide__ctrl_12h__1,-0.7709450246,-0.2129975579,-0.1645419849
biocide__ctrl_12h__2,-0.6565944372,-0.30938116390000003,-0.2301313435
biocide__ctrl_12h__3,-0.6553384489,0.0058826817000000005,0.076117855
biocide__ctrl_30m__1,-0.14118353020000002,0.1913576179,0.050997078
biocide__ctrl_30m__2,0.2770404368,-0.2592539917,-0.07091312300000001
biocide__ctrl_30m__3,-0.1358569065,0.0678963738,0.019916045
clpP__wt__1,0.6123382501,0.09491324720000001,-0.00996195
clpP__wt_DPTA__1,-7.4251941622,0.7931731833000001,0.4771894786
clpP__wt__2,0.0290960395,-0.16608880080000002,-0.33837071830000004
clpP__wt_DPTA__2,-6.7562583988,1.0819752815,0.6311201695
clpP__wt__3,-0.6414342896,0.0711755536,0.34833266830000004
clpP__wt_DPTA__3,-7.1806402646,1.0488526586,0.3286878341
clpP__delclpP__1,-0.4611534856,0.1113486271,-0.4094021283
clpP__delclpP_DPTA__1,-6.5502651321,0.4356742549,0.7543934508
clpP__delclpP__2,-1.0512939804,-0.2052888151,0.08491817530000001
clpP__delclpP_DPTA__2,-4.6068549307,0.5331118498,0.8221454991
clpP__delclpP__3,-1.0301382169,0.2740663083,0.12490286460000001
clpP__delclpP_DPTA__3,-5.5829571622,1.0587327329,0.8597272058000001
colombos2__delydcR__1,-0.7263840408000001,-0.4985448704,0.25291969000000003
colombos2__delydcR__2,0.0425500108,-0.0994658026,0.1781534863
colombos2__delydcR__3,-0.1194083581,0.19562317810000002,0.3979557515
colombos2__delyjiR__1,0.33926314830000004,-0.6855223788,0.08594993470000001
colombos2__delyjiR__2,0.2932957117,-0.407201201,0.3252412597
colombos2__delyjiR__3,0.4970614024,-0.3701192921,0.0124216442
colombos2__wt__1,-0.09628990850000001,0.006794797700000001,-0.18723562500000002
colombos2__wt__2,0.4343239893,-0.2747124112,-0.0321952416
colombos2__wt__3,-0.3380340807,0.2679176135,0.2194308666
crp_k100__ar1_ar2__1,2.5227396779999998,1.3448172472,0.7402100929000001
crp_k100__ar1_ar2__2,2.3498124634,1.2937471936,0.9399344625
crp_k100__ar1_ar2__3,0.599057597,0.7597090999999999,0.5858200520000001
crp_k100__wt__1,-0.0340831599,0.17606291500000001,0.12749590660000001
crp_k100__wt__2,0.44607588070000004,-0.0909455854,-0.0368649464
crp_k100__wt__3,-0.4119927208,-0.0851173296,-0.0906309602
crp_k100__K100Q__1,1.2674694819,0.2819244963,0.7627481410000001
crp_k100__K100Q__2,-0.1673910184,0.5651471178,0.8125357908
crp_k100__K100R__1,-1.1994047169,-0.8948304135,-0.0954022971
crp_k100__K100R__2,-0.4956438126,0.1139605917,0.0194767003
crp_k100__K100R__3,-0.1501264542,0.1208279862,-0.0018760174000000001
csrA__wt_t00__1,0.49989510600000003,0.3364841019,-0.2243260919
csrA__wt_t02_30__1,1.3004721734,-1.1531658033,0.2923692093
csrA__wt_t05__1,1.5843975456,-2.1157101878,0.8687017416
csrA__wt_t10__1,0.5929879893000001,-1.6586862717000002,0.7935661681
csrA__wt_t15__1,-0.3409188198,-1.1207401213,0.0090469469
csrA__delcsrA_t00__1,-1.2112026238,0.7271980082,0.2136588426
csrA__delcsrA_t02_30__1,-0.09284066340000001,-1.8797513701000002,0.8294344867000001
csrA__delcsrA_t05__1,1.7915696178,-2.5541291555,1.4478201159
csrA__delcsrA_t10__1,1.7512426322999999,-1.7508657777,1.7045740865
csrA__delcsrA_t15__1,-0.4795921547,-1.2815874036000001,1.0191116646
csrA__wt_t00__2,-0.49989510600000003,-0.3364841019,0.2243260919
csrA__wt_t02_30__2,2.1251501503,-1.5847027296,0.4704528235
csrA__wt_t05__2,1.6210257262,-2.5933519404,1.0324813556
csrA__wt_t10__2,1.0084952667,-2.3441918556,0.8615026812000001
csrA__wt_t15__2,-0.4904485823,-1.2484581673,0.1750089213
csrA__delcsrA_t00__2,-0.7685713516,0.5209261476,0.1458342223
csrA__delcsrA_t02_30__2,1.0012195118,-2.1095253074,0.4836739484
csrA__delcsrA_t05__2,1.9761128221000002,-2.6688180691000003,1.4667231589
csrA__delcsrA_t10__2,1.5761344217,-1.5095628632,1.5895328289
csrA__delcsrA_t15__2,0.5362585192,-0.7946478376,0.9753786537
cstr_pfr__str_0005m__1,0.0949101507,0.24662831600000001,0.2696127662
cstr_pfr__str_0010m__1,-0.2255846937,0.0717623029,0.0155041727
cstr_pfr__str_0025m__1,-0.2839399289,0.21710266890000002,-0.0882503925
cstr_pfr__str_0045m__1,-0.08506710070000001,0.1157163585,-0.022539184
cstr_pfr__str_0075m__1,-0.2315131088,0.2779761813,0.0144753072
cstr_pfr__str_0120m__1,-0.1025819536,0.1847135417,0.039269784200000005
cstr_pfr__str_0210m__1,-0.3078420066,0.20744224020000002,0.0761679623
cstr_pfr__str_0330m__1,-0.2841576262,0.2338594098,0.0748253118
cstr_pfr__str_1500m__1,-0.6983728758000001,0.2893303604,0.07085152530000001
cstr_pfr__str_1560m__1,-0.5716749262,-0.0492753058,0.1621400617
cstr_pfr__str_1680m__1,-0.47902283160000003,-0.25041064900000004,0.0433272294
cstr_pfr__str_ref1__1,-0.042468990400000003,-0.0906205618,0.0028518464
cstr_pfr__str_ref2__1,-0.1050738939,0.0444226101,-0.1034204703
cstr_pfr__str_ref3__1,-0.1806396801,-0.0079858117,-0.0432035211
cstr_pfr__pfr_P5_0005m__1,-0.348963854,0.2712085866,0.3277892147
cstr_pfr__pfr_P5_0010m__1,-0.0673536083,0.0861359451,0.1987507742
cstr_pfr__pfr_P5_0025m__1,-0.3476182594,0.35191313550000003,0.055289546200000005
cstr_pfr__pfr_P3_0025m__1,0.0745061538,-0.0402990716,-0.0899232793
cstr_pfr__pfr_P1_0025m__1,-0.23637911090000002,0.0608360732,-0.14710569910000001
cstr_pfr__pfr_P5_0045m__1,-0.3112937427,0.2786868399,0.053543738800000004
cstr_pfr__pfr_P5_0120m__1,-0.3911994139,0.21964990450000002,0.058310396
cstr_pfr__pfr_P3_0120m__1,0.3483241049,0.16184668230000002,-0.072907047
cstr_pfr__pfr_P1_0120m__1,-0.1067222414,-0.0966853899,-0.0365069217
cstr_pfr__pfr_P5_0210m__1,-0.3648949636,0.4401560242,0.0919782921
cstr_pfr__pfr_P5_1500m__1,-0.16151477720000001,0.14172945850000002,0.0669763669
cstr_pfr__pfr_P3_1680m__1,-0.1501082822,-0.11441279180000001,0.2237605155
cstr_pfr__pfr_P5_1680m__1,-0.18231013510000002,0.103005104,0.1455456343
cstr_pfr__pfr_P1_1680m__1,-0.09578237690000001,-0.1059019095,0.0284346397
cstr_pfr__str_0005m__2,-0.223231014,0.1037821709,0.1689483404
cstr_pfr__str_0010m__2,-0.1768744504,-0.09674062230000001,0.0336667082
cstr_pfr__str_0025m__2,-0.14416374340000002,0.1536927831,-0.09822117200000001
cstr_pfr__str_0045m__2,-0.41086361600000004,0.2318818262,-0.027652795100000002
cstr_pfr__str_0075m__2,-0.4810133227,0.3357333213,-0.0396567278
cstr_pfr__str_0120m__2,-0.0308439112,0.0858226716,0.050694555
cstr_pfr__str_0210m__2,-0.06946251,-0.0041608133,0.0902245609
cstr_pfr__str_0330m__2,-0.2181612639,-0.0277913467,0.018250219300000002
cstr_pfr__str_1500m__2,-0.6230217847,-0.13017651430000002,0.3328390558
cstr_pfr__str_1560m__2,-0.21764172680000002,0.0651488522,0.059818517800000005
cstr_pfr__str_1680m__2,-0.4261524043,0.0208154841,0.1638370584
cstr_pfr__str_ref1__2,0.042468990400000003,0.0906205618,-0.0028518464
cstr_pfr__str_ref2__2,0.1024601385,0.034830521,-0.0591020975
cstr_pfr__str_ref3__2,0.1701837784,0.016999977,-0.1117882411
cstr_pfr__pfr_P5_0005m__2,-0.19673273800000002,0.33447235340000003,0.3238573791
cstr_pfr__pfr_P5_0010m__2,-0.5170494913,0.0433441168,0.25499349
cstr_pfr__pfr_P5_0025m__2,-0.3671707963,0.062266903500000005,0.1925057368
cstr_pfr__pfr_P3_0025m__2,0.1825503104,-0.06372953840000001,0.029352606000000003
cstr_pfr__pfr_P1_0025m__2,0.1456855272,-0.0716880391,-0.1100739017
cstr_pfr__pfr_P5_0045m__2,-0.48365442480000004,0.08403579010000001,-0.1581315104
cstr_pfr__pfr_P5_0120m__2,0.0095539597,0.09742362260000001,0.1926514091
cstr_pfr__pfr_P3_0120m__2,0.145710361,-0.11795008080000001,0.0512805853
cstr_pfr__pfr_P1_0120m__2,0.4087367088,0.1717899765,0.0337771933
cstr_pfr__pfr_P5_0210m__2,-0.39744898160000003,-0.20931801660000002,0.6839737055
cstr_pfr__pfr_P5_1500m__2,-0.0776144111,-0.0048145475,0.19582093150000002
cstr_pfr__pfr_P3_1680m__2,-0.0937780671,-0.07060046810000001,0.2558640175
cstr_pfr__pfr_P5_1680m__2,-0.09813486510000001,-0.12387586710000001,0.1692923725
cstr_pfr__pfr_P1_1680m__2,-0.128418371,0.0096234348,0.1998529403
darobactin__daro_30m__1,0.5746163489,0.5756369719000001,1.2782478355
darobactin__daro_30m__2,0.054851101900000004,0.6207490916,1.260462177
darobactin__solv_1h__1,1.1859983412,0.8123642980000001,1.2195082739
darobactin__solv_1h__2,1.0686049633999999,0.8469352111,1.2558044858000001
darobactin__daro_1h__1,1.182599108,1.4413413916,1.9591203298000002
darobactin__solv_1h__3,0.7993032098,0.6734147708,1.3525184055000001
darobactin__daro_1h__2,0.7996539956000001,1.5278275601,1.3568135869
darobactin__daro_1h__3,1.192192404,1.7309833281,1.7931333343
darobactin__daro_30m__3,-0.2786144733,0.6472725142,1.3270394379
darobactin__solv_30m__1,0.1768332584,-0.0383376405,0.5451257735
darobactin__solv_15m__1,-0.5116598814000001,0.037202874500000004,-0.0054399698000000005
darobactin__solv_15m__2,0.7976075003,-0.07319908530000001,-0.06771607810000001
darobactin__daro_15m__1,0.10917146080000001,-0.4000295304,0.6910315067
darobactin__solv_15m__3,-0.28594761890000003,0.035996210800000004,0.0731560479
darobactin__daro_15m__2,-0.5824693165,-0.0169673399,0.7539144676
darobactin__daro_15m__3,-0.0062782847,0.2883941867,0.8719752690000001
darobactin__solv_30m__2,-0.3855461468,0.26458484390000003,0.3921592205
darobactin__solv_30m__3,-0.2020251731,0.843966681,0.5752581469
ddp__pNT3_aroP__1,-1.6843584949000001,0.42120958740000003,-0.4976246398
ddp__pNT3_aroP__2,-1.6574453973,-0.0211201581,-0.6301045319
ddp__pNT3_bamC__1,-0.40379826700000004,0.6600005182,-1.0153603977
ddp__pNT3_bamC__2,-0.4966994946,0.4976777714,-1.0102654859
ddp__pNT3_cusA__1,-0.5560740095,0.7061540516,-0.9775378066
ddp__pNT3_cusA__2,-0.3291193047,0.6429068585000001,-1.0109606322
ddp__pNT3_hemX__1,0.44759053870000004,0.1952546195,0.0604055833
ddp__pNT3_hemX__2,0.1218314216,0.1636789848,-0.1231129707
ddp__pNT3_empty__1,-0.1994344375,0.0766154164,-0.0557768712
ddp__pNT3_empty__2,0.1994344375,-0.0766154164,0.0557768712
ddp__pNT3_topA__1,-0.0870615948,0.7196499847000001,-0.9385816944
ddp__pNT3_topA__2,0.7421800930000001,0.48945171270000004,-1.2190823401
ddp__pNT3_yicR__1,-0.6661937418,-0.0693108596,0.0171240584
ddp__pNT3_yicR__2,-0.8660602068000001,-0.2054699475,-0.1346256033
ddp__pNT3_yqjD__1,-1.478807886,0.3562249475,0.0713644169
ddp__pNT3_yqjD__2,-1.0482320574,0.2463117655,0.049037484400000005
ecomics__del_gabT__1,0.3259587949,-0.5442024359000001,-0.1177686584
ecomics__del_gabT__2,-0.3259587949,0.5442024359000001,0.1177686584
ecomics__del_putP__1,-0.1450082574,0.34683752230000003,-0.0163927279
ecomics__del_putP__2,0.17208008100000002,0.5024606212,0.018817954600000002
ecomics__del_entF__1,0.6525402812000001,0.6001366207000001,-0.1919939671
ecomics__del_entF__2,0.2498663442,0.20362530850000002,0.0525180403
ecomics__del_entF__3,1.1532936339,-0.4348690281,0.0676128824
ecomics__del_cysA__1,1.6174803106,-0.6403968006,0.2127553317
ecomics__del_cysA__2,2.2080654106,-0.1921244993,0.2914922889
elyC__wt_21C__1,-0.5622324942,0.22273774810000002,-0.1422858234
elyC__wt_21C__2,-0.3446120674,0.2291502471,-0.1045403523
elyC__wt_21C__3,-0.5494319738,0.2580632077,-0.2193745474
elyC__wt_37C__1,-0.0714301361,0.0089350987,0.11775767100000001
elyC__wt_37C__2,-0.0687366175,-0.037308079800000005,-0.05923542700000001
elyC__wt_37C__3,0.14016675350000002,0.0283729811,-0.058522244
elyC__delelyC_21C__1,-0.5236383902,0.287912367,-0.2741667089
elyC__delelyC_21C__2,-0.1181357549,0.3426988474,-0.09107528990000001
elyC__delelyC_21C__3,-0.3272916724,0.1387782095,-0.1707666081
elyC__delelyC_37C__1,0.11217223330000001,0.0158757038,0.0344861792
elyC__delelyC_37C__2,-0.2170195449,-0.0251936598,-0.023901396000000002
elyC__delelyC_37C__3,-0.0114785309,0.0170045414,0.06657964620000001
evo_acid_w__F9_2__1,-0.0336010116,-0.0787237816,0.5015645901
evo_acid_w__F11_1__1,2.4168973843,0.571578323,0.3446415249
evo_acid_w__F11_1__2,2.349772993,0.5436753543,0.44015193410000003
evo_acid_w__F11_1__3,2.0166333358,0.7301834796000001,0.3505540904
evo_acid_w__wt__1,0.8315975277000001,0.0251320457,-0.0993886672
evo_acid_w__F11_2__1,-0.2338799641,0.027654662200000003,0.4953398409
evo_acid_w__B11_2__1,0.42579450750000003,0.3411185872,0.09390158130000001
evo_acid_w__F11_2__2,-0.0845106704,0.45756258590000004,0.2556860586
evo_acid_w__wt__2,1.5158591446,0.2511106278,0.011383862100000001
evo_acid_w__B11_1__1,-0.8553826401,0.0550269528,0.107962954
evo_acid_w__H9_1__1,3.4462352203,-0.3568489071,-0.1235700659
evo_acid_w__H9_2__1,0.7568866358,-0.0007093491,0.5194622549
evo_acid_w__B11_2__2,0.21142744630000002,0.5140664931,0.0257504409
evo_acid_w__wt__3,1.9303952336,-0.203661754,0.09934540900000001
evo_acid_w__H9_2__2,0.8980548947,0.0501313329,0.6278291417
evo_acid_w__B11_2__3,-0.0737333854,0.3870158923,-0.2160023271
evo_acid_w__F11_2__3,0.0659558813,0.4686968789,0.3261892031
evo_acid_w__F9_2__2,-0.07847774710000001,0.3792527935,0.1969705235
evo_acid_w__wt__4,-0.58621609,0.0288080956,0.2496931477
evo_acid_w__wt__5,-0.39933679440000003,0.0977428288,0.0389259406
evo_acid_w__wt__6,-0.5089402586,0.0404414894,-0.3267928466
evo_acid_w__H9_1__2,3.1254802665,-0.3595634804,-0.5096337793
evo_acid_w__F9_1__1,2.4653637747,0.5707251546000001,-0.1104714708
evo_acid_w__F9_1__2,2.2849642447000003,0.5518824391,0.040806368100000004
evo_acid_w__B11_1__2,-0.6513942299000001,-0.26936790450000003,0.0308534542
evo_acid_w__H9_2__3,0.45726198500000004,0.1195488675,0.5118717786
evo_acid_w__wt__7,-0.9681656737000001,-0.060699872200000005,0.2772923114
evo_acid_w__F9_1__3,2.9849641491,0.5847607038,0.061959939900000004
evo_acid_w__F9_2__3,-0.2616584675,0.0426087779,0.48028391730000003
evo_acid_w__wt__8,-0.3252876227,0.0848143465,-0.17531816960000002
evo_acid_w__B11_1__3,-0.6809159757000001,-0.1106549399,-0.10215356960000001
evo_acid_w__wt__9,-1.4899054664,-0.2636878075,-0.0751409874
evo_bz__c3_1_bz__1,2.6170319035,0.0404542949,-1.0426623695
evo_bz__c3_1_bz__2,1.4983818413,-0.3095733064,-0.9172104533000001
evo_bz__c3_1_bz__3,0.9399543711,-0.2573306386,-0.9589404609000001
evo_bz__c3_1_bz__4,0.9424899023000001,-0.19275007630000002,-0.9699136893
evo_bz__g5_1_bz__1,0.1247503283,0.0069805215000000006,0.6821682840000001
evo_bz__g5_1_bz__2,1.7440343570999999,0.0914148822,-0.2295051056
evo_bz__g5_1_bz__3,0.5360274545,0.0539604256,0.4763743509
evo_bz__g5_1_bz__4,0.5916256121,-0.1068646422,0.0637611326
evo_bz__g5_1_bz__5,0.09532844900000001,0.007532333600000001,0.0016696115
evo_bz__g5_1_bz__6,0.2551481678,-0.057508771800000004,0.0375766219
evo_bz__w3110d13__1,0.4500200328,0.0303372456,-0.0558651244
evo_bz__w3110d13__2,-0.1255365256,0.38233131070000004,-0.428071115
evo_bz__w3110d13__3,-0.0123381416,-0.0945631643,0.0662437449
evo_bz__w3110d13__4,-0.26687078340000003,0.2491998134,-0.35422099
evo_bz__w3110d13__5,-0.1817790414,-0.3758080857,0.44481159610000004
evo_bz__w3110d13__6,0.136504459,-0.1914971197,0.3271018885
evo_bz__w3110d13_bz__1,1.8161982760000002,0.26235773760000003,-1.139456004
evo_bz__w3110d13_bz__2,2.0202824921,0.39288571780000003,-1.2783186335
evo_bz__w3110d13_bz__3,0.5532532598000001,-0.3153876315,-0.60625405
evo_bz__w3110d13_bz__4,1.7069036835,0.19419389180000002,-1.3095945597
evo_bz__c3_1_bz__5,2.4013937991,-0.0040929755,-0.7921610532000001
evo_bz__c3_1_bz__6,2.7927242722,0.000114684,-0.9525264833
evo_bz__g5_2_bz__1,2.7401339804,-0.23277216380000001,-1.0616114799
evo_bz__g5_2_bz__2,2.5479802826,-0.2610937512,-1.0625621402
evo_bz__g5_2_bz__3,2.4977242021,-0.2617789767,-0.7642593227000001
evo_bz__g5_2_bz__4,2.0350483186,-0.1234950231,-0.8130317145
evo_bz__g5_2_bz__5,2.0944568645,-0.19146917770000002,-0.8760476227
evo_bz__g5_2_bz__6,2.6041879883,-0.12359066090000001,-1.0628577692
evo_bz__w3110d13_bz__5,0.0978088019,-0.3520652193,-0.5246544367
evo_bz__w3110d13_bz__6,0.7416533224,-0.2911319564,-0.6210895879
evo_bz__a1_1_bz__1,-1.0504693913,0.2084757825,-0.5920773303
evo_bz__a1_1_bz__2,1.7510135658000001,0.2980540906,-1.3054884885
evo_bz__a1_1_bz__3,2.2941510897,-0.179830771,-0.3324373739
evo_bz__a1_1_bz__4,1.8412998697,0.21277836400000003,-1.2226797668
evo_bz__a1_1_bz__5,2.1632879337,-0.494481747,-0.0775190998
evo_bz__a1_1_bz__6,2.3146763283,-0.3079059081,-0.3237958805
evo_metab__wt__1,-3.0966337123,0.3290430961,0.3427282848
evo_metab__del_zwf__1,-1.6898637755,0.15699357460000002,0.2367449559
evo_metab__zwf_ale1__1,-2.685519663,0.2716138087,0.2507964334
evo_metab__zwf_ale2__1,0.7574357233,0.2114679424,0.055060948900000004
evo_metab__del_ppk__1,3.4549377252,0.10766743720000001,0.104962303
evo_metab__ppk_ale1__1,3.6913199191,0.1658685814,-0.25635132720000003
evo_metab__ppk_ale2__1,-2.6256441914,0.2111965688,1.0072544341
evo_metab__ppk_ale3__1,-1.4999414445,0.0034619493000000003,0.5093732481000001
evo_metab__del_dapF__1,-3.9151285325,0.3363730019,0.6854262050000001
evo_metab__dapF_ale1__1,-2.9028882527,0.3296445242,0.4276347334
evo_metab__dapF_ale3__1,0.6141760012,0.16023803420000002,0.0131778311
evo_metab__del_entC__1,2.9931971566,0.0648750525,0.023199864400000002
evo_metab__entC_ale1__1,2.8984692995,-0.0204057365,-0.3210199119
evo_metab__entC_ale2__1,-2.5838648284,0.1787294337,0.6409436580000001
evo_metab__del_dgk__1,2.604308704,0.0629496898,-0.2854272121
evo_metab__dgk_ale1__1,1.7255217765,0.1772646356,-0.4961176814
evo_metab__dgk_ale2__1,-0.7180252567000001,0.6265078841,-0.2480260323
evo_metab__dgk_ale3__1,1.3998190071,0.1349856111,-0.0067913343
evo_metab__wt__2,2.5034414955,-0.1699602161,-0.4910638036
evo_metab__del_zwf__2,-0.7039640097000001,-0.311152464,0.0034274427
evo_metab__zwf_ale1__2,0.3882499847,-0.1934844055,-0.1390955043
evo_metab__zwf_ale2__2,1.6547606796,0.2435631738,-0.4206044564
evo_metab__del_ppk__2,2.3800620465,-0.2733809217,-0.39869372610000003
evo_metab__ppk_ale1__2,0.7415235574,0.299267604,0.1138636026
evo_metab__ppk_ale2__2,0.6330320339000001,-0.0780745207,0.7881709904
evo_metab__ppk_ale3__2,2.632919654,-0.24580961780000002,0.0173632347
evo_metab__del_dapF__2,-2.403476149,-0.7645512643,-0.060802414400000004
evo_metab__dapF_ale1__2,-3.3696712787,-1.0311201123,0.3940083569
evo_metab__dapF_ale3__2,-2.9091036539,-0.8432223683000001,0.18626625830000001
evo_metab__del_entC__2,3.4508286102,-0.3986437823,-0.42666711820000003
evo_metab__entC_ale1__2,2.3912536752,-0.0980452745,-0.1074701712
evo_metab__entC_ale2__2,0.7712156531000001,-0.1030099849,-0.0583574189
evo_metab__entC_ale3__1,-0.1396643921,0.313763299,0.0959928397
evo_metab__del_dgk__2,1.7752770737999999,-0.027963188200000003,-0.3710338677
evo_metab__dgk_ale1__2,1.178383456,-0.058683676600000005,-0.0679978442
evo_metab__dgk_ale2__2,-0.1836678109,-0.0787465292,0.0812493841
evo_metab__dgk_ale3__2,0.2841203804,0.4855745275,0.15311633330000002
evo_metab__wt__3,0.5931922168,-0.15908288,0.1483355188
evo_metab__del_zwf__3,3.1119429683,-0.7740473901,-0.031927159000000004
evo_metab__zwf_ale1__3,-0.0224994972,-0.2055600819,0.5433330733
evo_metab__zwf_ale2__3,1.6307788626000002,-0.054130295200000005,0.025876950200000002
evo_metab__del_ppk__3,0.5498780962,0.167789872,0.0585218412
evo_metab__ppk_ale1__3,0.6079718171,0.1478607032,0.5318856237
evo_metab__ppk_ale2__3,0.7741802238000001,0.2841610835,0.4155272198
evo_metab__ppk_ale3__3,0.3131340379,0.2275816471,0.7267829454
evo_metab__del_dapF__3,-2.5598624272,-0.9410425781,0.1285112045
evo_metab__dapF_ale1__3,-3.2675994128,-0.8593803482,-0.0663886925
evo_metab__dapF_ale3__3,-2.1138940892,-1.0770759089,0.3151006098
evo_metab__del_entC__3,3.2833627703,-0.24757233850000002,0.1011225007
evo_metab__entC_ale1__3,0.10714571610000001,-0.0633033278,-0.0228969347
evo_metab__entC_ale2__3,1.1461556974,-0.4011081841,0.3788566384
evo_metab__entC_ale3__2,3.2538494412,-0.0905984566,0.1380742439
evo_metab__del_dgk__3,2.1779791111,0.0604224079,0.0135975383
evo_metab__dgk_ale1__3,1.1695650336,-0.0510078606,0.40587237190000003
evo_metab__dgk_ale2__3,0.1886830937,-0.16952772670000002,0.307785252
evo_metab__dgk_ale3__3,-0.8248958077,0.12169514840000001,0.7006812517000001
flag_reg__wt__1,0.19379775370000002,0.0139786427,-0.0861895838
flag_reg__del_fliA__1,-1.0477480513,-0.0634630932,0.3238146892
flag_reg__del_flhC__1,-0.42910495530000003,-0.0966958597,0.501954385
flag_reg__del_flhD__1,-0.8963066714000001,0.1369237976,0.5413680199
flag_reg__wt__2,-0.19379775370000002,-0.0139786427,0.0861895838
flag_reg__del_fliA__2,-0.9738903634,0.0940387723,0.3442088453
flag_reg__del_flhC__2,-0.36095205010000003,0.0226944863,0.2830840719
flag_reg__del_flhD__2,-0.863866282,-0.07782439320000001,0.31441837970000003
flgM__27C__1,-0.0791310729,0.1667690821,1.1981469141
flgM__27C__2,0.3189728559,0.0542208234,0.9617881579
flgM__27C__3,0.3988855713,0.0952981745,1.0761117532
flgM__32C__1,0.3572837205,-0.374195969,0.6033525952000001
flgM__32C__2,0.4569111773,-0.0213684936,0.5177557599
flgM__32C__3,0.3379689118,-0.048867891000000004,0.5610526957
flgM__37C__1,0.0780110843,0.0159224257,0.0190447105
flgM__37C__2,-0.1228536667,0.0954008489,-0.0167180725
flgM__37C__3,0.044842582400000004,-0.11132327460000001,-0.0023266381000000003
flgM__42C__1,-0.8882191908,-0.23793198340000002,-0.1139451462
flgM__42C__2,-1.209309977,-0.1015947443,-0.1997242613
flgM__42C__3,-0.9394282938,0.3346239092,-0.3775981285
histone__untreated__1,0.1627150903,0.0868947981,0.0743613391
histone__untreated__2,-0.6181684099,-0.0838754483,-0.1005068908
histone__untreated__3,0.4554533196,-0.0030193498,0.0261455518
histone__10ug_H2A__1,0.7000762804,-0.1755317512,0.10340781210000001
histone__10ug_H2A__2,-0.17963946190000002,-0.21544944230000002,0.0315316082
histone__10ug_H2A__3,0.6581543805,-0.0830888219,0.2131727964
histone__50ug_H2A__1,1.2463978254,-0.036978748000000006,0.6104244109
histone__50ug_H2A__2,1.3314887188,0.0280955724,0.6458855377
histone__50ug_H2A__3,1.0797849713,-0.011143224,0.6565138607000001
histone__100ug_H2A__1,1.7046693854,-0.07425778920000001,0.8276039158
histone__100ug_H2A__2,1.6115487669,0.0922954759,0.8561931512000001
histone__100ug_H2A__3,1.5369238127,0.0102197013,0.8226310021000001
hns__del_hns_spike__1,-2.5078255241000003,-0.0966922848,0.06846300820000001
hns__del_hns_spike__2,-3.8160289827,-0.4841300968,-0.5048585431
hns__del_hns__1,-2.4470731690000003,-0.2739114043,0.057877084
hns__del_hns__2,-3.9751547073,-0.3787319233,-0.5422150764
hns__wt_spike__1,0.3207553128,-0.030239530400000002,-0.1484310345
hns__wt_spike__2,-1.151716181,0.7184485247,0.3043590927
hns__wt__1,0.4528402556,0.0127618123,-0.1170804226
hns__wt__2,-0.4528402556,-0.0127618123,0.1170804226
hns_stpA__evo100G4_delhns_delstpA__1,-1.7016545826,-1.4337111286,-0.2638576983
hns_stpA__evo100G4_delhns_delstpA__2,-1.635027672,-1.4707107986,-0.4127710824
hns_stpA__evo100G12_delhns_delstpA__1,-0.4392753366,-1.3195543411,-1.4294975841
hns_stpA__evo100G12_delhns_delstpA__2,-0.6081665441,-1.3516963482,-1.2901987352
