,A,LsrR,RpoS,Crp
oxyR__glu_ale4_h2o2__2,0.0479943082,0.7193056125,1.308540662,0.486348433
oxyR__oxyR_ale17__1,1.0015547341,0.8028968725000001,0.864667662,0.13801763
oxyR__oxyR_ale17__2,1.2882480173,0.7356367555000001,1.044993532,0.15520324300000002
oxyR__oxyR_ale17_h2o2__1,1.4090248652000001,0.9594994865,0.8066634020000001,0.211227453
oxyR__oxyR_ale17_h2o2__2,0.6612548704,0.8930750335000001,0.7939193720000001,0.156206473
oxyR__oxyR_ale18__1,0.2177923468,0.2044022165,-0.18988374400000002,-0.23326590800000002
oxyR__oxyR_ale18__2,0.1405574561,0.18512796450000002,-0.012120128,-0.08594182800000001
oxyR__oxyR_ale18_h2o2__1,1.0673057576,0.7375156145,0.380774492,0.027939159
oxyR__oxyR_ale18_h2o2__2,0.8188879848,0.7766691845,0.425706862,0.095125363
oxyR__oxyR_ale19__1,-0.8030419024000001,0.2462491065,-0.28424791600000004,-0.186683067
oxyR__oxyR_ale19__2,-0.4379891665,0.49282618850000004,-0.020286427000000003,-0.08065952300000001
oxyR__oxyR_ale19_h2o2__1,-1.0962817822,0.33719263450000003,-0.353377109,-0.32169368600000003
oxyR__oxyR_ale19_h2o2__2,-0.5517350983,0.2342574865,-0.353964906,-0.22926116100000002
oxyR__oxyR_ale20__1,0.5337700223,0.4163226135,0.292686165,-0.29073972200000003
oxyR__oxyR_ale20__2,1.0118938611,0.40014263450000004,0.284491559,-0.328630297
oxyR__oxyR_ale20_h2o2__1,0.39735547730000004,0.4538646535,0.461398122,-0.103214605
oxyR__oxyR_ale20_h2o2__2,0.7202139101,0.5202106985,0.5234612820000001,-0.05797147800000001
svns_pgi__BmePgi24_15__1,1.0551923015,0.4725934365,1.136906472,0.20789728300000002
svns_pgi__BmePgi24_15__2,0.8922874457000001,0.7062198675,1.106938532,0.288214413
svns_pgi__BmePgi24_26__1,0.15196582720000001,0.3361883925,0.8895994620000001,0.16856253300000001
svns_pgi__BmePgi24_26__2,-0.0757476062,0.6909656935,1.002864882,0.144982372
svns_pgi__BmePgi24_41__1,2.4252489045,0.9157494165000001,1.666172602,0.495849313
svns_pgi__BmePgi24_41__2,0.6238457968000001,0.2491086425,0.761387542,0.08223337900000001
svns_pgi__BmePgi24_52__1,1.0399441184,0.5760830395000001,1.073754122,0.260077643
svns_pgi__BmePgi24_52__2,0.3587232305,0.36497654150000003,0.9053895820000001,0.110092349
svns_pgi__PaePgi2_34__1,3.3448681256,1.1018777875,1.278137802,0.946417433
svns_pgi__PaePgi2_34__2,3.4290897175,1.0181104285,1.205160902,0.980365153
svns_pgi__PaePgi2_63__1,3.0384892396,1.0853601145,1.469231752,0.9986914830000001
svns_pgi__PaePgi2_63__2,2.7100010065999998,1.1276976545,1.445767052,0.9749593430000001
svns_pgi__PaePgi24_54__1,1.6088885757,1.4217472825000002,0.914250742,0.830338573
svns_pgi__PaePgi24_54__2,1.3777724539,1.0658905265,0.839892022,0.926503413
svns_pgi__PaePgi24_90__1,0.9620885705000001,0.9729917135,0.6100121420000001,0.8096897230000001
svns_pgi__PaePgi24_90__2,-0.2419452658,1.0849426695,0.7799764520000001,0.9991721830000001
abx_media__m9_ctrl__1,0.5870040666,0.3243480805,0.780609612,-0.219087253
abx_media__m9_ctrl__2,0.5708492204,0.39363745850000004,0.949769912,0.06872793
abx_media__rpmi_ctrl__1,-6.3515776252,-1.8597763085,-2.40001744,0.181883243
abx_media__rpmi_ctrl__2,-5.2392948708,-1.6507012615,-1.6442175950000002,0.46045822300000006
abx_media__camhb_ctrl__1,-5.7617452152,-2.7717785305,-2.412374072,-1.466715649
abx_media__camhb_ctrl__2,-4.8711647234,-1.7677584815,-2.437496206,-1.564214307
abx_media__m9_mero__1,-2.3466061553,0.1169342045,0.113079119,0.10006032100000001
abx_media__m9_mero__2,-0.9252865282,-0.0482416255,0.5862508120000001,-0.24440689100000001
abx_media__rpmi_mero__1,-5.9623227109,-2.2696996905,-2.431478613,-0.15585906600000002
abx_media__rpmi_mero__2,-6.2344260725,-1.6141616735,-2.200063945,0.12222331400000001
abx_media__camhb_mero__1,-3.2945233461,-2.6532432615,-2.479313904,-2.568928611
abx_media__camhb_mero__2,-3.921230615,-2.5799988675,-2.4048321599999998,-2.37205329
abx_media__m9_trisulf__1,0.0641955471,0.1262051925,0.9038694920000001,-0.13952741600000002
abx_media__m9_trisulf__2,0.3578890762,-0.0430998145,1.065425372,-0.121563182
abx_media__rpmi_trisulf__1,-2.0326859215,-1.3223266415000001,-0.970301579,-1.138543574
abx_media__rpmi_trisulf__2,-2.5069611001,-1.5504328605,-0.922598691,-1.125744815
abx_media__camhb_trisulf__1,-4.2607978892,-2.0768863625,-1.479011908,-0.616348749
abx_media__camhb_trisulf__2,-4.4512549028,-2.0986778685,-1.453408986,-0.651084973
abx_media__m9_cef__1,0.37757582630000003,-0.0239397675,0.855176342,-0.424559634
abx_media__m9_cef__2,-0.2874947351,-0.8518602315,0.6537064220000001,-0.35219075800000005
abx_media__rpmi_cef__1,-2.6985386318,-1.9665244204999999,-1.312759304,0.17718560300000002
abx_media__rpmi_cef__2,-2.4263918159,-1.4305088055000001,-1.226735445,0.253641923
abx_media__camhb_cef__1,-3.7229479989,-1.5638948735,-1.396097704,-0.8382274850000001
abx_media__camhb_cef__2,-3.4191031808,-1.5246833805,-1.393840567,-0.903455694
abx_media__m9_cipro__1,0.5267527431,-0.4413131905,0.6878804820000001,-0.296102011
abx_media__m9_cipro__2,0.6300374353,-0.3053622375,0.7698332320000001,-0.23094071100000002
abx_media__rpmi_cipro__1,-2.1427794012,-1.7978417145,-1.842582587,-0.708797459
abx_media__rpmi_cipro__2,-2.5086564271,-2.1544094155,-1.756150681,-0.968107711
abx_media__camhb_cipro__1,-4.3311196954,-2.4554545245,-1.8498726840000002,-1.356589447
abx_media__camhb_cipro__2,-4.1544865998,-2.0157224475,-1.789965745,-1.123683673
hot_tale__42c_ale3_30c__1,-2.0558291066,-0.1710471675,-1.907963797,0.062207968
hot_tale__42c_ale3_30c__2,-1.8353980279000002,-0.3587306595,-1.944972908,0.01735881
hot_tale__42c_ale3_37c__1,-1.2344354752,0.0098616035,-1.438491919,0.43556652300000004
hot_tale__42c_ale3_37c__2,-1.1857151562000001,0.1526863555,-1.5778546850000001,0.40063680300000004
hot_tale__42c_ale3_44c__1,5.1066849863,0.8800252315,-0.44932950800000004,0.37188534300000003
hot_tale__42c_ale3_44c__2,5.2153006912,1.1625770085,-0.22272809400000002,0.35534419300000003
hot_tale__hot_ale3_mid_30c__1,0.0557100392,0.1529922635,-1.351382508,0.739618883
hot_tale__hot_ale3_mid_30c__2,0.20858423110000002,0.5961767025,-1.53105376,0.562500333
hot_tale__hot_ale3_mid_37c__1,-0.2694299783,0.3714770525,-2.061404382,0.5847484430000001
hot_tale__hot_ale3_mid_37c__2,-0.4374419305,0.052620545500000004,-1.997902988,0.18943374300000002
hot_tale__hot_ale3_mid_44c__1,-0.0035256719,0.7561634785,-0.378401614,-0.071245341
hot_tale__hot_ale3_mid_44c__2,0.9678505692,0.6306540575,-1.5208829650000002,-0.002275453
hot_tale__hot_ale3_30c__1,0.3103726899,0.4867746835,-0.88529355,0.515020333
hot_tale__hot_ale3_30c__2,-0.4637792398,0.0101829115,-0.702621626,0.5286701730000001
hot_tale__hot_ale3_37c__1,-0.8616440701,-0.0737767195,-1.400893626,0.349377103
hot_tale__hot_ale3_37c__2,-1.480999124,-0.0681485625,-1.261976733,0.396319383
hot_tale__hot_ale3_44c__1,-1.274149726,0.17876510750000002,-1.372628723,0.286434483
hot_tale__hot_ale3_44c__2,-0.3726693931,0.2993805445,-1.5608087030000002,0.302318703
hot_tale__hot_ale4_30c__1,-2.4406207523,-0.2811129685,-1.931304048,-0.059878781000000006
hot_tale__hot_ale4_30c__2,-2.06986306,-0.2816354115,-1.859626883,0.027680622000000002
hot_tale__hot_ale4_37c__1,-1.2620621421,-0.30734398150000003,-1.888368872,-0.154360834
hot_tale__hot_ale4_37c__2,-1.2777878652,0.022207788500000002,-1.830199923,-0.04945323
hot_tale__hot_ale4_44c__1,0.5680014962000001,0.6678946505000001,-1.3972837359999999,0.164713793
hot_tale__hot_ale4_44c__2,0.4302320378,0.4739661095,-1.338729662,0.075804102
hot_tale__hot_ale8_30c__1,-1.0739556499,-0.0587875145,-1.9839582040000001,-0.056768665
hot_tale__hot_ale8_30c__2,-1.4684768371999999,0.0033893725,-1.9168988690000002,-0.10699186200000001
hot_tale__hot_ale8_37c__1,-1.1386545056,-0.11346764150000001,-1.9041362620000002,-0.007091699000000001
hot_tale__hot_ale8_37c__2,-0.8288396790000001,-0.0042065505000000005,-1.896623705,-0.044047578000000004
hot_tale__hot_ale8_44c__1,0.9305031278,0.3909795895,-1.426807011,0.07381628
hot_tale__hot_ale8_44c__2,0.7369577609,0.4490960665,-1.401286403,0.140506256
hot_tale__hot_ale9_mid_30c__1,-1.1057744203,-0.1151312885,-1.486259717,0.119931675
hot_tale__hot_ale9_mid_30c__2,-0.7481946271000001,-0.0919360245,-1.602807011,0.10594186400000001
hot_tale__hot_ale9_30c__1,-2.3925070356,-0.4881218385,-1.7950013550000001,0.057352916000000004
hot_tale__hot_ale9_30c__2,-2.6939980996,-0.1982390035,-1.947474307,0.174084083
hot_tale__hot_ale9_mid_37c__1,-0.4879647221,0.0257323055,-1.652567464,-0.07088768
hot_tale__hot_ale9_mid_37c__2,-1.2681296436,-0.20891787050000002,-1.6748199380000002,0.028525377
hot_tale__hot_ale9_37c__1,-0.6045178238000001,0.0357706075,-1.497790775,0.032825572000000004
hot_tale__hot_ale9_37c__2,-0.5224196008,0.0763714515,-1.530303604,0.037217243000000004
hot_tale__hot_ale9_mid_44c__1,0.7448443189,0.5794871935,-1.164812891,0.286125693
hot_tale__hot_ale9_mid_44c__2,2.4227000688,0.8368446065,-0.989517818,0.30561196300000004
hot_tale__hot_ale9_44c__1,1.7154814916,0.6400962575,-0.86014164,-0.027297961000000003
hot_tale__hot_ale9_44c__2,1.5558457003,0.49789938050000004,-0.837791747,-0.086313521
hot_tale__hot_ale10_30c__1,-1.4700101904,-0.15246239150000002,-1.386495954,0.23749544300000003
hot_tale__hot_ale10_30c__2,-1.4691716293,-0.0769816775,-1.402138782,0.42203483300000005
hot_tale__hot_ale10_37c__1,-1.089846169,-0.0391729695,-1.471664917,0.06875389400000001
hot_tale__hot_ale10_37c__2,-1.5636550600999999,-0.1267363495,-1.549020217,0.12083432100000001
hot_tale__hot_ale10_44c__1,0.2594650721,0.5649193595,-0.9616132070000001,-0.035753444
hot_tale__hot_ale10_44c__2,1.0241159011,0.5309764605,-0.951745735,0.110043497
hot_tale__hot_ale16_30c__1,-0.8668115472,-0.0570583325,-1.531300938,0.129309161
hot_tale__hot_ale16_30c__2,-1.3537637732,-0.07241428450000001,-1.634359187,0.251086443
hot_tale__hot_ale16_37c__1,-1.7527905124,-0.23386745750000001,-1.565068318,-0.022647861000000002
hot_tale__hot_ale16_37c__2,-1.6965072447,-0.1000121065,-1.614135088,-0.007290675000000001
hot_tale__hot_ale16_44c__1,0.15439590450000001,0.7730941425000001,-1.248922181,0.039920518
hot_tale__hot_ale16_44c__2,0.2594058421,0.1459413655,-1.155512192,0.206041613
pdhr_ale__pdhR-13_51__1,-0.2424115023,0.8242144915,0.545286652,0.426042593
pdhr_ale__pdhR-13_51__2,-0.1508569894,0.5872304265,0.418927092,0.345369843
pdhr_ale__pdhR-14_46__1,0.7339240252,0.6728401785,1.5375000920000002,0.413744223
pdhr_ale__pdhR-14_46__2,0.7845512028,0.7258676365000001,1.406942552,0.374689043
pdhr_ale__pdhR-15_51__1,1.1858142605,0.3618820105,0.550614182,0.208151253
pdhr_ale__pdhR-15_51__2,1.2179124666,0.5838195815,0.5427596720000001,0.291227723
pdhr_ale__pdhR-16_49__1,1.7654178898000001,1.0174184885,0.892385662,0.35863981300000003
pdhr_ale__pdhR-16_49__2,0.5435290554000001,0.4569787655,1.6646909220000001,0.29102474300000003
tcs__del_atoC_LiAcet__1,0.9572706568,0.5165188735,0.14008757600000002,0.372321163
tcs__del_atoC_LiAcet__2,1.1438422933,0.3076386235,0.317528992,0.554500683
tcs__del_atoC_LiCl__1,1.0479202357,0.5831473245000001,0.572097892,0.729717593
tcs__del_atoC_LiCl__2,0.8770064223,0.4581105415,0.664503352,0.8032040530000001
tcs__del_atoC_m9__1,0.49768218610000003,0.7272324905,0.45651683200000004,0.699493633
tcs__del_atoC_m9__2,0.6205407615,0.6224870265,0.48580563200000004,0.8078232030000001
tcs__del_baeR_etoh__1,8.72443544,2.7026650715000002,-0.366068699,0.7253874130000001
tcs__del_baeR_etoh__2,8.7091250745,2.9199738025,-0.18654836400000002,0.8432000030000001
tcs__del_baeR_lb__1,12.3656965267,1.8246253125,1.7351000920000001,0.45295403300000003
tcs__del_baeR_lb__2,12.2296596269,1.7941486215,1.686986762,0.513648663
tcs__del_btsR_01xlb__1,24.9098671837,4.7882729875,1.4074916320000002,-1.00432669
tcs__del_btsR_01xlb__2,25.1017452156,4.7546156305,1.352980122,-1.132510871
tcs__del_btsR_lb__1,1.8148513097999999,1.6469009325,-0.6825328420000001,0.905930643
tcs__del_btsR_lb__2,2.1010287785,1.5017351495,-0.726716694,0.882795573
tcs__del_btsR_pyruvate__1,24.771795488,4.4303643525,1.308905382,-1.207481932
tcs__del_btsR_pyruvate__2,24.0965861856,4.4268808195,1.2243911920000001,-1.260247428
tcs__del_cpxR_etoh__1,7.3420137848,2.6185559145,-1.103766331,1.209290043
tcs__del_cpxR_etoh__2,7.8511042322,2.8150092635,-1.097200214,1.196778413
tcs__del_cpxR_lb__1,10.7599278738,1.6010967025,1.589736432,0.560846033
tcs__del_cpxR_lb__2,11.0023913498,1.5572541075,1.709398122,0.640789563
tcs__del_cusR_CuSO4__1,0.523462631,-0.1752792595,1.261222212,1.046254113
tcs__del_cusR_CuSO4__2,1.3723455536,0.2937188835,1.344198652,1.048489943
tcs__del_cusR_lb__1,1.7882508065,1.3953728635,-0.045943153,0.995224693
tcs__del_cusR_lb__2,1.4036124983,1.2644107785,-0.080519901,1.040602243
tcs__del_kdpE_01-kcl__1,2.9200197379,0.5432472305,2.143029202,0.088105161
tcs__del_kdpE_01-kcl__2,2.6392870154,0.5060262525,2.130364142,0.12273579200000001
tcs__del_kdpE_115-kcl__1,1.5324580866000002,0.2955128455,1.9626137520000002,0.04519701
tcs__del_kdpE_115-kcl__2,1.7279987328000002,0.5057717885,1.923137492,-0.003365355
tcs__del_phoB_m9__1,0.30451456050000003,0.5999571015,1.017683462,0.731063943
tcs__del_phoB_m9__2,0.1551255914,0.6080709585,0.9924556320000001,0.757859213
tcs__del_phoB_m9p__1,0.10728088520000001,-0.7339354495,0.381978592,-0.51730162
tcs__del_phoB_m9p__2,-0.2064895467,-0.7477687655,0.378607332,-0.48681598000000004
tcs__del_rcsB_etoh__1,9.2082812114,2.1066436565,0.602795022,0.858421713
tcs__del_rcsB_etoh__2,9.9243514382,2.2027909355,0.6368650020000001,0.9214160130000001
tcs__del_rcsB_lb__1,5.7249038048,1.0113415395,1.367672302,0.6655188230000001
tcs__del_rcsB_lb__2,4.9666502653,1.0757934415000001,1.439483182,0.700550933
tcs__del_zraR_lb__1,1.9077566337,1.7397993915,0.325799862,0.536767573
tcs__del_zraR_lb__2,2.023461248,1.6371464945,0.39428292200000004,0.5696375730000001
tcs__del_zraR_zncl2__1,0.8294094012000001,1.1040319545,1.110020682,0.833890483
tcs__del_zraR_zncl2__2,0.7663903541,1.0398846825,1.140191742,0.8158754130000001
tcs__wt_01-kcl__1,3.8019307074,0.2964444525,1.650929632,-0.04219238
tcs__wt_01-kcl__2,3.5980333914,0.4038339165,1.5050050220000002,-0.041591509000000006
tcs__wt_01xlb__1,25.5892328838,5.1450040685,1.405993702,-1.18682151
tcs__wt_01xlb__2,25.5596158867,5.1157297495,1.369863552,-1.187464975
tcs__wt_115-kcl__1,1.7002406924,0.2750208735,1.9654553520000002,-0.09970663
tcs__wt_115-kcl__2,1.8482778432,0.1610464235,1.955990402,-0.12142913200000001
tcs__wt_CuSO4__1,2.8288945698,1.3432117475,0.9521508320000001,0.733850203
tcs__wt_CuSO4__2,3.8616223730000003,1.6939813135000001,1.044374912,0.730520613
tcs__wt_etoh__1,10.8522535973,2.3852872595,1.2274404620000001,0.575463063
tcs__wt_etoh__2,10.4834893588,2.5301727915,1.175064452,0.539484413
tcs__wt_lb__1,3.4659051715,0.8556885805000001,0.8492971020000001,0.9893765630000001
tcs__wt_lb__2,3.5864920695,0.7463100165000001,0.8937301820000001,1.092255943
tcs__wt_LiAcet__1,1.5405602625,0.6610920755,0.47077431200000003,0.649175273
tcs__wt_LiAcet__2,0.5902490148,0.6749186745,0.35456234200000003,0.406217943
tcs__wt_LiCl__1,1.3974888742,0.7108843225,0.548405402,0.574315623
tcs__wt_LiCl__2,0.99919537,0.6851296915,0.47028348200000003,0.6016396030000001
tcs__wt_m9p__1,-0.6872701745,-0.32652794350000003,0.09293588900000001,-0.395497808
tcs__wt_m9p__2,-0.7296958049000001,-0.6614369825,0.06531996100000001,-0.420119436
tcs__wt_pyr__1,26.4306854909,5.2965228475,1.6245794120000001,-1.287916309
tcs__wt_pyr__2,26.7405141037,5.3114550715,1.586807102,-1.163147485
tcs__wt_zncl2__1,-0.3180055875,0.36685060150000004,0.5992908720000001,0.665530193
tcs__wt_zncl2__2,-0.2021853449,0.3331680635,0.6067851120000001,0.6831118230000001
ros_tale__0_0_0pq__1,-1.1908909681,-0.2749740965,-0.21162116,0.329227253
ros_tale__0_0_0pq__2,-1.2283990871000001,-0.2511551105,-0.19722404600000001,0.307710333
ros_tale__0_0_250pq__1,1.6360847032999999,0.7295716325,1.8302124320000002,1.452259763
ros_tale__0_0_250pq__2,1.2629204067,0.7696893905000001,1.818011792,1.438498573
ros_tale__1_mid_250pq__1,-1.1955103155,-0.0182153285,0.021450516000000003,0.654686623
ros_tale__1_mid_250pq__2,-0.9358096234000001,0.4062964905,0.12467335300000001,0.625724853
ros_tale__1_0_0pq__1,-1.4393915189,0.4041802445,0.8053895320000001,1.494979073
ros_tale__1_0_0pq__2,-0.5809737463,0.1623650415,0.764711982,1.442336843
ros_tale__1_0_0pq__3,-0.9625530189,-0.1402146095,-0.16620885100000002,0.607936503
ros_tale__1_0_0pq__4,-1.1927821463,-0.0281768465,-0.112423224,0.622877623
ros_tale__1_0_250pq__1,-1.2033789918,0.1375956625,-0.14096666,0.496195963
ros_tale__1_0_250pq__2,-0.9466011995,-0.0436613635,-0.07097354800000001,0.602191523
ros_tale__1_0_750pq__1,-2.29464973,0.2462955185,0.31248612200000003,0.625901413
ros_tale__1_0_750pq__2,-1.9914087502000002,0.6289860525000001,0.691914182,1.045357503
ros_tale__1_1_0pq__1,1.1617615614,0.4103051935,0.786947932,0.767703793
ros_tale__1_1_0pq__2,1.3424498408,0.6023366005,0.757394302,0.727341753
ros_tale__1_1_250pq__1,1.2555392735,0.3155071205,0.8782502320000001,0.616797033
ros_tale__1_1_250pq__2,1.625219438,0.24985324750000001,0.9175091620000001,0.8796841830000001
ros_tale__1_1_750pq__1,1.8944365439,0.6136525805,1.404979642,0.9722065830000001
ros_tale__1_1_750pq__2,1.5974728127,0.8433800735,1.211564372,1.096863553
ros_tale__1_2_0pq__1,0.351879465,0.21187358350000002,-0.20712402400000002,0.40261139300000004
ros_tale__1_2_0pq__2,0.5658877204,0.2116665515,-0.193773294,0.201186783
ros_tale__1_2_250pq__1,1.2392395178,0.1777779085,0.08313350200000001,0.613315693
ros_tale__1_2_250pq__2,1.4136794859,0.2492502275,0.21432803700000003,0.806008833
ros_tale__1_2_750pq__1,1.801287092,0.6807005625,0.299810982,1.099164733
ros_tale__1_2_750pq__2,1.9218785296,0.4598317865,0.283518739,1.124829123
ros_tale__1_3_0pq__1,2.7582694086,0.5149657175,0.379909192,1.6003325529999999
ros_tale__1_3_0pq__2,2.9965582509,0.5354516345,0.492821072,1.598090103
ros_tale__1_3_250pq__1,0.7348313792000001,0.1671246295,0.644678072,0.982030343
ros_tale__1_3_250pq__2,0.6177274124000001,0.34290589050000003,0.999514192,1.277154773
ros_tale__1_3_250pq__3,0.8499485676,0.5463375065,0.982890252,1.232406513
ros_tale__1_3_250pq__4,0.7346824171,0.34947581650000004,0.8411365120000001,0.6953416530000001
ros_tale__1_3_750pq__1,1.6264558661000001,0.7178432345,0.686649932,1.004531303
ros_tale__1_3_750pq__2,1.5065680164000002,0.3713695285,0.704788702,0.830057743
ros_tale__1_4_0pq__1,0.0746267531,0.2516543685,0.702207682,0.982287223
ros_tale__1_4_0pq__2,0.373966713,0.1793089215,0.637041792,0.887445543
ros_tale__1_4_250pq__1,-0.592859797,0.47351383350000004,0.586811162,0.5704754430000001
ros_tale__1_4_250pq__2,-0.1114352019,0.6074106565,0.7414351720000001,0.592155203
ros_tale__1_4_750pq__1,0.28932872870000004,0.3779787455,0.914758582,0.307201803
ros_tale__1_4_750pq__2,1.7932336121999999,0.5456755455,0.782750752,0.42239436300000005
ros_tale__1_4_750pq__3,-0.1494767398,0.2975783845,1.2547179019999999,0.6522730330000001
ros_tale__1_4_750pq__4,1.5613727753000002,0.4632166985,1.389402172,0.25258847300000004
ros_tale__2_mid_250pq__1,0.1179900151,0.7042617985,0.597734592,0.46653734300000005
ros_tale__2_mid_250pq__2,0.3572911268,0.5190366135,0.223916776,0.224964563
ros_tale__2_0_0pq__1,-1.6131489739,0.6928034865,0.7582373720000001,1.323272493
ros_tale__2_0_0pq__2,-1.3596758568,0.6147013155000001,0.7543898320000001,1.432955703
ros_tale__2_0_0pq__3,-1.4574315878,-0.32625715250000004,-0.320550728,0.225153443
ros_tale__2_0_0pq__4,-1.1411369961,-0.0803030315,-0.008478832,0.48006017300000003
ros_tale__2_0_250pq__1,-0.7353084925000001,0.0509902755,-0.00845647,0.43674846300000003
ros_tale__2_0_250pq__2,-1.5158384341,0.0293474505,0.0017487370000000002,0.46680216300000005
ros_tale__2_0_750pq__1,1.3945383031,-0.0325723175,1.0723557320000001,0.390658013
ros_tale__2_0_750pq__2,1.9307259865000002,0.2567423555,1.124229652,0.545242793
ros_tale__2_1_0pq__1,0.440457749,0.8487583665,0.385690382,0.040594261
ros_tale__2_1_0pq__2,0.22746258900000002,0.1918195635,0.395483542,0.219280403
ros_tale__2_1_250pq__1,0.21321083370000002,0.5454613755000001,0.821033152,1.110700303
ros_tale__2_1_250pq__2,-1.0456914824,0.2390767305,0.48740582200000004,0.843117993
ros_tale__2_1_750pq__1,-0.22712189570000002,0.4231956255,0.6522788820000001,0.9049245530000001
ros_tale__2_1_750pq__2,-0.3753767863,0.6475777145,0.698912572,1.048487963
ros_tale__2_1_750pq__3,-0.4172045683,0.6073582095,0.6330313320000001,0.7018120830000001
ros_tale__2_2_0pq__1,-0.8931955075,0.0828184055,0.197083491,0.079864026
ros_tale__2_2_0pq__2,-0.5720045201,0.2918962565,0.202627316,0.7592634930000001
ros_tale__2_2_250pq__1,-1.3476267723,0.3323557245,0.075356554,0.17330999300000002
ros_tale__2_2_250pq__2,-0.792896463,0.3476861485,-0.13739720700000002,0.429255013
ros_tale__2_2_750pq__1,-0.7065716051,0.4046058295,0.11647995500000001,0.557660793
ros_tale__2_2_750pq__2,0.330121979,0.7631289875,-0.059910924000000004,0.305956793
ros_tale__2_3_0pq__1,0.1500774994,0.0665644955,0.040839611000000005,0.860010453
ros_tale__2_3_0pq__2,-0.2189572858,-0.1045018525,0.48676726200000003,0.9657211630000001
ros_tale__2_3_250pq__1,-0.17681000260000002,0.0678757255,0.381830522,0.8571940530000001
ros_tale__2_3_250pq__2,-1.594439177,-0.8357325345000001,0.23666745400000003,0.8164901330000001
ros_tale__2_3_750pq__1,0.0350191361,0.2443061315,0.732593782,1.026877023
ros_tale__2_3_750pq__2,0.09541397430000001,0.0366139955,0.5610367820000001,0.8530044830000001
ros_tale__3_0_0pq__1,-0.8917449781000001,-0.0118106215,0.116283754,-0.037079376000000004
ros_tale__3_0_0pq__2,-0.8642738248,0.0123559785,0.15466231800000002,-0.11367244900000001
ros_tale__3_0_250pq__1,1.0609842137,0.6042536255000001,0.752842482,0.407816973
ros_tale__3_0_250pq__2,0.23957151440000002,0.8283476495000001,0.7440650520000001,0.321498873
ros_tale__3_0_750pq__1,2.5229929512,0.4743038705,2.678412222,0.963881143
ros_tale__3_0_750pq__2,2.4271912886,0.4694715205,2.670276142,1.226371643
ros_tale__3_1_0pq__1,-0.4982582541,-0.19771911250000002,0.982054222,-0.387833971
ros_tale__3_1_0pq__2,-0.10191827170000001,-0.0148390805,0.812947382,-0.184451325
ros_tale__3_1_250pq__1,-0.9136760659000001,-0.1945179995,0.638640212,0.006036631000000001
ros_tale__3_1_250pq__2,-0.7469867262000001,0.08686450450000001,0.672125622,0.018638846
ros_tale__3_1_750pq__1,-1.6589400498,0.2661584705,0.975388922,0.231216303
ros_tale__3_1_750pq__2,-0.8975971467,0.16782462850000002,0.6514548920000001,-0.144563632
ros_tale__3_2_0pq__1,1.4329846948,0.1590606665,1.730569362,0.40668794300000005
ros_tale__3_2_0pq__2,2.3762509964,0.0434910375,1.731126742,0.36532405300000004
ros_tale__3_2_0pq__3,1.9969265875,0.4587838125,1.682178662,0.389190503
ros_tale__3_2_0pq__4,2.0250554763,0.7925851835000001,1.717740542,0.43728822300000003
ros_tale__3_2_250pq__1,2.3558153059,0.007066775500000001,1.524751262,-0.610562742
ros_tale__3_2_250pq__2,1.9168315389,0.0211927635,0.856116462,-0.773419076
ros_tale__3_2_750pq__1,0.16204513410000002,-0.2856508795,0.655051432,0.051653856000000005
ros_tale__3_2_750pq__2,-0.4548206516,-0.6820758915,0.485958512,-0.9425002680000001
ros_tale__3_3_0pq__1,0.8304547095,0.5434844605,0.634709132,0.7026568830000001
ros_tale__3_3_0pq__2,1.1359286112,0.5395112075,0.524656542,0.947477173
ros_tale__3_3_0pq__3,1.0926524872,0.3540427425,0.773720472,0.7939082030000001
ros_tale__3_3_0pq__4,1.2757516395000001,0.9311282625,0.6472917020000001,1.056964733
ros_tale__3_3_250pq__1,0.38680218650000003,0.4387394995,0.605508142,-0.24247490100000002
ros_tale__3_3_250pq__2,0.6941302429,0.7102895185,0.990139002,-0.20438087800000002
ros_tale__3_3_750pq__1,0.1071616792,0.7624159055,0.408591482,0.088597729
ros_tale__3_3_750pq__2,0.2046115348,0.6064753045,0.5977885820000001,0.14973729300000002
ros_tale__3_4_0pq__1,0.9588331572000001,-0.1803936105,1.730857472,-0.7757600000000001
ros_tale__3_4_0pq__2,0.7750227592000001,0.0616662945,1.7069542819999999,-0.573824628
ros_tale__3_4_250pq__1,1.4350195575,-0.2242283675,1.784431142,-0.910153037
ros_tale__3_4_250pq__2,1.5944051674000002,-0.4426656155,1.9958476520000001,-0.9544832510000001
ros_tale__3_4_750pq__1,0.5238600277000001,-0.1315785085,1.542874952,-0.588176502
ros_tale__3_4_750pq__2,0.7802970673,-0.3019308995,1.534533042,-0.8824148350000001
pcoli__atASMT_325G__1,0.7366520612,0.5114306955,0.628178432,0.39244801300000004
pcoli__atASMT_325G__2,0.5897507599,0.5061179655,0.574027162,0.38625268300000004
pcoli__bpTDC__1,0.6883232871,0.7408282265,0.8950668820000001,0.406975843
pcoli__bpTDC__2,0.46756500110000004,0.8136761495,0.9553809320000001,0.42339976300000004
pcoli__BRCA__1,0.8370802878,0.27329819650000003,0.481077462,0.19224848300000003
pcoli__BRCA__2,0.6752826844,0.5611273575,0.414372032,0.130605479
pcoli__BRCActrl__1,1.0128716196,1.0792034075,0.789958142,0.529755863
pcoli__BRCActrl__2,2.1258108268,1.5309693025,0.807071062,0.603931893
