,A,RpoS,DhaR
biocide__gluald_12h__1,-2.8227388583,0.1760007295,0.5470388144
biocide__gluald_12h__2,-2.5539251613,0.454210979,0.1960688576
biocide__gluald_12h__3,-2.528775283,0.6235460537,0.1846953923
biocide__h2o2_12h__1,-2.8244518647,0.1208037019,0.0015643239000000001
biocide__h2o2_12h__2,-2.9313831366,0.4877615953,-0.220000715
biocide__h2o2_12h__3,-1.9158295207,0.5163905927,-0.1322207164
biocide__2ppoh_12h__1,-1.3900147173000001,0.6884772919000001,0.2635075222
biocide__2ppoh_12h__2,-1.8558833634,0.7122389416,-0.2009780723
biocide__2ppoh_12h__3,-2.3048936512,0.6396841639,-0.2246702576
biocide__paa_12h__1,-1.8027928086,-0.1261035513,0.1288829231
biocide__paa_12h__2,-1.9954549916,0.38388275310000003,-0.0983134756
biocide__paa_12h__3,-1.7213218746,0.2827863503,0.1588250242
biocide__phe_12h__1,-0.5148631374,0.7819781372,-0.43744926430000003
biocide__phe_12h__2,-1.4214964541000001,0.6750482209,-0.1915304724
biocide__phe_12h__3,-1.2987390363,0.8001322815,-0.14893767630000002
biocide__pvp-i_12h__1,-1.8424711644,0.787458333,-0.016295050800000002
biocide__pvp-i_12h__2,-0.2243709546,0.2597792446,-0.1466616422
biocide__pvp-i_12h__3,-0.6263755692,0.8436964682,-0.12442320820000001
biocide__bleach_12h__1,-2.1322909705,0.5144514775,-0.0830608791
biocide__bleach_12h__2,-1.8649214566,0.6103281862000001,-0.0316297304
biocide__bleach_12h__3,-2.1550554866000002,0.5001794788,-0.0725066308
biocide__chx_12h__1,-1.3890851218,1.2035249776999999,0.0624057729
biocide__chx_12h__2,-1.7568203101000002,1.2661395327,-0.3883470888
biocide__chx_12h__3,-2.0837882429,1.16465461,-0.5090163226000001
biocide__bzcl_30m__1,-0.3209289097,0.3070321777,0.6865098527
biocide__bzcl_30m__2,-0.5910057711000001,0.3451877582,0.3899477907
biocide__bzcl_30m__3,-0.44724624100000004,0.3989484895,0.2352640761
biocide__phe_30m__1,0.8456945922,-0.3712610376,-0.2454360965
biocide__phe_30m__2,0.2790843602,0.0945027819,0.0658985824
biocide__phe_30m__3,0.7900053686,-0.3559708344,-0.2473021447
biocide__pvp-i_30m__1,-2.0113060742,0.1728373939,0.2778462899
biocide__pvp-i_30m__2,-2.2844428508,0.3912909238,0.2717753457
biocide__pvp-i_30m__3,-1.5614229155000001,0.2723628656,0.2947054625
biocide__ctrl_12h__1,-2.3464578117,0.0722377781,-0.0228737777
biocide__ctrl_12h__2,-1.9434998633,0.1366100778,-0.0569995024
biocide__ctrl_12h__3,-3.0564564212,0.46169277950000004,0.0472660829
biocide__ctrl_30m__1,-0.46973624100000005,0.17100117450000002,0.33721778150000004
biocide__ctrl_30m__2,0.5562697883000001,-0.3040600283,-0.27062545990000003
biocide__ctrl_30m__3,-0.0865335473,0.13305885380000002,-0.0665923216
clpP__wt__1,0.0201255111,-0.1036135371,0.20479163800000003
clpP__wt_DPTA__1,1.5702237863000001,1.8095372007,0.3465734583
clpP__wt__2,0.0731714525,-0.3329100937,-0.2537131765
clpP__wt_DPTA__2,2.4435333987,1.576321233,0.6026818688000001
clpP__wt__3,-0.0932969636,0.4365236308,0.0489215385
clpP__wt_DPTA__3,1.4284931764,1.7365836246000002,0.41325740380000003
clpP__delclpP__1,0.42436572580000004,-0.7739175568000001,0.0713302999
clpP__delclpP_DPTA__1,3.8415820128,0.5272466452,0.2114069639
clpP__delclpP__2,0.3010358178,-0.7396419659,0.1300402542
clpP__delclpP_DPTA__2,3.709003435,0.5665940065,0.0073217539
clpP__delclpP__3,-0.0346258797,-0.27680535,0.23248782010000002
clpP__delclpP_DPTA__3,3.4481709952,0.6392348118,0.43067051380000004
colombos2__delydcR__1,1.2418458999,0.1685960022,-0.4913156617
colombos2__delydcR__2,0.2627603066,-0.1299500352,-0.0686972693
colombos2__delydcR__3,1.578747825,-0.1740936811,0.0791676986
colombos2__delyjiR__1,0.527686776,0.016899559,-0.4459395096
colombos2__delyjiR__2,-0.5512027966,-0.023671544500000002,-0.0401441009
colombos2__delyjiR__3,-0.38042479160000003,0.050678763,-0.08055366950000001
colombos2__wt__1,-0.4435262184,-0.1300246802,-0.054260537500000004
colombos2__wt__2,-0.3951362413,0.1115131822,0.1725583896
colombos2__wt__3,0.8386624597000001,0.018511498,-0.1182978522
crp_k100__ar1_ar2__1,2.0701716641,-0.7990890634000001,0.45376140670000004
crp_k100__ar1_ar2__2,2.3210259464,-0.5456499056,0.2455006956
crp_k100__ar1_ar2__3,2.3212037472000002,0.1931737134,0.5572858614
crp_k100__wt__1,0.051709499000000006,-0.062391286000000004,0.3644909893
crp_k100__wt__2,0.1377366996,0.09866804700000001,-0.030927636300000002
crp_k100__wt__3,-0.1894461986,-0.036276761000000005,-0.3335633529
crp_k100__K100Q__1,-0.8736621847,-1.1324579805,0.0271468908
crp_k100__K100Q__2,0.0057108527000000004,-0.5716598474,-0.1290174872
crp_k100__K100R__1,-0.5450897753,-0.5384028595,0.2025204907
crp_k100__K100R__2,-0.0273439389,-0.0165785062,0.4836778773
crp_k100__K100R__3,-1.0060898461,-0.0691198381,0.48094129430000004
csrA__wt_t00__1,0.06461728380000001,0.3844655105,-0.34516889970000003
csrA__wt_t02_30__1,-0.1026410112,-0.8757333977,-1.9342343571
csrA__wt_t05__1,1.1826092405,-0.5311502529000001,-2.811900786
csrA__wt_t10__1,3.1477276034,-0.5721218595,-2.7932927972
csrA__wt_t15__1,2.8458087919,-1.2941337247,-1.3747360603
csrA__delcsrA_t00__1,-4.1477639222,-0.06365320990000001,0.7123880833
csrA__delcsrA_t02_30__1,-3.5874397256,0.1795351437,-2.1106121956
csrA__delcsrA_t05__1,-1.5208947802,1.0981206411,-2.2622828404
csrA__delcsrA_t10__1,-0.0773161234,0.3371587079,-2.084648474
csrA__delcsrA_t15__1,0.19754869590000002,0.1848873779,-1.8600585938
csrA__wt_t00__2,-0.06461728380000001,-0.3844655105,0.34516889970000003
csrA__wt_t02_30__2,0.9831441046,0.3142790124,-1.7522419455
csrA__wt_t05__2,2.8437103598,0.44154563750000003,-2.6586783169
csrA__wt_t10__2,4.2754919348,0.2787898697,-2.0011140232
csrA__wt_t15__2,3.4679785437,-0.8792811828,-1.1447469946
csrA__delcsrA_t00__2,-4.8796402381,-0.24691737160000002,0.419307154
csrA__delcsrA_t02_30__2,-3.9367820441,0.7670260286,-2.1580025632
csrA__delcsrA_t05__2,-2.6127381862,0.2563131363,-2.6057912212
csrA__delcsrA_t10__2,-0.9122768245,0.59706098,-1.7649886331
csrA__delcsrA_t15__2,-1.0784790311,0.3531091729,-0.9997268422000001
cstr_pfr__str_0005m__1,1.3831117466,0.213414118,-0.08658060590000001
cstr_pfr__str_0010m__1,1.5814487778,-0.22549421890000002,-0.2983542853
cstr_pfr__str_0025m__1,0.41488392620000003,-0.058439903700000004,0.034497801
cstr_pfr__str_0045m__1,0.6025646524,-0.16247405180000002,-0.0793167327
cstr_pfr__str_0075m__1,0.5237434301,-0.1317305358,-0.2219417431
cstr_pfr__str_0120m__1,0.8227020726000001,-0.028977580200000002,-0.0764930567
cstr_pfr__str_0210m__1,0.5844523417,-0.0269183526,-0.1141830544
cstr_pfr__str_0330m__1,-0.0323055578,0.0030864833,0.2405777576
cstr_pfr__str_1500m__1,-0.0641384197,-0.1260736549,0.3511646458
cstr_pfr__str_1560m__1,0.5525139347,-0.0071009044,-0.12171097360000001
cstr_pfr__str_1680m__1,0.8712964990000001,-0.07065822220000001,-0.0517513625
cstr_pfr__str_ref1__1,0.092001751,-0.0439860596,-0.0467782028
cstr_pfr__str_ref2__1,0.638005785,0.0331372216,-0.0915057438
cstr_pfr__str_ref3__1,0.20449323160000002,-0.0420898373,0.0794482552
cstr_pfr__pfr_P5_0005m__1,0.9692834618,0.6090305182,-0.0087950539
cstr_pfr__pfr_P5_0010m__1,2.1721115607,0.16230046850000002,-0.2509060231
cstr_pfr__pfr_P5_0025m__1,1.0020485487,0.2343889959,0.0362799849
cstr_pfr__pfr_P3_0025m__1,0.7774770157,0.0016003146,-0.0826824285
cstr_pfr__pfr_P1_0025m__1,0.5411554335000001,-0.10262556490000001,-0.1308319244
cstr_pfr__pfr_P5_0045m__1,1.0885506488,0.263338674,0.0100883812
cstr_pfr__pfr_P5_0120m__1,0.9889787231,0.3080094476,0.1741911015
cstr_pfr__pfr_P3_0120m__1,1.3715138843,-0.053261284000000006,-0.007114923
cstr_pfr__pfr_P1_0120m__1,2.4301298655,-0.0478062818,-0.15500813900000002
cstr_pfr__pfr_P5_0210m__1,0.7411627159,0.24986148560000002,0.3455940692
cstr_pfr__pfr_P5_1500m__1,1.5243139828999999,0.2597858686,-0.0018607296
cstr_pfr__pfr_P3_1680m__1,0.9404752161000001,0.1956587998,-0.2192794428
cstr_pfr__pfr_P5_1680m__1,1.4172505772,0.3444429299,0.0334785764
cstr_pfr__pfr_P1_1680m__1,0.6574142513,-0.0919173263,-0.1198927894
cstr_pfr__str_0005m__2,1.5757745503,-0.1559284193,-0.31170726990000003
cstr_pfr__str_0010m__2,1.4351479138,-0.3117323329,-0.6346461830000001
cstr_pfr__str_0025m__2,0.7308974781,-0.3549788984,-0.3300666417
cstr_pfr__str_0045m__2,0.5183077065,-0.2191486229,-0.1273461308
cstr_pfr__str_0075m__2,0.3190797103,-0.2554337699,-0.1091524547
cstr_pfr__str_0120m__2,0.9833626324,-0.15975841840000002,0.009773891100000001
cstr_pfr__str_0210m__2,0.6283938071,-0.15243856690000002,-0.1488676934
cstr_pfr__str_0330m__2,0.8135846382,-0.14854090690000002,-0.2258539946
cstr_pfr__str_1500m__2,0.5610965806,0.0533523106,-0.16552763410000002
cstr_pfr__str_1560m__2,0.8812216868,-0.0942249879,0.0471516624
cstr_pfr__str_1680m__2,0.5383133383,-0.06799396270000001,-0.0182776856
cstr_pfr__str_ref1__2,-0.092001751,0.0439860596,0.0467782028
cstr_pfr__str_ref2__2,0.19943403640000001,-0.0276449604,-0.1300680686
cstr_pfr__str_ref3__2,0.1440091492,-0.1012084702,0.0035735975
cstr_pfr__pfr_P5_0005m__2,1.5025975472000002,0.30589295710000003,-0.013459279900000001
cstr_pfr__pfr_P5_0010m__2,2.089848973,0.0795924583,-0.14188915500000002
cstr_pfr__pfr_P5_0025m__2,1.2982312725,0.0206000678,-0.2346074138
cstr_pfr__pfr_P3_0025m__2,0.9825549738,-0.3247070877,-0.37781048640000003
cstr_pfr__pfr_P1_0025m__2,0.7242950105,-0.39807763690000003,-0.3343822054
cstr_pfr__pfr_P5_0045m__2,1.7082632316000002,0.045134451900000004,0.3555031269
cstr_pfr__pfr_P5_0120m__2,1.4168511796,0.1301877645,0.145209093
cstr_pfr__pfr_P3_0120m__2,1.1194531017,-0.13219797960000002,-0.1017852268
cstr_pfr__pfr_P1_0120m__2,1.2308360744,-0.2535108333,-0.0967284684
cstr_pfr__pfr_P5_0210m__2,1.1071172796,0.48425317040000004,-0.0003088753
cstr_pfr__pfr_P5_1500m__2,1.3741070053,0.2794221789,0.043419112
cstr_pfr__pfr_P3_1680m__2,1.5855381895,0.3854533687,-0.055831285200000004
cstr_pfr__pfr_P5_1680m__2,1.3225064912,0.1738750254,-0.1392303054
cstr_pfr__pfr_P1_1680m__2,0.7168190946,0.019325781900000002,0.0098131016
darobactin__daro_30m__1,1.0681990306,0.9622415594,0.8101298782
darobactin__daro_30m__2,0.4449827327,0.7550729143,0.4192978872
darobactin__solv_1h__1,-0.36575319440000004,1.8153011222000002,1.8809431970000001
darobactin__solv_1h__2,0.2110945271,1.6305390598,1.4280433025
darobactin__daro_1h__1,0.9139037858,2.66022843,1.7675486426
darobactin__solv_1h__3,0.5574439416,2.0770640183,2.1585608582
darobactin__daro_1h__2,0.5888402317,2.5665020116,1.7509358094
darobactin__daro_1h__3,-0.0118836437,2.8456212339,1.9042802220000001
darobactin__daro_30m__3,0.744155996,1.1736554388,1.2041534511
darobactin__solv_30m__1,0.0346482625,0.2661366081,0.5161256039000001
darobactin__solv_15m__1,0.0480107804,-0.0111502136,-0.3445335894
darobactin__solv_15m__2,-0.15842244400000002,0.2054542597,0.5846801657
darobactin__daro_15m__1,1.618085979,0.7391266073,0.7072160489
darobactin__solv_15m__3,0.1104116635,-0.19430404610000002,-0.2401465763
darobactin__daro_15m__2,0.7449585846,0.7199340907,0.3933204417
darobactin__daro_15m__3,0.1883324569,1.2277820302,0.6806577602
darobactin__solv_30m__2,0.7362570677,0.0215407991,0.384585181
darobactin__solv_30m__3,0.6424028176000001,-0.0150692206,0.1654576179
ddp__pNT3_aroP__1,-0.5829758399,0.0663741888,0.2742885665
ddp__pNT3_aroP__2,-1.0696089113,0.4506381236,-0.0060411654
ddp__pNT3_bamC__1,3.5441269873,0.28768228490000003,0.6641817168
ddp__pNT3_bamC__2,5.9363208638,0.1535386401,0.4726431593
ddp__pNT3_cusA__1,2.2494599389,0.15565523180000002,0.6566834539
ddp__pNT3_cusA__2,4.1480867032,0.131350726,0.6779241615
ddp__pNT3_hemX__1,2.3525318948000002,0.7917607625,0.15593262500000002
ddp__pNT3_hemX__2,1.8516982558000001,0.6527340802,0.23919984800000002
ddp__pNT3_empty__1,-0.23313444690000001,-0.0220604303,-0.0467533063
ddp__pNT3_empty__2,0.23313444690000001,0.0220604303,0.0467533063
ddp__pNT3_topA__1,5.3127145499,1.0835072224,0.2991089769
ddp__pNT3_topA__2,5.6794024338,0.9596565713,0.1395896821
ddp__pNT3_yicR__1,-0.0263293759,0.5855899905,0.6021378943
ddp__pNT3_yicR__2,0.1658482276,0.5974975256,0.55872074
ddp__pNT3_yqjD__1,0.5315317682,0.3973549986,0.28072008200000004
ddp__pNT3_yqjD__2,1.1252054989,0.3463440169,0.0234085775
ecomics__del_gabT__1,0.29330154680000003,0.0319115236,-0.20576502
ecomics__del_gabT__2,-0.29330154680000003,-0.0319115236,0.20576502
ecomics__del_putP__1,0.7089365303,0.1755425277,-0.1269629209
ecomics__del_putP__2,-0.4089103874,0.024489941100000003,0.2638626536
ecomics__del_entF__1,1.1128866172,-0.2854373702,0.36790409890000003
ecomics__del_entF__2,-1.4399049,0.3764522019,0.373304611
ecomics__del_entF__3,-0.28116625500000003,0.2949215998,-0.0705681526
ecomics__del_cysA__1,-0.3686695076,-0.0268914219,0.42384434320000003
ecomics__del_cysA__2,-2.3327416923,0.056630553900000005,0.4033787085
elyC__wt_21C__1,-4.1762742023,0.8425441532,0.3238563437
elyC__wt_21C__2,-4.0247054966,0.6879051231000001,0.2843545604
elyC__wt_21C__3,-4.7147906212,0.6686345142,0.3193154521
elyC__wt_37C__1,0.011196794000000001,-0.5242501190000001,-0.06872745770000001
elyC__wt_37C__2,-0.0428079119,0.3029605819,0.041912245800000004
elyC__wt_37C__3,0.0316111179,0.22128953710000002,0.0268152119
elyC__delelyC_21C__1,-4.8801050227000005,0.5729494946,0.3628288907
elyC__delelyC_21C__2,-3.5186668471,0.8031390428,0.5176104105
elyC__delelyC_21C__3,-4.1336907268,0.5992687779,0.3230137956
elyC__delelyC_37C__1,-0.2193673703,-0.2291631891,-0.0156574754
elyC__delelyC_37C__2,-0.2287724001,-0.18907728040000002,-0.0086760528
elyC__delelyC_37C__3,-0.0105382632,-0.1244349435,-0.179559208
evo_acid_w__F9_2__1,0.15243132980000001,1.097039597,0.43446430140000003
evo_acid_w__F11_1__1,1.4086255738,-0.9273947829,1.2836245637
evo_acid_w__F11_1__2,1.1900029386,-1.0439189205,1.1623738321000001
evo_acid_w__F11_1__3,1.237946541,-0.8374599219000001,1.1442076932
evo_acid_w__wt__1,-1.0234687748,-0.0241568321,0.6507656286
evo_acid_w__F11_2__1,-0.1859557553,-0.0860494442,0.5565298149
evo_acid_w__B11_2__1,-1.1234022634,-0.2103483814,1.0600319582
evo_acid_w__F11_2__2,0.1572404161,-0.7525754931,0.4217520044
evo_acid_w__wt__2,-0.9111699339,-0.0423046222,0.49432103180000003
evo_acid_w__B11_1__1,-0.279124121,-2.0566938058,0.0212369523
evo_acid_w__H9_1__1,-3.8357056627,-0.9828317065000001,0.8699943583
evo_acid_w__H9_2__1,-0.70700856,-0.5097708088,0.3193664813
evo_acid_w__B11_2__2,-0.9176123254,-0.2337895701,1.0618690107
evo_acid_w__wt__3,-0.8969965456000001,0.5081283672,0.547064392
evo_acid_w__H9_2__2,-0.6475838477,-0.47408949180000004,0.3760635767
evo_acid_w__B11_2__3,-0.8751501347,-0.6043009345,0.9449987166
evo_acid_w__F11_2__3,-0.0010951755,-0.6240025128000001,0.673379375
evo_acid_w__F9_2__2,-0.0659229695,0.9201684831,0.5832250705
evo_acid_w__wt__4,-1.6499111633,0.4262621594,0.337729323
evo_acid_w__wt__5,-1.2041105614,-0.0907873793,0.5309328725
evo_acid_w__wt__6,2.8882970306,-0.6271696783,-1.000058649
evo_acid_w__H9_1__2,-3.7898134605,-0.9878038137,1.0138355139
evo_acid_w__F9_1__1,0.592719051,0.1061579939,0.9831221910000001
evo_acid_w__F9_1__2,0.1683538417,0.0811030881,0.8942265578
evo_acid_w__B11_1__2,-0.0518690527,-1.4706241186,0.1464271212
evo_acid_w__H9_2__3,-0.9044354585000001,-0.4671100716,0.48107381800000004
evo_acid_w__wt__7,-1.3753711195,0.291305217,0.20974089980000002
evo_acid_w__F9_1__3,0.10754603750000001,0.0806200884,1.0816449792
evo_acid_w__F9_2__3,0.0020771476,1.2349298928,0.4713768157
evo_acid_w__wt__8,1.7141317461,-0.5168503485,-0.8962035237
evo_acid_w__B11_1__3,0.0066575506,-1.5198680512,-0.0878246567
evo_acid_w__wt__9,2.4585993219,0.0755731168,-0.8742919752
evo_bz__c3_1_bz__1,-4.8071909134,0.6045900864,0.5299695885
evo_bz__c3_1_bz__2,-0.3723376089,0.6665521292000001,-0.3728129505
evo_bz__c3_1_bz__3,-1.6257147918000001,0.5463657323000001,-0.34179119750000003
evo_bz__c3_1_bz__4,-2.2568916215,0.6278999625,-0.2947678569
evo_bz__g5_1_bz__1,-6.055553734,1.5070312818,0.26985744570000003
evo_bz__g5_1_bz__2,-4.2515456769,0.8280153045,-0.32264820780000003
evo_bz__g5_1_bz__3,-5.0584389445,1.5406839391,-0.0387963288
evo_bz__g5_1_bz__4,-0.9475270615,2.2125833362,-0.3890635696
evo_bz__g5_1_bz__5,-0.5892945514,1.7876219128000002,-0.332343267
evo_bz__g5_1_bz__6,-0.6278093112,1.9715246501,-0.2972507773
evo_bz__w3110d13__1,0.4337675828,-0.2027626566,0.021175352
evo_bz__w3110d13__2,0.9246501294,-0.1722772558,0.1631554181
evo_bz__w3110d13__3,-0.1038178696,-0.0238262804,-0.120741211
evo_bz__w3110d13__4,0.7316818824,-0.3323414589,0.0915330287
evo_bz__w3110d13__5,-0.6455544894,0.09276473390000001,-0.1622158277
evo_bz__w3110d13__6,-1.3407272355,0.6384429179000001,0.0070932399
evo_bz__w3110d13_bz__1,-3.134809474,1.0306032465,-0.0242599538
evo_bz__w3110d13_bz__2,-3.4109523828,1.0620790756,0.0992012417
evo_bz__w3110d13_bz__3,-1.000966385,1.1761166277,-0.3779833341
evo_bz__w3110d13_bz__4,-3.5043803835,1.0781661632,-0.0525686896
evo_bz__c3_1_bz__5,-5.3288056731,0.5970242542,0.5007591928
evo_bz__c3_1_bz__6,-4.4809590607,0.41313108940000004,0.4864357703
evo_bz__g5_2_bz__1,0.7169149873,0.6560503050000001,-0.4153396266
evo_bz__g5_2_bz__2,1.1047662534,0.5163063446,-0.44891304060000004
evo_bz__g5_2_bz__3,0.9061861016,0.5921911449,-0.5689284686
evo_bz__g5_2_bz__4,-2.5255697166999997,0.4145018807,-0.2566813261
evo_bz__g5_2_bz__5,-1.9877707822000001,0.3385546109,-0.4155007576
evo_bz__g5_2_bz__6,-2.2341710135,0.6707933292,-0.0016409198
evo_bz__w3110d13_bz__5,-2.0521006421,1.0105470486,-0.6010902704000001
evo_bz__w3110d13_bz__6,-2.5847817639,1.2598023969,-0.2143768053
evo_bz__a1_1_bz__1,-3.2639966468,1.8700815334,0.3231050688
evo_bz__a1_1_bz__2,-3.3027020347000002,1.2053437335,-0.0223363696
evo_bz__a1_1_bz__3,-4.9603899964,0.8512096507,-0.2412308045
evo_bz__a1_1_bz__4,-2.2736153378,1.0336142905,-0.0551689131
evo_bz__a1_1_bz__5,-5.0842001357,0.8297124726,-0.7240043218000001
evo_bz__a1_1_bz__6,-4.8821714219,0.9577840338,-0.3784223989
evo_metab__wt__1,0.07965183270000001,0.6428626927000001,0.4212002764
evo_metab__del_zwf__1,1.4616244306000001,0.5569332490000001,0.3575049208
evo_metab__zwf_ale1__1,0.8696040308,0.45583812900000004,0.8905330847
evo_metab__zwf_ale2__1,0.0872256368,-0.0059625017,0.8025844591
evo_metab__del_ppk__1,1.2837735639,-0.7958093834000001,-0.1808267439
evo_metab__ppk_ale1__1,0.7039517247,-0.9913625079,0.38210237700000005
evo_metab__ppk_ale2__1,-0.1327593839,0.8636873724,0.5740703101
evo_metab__ppk_ale3__1,0.1662520604,0.9692145481000001,0.5737572905
evo_metab__del_dapF__1,-0.1777431961,0.5484635499,0.4184373021
evo_metab__dapF_ale1__1,-1.1866016061,0.47975582850000004,0.7083322515
evo_metab__dapF_ale3__1,1.9405656422000002,0.0560243226,0.1633692317
evo_metab__del_entC__1,-0.9418803202,-0.4189636936,0.3178000568
evo_metab__entC_ale1__1,1.056381528,-0.9782229419,0.305420633
evo_metab__entC_ale2__1,0.09477036970000001,0.5822594640000001,0.3650557679
evo_metab__del_dgk__1,0.7023354731,-1.0677223828,-0.1833150164
evo_metab__dgk_ale1__1,2.1519740188,-0.6452112251000001,0.37107771780000004
evo_metab__dgk_ale2__1,1.1421791893,0.1060509201,0.4925290531
evo_metab__dgk_ale3__1,-1.2272126367,-0.601614632,0.4397781418
evo_metab__wt__2,-0.8402186330000001,-0.7106380433,-0.2527855334
evo_metab__del_zwf__2,0.0865212166,0.48744292520000004,0.2640050923
evo_metab__zwf_ale1__2,1.3083101462,-0.1201034834,0.026223927600000002
evo_metab__zwf_ale2__2,0.3443546233,-0.49547265960000003,0.2716117791
evo_metab__del_ppk__2,1.4132536633,-0.7485561418000001,0.0204163643
evo_metab__ppk_ale1__2,0.9591934679,-0.1073952073,0.33864314640000004
evo_metab__ppk_ale2__2,1.6530689282000002,-0.5009317645,0.2386835813
evo_metab__ppk_ale3__2,-1.0084091095,-0.8764053693,0.1904871596
evo_metab__del_dapF__2,0.259335525,0.2653966235,0.3646292973
evo_metab__dapF_ale1__2,-0.0454419794,0.8576571565000001,0.6947599242
evo_metab__dapF_ale3__2,0.5716996482,0.5060509845,0.3767174487
evo_metab__del_entC__2,0.5983217362000001,-0.7526508004,0.1266422141
evo_metab__entC_ale1__2,0.13239480950000002,-0.6745435179,-0.3256381681
evo_metab__entC_ale2__2,0.775226654,-0.2096922728,0.29705016170000004
evo_metab__entC_ale3__1,1.2824457417000001,-0.5210191926000001,0.43805913220000003
evo_metab__del_dgk__2,1.1431649809,-0.9885591913,-0.028773435000000003
evo_metab__dgk_ale1__2,1.4827551727000001,-0.5335854546000001,0.282402086
evo_metab__dgk_ale2__2,1.5767553476,-0.6650077532,0.2575404501
evo_metab__dgk_ale3__2,1.0530598788,-0.6734272628,0.6010952717
evo_metab__wt__3,0.7605668003,0.0677753505,-0.168414743
evo_metab__del_zwf__3,-0.5406859502,-0.6635944368000001,-0.6393314645
evo_metab__zwf_ale1__3,1.8807925581,0.24001536340000001,-0.0078047996000000005
evo_metab__zwf_ale2__3,0.8755440587000001,-0.39957036030000004,0.025995405000000003
evo_metab__del_ppk__3,1.4827233441,0.13779702600000002,0.039591064700000005
evo_metab__ppk_ale1__3,1.2853756562,-0.2892728428,0.2359641245
evo_metab__ppk_ale2__3,0.17356620620000002,0.063880307,0.7021938714
evo_metab__ppk_ale3__3,0.6407614179000001,-0.0446195849,0.48013016620000004
evo_metab__del_dapF__3,0.5014808218,0.6790029578,0.1337134489
evo_metab__dapF_ale1__3,-0.6074795637,0.5657041852,0.6883904789
evo_metab__dapF_ale3__3,-0.09063551110000001,0.7180691943,0.1262207586
evo_metab__del_entC__3,-0.3147123275,-0.4285660378,-0.06632161610000001
evo_metab__entC_ale1__3,0.3934996841,-0.37244374420000004,-0.3226349988
evo_metab__entC_ale2__3,1.3650235573,-0.5556808697,-0.2228231571
evo_metab__entC_ale3__2,-0.7375542231000001,-0.1552247884,0.4628285562
evo_metab__del_dgk__3,2.0349325612,-0.6178347536000001,0.36677717670000004
evo_metab__dgk_ale1__3,1.9129288822000001,-0.1980209816,0.2906985141
evo_metab__dgk_ale2__3,2.2709530335,-0.2259185498,0.23971093400000001
evo_metab__dgk_ale3__3,0.8331006712,-0.7817842324000001,0.7440798319
flag_reg__wt__1,-0.18080983620000002,-0.0242983062,-0.0053237726
flag_reg__del_fliA__1,0.1893585389,0.7349939390000001,0.22782351110000001
flag_reg__del_flhC__1,-0.524019874,0.42723498790000003,0.0733568139
flag_reg__del_flhD__1,-0.9048870188,0.2324750193,0.10939563070000001
flag_reg__wt__2,0.18080983620000002,0.0242983062,0.0053237726
flag_reg__del_fliA__2,-0.0692988187,0.6642612716,0.2441834272
flag_reg__del_flhC__2,-0.0496521651,0.43708541440000004,0.1286294826
flag_reg__del_flhD__2,0.1812201238,0.7065415546,0.0231402931
flgM__27C__1,0.5671908145,0.9454235623,-0.3482889489
flgM__27C__2,0.2487246783,0.7759384872,-0.15203622690000002
flgM__27C__3,0.45438058060000003,0.5711733054,-0.1300128627
flgM__32C__1,0.0090475567,0.9374318935,-0.0443395607
flgM__32C__2,-0.1848923703,0.910492182,0.14418107160000002
flgM__32C__3,-0.2263332255,0.8612305479,0.1260522464
flgM__37C__1,-0.1135713347,-0.037221874200000005,0.0039857212
flgM__37C__2,0.0614312339,0.0013268786,0.0884450174
flgM__37C__3,0.0521401009,0.0358949956,-0.0924307386
flgM__42C__1,-0.3156899816,-0.0877083962,-0.305424093
flgM__42C__2,-0.0890294112,-0.044082464,-0.3791234781
flgM__42C__3,0.0958058752,0.0040361203,0.6360487085000001
histone__untreated__1,0.12203390100000001,-0.3611764005,-0.0833636715
histone__untreated__2,1.5042374634,0.0771642025,-0.027955986800000002
histone__untreated__3,-1.6262713643,0.2840121979,0.1113196582
histone__10ug_H2A__1,-1.5058451268000002,0.1505303285,-0.1901209633
histone__10ug_H2A__2,-0.0123338451,0.1160648475,0.0423277972
histone__10ug_H2A__3,-2.1218665942,0.3506432363,-0.12417546900000001
histone__50ug_H2A__1,-3.9655088418,1.0733189414,-0.1065375823
histone__50ug_H2A__2,-3.9084085513,0.9355091798,-0.27359510060000003
histone__50ug_H2A__3,-4.0545703097,0.6864147749,-0.1098886512
histone__100ug_H2A__1,-3.6002958099,1.4027260516,-0.2099619311
histone__100ug_H2A__2,-3.5248115225000003,1.1597094079999999,-0.2072234839
histone__100ug_H2A__3,-3.6126339053,1.2837350512,-0.1028158099
hns__del_hns_spike__1,-1.8677131838,-0.5141281642000001,0.3827395403
hns__del_hns_spike__2,0.5505990846000001,0.4709148805,0.1497345623
hns__del_hns__1,-2.0555505571,-0.4309899782,0.3328205468
hns__del_hns__2,1.0745689727,0.5072233562,-0.1305141768
hns__wt_spike__1,-0.9986944255,0.0010033149,0.0789767246
hns__wt_spike__2,1.6612781499,0.1241556788,0.8574227377
hns__wt__1,-0.5712372353,-0.095928678,0.1748548392
hns__wt__2,0.5712372353,0.095928678,-0.1748548392
hns_stpA__evo100G4_delhns_delstpA__1,-2.428292674,-1.6296757112,-0.3557276556
hns_stpA__evo100G4_delhns_delstpA__2,-2.896127855,-1.5207212803,-0.6656835983
