,A,TyrR
cstr_pfr__str_0025m__1,0.1656394128,0.012282877000000001
cstr_pfr__str_0045m__1,0.0544243957,0.0402443656
cstr_pfr__str_0075m__1,0.162737916,0.029036571900000002
cstr_pfr__str_0120m__1,0.2148450844,0.0484784328
cstr_pfr__str_0210m__1,0.13824923320000002,-0.0115735787
cstr_pfr__str_0330m__1,-0.6694800319,0.1354250895
cstr_pfr__str_1500m__1,-0.5314089103,0.09870447980000001
cstr_pfr__str_1560m__1,-0.1718189991,0.050740463300000004
cstr_pfr__str_1680m__1,-0.027500742600000003,0.0405359051
cstr_pfr__str_ref1__1,0.0657590858,0.0294344536
cstr_pfr__str_ref2__1,-0.0647702985,-0.0495068875
cstr_pfr__str_ref3__1,-0.1430892063,0.0600818028
cstr_pfr__pfr_P5_0005m__1,-0.8098103251000001,0.2776486013
cstr_pfr__pfr_P5_0010m__1,-0.6729288939,0.0510111445
cstr_pfr__pfr_P5_0025m__1,-0.2221387158,0.220386208
cstr_pfr__pfr_P3_0025m__1,0.0705650291,0.0619540819
cstr_pfr__pfr_P1_0025m__1,0.207171137,-0.08306861010000001
cstr_pfr__pfr_P5_0045m__1,-0.2975081304,0.20072764
cstr_pfr__pfr_P5_0120m__1,-0.5501630230000001,0.1435130796
cstr_pfr__pfr_P3_0120m__1,0.1346178167,0.0623626243
cstr_pfr__pfr_P1_0120m__1,-0.20535512560000002,0.1957699651
cstr_pfr__pfr_P5_0210m__1,-0.9575236332,0.231207023
cstr_pfr__pfr_P5_1500m__1,-0.0917127789,0.13680513360000002
cstr_pfr__pfr_P3_1680m__1,-0.1702052221,0.0407469234
cstr_pfr__pfr_P5_1680m__1,0.0061699586,0.2064718999
cstr_pfr__pfr_P1_1680m__1,-0.1013269168,0.0673236308
cstr_pfr__str_0005m__2,-0.7816110945,-0.192260745
cstr_pfr__str_0010m__2,-0.470354985,-0.1829460184
cstr_pfr__str_0025m__2,-0.0088218066,-0.030052807100000002
cstr_pfr__str_0045m__2,-0.11164103580000001,0.010501230700000001
cstr_pfr__str_0075m__2,-0.0066120871000000005,-0.0059777832000000005
cstr_pfr__str_0120m__2,0.2574487634,0.037532106
cstr_pfr__str_0210m__2,-0.0047867174,0.1004819046
cstr_pfr__str_0330m__2,0.028263381,0.1143687166
cstr_pfr__str_1500m__2,-0.1702572345,0.0783692222
cstr_pfr__str_1560m__2,-0.021528465700000003,0.09982228060000001
cstr_pfr__str_1680m__2,-0.2518788716,0.0958831088
cstr_pfr__str_ref1__2,-0.0657590858,-0.0294344536
cstr_pfr__str_ref2__2,-0.1433838051,0.0848415829
cstr_pfr__str_ref3__2,0.1448126577,0.013622079700000001
cstr_pfr__pfr_P5_0005m__2,-0.9258436404,0.0856593373
cstr_pfr__pfr_P5_0010m__2,-0.9851396955,0.0578782336
cstr_pfr__pfr_P5_0025m__2,-0.2890300742,0.0865689402
cstr_pfr__pfr_P3_0025m__2,-0.0123277821,-0.1327872743
cstr_pfr__pfr_P1_0025m__2,0.0524589356,-0.052075535900000004
cstr_pfr__pfr_P5_0045m__2,-0.33411518090000003,0.31039205540000003
cstr_pfr__pfr_P5_0120m__2,-0.053676504800000004,0.19836689000000002
cstr_pfr__pfr_P3_0120m__2,0.174919244,-0.0300440345
cstr_pfr__pfr_P1_0120m__2,0.21261481270000002,-0.019719489200000002
cstr_pfr__pfr_P5_0210m__2,-0.4396686322,0.20134354710000002
cstr_pfr__pfr_P5_1500m__2,0.0174872005,0.1959680054
cstr_pfr__pfr_P3_1680m__2,-0.2585737012,0.2088383523
cstr_pfr__pfr_P5_1680m__2,0.0202758803,0.052017698300000005
cstr_pfr__pfr_P1_1680m__2,0.11121033100000001,0.051192855
darobactin__daro_30m__1,-1.2364083282,0.8838425938000001
darobactin__daro_30m__2,-0.4894713295,0.4164581907
darobactin__solv_1h__1,0.1545357515,1.0661064706
darobactin__solv_1h__2,-1.0997355305,0.9533884610000001
darobactin__daro_1h__1,-0.2546246514,1.1580071653
darobactin__solv_1h__3,0.3415631308,1.2963270708999999
darobactin__daro_1h__2,-0.15308785490000001,1.2493592683
darobactin__daro_1h__3,0.5657536469000001,1.3405692287
darobactin__daro_30m__3,-0.8526275703,0.5788387582
darobactin__solv_30m__1,-0.9337288078,0.5141787732
darobactin__solv_15m__1,-0.289893514,0.06758150880000001
darobactin__solv_15m__2,0.5679451999999999,0.0881877783
darobactin__daro_15m__1,-0.2544854231,0.3519346685
darobactin__solv_15m__3,-0.278051686,-0.155769287
darobactin__daro_15m__2,-1.2317566195,0.2150642875
darobactin__daro_15m__3,0.10725586370000001,0.4191948347
darobactin__solv_30m__2,-0.43201756300000005,0.0984127949
darobactin__solv_30m__3,-1.1236106588,0.25595489320000003
ddp__pNT3_aroP__1,1.9768972942,0.1444678222
ddp__pNT3_aroP__2,2.3493611889,-0.2640989297
ddp__pNT3_bamC__1,-1.0309383205,-0.6973647404000001
ddp__pNT3_bamC__2,-1.0070579248,-0.6433582623
ddp__pNT3_cusA__1,-0.5215912715000001,-0.5322665655000001
ddp__pNT3_cusA__2,-0.41084994900000005,-0.1655497125
ddp__pNT3_hemX__1,-0.5358150393000001,-0.5982056448
ddp__pNT3_hemX__2,0.34078270520000004,-0.6707278466000001
ddp__pNT3_empty__1,0.0890828395,0.0231064563
ddp__pNT3_empty__2,-0.0890828395,-0.0231064563
ddp__pNT3_topA__1,-0.11400261340000001,-0.5539848696
ddp__pNT3_topA__2,0.15878377770000002,-0.5212664370000001
ddp__pNT3_yicR__1,-0.29522666740000003,-0.6061326745
ddp__pNT3_yicR__2,0.026688039,-0.7034623717
ddp__pNT3_yqjD__1,0.3009506187,-0.0878490328
ddp__pNT3_yqjD__2,0.3182844898,-0.3588055201
ecomics__del_gabT__1,0.9161965673,-0.0840218531
ecomics__del_gabT__2,-0.9161965673,0.0840218531
ecomics__del_putP__1,0.5742565371,0.3017566179
ecomics__del_putP__2,0.119067248,0.10358510380000001
ecomics__del_entF__1,-4.2688884704,-0.0556341765
ecomics__del_entF__2,-0.9826808421000001,0.0789445737
ecomics__del_entF__3,-2.0589089867,-0.132533737
ecomics__del_cysA__1,-5.1989559114,-0.2300332975
ecomics__del_cysA__2,-4.3195474131000005,-0.0420031347
elyC__wt_21C__1,-0.3142062681,0.1628887223
elyC__wt_21C__2,-0.49527008720000004,0.1597586312
elyC__wt_21C__3,-0.2544815039,0.1895582979
elyC__wt_37C__1,-0.1993553441,0.0376163081
elyC__wt_37C__2,0.107305125,0.0084125291
elyC__wt_37C__3,0.0920502191,-0.0460288372
elyC__delelyC_21C__1,-0.4390063742,0.2836609802
elyC__delelyC_21C__2,-0.18588236800000002,0.21243737470000001
elyC__delelyC_21C__3,-0.2537292519,0.2427114595
elyC__delelyC_37C__1,0.0170720823,-0.0363891219
elyC__delelyC_37C__2,-0.15154844920000002,-0.0097988207
elyC__delelyC_37C__3,-0.2024035644,0.0512243089
evo_acid_w__F9_2__1,0.151625586,-0.0083008729
evo_acid_w__F11_1__1,0.9696967601,0.17389991570000002
evo_acid_w__F11_1__2,0.5935507916,0.1912850399
evo_acid_w__F11_1__3,0.1904273431,0.2489302229
evo_acid_w__wt__1,0.4700627405,-0.08414209090000001
evo_acid_w__F11_2__1,-0.4828029965,0.0683263299
evo_acid_w__B11_2__1,-0.6666431069000001,0.3893811152
evo_acid_w__F11_2__2,-1.1226054401,0.2041640364
evo_acid_w__wt__2,0.8153261577,-0.0561012121
evo_acid_w__B11_1__1,-1.1984296803,0.7406771795
evo_acid_w__H9_1__1,4.4096431652,-0.6172284518000001
evo_acid_w__H9_2__1,0.7147399445,0.25556491530000003
evo_acid_w__B11_2__2,-0.7176660107,0.5576874107
evo_acid_w__wt__3,1.1983260705,-0.1163371311
evo_acid_w__H9_2__2,0.6778628543,0.222320183
evo_acid_w__B11_2__3,-0.7272430605,0.5340257867
evo_acid_w__F11_2__3,-0.8364703176,0.24445037500000003
evo_acid_w__F9_2__2,0.2762857246,-0.00034234200000000004
evo_acid_w__wt__4,-0.5868387826,0.1508339455
evo_acid_w__wt__5,-0.157244967,0.1731087886
evo_acid_w__wt__6,-0.2603951376,0.1730580781
evo_acid_w__H9_1__2,4.5136585251,-0.42238112200000005
evo_acid_w__F9_1__1,1.9091137381,0.0261801259
evo_acid_w__F9_1__2,1.7096998108,0.0112244189
evo_acid_w__B11_1__2,-0.9600426315,0.5296614203000001
evo_acid_w__H9_2__3,0.8382692206,0.3346602743
evo_acid_w__wt__7,-0.0032915320000000002,-0.10937322340000001
evo_acid_w__F9_1__3,1.9002305202,-0.012495045100000001
evo_acid_w__F9_2__3,0.039442930200000004,0.029614266900000002
evo_acid_w__wt__8,-0.9913228576,-0.026956515900000002
evo_acid_w__B11_1__3,-1.0758917069,0.6020429298000001
evo_acid_w__wt__9,-0.48462169180000003,-0.10409063880000001
evo_bz__c3_1_bz__1,2.4319106049,-0.045774356100000003
evo_bz__c3_1_bz__2,0.1905707211,-0.3833595463
evo_bz__c3_1_bz__3,-0.1187805019,-0.31776974480000003
evo_bz__c3_1_bz__4,-0.47637549090000003,-0.2571723165
evo_bz__g5_1_bz__1,1.3822864016,-0.4441348263
evo_bz__g5_1_bz__2,1.2747009875,-0.3325569192
evo_bz__g5_1_bz__3,1.5242709286,-0.5424239935
evo_bz__g5_1_bz__4,0.6505848264,-0.6642435848
evo_bz__g5_1_bz__5,0.3772209435,-0.41426024770000003
evo_bz__g5_1_bz__6,0.5290085826,-0.4701185464
evo_bz__w3110d13__1,-0.32193912690000004,0.2686589831
evo_bz__w3110d13__2,-0.8081258827000001,0.2332719443
evo_bz__w3110d13__3,0.3800265633,-0.1173085844
evo_bz__w3110d13__4,-0.3034762077,0.1132053152
evo_bz__w3110d13__5,0.37622933350000004,-0.40280754500000004
evo_bz__w3110d13__6,0.6772853206,-0.0950201132
evo_bz__w3110d13_bz__1,0.8096658781,-0.038853561200000004
evo_bz__w3110d13_bz__2,0.7962670334,0.0234056147
evo_bz__w3110d13_bz__3,0.1619749734,-0.3422131883
evo_bz__w3110d13_bz__4,0.2637507773,-0.0571516039
evo_bz__c3_1_bz__5,2.1374536749,-0.0320277226
evo_bz__c3_1_bz__6,2.5068856275,0.0751542659
evo_bz__g5_2_bz__1,0.4588403307,-0.6873828070000001
evo_bz__g5_2_bz__2,0.3314726529,-0.6945635284
evo_bz__g5_2_bz__3,0.17128896940000002,-0.6003169368
evo_bz__g5_2_bz__4,0.1812668382,0.011921230500000001
evo_bz__g5_2_bz__5,0.3929286732,-0.0037883331
evo_bz__g5_2_bz__6,1.1603857299,0.1299722671
evo_bz__w3110d13_bz__5,-0.36602357960000004,-0.4148449134
evo_bz__w3110d13_bz__6,0.45008594630000004,-0.4175351793
evo_bz__a1_1_bz__1,0.5898032066000001,0.1686802734
evo_bz__a1_1_bz__2,0.5106464195,0.0353497309
evo_bz__a1_1_bz__3,1.4608394768,-0.614033138
evo_bz__a1_1_bz__4,0.8001014051,0.30367152270000003
evo_bz__a1_1_bz__5,1.566312586,-0.9197161334
evo_bz__a1_1_bz__6,1.2992978939,-0.6401646765
evo_metab__wt__1,-0.7079809446,0.2169320794
evo_metab__del_zwf__1,-1.4219199153,0.3323137994
evo_metab__zwf_ale1__1,-0.1367747628,0.577012532
evo_metab__zwf_ale2__1,0.9124113133,-0.0494738954
evo_metab__del_ppk__1,2.5899003453000002,0.0096233173
evo_metab__ppk_ale1__1,3.6525600243,-0.1830023445
evo_metab__ppk_ale2__1,-0.09880673050000001,0.5903524622
evo_metab__ppk_ale3__1,0.1662136365,0.4225301039
evo_metab__del_dapF__1,-1.9243946989,0.0496277568
evo_metab__dapF_ale1__1,-0.8895901402,0.35748368410000003
evo_metab__dapF_ale3__1,1.1270507726,0.17885954210000002
evo_metab__del_entC__1,1.069946561,0.1011623373
evo_metab__entC_ale1__1,1.5635854204,0.1389316044
evo_metab__entC_ale2__1,-0.5310763953000001,0.7515053228
evo_metab__del_dgk__1,0.4734988046,-0.39147038030000003
evo_metab__dgk_ale1__1,2.2114928441,0.397697204
evo_metab__dgk_ale2__1,-0.8570068748,0.3992872978
evo_metab__dgk_ale3__1,2.8919823708,0.4240510631
evo_metab__wt__2,3.0720442451,-0.044396309700000004
evo_metab__del_zwf__2,-2.1769354945,0.028137217500000002
evo_metab__zwf_ale1__2,-3.8087274065,-0.3199975639
evo_metab__zwf_ale2__2,-1.4093773732,-0.3879175268
evo_metab__del_ppk__2,0.8748092351000001,-0.0277200197
evo_metab__ppk_ale1__2,-1.6133182977,0.1967548073
evo_metab__ppk_ale2__2,-0.9981240175,0.12087456120000001
evo_metab__ppk_ale3__2,0.6378813965,-0.09947143030000001
evo_metab__del_dapF__2,-3.3014484328,-0.5264835507
evo_metab__dapF_ale1__2,-2.6180697048,-0.3998554577
evo_metab__dapF_ale3__2,-3.331366277,-0.3782954047
evo_metab__del_entC__2,1.5314754615,-0.1182222144
evo_metab__entC_ale1__2,-0.7166894494,-0.39598839550000003
evo_metab__entC_ale2__2,-1.2634724118,0.3611809835
evo_metab__entC_ale3__1,-0.46677849650000003,-0.0058984592
evo_metab__del_dgk__2,0.0044223543,-0.24291028380000002
evo_metab__dgk_ale1__2,-2.1266301613,-0.1088625939
evo_metab__dgk_ale2__2,-0.9206629028000001,0.0016578147
evo_metab__dgk_ale3__2,-0.2995056452,-0.2357870746
evo_metab__wt__3,-2.3640633005,-0.1725357696
evo_metab__del_zwf__3,-0.6392359585,-0.49173463500000003
evo_metab__zwf_ale1__3,-4.020663835,-0.4191634574
evo_metab__zwf_ale2__3,-2.7003428473,-0.38400367160000004
evo_metab__del_ppk__3,-2.8309523605,-0.2464691373
evo_metab__ppk_ale1__3,0.1976506724,0.0150568724
evo_metab__ppk_ale2__3,-0.4259129097,0.2076509135
evo_metab__ppk_ale3__3,-1.2585249061,0.1080737731
evo_metab__del_dapF__3,-3.2949687664000002,-0.6135602186
evo_metab__dapF_ale1__3,-3.255276859,-0.6825805953
evo_metab__dapF_ale3__3,-3.6187914645,-0.6996310847
evo_metab__del_entC__3,2.7872569986,-0.4548834872
evo_metab__entC_ale1__3,-2.5948882928,-0.2391922569
evo_metab__entC_ale2__3,3.3324036935,0.18946983820000002
evo_metab__entC_ale3__2,4.1113854155,-0.2572970429
evo_metab__del_dgk__3,0.5231736475000001,-0.1044611903
evo_metab__dgk_ale1__3,0.5988456582,-0.1452935109
evo_metab__dgk_ale2__3,0.8193152405,0.08577522480000001
evo_metab__dgk_ale3__3,1.4215771788,0.2655631703
flag_reg__wt__1,-0.014315843100000001,-0.010887063300000001
flag_reg__del_fliA__1,-0.19833759680000002,-0.1286955121
flag_reg__del_flhC__1,-0.1919597593,-0.1340865027
flag_reg__del_flhD__1,-0.8189622305,0.00805585
flag_reg__wt__2,0.014315843100000001,0.010887063300000001
flag_reg__del_fliA__2,-0.289981433,-0.021635116000000003
flag_reg__del_flhC__2,0.28940145370000003,-0.1368834016
flag_reg__del_flhD__2,-0.0453922636,-0.1609258932
flgM__27C__1,0.1002539954,-0.3154752234
flgM__27C__2,-0.09477623510000001,-0.3206343713
flgM__27C__3,0.0021886325,-0.36255305730000004
flgM__32C__1,0.09952208500000001,-0.3366700792
flgM__32C__2,0.38469260980000003,-0.0636296873
flgM__32C__3,0.1428817914,-0.2036681955
flgM__37C__1,-0.2201089561,-0.07556882990000001
flgM__37C__2,-0.210540048,0.0768277471
flgM__37C__3,0.4306490041,-0.0012589172
flgM__42C__1,-0.22614866420000002,-0.4374855903
flgM__42C__2,-0.45226677120000003,-0.3442362203
flgM__42C__3,0.0793893361,0.1168152181
histone__untreated__1,0.0180836441,-0.0122652803
histone__untreated__2,-0.1980793105,-0.09513662490000001
histone__untreated__3,0.1799956665,0.10740190520000001
histone__10ug_H2A__1,-0.5577858326,-0.0608738027
histone__10ug_H2A__2,-0.4838642335,-0.1883183548
histone__10ug_H2A__3,0.1792799343,0.059052123000000005
histone__50ug_H2A__1,-0.9496433176,-0.0261458574
histone__50ug_H2A__2,-1.1425561757,0.0041722014000000005
histone__50ug_H2A__3,-0.9719585708,-0.0653607517
histone__100ug_H2A__1,-0.7103860166,-0.031909089
histone__100ug_H2A__2,-0.9862172122,-0.0112287328
histone__100ug_H2A__3,-0.8845092362,0.0797545388
hns__del_hns_spike__1,-1.1479666036,-0.129093476
hns__del_hns_spike__2,-0.4162514007,-0.24074381700000003
hns__del_hns__1,-1.2903996658999999,-0.1067196646
hns__del_hns__2,-0.7586248153,-0.1540282021
hns__wt_spike__1,-0.1827619356,-0.0595663773
hns__wt_spike__2,-0.124405554,0.044652529100000005
hns__wt__1,-0.044872813500000004,-0.0411236393
hns__wt__2,0.044872813500000004,0.0411236393
hns_stpA__evo100G4_delhns_delstpA__1,-0.0533661519,-1.2383025377
hns_stpA__evo100G4_delhns_delstpA__2,-0.0749664728,-1.4618954906
hns_stpA__evo100G12_delhns_delstpA__1,-1.0690519546,-1.1400603865
hns_stpA__evo100G12_delhns_delstpA__2,-0.7439252514,-1.2932876349
hns_stpA__delhns_delstpA_delrpoS__1,-1.6317611196000001,-0.9817185455
hns_stpA__delhns_delstpA_delrpoS__2,-1.62256019,-1.5165118514
hns_stpA__wt__1,0.1406658351,0.2393241408
hns_stpA__wt__2,-0.1406658351,-0.2393241408
hns_stpA__delhns_delstpA__1,-0.3196175086,-1.7979891946
hns_stpA__delhns_delstpA__2,-0.23896587200000002,-1.4692760421
hu__wt_log_pH7__1,0.7140948311,-1.4013285856
hu__wt_log_pH7__2,1.5652581691,-1.0733623265
hu__wt_log_pH7__3,1.049187103,-1.0134019425
hu__wt_lag_pH7__1,0.16992765540000002,-0.0176897261
hu__wt_lag_pH7__2,0.8358228331,-0.36031252210000003
hu__wt_lag_pH7__3,-1.0057504885,0.3780022482
hu__delhupA_lag_pH7__1,-0.2693080966,0.0670330121
hu__delhupA_lag_pH7__2,1.254594405,-0.5316351866
hu__delhupA_lag_pH7__3,-0.9475708562,0.11455064820000001
hu__delhupB_lag_pH7__1,1.0513540456,-0.0198423019
hu__delhupB_lag_pH7__2,1.2249049497,-0.1705025286
hu__delhupB_lag_pH7__3,-0.9120524933,0.1912318294
hu__delhupAhupB_lag_pH7__1,1.1846954896,-0.5993716167
hu__delhupAhupB_lag_pH7__2,2.365375158,-0.37672457540000004
hu__delhupAhupB_lag_pH7__3,1.7479748846,-0.4668770888
hu__hupAE34K_hupB_lag_pH7__1,-0.051860674600000004,0.1600502426
hu__hupAE34K_hupB_lag_pH7__2,0.7632827705,-0.2409052693
hu__hupAE34K_hupB_lag_pH7__3,-1.29493228,0.28331027070000003
hu__hupAE34K_delhupB_lag_pH7__1,-0.8135813375000001,-0.0516427259
hu__hupAE34K_delhupB_lag_pH7__2,0.8121836999000001,0.0115333403
hu__hupAE34K_delhupB_lag_pH7__3,-0.9430337378,0.3230993612
hu__wt_lag_pH5__1,0.7649208785,0.0312676578
hu__wt_lag_pH5__2,1.3233353178,-0.46264264860000004
hu__wt_lag_pH5__3,0.8406923241,-0.7588756217
hu__delhupA_lag_pH5__1,1.1055830855,-0.6000449022000001
hu__delhupA_lag_pH5__2,1.6195708807,0.0278409506
hu__delhupA_lag_pH5__3,1.0986960419,-0.8742205264
hu__delhupAhupB_lag_pH5__1,4.6400510206,-1.1157357579
hu__delhupAhupB_lag_pH5__2,4.5256916486000005,-0.7402632502000001
hu__delhupAhupB_lag_pH5__3,2.4971513392,-0.4665240758
hu__hupAE34K_hupB_lag_pH5__1,-0.0039358673000000005,-0.152433271
hu__hupAE34K_hupB_lag_pH5__2,-0.9289757007,-0.3384312518
hu__hupAE34K_hupB_lag_pH5__3,-0.33291155980000003,-0.2782883011
hu__hupAE34K_delhupB_lag_pH5__1,-0.5481968723,-0.6679384219000001
hu__hupAE34K_delhupB_lag_pH5__2,0.5053174746,0.0250448175
hu__hupAE34K_delhupB_lag_pH5__3,-0.3406375041,-0.4972568861
hyperpersistence__low_GFP__1,0.5084325791000001,-0.8185804085
hyperpersistence__wt__1,0.061938820400000004,-0.0553900227
hyperpersistence__high_GFP__1,1.1109433774,-0.8539569148
hyperpersistence__pth_mut__1,-0.6073042066000001,-0.0416930399
hyperpersistence__pth_mut__2,-0.5403739913,-0.038108283900000005
hyperpersistence__metG_mut__1,-0.9163277491,0.15437621
hyperpersistence__metG_mut__2,-1.2349493946,-0.1073712101
hyperpersistence__high_GFP__2,-0.7796624948,-0.7171291942
hyperpersistence__wt__2,-0.061938820400000004,0.0553900227
hyperpersistence__low_GFP__2,-1.0150205985,-0.8945422284000001
kan_efg__cpxAF218Y__1,-1.1045284041,0.6703416091000001
kan_efg__cpxAF218Y__2,-0.4945291362,0.719035606
kan_efg__cyaAN600Y__1,-0.8524257546,0.3770798332
kan_efg__cyaAN600Y__2,-1.5352467485,0.8043379065
kan_efg__fusAA608E__1,0.4275794965,-0.010839575300000001
kan_efg__fusAA608E__2,1.0170733263,-0.006807867600000001
kan_efg__fusAA608E_cpxAF218Y__1,0.8023210567,0.3063190383
kan_efg__fusAA608E_cpxAF218Y__2,0.9390861802,0.2265834451
kan_efg__fusAA608E_cyaAN600Y__1,0.2215181005,0.39697160470000004
kan_efg__fusAA608E_cyaAN600Y__2,0.07707586720000001,0.5156789162000001
kan_efg__fusAA608E_rpoDL261Q__1,-0.1899228271,0.2202964633
kan_efg__fusAA608E_rpoDL261Q__2,0.12198690350000001,0.41351048630000004
kan_efg__fusAA608E_topAS180L__1,0.25924839040000003,0.3439409804
kan_efg__fusAA608E_topAS180L__2,-0.2117860631,0.30685225380000003
kan_efg__rpoDL261Q__1,0.0938197632,0.1312524286
kan_efg__rpoDL261Q__2,-0.43993643660000004,0.3005906332
kan_efg__wt__1,0.015308973000000002,-0.13239830460000002
kan_efg__wt__2,-0.015308973000000002,0.13239830460000002
lrp__wt_min_log__1,0.2618600647,-0.0178533352
lrp__wt_min_log__2,-0.2618600647,0.0178533352
lrp__wt_min_trans__1,-3.0870621775,0.6654150917
lrp__wt_min_trans__2,-3.7994648851,0.8905486087000001
lrp__wt_min_stat__1,-4.7491373534,-0.1588550537
lrp__wt_min_stat__2,-4.940816225,-0.12794047860000002
lrp__wt_liv_log__1,-3.4106608842,0.1530010011
lrp__wt_liv_log__2,-3.5425489054,0.1220911071
lrp__wt_liv_trans__1,-3.5043602001,0.3773834063
lrp__wt_liv_trans__2,-3.7171734176999998,0.2232618486
lrp__wt_liv_stat__1,-4.8764183792,-0.44859618710000004
lrp__wt_liv_stat__2,-5.3082044211,-0.6322498836
lrp__wt_rich_log__1,-2.8640006879,-0.6875337772
lrp__wt_rich_log__2,-3.0565849591,-0.5684175751
lrp__wt_rich_trans__1,-6.0965193596,0.0505021525
lrp__wt_rich_trans__2,-5.8497449898,0.1963759215
lrp__wt_rich_stat__1,1.1757719456,-0.7706336481
lrp__wt_rich_stat__2,2.4439829223,-0.1595535338
lrp__dellrp_min_log__1,0.8447923692,0.13756364570000001
lrp__dellrp_min_log__2,0.8457620749,0.1583712836
lrp__dellrp_min_trans__1,-0.5578766721,0.5660169522
lrp__dellrp_min_trans__2,-0.9875612764,0.7748736877
lrp__dellrp_min_stat__1,-4.7840018198,-0.9921965029
lrp__dellrp_min_stat__2,-5.2339815907,-1.1710680539
lrp__dellrp_liv_log__1,-1.9713668705,0.1989945611
lrp__dellrp_liv_log__2,-0.3725755884,-0.0003379
lrp__dellrp_liv_trans__1,-3.3935249738,0.3787438802
lrp__dellrp_liv_trans__2,-3.0592526756,0.3419209033
lrp__dellrp_liv_stat__1,-4.9850332598,-0.6494038441000001
lrp__dellrp_liv_stat__2,-5.0301595505,-0.48791776740000004
lrp__dellrp_rich_log__1,-3.010785233,-0.5275987822
lrp__dellrp_rich_log__2,-3.1210203499,-0.4509605243
lrp__dellrp_rich_trans__1,-5.3568736455,0.3407267525
lrp__dellrp_rich_trans__2,-5.6861720931,0.48545150610000004
lrp__dellrp_rich_stat__1,-5.1442701743,-0.746067981
lrp__dellrp_rich_stat__2,-5.0923230481,-0.20298375230000001
mazF_circuit__t0__1,0.2878986608,0.0976483598
mazF_circuit__t2__1,-0.8298460223,-0.1221497027
mazF_circuit__t4__1,-1.3786717792,0.1250745111
mazF_circuit__t6__1,-0.9139041541,0.2863150268
mazF_circuit__t8__1,1.0683558896,0.7175874988000001
mazF_circuit__t0__2,-0.2878986608,-0.0976483598
mazF_circuit__t2__2,-0.42835926360000004,0.1559011542
mazF_circuit__t4__2,-0.4018778964,0.21422919840000001
mazF_circuit__t6__2,0.7638827257,0.7566969519000001
mazF_circuit__t8__2,1.2934289942000001,0.6499352663
mazF_ribo__emptyvec_mrna_5m__1,0.1010239378,0.011885017000000001
mazF_ribo__emptyvec_mrna_5m__2,-0.1010239378,-0.011885017000000001
mazF_ribo__mazF_mrna_5m__1,2.7507517351,0.5871407349000001
mazF_ribo__mazF_mrna_5m__2,2.71860614,0.4388286488
mazF_ribo__emptyvec_total_5m__1,-1.6382350446,-0.6886657815
mazF_ribo__emptyvec_total_5m__2,-1.5045014966,-0.43887590740000004
mazF_ribo__mazF_total_60m__1,4.8720811923,0.4191119917
mazF_ribo__mazF_total_60m__2,5.4897588477,0.4183646197
mercury__ctrl_t00__1,0.1027054171,-0.0416938108
mercury__ctrl_t10__1,-0.2176787118,0.050193725
mercury__ctrl_t30__1,-1.8814189402000001,0.6408716681000001
mercury__ctrl_t60__1,-3.0377831546,0.7426908509
mercury__hg_t10__1,-3.8029119235,0.0936270564
mercury__hg_t30__1,-4.7241864934,1.014260157
mercury__hg_t60__1,-3.1590464972,1.2929196417
mercury__pma_t10__1,-4.6423265078,-0.1151532885
mercury__pma_t30__1,-3.980287062,0.394189991
mercury__pma_t60__1,0.8368586062000001,0.5568283146
mercury__ctrl_t00__2,-0.0093353577,0.047068789400000005
mercury__ctrl_t10__2,0.0902451211,0.10165031170000001
mercury__ctrl_t30__2,-2.5950271905999998,0.6712824634
mercury__ctrl_t60__2,-3.7346094756,0.9770569978
mercury__hg_t10__2,-4.123754128,0.3105941065
mercury__hg_t30__2,-4.8180770785,0.9979576966
mercury__hg_t60__2,0.060199457000000005,0.0300745946
mercury__pma_t10__2,-4.5224295317,-0.1766223469
mercury__pma_t30__2,-3.6966990079,0.2637659685
mercury__pma_t60__2,-2.5633126082,0.6103285237
mercury__ctrl_t00__3,-0.0933700593,-0.0053749785000000005
mercury__ctrl_t10__3,0.1562697033,0.0456033259
mercury__ctrl_t30__3,-2.5549701264999998,0.7474305817
mercury__ctrl_t60__3,-2.8079057254,0.8184288774
mercury__hg_t10__3,-3.3778333179,-0.3279008197
mercury__hg_t30__3,-4.8602920905,0.7987871503
mercury__hg_t60__3,-0.122961288,0.6378470142
mercury__pma_t10__3,-4.607568842,-0.17021719370000002
mercury__pma_t30__3,-4.249723693,0.2888501795
mercury__pma_t60__3,-2.9557105724,0.6672525332
ml_abx__az_lolcde__1,-0.0351469073,-0.0452697607
ml_abx__az_lolcde__2,0.2201311272,-0.2332096354
ml_abx__az_lolcde__3,-0.0479284013,-0.47206890640000004
ml_abx__b01__1,0.058296796500000005,0.0670255673
ml_abx__b01__2,0.0925448411,0.0793131869
ml_abx__b01__3,-0.191631518,-0.22624324640000001
ml_abx__cro__1,-0.0205895002,0.233613651
ml_abx__cro__2,-0.2492268054,-0.2100904631
ml_abx__cro__3,0.3188456373,-0.162541964
ml_abx__chl__1,2.3264572224,-0.805776469
ml_abx__chl__2,1.7718098352,-0.7066982988
ml_abx__chl__3,2.6271995242,-0.6739585973000001
ml_abx__cip__1,-1.2403666567,-0.2746906719
ml_abx__cip__2,-1.332468853,-0.5223846225000001
ml_abx__cip__3,-0.5047081048000001,-0.7959372355000001
ml_abx__clr__1,3.3391994811,-0.8882816449000001
