,A,GadX
ecoli_00597,-17.6206629122,-2.9531270085
ecoli_00598,-18.2663536433,-4.9050272765
ecoli_00599,-17.0761005442,-4.0048811955
ecoli_00600,-17.2604724423,-2.0517769485
ecoli_00601,-17.5718368211,-1.6066358835
ecoli_00602,-17.230224775,-1.5831603995
ecoli_00603,-17.6092043374,-1.5765802835
ecoli_00604,-17.5175573178,-1.5037909025
ecoli_00605,-18.1257025151,-1.9503798105
ecoli_00606,-17.505979532,-1.4981825425
ecoli_00607,-17.2743648181,-0.2509316645
ecoli_00608,-17.9550018878,-1.4323782784999999
ecoli_00609,-17.899919596,0.0991750825
ecoli_00610,-17.6257164252,-0.025950432500000002
ecoli_00611,-13.465411526,1.1972189495
ecoli_00612,-18.0328029685,-0.7313023265
ecoli_00613,-18.0065715719,-1.3151044865000001
ecoli_00614,-18.4758817512,-1.6900115035
ecoli_00615,-18.5607553282,-2.2332461635
ecoli_00616,-18.6245231827,-1.7592189115
ecoli_00617,-18.353554877,-1.9330542405000002
ecoli_00618,-17.0300742632,-2.6475817745
ecoli_00619,-17.095470363,-2.7984093215
ecoli_00620,-13.8582261182,-1.2553336105000001
ecoli_00621,-14.0232438642,-1.3868966705
ecoli_00622,-14.0502650408,-0.7419004645
ecoli_00623,-14.4782657186,-1.0198579985
ecoli_00624,-16.007913443,-1.7779847755
ecoli_00625,-16.491575679,-1.9371830215
ecoli_00626,-16.4751730889,-1.7559057325
ecoli_00627,-16.3848761522,-1.8046749385
ecoli_00628,-16.5134363042,-1.3186881085
ecoli_00629,-16.5792865576,-1.3980371565
ecoli_00630,-13.2563210968,-1.2892895425
ecoli_00631,-12.9724345198,-1.1001593045
ecoli_00632,-13.2757258879,-0.8780488565000001
ecoli_00633,-12.158877924,-0.9061736285
ecoli_00634,-13.5714362394,-0.7136407465
ecoli_00635,-13.9574076601,-0.7881754255000001
ecoli_00636,-7.9403490733,0.4112165655
ecoli_00637,-8.4857173256,0.0577450455
ecoli_00638,-14.4872597371,-0.8835074345
ecoli_00639,-14.8159459375,-0.8495148525
ecoli_00640,-7.504921921,0.9021210985
ecoli_00641,-7.6164154527,0.2608462805
ecoli_00642,-13.3932278421,-0.6152881945
ecoli_00643,-12.0415687599,-0.1810273415
ecoli_00644,-11.824788735,-0.2345993475
ecoli_00645,-11.9688042476,-0.2718294825
ecoli_00646,-13.9740640829,-0.38195466450000004
ecoli_00647,-13.5779184306,-0.5703318585
ecoli_00648,-13.243990266499999,-0.8231911495
ecoli_00649,-13.3828951403,-0.7648856265
ecoli_00650,-13.891444861,-1.2314261445
ecoli_00651,-14.6354983238,-1.0611498335
ecoli_00652,-8.1390107493,-0.5219423475
ecoli_00653,-9.609864066,-1.3362748375
ecoli_00654,-15.8446886256,-1.2163589095
ecoli_00655,-15.7198322797,-1.2138613505
ecoli_00656,-12.450862592,-0.7954231305
ecoli_00657,-12.0901126207,-0.7448340065
ecoli_00658,-15.4071642413,-0.7893894385
ecoli_00659,-16.1297688128,-1.0176855745
ecoli_00660,-13.1655202463,-0.9393758055
ecoli_00661,-13.6455862372,-0.8354934125
ecoli_00662,-16.0019514597,-1.6854202625
ecoli_00663,-16.3053831026,-1.4547212005
ecoli_00664,-14.6537444088,-0.8555721785
ecoli_00665,-14.7663916289,-0.8334686655
ecoli_00666,-13.458157659,-0.4982843115
ecoli_00667,-13.8669326603,-0.6960024655
ecoli_00668,-14.1896765817,-0.5392508645
ecoli_00669,-13.5604995947,-0.9363677725
ecoli_00670,-12.6065266328,-1.3777608375
ecoli_00671,-12.7043988204,-1.0643240335
ecoli_00672,-14.9091664086,-1.7823248325
ecoli_00673,-14.2830664267,-1.5732165915
ecoli_00674,-16.5518895969,-1.8225712695
ecoli_00675,-16.5047747002,-2.0176723595
ecoli_00676,-13.4532465433,-0.8314046505
ecoli_00677,-13.6218878785,-0.8038026055
ecoli_00678,-13.4905351595,-1.9650456505
ecoli_00679,-13.1880710893,-1.3955732575
ecoli_00680,-17.2052624596,-1.7116774395
ecoli_00681,-17.3827654941,-2.1634666655
ecoli_00682,-12.9227091576,-1.2660260595000001
ecoli_00683,-12.8402118283,-1.2770337415
ecoli_00684,-15.3244786378,-1.2344039265
ecoli_00685,-15.0471156596,-1.4453278335
ecoli_00686,-17.6829202529,-1.7283153654999999
ecoli_00687,-17.4539863465,-2.1743178635
ecoli_00688,-13.9821697051,-1.4226710215
ecoli_00689,-13.4821064682,-1.1809807235
ecoli_00690,-9.2717477806,-0.7883040325
ecoli_00691,-9.1830356489,-1.0778068425
ecoli_00692,-9.4971951272,-0.7835450405000001
ecoli_00693,-9.4890512619,-0.8478460355
ecoli_00694,-12.1981151658,-1.0509116055
ecoli_00695,-12.2191122906,-0.7671460895000001
ecoli_00696,-8.6084308815,-0.5931535085
ecoli_00697,-8.7956235283,-0.4858785245
ecoli_00698,-15.4942513342,-1.6079332405
ecoli_00699,-16.6635620211,-1.6125695815
ecoli_00700,-16.2898704882,-1.7623836735
ecoli_00701,-16.1578949822,-1.5896778775
ecoli_00702,-16.4284225132,-1.3986139725
ecoli_00703,-16.1314359763,-1.1331352045
ecoli_00704,-15.2195350179,-0.8191695895000001
ecoli_00705,-15.551507467,-0.7705052435
ecoli_00706,-14.530478789,-0.8143948145000001
ecoli_00707,-15.0675003722,-0.9365029255
ecoli_00708,-12.3662462549,-0.7875301065
ecoli_00709,-12.0384548857,-0.7762911715
ecoli_00710,-15.6510376639,-1.3332370925
ecoli_00711,-15.4154249119,-1.5684646495
ecoli_00712,-14.8345550405,-0.5912372235000001
ecoli_00713,-14.8393172739,-0.3229117715
ecoli_00714,-12.0086883764,-0.5276227795
ecoli_00715,-11.6287897206,-0.008389170500000001
ecoli_00716,-16.9483541414,-2.7074636395000002
ecoli_00717,-15.7679123963,-2.4678416345
ecoli_00718,-16.403775202,-2.7689864735
ecoli_00719,-16.789285563299998,-2.6062414475
ecoli_00720,-16.5148817285,-2.8160454095
ecoli_00721,-15.9427489834,-2.6189715115
ecoli_00722,-16.2615642849,-3.4201048955
ecoli_00723,-16.5746599344,-4.1341715535
ecoli_00724,-15.4944726244,-2.6647722115
ecoli_00725,-14.6284530666,-2.7652110725
ecoli_00727,-10.7782913449,-2.2365027015
ecoli_00728,-15.0796865797,-2.9902624495000003
ecoli_00729,-14.3842363312,-2.9480187905
ecoli_00730,-15.4354435334,-3.1003429055
ecoli_00731,-14.6646978187,-3.5469093915
ecoli_00732,-14.5650194068,-3.4254501305
ecoli_00733,-16.3415278192,-3.7089134155
ecoli_00734,-15.9887957969,-3.7937531565000002
ecoli_00735,-18.0468375789,-3.3930483825
ecoli_00736,-17.2730052522,-3.3646800445
ecoli_00737,-17.977630542,-3.3173115885
ecoli_00738,-16.8434052556,-3.4162437015
ecoli_00739,-17.9900305224,-3.1951992395
ecoli_00740,-17.4663235622,-3.5047876315
ecoli_00741,-10.3232472335,-0.5754494955
ecoli_00742,-12.4487621838,-1.3557116625
ecoli_00743,-10.6657383582,-1.1619027745000001
ecoli_00744,-10.6779056619,-1.3037222255
ecoli_00745,-11.8137762435,-1.5030343705
ecoli_00746,-11.5783022712,-1.5102722275
ecoli_00747,-12.8057745966,-1.6565194245
ecoli_00748,-12.8492399664,-1.6829750195000002
ecoli_00749,-15.652573137000001,-3.1167698735
ecoli_00750,-15.0336918601,-3.4973662035
ecoli_00751,-8.6654874003,-1.1062699045
ecoli_00752,-9.9075761005,-1.7281757835
ecoli_00753,-16.3900783347,-3.5824183635
ecoli_00754,-16.4630043855,-3.7055783185
ecoli_00755,-18.5826852621,-3.3782154235
ecoli_00756,-18.4033821901,-2.9718491965
ecoli_00757,-16.5059003272,-3.6641127295
ecoli_00758,-16.2056076886,-3.5454845535
ecoli_00759,-2.5983406332,-0.1109495915
ecoli_00760,1.3493175097,0.5448559615
ecoli_00761,-16.085427867,-2.2591282875
ecoli_00762,-14.7786725957,-2.2214692555
ecoli_00763,-15.2051285453,-2.3315293255
ecoli_00764,-15.9809396631,-2.2780824395
ecoli_00765,-14.288860864,-2.1775034615
ecoli_00766,-14.5142042478,-2.3620917495000002
ecoli_00767,-12.4584446029,-3.1486224915
ecoli_00768,-11.8619405567,-2.2941957525
ecoli_00769,-15.8085031752,-2.8952618145
ecoli_00770,-16.6536247631,-3.1923491205
ecoli_00771,-16.8042763383,-3.2370099195
ecoli_00772,-15.6978354838,-2.7215515245
ecoli_00773,-15.5060474948,-2.5852411695
ecoli_00774,-15.4041928096,-2.1663367345
ecoli_00775,-16.1938844967,-2.5804429855
ecoli_00776,-15.8931266676,-2.7090542045
ecoli_00777,-16.0733233179,-2.6674999915
ecoli_00778,-16.125568827,-2.8039476225
ecoli_00779,-10.0551536387,-1.4224017575
ecoli_00780,-9.0435105154,-1.0422361675
ecoli_00781,-17.9369941561,-3.0805726405
ecoli_00782,-18.602523915,-3.1034776385
ecoli_00783,-15.6470966286,-2.0840318625
ecoli_00784,-15.5801804623,-3.2483684425
ecoli_00785,-17.1168370204,-3.0105034945
ecoli_00786,-16.642168516799998,-3.0635351615
ecoli_00787,-14.6504141955,-1.0819237055
ecoli_00788,-15.0290896691,-1.5088112425
ecoli_00789,-17.1862064221,-3.2141095695
ecoli_00790,-17.3608605172,-3.1375053175
ecoli_00791,-12.9279502997,-1.3816953305
ecoli_00792,-10.7057144377,-0.5241693215000001
ecoli_00793,-16.7984306339,-3.0615379985
ecoli_00794,-17.2093553032,-3.1388449995
ecoli_00795,-14.629396958200001,-1.8383523275
ecoli_00796,-15.1838380926,-1.7476351655
ecoli_00797,1.6864504358999999,1.3351212035
ecoli_00798,1.9487911339,0.7669576485
ecoli_00799,2.0469533207,1.5850942375
ecoli_00800,1.3272314576,1.2869721004999999
ecoli_00818,1.9775043058000001,0.9814437875
ecoli_00819,1.5498633924,0.7882273585
ecoli_00820,1.1333107225,0.2969096685
ecoli_00821,0.6680054255,0.1538034535
ecoli_00822,2.0336161031,0.2555310995
ecoli_00823,1.7476319119000001,0.1148823895
ecoli_00824,2.2672386275,0.1747847575
ecoli_00825,2.0749207896,0.1971720405
ecoli_00826,0.7028467125,0.8826788645
ecoli_00827,0.9751922903,1.1625325135
ecoli_00828,-2.4850804021,0.1204372355
ecoli_00829,-2.9144363160999998,0.0837367465
ecoli_00830,-0.4371966022,0.7224752455
ecoli_00831,-0.4340326715,0.7022630355
ecoli_00832,0.3514783481,-3.0930345855
ecoli_00833,1.2844582441,-2.7692378585
ecoli_00834,1.6668203478999999,0.6197899395
ecoli_00835,1.4362153253,0.5560498025
ecoli_00836,0.0696836287,0.5694247715
ecoli_00837,0.0327196968,0.6293839965
ecoli_00838,3.5489220374,1.2565589745
ecoli_00839,3.3325624774,1.1712777355
ecoli_00840,6.3582361741,1.6922258785
ecoli_00841,6.7345056579,1.6804934765000001
ecoli_00842,-1.2505509573,0.055910100500000004
ecoli_00843,-0.6820661243,0.0792611765
ecoli_00844,-1.2972026951,0.2624339795
ecoli_00845,-1.956770933,0.4042768755
