,A,FecI
ecoli_00609,-2.8676133575,-2.042557485
ecoli_00610,-3.3441942842,-2.043541191
ecoli_00611,-3.4916048427,-2.565929031
ecoli_00612,-2.909384168,-1.321017232
ecoli_00613,-3.4395045897,-1.84364245
ecoli_00614,-3.5305792841,-2.425638135
ecoli_00615,-2.4109665802,-1.8370424440000002
ecoli_00616,-3.3471998966,-1.956011588
ecoli_00617,-3.1653166293,-1.856206699
ecoli_00618,-1.3563008201,-1.392609213
ecoli_00619,-1.3769690051,-1.498606366
ecoli_00620,-2.3565540944,-2.831214092
ecoli_00621,-2.9154297839,-2.863244806
ecoli_00622,-1.113870552,-0.674342597
ecoli_00623,-1.5368136548,-0.36668991100000004
ecoli_00624,-2.1496967347,-0.457834567
ecoli_00625,-2.030069066,-0.552179501
ecoli_00626,-1.5661844214,-0.63059212
ecoli_00627,-2.1786022634,-0.449942135
ecoli_00628,-0.9682970706,-0.165915269
ecoli_00629,-0.44493903900000004,-0.42587233
ecoli_00630,-0.6452560351000001,1.382140841
ecoli_00631,-0.2087144846,1.667800364
ecoli_00632,0.7154481960000001,2.136258701
ecoli_00633,0.6854030579,2.088562751
ecoli_00634,0.9493094834,2.305957082
ecoli_00635,0.9904287781000001,2.288665644
ecoli_00636,1.1029863152,2.031792792
ecoli_00637,1.8925103107,2.299854482
ecoli_00638,-1.3423526265,-0.6527337240000001
ecoli_00639,-1.4401024055,-0.188384239
ecoli_00640,-0.9872856936000001,0.45576803
ecoli_00641,-0.9803476507000001,0.040678566
ecoli_00642,1.8115906686,2.4555812
ecoli_00643,1.5800464695,2.64348586
ecoli_00644,-0.9230272268,0.009101134
ecoli_00645,-1.1746535098,0.07704812400000001
ecoli_00646,-1.1345645735,0.45497570600000004
ecoli_00647,-1.2406680561,0.529653039
ecoli_00648,-1.0392417257,0.10898821800000001
ecoli_00649,-1.1802460799,-0.3527824
ecoli_00650,-0.1368057181,1.174211584
ecoli_00651,-0.7289246979,0.767422004
ecoli_00652,1.7873230618,1.956757557
ecoli_00653,1.0984034465999999,1.629320373
ecoli_00654,-1.4602709822,-0.076753822
ecoli_00655,-1.6617201233999999,-0.10436912200000001
ecoli_00656,-1.2483204536999999,-0.917431117
ecoli_00657,-1.5015565067,-0.8182402270000001
ecoli_00658,-1.3231624289,0.073232726
ecoli_00659,-1.9082563411,0.32664991600000004
ecoli_00660,0.7227677828,1.684873825
ecoli_00661,0.7765852362,1.689042577
ecoli_00662,-1.2774169258999999,-0.674462679
ecoli_00663,-1.4949677463,-0.24104028100000002
ecoli_00664,0.8106092669,1.297267412
ecoli_00665,1.0464638812,1.175515291
ecoli_00666,0.7027476852,2.052694749
ecoli_00667,0.7283988184,2.069913274
ecoli_00668,1.1080347925,2.234720213
ecoli_00669,0.5684908309,2.100805906
ecoli_00670,1.2327500778,1.8867793370000001
ecoli_00671,0.9122229144,1.9698251180000002
ecoli_00672,-1.1008169767,0.6535625700000001
ecoli_00673,0.4828182085,1.096532442
ecoli_00674,-1.6785182766,-0.860631342
ecoli_00675,-1.5865127521,-0.517354726
ecoli_00676,-1.2915963078,-0.28115708300000003
ecoli_00677,-1.4650072737,-0.12867561800000002
ecoli_00678,0.3469544732,1.505325035
ecoli_00679,-0.4953198043,1.459685449
ecoli_00680,-0.9617822161,-0.68957163
ecoli_00681,-1.3981674302,-0.404323136
ecoli_00682,0.44619820520000003,1.3951583379999999
ecoli_00683,0.6044919706,1.8564173290000001
ecoli_00684,-1.3008477029,-0.36693575100000003
ecoli_00685,-1.6990474255999999,-0.42905021
ecoli_00686,-0.8987056046,-0.251908537
ecoli_00687,-0.7544588127,-0.493420167
ecoli_00688,-1.172851744,-0.686716827
ecoli_00689,-1.1513591894,-0.45916907100000004
ecoli_00690,0.9260268704,1.6626947630000002
ecoli_00691,0.6949173143,1.6048369789999999
ecoli_00692,0.7801551366,1.6955662930000002
ecoli_00693,1.1073260086,0.9535530560000001
ecoli_00694,3.47103808,2.035894895
ecoli_00695,3.5598427337,1.872855371
ecoli_00696,1.2655897954,2.232147648
ecoli_00697,1.0500183237,2.290617801
ecoli_00698,-1.0178884266,-0.150322872
ecoli_00699,-0.7440352551,-0.346827816
ecoli_00700,-1.4766875396,-0.24871103900000002
ecoli_00701,-1.3873292902,0.274802409
ecoli_00702,-1.0512797994,0.343592473
ecoli_00703,-1.2843063593,-0.11308190200000001
ecoli_00704,-1.1963461204999999,-0.583677224
ecoli_00705,-1.1465684446,-0.11860967300000001
ecoli_00706,-0.9969349036,-0.39461629
ecoli_00707,-1.6828007311,-0.48533725600000005
ecoli_00708,-1.4819002191,-0.147450569
ecoli_00709,-0.8928215193,0.444943601
ecoli_00710,-1.8851136231,0.18460652500000002
ecoli_00711,-1.8297312981,0.141163601
ecoli_00712,-0.7835528995000001,-0.5116777100000001
ecoli_00713,-1.2055778379,-0.26771307
ecoli_00714,-0.29628498210000004,1.102919831
ecoli_00715,-0.4461487008,0.954238588
ecoli_00716,0.4277485,-0.794344126
ecoli_00717,-0.4885243986,-1.311527446
ecoli_00718,-0.7443715110000001,-1.885721899
ecoli_00719,-0.4412003754,-1.426832105
ecoli_00720,-0.6628446336,-1.57190933
ecoli_00721,-0.7367098757,-1.658017531
ecoli_00722,3.5601855725,2.558227058
ecoli_00723,3.8791795071,2.420719068
ecoli_00724,0.6143580186,0.11150108900000001
ecoli_00725,1.248499733,0.867052542
ecoli_00727,1.1425712882,1.205738827
ecoli_00728,1.2368159491,0.213332194
ecoli_00729,0.2622129402,-0.302168314
ecoli_00730,0.9968238582000001,0.792263897
ecoli_00731,-0.6406097671000001,-0.7026951410000001
ecoli_00732,-0.7183319608000001,-0.6162735180000001
ecoli_00733,2.3467703209,-1.441370109
ecoli_00734,0.4065869311,-2.130378474
ecoli_00735,0.5177521948,-1.176845081
ecoli_00736,0.2458260669,-1.825994246
ecoli_00737,-0.3978474435,-1.299484174
ecoli_00738,-1.1781631657,-2.003023424
ecoli_00739,0.026482994500000002,-1.7722527829999999
ecoli_00740,-0.7750012126,-2.268676565
ecoli_00741,1.9884089045,-2.526964708
ecoli_00742,1.0544545704,-1.4044258410000001
ecoli_00743,-0.5285651856,-1.689555634
ecoli_00744,-0.3266100295,-1.372471402
ecoli_00745,-0.5262779017,-1.185436457
ecoli_00746,-0.6332168253,-1.405839336
ecoli_00747,-0.4378466877,-1.33362654
ecoli_00748,-0.524590082,-1.469142216
ecoli_00749,0.1331276116,-0.109968751
ecoli_00750,0.2547953968,-0.007497704000000001
ecoli_00751,0.4458438422,-1.495156142
ecoli_00752,0.763382077,-1.5628080899999999
ecoli_00753,-1.5838902516000002,-2.00399727
ecoli_00754,-1.9952299826000002,-2.105325951
ecoli_00755,-1.5495610852000001,-3.356343186
ecoli_00756,-1.0306155247,-3.389958856
ecoli_00757,-0.7463548856000001,-1.8690250430000002
ecoli_00758,-0.9619601576000001,-1.6627394
ecoli_00759,4.249775059,1.313677174
ecoli_00760,4.7742838133,1.640298119
ecoli_00761,-0.29681049060000003,-1.7232103950000002
ecoli_00762,0.5018151655,-1.220993337
ecoli_00763,0.1598005941,-1.037055095
ecoli_00764,0.07317519410000001,-1.502924441
ecoli_00765,-0.021177569,-0.855892286
ecoli_00766,-0.4343295856,-1.350540377
ecoli_00767,2.7532458234,1.442886836
ecoli_00768,3.4793371863,1.297918608
ecoli_00769,-0.2276729076,-2.040503631
ecoli_00770,-0.2830936524,-2.169912444
ecoli_00771,-0.6694273434,-1.85672575
ecoli_00772,-1.1305672552,-1.729578521
ecoli_00773,-0.6422081609,-2.3727609960000002
ecoli_00774,-0.39024866690000004,-1.829886782
ecoli_00775,-0.6120268992,-1.943427851
ecoli_00776,-0.1558542921,-1.747207269
ecoli_00777,-0.5783617882000001,-1.919913031
ecoli_00778,-0.5036512345,-1.640190904
ecoli_00779,1.2861439619000001,0.8209761560000001
ecoli_00780,0.8222026234,0.35673348
ecoli_00781,-0.22815767720000002,-1.274233981
ecoli_00782,-0.43173951720000003,-1.265931426
ecoli_00783,0.1661444031,-0.99221551
ecoli_00784,0.7427149303,-0.7431574160000001
ecoli_00785,-0.5266711946,-1.250015491
ecoli_00786,-0.7243316597,-1.243004875
ecoli_00787,-0.0139488353,-0.752243031
ecoli_00788,0.36337371900000004,-1.101353225
ecoli_00789,-0.9763696517,-1.541074953
ecoli_00790,-0.5793580038,-1.447150849
ecoli_00791,-0.1590096033,-0.843294414
ecoli_00792,0.1022154923,-0.537398193
ecoli_00793,-0.9430336921,-1.8146211550000002
ecoli_00794,-0.6337600625,-1.735275943
ecoli_00795,0.5512089513,-0.710296624
ecoli_00796,0.1747125795,-0.9970530950000001
ecoli_00797,-0.5656748315,1.607552268
ecoli_00798,-0.5411633201,0.459804553
ecoli_00799,0.1581496563,0.497399442
ecoli_00800,-0.8131131292,0.49666624800000003
ecoli_00818,2.0020829035,1.953201234
ecoli_00819,2.2513546212,1.749525828
ecoli_00820,2.3998337401,1.638842546
ecoli_00821,2.1347759442,1.7620922330000002
ecoli_00822,1.9915443734,1.319325992
ecoli_00823,1.5207973940000001,1.4196428110000001
ecoli_00824,1.1799736691,1.388807442
ecoli_00825,1.2326274708,1.182755125
ecoli_00826,1.5044328702,1.351160755
ecoli_00827,1.6454226959,1.264254156
ecoli_00828,1.9012304349,1.5968979540000001
ecoli_00829,2.2632490675,1.762619897
ecoli_00830,2.3316901794,1.7963272319999999
ecoli_00831,2.2190612472,1.858435475
ecoli_00832,2.9037540031,1.786944079
ecoli_00833,3.079400944,1.9846445890000002
ecoli_00834,-1.3603904481,-1.020302255
ecoli_00835,-1.3083698668000001,-1.019144608
ecoli_00836,-1.8277319331,-1.75151032
ecoli_00837,-1.5072461206,-1.514752018
ecoli_00838,-1.4489885683,-1.156145108
ecoli_00839,-1.2606773748,-1.124243993
ecoli_00840,-0.7894758278,-0.843644335
ecoli_00841,-1.0202377926,-0.6593308050000001
ecoli_00842,-1.5958252357,-1.543653414
ecoli_00843,-1.7104999140000001,-1.364514715
ecoli_00844,-1.860121005,-1.7315807460000001
ecoli_00845,-2.2635276602,-1.481958042
