,ReleaseDate,project,Media,Strain,Growth phase,Condition details,Reference,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_similar_replicates,passed_number_replicates,passed_replicate_correlations,PMID,doi,condition,full_condition_name,reference_condition,replicate,sample,n_replicates
SRX1962719,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_2,Mid-exponential,Del-ccpA,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_Del-ccpA_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential,THY_None_WT_exponential,2.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,4.0
SRX1962720,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_3,Mid-exponential,Del-ccpA,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_Del-ccpA_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential,THY_None_WT_exponential,3.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,4.0
SRX1962721,2017-02-10 17:15:00,WT_vs_Del_ccpA,THY,MGAS2221_4,Mid-exponential,Del-ccpA,"SRX1962715, SRX1962716, SRX1962717",1.0,1.0,1.0,1.0,1.0,1.0,27580596,doi.org/10.1038/srep32442,THY_None_Del-ccpA_exponential,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential,THY_None_WT_exponential,4.0,S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,4.0
SRX4892146,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_1,Late-exponential,WT,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_WT_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential,THY_None_WT_late-exponential,1.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,4.0
SRX4892147,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_2,Late-exponential,WT,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_WT_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential,THY_None_WT_late-exponential,2.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,4.0
SRX4892148,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_3,Late-exponential,WT,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_WT_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential,THY_None_WT_late-exponential,3.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,4.0
SRX4892149,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_4,Late-exponential,WT,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_WT_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential,THY_None_WT_late-exponential,4.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,4.0
SRX4892150,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_1,Late-exponential,covR-D53A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covR-D53A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential,THY_None_WT_late-exponential,1.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,4.0
SRX4892151,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_2,Late-exponential,covR-D53A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covR-D53A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential,THY_None_WT_late-exponential,2.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,4.0
SRX4892152,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_3,Late-exponential,covR-D53A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covR-D53A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential,THY_None_WT_late-exponential,3.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,4.0
SRX4892153,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_4,Late-exponential,covR-D53A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covR-D53A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential,THY_None_WT_late-exponential,4.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,4.0
SRX4892154,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_1,Late-exponential,covS-E281A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-E281A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential,THY_None_WT_late-exponential,1.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,4.0
SRX4892155,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_2,Late-exponential,covS-E281A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-E281A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential,THY_None_WT_late-exponential,2.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,4.0
SRX4892156,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_3,Late-exponential,covS-E281A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-E281A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential,THY_None_WT_late-exponential,3.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,4.0
SRX4892157,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_4,Late-exponential,covS-E281A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-E281A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential,THY_None_WT_late-exponential,4.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,4.0
SRX4892158,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_1,Late-exponential,covS-T284A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-T284A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential,THY_None_WT_late-exponential,1.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,4.0
SRX4892159,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_2,Late-exponential,covS-T284A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-T284A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential,THY_None_WT_late-exponential,2.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,4.0
SRX4892160,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_3,Late-exponential,covS-T284A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-T284A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential,THY_None_WT_late-exponential,3.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,4.0
SRX4892161,2018-10-22 17:15:00,WT_vs_Del_covR,THY,MGAS2221_4,Late-exponential,covS-T284A,"SRX4892146, SRX4892147, SRX4892148",1.0,1.0,1.0,1.0,1.0,1.0,30379939,doi.org/10.1371/journal.ppat.1007354,THY_None_covS-T284A_late-exponential,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential,THY_None_WT_late-exponential,4.0,S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,4.0
SRX7620814,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,1.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,6.0
SRX7620815,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,2.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,6.0
SRX7620816,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,3.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,6.0
SRX7620817,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,1.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,6.0
SRX7620818,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,2.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,6.0
SRX7620819,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,3.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,6.0
SRX7620856,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Mid-exponential,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential,THY_None_WT_mid-exponential,1.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,3.0
SRX7620857,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Stationary,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary,THY_None_WT_mid-exponential,1.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,3.0
SRX7620858,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Mid-exponential,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential,THY_None_WT_mid-exponential,2.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,3.0
SRX7620859,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Stationary,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary,THY_None_WT_mid-exponential,2.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,3.0
SRX7620860,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Mid-exponential,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential,THY_None_WT_mid-exponential,3.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,3.0
SRX7620861,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Stationary,Del_dahA,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_Del_dahA_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary,THY_None_WT_mid-exponential,3.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,3.0
SRX7620862,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,4.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,6.0
SRX7620863,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_1,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,4.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,6.0
SRX7620864,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,5.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,6.0
SRX7620865,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_2,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,5.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,6.0
SRX7620866,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Mid-exponential,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_mid-exponential,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential,THY_None_WT_mid-exponential,6.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,6.0
SRX7620867,2020-02-27 17:53:00,WT_vs_Del_dahA,THY,MGAS2221_3,Stationary,WT,"SRX7620814, SRX7620815, SRX7620816",1.0,1.0,1.0,1.0,1.0,1.0,32071274,doi.org/10.1128/mBio.03363-19,THY_None_WT_early-stationary,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary,THY_None_WT_mid-exponential,6.0,S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,6.0
SRX2161502,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Mid-exponential,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,3.0
SRX2161503,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_2,Mid-exponential,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,3.0
SRX2161504,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_3,Mid-exponential,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,3.0
SRX2161505,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Mid-exponential,Del_fabT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,3.0
SRX2161506,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_2,Mid-exponential,Del_fabT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,3.0
SRX2161507,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_3,Mid-exponential,Del_fabT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,3.0
SRX2161508,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Mid-exponential,WT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,3.0
SRX2161509,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_2,Mid-exponential,WT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,3.0
SRX2161510,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_3,Mid-exponential,WT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_WT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,3.0
SRX2161511,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Mid-exponential,Del_fabT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,3.0
SRX2161512,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_2,Mid-exponential,Del_fabT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,3.0
SRX2161513,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_3,Mid-exponential,Del_fabT_40C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_40°C_Del_fabT_mid-exponential_OD1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0,THY_35°C_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,3.0
SRX2161514,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Stationary,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_stationary,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,3.0
SRX2161515,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_2,Stationary,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_stationary,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary,THY_35°C_WT_mid-exponential_OD1.0,2.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,3.0
SRX2161516,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_3,Stationary,WT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_WT_stationary,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary,THY_35°C_WT_mid-exponential_OD1.0,3.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,3.0
SRX2161517,2016-09-15 16:09:00,WT_vs_Del_fabT,THY,MGAS2221_1,Stationary,Del_fabT_35C,"SRX2161502, SRX2161503, SRX2161504",1.0,1.0,1.0,1.0,1.0,1.0,27600505,doi.org/10.1128/IAI.00608-16,THY_35°C_Del_fabT_stationary,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary,THY_35°C_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,3.0
