,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
140,False Positives__fps_serB_ale4,7.585827350600001,0.07068218949354714,2.0,234.0,7.6358072061,235.0,7.5358474951000005,,,,,,,,
141,False Positives__fps_ptsI_ale1,4.4928952692,0.18030367589752305,2.0,236.0,4.6203892211,237.0,4.3654013173,,,,,,,,
142,False Positives__fps_ptsI_ale3,4.494007659099999,0.2349665077758146,2.0,238.0,4.6601540701,239.0,4.3278612481,,,,,,,,
143,Enzyme Promiscuity__lyx_ale2_f6,4.6785013663,,1.0,240.0,4.6785013663,,,,,,,,,,
144,Enzyme Promiscuity__lyx_ale2,3.701245128,0.08592347636384945,2.0,241.0,3.6404880552,242.0,3.7620022008,,,,,,,,
145,Enzyme Promiscuity__lyx_ale4,3.701245128,0.08592347636384945,2.0,243.0,3.6404880552,244.0,3.7620022008,,,,,,,,
146,Enzyme Promiscuity__5drib_ale10_f18,7.1825491203,0.0688926889065544,2.0,245.0,7.1338346328,246.0,7.2312636078,,,,,,,,
147,Enzyme Promiscuity__5drib_ale10,5.2856846725,,1.0,247.0,5.2856846725,,,,,,,,,,
148,Enzyme Promiscuity__arab_ale14_f9,4.75824473905,0.24861106812610564,2.0,248.0,4.5824501669,249.0,4.9340393112,,,,,,,,
149,Enzyme Promiscuity__arab_ale14,3.7352440951,0.19978523917271093,2.0,250.0,3.5939745977,251.0,3.8765135925000003,,,,,,,,
150,Enzyme Promiscuity__arab_ale16,6.2127072623499995,0.056832410633321534,2.0,252.0,6.2528938453,253.0,6.1725206794,,,,,,,,
151,Enzyme Promiscuity__tartr_ale26_f10,4.40107689565,0.31697991111595375,2.0,254.0,4.6252155403,255.0,4.176938251,,,,,,,,
152,Enzyme Promiscuity__tartr_ale26,4.14876963885,0.07073859787635643,2.0,256.0,4.0987498966,257.0,4.1987893811,,,,,,,,
153,Enzyme Promiscuity__tartr_ale28_f10,4.7089742905000005,0.04248376680759754,2.0,258.0,4.7390148501,259.0,4.6789337309,,,,,,,,
154,Enzyme Promiscuity__tartr_ale28,4.0983687264499995,0.1302573318494324,2.0,260.0,4.0062628838,261.0,4.1904745691,,,,,,,,
155,Pseudogene Repair__delmenFentC_citr,5.74845371915,0.3863981050945655,2.0,262.0,6.0216784395,263.0,5.4752289988000005,,,,,,,,
156,Pseudogene Repair__delmenFentC,5.8316630863,0.028241782049508113,2.0,264.0,5.8116931307,265.0,5.8516330418999996,,,,,,,,
157,Pseudogene Repair__menFentC_ale39,3.8986465748,0.1059228973512562,2.0,266.0,3.8237477758000002,267.0,3.9735453738,,,,,,,,
158,Pseudogene Repair__menFentC_ale29,4.00407728275,0.1866381623841093,2.0,268.0,3.8721041725000003,269.0,4.136050393,,,,,,,,
159,Pseudogene Repair__menFentC_ale30,4.22502161335,0.39908878341749493,2.0,270.0,4.5072199984,271.0,3.9428232283,,,,,,,,
160,Pseudogene Repair__menFentCubiC_ale36,4.4282364184,0.09641234098420376,2.0,272.0,4.3600625983,273.0,4.4964102385,,,,,,,,
161,Pseudogene Repair__menFentCubiC_ale37,6.644973172049999,0.019140037275967747,2.0,274.0,6.6585072222,275.0,6.6314391219,,,,,,,,
162,Pseudogene Repair__menFentCubiC_ale38,4.75307484025,0.06324479603343178,2.0,276.0,4.7977956644,277.0,4.7083540161,,,,,,,,
