,A,GcvA
tcs__del_btsR_lb__1,6.0076363182,-0.5873143745
tcs__del_btsR_lb__2,5.6280114869,-0.5898684615
tcs__del_btsR_pyruvate__1,-3.6199681806,-0.0451997385
tcs__del_btsR_pyruvate__2,-3.5689288550000002,0.1264039485
tcs__del_cpxR_etoh__1,4.3289588613,0.1840280245
tcs__del_cpxR_etoh__2,4.5401209274,0.1588852335
tcs__del_cpxR_lb__1,4.880493987,-0.2624932745
tcs__del_cpxR_lb__2,5.0937036144,-0.2893053935
tcs__del_cusR_CuSO4__1,7.7434043626,-0.6971786645
tcs__del_cusR_CuSO4__2,7.4773903876,-0.5316561945
tcs__del_cusR_lb__1,6.6425660008000005,-1.3588593764999999
tcs__del_cusR_lb__2,6.2845799219,-1.0617958585
tcs__del_kdpE_01-kcl__1,-3.5478902787,0.3392711245
tcs__del_kdpE_01-kcl__2,-3.4272882343,0.3678554305
tcs__del_kdpE_115-kcl__1,-3.6677277305000002,-0.2468683305
tcs__del_kdpE_115-kcl__2,-4.2547676564,-0.18844541450000002
tcs__del_phoB_m9__1,-1.3691234076,0.41469227550000004
tcs__del_phoB_m9__2,-1.6396158545000001,0.3419689315
tcs__del_phoB_m9p__1,-1.322290792,0.2685037595
tcs__del_phoB_m9p__2,-1.1236604479,0.1493011675
tcs__del_rcsB_etoh__1,3.8239205375000003,1.7734962955
tcs__del_rcsB_etoh__2,4.0468751467,1.5766341765
tcs__del_rcsB_lb__1,5.0999929964,-0.4844900205
tcs__del_rcsB_lb__2,5.4806631906,-0.36055846150000004
tcs__del_zraR_lb__1,4.6811464753,-0.29888045350000003
tcs__del_zraR_lb__2,4.7418783232,-0.2518154415
tcs__del_zraR_zncl2__1,5.5251342128,-0.6485362995
tcs__del_zraR_zncl2__2,5.7136038991,-0.4304495305
tcs__wt_01-kcl__1,-5.4029883893,0.2449111025
tcs__wt_01-kcl__2,-5.511972172,0.2547648035
tcs__wt_01xlb__1,-3.9480193557,0.21584923450000001
tcs__wt_01xlb__2,-3.9587715296,0.43556829950000003
tcs__wt_115-kcl__1,-3.6397596581,-0.24831089050000002
tcs__wt_115-kcl__2,-4.0389765244,-0.12155753550000001
tcs__wt_CuSO4__1,7.5967901476,-0.9008184075000001
tcs__wt_CuSO4__2,7.8874626484,-0.7706543275000001
tcs__wt_etoh__1,5.8772839298,0.7994516265
tcs__wt_etoh__2,5.6578173931,0.6913558695
tcs__wt_lb__1,4.9371334951,-0.5607922295000001
tcs__wt_lb__2,5.2298971783,-0.6145182145
tcs__wt_LiAcet__1,-2.3095278105,0.0723544805
tcs__wt_LiAcet__2,-2.3395613916,0.1034376235
tcs__wt_LiCl__1,-2.3193847423,0.1404289095
tcs__wt_LiCl__2,-2.3318606538,-0.0182515935
tcs__wt_m9p__1,-3.3731641304,0.35196052050000004
tcs__wt_m9p__2,-3.3033788612,0.33841810250000004
tcs__wt_pyr__1,-3.5302954201,0.11442698650000001
tcs__wt_pyr__2,-3.6952040946,0.0158084005
tcs__wt_zncl2__1,4.1459169144,-0.42248195250000004
tcs__wt_zncl2__2,4.1700645026,-0.4388036255
ros_tale__1_112_0pq__1,-5.3581257319,0.3101293225
ros_tale__1_112_0pq__2,-4.3677715421,0.5044913735000001
ros_tale__1_112_250pq__1,-3.4196449739,0.7786501245
ros_tale__1_112_250pq__2,-4.4974977076,0.7684262485000001
ros_tale__1_112_750pq__1,-3.0910132606,0.7306698855
ros_tale__1_112_750pq__2,-3.5940532054,0.9714857605
ros_tale__1_112_750pq__3,-3.8984777935,0.9732023645000001
ros_tale__3_76_0pq__1,-3.2678467498,-0.1531639175
ros_tale__3_76_0pq__2,-3.6203176333,0.1158626145
ros_tale__3_76_0pq__3,-4.0232937827,0.3819264135
ros_tale__3_76_0pq__4,-3.8175811657,0.3284066185
ros_tale__3_76_250pq__1,-1.1459467128,-0.1105533695
ros_tale__3_76_250pq__2,0.862711336,-0.2178764755
ros_tale__3_76_750pq__1,0.9777643770000001,0.12426941250000001
ros_tale__3_76_750pq__2,1.7803906646,-0.14841841050000001
ros_tale__7_103_0pq__1,-1.7920611904000001,0.28927681650000003
ros_tale__7_103_0pq__2,-1.9612933873,0.41623177850000004
ros_tale__7_103_0pq__3,-1.6717651963,0.2022425025
ros_tale__7_103_0pq__4,-1.9464759456,0.4294440465
ros_tale__7_103_250pq__1,-2.7554839536999998,0.38238138450000003
ros_tale__7_103_250pq__2,-5.0233499859,0.3484403775
ros_tale__7_103_750pq__1,-0.3166252449,0.29383810250000003
ros_tale__7_103_750pq__2,-1.8094253546,0.3545442775
ros_tale__9_77_0pq__1,2.5711839876,0.0224969975
ros_tale__9_77_0pq__2,2.3905900197,-0.2753755815
ros_tale__9_77_250pq__1,-1.3345161970000001,0.4396415155
ros_tale__9_77_250pq__2,-2.7136265577,0.7407672525
ros_tale__9_77_750pq__1,0.7297632765000001,-0.16968926450000002
ros_tale__9_77_750pq__2,-0.1676170793,-0.029722499500000003
ros_tale__11_83_0pq__1,-4.0523292339,0.08107431150000001
ros_tale__11_83_0pq__2,-3.6580723342,-0.0834217185
ros_tale__11_83_250pq__1,-4.3301511456,0.1365537225
ros_tale__11_83_250pq__2,-3.5189928149,-0.2009129675
ros_tale__11_83_750pq__1,-2.466565516,-0.3528521825
ros_tale__11_83_750pq__2,-2.5593507099,-0.4713268635
ros_tale__13_87_0pq__1,-1.8323208277,0.0221827105
ros_tale__13_87_0pq__2,-1.7214348979,0.0149172695
ros_tale__13_87_250pq__1,-1.8081867283,0.2001864925
ros_tale__13_87_250pq__2,-1.5635534277,0.0533254415
ros_tale__13_87_750pq__1,-1.50562826,0.3563820925
ros_tale__13_87_750pq__2,-2.4525207269,0.3551556475
ros_tale__14_27_0pq__1,-6.3461056836,0.44640506750000003
ros_tale__14_27_0pq__2,-5.8801199307,0.2310294995
ros_tale__14_27_250pq__1,-4.2862500547,0.8375116205
ros_tale__14_27_250pq__2,-2.3163171289,0.6010474175
ros_tale__14_27_750pq__1,-5.9004574557,0.5555955035
ros_tale__14_27_750pq__2,-5.3337378774,0.8096085355
ros_tale__16_28_250pq__1,-3.7043065136,0.6517891435000001
ros_tale__16_28_250pq__2,-3.5678633393,0.6603568075
ros_tale__16_32_0pq__1,-2.0673844494,-0.5751283155
ros_tale__16_32_0pq__2,-2.6454509139,-0.3853712045
ros_tale__16_32_0pq__3,-0.7134433277000001,0.2644519805
ros_tale__16_32_0pq__4,-0.9382078951,0.2033826995
ros_tale__16_32_250pq__1,-1.6678144985,0.3790790935
ros_tale__16_32_250pq__2,-1.5582497674,0.3636048945
ros_tale__16_32_750pq__1,-2.7717890560000003,0.0639705915
ros_tale__16_32_750pq__2,-1.937990424,-0.0344696655
ros_tale__17_104_0pq__1,1.3316005037,-0.6056840615
ros_tale__17_104_0pq__2,1.7149801134,-0.7609042905000001
ros_tale__17_104_250pq__1,3.1108052683,-0.7115192505
ros_tale__17_104_250pq__2,1.5155413061,-0.39810329250000004
ros_tale__17_104_250pq__3,1.0851299541,-0.2582216235
ros_tale__17_104_250pq__4,3.2346058380000002,-0.9426871755
ros_tale__17_104_750pq__1,1.274454497,-0.2180510785
ros_tale__17_104_750pq__2,1.1227465347,-0.2397738215
ros_tale__18_24_250pq__1,1.8087738134,0.8930454355
ros_tale__18_24_250pq__2,1.917602116,0.7891872475
ros_tale__18_36_0pq__1,0.6224694554,-0.1058924515
ros_tale__18_36_0pq__2,0.6889485046,0.0358651415
ros_tale__18_36_0pq__3,-0.0018924769,0.24590738650000002
ros_tale__18_36_0pq__4,0.8506783327,0.3019297675
ros_tale__18_36_250pq__1,-1.3083125799,0.6417450715
ros_tale__18_36_250pq__2,-0.9779170582000001,0.6027160465
ros_tale__18_36_750pq__1,-5.2923829266,0.5753775515
ros_tale__18_36_750pq__2,-5.745279307,0.6373807885
ros_tale__19_91_0pq__1,3.4503656482,-0.3488584985
ros_tale__19_91_0pq__2,1.8083959871,-0.1862092715
ros_tale__19_91_250pq__1,-0.0422682232,-0.2458853235
ros_tale__19_91_250pq__2,2.1420961149,-0.2590263335
ros_tale__19_91_750pq__1,-0.1874237249,-0.3324205825
ros_tale__19_91_750pq__2,-0.9012090928000001,0.17295635650000002
ros_tale__19_91_750pq__3,0.0506668189,0.1327359435
ros_tale__19_91_750pq__4,-0.8068782698,0.5688536605
ros_tale__21_97_0pq__1,-6.6284821076,-0.1662561385
ros_tale__21_97_0pq__2,-6.3350344123,0.2156793475
ros_tale__21_97_250pq__1,-6.4932588332,0.5692814195
ros_tale__21_97_250pq__2,-5.3698607181,0.42896397150000004
ros_tale__21_97_750pq__1,-6.5218935172,0.8029762745
ros_tale__21_97_750pq__2,-5.5848256937,0.7894025895
ros_tale__25_111_0pq__1,-5.9640371979,0.6829726165000001
ros_tale__25_111_0pq__2,-5.1719058854,0.8967110105
ros_tale__25_111_250pq__1,-6.0634138539,1.2186371215
ros_tale__25_111_250pq__2,-5.2367856582,1.2706172075
ros_tale__25_111_750pq__1,-5.2193038269,1.3607238095
ros_tale__25_111_750pq__2,-5.4154304492,1.2991342355
ros_tale__29_119_0pq__1,-0.7947137959,1.4739812365
ros_tale__29_119_0pq__2,-0.6592520747,0.8448270985
ros_tale__29_119_250pq__1,-0.080360291,1.2718643225
ros_tale__29_119_250pq__2,-1.1469088851,1.4093956855
ros_tale__29_119_750pq__1,-0.36342313870000004,1.5308193425
ros_tale__29_119_750pq__2,-0.48015368420000004,1.3883353585
ros_tale__ALE4_0pq__1,0.642208043,0.4227104655
ros_tale__ALE4_0pq__2,0.8135564531,0.4553629805
ros_tale__ALE4_250pq__1,-4.6091787389,1.3290132104999999
ros_tale__ALE4_250pq__2,-4.8201104905,1.3213976514999999
pcoli__atASMT_325G__1,-2.2928930416,0.3546249365
pcoli__atASMT_325G__2,-2.3010668194,0.43616997150000003
pcoli__bpTDC__1,-5.3790075392,0.6019552375
pcoli__bpTDC__2,-5.1424577674,0.45082877250000003
pcoli__BRCA__1,-2.707505788,0.9033120165
pcoli__BRCA__2,-1.8079818027,0.9441502285000001
pcoli__BRCActrl__1,-3.1199930927,1.1428512055
pcoli__BRCActrl__2,-2.7601674714,1.0633979045
pcoli__BRCAswap__1,-3.7046689618,0.5152553975
pcoli__BRCAswap__2,-3.9504066978,0.5248622605000001
pcoli__btAANAT__1,-3.3169340286,0.43774538350000003
pcoli__btAANAT__2,-2.8051497751000003,0.4092143225
pcoli__btASMT__1,-4.6336284251,0.4937453505
pcoli__btASMT__2,-4.4070876025,0.5220090185
pcoli__CC1__1,-5.5342826919,0.5431195155
pcoli__CC1__2,-6.1926929131,0.6911317775
pcoli__ccCOMT__1,-4.3054261634,0.4392299015
pcoli__ccCOMT__2,-4.002667551,0.5335927365
pcoli__ckDDC__1,-4.9155586901,0.5239360085
pcoli__ckDDC__2,-4.4975763406,0.4243895465
pcoli__CNTF_belt__1,-6.1389889726,0.47919160450000003
pcoli__CNTF_belt__2,-5.889999026,0.6030163995
pcoli__cobPNMT__1,-4.7182719295,0.5959605585000001
pcoli__cobPNMT__2,-4.9398539567,0.6739540265
pcoli__cvPhhB__1,-1.8913811344,0.7142633655
pcoli__cvPhhB__2,-1.7238012302999999,0.7867261455
pcoli__ggAANAT__1,-2.2183644228,0.4396035955
pcoli__ggAANAT__2,-2.2126716125,0.5380590055
pcoli__ggTPH__1,-0.1772035135,0.5760372925
pcoli__ggTPH__2,-0.2896720336,0.4806856775
pcoli__hsAANAT__1,-4.4393943717,0.49205819650000004
pcoli__hsAANAT__2,-4.59323589,0.6712579605
pcoli__hsASMT__1,-3.4399077389,0.8242667085000001
pcoli__hsASMT__2,-3.541244138,0.9036658545
pcoli__hsPNMT_mb__1,-2.7314836554,0.5806081235
pcoli__hsPNMT_mb__2,-2.4705654624,0.4707742225
pcoli__hsTPH__1,-1.5361370254,0.6289633065
pcoli__hsTPH__2,-1.5845281846,0.8174443185
pcoli__hsTPH_E2K__1,-2.9013562468,0.6744092665
pcoli__hsTPH_E2K__2,-3.3832237439,0.7250600545
pcoli__hsTPH_E2K_N91I_P99C__1,-1.3705628039,0.5632443445
pcoli__hsTPH_E2K_N91I_P99C__2,-1.1502118674,0.5585887385
pcoli__hsTPH_N158trunc__1,-2.6890956264,0.5007711715000001
pcoli__hsTPH_N158trunc__2,-3.0117160642,0.5074540185
pcoli__hsTPH_N174trunc__1,-3.2214467984,0.6393532995
pcoli__hsTPH_N174trunc__2,-2.7551622954,0.8617619915
pcoli__hsTPH_Ntermtrunc__1,-5.6388544204,0.7396289315
pcoli__hsTPH_Ntermtrunc__2,-5.9658272566,0.5307151595
pcoli__hsTPH1__1,-3.7485024793,0.44257120250000004
pcoli__hsTPH1__2,-3.5776009478,0.5587769085000001
pcoli__MBP__1,-6.0324213362,0.44569296550000004
pcoli__MBP__2,-6.407246143,0.4390271935
pcoli__msCOMT__1,-3.5062210639,0.8402373875
pcoli__msCOMT__2,-3.2448657221,0.7792429295000001
pcoli__ocAANAT__1,-2.3807595029,0.3810517355
pcoli__ocAANAT__2,-2.6135476752,0.36963805450000004
pcoli__osTDC_K374H__1,-5.0193391318,0.3935622955
pcoli__osTDC_K374H__2,-4.9151506514,0.5114510115
pcoli__osTDC_K374L__1,-1.7370337293,1.2929844715
pcoli__osTDC_K374L__2,-1.8621834297,1.3307871095000001
pcoli__osTDC_K374Q__1,-3.1124438254,0.4266794565
pcoli__osTDC_K374Q__2,-3.673499722,0.6299384635
pcoli__osTDC_L360V__1,-3.9862296191,0.6983068025
pcoli__osTDC_L360V__2,-4.3639673239,0.8761459305
pcoli__pmTPH__1,-1.6064046525,0.5699945965000001
pcoli__pmTPH__2,-2.3619788218,0.7120801335
pcoli__RFC__1,1.1355773044,0.5069941515
pcoli__RFC__2,1.1521598693,0.5056280675
pcoli__RFCctrl__1,-4.3866538976000005,0.5299808915
pcoli__RFCctrl__2,-3.9789309188,0.4846349125
pcoli__RFCnopause__1,-4.1749456926,0.6902563505
pcoli__RFCnopause__2,-3.9473387874,0.5658941185
pcoli__RFCpluspause__1,-4.1087780733,0.4595380985
pcoli__RFCpluspause__2,-3.2055450638,0.2619392505
pcoli__rnCOMT_sol__1,-4.6572103749,0.5308499505000001
pcoli__rnCOMT_sol__2,-4.8777988028,0.5878127315
pcoli__rnPNMT__1,-3.2878331222,1.2681355195
pcoli__rnPNMT__2,-3.3989613775,1.1742228225
pcoli__rnTDC__1,-2.3756897305,0.7898164035
pcoli__rnTDC__2,-2.3496942003,0.5854190775
pcoli__rnTDC_trunc__1,-5.7075966854,0.6361636365000001
pcoli__rnTDC_trunc__2,-5.4889218062000005,0.9019762275000001
pcoli__saCOMT_T2A__1,-3.7852965606,0.7072731825
pcoli__saCOMT_T2A__2,-3.922189034,0.6142723175
pcoli__sfCOMT__1,1.5859043272000002,0.41763439550000003
pcoli__sfCOMT__2,2.1056000136,0.3745765655
pcoli__sgAANAT_D63G__1,-1.5396674305,0.5757224355
pcoli__sgAANAT_D63G__2,-1.7769995186,0.39216125150000003
pcoli__ssDDC__1,-3.3134951598,0.5639980535
pcoli__ssDDC__2,-3.7227383257,0.5952442615
pcoli__TP53B__1,-4.3094982123,0.6034332225
pcoli__TP53B__2,-4.7102684745,0.8304636635
pcoli__WT__1,-5.6238137376,0.5042613575
pcoli__WT__2,-4.9527870934,0.5326872345
cck__glu_ale4__1,1.7413375078,0.3239823995
cck__glu_ale4__2,0.3254179595,0.0230712985
cck__cck_ale1__1,0.5942802203,-0.012984249500000001
cck__cck_ale1__2,0.47316368140000004,0.1678588945
cck__cck_ale2__1,0.6807760947,0.2757897535
cck__cck_ale2__2,0.8844803039,0.25272207550000003
cck_pgi__gmos_delpgi__1,-5.3490633224,0.6166831745
cck_pgi__gmos_delpgi__2,-4.7930782313,0.6097748795
cck_pgi__pgi_ale1__1,-1.1819364245,0.1592506165
cck_pgi__pgi_ale1__2,-1.5361302849,0.2743466315
cck_pgi__pgi_ale2__2,-2.662703329,0.3952505845
cck_pgi__pgi_ale3__1,-0.2396541676,0.0777382125
cck_pgi__pgi_ale3__2,-1.0994858948,-0.0054825245000000005
cck_pgi__pgi_ale4__1,0.39771571050000004,0.3092162195
cck_pgi__pgi_ale4__2,-0.2615412238,0.12189559250000001
cck_pgi__pgi_ale4__3,-0.6887462748000001,0.0784460035
cck_pgi__pgi_ale5__1,1.0015121105,0.2397052295
cck_pgi__pgi_ale5__2,0.026776904900000002,0.32818655950000003
cck_pgi__pgi_ale6__1,1.1668006376,0.3198680225
cck_pgi__pgi_ale6__2,0.1714437865,0.20885806950000002
cck_pgi__pgi_ale7__1,0.8576928610000001,0.1685113235
cck_pgi__pgi_ale7__2,-0.0796850161,0.2011220145
cck_pgi__pgi_ale8__1,1.434186122,0.3253799825
cck_pgi__pgi_ale8__2,0.23947973200000003,0.2225735955
cck_sdh__gmos_delsdhCB__1,-3.3820280798,0.7292369875
cck_sdh__gmos_delsdhCB__2,-4.3960871774,0.3155834755
cck_sdh__sdh_ale1__1,-1.9525026766,0.6611827005
cck_sdh__sdh_ale1__2,-1.7037877879,0.6145763555
cck_sdh__sdh_ale2__1,-1.245261223,0.36866858550000003
cck_sdh__sdh_ale3__2,-1.2290343143,0.5350994755
cck_sdh__sdh_ale3__1,-0.6356145499,0.5043948005000001
cck_sdh__sdh_ale3__3,-0.830122935,0.5277543565
cck_pts__gmos_delptsHIcrr__2,-2.1648947348,0.2523294935
cck_pts__gmos_delptsHIcrr__1,-2.1154410388000002,0.3997343225
cck_pts__pts_ale1__2,-1.7584405656,0.6547349585000001
cck_pts__pts_ale1__1,-1.7803497839,0.7032392165
cck_pts__pts_ale2__2,0.9132533565000001,0.1434433035
cck_pts__pts_ale2__1,0.9694103357,0.1098029945
cck_pts__pts_ale3__2,-1.8476792637,0.2229614865
cck_pts__pts_ale3__1,-1.5620636912,0.2985112645
cck_pts__pts_ale4__2,1.2558906698,0.1447391045
cck_pts__pts_ale4__1,1.1171989390000001,0.1214102485
cck_gnd__gmos_delgnd__1,-3.9297805888,0.3833324695
cck_gnd__gmos_delgnd__2,-3.2527397384,0.2563621455
cck_gnd__gnd_ale1__1,0.2544363465,0.3093564595
cck_gnd__gnd_ale1__2,0.2447849567,0.2796029385
cck_gnd__gnd_ale2__1,0.0736438323,0.1947686645
cck_gnd__gnd_ale2__2,0.2776512682,0.1938301415
cck_gnd__gnd_ale3__1,0.0566383341,-0.0443678075
cck_gnd__gnd_ale3__2,0.2897789122,0.062398850500000005
cck_tpiA__gmos_deltpiA__1,-5.3775633304,0.5570723655
cck_tpiA__gmos_deltpiA__2,-5.0689510749,0.4337192655
cck_tpiA__tpiA_ale1__1,-2.0862523233,0.6222247595
cck_tpiA__tpiA_ale1__2,-1.5715225605,0.6051491815000001
cck_tpiA__tpiA_ale2__1,-1.4160570811,0.3939886305
cck_tpiA__tpiA_ale2__2,-2.0859961003,0.1402061785
cck_tpiA__tpiA_ale3__1,-2.6580847879,0.4311705515
cck_tpiA__tpiA_ale3__2,-2.341279655,0.4644816185
cck_tpiA__tpiA_ale4__1,-2.0062405615,0.4696787485
cck_tpiA__tpiA_ale4__2,-1.9673238173,0.3100013485
acid_tale__acid_ale1_pH7__1,-3.9390393449000003,0.2678937165
acid_tale__acid_ale1_pH7__2,-4.1078457462,0.22469580050000001
acid_tale__acid_ale1_pH5__1,-0.9603779177,0.0823021285
acid_tale__acid_ale1_pH5__2,-1.3082291377,0.2302632795
acid_tale__acid_ale2_pH7__1,2.5129446438,0.2629751165
acid_tale__acid_ale2_pH7__2,2.1346333846,0.2034558745
acid_tale__acid_ale2_pH5__1,-0.7472833238000001,0.1961030585
acid_tale__acid_ale2_pH5__2,-0.6167815950000001,0.36575074350000003
acid_tale__low_Mg_ale_pH7__1,0.8759706018000001,0.3535593225
acid_tale__low_Mg_ale_pH7__2,0.6629004771,0.3525826265
acid_tale__low_Mg_ale_pH5__1,-2.0669948579,0.5578073035000001
acid_tale__low_Mg_ale_pH5__2,-1.2424566256,0.3296220225
acid_tale__MES_ale_pH7__1,1.9746819936,0.3595117595
acid_tale__MES_ale_pH7__2,1.8159661831,0.3514526925
acid_tale__MES_ale_pH5__1,-2.9330324967,0.2964055675
acid_tale__MES_ale_pH5__2,-4.4750560258,0.7029497435000001
acid_tale__gmos_pH7__1,1.1496385351,0.2750514465
acid_tale__gmos_pH7__2,1.0308810103,0.3109090465
acid_tale__gmos_pH5__1,-1.6315809218,0.5539814795
acid_tale__gmos_pH5__2,-1.7061553017,0.44634624650000004
adnB__wt_adn__1,-5.4292135447,-0.013859778500000001
adnB__wt_adn__2,-6.370914273,0.0963205545
adnB__delydhB_adn__1,-5.5277579139,-0.0009427815
adnB__delydhB_adn__2,-4.414459029,0.2356882855
ytf2__wt_glc__1,0.0173557815,0.3266751345
ytf2__wt_glc__2,-0.23893131550000002,0.2534972995
ytf2__ybcM_glc__1,-0.1118967714,0.30581891850000004
ytf2__ybcM_glc__2,-0.16431889530000002,0.38159420650000003
ytf2__ydhB_glc__1,-0.4362733827,0.09547549150000001
ytf2__ydhB_glc__2,-0.6214107822,0.0175280815
ytf2__yfeC_glc__1,-0.3092747843,0.0842331545
ytf2__yfeC_glc__2,-0.1708392974,-0.0048371705
ytf2__yciT_glc__1,-0.4690399491,0.28514729850000003
ytf2__yciT_glc__2,-0.6516369573,0.3893832675
ytf2__ydiZ_glc__1,0.6306776414,0.2473941405
ytf2__ydiZ_glc__2,0.5302794430000001,0.2318125635
ytf2__ynfL_glc__1,-0.5642323865000001,0.1935379355
ytf2__ynfL_glc__2,-0.8559960980000001,0.2475974175
misc2__dellon_glc__1,-0.9962141438000001,0.7875357115
misc2__dellon_glc__2,-1.0281623487,0.7332966055
ytf3__wt_glc2__1,0.5653739702,0.2963363815
ytf3__wt_glc2__2,0.4883408199,0.41810095550000004
ytf3__wt_pH7_lactate__1,0.0289519875,0.36926407250000004
ytf3__wt_pH7_lactate__2,0.28537394590000004,0.4389906095
ytf3__wt_pH55_lactate__1,-0.0675992336,0.4775464485
ytf3__wt_pH55_lactate__2,-0.1826845526,0.43333215750000004
ytf3__wt_pH55_HCl__1,-0.4499284676,0.4808804595
ytf3__wt_pH55_HCl__2,-0.8756473729,0.5409047615
ytf3__dyieP_pH7__1,0.8873293271,0.3941740405
ytf3__dyieP_pH7__2,0.8129353055,0.3384703575
ytf3__dyieP_pH55__1,1.0661107404,0.2536252175
ytf3__dyieP_pH55__2,0.8513615222,0.33502878750000004
